Orthogroup	CAEEL	BRAFL
OG0000111	CAEEL20845	bflo_23465, bflo_23571, bflo_23573, bflo_20710, bflo_08602, bflo_05768, bflo_25968, bflo_26203, bflo_01089, bflo_06150, bflo_06575, bflo_18443, bflo_07865, bflo_25866, bflo_23409, bflo_23905, bflo_22622, bflo_13544, bflo_21580, bflo_07025, bflo_01278, bflo_13984
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967
OG0000114	CAEEL18136	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559
OG0000116	CAEEL14875	bflo_05410, bflo_25141
OG0000117	CAEEL10762	bflo_02317, bflo_02296, bflo_27364, bflo_20757
OG0000117	CAEEL07433	bflo_22010
OG0000119	CAEEL08480	bflo_07858, bflo_19358, bflo_19300
OG0000119	CAEEL08396	bflo_19582, bflo_19602, bflo_19603, bflo_19479
OG0000121	CAEEL06288, CAEEL12116	bflo_24507, bflo_19620, bflo_26028, bflo_24509, bflo_14403
OG0000122	CAEEL01544	bflo_02079
OG0000124	CAEEL12548, CAEEL09889	bflo_18598
OG0000124	CAEEL15384, CAEEL15382	bflo_10478
OG0000126	CAEEL08841, CAEEL04611	bflo_09507
OG0000126	CAEEL09101	bflo_14089
OG0000126	CAEEL10194	bflo_04718
OG0000127	CAEEL19207	bflo_21614
OG0000127	CAEEL20452	bflo_21827
OG0000127	CAEEL00838	bflo_05798
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	bflo_25056, bflo_06196, bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083, bflo_11997, bflo_11531, bflo_11996, bflo_11513, bflo_13695, bflo_14518, bflo_14769, bflo_20024, bflo_10688
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	bflo_10761, bflo_09267
OG0000129	CAEEL12325	bflo_21811
OG0000129	CAEEL08188	bflo_16345, bflo_20193
OG0000131	CAEEL08663	bflo_09427
OG0000131	CAEEL07634	bflo_00487
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	bflo_23438
OG0000137	CAEEL18416, CAEEL11601	bflo_20235, bflo_02070, bflo_04279
OG0000137	CAEEL10559	bflo_17627, bflo_17554, bflo_17629, bflo_17769
OG0000147	CAEEL04811	bflo_24794
OG0000147	CAEEL18488	bflo_01706
OG0000148	CAEEL09804	bflo_10991
OG0000148	CAEEL04213	bflo_17681
OG0000149	CAEEL02847	bflo_07000
OG0000149	CAEEL08694	bflo_07407
OG0000153	CAEEL16188	bflo_16858
OG0000154	CAEEL02932	bflo_17422
OG0000157	CAEEL01390	bflo_13284
OG0000158	CAEEL20117, CAEEL08684	bflo_05936
OG0000159	CAEEL19486	bflo_01737
OG0000159	CAEEL02031	bflo_18341
OG0000159	CAEEL05281	bflo_18486, bflo_10462, bflo_08858
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	bflo_01705, bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559
OG0000163	CAEEL08313	bflo_22675, bflo_22678, bflo_22689
OG0000163	CAEEL20194, CAEEL08850	bflo_00524
OG0000164	CAEEL09304	bflo_01014, bflo_21116, bflo_05174, bflo_00764, bflo_00763, bflo_00454, bflo_00455, bflo_00765, bflo_20441, bflo_18014, bflo_23036
OG0000164	CAEEL05807	bflo_06018
OG0000165	CAEEL07846	bflo_06077
OG0000167	CAEEL02846	bflo_06634
OG0000168	CAEEL19018	bflo_25648, bflo_06549, bflo_06560
OG0000169	CAEEL15798	bflo_04857
OG0000171	CAEEL11480	bflo_07453
OG0000172	CAEEL04412	bflo_18069, bflo_22959
OG0000173	CAEEL04156	bflo_05379, bflo_24130, bflo_24754
OG0000174	CAEEL09479	bflo_06008, bflo_06009
OG0000175	CAEEL19241	bflo_23016, bflo_27417, bflo_07263
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117
OG0000179	CAEEL13640	bflo_08207, bflo_09019, bflo_09021
OG0000179	CAEEL02965, CAEEL06713	bflo_26285, bflo_26298
OG0000179	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384	bflo_24034, bflo_08042, bflo_08036
OG0000179	CAEEL19466, CAEEL07193	bflo_14243, bflo_00377
OG0000180	CAEEL06539	bflo_24730
OG0000181	CAEEL07684	bflo_18642
OG0000181	CAEEL10858	bflo_10985
OG0000181	CAEEL10772	bflo_08690
OG0000181	CAEEL12632	bflo_05297
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	bflo_07655
OG0000183	CAEEL18435	bflo_10143
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	bflo_00050, bflo_00051, bflo_04054, bflo_15781
OG0000185	CAEEL14200	bflo_12811
OG0000186	CAEEL00795, CAEEL05654	bflo_05784, bflo_16204
OG0000186	CAEEL18013	bflo_00080
OG0000186	CAEEL13010	bflo_07429
OG0000188	CAEEL13361	bflo_20744, bflo_06094, bflo_04940
OG0000188	CAEEL20699	bflo_06892
OG0000191	CAEEL08724, CAEEL08082	bflo_21423, bflo_21598
OG0000193	CAEEL18944	bflo_09355
OG0000193	CAEEL09482, CAEEL14826	bflo_20903
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	bflo_06670, bflo_06671, bflo_06263, bflo_21166
OG0000197	CAEEL04387	bflo_01474, bflo_01054, bflo_01476, bflo_01475, bflo_01477, bflo_21550
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	bflo_01547
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	bflo_19425, bflo_19422, bflo_19420, bflo_19423
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	bflo_15720, bflo_15718, bflo_16879
OG0000201	CAEEL07587	bflo_21108
OG0000202	CAEEL20283	bflo_08854, bflo_08853
OG0000203	CAEEL09812	bflo_25089, bflo_24339, bflo_24029, bflo_24028, bflo_24027, bflo_25088, bflo_24026
OG0000205	CAEEL13029	bflo_23189
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	bflo_18880
OG0000207	CAEEL05874, CAEEL00203	bflo_13202
OG0000209	CAEEL07432	bflo_03650, bflo_03652, bflo_03598, bflo_03648
OG0000210	CAEEL19469	bflo_22179
OG0000211	CAEEL02936	bflo_24378, bflo_09336, bflo_12040, bflo_25935
OG0000211	CAEEL15290	bflo_14216
OG0000211	CAEEL01111, CAEEL01112	bflo_06051
OG0000211	CAEEL02311	bflo_06787
OG0000218	CAEEL07824, CAEEL20213	bflo_03730, bflo_03990, bflo_03994, bflo_12836, bflo_00660, bflo_12835, bflo_20676, bflo_04003, bflo_04004, bflo_12871
OG0000218	CAEEL19795	bflo_08530, bflo_09464
OG0000221	CAEEL10747	bflo_02108, bflo_18535, bflo_18534
OG0000221	CAEEL06648	bflo_00282
OG0000223	CAEEL01621, CAEEL00892	bflo_09246, bflo_10307, bflo_21359, bflo_21358
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	bflo_11467, bflo_12198
OG0000226	CAEEL12318	bflo_12072, bflo_17738
OG0000226	CAEEL10068, CAEEL15041	bflo_20217, bflo_01950, bflo_20215, bflo_20642, bflo_01174
OG0000227	CAEEL19645	bflo_02314, bflo_02307, bflo_02636, bflo_10496
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	bflo_11188, bflo_26414, bflo_25647, bflo_26240, bflo_25510, bflo_18348, bflo_25072, bflo_23578, bflo_25694, bflo_17957, bflo_08566, bflo_09217, bflo_20400, bflo_13429, bflo_08175, bflo_00576, bflo_08161
OG0000230	CAEEL14845, CAEEL19792	bflo_26037
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	bflo_01030, bflo_12873, bflo_09924, bflo_05587, bflo_00602, bflo_06876, bflo_00951, bflo_19945, bflo_19938
OG0000231	CAEEL08481	bflo_14395
OG0000231	CAEEL01724	bflo_05103
OG0000232	CAEEL18532, CAEEL19887	bflo_25827
OG0000234	CAEEL02295	bflo_07045
OG0000234	CAEEL03013, CAEEL03014	bflo_04797
OG0000235	CAEEL10795, CAEEL07012	bflo_22792, bflo_12083, bflo_11065, bflo_11313, bflo_10000, bflo_13433, bflo_13432, bflo_09528, bflo_09189, bflo_19819, bflo_04584, bflo_04593
OG0000236	CAEEL19835	bflo_16655
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	bflo_23355, bflo_22808
OG0000239	CAEEL14926	bflo_05968
OG0000239	CAEEL00570	bflo_02152
OG0000242	CAEEL05291	bflo_20686, bflo_18452
OG0000242	CAEEL05302	bflo_03394, bflo_03145
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	bflo_12023
OG0000244	CAEEL11789, CAEEL12688	bflo_12462, bflo_13161, bflo_26804, bflo_05824
OG0000245	CAEEL20391	bflo_22692
OG0000248	CAEEL17077	bflo_17506, bflo_17504, bflo_00059, bflo_17505, bflo_17510, bflo_17509, bflo_17511, bflo_17358
OG0000249	CAEEL02928	bflo_05893
OG0000250	CAEEL07261	bflo_14740
OG0000250	CAEEL04698	bflo_07487
OG0000250	CAEEL06732	bflo_03907
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	bflo_17944, bflo_01933, bflo_01932
OG0000255	CAEEL05168	bflo_25398, bflo_21759
OG0000255	CAEEL05715	bflo_02995, bflo_03545, bflo_03501, bflo_09026, bflo_10822, bflo_26943, bflo_10188
OG0000256	CAEEL11937, CAEEL19468	bflo_15939
OG0000257	CAEEL01910, CAEEL15386	bflo_06086
OG0000258	CAEEL19537	bflo_22962
OG0000258	CAEEL09342	bflo_12243, bflo_27029
OG0000258	CAEEL15770	bflo_09846
OG0000260	CAEEL11482	bflo_11239, bflo_10598
OG0000265	CAEEL20581	bflo_15782
OG0000265	CAEEL10364	bflo_11416
OG0000266	CAEEL02706	bflo_05945
OG0000268	CAEEL09209	bflo_06433
OG0000268	CAEEL08164	bflo_18613
OG0000269	CAEEL10894	bflo_12947
OG0000271	CAEEL07236	bflo_18719, bflo_05948, bflo_05145, bflo_03702
OG0000273	CAEEL18644	bflo_25314
OG0000273	CAEEL20077	bflo_01441, bflo_15082
