Orthogroup	CAEEL	AENJA_ok
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	AENJA_02005, AENJA_02015, AENJA_09694
OG0000031	CAEEL02023	AENJA_09856, AENJA_09858
OG0000031	CAEEL04718	AENJA_08759
OG0000031	CAEEL07076	AENJA_05740
OG0000032	CAEEL19615	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	AENJA_24093, AENJA_12718, AENJA_12280, AENJA_12491, AENJA_12283, AENJA_06513
OG0000034	CAEEL20539	AENJA_02790
OG0000034	CAEEL07900	AENJA_21749
OG0000034	CAEEL13037	AENJA_26717
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	AENJA_02791
OG0000034	CAEEL01132	AENJA_23686
OG0000034	CAEEL03140, CAEEL03141	AENJA_13785
OG0000035	CAEEL01943	AENJA_01174
OG0000035	CAEEL20458	AENJA_21682
OG0000035	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	AENJA_02191
OG0000036	CAEEL15057	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	CAEEL01091, CAEEL01333, CAEEL05877, CAEEL04684	AENJA_19419
OG0000037	CAEEL17629, CAEEL17628	AENJA_05483, AENJA_06274
OG0000037	CAEEL20275	AENJA_13632
OG0000037	CAEEL09012, CAEEL08645	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943	AENJA_05701
OG0000039	CAEEL00466	AENJA_20163
OG0000039	CAEEL18993	AENJA_07277
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	AENJA_23333
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	AENJA_08471
OG0000041	CAEEL05494	AENJA_24560
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	AENJA_03404, AENJA_03405
OG0000043	CAEEL15122	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	AENJA_03123, AENJA_25117
OG0000044	CAEEL08025	AENJA_06141
OG0000047	CAEEL17846	AENJA_09237
OG0000049	CAEEL02028	AENJA_20702
OG0000049	CAEEL19631	AENJA_25756
OG0000051	CAEEL18565	AENJA_18491, AENJA_12662
OG0000051	CAEEL09464	AENJA_24250
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	AENJA_06676, AENJA_23371
OG0000054	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151	AENJA_12232, AENJA_06677
OG0000056	CAEEL05273	AENJA_20268, AENJA_20270
OG0000058	CAEEL06550	AENJA_23345
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	AENJA_12354
OG0000059	CAEEL08332	AENJA_17651
OG0000059	CAEEL07152	AENJA_20505, AENJA_00656
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063	AENJA_00816
OG0000061	CAEEL08422	AENJA_07301
OG0000061	CAEEL07898	AENJA_06999
OG0000061	CAEEL20509	AENJA_07304
OG0000062	CAEEL02955	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	CAEEL05773	AENJA_20321
OG0000063	CAEEL04400	AENJA_26394
OG0000066	CAEEL20109	AENJA_19946, AENJA_12655, AENJA_09505, AENJA_20318
OG0000068	CAEEL06439	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000069	CAEEL14766	AENJA_15982
OG0000070	CAEEL19861	AENJA_17946, AENJA_17947
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682
OG0000072	CAEEL07368	AENJA_14652
OG0000072	CAEEL06792, CAEEL06516, CAEEL09391, CAEEL08125, CAEEL07082	AENJA_24050, AENJA_00746
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	AENJA_02295
OG0000073	CAEEL07620	AENJA_08518, AENJA_08515
OG0000075	CAEEL03008	AENJA_05831
OG0000075	CAEEL11367	AENJA_12918
OG0000075	CAEEL11291	AENJA_12839
OG0000077	CAEEL01559	AENJA_13107
OG0000077	CAEEL18189	AENJA_22767
OG0000077	CAEEL18883	AENJA_07475
OG0000077	CAEEL18420	AENJA_08162
OG0000077	CAEEL20549, CAEEL20548	AENJA_00875
OG0000078	CAEEL18404	AENJA_26733
OG0000079	CAEEL18822, CAEEL09849	AENJA_16186
OG0000079	CAEEL10489	AENJA_02482
OG0000079	CAEEL07248	AENJA_17442, AENJA_11789
OG0000082	CAEEL13927	AENJA_25747
OG0000084	CAEEL10610, CAEEL18185	AENJA_24814
OG0000084	CAEEL10989	AENJA_02486
OG0000085	CAEEL06909	AENJA_05556
OG0000085	CAEEL07542	AENJA_06487
OG0000085	CAEEL03085	AENJA_24493
OG0000085	CAEEL08077	AENJA_20539
OG0000090	CAEEL18451	AENJA_10145
OG0000090	CAEEL10114	AENJA_19633, AENJA_00371, AENJA_26164, AENJA_06259, AENJA_01954
OG0000091	CAEEL01090, CAEEL16358, CAEEL07359	AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	CAEEL10719	AENJA_14582
OG0000094	CAEEL18425	AENJA_26553
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676
OG0000096	CAEEL16555	AENJA_25727
OG0000096	CAEEL11776	AENJA_08423
OG0000096	CAEEL06051	AENJA_09240
OG0000096	CAEEL07422	AENJA_14053
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	AENJA_22563, AENJA_15215
OG0000099	CAEEL07999, CAEEL08340	AENJA_19631, AENJA_00123
OG0000099	CAEEL05000, CAEEL01295	AENJA_07638, AENJA_14869
OG0000099	CAEEL19098, CAEEL14903	AENJA_15326
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	AENJA_14914, AENJA_21479, AENJA_11421
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	AENJA_10812
OG0000103	CAEEL01469, CAEEL18445	AENJA_14367
OG0000104	CAEEL04070	AENJA_04107
OG0000104	CAEEL18800	AENJA_02684, AENJA_26666
OG0000106	CAEEL19130, CAEEL20701	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000110	CAEEL10319, CAEEL17689	AENJA_09309, AENJA_19995, AENJA_08732
OG0000111	CAEEL20845	AENJA_04205, AENJA_23685
OG0000114	CAEEL03306, CAEEL13040	AENJA_23406
OG0000114	CAEEL18136	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	CAEEL14875	AENJA_23563, AENJA_23564
OG0000117	CAEEL10762	AENJA_22084
OG0000117	CAEEL06492	AENJA_10010
OG0000117	CAEEL07433	AENJA_24559, AENJA_08111
OG0000119	CAEEL08480	AENJA_18357, AENJA_20512
OG0000120	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	AENJA_04133
OG0000120	CAEEL10840	AENJA_09034
OG0000121	CAEEL06288, CAEEL12116	AENJA_24297
OG0000122	CAEEL01544	AENJA_14198, AENJA_09459, AENJA_22788
OG0000124	CAEEL19897	AENJA_03116, AENJA_25792
OG0000124	CAEEL12548, CAEEL09889	AENJA_04496
OG0000124	CAEEL04963	AENJA_09769
OG0000124	CAEEL15384, CAEEL15382	AENJA_05859
OG0000125	CAEEL19671	AENJA_02605, AENJA_16597
OG0000126	CAEEL10194	AENJA_07507
OG0000127	CAEEL19207	AENJA_11132
OG0000127	CAEEL20452	AENJA_20308
OG0000127	CAEEL00838	AENJA_04153
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744
OG0000129	CAEEL12325	AENJA_21737
OG0000129	CAEEL08188	AENJA_12119, AENJA_20942, AENJA_12123
OG0000131	CAEEL08663	AENJA_13807, AENJA_21097
OG0000131	CAEEL07634	AENJA_23277
OG0000137	CAEEL10559	AENJA_09533
OG0000137	CAEEL15802, CAEEL15801	AENJA_20614
OG0000140	CAEEL04513	AENJA_05753
OG0000142	CAEEL15831	AENJA_25989
OG0000147	CAEEL04811	AENJA_03761
OG0000147	CAEEL18488	AENJA_12275
OG0000148	CAEEL09804	AENJA_26311, AENJA_25264, AENJA_21218
OG0000149	CAEEL02847	AENJA_12114
OG0000153	CAEEL16188	AENJA_13294
OG0000154	CAEEL02932	AENJA_18738
OG0000157	CAEEL01390	AENJA_07142
OG0000158	CAEEL20117, CAEEL08684	AENJA_06739
OG0000159	CAEEL19486	AENJA_15908, AENJA_16647, AENJA_17890
OG0000159	CAEEL05281	AENJA_06073, AENJA_25487
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	AENJA_20383, AENJA_06959, AENJA_13005
OG0000163	CAEEL08313	AENJA_14266, AENJA_00250
OG0000163	CAEEL20194, CAEEL08850	AENJA_02338
OG0000164	CAEEL08421	AENJA_00513
OG0000164	CAEEL05807	AENJA_24821
OG0000167	CAEEL02846	AENJA_04545
OG0000168	CAEEL19018	AENJA_16549, AENJA_16551, AENJA_11862, AENJA_21363
OG0000169	CAEEL15798	AENJA_00158, AENJA_08952
OG0000171	CAEEL11480	AENJA_09998
OG0000172	CAEEL04412	AENJA_10826, AENJA_10825
OG0000173	CAEEL04156	AENJA_14259, AENJA_13078, AENJA_25617, AENJA_18852
OG0000174	CAEEL12711	AENJA_09684
OG0000174	CAEEL09479	AENJA_09689
OG0000175	CAEEL19241	AENJA_06264, AENJA_00936, AENJA_00556
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	AENJA_05120
OG0000179	CAEEL13640	AENJA_05305
OG0000179	CAEEL02965, CAEEL06713	AENJA_25279
OG0000179	CAEEL19466, CAEEL07193	AENJA_09174, AENJA_18216
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	AENJA_10008, AENJA_06703
OG0000181	CAEEL07684	AENJA_08843
OG0000181	CAEEL10858	AENJA_22272
OG0000181	CAEEL10772	AENJA_05116, AENJA_18867, AENJA_18892
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	AENJA_03852
OG0000183	CAEEL18435	AENJA_18616, AENJA_21091, AENJA_21093
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	AENJA_19614, AENJA_08959, AENJA_22614
OG0000185	CAEEL14200	AENJA_06437
OG0000188	CAEEL20699	AENJA_15378
OG0000191	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	AENJA_11494, AENJA_16824
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	AENJA_13914
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	AENJA_10227, AENJA_02703
OG0000197	CAEEL04387	AENJA_18863, AENJA_02976, AENJA_03276
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	AENJA_03262
OG0000201	CAEEL07587	AENJA_12926
OG0000202	CAEEL20283	AENJA_10134
OG0000203	CAEEL09812	AENJA_10014, AENJA_10780
OG0000205	CAEEL13029	AENJA_05025
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	AENJA_13815, AENJA_22602
OG0000207	CAEEL05874, CAEEL00203	AENJA_24487
OG0000210	CAEEL19469	AENJA_04024
OG0000211	CAEEL15290	AENJA_19821
OG0000211	CAEEL01111, CAEEL01112	AENJA_00791
OG0000211	CAEEL02311	AENJA_21143, AENJA_10795
OG0000218	CAEEL07824, CAEEL20213	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732
OG0000221	CAEEL10747	AENJA_18945, AENJA_16769
OG0000221	CAEEL06648	AENJA_12084
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	AENJA_04793, AENJA_18668
OG0000226	CAEEL12318	AENJA_19996, AENJA_22487, AENJA_22493
OG0000227	CAEEL19645	AENJA_15989, AENJA_15987, AENJA_15991
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	AENJA_21370, AENJA_10244, AENJA_23576, AENJA_16825, AENJA_01160, AENJA_07809, AENJA_03989, AENJA_07812, AENJA_07810, AENJA_04457, AENJA_26296, AENJA_26297, AENJA_26293
OG0000230	CAEEL14845, CAEEL19792	AENJA_06650
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	AENJA_22711, AENJA_26339, AENJA_04754
OG0000231	CAEEL01724	AENJA_08495
OG0000233	CAEEL19660, CAEEL15634	AENJA_15984
OG0000233	CAEEL03636, CAEEL19665, CAEEL19664	AENJA_01071
OG0000234	CAEEL02295	AENJA_02022
OG0000234	CAEEL03013, CAEEL03014	AENJA_09853
OG0000235	CAEEL10795, CAEEL07012	AENJA_03371, AENJA_15471, AENJA_15470, AENJA_02178, AENJA_08576
OG0000236	CAEEL19835	AENJA_25135
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	AENJA_24755
OG0000239	CAEEL14926	AENJA_06019
OG0000239	CAEEL00570	AENJA_09841
OG0000242	CAEEL05291	AENJA_14245
OG0000243	CAEEL13597, CAEEL13598	AENJA_26524
OG0000244	CAEEL11789, CAEEL12688	AENJA_09215, AENJA_09220, AENJA_18376, AENJA_02207
OG0000245	CAEEL20391	AENJA_03100
OG0000249	CAEEL00206	AENJA_05064, AENJA_21241, AENJA_23938, AENJA_01673, AENJA_21238, AENJA_22890, AENJA_18302, AENJA_21869, AENJA_15192, AENJA_06774, AENJA_07629, AENJA_05076, AENJA_15458, AENJA_10803, AENJA_15269, AENJA_00339, AENJA_18040, AENJA_15191, AENJA_21709, AENJA_02460, AENJA_00522, AENJA_10097, AENJA_22660, AENJA_14324, AENJA_10550, AENJA_09775, AENJA_03218, AENJA_22352, AENJA_15267, AENJA_16281, AENJA_07074, AENJA_06773, AENJA_02512, AENJA_03736, AENJA_04120, AENJA_00209, AENJA_17787, AENJA_22908, AENJA_15488, AENJA_17301, AENJA_00076, AENJA_18530, AENJA_09193, AENJA_25708, AENJA_00819, AENJA_04569, AENJA_06360, AENJA_06190, AENJA_21870, AENJA_14427
OG0000250	CAEEL11963	AENJA_21466
OG0000250	CAEEL07261	AENJA_01564
OG0000250	CAEEL04698	AENJA_18922, AENJA_05431
OG0000250	CAEEL06732	AENJA_25579
OG0000255	CAEEL05168	AENJA_05199
OG0000255	CAEEL05715	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356
OG0000256	CAEEL11937, CAEEL19468	AENJA_24528
OG0000257	CAEEL01910, CAEEL15386	AENJA_21159
OG0000258	CAEEL19537	AENJA_04201
OG0000258	CAEEL09342	AENJA_21764
OG0000258	CAEEL15770	AENJA_08669
OG0000260	CAEEL11482	AENJA_02917, AENJA_18084, AENJA_23444
OG0000265	CAEEL20581	AENJA_21392, AENJA_21393
OG0000265	CAEEL10364	AENJA_02918
OG0000268	CAEEL08931	AENJA_14602
OG0000268	CAEEL08164	AENJA_25695
OG0000268	CAEEL07325	AENJA_08487
OG0000269	CAEEL10894	AENJA_26650
OG0000271	CAEEL07236	AENJA_07943, AENJA_08114
OG0000272	CAEEL11804, CAEEL19905	AENJA_06955
OG0000273	CAEEL18644	AENJA_14902
OG0000274	CAEEL11033	AENJA_19422
OG0000275	CAEEL14783	AENJA_06085
OG0000275	CAEEL11381, CAEEL10050	AENJA_05208
OG0000277	CAEEL07730, CAEEL07729	AENJA_21144
OG0000277	CAEEL11066	AENJA_08858
OG0000278	CAEEL07740	AENJA_24084
OG0000278	CAEEL07099	AENJA_12104
OG0000282	CAEEL11864	AENJA_08490, AENJA_20347, AENJA_07959, AENJA_08159
OG0000284	CAEEL18846	AENJA_16460, AENJA_16457, AENJA_23940, AENJA_23553, AENJA_12800, AENJA_09635, AENJA_14116, AENJA_03847, AENJA_00883, AENJA_14484
OG0000285	CAEEL00191	AENJA_13941
OG0000285	CAEEL14297, CAEEL16730	AENJA_25131
OG0000287	CAEEL18837	AENJA_16451
OG0000295	CAEEL04248, CAEEL10950	AENJA_18927, AENJA_14336, AENJA_11107, AENJA_14335
OG0000296	CAEEL14675	AENJA_22255
OG0000301	CAEEL11399	AENJA_26747
OG0000301	CAEEL18767	AENJA_18604
OG0000302	CAEEL08099	AENJA_15683
OG0000305	CAEEL19499	AENJA_01524
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	AENJA_20012, AENJA_20013, AENJA_23458
OG0000306	CAEEL11448	AENJA_01416
OG0000308	CAEEL00748	AENJA_23339, AENJA_15829, AENJA_04225, AENJA_18481
OG0000311	CAEEL19230	AENJA_12716
OG0000312	CAEEL16684	AENJA_19966
OG0000312	CAEEL08464	AENJA_05337
OG0000314	CAEEL14227, CAEEL02951	AENJA_05762, AENJA_10482
OG0000315	CAEEL07609	AENJA_08118
OG0000315	CAEEL07292	AENJA_20619
OG0000317	CAEEL18155	AENJA_16154
OG0000321	CAEEL19255	AENJA_23362
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	AENJA_07618, AENJA_03568, AENJA_04218
OG0000323	CAEEL08030	AENJA_15690, AENJA_22664, AENJA_20126
OG0000325	CAEEL01448, CAEEL10554	AENJA_07184, AENJA_19461
OG0000327	CAEEL18527	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486
OG0000327	CAEEL06891	AENJA_12542
OG0000328	CAEEL02700, CAEEL20663	AENJA_09097
OG0000329	CAEEL05342	AENJA_14120, AENJA_25916
OG0000333	CAEEL20574	AENJA_06410, AENJA_00632
OG0000338	CAEEL02726	AENJA_13192
OG0000341	CAEEL02829	AENJA_00431
OG0000343	CAEEL00542	AENJA_04274
OG0000345	CAEEL13165	AENJA_23748
OG0000346	CAEEL01774	AENJA_15927
OG0000346	CAEEL04767	AENJA_22586, AENJA_15929
OG0000350	CAEEL13904	AENJA_19835
OG0000351	CAEEL07375	AENJA_04428
OG0000352	CAEEL05587	AENJA_13697
OG0000356	CAEEL10812	AENJA_05708
OG0000357	CAEEL07861	AENJA_16412
OG0000357	CAEEL10151, CAEEL05953	AENJA_04794
OG0000358	CAEEL13826	AENJA_15177, AENJA_10717
OG0000358	CAEEL19072	AENJA_12192, AENJA_25711
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	AENJA_14005
OG0000359	CAEEL04647	AENJA_09269
OG0000363	CAEEL04898, CAEEL01034, CAEEL00066	AENJA_12906, AENJA_18208
OG0000363	CAEEL12357, CAEEL16480	AENJA_26154
OG0000364	CAEEL18153, CAEEL18154	AENJA_08616, AENJA_07293, AENJA_05680
OG0000365	CAEEL03052	AENJA_22716
OG0000367	CAEEL11241	AENJA_21570, AENJA_21567, AENJA_15749
OG0000371	CAEEL18802	AENJA_04971
OG0000372	CAEEL09938	AENJA_10537
OG0000372	CAEEL06634	AENJA_22918
OG0000372	CAEEL11042	AENJA_10254
OG0000373	CAEEL15439	AENJA_18516
OG0000373	CAEEL15442, CAEEL15129, CAEEL10313, CAEEL08693, CAEEL00731, CAEEL00550, CAEEL14746, CAEEL12229, CAEEL14071, CAEEL05508, CAEEL05560, CAEEL16400, CAEEL10659	AENJA_11897
OG0000374	CAEEL04637	AENJA_10989
OG0000375	CAEEL04597	AENJA_14683
OG0000377	CAEEL00576	AENJA_02266
OG0000378	CAEEL01589	AENJA_09892
OG0000378	CAEEL18606	AENJA_03823
OG0000382	CAEEL10275	AENJA_05991
OG0000385	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346
OG0000389	CAEEL08944, CAEEL11888	AENJA_06388
OG0000391	CAEEL03981, CAEEL10348, CAEEL18760	AENJA_23476
OG0000391	CAEEL07480, CAEEL01186	AENJA_11069, AENJA_14119, AENJA_19393, AENJA_09442
OG0000392	CAEEL03273	AENJA_11266
OG0000393	CAEEL00138	AENJA_11660
OG0000399	CAEEL12746	AENJA_09258
OG0000399	CAEEL18399	AENJA_25908
OG0000399	CAEEL01136	AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668
OG0000399	CAEEL00515	AENJA_14143
OG0000401	CAEEL07254	AENJA_10211, AENJA_22375
OG0000402	CAEEL20859	AENJA_01108
OG0000402	CAEEL09914, CAEEL09915	AENJA_20115
OG0000404	CAEEL04503	AENJA_26390
OG0000404	CAEEL16075, CAEEL12808	AENJA_19991
OG0000404	CAEEL20480	AENJA_13308, AENJA_13309
OG0000405	CAEEL01740	AENJA_21234
OG0000409	CAEEL09896	AENJA_11040
OG0000409	CAEEL15456, CAEEL10905, CAEEL20533, CAEEL10710	AENJA_00845, AENJA_01104
OG0000411	CAEEL02373	AENJA_11832, AENJA_10888
OG0000412	CAEEL11655	AENJA_21404
