Orthogroup	CAEEL	AMPFI_ok
OG0000035	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	AMPFI_24961
OG0000036	CAEEL15057	AMPFI_11948
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	CAEEL17629, CAEEL17628	AMPFI_25668
OG0000038	CAEEL05762	AMPFI_07219
OG0000039	CAEEL00466	AMPFI_17373
OG0000039	CAEEL18993	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	AMPFI_22687, AMPFI_10992, AMPFI_03970, AMPFI_03703, AMPFI_04838, AMPFI_22026, AMPFI_08823, AMPFI_04139, AMPFI_21628, AMPFI_17647
OG0000044	CAEEL08025	AMPFI_18408
OG0000046	CAEEL08281	AMPFI_19034
OG0000047	CAEEL17846	AMPFI_23686
OG0000048	CAEEL17799	AMPFI_20083, AMPFI_23857, AMPFI_18512
OG0000051	CAEEL19606	AMPFI_25569
OG0000051	CAEEL18565	AMPFI_12251, AMPFI_06956, AMPFI_18032
OG0000051	CAEEL05770	AMPFI_18977
OG0000051	CAEEL09464	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	AMPFI_10274
OG0000056	CAEEL05273	AMPFI_10015
OG0000058	CAEEL06550	AMPFI_18481
OG0000058	CAEEL09297	AMPFI_11588, AMPFI_03991, AMPFI_22601, AMPFI_13098
OG0000059	CAEEL07152	AMPFI_05376, AMPFI_04204, AMPFI_22805
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063	AMPFI_20631
OG0000062	CAEEL02955	AMPFI_05434
OG0000063	CAEEL11408	AMPFI_19149
OG0000066	CAEEL20109	AMPFI_19169, AMPFI_13029, AMPFI_09400
OG0000068	CAEEL09504	AMPFI_11929, AMPFI_04870
OG0000068	CAEEL06439	AMPFI_11524, AMPFI_11523, AMPFI_24985, AMPFI_16312, AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
OG0000069	CAEEL14766	AMPFI_08415
OG0000069	CAEEL19293	AMPFI_07519
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	AMPFI_12140, AMPFI_20704, AMPFI_07178
OG0000072	CAEEL07368	AMPFI_20479
OG0000072	CAEEL06516	AMPFI_15579
OG0000072	CAEEL09391	AMPFI_19767
OG0000072	CAEEL08125	AMPFI_21803
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	AMPFI_17720, AMPFI_09678
OG0000075	CAEEL03008	AMPFI_10510
OG0000075	CAEEL11367	AMPFI_15917
OG0000075	CAEEL11291	AMPFI_17574
OG0000077	CAEEL18420	AMPFI_08518
OG0000078	CAEEL18404	AMPFI_13696
OG0000079	CAEEL18822, CAEEL09849	AMPFI_09380
OG0000079	CAEEL10489	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	CAEEL07248	AMPFI_24805
OG0000082	CAEEL18954, CAEEL04897	AMPFI_21007
OG0000082	CAEEL13927	AMPFI_06890
OG0000082	CAEEL12687	AMPFI_15952, AMPFI_11015
OG0000085	CAEEL06909	AMPFI_20771
OG0000085	CAEEL07542	AMPFI_09379
OG0000085	CAEEL03085	AMPFI_25819
OG0000087	CAEEL16056	AMPFI_13389
OG0000090	CAEEL10114	AMPFI_13647, AMPFI_00104, AMPFI_25138, AMPFI_02125, AMPFI_21484, AMPFI_03385, AMPFI_23899
OG0000094	CAEEL10719	AMPFI_02587, AMPFI_25694, AMPFI_04666
OG0000094	CAEEL18425	AMPFI_18905, AMPFI_06525
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777
OG0000096	CAEEL16555	AMPFI_12180
OG0000096	CAEEL11088	AMPFI_22693
OG0000096	CAEEL08533	AMPFI_24766
OG0000096	CAEEL11776	AMPFI_11230
OG0000096	CAEEL07422	AMPFI_25309
OG0000098	CAEEL01602	AMPFI_18294, AMPFI_22016
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	AMPFI_07962, AMPFI_03629
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	AMPFI_08160
OG0000103	CAEEL01469, CAEEL18445	AMPFI_21097
OG0000104	CAEEL04070	AMPFI_14148
OG0000104	CAEEL18800	AMPFI_11040, AMPFI_02710, AMPFI_20370, AMPFI_08614
OG0000106	CAEEL19130, CAEEL20701	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000107	CAEEL16896	AMPFI_13094
OG0000110	CAEEL10319, CAEEL17689	AMPFI_18622, AMPFI_10052
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	AMPFI_03282
OG0000114	CAEEL18136	AMPFI_03529
OG0000114	CAEEL15245, CAEEL11468	AMPFI_01965, AMPFI_00254
OG0000115	CAEEL05577	AMPFI_19223, AMPFI_02007, AMPFI_06244
OG0000116	CAEEL14875	AMPFI_12986
OG0000117	CAEEL10762	AMPFI_07374, AMPFI_07375, AMPFI_10042, AMPFI_04796, AMPFI_21047, AMPFI_17321, AMPFI_18095, AMPFI_04466
OG0000117	CAEEL06492	AMPFI_02142
OG0000117	CAEEL07433	AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845
OG0000119	CAEEL08480	AMPFI_25431
OG0000119	CAEEL08396	AMPFI_07345, AMPFI_07307
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	AMPFI_15831
OG0000120	CAEEL10840	AMPFI_01268
OG0000121	CAEEL06288, CAEEL12116	AMPFI_04429
OG0000122	CAEEL01544	AMPFI_09948, AMPFI_21733
OG0000124	CAEEL19897	AMPFI_24111
OG0000124	CAEEL04963	AMPFI_02885
OG0000124	CAEEL15384, CAEEL15382	AMPFI_01689
OG0000125	CAEEL19671	AMPFI_22617, AMPFI_05262
OG0000126	CAEEL09101	AMPFI_06519
OG0000126	CAEEL10194	AMPFI_19042
OG0000127	CAEEL19207	AMPFI_23284
OG0000127	CAEEL20452	AMPFI_11705
OG0000127	CAEEL00838	AMPFI_13476
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784
OG0000129	CAEEL12325	AMPFI_05870
OG0000131	CAEEL08663	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000131	CAEEL07634	AMPFI_19747
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	AMPFI_25895
OG0000137	CAEEL10559	AMPFI_12246
OG0000137	CAEEL15802, CAEEL15801	AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126
OG0000147	CAEEL18488	AMPFI_00036, AMPFI_00137
OG0000148	CAEEL09804	AMPFI_23558
OG0000148	CAEEL04213	AMPFI_00060
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	AMPFI_11805
OG0000153	CAEEL16188	AMPFI_24594, AMPFI_03572
OG0000157	CAEEL00241	AMPFI_07870
OG0000157	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463	AMPFI_21902
OG0000159	CAEEL19486	AMPFI_14640
OG0000159	CAEEL02031	AMPFI_09235
OG0000159	CAEEL05281	AMPFI_11148
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	AMPFI_04603, AMPFI_23627, AMPFI_10740
OG0000163	CAEEL08313	AMPFI_03655, AMPFI_02815, AMPFI_05576
OG0000163	CAEEL20194, CAEEL08850	AMPFI_15100
OG0000164	CAEEL17300, CAEEL20334, CAEEL08421, CAEEL05391, CAEEL18768, CAEEL06090, CAEEL13575, CAEEL06317, CAEEL13576, CAEEL13551, CAEEL06316, CAEEL13587, CAEEL13550, CAEEL06318, CAEEL20325, CAEEL20324, CAEEL06001, CAEEL06002, CAEEL09114, CAEEL05510, CAEEL06315	AMPFI_18140
OG0000164	CAEEL09304	AMPFI_22090, AMPFI_18801, AMPFI_07306
OG0000164	CAEEL05807	AMPFI_18180
OG0000165	CAEEL07846	AMPFI_20099
OG0000167	CAEEL02846	AMPFI_07356
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	AMPFI_22221
OG0000168	CAEEL19018	AMPFI_03245, AMPFI_18586, AMPFI_18585, AMPFI_17991
OG0000169	CAEEL15798	AMPFI_20809, AMPFI_17546
OG0000171	CAEEL11480	AMPFI_16514
OG0000172	CAEEL04412	AMPFI_03980, AMPFI_17322
OG0000173	CAEEL04156	AMPFI_24760, AMPFI_14468
OG0000174	CAEEL12711	AMPFI_12146
OG0000174	CAEEL09479	AMPFI_25103
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	AMPFI_13786
OG0000179	CAEEL13640	AMPFI_12504
OG0000179	CAEEL02965, CAEEL06713	AMPFI_16964
OG0000179	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384, CAEEL19466, CAEEL07193	AMPFI_00481
OG0000180	CAEEL06539	AMPFI_03804
OG0000181	CAEEL10772	AMPFI_16526
OG0000181	CAEEL12632	AMPFI_12882
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	AMPFI_14083
OG0000183	CAEEL18435	AMPFI_03468
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	AMPFI_03874, AMPFI_09399, AMPFI_14819
OG0000186	CAEEL13010	AMPFI_23623
OG0000188	CAEEL20699	AMPFI_08253
OG0000191	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	AMPFI_16167
OG0000192	CAEEL00285	AMPFI_23753
OG0000192	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365	AMPFI_22080
OG0000193	CAEEL09482, CAEEL14826	AMPFI_04703, AMPFI_20306
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	AMPFI_14028
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	AMPFI_12345, AMPFI_10206, AMPFI_05107
OG0000197	CAEEL04387	AMPFI_18783, AMPFI_00480
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	AMPFI_14260
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	AMPFI_24261
OG0000202	CAEEL20283	AMPFI_02277
OG0000203	CAEEL09812	AMPFI_10377, AMPFI_15263, AMPFI_20814, AMPFI_06550
OG0000207	CAEEL05874, CAEEL00203	AMPFI_08635, AMPFI_15520
OG0000209	CAEEL07432	AMPFI_09916, AMPFI_13365, AMPFI_06393
OG0000210	CAEEL19469	AMPFI_21005
OG0000211	CAEEL02311	AMPFI_16753, AMPFI_21968
OG0000218	CAEEL07824, CAEEL20213	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956
OG0000218	CAEEL19795	AMPFI_17247, AMPFI_03024, AMPFI_13048
OG0000221	CAEEL10747	AMPFI_07550
OG0000221	CAEEL06648	AMPFI_19059
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	AMPFI_24201, AMPFI_00311
OG0000226	CAEEL12318	AMPFI_19055, AMPFI_20488, AMPFI_21777, AMPFI_11732, AMPFI_11731
OG0000226	CAEEL10068, CAEEL15041	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354
OG0000227	CAEEL19645	AMPFI_16595, AMPFI_17484, AMPFI_00331, AMPFI_23018, AMPFI_12350, AMPFI_07507
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	AMPFI_00048, AMPFI_01094, AMPFI_20318, AMPFI_25621, AMPFI_04986, AMPFI_25120, AMPFI_24951, AMPFI_03165, AMPFI_19975, AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077
OG0000230	CAEEL14845, CAEEL19792	AMPFI_09954
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	AMPFI_14811
OG0000230	CAEEL13030	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504
OG0000231	CAEEL01724	AMPFI_01759
OG0000231	CAEEL09666, CAEEL09673	AMPFI_02162
OG0000233	CAEEL19660, CAEEL15634	AMPFI_17589
OG0000234	CAEEL02295	AMPFI_09748
OG0000234	CAEEL03013, CAEEL03014	AMPFI_05768
OG0000235	CAEEL10795, CAEEL07012	AMPFI_16872, AMPFI_22306
OG0000236	CAEEL19835	AMPFI_19570
OG0000239	CAEEL14926	AMPFI_07246, AMPFI_08248
OG0000239	CAEEL00570	AMPFI_20472
OG0000242	CAEEL05302	AMPFI_10835, AMPFI_24613
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	AMPFI_05850
OG0000243	CAEEL13597, CAEEL13598	AMPFI_02124
OG0000244	CAEEL11789, CAEEL12688	AMPFI_12077, AMPFI_18742
OG0000245	CAEEL20391	AMPFI_10648
OG0000248	CAEEL17077	AMPFI_08134, AMPFI_21352
OG0000249	CAEEL00206	AMPFI_14226, AMPFI_11149
OG0000250	CAEEL11963	AMPFI_07242
OG0000250	CAEEL07261	AMPFI_05967
OG0000250	CAEEL04698	AMPFI_18668, AMPFI_20205, AMPFI_19063
OG0000250	CAEEL06732	AMPFI_12386
OG0000251	CAEEL03667	AMPFI_14822
OG0000255	CAEEL05168	AMPFI_21142
OG0000255	CAEEL05715	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948
OG0000256	CAEEL11937, CAEEL19468	AMPFI_08473
OG0000258	CAEEL19537	AMPFI_21660
OG0000258	CAEEL09342	AMPFI_11627
OG0000260	CAEEL11482	AMPFI_00537, AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062
OG0000265	CAEEL10364	AMPFI_11224
OG0000268	CAEEL08164	AMPFI_23943
OG0000269	CAEEL10894	AMPFI_02934, AMPFI_00091, AMPFI_15290, AMPFI_17569
OG0000271	CAEEL07236	AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367
OG0000272	CAEEL11804, CAEEL19905	AMPFI_20114
OG0000273	CAEEL18644	AMPFI_11471
OG0000273	CAEEL20077	AMPFI_05763
OG0000274	CAEEL11033	AMPFI_18340
OG0000275	CAEEL11381, CAEEL10050	AMPFI_19384
OG0000277	CAEEL07730, CAEEL07729	AMPFI_09153
OG0000277	CAEEL11066	AMPFI_19405
OG0000277	CAEEL00092, CAEEL02855	AMPFI_04428
OG0000278	CAEEL07740	AMPFI_20031
OG0000278	CAEEL09180	AMPFI_23155
OG0000278	CAEEL07099	AMPFI_11370
OG0000278	CAEEL02024	AMPFI_25739, AMPFI_15284
OG0000280	CAEEL11652	AMPFI_17296
OG0000282	CAEEL11864	AMPFI_11943, AMPFI_24461, AMPFI_16635, AMPFI_18258, AMPFI_00662
OG0000282	CAEEL04645	AMPFI_13665
OG0000284	CAEEL18846	AMPFI_12259, AMPFI_25463
OG0000285	CAEEL14297, CAEEL16730	AMPFI_19148
OG0000295	CAEEL04248, CAEEL10950	AMPFI_21638, AMPFI_25336
OG0000296	CAEEL14675	AMPFI_07491
OG0000301	CAEEL11399	AMPFI_01248
OG0000301	CAEEL18767	AMPFI_07549
OG0000305	CAEEL19499	AMPFI_03870
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	AMPFI_02684
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445	AMPFI_01092
OG0000306	CAEEL11448	AMPFI_20442
OG0000308	CAEEL00748	AMPFI_19983, AMPFI_01977, AMPFI_20295, AMPFI_18028
OG0000311	CAEEL19230	AMPFI_01209, AMPFI_01851, AMPFI_24975, AMPFI_08716, AMPFI_08688, AMPFI_05810, AMPFI_04550, AMPFI_20271, AMPFI_02249, AMPFI_05542, AMPFI_01316, AMPFI_07672, AMPFI_15109, AMPFI_15091, AMPFI_25577, AMPFI_17917, AMPFI_05358, AMPFI_09827, AMPFI_15280, AMPFI_25423, AMPFI_22849, AMPFI_15255, AMPFI_12057, AMPFI_15110, AMPFI_21069, AMPFI_16741, AMPFI_12234, AMPFI_20322, AMPFI_15839, AMPFI_02811, AMPFI_11003, AMPFI_12859, AMPFI_04863, AMPFI_24099, AMPFI_13586, AMPFI_18199, AMPFI_13587, AMPFI_18158, AMPFI_23827, AMPFI_15799, AMPFI_01648, AMPFI_08025, AMPFI_25710, AMPFI_05060, AMPFI_12815, AMPFI_18246, AMPFI_11796, AMPFI_13619, AMPFI_05054, AMPFI_08718, AMPFI_17315, AMPFI_09601, AMPFI_17958, AMPFI_07888, AMPFI_08717, AMPFI_17775, AMPFI_05950, AMPFI_22611, AMPFI_12715, AMPFI_11179, AMPFI_01660, AMPFI_10403, AMPFI_14392, AMPFI_21372, AMPFI_17201, AMPFI_10720, AMPFI_13005, AMPFI_17687, AMPFI_23259, AMPFI_10719, AMPFI_06896, AMPFI_15980, AMPFI_22632, AMPFI_10723, AMPFI_05051, AMPFI_15164, AMPFI_13841, AMPFI_10452, AMPFI_12808, AMPFI_02242, AMPFI_10368, AMPFI_05086, AMPFI_01887, AMPFI_23693, AMPFI_04162, AMPFI_14246, AMPFI_15037, AMPFI_05643, AMPFI_12123, AMPFI_09829, AMPFI_09451, AMPFI_04510, AMPFI_05457, AMPFI_22089, AMPFI_09578, AMPFI_08715, AMPFI_09058, AMPFI_11659, AMPFI_08026, AMPFI_25923, AMPFI_10722, AMPFI_14907, AMPFI_11266, AMPFI_07673, AMPFI_05359, AMPFI_02546, AMPFI_06892, AMPFI_01811, AMPFI_05540, AMPFI_01210, AMPFI_08513, AMPFI_09320, AMPFI_16014, AMPFI_06953, AMPFI_13252, AMPFI_12244, AMPFI_02197, AMPFI_06954, AMPFI_12118, AMPFI_25383
OG0000312	CAEEL19323	AMPFI_21427
OG0000312	CAEEL16684	AMPFI_20772
OG0000312	CAEEL08464	AMPFI_21121
OG0000313	CAEEL06343	AMPFI_11114, AMPFI_16761
OG0000314	CAEEL12578	AMPFI_01491
OG0000314	CAEEL14227, CAEEL02951	AMPFI_21098, AMPFI_21539
OG0000315	CAEEL07409	AMPFI_07728
OG0000315	CAEEL07609	AMPFI_07490
OG0000315	CAEEL07292	AMPFI_02270, AMPFI_09332
OG0000316	CAEEL01799	AMPFI_17678
OG0000317	CAEEL18155	AMPFI_13838
OG0000319	CAEEL00889	AMPFI_18016
OG0000319	CAEEL10346	AMPFI_24803
OG0000321	CAEEL19255	AMPFI_13886
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	AMPFI_16430, AMPFI_01114, AMPFI_11536, AMPFI_16438, AMPFI_14537, AMPFI_01378, AMPFI_07075, AMPFI_22995, AMPFI_10175, AMPFI_10174, AMPFI_04030, AMPFI_12395
OG0000323	CAEEL08030	AMPFI_13708, AMPFI_18244, AMPFI_16959, AMPFI_12290
OG0000325	CAEEL01448, CAEEL10554	AMPFI_00268, AMPFI_18454, AMPFI_22673
OG0000327	CAEEL18527	AMPFI_02810, AMPFI_10968
OG0000327	CAEEL06891	AMPFI_07053, AMPFI_01699
OG0000328	CAEEL02700, CAEEL20663	AMPFI_12095
OG0000329	CAEEL05342	AMPFI_20416, AMPFI_18953
OG0000338	CAEEL02726	AMPFI_12428
OG0000341	CAEEL02829	AMPFI_21712
OG0000343	CAEEL00542	AMPFI_14007
OG0000345	CAEEL13165	AMPFI_25637, AMPFI_25636
OG0000345	CAEEL09288	AMPFI_10260, AMPFI_07208, AMPFI_03618
OG0000346	CAEEL10353	AMPFI_04737
OG0000346	CAEEL04767	AMPFI_07378, AMPFI_07379, AMPFI_12775, AMPFI_17071
OG0000350	CAEEL13904	AMPFI_13974
OG0000351	CAEEL07375	AMPFI_23428
OG0000352	CAEEL05587	AMPFI_09522
OG0000356	CAEEL10812	AMPFI_06622
OG0000357	CAEEL07861	AMPFI_13175, AMPFI_23961
OG0000357	CAEEL10151, CAEEL05953	AMPFI_08530
OG0000358	CAEEL13826	AMPFI_12913, AMPFI_14920, AMPFI_02004
OG0000358	CAEEL19072	AMPFI_18035, AMPFI_00204, AMPFI_13026
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	AMPFI_13496
OG0000359	CAEEL04647	AMPFI_25444
OG0000363	CAEEL04898, CAEEL01034, CAEEL00066	AMPFI_19121
OG0000363	CAEEL12357, CAEEL16480	AMPFI_04121
OG0000364	CAEEL18153, CAEEL18154	AMPFI_18353, AMPFI_21188, AMPFI_18689, AMPFI_01368, AMPFI_19431
OG0000365	CAEEL03052	AMPFI_08145
OG0000367	CAEEL11241	AMPFI_07904, AMPFI_24584, AMPFI_10053
OG0000372	CAEEL09938	AMPFI_10224
OG0000372	CAEEL06634	AMPFI_09792
OG0000372	CAEEL11042	AMPFI_13417
OG0000373	CAEEL08053	AMPFI_02134
OG0000373	CAEEL15442, CAEEL15129, CAEEL10313, CAEEL08693, CAEEL00731, CAEEL00550, CAEEL14746, CAEEL12229, CAEEL14071, CAEEL05508, CAEEL05560, CAEEL16400, CAEEL10659	AMPFI_16084
OG0000374	CAEEL04637	AMPFI_05049
OG0000375	CAEEL04597	AMPFI_07511
OG0000378	CAEEL01589	AMPFI_07224
OG0000378	CAEEL18606	AMPFI_10400
OG0000380	CAEEL07128	AMPFI_04763
OG0000385	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992	AMPFI_19226, AMPFI_24194, AMPFI_23534, AMPFI_25679
OG0000389	CAEEL08944, CAEEL11888	AMPFI_07738
