Orthogroup	CAEEL	APOSJ_ok
OG0000030	CAEEL04353	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298, APOSJ_30575
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	APOSJ_13201, APOSJ_45466
OG0000031	CAEEL02023	APOSJ_56428, APOSJ_58452
OG0000031	CAEEL04718	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	CAEEL07076	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000032	CAEEL19615	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569, APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184
OG0000034	CAEEL07900	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000034	CAEEL13037	APOSJ_17818, APOSJ_17819
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	CAEEL01132	APOSJ_60565, APOSJ_21305
OG0000034	CAEEL03140, CAEEL03141	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000035	CAEEL01943	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	CAEEL20458	APOSJ_12145, APOSJ_12146
OG0000036	CAEEL15057	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	CAEEL17629, CAEEL17628	APOSJ_40888, APOSJ_40889
OG0000037	CAEEL20275	APOSJ_41930, APOSJ_41929
OG0000037	CAEEL09012, CAEEL08645	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	CAEEL05762	APOSJ_06808, APOSJ_11405
OG0000038	CAEEL07106	APOSJ_30481
OG0000039	CAEEL18993	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535
OG0000041	CAEEL05494	APOSJ_07883
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	APOSJ_00247
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	APOSJ_55841
OG0000044	CAEEL08025	APOSJ_57022, APOSJ_17804
OG0000048	CAEEL17799	APOSJ_57709, APOSJ_52242, APOSJ_26999, APOSJ_65398
OG0000049	CAEEL02028	APOSJ_51843
OG0000049	CAEEL19631	APOSJ_36502
OG0000051	CAEEL18565	APOSJ_11380, APOSJ_11382, APOSJ_11381, APOSJ_49294, APOSJ_31090, APOSJ_33080, APOSJ_33081, APOSJ_33079, APOSJ_33078, APOSJ_24712, APOSJ_12983, APOSJ_12984, APOSJ_12982, APOSJ_12981, APOSJ_12980, APOSJ_42696, APOSJ_22311, APOSJ_45471, APOSJ_36585, APOSJ_65392, APOSJ_36584, APOSJ_36582, APOSJ_36580, APOSJ_36579, APOSJ_28591, APOSJ_28590, APOSJ_19528, APOSJ_48652, APOSJ_48243, APOSJ_48242, APOSJ_48241, APOSJ_48240, APOSJ_13578, APOSJ_61106
OG0000051	CAEEL09464	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000054	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151	APOSJ_07760, APOSJ_07758, APOSJ_52019, APOSJ_14269
OG0000056	CAEEL05273	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665, APOSJ_63771, APOSJ_63767
OG0000058	CAEEL06550	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	CAEEL09297	APOSJ_14084, APOSJ_62161
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000059	CAEEL08332	APOSJ_09529, APOSJ_37930
OG0000061	CAEEL08422	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	CAEEL07898	APOSJ_44585, APOSJ_44584, APOSJ_12599, APOSJ_31580, APOSJ_31574, APOSJ_30135, APOSJ_31576, APOSJ_13080, APOSJ_01080, APOSJ_31575, APOSJ_31579, APOSJ_31577, APOSJ_31578
OG0000061	CAEEL20509	APOSJ_63552, APOSJ_56302
OG0000062	CAEEL02955	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	CAEEL05773	APOSJ_62799, APOSJ_60703
OG0000063	CAEEL04400	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	CAEEL04467	APOSJ_35430
OG0000065	CAEEL04169, CAEEL03695, CAEEL04171	APOSJ_06253
OG0000066	CAEEL20109	APOSJ_42410, APOSJ_42409, APOSJ_56697, APOSJ_30328, APOSJ_39917, APOSJ_61182, APOSJ_56923, APOSJ_05972, APOSJ_05971, APOSJ_08361
OG0000068	CAEEL06439	APOSJ_21674, APOSJ_37249, APOSJ_37250, APOSJ_22049, APOSJ_37245, APOSJ_13843, APOSJ_13846, APOSJ_13840, APOSJ_13849, APOSJ_37247, APOSJ_37246, APOSJ_22027, APOSJ_13845, APOSJ_37251, APOSJ_37248, APOSJ_13847, APOSJ_07893, APOSJ_07895, APOSJ_07894, APOSJ_07892, APOSJ_53737, APOSJ_18613
OG0000069	CAEEL14766	APOSJ_40539, APOSJ_40541, APOSJ_40540
OG0000069	CAEEL06233	APOSJ_60884
OG0000069	CAEEL19293	APOSJ_54585, APOSJ_57084, APOSJ_30273, APOSJ_57079, APOSJ_07076, APOSJ_54570, APOSJ_52419
OG0000070	CAEEL02606	APOSJ_54993
OG0000070	CAEEL19861	APOSJ_01603
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	APOSJ_06112, APOSJ_06111
OG0000072	CAEEL07368	APOSJ_61865, APOSJ_61864
OG0000073	CAEEL07620	APOSJ_38490, APOSJ_38489, APOSJ_43656
OG0000075	CAEEL03008	APOSJ_58877, APOSJ_16929, APOSJ_58880
OG0000075	CAEEL11367	APOSJ_16193, APOSJ_16195
OG0000075	CAEEL11291	APOSJ_55514, APOSJ_55515, APOSJ_22770
OG0000078	CAEEL18404	APOSJ_46646
OG0000079	CAEEL18822, CAEEL09849	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152
OG0000079	CAEEL10489	APOSJ_18254
OG0000079	CAEEL07248	APOSJ_28991, APOSJ_28990
OG0000082	CAEEL18954, CAEEL04897	APOSJ_25535
OG0000082	CAEEL13927	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287
OG0000082	CAEEL12687	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454
OG0000084	CAEEL10610, CAEEL18185	APOSJ_15697
OG0000084	CAEEL10989	APOSJ_64503, APOSJ_64502, APOSJ_01190
OG0000085	CAEEL06909	APOSJ_64863
OG0000085	CAEEL07542	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022
OG0000085	CAEEL03085	APOSJ_25761
OG0000085	CAEEL08077	APOSJ_04663, APOSJ_04662
OG0000087	CAEEL16056	APOSJ_05721
OG0000090	CAEEL18451	APOSJ_38878, APOSJ_38877, APOSJ_38876
OG0000090	CAEEL10114	APOSJ_21259, APOSJ_53542, APOSJ_03090, APOSJ_00149, APOSJ_49203, APOSJ_01759, APOSJ_01761, APOSJ_10946, APOSJ_51909, APOSJ_22326
OG0000094	CAEEL10719	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221, APOSJ_63079
OG0000094	CAEEL18425	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	APOSJ_39248, APOSJ_37770, APOSJ_23399, APOSJ_62237, APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272, APOSJ_43782, APOSJ_43781, APOSJ_45895
OG0000096	CAEEL16555	APOSJ_12412, APOSJ_28828, APOSJ_12411, APOSJ_12410
OG0000096	CAEEL11088	APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711
OG0000096	CAEEL08533	APOSJ_32190, APOSJ_32193
OG0000096	CAEEL11776	APOSJ_52836
OG0000096	CAEEL06051	APOSJ_32708
OG0000096	CAEEL07422	APOSJ_43628, APOSJ_43632, APOSJ_43630, APOSJ_43631
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	APOSJ_00048, APOSJ_10129, APOSJ_49520, APOSJ_28774, APOSJ_28779, APOSJ_28777
OG0000099	CAEEL07999, CAEEL08340	APOSJ_25133, APOSJ_34675, APOSJ_42170, APOSJ_64579
OG0000099	CAEEL05000, CAEEL01295	APOSJ_34532, APOSJ_05873
OG0000099	CAEEL19098, CAEEL14903	APOSJ_11356
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	APOSJ_27229, APOSJ_27226, APOSJ_27227, APOSJ_27230, APOSJ_27228, APOSJ_33916, APOSJ_33914, APOSJ_33915, APOSJ_33917
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	APOSJ_43912
OG0000103	CAEEL01469, CAEEL18445	APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148
OG0000104	CAEEL04070	APOSJ_28792, APOSJ_28791, APOSJ_14343
OG0000104	CAEEL18800	APOSJ_60992, APOSJ_60994, APOSJ_38695, APOSJ_38692, APOSJ_38440, APOSJ_40832, APOSJ_60308, APOSJ_24715, APOSJ_25353, APOSJ_25354
OG0000106	CAEEL19130, CAEEL20701	APOSJ_07800, APOSJ_32795, APOSJ_57641, APOSJ_20665, APOSJ_20666, APOSJ_00824, APOSJ_36967
OG0000107	CAEEL16896	APOSJ_36420, APOSJ_36419
OG0000110	CAEEL10319, CAEEL17689	APOSJ_05587, APOSJ_27170, APOSJ_05585, APOSJ_25338, APOSJ_55799, APOSJ_62572, APOSJ_62556
OG0000111	CAEEL20845	APOSJ_06931, APOSJ_06932, APOSJ_29940, APOSJ_29941, APOSJ_29942, APOSJ_36757, APOSJ_06818, APOSJ_06821, APOSJ_06819, APOSJ_06820
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	APOSJ_45448, APOSJ_45447, APOSJ_45451, APOSJ_45449, APOSJ_45446, APOSJ_45450, APOSJ_09650, APOSJ_09651
OG0000114	CAEEL03306, CAEEL13040	APOSJ_20449
OG0000114	CAEEL18136	APOSJ_53151, APOSJ_05706, APOSJ_21558, APOSJ_21559, APOSJ_26937, APOSJ_15991, APOSJ_15324, APOSJ_15329, APOSJ_15326, APOSJ_18172, APOSJ_15328, APOSJ_15331, APOSJ_15330, APOSJ_15327, APOSJ_15323, APOSJ_15325, APOSJ_01155, APOSJ_31591
OG0000116	CAEEL14875	APOSJ_13923, APOSJ_18880, APOSJ_18879
OG0000117	CAEEL15828	APOSJ_36305
OG0000117	CAEEL10762	APOSJ_16844, APOSJ_19701
OG0000117	CAEEL07433	APOSJ_25875
OG0000119	CAEEL08480	APOSJ_63143, APOSJ_31038, APOSJ_31040, APOSJ_31039
OG0000119	CAEEL08396	APOSJ_61657, APOSJ_37229, APOSJ_32882, APOSJ_37224, APOSJ_00637, APOSJ_00639, APOSJ_00638, APOSJ_00642, APOSJ_20604, APOSJ_20605, APOSJ_20606, APOSJ_31497, APOSJ_32889, APOSJ_37225, APOSJ_37226, APOSJ_37227, APOSJ_37228, APOSJ_49615, APOSJ_64187, APOSJ_64212, APOSJ_08202, APOSJ_08203, APOSJ_18195, APOSJ_18197, APOSJ_32503, APOSJ_32504, APOSJ_32505, APOSJ_06328, APOSJ_32502, APOSJ_08540, APOSJ_16256
OG0000122	CAEEL01544	APOSJ_58242, APOSJ_58243, APOSJ_58241, APOSJ_58240
OG0000124	CAEEL19897	APOSJ_39871, APOSJ_49014, APOSJ_23030, APOSJ_23033, APOSJ_14455, APOSJ_23031, APOSJ_23028, APOSJ_49016, APOSJ_49026, APOSJ_49027, APOSJ_46416, APOSJ_23035, APOSJ_39873, APOSJ_23032, APOSJ_49018, APOSJ_23034, APOSJ_23029, APOSJ_49028
OG0000124	CAEEL12548, CAEEL09889	APOSJ_31270, APOSJ_15398
OG0000124	CAEEL04963	APOSJ_08149
OG0000124	CAEEL15384, CAEEL15382	APOSJ_04113
OG0000125	CAEEL19671	APOSJ_31500, APOSJ_31501, APOSJ_50279, APOSJ_00600, APOSJ_15086, APOSJ_15085
OG0000126	CAEEL09101	APOSJ_23811, APOSJ_23810, APOSJ_23809, APOSJ_23812, APOSJ_23813, APOSJ_47026
OG0000126	CAEEL10194	APOSJ_08699, APOSJ_08702, APOSJ_55412, APOSJ_08700, APOSJ_08701
OG0000127	CAEEL19207	APOSJ_55791
OG0000127	CAEEL20452	APOSJ_36881, APOSJ_36882
OG0000127	CAEEL00838	APOSJ_56097
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	APOSJ_39440, APOSJ_39441, APOSJ_32509, APOSJ_54023, APOSJ_42437, APOSJ_15682, APOSJ_15679, APOSJ_15681, APOSJ_15680, APOSJ_15678, APOSJ_13342, APOSJ_13343, APOSJ_36577, APOSJ_36578, APOSJ_40114, APOSJ_11627, APOSJ_23210, APOSJ_14842, APOSJ_14840, APOSJ_27939, APOSJ_14839, APOSJ_14845, APOSJ_14843, APOSJ_14844, APOSJ_14841, APOSJ_18549, APOSJ_64947, APOSJ_10048
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	APOSJ_57859
OG0000129	CAEEL12325	APOSJ_14670
OG0000131	CAEEL08663	APOSJ_56958, APOSJ_60896, APOSJ_60907, APOSJ_34232, APOSJ_38911, APOSJ_43599, APOSJ_38909, APOSJ_38912, APOSJ_38910, APOSJ_08327, APOSJ_43602
OG0000131	CAEEL07634	APOSJ_65409
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	APOSJ_24262
OG0000137	CAEEL10559	APOSJ_47355, APOSJ_57809, APOSJ_57807, APOSJ_34855, APOSJ_34857, APOSJ_34856, APOSJ_34858
OG0000140	CAEEL04513	APOSJ_57017
OG0000147	CAEEL04811	APOSJ_24426, APOSJ_24713, APOSJ_24714
OG0000147	CAEEL18488	APOSJ_41231
OG0000148	CAEEL09804	APOSJ_61760, APOSJ_61759
OG0000148	CAEEL04213	APOSJ_25126, APOSJ_25128, APOSJ_25125, APOSJ_25127
OG0000148	CAEEL12387, CAEEL10870	APOSJ_46154
OG0000149	CAEEL02847	APOSJ_64440, APOSJ_64438, APOSJ_08762, APOSJ_64435, APOSJ_64437, APOSJ_64439
OG0000154	CAEEL02932	APOSJ_23336
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	APOSJ_38396, APOSJ_38395
OG0000157	CAEEL00241	APOSJ_40938, APOSJ_40935
OG0000157	CAEEL01390	APOSJ_23026, APOSJ_23027
OG0000158	CAEEL06141	APOSJ_64741, APOSJ_64736, APOSJ_64743, APOSJ_34847, APOSJ_34846, APOSJ_34844, APOSJ_64737, APOSJ_64739, APOSJ_64740, APOSJ_64742, APOSJ_34843, APOSJ_64738, APOSJ_34842, APOSJ_34845
OG0000159	CAEEL02031	APOSJ_38241, APOSJ_25112
OG0000159	CAEEL05281	APOSJ_18948
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	APOSJ_38883, APOSJ_08872, APOSJ_08871, APOSJ_08870, APOSJ_56570, APOSJ_08869
OG0000163	CAEEL08313	APOSJ_40557, APOSJ_27347, APOSJ_38406
OG0000163	CAEEL20194, CAEEL08850	APOSJ_37417, APOSJ_34149, APOSJ_48139
OG0000164	CAEEL09304	APOSJ_29836, APOSJ_29837
OG0000165	CAEEL07846	APOSJ_16152
OG0000167	CAEEL02846	APOSJ_19007, APOSJ_19008
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	APOSJ_13129, APOSJ_61964
OG0000168	CAEEL19018	APOSJ_36956, APOSJ_06767, APOSJ_06766, APOSJ_42735, APOSJ_06768, APOSJ_16593
OG0000171	CAEEL11480	APOSJ_03119, APOSJ_03337, APOSJ_03336, APOSJ_03339, APOSJ_03341, APOSJ_20721, APOSJ_03335, APOSJ_03340, APOSJ_03338, APOSJ_20722
