Orthogroup	CAEEL	MOUSE
OG0000006	CAEEL12101	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	CAEEL00153	MOUSE08011, MOUSE15296
OG0000006	CAEEL17819	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	CAEEL15182	MOUSE03398
OG0000007	CAEEL04050	MOUSE51845, MOUSE20686
OG0000007	CAEEL17965	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	CAEEL05829	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	CAEEL01108	MOUSE09062, MOUSE49739
OG0000007	CAEEL10238, CAEEL04602	MOUSE38585, MOUSE04689, MOUSE37388, MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	CAEEL18586	MOUSE07031, MOUSE07030
OG0000010	CAEEL04259	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000012	CAEEL20690	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000013	CAEEL19127	MOUSE13221, MOUSE13219, MOUSE31454, MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000015	CAEEL03927, CAEEL15698, CAEEL11496	MOUSE03177
OG0000015	CAEEL09145	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093
OG0000015	CAEEL15587	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	CAEEL20493	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130
OG0000016	CAEEL18647	MOUSE13078, MOUSE13077
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137
OG0000020	CAEEL07399	MOUSE45177
OG0000020	CAEEL00627	MOUSE24012
OG0000020	CAEEL05927	MOUSE35162, MOUSE09601, MOUSE09602, MOUSE48313, MOUSE48314
OG0000020	CAEEL13362	MOUSE37001, MOUSE37002
OG0000020	CAEEL09273	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	CAEEL15603	MOUSE41024, MOUSE41023
OG0000021	CAEEL00422	MOUSE04592
OG0000021	CAEEL00784, CAEEL15377	MOUSE44445, MOUSE53773
OG0000023	CAEEL13426	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000023	CAEEL07042	MOUSE50068
OG0000027	CAEEL17825	MOUSE18678, MOUSE18679
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	MOUSE44525
OG0000029	CAEEL20320	MOUSE43115, MOUSE43116
OG0000029	CAEEL20612	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	MOUSE21340
OG0000031	CAEEL17953	MOUSE55187
OG0000031	CAEEL02023	MOUSE26385, MOUSE14840, MOUSE26448, MOUSE08530, MOUSE05256
OG0000031	CAEEL04718	MOUSE44529
OG0000031	CAEEL07076	MOUSE13006, MOUSE13005
OG0000032	CAEEL19615	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	MOUSE29123, MOUSE23164
OG0000034	CAEEL20539	MOUSE23593
OG0000034	CAEEL07900	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	CAEEL13037	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	CAEEL01132	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	CAEEL03140, CAEEL03141	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000035	CAEEL01943	MOUSE02570, MOUSE02571
OG0000035	CAEEL19501, CAEEL17643, CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	MOUSE41551
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	CAEEL17629, CAEEL17628	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	CAEEL03654, CAEEL20275	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	CAEEL09012, CAEEL08645	MOUSE21441
OG0000038	CAEEL01554	MOUSE08557
OG0000038	CAEEL07106	MOUSE22591, MOUSE22592
OG0000039	CAEEL00466	MOUSE23387
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	MOUSE19876, MOUSE19875, MOUSE02175
OG0000041	CAEEL19747	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152
OG0000041	CAEEL05494	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000048	CAEEL17799	MOUSE42203
OG0000049	CAEEL02028	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	CAEEL19631	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	CAEEL10349	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909
OG0000051	CAEEL19606	MOUSE40003
OG0000051	CAEEL09464	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	MOUSE48109
OG0000054	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151	MOUSE48108
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831
OG0000056	CAEEL05273	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000058	CAEEL06550	MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254
OG0000058	CAEEL09297	MOUSE40446, MOUSE40445, MOUSE06405, MOUSE16601, MOUSE38610
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943
OG0000061	CAEEL08422	MOUSE26618, MOUSE38907, MOUSE38906
OG0000062	CAEEL02955	MOUSE52081
OG0000063	CAEEL05773	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	CAEEL04400	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171
OG0000066	CAEEL20109	MOUSE53763, MOUSE13756
OG0000068	CAEEL09504	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009
OG0000068	CAEEL06439	MOUSE02010
OG0000069	CAEEL14766, CAEEL06233	MOUSE30824
OG0000069	CAEEL19293	MOUSE24596
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000070	CAEEL06499	MOUSE14076, MOUSE06197, MOUSE19892
OG0000072	CAEEL07368	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	MOUSE18062
OG0000073	CAEEL07620	MOUSE17327, MOUSE17328, MOUSE17326
OG0000075	CAEEL03008	MOUSE34423
OG0000075	CAEEL11367	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	CAEEL11291	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742, MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000077	CAEEL01559	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	CAEEL18883	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	CAEEL06904	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502
OG0000079	CAEEL18822	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	CAEEL07248	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479, MOUSE05042
OG0000082	CAEEL18954, CAEEL04897	MOUSE25920
OG0000082	CAEEL13927	MOUSE19184
OG0000082	CAEEL12687	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878
OG0000084	CAEEL10610, CAEEL18185	MOUSE21451, MOUSE30075, MOUSE30074
OG0000084	CAEEL08514, CAEEL10452	MOUSE31596, MOUSE40356, MOUSE00836
OG0000085	CAEEL06909	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	CAEEL07542	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	CAEEL03085	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	CAEEL08077	MOUSE15351, MOUSE19993
OG0000090	CAEEL18451	MOUSE17971, MOUSE17970, MOUSE17967
OG0000090	CAEEL10114	MOUSE32571, MOUSE32572
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359	MOUSE19668, MOUSE19669
OG0000094	CAEEL10719	MOUSE23651, MOUSE23649, MOUSE23648, MOUSE23650, MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508
OG0000094	CAEEL18425	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850, MOUSE25209
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	MOUSE21579
OG0000095	CAEEL03536	MOUSE39287, MOUSE39286, MOUSE39288, MOUSE39290, MOUSE39289, MOUSE39291, MOUSE21580, MOUSE12896, MOUSE29409, MOUSE29410
OG0000096	CAEEL16555	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	CAEEL11088	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	CAEEL08533	MOUSE47009, MOUSE14640, MOUSE35516
OG0000096	CAEEL11776	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	CAEEL06051	MOUSE45925, MOUSE45926, MOUSE44088
OG0000096	CAEEL07422	MOUSE52337, MOUSE52338
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000099	CAEEL07999, CAEEL08340	MOUSE30052, MOUSE30050, MOUSE30051, MOUSE53947, MOUSE53948, MOUSE53946, MOUSE50039, MOUSE50041, MOUSE50040, MOUSE03601, MOUSE03600, MOUSE03599
OG0000099	CAEEL05000, CAEEL01295	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384
OG0000103	CAEEL01469, CAEEL18445	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000104	CAEEL04070	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436
OG0000104	CAEEL18800	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642, MOUSE06977, MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576, MOUSE16174, MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764, MOUSE22551, MOUSE22550
OG0000106	CAEEL19130, CAEEL20701	MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000107	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175	MOUSE41813
OG0000110	CAEEL18731	MOUSE04692
OG0000110	CAEEL15167	MOUSE38814
OG0000111	CAEEL20845	MOUSE17075, MOUSE14044, MOUSE06017, MOUSE06016, MOUSE07126, MOUSE28116, MOUSE53772, MOUSE29257, MOUSE29259, MOUSE29254, MOUSE21512, MOUSE34168, MOUSE00043, MOUSE00042, MOUSE00044, MOUSE00053, MOUSE00055, MOUSE00045, MOUSE00060, MOUSE00058, MOUSE00059, MOUSE00062, MOUSE00054, MOUSE00065, MOUSE00066, MOUSE00064, MOUSE00057, MOUSE00051, MOUSE00050, MOUSE00049, MOUSE00063, MOUSE00056, MOUSE00061, MOUSE00052, MOUSE21513
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329
OG0000114	CAEEL18136	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888
OG0000114	CAEEL15245, CAEEL11468	MOUSE04136
OG0000116	CAEEL14875	MOUSE27994
OG0000117	CAEEL10762	MOUSE26103, MOUSE26102
OG0000119	CAEEL08480	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167
OG0000119	CAEEL08396	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713
OG0000120	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	MOUSE32833
OG0000120	CAEEL15157	MOUSE28707, MOUSE28706, MOUSE28705
OG0000121	CAEEL06288, CAEEL12116	MOUSE01294
OG0000122	CAEEL01544	MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753
OG0000124	CAEEL19897	MOUSE45402, MOUSE45403
OG0000124	CAEEL04963	MOUSE34424, MOUSE34425
OG0000124	CAEEL15384, CAEEL15382	MOUSE27466, MOUSE49894
OG0000126	CAEEL08841, CAEEL04611	MOUSE36415, MOUSE36417, MOUSE03223, MOUSE44505
OG0000126	CAEEL09101	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380
OG0000126	CAEEL10194	MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725
OG0000127	CAEEL19207	MOUSE47545, MOUSE54139, MOUSE29572
OG0000127	CAEEL20452	MOUSE52357, MOUSE52358, MOUSE13075
OG0000127	CAEEL00838	MOUSE09031, MOUSE06835, MOUSE28216
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	MOUSE20235, MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521
OG0000129	CAEEL12325	MOUSE45123, MOUSE55058
OG0000129	CAEEL08188	MOUSE23071, MOUSE23074, MOUSE23073, MOUSE23072, MOUSE49915
OG0000131	CAEEL08663	MOUSE01093, MOUSE01094
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	MOUSE14073
OG0000137	CAEEL18416, CAEEL11601	MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196
OG0000137	CAEEL10559	MOUSE18094, MOUSE18096
OG0000137	CAEEL15802, CAEEL15801	MOUSE18095
OG0000141	CAEEL09688	MOUSE07490
OG0000142	CAEEL19259	MOUSE49876, MOUSE19688
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	MOUSE28967
OG0000147	CAEEL04811	MOUSE23083, MOUSE23081, MOUSE23080, MOUSE23084, MOUSE23082, MOUSE34846, MOUSE34845, MOUSE34844
OG0000147	CAEEL18488	MOUSE09313, MOUSE09314, MOUSE09315, MOUSE09317, MOUSE12666, MOUSE12667
OG0000148	CAEEL09804	MOUSE54278, MOUSE54277, MOUSE54279, MOUSE40870, MOUSE40868, MOUSE40869, MOUSE40871, MOUSE07014, MOUSE07018, MOUSE07013, MOUSE23507, MOUSE23504, MOUSE23506, MOUSE23508, MOUSE23505, MOUSE23503
OG0000148	CAEEL04213	MOUSE23498
OG0000149	CAEEL02847	MOUSE10061, MOUSE10064, MOUSE16718
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	MOUSE44762, MOUSE19464
OG0000154	CAEEL02932	MOUSE16271, MOUSE16267, MOUSE16269, MOUSE16270
