Orthogroup	CAEEL	LYTVA_ok
OG0000036	CAEEL15057	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000037	CAEEL04684	LYTVA_17010
OG0000037	CAEEL20275	LYTVA_02747
OG0000037	CAEEL09012, CAEEL08645	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	CAEEL19549	LYTVA_25636
OG0000038	CAEEL01554	LYTVA_09822
OG0000038	CAEEL05762	LYTVA_09821
OG0000038	CAEEL07106	LYTVA_09823
OG0000038	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943	LYTVA_09516
OG0000039	CAEEL01773, CAEEL00466	LYTVA_13062
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	LYTVA_17546, LYTVA_17545
OG0000041	CAEEL05494	LYTVA_25852
OG0000044	CAEEL08025	LYTVA_19279
OG0000047	CAEEL17846	LYTVA_09701
OG0000049	CAEEL02028	LYTVA_16567
OG0000049	CAEEL19631	LYTVA_21152
OG0000051	CAEEL18565	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370
OG0000051	CAEEL05770	LYTVA_16492, LYTVA_16490
OG0000051	CAEEL09464	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000055	CAEEL14858	LYTVA_09126, LYTVA_26970, LYTVA_18344, LYTVA_18117
OG0000056	CAEEL05273	LYTVA_03272
OG0000058	CAEEL06550	LYTVA_29674
OG0000058	CAEEL09297	LYTVA_15397, LYTVA_14164
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	LYTVA_16698
OG0000059	CAEEL08332	LYTVA_17899
OG0000061	CAEEL08422	LYTVA_16102
OG0000061	CAEEL07898	LYTVA_19867
OG0000061	CAEEL20509	LYTVA_16101
OG0000062	CAEEL02955	LYTVA_18550
OG0000063	CAEEL05773	LYTVA_03474
OG0000063	CAEEL04400	LYTVA_16178
OG0000066	CAEEL18679	LYTVA_00023
OG0000066	CAEEL20109	LYTVA_28191, LYTVA_01654, LYTVA_19934, LYTVA_14724
OG0000068	CAEEL06439	LYTVA_29801, LYTVA_20828, LYTVA_11990, LYTVA_12287, LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450
OG0000069	CAEEL14766	LYTVA_15781
OG0000069	CAEEL19293	LYTVA_28251, LYTVA_19634, LYTVA_18557
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821
OG0000070	CAEEL19861	LYTVA_20188, LYTVA_21334
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	LYTVA_10873, LYTVA_10872, LYTVA_22942, LYTVA_22941, LYTVA_07051, LYTVA_07050, LYTVA_22709
OG0000072	CAEEL07368	LYTVA_16436
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	LYTVA_08820, LYTVA_28046
OG0000075	CAEEL11291	LYTVA_12523
OG0000076	CAEEL18418	LYTVA_14794
OG0000077	CAEEL01559	LYTVA_24286
OG0000077	CAEEL18883	LYTVA_08553
OG0000077	CAEEL18420	LYTVA_24285
OG0000078	CAEEL18404, CAEEL11831	LYTVA_07177, LYTVA_07710, LYTVA_00587, LYTVA_14585, LYTVA_00355
OG0000079	CAEEL18822, CAEEL09849	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	CAEEL07248	LYTVA_05934
OG0000082	CAEEL18954, CAEEL04897	LYTVA_25888
OG0000082	CAEEL13927	LYTVA_18803
OG0000082	CAEEL12687	LYTVA_21157, LYTVA_15644, LYTVA_26329
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399
OG0000084	CAEEL10610, CAEEL18185	LYTVA_14799
OG0000084	CAEEL10989	LYTVA_18145, LYTVA_16127
OG0000085	CAEEL06909	LYTVA_19136
OG0000085	CAEEL07542	LYTVA_13307
OG0000085	CAEEL03085	LYTVA_05365
OG0000085	CAEEL08077	LYTVA_17776
OG0000087	CAEEL16056	LYTVA_16301
OG0000090	CAEEL18451	LYTVA_02577
OG0000090	CAEEL10114	LYTVA_05131, LYTVA_28107, LYTVA_09935, LYTVA_28533, LYTVA_15568, LYTVA_22414, LYTVA_15916, LYTVA_07602, LYTVA_18395, LYTVA_13128
OG0000094	CAEEL10719	LYTVA_10290
OG0000094	CAEEL18425	LYTVA_09221
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	LYTVA_04385, LYTVA_29816, LYTVA_16046, LYTVA_16047, LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054, LYTVA_27487, LYTVA_28301
OG0000096	CAEEL16555	LYTVA_28490
OG0000096	CAEEL11088	LYTVA_12286
OG0000096	CAEEL08533	LYTVA_21388
OG0000096	CAEEL11776	LYTVA_19397
OG0000096	CAEEL06051	LYTVA_24298
OG0000096	CAEEL07422	LYTVA_20858
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	LYTVA_24589, LYTVA_16909
OG0000099	CAEEL07999, CAEEL08340	LYTVA_22524, LYTVA_05673, LYTVA_26003
OG0000099	CAEEL05000, CAEEL01295	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	LYTVA_25292, LYTVA_25291
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	LYTVA_05784
OG0000103	CAEEL01469, CAEEL18445	LYTVA_08412
OG0000104	CAEEL04070	LYTVA_24486
OG0000104	CAEEL18800	LYTVA_21210, LYTVA_17807, LYTVA_17806, LYTVA_21623, LYTVA_12502, LYTVA_12996
OG0000106	CAEEL19130, CAEEL20701	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000107	CAEEL14935, CAEEL14956	LYTVA_19232
OG0000107	CAEEL01947, CAEEL10932, CAEEL15125	LYTVA_06216
OG0000107	CAEEL14857	LYTVA_24448
OG0000110	CAEEL18731	LYTVA_29623
OG0000110	CAEEL10319, CAEEL17689	LYTVA_05807, LYTVA_30126, LYTVA_30125
OG0000111	CAEEL20845	LYTVA_08411, LYTVA_20172, LYTVA_14099
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	LYTVA_11625
OG0000114	CAEEL03306, CAEEL13040	LYTVA_08088
OG0000114	CAEEL18136	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000116	CAEEL14875	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000117	CAEEL07433	LYTVA_20571, LYTVA_17624
OG0000119	CAEEL08480	LYTVA_11474
OG0000119	CAEEL08396	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000120	CAEEL10840	LYTVA_04898
OG0000122	CAEEL01544	LYTVA_18458, LYTVA_18460
OG0000124	CAEEL19897	LYTVA_14993
OG0000124	CAEEL15384, CAEEL15382	LYTVA_20699
OG0000125	CAEEL19671	LYTVA_00442, LYTVA_17769
OG0000126	CAEEL09101	LYTVA_03902
OG0000126	CAEEL10194	LYTVA_29180
OG0000127	CAEEL19207	LYTVA_27169
OG0000127	CAEEL20452	LYTVA_12856
OG0000127	CAEEL00838	LYTVA_21563
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	LYTVA_18955, LYTVA_21574, LYTVA_01369, LYTVA_05348, LYTVA_25678, LYTVA_25569, LYTVA_25568, LYTVA_09097, LYTVA_07273, LYTVA_29734, LYTVA_23730, LYTVA_23728, LYTVA_23729
OG0000129	CAEEL12325	LYTVA_27162
OG0000131	CAEEL08663	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090
OG0000131	CAEEL07634	LYTVA_10860
OG0000137	CAEEL10559	LYTVA_25469, LYTVA_15627
OG0000141	CAEEL09688	LYTVA_28409
OG0000142	CAEEL19543	LYTVA_04554
OG0000147	CAEEL04811	LYTVA_06334
OG0000147	CAEEL18488	LYTVA_24464
OG0000148	CAEEL09804	LYTVA_28370, LYTVA_19008
OG0000149	CAEEL02847	LYTVA_27288
OG0000149	CAEEL08694	LYTVA_09082
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	LYTVA_12158
OG0000158	CAEEL20117, CAEEL08684	LYTVA_03807
OG0000159	CAEEL02031	LYTVA_25766
OG0000159	CAEEL05281	LYTVA_12728, LYTVA_16500, LYTVA_10738, LYTVA_17708, LYTVA_06313, LYTVA_13868, LYTVA_10736
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	LYTVA_09555, LYTVA_09556, LYTVA_04290, LYTVA_15927, LYTVA_15928, LYTVA_20062, LYTVA_07452, LYTVA_05524, LYTVA_11099
OG0000163	CAEEL08313	LYTVA_26726
OG0000163	CAEEL20194, CAEEL08850	LYTVA_16156
OG0000164	CAEEL09304	LYTVA_24066, LYTVA_14536, LYTVA_13659, LYTVA_23342, LYTVA_14042, LYTVA_14537, LYTVA_00834
OG0000165	CAEEL07846	LYTVA_00753
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	LYTVA_16323
OG0000168	CAEEL19018	LYTVA_19322, LYTVA_08888, LYTVA_08887
OG0000171	CAEEL11480	LYTVA_27222
OG0000172	CAEEL04412	LYTVA_11573
OG0000173	CAEEL04156	LYTVA_24999, LYTVA_13813
OG0000174	CAEEL12711	LYTVA_12646, LYTVA_19454, LYTVA_00411
OG0000174	CAEEL09479	LYTVA_10125
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	LYTVA_23856
OG0000179	CAEEL13640	LYTVA_11503
OG0000179	CAEEL02965, CAEEL06713	LYTVA_09715, LYTVA_09722, LYTVA_06848
OG0000179	CAEEL19466, CAEEL07193	LYTVA_21017, LYTVA_21234
OG0000180	CAEEL06539	LYTVA_08268, LYTVA_08275
OG0000181	CAEEL10772	LYTVA_30016
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	LYTVA_29269
OG0000183	CAEEL18435	LYTVA_12902, LYTVA_28105
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	LYTVA_22049, LYTVA_02101, LYTVA_11407, LYTVA_11408
OG0000185	CAEEL14200	LYTVA_05708
OG0000188	CAEEL13361	LYTVA_07056
OG0000188	CAEEL20699	LYTVA_29520
OG0000193	CAEEL09482, CAEEL14826	LYTVA_15362, LYTVA_23759
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	LYTVA_03510
OG0000193	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985	LYTVA_08489
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	LYTVA_11062, LYTVA_09814, LYTVA_16951
OG0000197	CAEEL04387	LYTVA_01365
OG0000201	CAEEL07587	LYTVA_06928, LYTVA_03481, LYTVA_03480
OG0000202	CAEEL20283	LYTVA_19347, LYTVA_19795
OG0000203	CAEEL09812	LYTVA_26037, LYTVA_26044, LYTVA_15099
OG0000205	CAEEL13029	LYTVA_26646
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	LYTVA_10395, LYTVA_08282
OG0000207	CAEEL05874, CAEEL00203	LYTVA_11110, LYTVA_21753, LYTVA_28234, LYTVA_23513, LYTVA_30157, LYTVA_01312, LYTVA_23468, LYTVA_16683, LYTVA_23967, LYTVA_11884
OG0000211	CAEEL15290	LYTVA_04294
OG0000211	CAEEL02311	LYTVA_26568
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	LYTVA_05533, LYTVA_09456, LYTVA_02687, LYTVA_25933
OG0000218	CAEEL07824, CAEEL20213	LYTVA_12244, LYTVA_02104, LYTVA_26547, LYTVA_01722, LYTVA_15921, LYTVA_12774, LYTVA_12768, LYTVA_01721, LYTVA_12719, LYTVA_12771, LYTVA_14011, LYTVA_01720, LYTVA_19061, LYTVA_27533, LYTVA_27534, LYTVA_25346, LYTVA_06371, LYTVA_08949, LYTVA_19062, LYTVA_12767, LYTVA_18998, LYTVA_15920, LYTVA_19551
OG0000221	CAEEL10747	LYTVA_17595
OG0000221	CAEEL06648	LYTVA_08100
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	LYTVA_20688, LYTVA_20689, LYTVA_18494
OG0000226	CAEEL12318	LYTVA_13073, LYTVA_13071, LYTVA_12352, LYTVA_07687, LYTVA_17196, LYTVA_02695
OG0000227	CAEEL19645	LYTVA_23655, LYTVA_07921, LYTVA_00830, LYTVA_00289, LYTVA_24191
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	LYTVA_23411, LYTVA_09325, LYTVA_06193, LYTVA_06192
OG0000230	CAEEL14845, CAEEL19792	LYTVA_29471
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	LYTVA_10912
OG0000231	CAEEL08481	LYTVA_23091
OG0000231	CAEEL01724	LYTVA_01782
OG0000232	CAEEL18532, CAEEL19887	LYTVA_10574
OG0000233	CAEEL19660, CAEEL15634	LYTVA_06974, LYTVA_04354
OG0000234	CAEEL03013, CAEEL03014	LYTVA_19906
OG0000235	CAEEL10795, CAEEL07012	LYTVA_26303, LYTVA_17292, LYTVA_28399, LYTVA_23583, LYTVA_28400, LYTVA_29011, LYTVA_24567
OG0000236	CAEEL19835	LYTVA_03072
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	LYTVA_04511
OG0000239	CAEEL14926	LYTVA_06349
OG0000239	CAEEL00570	LYTVA_09698, LYTVA_06433
OG0000242	CAEEL05302	LYTVA_20520
OG0000243	CAEEL13597, CAEEL13598	LYTVA_21983
OG0000244	CAEEL11789, CAEEL12688	LYTVA_00671, LYTVA_14110, LYTVA_00337, LYTVA_21810, LYTVA_07546
OG0000245	CAEEL20391	LYTVA_18697
OG0000249	CAEEL00206	LYTVA_00161
OG0000250	CAEEL11963	LYTVA_04806, LYTVA_21908
OG0000250	CAEEL07261	LYTVA_28209
OG0000250	CAEEL04698	LYTVA_16072, LYTVA_19814
OG0000250	CAEEL06732	LYTVA_07981, LYTVA_05636
OG0000251	CAEEL03667	LYTVA_08931
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	LYTVA_03091
OG0000255	CAEEL05715	LYTVA_14731, LYTVA_05053, LYTVA_05047, LYTVA_01200, LYTVA_21255, LYTVA_21254, LYTVA_22664, LYTVA_22659, LYTVA_22497, LYTVA_19292
OG0000256	CAEEL11937, CAEEL19468	LYTVA_17873
OG0000257	CAEEL01910, CAEEL15386	LYTVA_13638
OG0000258	CAEEL09342	LYTVA_18309
OG0000258	CAEEL15770	LYTVA_23522
OG0000260	CAEEL11482	LYTVA_02941, LYTVA_22814
OG0000261	CAEEL20767	LYTVA_03764, LYTVA_00402
OG0000265	CAEEL20581	LYTVA_27571, LYTVA_27683
OG0000265	CAEEL10364	LYTVA_23503
OG0000266	CAEEL02705, CAEEL19379, CAEEL09158	LYTVA_29614
OG0000268	CAEEL08164	LYTVA_05677
OG0000271	CAEEL07236	LYTVA_06909, LYTVA_01054, LYTVA_19544
OG0000272	CAEEL11804, CAEEL19905	LYTVA_01003
OG0000275	CAEEL14783	LYTVA_17171, LYTVA_10999
OG0000275	CAEEL11381, CAEEL10050	LYTVA_25132
OG0000277	CAEEL07730, CAEEL07729	LYTVA_08395
OG0000278	CAEEL07099	LYTVA_29542
OG0000280	CAEEL07028	LYTVA_10371
OG0000282	CAEEL11864	LYTVA_01761, LYTVA_10300, LYTVA_07993
OG0000284	CAEEL18846	LYTVA_15352, LYTVA_18853, LYTVA_15353, LYTVA_05389
OG0000285	CAEEL00191	LYTVA_02472, LYTVA_02471, LYTVA_16191
OG0000285	CAEEL14297, CAEEL16730	LYTVA_10934, LYTVA_01900, LYTVA_00819, LYTVA_10933
OG0000287	CAEEL19227, CAEEL19907, CAEEL20741, CAEEL18156	LYTVA_22947
OG0000287	CAEEL18837	LYTVA_26280, LYTVA_13885, LYTVA_02363, LYTVA_02361, LYTVA_22051, LYTVA_11492, LYTVA_02364, LYTVA_22944
OG0000295	CAEEL04248, CAEEL10950	LYTVA_12691, LYTVA_02154, LYTVA_08756, LYTVA_13817, LYTVA_30195
OG0000296	CAEEL14675	LYTVA_00283
OG0000302	CAEEL08099	LYTVA_01256
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	LYTVA_16632, LYTVA_15733
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446	LYTVA_05730
OG0000308	CAEEL00748	LYTVA_17738, LYTVA_10665, LYTVA_19994, LYTVA_00091
OG0000310	CAEEL02560	LYTVA_29000
OG0000311	CAEEL19230	LYTVA_09080
OG0000312	CAEEL19323	LYTVA_13219
OG0000312	CAEEL16684	LYTVA_30225
OG0000312	CAEEL08464	LYTVA_14217
OG0000314	CAEEL05241	LYTVA_16209
OG0000314	CAEEL14227, CAEEL02951	LYTVA_08014, LYTVA_13477
OG0000315	CAEEL07409	LYTVA_09346
OG0000315	CAEEL07609	LYTVA_15142
OG0000315	CAEEL07292	LYTVA_26355
OG0000316	CAEEL01799	LYTVA_05423
OG0000317	CAEEL18155	LYTVA_06380, LYTVA_13588
OG0000319	CAEEL00889, CAEEL10346	LYTVA_14716
OG0000321	CAEEL19255	LYTVA_08758
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	LYTVA_23095, LYTVA_01957, LYTVA_08299, LYTVA_00474
OG0000323	CAEEL08030	LYTVA_10353, LYTVA_24178, LYTVA_03400, LYTVA_14040
OG0000325	CAEEL01448, CAEEL10554	LYTVA_14568, LYTVA_01652, LYTVA_21815, LYTVA_09314
OG0000328	CAEEL02700, CAEEL20663	LYTVA_11793, LYTVA_17362
OG0000329	CAEEL05342	LYTVA_04971, LYTVA_01991, LYTVA_04970
OG0000333	CAEEL20574	LYTVA_05748, LYTVA_16654
OG0000338	CAEEL02726	LYTVA_05136, LYTVA_00791
OG0000341	CAEEL02829	LYTVA_10929
OG0000345	CAEEL09288	LYTVA_03014, LYTVA_25222
OG0000346	CAEEL10353, CAEEL01774	LYTVA_28106
OG0000350	CAEEL13904	LYTVA_20079
OG0000352	CAEEL05587	LYTVA_04087, LYTVA_27834
OG0000356	CAEEL10812	LYTVA_12824, LYTVA_04860
OG0000357	CAEEL07861	LYTVA_11988, LYTVA_11987
OG0000357	CAEEL10151, CAEEL05953	LYTVA_16315
OG0000358	CAEEL13826	LYTVA_08930, LYTVA_29814, LYTVA_27295
OG0000358	CAEEL19072	LYTVA_21272, LYTVA_01288
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	LYTVA_13862
OG0000363	CAEEL04898, CAEEL01034, CAEEL00066	LYTVA_02850, LYTVA_15234, LYTVA_19502, LYTVA_12892
OG0000363	CAEEL12357, CAEEL16480	LYTVA_13711
OG0000364	CAEEL18153, CAEEL18154	LYTVA_03241, LYTVA_12339, LYTVA_24462, LYTVA_21604, LYTVA_02959, LYTVA_06968, LYTVA_19018, LYTVA_21819
OG0000365	CAEEL03052	LYTVA_02311
OG0000365	CAEEL02170, CAEEL00591	LYTVA_20090
OG0000367	CAEEL11241	LYTVA_24456
OG0000371	CAEEL18802	LYTVA_00668, LYTVA_00667
OG0000372	CAEEL09938	LYTVA_09420
OG0000372	CAEEL06634	LYTVA_03697
OG0000372	CAEEL11042	LYTVA_13806
OG0000373	CAEEL08053	LYTVA_08644
