Orthogroup	CAEEL	STRPU_ok
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	STRPU_05602, STRPU_05543
OG0000015	CAEEL15587	STRPU_05547, STRPU_05606
OG0000016	CAEEL20493	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	STRPU_09277
OG0000016	CAEEL18647	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484, STRPU_06664, STRPU_06873, STRPU_06665
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	STRPU_27424, STRPU_27423, STRPU_27421, STRPU_27422, STRPU_27112, STRPU_27113
OG0000020	CAEEL00627	STRPU_19861, STRPU_19888
OG0000020	CAEEL05927	STRPU_11453, STRPU_04309, STRPU_04336
OG0000020	CAEEL13362	STRPU_05521
OG0000020	CAEEL09273	STRPU_21977
OG0000021	CAEEL15603	STRPU_23367
OG0000021	CAEEL00422	STRPU_02205, STRPU_15603
OG0000021	CAEEL00784, CAEEL15377	STRPU_19932, STRPU_02595
OG0000023	CAEEL13426	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000026	CAEEL08121	STRPU_15199, STRPU_15256, STRPU_07319, STRPU_15257, STRPU_18096, STRPU_18095
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	STRPU_27006
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	STRPU_27008
OG0000028	CAEEL19515, CAEEL07887	STRPU_10620
OG0000029	CAEEL20320	STRPU_25978
OG0000029	CAEEL11851, CAEEL20612	STRPU_09836, STRPU_17433, STRPU_17432
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	STRPU_23383
OG0000030	CAEEL04353	STRPU_08641, STRPU_01462, STRPU_08711, STRPU_19039
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	STRPU_09527
OG0000031	CAEEL02023	STRPU_24640, STRPU_24955
OG0000031	CAEEL04718	STRPU_27330
OG0000031	CAEEL07076	STRPU_05537, STRPU_05597
OG0000032	CAEEL19615	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816, STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343
OG0000034	CAEEL07900	STRPU_15245, STRPU_15189
OG0000034	CAEEL13037	STRPU_11798
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	STRPU_11930, STRPU_11885
OG0000034	CAEEL01132	STRPU_27315
OG0000034	CAEEL03140, CAEEL03141	STRPU_11793
OG0000035	CAEEL01943	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	CAEEL20458	STRPU_12554
OG0000036	CAEEL15057	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	CAEEL17629, CAEEL17628	STRPU_20762
OG0000037	CAEEL20275	STRPU_24785
OG0000037	CAEEL09012, CAEEL08645	STRPU_10295, STRPU_10296, STRPU_10297
OG0000038	CAEEL19549	STRPU_17751
OG0000038	CAEEL01554	STRPU_18076, STRPU_01766
OG0000038	CAEEL07106	STRPU_18075, STRPU_01765
OG0000038	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943	STRPU_17312
OG0000039	CAEEL01773, CAEEL00466	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	STRPU_12828
OG0000041	CAEEL05494	STRPU_13000
OG0000044	CAEEL08025	STRPU_21629
OG0000049	CAEEL02028	STRPU_17072
OG0000049	CAEEL19631	STRPU_23537
OG0000051	CAEEL18565	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664
OG0000051	CAEEL09464	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000056	CAEEL05273	STRPU_19327, STRPU_18531, STRPU_18489
OG0000058	CAEEL06550	STRPU_10155, STRPU_10092
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	STRPU_09783
OG0000059	CAEEL08332	STRPU_05822
OG0000059	CAEEL07152	STRPU_26445
OG0000061	CAEEL08422	STRPU_13962
OG0000061	CAEEL07898	STRPU_13278, STRPU_13279
OG0000061	CAEEL20509	STRPU_13961
OG0000062	CAEEL02955	STRPU_08191
OG0000063	CAEEL05773	STRPU_18989
OG0000063	CAEEL04400	STRPU_18657
OG0000066	CAEEL18679	STRPU_23239
OG0000066	CAEEL20109	STRPU_07404, STRPU_19100
OG0000068	CAEEL06439	STRPU_22578, STRPU_22587, STRPU_22390, STRPU_23541, STRPU_07504, STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939
OG0000069	CAEEL14766	STRPU_24462
OG0000069	CAEEL19293	STRPU_08964, STRPU_21393
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	STRPU_26328, STRPU_04107, STRPU_05473, STRPU_05020, STRPU_25384, STRPU_24249, STRPU_09003, STRPU_01056, STRPU_05927, STRPU_06003, STRPU_05936, STRPU_05932, STRPU_06000
OG0000070	CAEEL19861	STRPU_09262
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	STRPU_18392, STRPU_12567, STRPU_20613, STRPU_20615, STRPU_25995, STRPU_26372, STRPU_26374, STRPU_26373, STRPU_26371, STRPU_26370, STRPU_25994, STRPU_20810, STRPU_05831
OG0000072	CAEEL07368	STRPU_05231, STRPU_05232
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	STRPU_08362
OG0000075	CAEEL03008	STRPU_10595
OG0000075	CAEEL11367	STRPU_01897, STRPU_22743
OG0000075	CAEEL11291	STRPU_23530, STRPU_23991
OG0000077	CAEEL01559	STRPU_09555
OG0000077	CAEEL18883	STRPU_10408
OG0000077	CAEEL06904	STRPU_07855
OG0000077	CAEEL18420	STRPU_09553
OG0000078	CAEEL18404, CAEEL11831	STRPU_13338, STRPU_24931, STRPU_21033, STRPU_21035, STRPU_13337
OG0000079	CAEEL18822, CAEEL09849	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	CAEEL10489	STRPU_04091
OG0000079	CAEEL07248	STRPU_02493, STRPU_15115, STRPU_15116, STRPU_02495
OG0000082	CAEEL18954, CAEEL04897	STRPU_19842
OG0000082	CAEEL13927	STRPU_09694, STRPU_09737
OG0000082	CAEEL12687	STRPU_22564, STRPU_22563, STRPU_20087
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825
OG0000084	CAEEL10610, CAEEL18185	STRPU_10120, STRPU_10047
OG0000084	CAEEL10989	STRPU_04407, STRPU_04408
OG0000084	CAEEL08514, CAEEL10452	STRPU_04405
OG0000085	CAEEL06909	STRPU_24977
OG0000085	CAEEL07542	STRPU_15094
OG0000085	CAEEL03085	STRPU_25637
OG0000085	CAEEL08077	STRPU_14802
OG0000090	CAEEL18451	STRPU_20024, STRPU_20023
OG0000090	CAEEL10114	STRPU_05600, STRPU_05540, STRPU_02923, STRPU_21514, STRPU_21513, STRPU_05470, STRPU_12619, STRPU_12620, STRPU_12618, STRPU_25226, STRPU_18685, STRPU_15706
OG0000094	CAEEL10719	STRPU_22767, STRPU_01923
OG0000094	CAEEL18425	STRPU_19407
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	STRPU_20727, STRPU_00724, STRPU_20728, STRPU_00725, STRPU_00723, STRPU_16377, STRPU_14969, STRPU_20725, STRPU_00722, STRPU_15591, STRPU_02215, STRPU_15590, STRPU_02216, STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814, STRPU_15048, STRPU_02486, STRPU_24542
OG0000096	CAEEL16555	STRPU_06019
OG0000096	CAEEL11088	STRPU_23963, STRPU_23937
OG0000096	CAEEL08533	STRPU_22229
OG0000096	CAEEL11776	STRPU_15853, STRPU_15805
OG0000096	CAEEL06051	STRPU_11677
OG0000096	CAEEL07422	STRPU_13124, STRPU_02569
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	STRPU_26921, STRPU_27157
OG0000099	CAEEL07999, CAEEL08340	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604
OG0000099	CAEEL05000, CAEEL01295	STRPU_16997, STRPU_16998
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	STRPU_08665
OG0000103	CAEEL01469, CAEEL18445	STRPU_08161
OG0000104	CAEEL04070	STRPU_03670, STRPU_03681
OG0000104	CAEEL18800	STRPU_22118, STRPU_03688, STRPU_03686, STRPU_02772, STRPU_23716
OG0000106	CAEEL19130, CAEEL20701	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000107	CAEEL14935	STRPU_24099
OG0000107	CAEEL14956	STRPU_25385
OG0000107	CAEEL11700	STRPU_10863
OG0000107	CAEEL10932	STRPU_13897
OG0000107	CAEEL15125	STRPU_01057
OG0000107	CAEEL06328	STRPU_05929
OG0000107	CAEEL14857	STRPU_03377
OG0000107	CAEEL16896	STRPU_05996
OG0000107	CAEEL10739	STRPU_04108
OG0000107	CAEEL11693	STRPU_10843
OG0000107	CAEEL19175	STRPU_09004
OG0000110	CAEEL10319, CAEEL17689	STRPU_20491, STRPU_21462, STRPU_21461, STRPU_24363
OG0000111	CAEEL20845	STRPU_08159, STRPU_24027, STRPU_02635, STRPU_27221
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	STRPU_10396, STRPU_18172
OG0000114	CAEEL03306, CAEEL13040	STRPU_11248, STRPU_11209
OG0000114	CAEEL18136	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210
OG0000116	CAEEL14875	STRPU_21801, STRPU_21802
OG0000117	CAEEL07433	STRPU_25061, STRPU_13011
OG0000119	CAEEL08480	STRPU_13902
OG0000119	CAEEL08396	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951
OG0000120	CAEEL10840	STRPU_25147
OG0000122	CAEEL01544	STRPU_24593, STRPU_24582, STRPU_24583, STRPU_24594
OG0000124	CAEEL19897	STRPU_06709
OG0000124	CAEEL12548, CAEEL09889	STRPU_09293
OG0000124	CAEEL04963	STRPU_10604
OG0000124	CAEEL15384, CAEEL15382	STRPU_21471
OG0000125	CAEEL19671	STRPU_12461, STRPU_14800
OG0000126	CAEEL09101	STRPU_04964
OG0000126	CAEEL10194	STRPU_26672
OG0000127	CAEEL19207	STRPU_06620
OG0000127	CAEEL20452	STRPU_06619
OG0000127	CAEEL00838	STRPU_07791
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	STRPU_10852, STRPU_10834, STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386, STRPU_24545, STRPU_20813, STRPU_00080, STRPU_21124, STRPU_21123, STRPU_21127, STRPU_21125
OG0000129	CAEEL12325	STRPU_06625
OG0000131	CAEEL08663	STRPU_00146, STRPU_03355, STRPU_03346, STRPU_03343, STRPU_03350, STRPU_03348, STRPU_03353, STRPU_03344, STRPU_03351, STRPU_03347
OG0000131	CAEEL07634	STRPU_21319
OG0000132	CAEEL16523, CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	STRPU_02132, STRPU_09170
OG0000137	CAEEL10559	STRPU_17715, STRPU_18673, STRPU_18678
OG0000142	CAEEL19543	STRPU_05787
OG0000147	CAEEL04811	STRPU_10707
OG0000147	CAEEL18488	STRPU_24812
OG0000148	CAEEL09804	STRPU_21997, STRPU_22815, STRPU_01974, STRPU_01973, STRPU_22813, STRPU_22812, STRPU_01971
OG0000149	CAEEL02847	STRPU_00890, STRPU_00893, STRPU_23020, STRPU_23018, STRPU_00891
OG0000154	CAEEL02932	STRPU_17487
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	STRPU_07135
OG0000157	CAEEL00241	STRPU_22147
OG0000157	CAEEL01390	STRPU_25761
OG0000157	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463	STRPU_19481
OG0000158	CAEEL20117, CAEEL08684	STRPU_07153
OG0000158	CAEEL06141	STRPU_01554
OG0000159	CAEEL19486	STRPU_24070
OG0000159	CAEEL02031	STRPU_17842
OG0000159	CAEEL05281	STRPU_20008, STRPU_16418, STRPU_16719, STRPU_16429, STRPU_16426, STRPU_03276, STRPU_03235, STRPU_16278, STRPU_16427, STRPU_16430
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	STRPU_26893, STRPU_26892, STRPU_15431, STRPU_19000, STRPU_24405, STRPU_11554, STRPU_15349
OG0000163	CAEEL08313	STRPU_08825
OG0000163	CAEEL20194, CAEEL08850	STRPU_22081
OG0000164	CAEEL09304	STRPU_26661, STRPU_25258, STRPU_25757, STRPU_25759, STRPU_25755, STRPU_25753, STRPU_25754, STRPU_25756, STRPU_25257, STRPU_27032, STRPU_26561
OG0000165	CAEEL07846	STRPU_05210
OG0000167	CAEEL02846	STRPU_08011
OG0000168	CAEEL19018	STRPU_18537, STRPU_18485, STRPU_00123, STRPU_18538, STRPU_18484
OG0000171	CAEEL11480	STRPU_04281
OG0000172	CAEEL04412	STRPU_25967, STRPU_00226
OG0000173	CAEEL04156	STRPU_11148, STRPU_11149
OG0000174	CAEEL12711	STRPU_16145, STRPU_16138, STRPU_15886, STRPU_09192, STRPU_15884, STRPU_15888, STRPU_15882, STRPU_15832, STRPU_15834, STRPU_15887, STRPU_15891, STRPU_15838, STRPU_15890, STRPU_15892, STRPU_15836, STRPU_15835, STRPU_15883, STRPU_15881, STRPU_15885, STRPU_15839, STRPU_15833, STRPU_15831, STRPU_15837
OG0000174	CAEEL09479	STRPU_00043, STRPU_16005
OG0000175	CAEEL19241	STRPU_02319, STRPU_12738
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	STRPU_24563
OG0000179	CAEEL13640	STRPU_04627, STRPU_04649
OG0000179	CAEEL02965, CAEEL06713	STRPU_00166, STRPU_27037, STRPU_27036
OG0000179	CAEEL19466, CAEEL07193	STRPU_05514
OG0000180	CAEEL06539	STRPU_00336
OG0000181	CAEEL10858	STRPU_22671
OG0000181	CAEEL10772	STRPU_21403, STRPU_21400, STRPU_21401
OG0000181	CAEEL12632	STRPU_15658, STRPU_15675
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	STRPU_21811
OG0000183	CAEEL18435	STRPU_03432, STRPU_03075
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	STRPU_19370, STRPU_19368
OG0000185	CAEEL14200	STRPU_25410
OG0000186	CAEEL00795, CAEEL05654	STRPU_17963
OG0000186	CAEEL18013	STRPU_20742
OG0000186	CAEEL13010	STRPU_21070
OG0000188	CAEEL20699	STRPU_04042
OG0000193	CAEEL09482, CAEEL14826	STRPU_26256
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	STRPU_10096, STRPU_10159
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458
OG0000195	CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481	STRPU_13259
OG0000197	CAEEL04387	STRPU_25764, STRPU_20837, STRPU_20874
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	STRPU_14405
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	STRPU_19033, STRPU_00457, STRPU_19032, STRPU_00458
OG0000201	CAEEL07587	STRPU_14222
OG0000202	CAEEL20283	STRPU_10193, STRPU_10194
OG0000203	CAEEL09812	STRPU_10908, STRPU_10896, STRPU_10907, STRPU_10827
OG0000205	CAEEL13029	STRPU_21337
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	STRPU_01859, STRPU_03971, STRPU_13489
OG0000207	CAEEL05874, CAEEL00203	STRPU_02190, STRPU_09226, STRPU_10587, STRPU_12464, STRPU_12640, STRPU_12639, STRPU_25640, STRPU_25623, STRPU_25638, STRPU_25639, STRPU_04360, STRPU_02462, STRPU_13603, STRPU_25406, STRPU_02460, STRPU_06266, STRPU_06310, STRPU_16641, STRPU_06673
OG0000209	CAEEL07432	STRPU_04592
OG0000210	CAEEL19469	STRPU_06342
OG0000211	CAEEL15290	STRPU_21779
OG0000211	CAEEL02311	STRPU_26341
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	STRPU_23803, STRPU_19259, STRPU_19208
OG0000218	CAEEL07824, CAEEL20213	STRPU_24450, STRPU_24451, STRPU_20177, STRPU_20178, STRPU_06428, STRPU_20179, STRPU_23041, STRPU_23040, STRPU_20377, STRPU_20378, STRPU_09181, STRPU_02145, STRPU_02142, STRPU_02143, STRPU_09179, STRPU_02146, STRPU_02147, STRPU_02144, STRPU_02140, STRPU_02149, STRPU_20379
OG0000221	CAEEL10747	STRPU_25006
OG0000221	CAEEL06648	STRPU_16065
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	STRPU_22829, STRPU_01990, STRPU_01991, STRPU_22830, STRPU_22831, STRPU_22388
OG0000226	CAEEL12318	STRPU_15493, STRPU_14272, STRPU_14288, STRPU_20979, STRPU_21277
OG0000227	CAEEL19645	STRPU_13886, STRPU_26643, STRPU_25172, STRPU_25142
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	STRPU_07750, STRPU_07293, STRPU_07277, STRPU_07294, STRPU_07280
OG0000230	CAEEL14845, CAEEL19792	STRPU_08039
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	STRPU_15060, STRPU_14962, STRPU_14992, STRPU_15398
OG0000231	CAEEL08481	STRPU_04949
OG0000231	CAEEL01724	STRPU_25853
OG0000233	CAEEL19660, CAEEL15634	STRPU_19457
OG0000234	CAEEL02295	STRPU_22182
OG0000234	CAEEL03013, CAEEL03014	STRPU_11520
OG0000235	CAEEL10795, CAEEL07012	STRPU_12526, STRPU_12500, STRPU_12529, STRPU_12612, STRPU_12606, STRPU_20821, STRPU_21865, STRPU_21093, STRPU_21863, STRPU_21866, STRPU_21864, STRPU_20820
OG0000236	CAEEL19835	STRPU_20268
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	STRPU_00959, STRPU_08862
OG0000239	CAEEL14926	STRPU_20505
OG0000239	CAEEL00570	STRPU_01873, STRPU_25188
OG0000242	CAEEL05302	STRPU_12016, STRPU_20158, STRPU_20161, STRPU_12217
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	STRPU_22571
OG0000243	CAEEL13597, CAEEL13598	STRPU_11928
OG0000244	CAEEL11789, CAEEL12688	STRPU_25421, STRPU_23304, STRPU_23303, STRPU_25990
OG0000249	CAEEL00206	STRPU_27055
OG0000250	CAEEL11963	STRPU_27110
OG0000250	CAEEL07261	STRPU_05823
OG0000250	CAEEL04698	STRPU_04285
OG0000250	CAEEL06732	STRPU_12654, STRPU_00094
OG0000251	CAEEL03667	STRPU_10551
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	STRPU_10615, STRPU_10619
OG0000255	CAEEL05168	STRPU_06497
OG0000255	CAEEL05715	STRPU_04137, STRPU_13419, STRPU_12912, STRPU_26210, STRPU_18620, STRPU_12446, STRPU_12447, STRPU_12953, STRPU_12950
OG0000256	CAEEL11937, CAEEL19468	STRPU_19461
OG0000257	CAEEL01910, CAEEL15386	STRPU_27378
OG0000258	CAEEL19537	STRPU_08779, STRPU_08780
OG0000258	CAEEL09342	STRPU_22696
OG0000258	CAEEL15770	STRPU_21352
OG0000260	CAEEL11482	STRPU_22982, STRPU_10375
OG0000261	CAEEL20767	STRPU_06507
OG0000265	CAEEL20581	STRPU_19907
