Orthogroup	CAEEL	HELIO_ok
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	CAEEL05273	HELIO_05303
OG0000061	CAEEL08422	HELIO_11204
OG0000061	CAEEL07898	HELIO_00140
OG0000061	CAEEL20509	HELIO_07930
OG0000062	CAEEL02955	HELIO_06316
OG0000063	CAEEL05773	HELIO_10147
OG0000063	CAEEL04400	HELIO_04155
OG0000066	CAEEL20109	HELIO_11387
OG0000068	CAEEL06439	HELIO_09495, HELIO_11520, HELIO_04643, HELIO_09524, HELIO_08964
OG0000069	CAEEL14766	HELIO_11698
OG0000069	CAEEL19293	HELIO_03190
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	HELIO_05270
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	HELIO_04987, HELIO_11295
OG0000072	CAEEL07368	HELIO_10317
OG0000075	CAEEL03008	HELIO_07086
OG0000075	CAEEL11367	HELIO_09567
OG0000075	CAEEL11291	HELIO_05177, HELIO_00684
OG0000077	CAEEL01559	HELIO_05657
OG0000077	CAEEL06904	HELIO_00295
OG0000077	CAEEL18420	HELIO_11466
OG0000078	CAEEL18404, CAEEL11831	HELIO_07319, HELIO_06987
OG0000079	CAEEL18822, CAEEL09849	HELIO_01794, HELIO_05740
OG0000079	CAEEL07248	HELIO_00549
OG0000082	CAEEL18954, CAEEL04897	HELIO_12249
OG0000082	CAEEL13927	HELIO_08556
OG0000082	CAEEL12687	HELIO_06503, HELIO_04026, HELIO_02219
OG0000085	CAEEL06909	HELIO_02405
OG0000085	CAEEL07542	HELIO_05344
OG0000087	CAEEL16056	HELIO_02061
OG0000090	CAEEL18451	HELIO_12415
OG0000090	CAEEL10114	HELIO_09255, HELIO_00241, HELIO_05256, HELIO_03859, HELIO_12616
OG0000094	CAEEL10719	HELIO_07015
OG0000094	CAEEL18425	HELIO_03878
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874
OG0000096	CAEEL16555	HELIO_07466
OG0000096	CAEEL11088	HELIO_03681
OG0000096	CAEEL08533	HELIO_03321
OG0000096	CAEEL11776	HELIO_03947
OG0000096	CAEEL07422	HELIO_09595
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	HELIO_00467, HELIO_11416
OG0000099	CAEEL05000, CAEEL01295	HELIO_00318, HELIO_06995
OG0000099	CAEEL19098, CAEEL14903	HELIO_00319
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	HELIO_06274, HELIO_11624, HELIO_06876
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	HELIO_03996
OG0000103	CAEEL01469, CAEEL18445	HELIO_12543
OG0000104	CAEEL04070	HELIO_04946
OG0000104	CAEEL18800	HELIO_03807, HELIO_05172, HELIO_02282, HELIO_00006
OG0000106	CAEEL19130, CAEEL20701	HELIO_05614, HELIO_10877
OG0000107	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175	HELIO_04878
OG0000110	CAEEL10319, CAEEL17689	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	HELIO_06754
OG0000114	CAEEL03306, CAEEL13040	HELIO_08152
OG0000114	CAEEL18136	HELIO_10462, HELIO_00027, HELIO_06292
OG0000116	CAEEL14875	HELIO_08217, HELIO_10553
OG0000117	CAEEL07433	HELIO_01494
OG0000119	CAEEL08480	HELIO_09291
OG0000119	CAEEL08396	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000122	CAEEL01544	HELIO_00601, HELIO_11330, HELIO_07753
OG0000124	CAEEL19897	HELIO_02264
OG0000124	CAEEL04963	HELIO_08965
OG0000124	CAEEL15384, CAEEL15382	HELIO_01505
OG0000125	CAEEL19671	HELIO_09637, HELIO_09639, HELIO_08654
OG0000126	CAEEL09101	HELIO_02617
OG0000126	CAEEL10194	HELIO_12717
OG0000127	CAEEL19207	HELIO_00274
OG0000127	CAEEL20452	HELIO_04203
OG0000127	CAEEL00838	HELIO_00760
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974
OG0000129	CAEEL12325	HELIO_12045
OG0000131	CAEEL08663	HELIO_00530, HELIO_08397
OG0000132	CAEEL16523, CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	HELIO_04353
OG0000137	CAEEL10559	HELIO_01589, HELIO_12262
OG0000147	CAEEL04811	HELIO_12780
OG0000147	CAEEL18488	HELIO_07856
OG0000148	CAEEL09804	HELIO_09000, HELIO_12241
OG0000149	CAEEL02847	HELIO_11224
OG0000154	CAEEL02932	HELIO_00470
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	HELIO_02785, HELIO_06336
OG0000157	CAEEL00241	HELIO_02764
OG0000157	CAEEL01390	HELIO_02898
OG0000158	CAEEL20117, CAEEL08684	HELIO_05890
OG0000159	CAEEL19486	HELIO_11077
OG0000159	CAEEL02031	HELIO_07755
OG0000159	CAEEL05281	HELIO_07071, HELIO_00285, HELIO_10509
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	HELIO_06133, HELIO_11300, HELIO_11870, HELIO_09094
OG0000163	CAEEL08313	HELIO_05553, HELIO_10661
OG0000163	CAEEL20194, CAEEL08850	HELIO_07317
OG0000164	CAEEL05391, CAEEL18768	HELIO_11223
OG0000164	CAEEL09304	HELIO_09272, HELIO_04214
OG0000165	CAEEL07846	HELIO_01649
OG0000167	CAEEL02846	HELIO_01889
OG0000168	CAEEL19018	HELIO_07708, HELIO_00592
OG0000171	CAEEL11480	HELIO_03619
OG0000172	CAEEL04412	HELIO_11555
OG0000173	CAEEL04156	HELIO_09570, HELIO_09571
OG0000174	CAEEL12711	HELIO_09480, HELIO_04614, HELIO_10809
OG0000174	CAEEL09479	HELIO_01069
OG0000175	CAEEL19241	HELIO_05633
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	HELIO_11471
OG0000179	CAEEL13640	HELIO_05015
OG0000179	CAEEL02965, CAEEL06713	HELIO_04929
OG0000179	CAEEL19466, CAEEL07193	HELIO_08122
OG0000181	CAEEL10858	HELIO_03744
OG0000181	CAEEL10772	HELIO_11084, HELIO_06953
OG0000181	CAEEL12632	HELIO_10771
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	HELIO_03106, HELIO_07785
OG0000183	CAEEL18435	HELIO_12279, HELIO_02987
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	HELIO_04383
OG0000185	CAEEL14200	HELIO_08141
OG0000186	CAEEL00795, CAEEL05654	HELIO_02314
OG0000188	CAEEL20699	HELIO_10975
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118
OG0000197	CAEEL04387	HELIO_03671
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	HELIO_03884
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	HELIO_07810
OG0000201	CAEEL07587	HELIO_11591, HELIO_07497
OG0000202	CAEEL20283	HELIO_09483, HELIO_08601
OG0000203	CAEEL09812	HELIO_01088, HELIO_02460
OG0000205	CAEEL13029	HELIO_00076
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	HELIO_00235, HELIO_07450
OG0000207	CAEEL05874, CAEEL00203	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091
OG0000210	CAEEL19469	HELIO_12121
OG0000211	CAEEL15290	HELIO_00554
OG0000211	CAEEL02311	HELIO_11035
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	HELIO_05873, HELIO_05161
OG0000218	CAEEL07824, CAEEL20213	HELIO_12321, HELIO_05067
OG0000221	CAEEL10747	HELIO_06860
OG0000221	CAEEL06648	HELIO_06340
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	HELIO_03666, HELIO_05507, HELIO_12455
OG0000226	CAEEL12318	HELIO_05355, HELIO_07871, HELIO_09435
OG0000227	CAEEL19645	HELIO_02891, HELIO_06498, HELIO_04590
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	HELIO_12626, HELIO_08788, HELIO_08327
OG0000230	CAEEL14845, CAEEL19792	HELIO_01183
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	HELIO_01434, HELIO_10443
OG0000231	CAEEL01724	HELIO_00476
OG0000233	CAEEL19660, CAEEL15634	HELIO_05580
OG0000234	CAEEL02295	HELIO_06356
OG0000234	CAEEL03013, CAEEL03014	HELIO_10361
OG0000235	CAEEL10795, CAEEL07012	HELIO_06198, HELIO_01611, HELIO_06097, HELIO_07273
OG0000236	CAEEL19835	HELIO_10807
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	HELIO_10889
OG0000239	CAEEL14926	HELIO_06585
OG0000239	CAEEL00570	HELIO_09876
OG0000242	CAEEL05302	HELIO_08165
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	HELIO_01488
OG0000244	CAEEL11789, CAEEL12688	HELIO_03531, HELIO_03532, HELIO_02491, HELIO_05724, HELIO_12702
OG0000245	CAEEL20391	HELIO_09311
OG0000249	CAEEL00206	HELIO_11329, HELIO_11328
OG0000250	CAEEL11963	HELIO_03230
OG0000250	CAEEL07261	HELIO_09216
OG0000250	CAEEL04698	HELIO_02167
OG0000250	CAEEL06732	HELIO_12457
OG0000251	CAEEL03667	HELIO_00192
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	HELIO_05418
OG0000255	CAEEL05168	HELIO_11786
OG0000255	CAEEL05715	HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573
OG0000256	CAEEL11937, CAEEL19468	HELIO_11169
OG0000257	CAEEL01910, CAEEL15386	HELIO_10210
OG0000258	CAEEL19537	HELIO_01832
OG0000258	CAEEL09342	HELIO_07834
OG0000258	CAEEL15770	HELIO_11938
OG0000260	CAEEL11482	HELIO_02123, HELIO_12046
OG0000261	CAEEL20767	HELIO_10678
OG0000265	CAEEL20581	HELIO_10981
OG0000265	CAEEL10364	HELIO_02949
OG0000268	CAEEL08164	HELIO_11907
OG0000269	CAEEL10894	HELIO_06264
OG0000271	CAEEL07236	HELIO_09338, HELIO_09337, HELIO_12202, HELIO_10271, HELIO_11250
OG0000272	CAEEL11804, CAEEL19905	HELIO_06926
OG0000273	CAEEL18644	HELIO_05150
OG0000273	CAEEL20077	HELIO_02819
OG0000275	CAEEL14783	HELIO_10629, HELIO_10630
OG0000275	CAEEL11381, CAEEL10050	HELIO_08804
OG0000277	CAEEL07730, CAEEL07729	HELIO_01369
OG0000277	CAEEL11066	HELIO_01920
OG0000282	CAEEL11864	HELIO_10802, HELIO_02090, HELIO_06080
OG0000284	CAEEL18846	HELIO_09271, HELIO_08507, HELIO_03356
OG0000285	CAEEL00191	HELIO_08936
OG0000285	CAEEL14297, CAEEL16730	HELIO_07805, HELIO_08935, HELIO_08587
OG0000287	CAEEL18837	HELIO_05533, HELIO_06539
OG0000295	CAEEL04248, CAEEL10950	HELIO_07292, HELIO_04234
OG0000296	CAEEL14675	HELIO_03893
OG0000301	CAEEL18767	HELIO_11537
OG0000302	CAEEL08099	HELIO_04163
OG0000305	CAEEL19499	HELIO_11091
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	HELIO_04494, HELIO_11371
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446	HELIO_09402
OG0000308	CAEEL00748	HELIO_09361, HELIO_07835, HELIO_01621, HELIO_08987, HELIO_05751
OG0000312	CAEEL16684	HELIO_09957
OG0000312	CAEEL08464	HELIO_10360
OG0000314	CAEEL14227, CAEEL02951	HELIO_00525
OG0000315	CAEEL07409	HELIO_08178
OG0000315	CAEEL07609	HELIO_09319
OG0000315	CAEEL07292	HELIO_06387
OG0000316	CAEEL01799	HELIO_01356
OG0000317	CAEEL18155	HELIO_04312
OG0000321	CAEEL19255	HELIO_08301
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778
OG0000323	CAEEL08030	HELIO_02185, HELIO_02184, HELIO_07979, HELIO_09877
OG0000325	CAEEL01448, CAEEL10554	HELIO_11175, HELIO_05922, HELIO_12606, HELIO_12089
OG0000328	CAEEL02700, CAEEL20663	HELIO_12519
OG0000329	CAEEL05342	HELIO_07087, HELIO_09475
OG0000333	CAEEL20574	HELIO_00226
OG0000338	CAEEL02726	HELIO_11240, HELIO_09261
OG0000341	CAEEL02829	HELIO_08174, HELIO_08173
OG0000343	CAEEL00542	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075
OG0000345	CAEEL09288	HELIO_06324, HELIO_12314
OG0000346	CAEEL04767	HELIO_07117, HELIO_02859
OG0000350	CAEEL13904	HELIO_10069
OG0000352	CAEEL05587	HELIO_07849
OG0000353	CAEEL10431	HELIO_00605
OG0000356	CAEEL10812	HELIO_09257
OG0000357	CAEEL07861	HELIO_02302, HELIO_12008
OG0000357	CAEEL10151, CAEEL05953	HELIO_04303
OG0000358	CAEEL13826	HELIO_08162, HELIO_07934
OG0000358	CAEEL19072	HELIO_07992, HELIO_09698
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	HELIO_08095
OG0000363	CAEEL04898, CAEEL01034, CAEEL00066	HELIO_04531
OG0000364	CAEEL18153, CAEEL18154	HELIO_03949, HELIO_12735, HELIO_10136, HELIO_07364, HELIO_06168, HELIO_10958
OG0000365	CAEEL03052	HELIO_11146
OG0000367	CAEEL11241	HELIO_11366, HELIO_00864
OG0000371	CAEEL18802	HELIO_00894
OG0000372	CAEEL09938	HELIO_09904
OG0000372	CAEEL06634	HELIO_12662
OG0000372	CAEEL11042	HELIO_08215
OG0000373	CAEEL08053	HELIO_07356
OG0000374	CAEEL04637	HELIO_07571
OG0000375	CAEEL04597, CAEEL18446	HELIO_02630
OG0000378	CAEEL01589	HELIO_00664
OG0000378	CAEEL18606	HELIO_01804
OG0000382	CAEEL10275	HELIO_06591
OG0000385	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137
OG0000389	CAEEL08944, CAEEL11888	HELIO_05126, HELIO_04723, HELIO_01825
OG0000391	CAEEL03981, CAEEL10348, CAEEL18760	HELIO_00863
OG0000391	CAEEL07480, CAEEL01186	HELIO_10879, HELIO_09302
OG0000392	CAEEL03273	HELIO_05710, HELIO_07226
OG0000393	CAEEL00138	HELIO_07006
OG0000399	CAEEL12746	HELIO_09726
OG0000399	CAEEL18399	HELIO_07050
OG0000399	CAEEL01136	HELIO_04949
OG0000399	CAEEL00515	HELIO_03771
OG0000401	CAEEL07254	HELIO_07012, HELIO_09245
OG0000402	CAEEL20859	HELIO_08210
OG0000402	CAEEL09914, CAEEL09915	HELIO_08672, HELIO_08610
OG0000404	CAEEL04503	HELIO_12139
OG0000404	CAEEL20480	HELIO_05343
OG0000405	CAEEL01740	HELIO_10657
OG0000409	CAEEL09896	HELIO_03616
OG0000409	CAEEL15456, CAEEL10905, CAEEL20533, CAEEL10710	HELIO_10399
OG0000411	CAEEL02373	HELIO_00642
OG0000412	CAEEL11655	HELIO_12508
OG0000412	CAEEL20650	HELIO_09547
OG0000413	CAEEL15525	HELIO_08207, HELIO_08206
OG0000413	CAEEL18945	HELIO_10878
OG0000424	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478	HELIO_07447, HELIO_02671
OG0000425	CAEEL13865, CAEEL13864	HELIO_02713, HELIO_11977
OG0000426	CAEEL19943	HELIO_00568
OG0000426	CAEEL20473	HELIO_10983
OG0000427	CAEEL05100	HELIO_11307, HELIO_03641, HELIO_07136
OG0000429	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624	HELIO_04434, HELIO_07593
OG0000430	CAEEL14592, CAEEL00514	HELIO_08110
OG0000431	CAEEL07320	HELIO_02207, HELIO_05550, HELIO_04546
OG0000432	CAEEL05840, CAEEL08239	HELIO_04640
OG0000433	CAEEL18122	HELIO_10148
OG0000433	CAEEL00915, CAEEL00914	HELIO_09108
OG0000436	CAEEL08451, CAEEL08483, CAEEL08086	HELIO_08988, HELIO_08989
OG0000441	CAEEL04949	HELIO_10593
OG0000442	CAEEL10760	HELIO_01730
OG0000443	CAEEL07750	HELIO_07163
OG0000444	CAEEL18555	HELIO_00903
OG0000444	CAEEL11270, CAEEL13198, CAEEL07333, CAEEL07332, CAEEL07334, CAEEL18670	HELIO_04957
OG0000446	CAEEL08845	HELIO_08937
OG0000446	CAEEL11745	HELIO_01194
OG0000447	CAEEL07754, CAEEL07753	HELIO_10938, HELIO_10939
OG0000450	CAEEL09221	HELIO_01846
OG0000452	CAEEL18774, CAEEL01070, CAEEL01729, CAEEL00373	HELIO_12082, HELIO_08671, HELIO_05967
OG0000454	CAEEL02888, CAEEL02886	HELIO_01041
OG0000456	CAEEL11325	HELIO_12232
OG0000461	CAEEL06628	HELIO_02414
OG0000461	CAEEL08066	HELIO_03731, HELIO_03732
OG0000463	CAEEL00961	HELIO_09937, HELIO_06144, HELIO_06234, HELIO_08661
OG0000465	CAEEL08932	HELIO_11678
OG0000467	CAEEL10426, CAEEL00823	HELIO_10923
OG0000468	CAEEL05744	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960
OG0000469	CAEEL09645	HELIO_06536
OG0000470	CAEEL15886	HELIO_04201
OG0000476	CAEEL20693, CAEEL00887	HELIO_11845, HELIO_05685
OG0000476	CAEEL13996, CAEEL04770	HELIO_05620
OG0000477	CAEEL19743	HELIO_12771
OG0000478	CAEEL11281	HELIO_07629
OG0000479	CAEEL02339	HELIO_08760
OG0000479	CAEEL09202	HELIO_02948
OG0000480	CAEEL10994, CAEEL19312, CAEEL11292	HELIO_05557, HELIO_08414, HELIO_08413
OG0000481	CAEEL09089, CAEEL09097	HELIO_12216
OG0000481	CAEEL07158	HELIO_11178
OG0000481	CAEEL11815	HELIO_09259
OG0000482	CAEEL12763	HELIO_06214, HELIO_10091
OG0000482	CAEEL16609	HELIO_06713, HELIO_11214
OG0000484	CAEEL04965, CAEEL04966	HELIO_05916
OG0000485	CAEEL19088, CAEEL15576	HELIO_02562
OG0000486	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738	HELIO_10558, HELIO_11461
OG0000487	CAEEL16728, CAEEL12342	HELIO_07290
OG0000488	CAEEL05865, CAEEL05866	HELIO_02611
OG0000490	CAEEL00687, CAEEL19730	HELIO_06690
OG0000491	CAEEL07820	HELIO_02841, HELIO_11924
OG0000495	CAEEL07186	HELIO_03281, HELIO_12758
OG0000496	CAEEL01836	HELIO_09084
OG0000497	CAEEL11475, CAEEL02002	HELIO_03655
OG0000503	CAEEL18781, CAEEL18780	HELIO_03761, HELIO_01577
OG0000503	CAEEL01216	HELIO_01283
OG0000506	CAEEL18864	HELIO_11106
OG0000508	CAEEL07260	HELIO_04860
OG0000510	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413	HELIO_05326, HELIO_00614, HELIO_06648
OG0000514	CAEEL07294, CAEEL18391	HELIO_07204
OG0000519	CAEEL01270	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935
OG0000520	CAEEL07490	HELIO_02643, HELIO_02641, HELIO_10311
OG0000521	CAEEL11532	HELIO_11507
OG0000521	CAEEL14050	HELIO_07126
OG0000523	CAEEL07536, CAEEL13092	HELIO_12547, HELIO_01413
OG0000524	CAEEL17529	HELIO_03929
OG0000525	CAEEL19149	HELIO_03718
OG0000525	CAEEL19113	HELIO_00389
OG0000528	CAEEL17966	HELIO_07368
OG0000530	CAEEL05713, CAEEL05714	HELIO_07741, HELIO_07742
OG0000534	CAEEL06960	HELIO_09230, HELIO_00845, HELIO_05373
OG0000535	CAEEL18521	HELIO_10664
OG0000537	CAEEL20692	HELIO_02446
OG0000537	CAEEL08509	HELIO_01622
OG0000538	CAEEL07439	HELIO_11897, HELIO_11896
OG0000542	CAEEL09055	HELIO_02332
OG0000542	CAEEL15478	HELIO_03023
OG0000545	CAEEL15746	HELIO_00292
OG0000545	CAEEL14386	HELIO_03093
OG0000548	CAEEL10591, CAEEL10590	HELIO_10743, HELIO_10294, HELIO_01580
