Orthogroup	CAEEL	CAPO3
OG0000043	CAEEL10737, CAEEL11712, CAEEL06333, CAEEL01948, CAEEL06326, CAEEL14855, CAEEL10930, CAEEL06322, CAEEL16894, CAEEL14940, CAEEL11691, CAEEL10934, CAEEL14937, CAEEL14954, CAEEL14951, CAEEL11702, CAEEL15122	CAPO308256
OG0000048	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866	CAPO303671, CAPO303687, CAPO303495
OG0000049	CAEEL02028, CAEEL19631, CAEEL10349	CAPO304018
OG0000051	CAEEL06290, CAEEL06567, CAEEL16967, CAEEL06566, CAEEL13114, CAEEL06291, CAEEL11393, CAEEL11392, CAEEL11394, CAEEL06558, CAEEL06559, CAEEL06560, CAEEL06565, CAEEL06563, CAEEL13156, CAEEL06562, CAEEL06561, CAEEL06297, CAEEL06296, CAEEL06294, CAEEL06295, CAEEL06293, CAEEL06292, CAEEL06289, CAEEL05347, CAEEL13599, CAEEL04240, CAEEL04251, CAEEL04236, CAEEL04237, CAEEL16848, CAEEL05769, CAEEL04235, CAEEL19606, CAEEL18565, CAEEL05770, CAEEL09464	CAPO307809, CAPO301249
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	CAPO302015
OG0000055	CAEEL14858	CAPO301479, CAPO301432
OG0000056	CAEEL05273, CAEEL04117	CAPO305974, CAPO306012, CAPO306941
OG0000058	CAEEL06550	CAPO305595
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063, CAEEL20841, CAEEL08516, CAEEL20840, CAEEL08749, CAEEL08751, CAEEL08470	CAPO305373
OG0000062	CAEEL02955	CAPO300910
OG0000063	CAEEL05773, CAEEL11408, CAEEL04400	CAPO300270
OG0000066	CAEEL18679, CAEEL20109, CAEEL18639	CAPO308057
OG0000069	CAEEL14766	CAPO302182
OG0000069	CAEEL07263, CAEEL07262, CAEEL15933	CAPO303953
OG0000069	CAEEL19293	CAPO301523, CAPO305173
OG0000082	CAEEL18954, CAEEL04897	CAPO304738
OG0000082	CAEEL13927	CAPO306626
OG0000082	CAEEL12687	CAPO300843
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	CAPO306232
OG0000085	CAEEL06909	CAPO303061
OG0000085	CAEEL07759, CAEEL07542, CAEEL03085, CAEEL08077	CAPO303047
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359, CAEEL05045	CAPO301134
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	CAPO301288, CAPO306046
OG0000096	CAEEL11088	CAPO301431
OG0000096	CAEEL08533	CAPO307955
OG0000096	CAEEL11776	CAPO300294
OG0000096	CAEEL06051, CAEEL07422	CAPO307017
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	CAPO306858
OG0000103	CAEEL11159, CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258, CAEEL01469, CAEEL18445	CAPO302453
OG0000106	CAEEL00505, CAEEL20256, CAEEL19130, CAEEL20701	CAPO300017
OG0000110	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689	CAPO300387
OG0000114	CAEEL15245, CAEEL11468	CAPO302440
OG0000116	CAEEL14875	CAPO305622
OG0000119	CAEEL08480, CAEEL08396	CAPO304642
OG0000122	CAEEL01544	CAPO307824
OG0000126	CAEEL08841, CAEEL04611	CAPO301836
OG0000126	CAEEL09101, CAEEL10194	CAPO300572
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	CAPO306991, CAPO304956
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187, CAEEL12325, CAEEL08188	CAPO303361
OG0000137	CAEEL18416, CAEEL11601, CAEEL10559	CAPO305369
OG0000142	CAEEL15831, CAEEL19259, CAEEL19543, CAEEL08844, CAEEL07256, CAEEL07175	CAPO302031, CAPO302030
OG0000147	CAEEL18488	CAPO308132
OG0000149	CAEEL02847, CAEEL15543, CAEEL15991, CAEEL08694	CAPO305206, CAPO306214
OG0000157	CAEEL00241	CAPO305956
OG0000157	CAEEL20182	CAPO301137
OG0000157	CAEEL09404, CAEEL00123, CAEEL01390	CAPO305824
OG0000158	CAEEL04589	CAPO305752
OG0000158	CAEEL20117, CAEEL08684	CAPO302924
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	CAPO301680
OG0000167	CAEEL02846, CAEEL00196	CAPO301364, CAPO303476
OG0000171	CAEEL00910, CAEEL20651, CAEEL11480	CAPO304813
OG0000174	CAEEL12711, CAEEL09479	CAPO304629
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	CAPO303513
OG0000179	CAEEL13640	CAPO300694
OG0000179	CAEEL02965, CAEEL06713	CAPO303342
OG0000181	CAEEL07684	CAPO301108
OG0000181	CAEEL10858	CAPO302034
OG0000181	CAEEL10772	CAPO307692
OG0000181	CAEEL12632	CAPO300374
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	CAPO305638
OG0000183	CAEEL18435	CAPO305829
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	CAPO304928
OG0000192	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365	CAPO301980
OG0000193	CAEEL18944, CAEEL09482, CAEEL14826, CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079, CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985	CAPO302628
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	CAPO305195
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312, CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481	CAPO305454
OG0000203	CAEEL09812	CAPO302139
OG0000207	CAEEL05874, CAEEL00203	CAPO304105, CAPO304106, CAPO304714
OG0000211	CAEEL02936, CAEEL15290, CAEEL01111, CAEEL01112, CAEEL02311	CAPO306209
OG0000218	CAEEL07824, CAEEL20213, CAEEL19795	CAPO300559
OG0000220	CAEEL07565, CAEEL08758	CAPO306780, CAPO307695
OG0000221	CAEEL10747, CAEEL06648	CAPO300247
OG0000223	CAEEL01621, CAEEL00892	CAPO308126
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	CAPO305347
OG0000226	CAEEL12318	CAPO306934
OG0000226	CAEEL10068, CAEEL15041	CAPO303463
OG0000234	CAEEL02295, CAEEL03013, CAEEL03014	CAPO301359
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387, CAEEL15431	CAPO305428
OG0000239	CAEEL06658, CAEEL14926, CAEEL00570	CAPO302089
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	CAPO304847
OG0000244	CAEEL11789, CAEEL12688	CAPO301556
OG0000246	CAEEL00493, CAEEL00494, CAEEL10694, CAEEL12777, CAEEL15450, CAEEL20225, CAEEL10695, CAEEL16679, CAEEL15404, CAEEL12853, CAEEL12851, CAEEL13386, CAEEL16713, CAEEL17032, CAEEL03988, CAEEL03987, CAEEL13388, CAEEL13387, CAEEL06476, CAEEL15461, CAEEL13389, CAEEL11832	CAPO303496
OG0000248	CAEEL17077	CAPO307635, CAPO302481, CAPO302487
OG0000250	CAEEL07261	CAPO305827
OG0000255	CAEEL05168	CAPO301531
OG0000255	CAEEL05715	CAPO300499
OG0000256	CAEEL11937, CAEEL19468	CAPO307884
OG0000257	CAEEL01910, CAEEL15386	CAPO300414
OG0000258	CAEEL19537	CAPO301106
OG0000258	CAEEL09342, CAEEL15770	CAPO301746
OG0000260	CAEEL11482	CAPO303219, CAPO300399
OG0000265	CAEEL20581	CAPO306126
OG0000265	CAEEL10364	CAPO306540
OG0000271	CAEEL07236	CAPO304641
OG0000273	CAEEL18644	CAPO305109
OG0000273	CAEEL20077	CAPO306869
OG0000277	CAEEL07730, CAEEL07729	CAPO300750, CAPO306681, CAPO303621
OG0000277	CAEEL11066	CAPO301295
OG0000277	CAEEL07250, CAEEL00092, CAEEL02855	CAPO307814, CAPO307752
OG0000278	CAEEL09180	CAPO305822
OG0000278	CAEEL07099	CAPO302023
OG0000278	CAEEL02024	CAPO303638
OG0000282	CAEEL11864, CAEEL04645	CAPO308183
OG0000285	CAEEL00191, CAEEL14297, CAEEL16730	CAPO303377
OG0000295	CAEEL04248, CAEEL10950	CAPO302113, CAPO302799
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	CAPO307183
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446	CAPO308212
OG0000308	CAEEL00748	CAPO304037, CAPO303083
OG0000312	CAEEL19323	CAPO304557
OG0000312	CAEEL08464	CAPO302691
OG0000312	CAEEL11599, CAEEL00601, CAEEL11535	CAPO307944
OG0000313	CAEEL12617, CAEEL06343	CAPO301348
OG0000314	CAEEL05241, CAEEL12578, CAEEL14227, CAEEL02951	CAPO304303
OG0000315	CAEEL07409	CAPO307611
OG0000315	CAEEL07292	CAPO308167
OG0000317	CAEEL18155	CAPO306620
OG0000319	CAEEL00889, CAEEL10346	CAPO303225
OG0000321	CAEEL08916	CAPO303657, CAPO307405
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	CAPO306406
OG0000327	CAEEL05176, CAEEL18527, CAEEL06891	CAPO308120
OG0000338	CAEEL02726	CAPO304735
OG0000339	CAEEL05344	CAPO305264
OG0000343	CAEEL00542	CAPO306429
OG0000345	CAEEL09288	CAPO300769
OG0000352	CAEEL05587	CAPO300356
OG0000357	CAEEL10151, CAEEL05953	CAPO301487
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	CAPO305417
OG0000359	CAEEL04647	CAPO301540
OG0000363	CAEEL12357, CAEEL16480	CAPO305594
OG0000364	CAEEL18153, CAEEL18154	CAPO301330, CAPO300908
OG0000365	CAEEL02170, CAEEL00591	CAPO302286
OG0000367	CAEEL13915, CAEEL16273, CAEEL20317, CAEEL09650, CAEEL09649, CAEEL19713, CAEEL19711, CAEEL11241	CAPO301272
OG0000371	CAEEL18802	CAPO307503
OG0000372	CAEEL09938, CAEEL06634, CAEEL11042	CAPO307553
OG0000373	CAEEL08053, CAEEL15439	CAPO301744
OG0000385	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992	CAPO300182, CAPO305781, CAPO305517
OG0000392	CAEEL03273	CAPO300351
OG0000393	CAEEL14690, CAEEL11594, CAEEL00138	CAPO307627
OG0000399	CAEEL12746, CAEEL18399, CAEEL01136, CAEEL00515	CAPO302781
OG0000402	CAEEL20859, CAEEL09914, CAEEL09915	CAPO300999
OG0000405	CAEEL01740	CAPO300636
OG0000412	CAEEL11655	CAPO306116
OG0000412	CAEEL09909, CAEEL20650	CAPO307159
OG0000413	CAEEL15525	CAPO302663
OG0000413	CAEEL18945	CAPO304678
OG0000419	CAEEL20185	CAPO301169
OG0000419	CAEEL19090	CAPO304227
OG0000424	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478	CAPO302770, CAPO306814
OG0000426	CAEEL19943	CAPO302714
OG0000426	CAEEL20473	CAPO306829
OG0000427	CAEEL05100	CAPO302870, CAPO303813
OG0000429	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624	CAPO300725
OG0000431	CAEEL07320	CAPO306585, CAPO304684
OG0000433	CAEEL00915, CAEEL00914	CAPO304838, CAPO302573
OG0000435	CAEEL07610	CAPO308080
OG0000436	CAEEL08451, CAEEL08483, CAEEL08086	CAPO305799
OG0000442	CAEEL01105	CAPO301179
OG0000444	CAEEL18555	CAPO305423
OG0000444	CAEEL11270, CAEEL13198, CAEEL07333, CAEEL07332, CAEEL07334, CAEEL18670	CAPO301239
OG0000447	CAEEL07754, CAEEL07753	CAPO300691
OG0000450	CAEEL10968, CAEEL18844, CAEEL20319, CAEEL09221	CAPO307586, CAPO307446
OG0000454	CAEEL02888, CAEEL02886, CAEEL02877, CAEEL02880, CAEEL02881, CAEEL02883, CAEEL02884, CAEEL02885, CAEEL02878, CAEEL02887, CAEEL02879, CAEEL02882	CAPO301952
OG0000461	CAEEL06628	CAPO303645, CAPO304085, CAPO303531
OG0000461	CAEEL08066	CAPO307456
OG0000467	CAEEL10426, CAEEL00823	CAPO302214
OG0000468	CAEEL05744	CAPO302003, CAPO303185
OG0000469	CAEEL09645	CAPO306584, CAPO302277
OG0000470	CAEEL01892, CAEEL15886	CAPO307521
OG0000475	CAEEL00594, CAEEL00593	CAPO303779
OG0000476	CAEEL13996, CAEEL04770	CAPO306104
OG0000479	CAEEL02339	CAPO303549
OG0000479	CAEEL09202	CAPO304267
OG0000480	CAEEL10994, CAEEL19312, CAEEL11292	CAPO307201
OG0000481	CAEEL09089, CAEEL09097	CAPO300053
OG0000481	CAEEL07158	CAPO304800
OG0000481	CAEEL11815	CAPO304355
OG0000484	CAEEL04965, CAEEL04966	CAPO304750
OG0000485	CAEEL19088, CAEEL15576	CAPO303224, CAPO303026
OG0000486	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738	CAPO306048, CAPO306972
OG0000488	CAEEL05865, CAEEL05866	CAPO305871
OG0000490	CAEEL18080	CAPO302264
OG0000491	CAEEL07820	CAPO305506
OG0000506	CAEEL18864	CAPO304587
OG0000508	CAEEL07260	CAPO303408, CAPO307945
OG0000510	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413	CAPO303128, CAPO305095
OG0000514	CAEEL07294, CAEEL18391, CAEEL14359	CAPO307292
OG0000519	CAEEL01270, CAEEL18558, CAEEL05173	CAPO300709
OG0000520	CAEEL07490	CAPO302094, CAPO304720
OG0000528	CAEEL17966	CAPO300417
OG0000529	CAEEL15849	CAPO307357
OG0000530	CAEEL05713, CAEEL05714	CAPO306919
OG0000532	CAEEL05864, CAEEL10521, CAEEL00080, CAEEL20665, CAEEL04618	CAPO300259
OG0000538	CAEEL07439	CAPO300039
OG0000548	CAEEL10591, CAEEL10590	CAPO307253, CAPO307370
OG0000549	CAEEL05133, CAEEL12072, CAEEL18719, CAEEL18720	CAPO305341
OG0000551	CAEEL05226	CAPO305700
OG0000552	CAEEL08432	CAPO302805
OG0000553	CAEEL01952	CAPO302261
OG0000554	CAEEL11339, CAEEL01325, CAEEL09891	CAPO300205
OG0000561	CAEEL16454, CAEEL15785	CAPO307817, CAPO304686, CAPO304296
OG0000563	CAEEL11870, CAEEL10514, CAEEL07864	CAPO305151
OG0000566	CAEEL15091	CAPO306820
OG0000567	CAEEL02967, CAEEL00946, CAEEL06307, CAEEL10055, CAEEL11553, CAEEL04491	CAPO300710, CAPO302895
OG0000569	CAEEL13456, CAEEL13683, CAEEL13676, CAEEL13675	CAPO302672
OG0000572	CAEEL13663, CAEEL04776	CAPO302048
OG0000573	CAEEL05940	CAPO301573
OG0000573	CAEEL01355	CAPO300482
OG0000574	CAEEL19269, CAEEL18789, CAEEL19638, CAEEL19639, CAEEL19209, CAEEL18848	CAPO303025
OG0000578	CAEEL16491, CAEEL16492, CAEEL16490	CAPO305505
OG0000579	CAEEL11246, CAEEL09670, CAEEL09822	CAPO304566, CAPO303994, CAPO303635
OG0000583	CAEEL01762, CAEEL01763	CAPO302594
OG0000585	CAEEL11782, CAEEL11783	CAPO302010
OG0000586	CAEEL05852	CAPO304818
OG0000587	CAEEL14207	CAPO304868
OG0000588	CAEEL05897	CAPO301971, CAPO300701
OG0000590	CAEEL01780	CAPO302664
OG0000591	CAEEL19878	CAPO300885
OG0000591	CAEEL18367	CAPO301508, CAPO306921
OG0000592	CAEEL14862, CAEEL07829, CAEEL16963, CAEEL16245, CAEEL16244	CAPO302552
OG0000593	CAEEL02027	CAPO303950
OG0000594	CAEEL11331	CAPO305185
OG0000597	CAEEL08741	CAPO305949
OG0000600	CAEEL02285, CAEEL02284	CAPO302133
OG0000603	CAEEL15474, CAEEL15475	CAPO300286
OG0000604	CAEEL14390	CAPO304248
OG0000609	CAEEL11904	CAPO302298, CAPO305915, CAPO306415
OG0000611	CAEEL08225	CAPO305139
OG0000611	CAEEL09831	CAPO302505
OG0000612	CAEEL07651	CAPO308174
OG0000612	CAEEL06875	CAPO300901
OG0000613	CAEEL14429, CAEEL16442	CAPO306741, CAPO303985
OG0000614	CAEEL16724, CAEEL12529, CAEEL12506, CAEEL12516, CAEEL15268, CAEEL15964	CAPO306138, CAPO304207
OG0000616	CAEEL19744	CAPO301011
OG0000617	CAEEL12168	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167
OG0000619	CAEEL02635	CAPO303580
OG0000623	CAEEL16178, CAEEL06411	CAPO306891
OG0000623	CAEEL16276	CAPO306678
OG0000624	CAEEL08547, CAEEL13903, CAEEL13902	CAPO304034, CAPO304035
OG0000627	CAEEL01126	CAPO301912
OG0000636	CAEEL19659	CAPO300927, CAPO308236
OG0000637	CAEEL18181	CAPO306492
OG0000639	CAEEL00195	CAPO300322
OG0000639	CAEEL00077	CAPO305269
OG0000642	CAEEL04693	CAPO302938, CAPO302939, CAPO304769, CAPO302566
OG0000645	CAEEL14093	CAPO306925
OG0000645	CAEEL02916	CAPO307784, CAPO304648
OG0000648	CAEEL05737	CAPO306715
OG0000650	CAEEL15107	CAPO302429
OG0000651	CAEEL08479	CAPO301045
OG0000652	CAEEL09392, CAEEL09393	CAPO307163
OG0000653	CAEEL20136	CAPO304384
OG0000657	CAEEL01693	CAPO304461, CAPO304462
OG0000660	CAEEL06994	CAPO304213
OG0000662	CAEEL07265, CAEEL20546	CAPO308235
OG0000663	CAEEL07269	CAPO303713
OG0000664	CAEEL10897, CAEEL10896, CAEEL00118, CAEEL00117	CAPO305353
OG0000665	CAEEL18458, CAEEL04875, CAEEL05353, CAEEL11596, CAEEL18744	CAPO304505, CAPO304163
OG0000666	CAEEL11143	CAPO306172
OG0000672	CAEEL07948, CAEEL07943	CAPO301072
OG0000672	CAEEL00089, CAEEL00988	CAPO301848
OG0000674	CAEEL01995	CAPO303746
OG0000676	CAEEL18677, CAEEL18678	CAPO304343, CAPO305288
OG0000683	CAEEL18608	CAPO304912
OG0000683	CAEEL02948, CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944	CAPO305392, CAPO303509
OG0000684	CAEEL11185	CAPO306227
OG0000690	CAEEL02355, CAEEL16430	CAPO306653
OG0000690	CAEEL05043	CAPO306445
OG0000691	CAEEL06257, CAEEL17188	CAPO301028
OG0000692	CAEEL05111, CAEEL03292	CAPO306980
OG0000693	CAEEL03253, CAEEL03254	CAPO300633
OG0000694	CAEEL05732, CAEEL18784, CAEEL02081, CAEEL02961	CAPO302468
OG0000696	CAEEL19612	CAPO305466, CAPO301422
OG0000697	CAEEL10883	CAPO304466, CAPO306724
OG0000699	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285	CAPO306785, CAPO302735
OG0000701	CAEEL01775, CAEEL09588, CAEEL02242	CAPO306727
OG0000703	CAEEL12761, CAEEL18049, CAEEL09236, CAEEL06037	CAPO308078
OG0000708	CAEEL04786, CAEEL04785	CAPO302130
OG0000708	CAEEL12722	CAPO300640
OG0000711	CAEEL05244, CAEEL04946, CAEEL03027	CAPO304713
OG0000713	CAEEL15727	CAPO302804
OG0000715	CAEEL07311, CAEEL07310, CAEEL07309	CAPO305197
OG0000716	CAEEL00463	CAPO306957
OG0000717	CAEEL20044, CAEEL07958, CAEEL19048	CAPO302989
OG0000718	CAEEL13965, CAEEL14743, CAEEL16052, CAEEL06479	CAPO301597, CAPO306021
OG0000721	CAEEL07780, CAEEL00853	CAPO305154, CAPO301906
OG0000724	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753, CAEEL04537	CAPO300826
OG0000726	CAEEL08988, CAEEL08987	CAPO302910
OG0000731	CAEEL18982	CAPO304569
OG0000732	CAEEL02711	CAPO304867
OG0000732	CAEEL11771	CAPO302445
OG0000733	CAEEL17006, CAEEL15524	CAPO301695
OG0000735	CAEEL14834, CAEEL14835	CAPO302824
OG0000736	CAEEL09174	CAPO306770
OG0000737	CAEEL19663, CAEEL06154, CAEEL04487, CAEEL04486	CAPO304586
OG0000747	CAEEL02279	CAPO303187
OG0000751	CAEEL09020	CAPO302771
OG0000752	CAEEL04370	CAPO300507
OG0000753	CAEEL17415	CAPO301378
OG0000755	CAEEL01302	CAPO300267
OG0000757	CAEEL20030	CAPO307096
OG0000757	CAEEL00176	CAPO300067
OG0000759	CAEEL20475, CAEEL16710	CAPO300473
OG0000761	CAEEL19698	CAPO305655
OG0000765	CAEEL08924, CAEEL20292	CAPO301853
OG0000766	CAEEL01660, CAEEL18773, CAEEL19845, CAEEL20678, CAEEL20679, CAEEL04502	CAPO300388
OG0000767	CAEEL15327, CAEEL15326, CAEEL18584	CAPO305367
OG0000774	CAEEL03062, CAEEL08377, CAEEL12020, CAEEL14163, CAEEL12021	CAPO306995
OG0000775	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550, CAEEL09740	CAPO306201
OG0000776	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206	CAPO307356
OG0000779	CAEEL01706	CAPO305943
OG0000788	CAEEL04328, CAEEL04329, CAEEL04327, CAEEL01175	CAPO304590
OG0000791	CAEEL09121	CAPO304699
OG0000792	CAEEL06858, CAEEL06859	CAPO305838
OG0000793	CAEEL00246	CAPO301604
OG0000794	CAEEL14272, CAEEL13170	CAPO304031
OG0000797	CAEEL11404	CAPO307534
OG0000803	CAEEL18447	CAPO301668
OG0000809	CAEEL06532	CAPO304242
OG0000810	CAEEL00977	CAPO305098, CAPO306601
OG0000813	CAEEL10975, CAEEL10973, CAEEL01084	CAPO300040, CAPO308168
OG0000814	CAEEL07659, CAEEL07658, CAEEL11834, CAEEL05113	CAPO307227
OG0000817	CAEEL09272	CAPO303823, CAPO300023, CAPO308202
OG0000818	CAEEL08212	CAPO307656
OG0000820	CAEEL08726	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000826	CAEEL04414	CAPO306060
OG0000828	CAEEL01170	CAPO306023
OG0000828	CAEEL14806	CAPO307153
OG0000834	CAEEL00925, CAEEL00924	CAPO306233
OG0000836	CAEEL01665	CAPO306019, CAPO307821
OG0000837	CAEEL19270, CAEEL07955	CAPO308104, CAPO303511
OG0000838	CAEEL12737, CAEEL20556	CAPO303856
OG0000841	CAEEL02360	CAPO300281
OG0000844	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848	CAPO306591, CAPO307267
OG0000847	CAEEL04304, CAEEL04305, CAEEL19991	CAPO301759, CAPO307057
OG0000847	CAEEL07299	CAPO308298
OG0000849	CAEEL04333	CAPO304492
OG0000850	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935	CAPO302141, CAPO306299
OG0000851	CAEEL08745	CAPO304092
OG0000852	CAEEL08255	CAPO307622
OG0000857	CAEEL04547	CAPO302559
OG0000860	CAEEL09321, CAEEL18240	CAPO306338
OG0000871	CAEEL00781, CAEEL13789	CAPO300407
OG0000873	CAEEL01374	CAPO307878
OG0000875	CAEEL08184, CAEEL12416	CAPO303418, CAPO302903
OG0000876	CAEEL00773, CAEEL00774	CAPO302150
