Orthogroup	CAEEL	HUMAN
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	CAEEL01132	HUMAN01831, HUMAN13891
OG0000034	CAEEL03140, CAEEL03141	HUMAN04678
OG0000035	CAEEL01943	HUMAN06576
OG0000035	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	HUMAN06190
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	HUMAN27983, HUMAN15223
OG0000037	CAEEL17629, CAEEL17628	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	CAEEL03654, CAEEL20275	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	CAEEL09012, CAEEL08645	HUMAN03689
OG0000038	CAEEL01554	HUMAN02828
OG0000038	CAEEL07106	HUMAN18257
OG0000039	CAEEL18993	HUMAN13199
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	HUMAN01392
OG0000041	CAEEL19747	HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391
OG0000041	CAEEL05494	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	HUMAN24293
OG0000047	CAEEL17846	HUMAN22761
OG0000049	CAEEL02028	HUMAN25699, HUMAN05316
OG0000049	CAEEL19631	HUMAN20965, HUMAN26499
OG0000049	CAEEL10349	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000051	CAEEL19606	HUMAN22678
OG0000051	CAEEL09464	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	HUMAN23119
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	CAEEL05273	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000058	CAEEL06550	HUMAN17378, HUMAN03592
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000060	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597
OG0000061	CAEEL08422	HUMAN17964, HUMAN26554
OG0000062	CAEEL02955	HUMAN25285
OG0000063	CAEEL05773	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	CAEEL04400	HUMAN18628, HUMAN03783, HUMAN03782
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	CAEEL20109	HUMAN29798
OG0000068	CAEEL09504	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000068	CAEEL06439	HUMAN20381
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000070	CAEEL06499	HUMAN20129, HUMAN13391, HUMAN14097
OG0000072	CAEEL07368	HUMAN24108, HUMAN23125, HUMAN05334
OG0000073	CAEEL07620	HUMAN24982
OG0000075	CAEEL03008	HUMAN00444
OG0000075	CAEEL11367	HUMAN05783, HUMAN21047
OG0000075	CAEEL11291	HUMAN20335, HUMAN20336, HUMAN20532, HUMAN26884
OG0000077	CAEEL01559	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	CAEEL18883	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	CAEEL06904	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000079	CAEEL18822	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	CAEEL07248	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260, HUMAN13037
OG0000082	CAEEL18954, CAEEL04897	HUMAN29167
OG0000082	CAEEL13927	HUMAN23869
OG0000082	CAEEL12687	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645
OG0000084	CAEEL10610, CAEEL18185	HUMAN03696, HUMAN22975
OG0000084	CAEEL08514, CAEEL10452	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	CAEEL06909	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	CAEEL07542	HUMAN13119, HUMAN07215
OG0000085	CAEEL03085	HUMAN26172
OG0000085	CAEEL08077	HUMAN19734, HUMAN19733, HUMAN05027
OG0000090	CAEEL18451	HUMAN24709
OG0000090	CAEEL10114	HUMAN28948
OG0000094	CAEEL10719	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	CAEEL18425	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812
OG0000095	CAEEL03536	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120
OG0000096	CAEEL16555	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	CAEEL11088	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	CAEEL08533	HUMAN06337, HUMAN06336, HUMAN27289
OG0000096	CAEEL11776	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	CAEEL06051	HUMAN04200, HUMAN04201, HUMAN16028
OG0000096	CAEEL07422	HUMAN21561
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	CAEEL07999, CAEEL08340	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424
OG0000099	CAEEL05000, CAEEL01295	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	CAEEL01469, CAEEL18445	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	CAEEL04070	HUMAN05724, HUMAN19523
OG0000104	CAEEL18800	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742, HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722, HUMAN19373, HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799, HUMAN18236
OG0000106	CAEEL00505	HUMAN01590
OG0000106	CAEEL19130, CAEEL20701	HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602
OG0000107	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175	HUMAN24661
OG0000111	CAEEL20845	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990
OG0000114	CAEEL18136	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000116	CAEEL14875	HUMAN18678
OG0000119	CAEEL08480	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	CAEEL08396	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000120	CAEEL15157	HUMAN19084
OG0000121	CAEEL06288, CAEEL12116	HUMAN14877
OG0000122	CAEEL01544	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000124	CAEEL19897	HUMAN03991
OG0000124	CAEEL04963	HUMAN00442, HUMAN00443
OG0000124	CAEEL15384, CAEEL15382	HUMAN09305, HUMAN02618
OG0000126	CAEEL08841, CAEEL04611	HUMAN22375, HUMAN24176, HUMAN09168
OG0000126	CAEEL09101	HUMAN07493, HUMAN22359
OG0000126	CAEEL10194	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	CAEEL19207	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	CAEEL20452	HUMAN21549, HUMAN07766
OG0000127	CAEEL00838	HUMAN24572, HUMAN16589, HUMAN18562
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	CAEEL12325	HUMAN05233, HUMAN30228
OG0000129	CAEEL08188	HUMAN18494, HUMAN18495
OG0000131	CAEEL08663	HUMAN19899
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	HUMAN20126
OG0000137	CAEEL18416, CAEEL11601	HUMAN23088
OG0000137	CAEEL10559	HUMAN25150, HUMAN25149
OG0000140	CAEEL04513	HUMAN06860, HUMAN05842, HUMAN03908
OG0000142	CAEEL19259	HUMAN11653, HUMAN13737
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	HUMAN19224
OG0000147	CAEEL04811	HUMAN18499, HUMAN00218
OG0000147	CAEEL18488	HUMAN24559, HUMAN27635
OG0000148	CAEEL09804	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000148	CAEEL04213	HUMAN06230
OG0000149	CAEEL02847	HUMAN23614, HUMAN23616, HUMAN23619
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	HUMAN10034, HUMAN23690
OG0000154	CAEEL02932	HUMAN19436
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	HUMAN25690, HUMAN25689, HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369
OG0000157	CAEEL00241	HUMAN28808, HUMAN14307
OG0000157	CAEEL01390	HUMAN11058, HUMAN11059
OG0000158	CAEEL20117, CAEEL08684	HUMAN02259, HUMAN02258, HUMAN02257, HUMAN02214, HUMAN02213, HUMAN02058, HUMAN02060, HUMAN02059, HUMAN29068, HUMAN02261, HUMAN02256, HUMAN02260, HUMAN19321, HUMAN25759, HUMAN27804
OG0000158	CAEEL06141	HUMAN03704
OG0000159	CAEEL19486	HUMAN27903
OG0000159	CAEEL02031	HUMAN25418
OG0000159	CAEEL05281	HUMAN29307, HUMAN04389, HUMAN23217, HUMAN11668
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	HUMAN18884, HUMAN18883, HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000163	CAEEL08313	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483
OG0000163	CAEEL20194, CAEEL08850	HUMAN12888, HUMAN06524, HUMAN26092
OG0000165	CAEEL07846	HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814
OG0000167	CAEEL00196	HUMAN25492
OG0000168	CAEEL19018	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467, HUMAN04352, HUMAN17049, HUMAN15865, HUMAN15864
OG0000171	CAEEL11480	HUMAN23027
OG0000173	CAEEL04156	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381
OG0000174	CAEEL12711	HUMAN28400, HUMAN02927
OG0000174	CAEEL09479	HUMAN27541, HUMAN27540, HUMAN22731
OG0000175	CAEEL19241	HUMAN22641, HUMAN22640
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	HUMAN27918, HUMAN27828, HUMAN27827
OG0000179	CAEEL13640	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338
OG0000179	CAEEL02965, CAEEL06713	HUMAN23712, HUMAN09621
OG0000179	CAEEL19466, CAEEL07193	HUMAN22996, HUMAN17836
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	HUMAN19779
OG0000181	CAEEL07684	HUMAN06327, HUMAN02594
OG0000181	CAEEL10858	HUMAN26916, HUMAN21065
OG0000181	CAEEL10772	HUMAN07664, HUMAN21747
OG0000181	CAEEL12632	HUMAN08369
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	CAEEL18435	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543
OG0000185	CAEEL14200	HUMAN11020, HUMAN08224, HUMAN23184
OG0000186	CAEEL04404, CAEEL00795, CAEEL05654	HUMAN00084
OG0000188	CAEEL20699	HUMAN27535, HUMAN03482, HUMAN23029
OG0000191	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	HUMAN28068
OG0000193	CAEEL09482, CAEEL14826	HUMAN05474
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	HUMAN26464, HUMAN26463, HUMAN07238, HUMAN07239, HUMAN23343, HUMAN15327, HUMAN15326, HUMAN05473, HUMAN05475, HUMAN19343, HUMAN19575, HUMAN19345, HUMAN19577, HUMAN19344, HUMAN19576
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481	HUMAN21625
OG0000197	CAEEL04387	HUMAN09888, HUMAN01887, HUMAN09887
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	HUMAN07259, HUMAN00404, HUMAN00406, HUMAN00407, HUMAN00405, HUMAN00408, HUMAN10546
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	HUMAN21772
OG0000201	CAEEL07587	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555
OG0000202	CAEEL20283	HUMAN08594, HUMAN08593, HUMAN23063, HUMAN27722, HUMAN27584, HUMAN27582, HUMAN27587, HUMAN03812, HUMAN18643, HUMAN24147, HUMAN03775, HUMAN01794
OG0000203	CAEEL09812	HUMAN21966, HUMAN00014, HUMAN00153, HUMAN00154, HUMAN11982, HUMAN00109
OG0000205	CAEEL13029	HUMAN08496, HUMAN02469
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799
OG0000207	CAEEL05874, CAEEL00203	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010
OG0000208	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722	HUMAN19120
OG0000209	CAEEL07432	HUMAN10642, HUMAN10641
OG0000210	CAEEL19469	HUMAN22011, HUMAN22010
OG0000211	CAEEL15290	HUMAN18718
OG0000211	CAEEL01111, CAEEL01112	HUMAN23611
OG0000211	CAEEL02311	HUMAN14218, HUMAN10060
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	HUMAN23880, HUMAN18661
OG0000218	CAEEL07824, CAEEL20213	HUMAN21084, HUMAN05261
OG0000220	CAEEL07565, CAEEL08758	HUMAN22834, HUMAN17090, HUMAN03354, HUMAN03353, HUMAN22580
OG0000221	CAEEL10747	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805
OG0000221	CAEEL06648	HUMAN18037, HUMAN20574
OG0000223	CAEEL01621, CAEEL00892	HUMAN03439
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061
OG0000226	CAEEL12318	HUMAN18050, HUMAN16817
OG0000227	CAEEL19645	HUMAN09614, HUMAN14351, HUMAN18012, HUMAN26229, HUMAN14350, HUMAN09613, HUMAN09611, HUMAN21404, HUMAN10994, HUMAN24420, HUMAN18815
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	HUMAN02983, HUMAN29674
OG0000230	CAEEL14845, CAEEL19792	HUMAN27790, HUMAN16569
OG0000231	CAEEL08481	HUMAN30467, HUMAN17388, HUMAN22380, HUMAN04081
OG0000231	CAEEL01724	HUMAN11124, HUMAN27993, HUMAN27994
OG0000232	CAEEL18532, CAEEL19887	HUMAN24032, HUMAN24036, HUMAN24033, HUMAN24038, HUMAN24037, HUMAN28599, HUMAN28600, HUMAN24027
OG0000234	CAEEL02295	HUMAN14313, HUMAN13886, HUMAN13884, HUMAN09743, HUMAN01653
OG0000234	CAEEL03013, CAEEL03014	HUMAN02863, HUMAN02862, HUMAN04453
OG0000235	CAEEL10795, CAEEL07012	HUMAN09679, HUMAN22334, HUMAN07552, HUMAN17686, HUMAN22277
OG0000236	CAEEL19835	HUMAN01231, HUMAN01232
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	HUMAN10740
OG0000239	CAEEL14926	HUMAN08545
OG0000239	CAEEL00570	HUMAN12754, HUMAN26078
OG0000242	CAEEL05291	HUMAN06809, HUMAN17638
OG0000242	CAEEL05302	HUMAN06808, HUMAN04472, HUMAN16342
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	HUMAN17637, HUMAN26476
