Orthogroup	CAEEL	DANRE
OG0000007	CAEEL10238, CAEEL04602	DANRE03039, DANRE08320, DANRE33659, DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	CAEEL18586	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000010	CAEEL04259	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000012	CAEEL20690	DANRE38177, DANRE38176
OG0000013	CAEEL19127	DANRE15807, DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000015	CAEEL09145	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409
OG0000015	CAEEL15587	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	CAEEL20493	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064, DANRE04448
OG0000016	CAEEL18647	DANRE35611
OG0000019	CAEEL15403	DANRE29946, DANRE21114, DANRE41681
OG0000020	CAEEL00627	DANRE27431, DANRE27432, DANRE27433
OG0000020	CAEEL05927	DANRE22958, DANRE22959, DANRE06663, DANRE06664, DANRE15816
OG0000020	CAEEL13362	DANRE18984
OG0000020	CAEEL09273	DANRE27379
OG0000021	CAEEL15603	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	CAEEL00422	DANRE08348, DANRE33679
OG0000021	CAEEL00784, CAEEL15377	DANRE37717, DANRE02277
OG0000023	CAEEL13426	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000027	CAEEL17825	DANRE02909
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	CAEEL20612	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	DANRE08391, DANRE03978
OG0000031	CAEEL17953	DANRE20274, DANRE20275, DANRE20273
OG0000031	CAEEL02023	DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238
OG0000031	CAEEL04718	DANRE26516, DANRE26019
OG0000031	CAEEL07076	DANRE20276, DANRE16190, DANRE42316
OG0000032	CAEEL19615	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	DANRE22486, DANRE22485, DANRE22487, DANRE22488, DANRE24197
OG0000034	CAEEL07900	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041
OG0000034	CAEEL13037	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	CAEEL01132	DANRE14484, DANRE09880, DANRE38036
OG0000034	CAEEL03140, CAEEL03141	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000035	CAEEL01943	DANRE23313
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	DANRE11991, DANRE38630
OG0000037	CAEEL17629, CAEEL17628	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	CAEEL03654, CAEEL20275	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	CAEEL09012, CAEEL08645	DANRE11315
OG0000038	CAEEL07106	DANRE15348
OG0000039	CAEEL01773	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063
OG0000039	CAEEL18993	DANRE09344
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	DANRE24726, DANRE30701
OG0000041	CAEEL19747	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397
OG0000041	CAEEL05494	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	DANRE13593
OG0000049	CAEEL02028	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	CAEEL19631	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	CAEEL10349	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000050	CAEEL08906	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	CAEEL09464	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	DANRE06791, DANRE15743
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	DANRE26054, DANRE39498, DANRE26047, DANRE26089, DANRE26053, DANRE39510, DANRE39505, DANRE39493, DANRE39490, DANRE26176, DANRE37402, DANRE26086, DANRE26057, DANRE26058, DANRE26171, DANRE26168, DANRE37434, DANRE37411, DANRE37465, DANRE37408, DANRE37417, DANRE37462, DANRE37455, DANRE37449, DANRE37437, DANRE37430, DANRE37398, DANRE26061, DANRE26102, DANRE00963, DANRE26066, DANRE26162, DANRE26083, DANRE26079
OG0000055	CAEEL14858	DANRE26046, DANRE37399, DANRE26075
OG0000056	CAEEL05273	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000058	CAEEL06550	DANRE01466, DANRE01467
OG0000058	CAEEL09297	DANRE15448, DANRE15450
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000061	CAEEL08422	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000062	CAEEL02955	DANRE18807, DANRE18806
OG0000063	CAEEL05773	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	CAEEL04400	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908
OG0000066	CAEEL20109	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000068	CAEEL09504	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357
OG0000068	CAEEL06439	DANRE22551
OG0000069	CAEEL14766, CAEEL06233	DANRE26091
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	DANRE37416
OG0000070	CAEEL06499	DANRE30067, DANRE04119, DANRE14399, DANRE38561
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	DANRE01478
OG0000072	CAEEL07368	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815
OG0000072	CAEEL07082	DANRE06126
OG0000073	CAEEL07620	DANRE23559
OG0000075	CAEEL03008	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	CAEEL11367	DANRE30937, DANRE41300
OG0000075	CAEEL11291	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483, DANRE31021, DANRE31022
OG0000077	CAEEL01559	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	CAEEL18883	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000077	CAEEL06904	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657
OG0000079	CAEEL18822	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	CAEEL07248	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813, DANRE33383
OG0000082	CAEEL18954, CAEEL04897	DANRE33308
OG0000082	CAEEL13927	DANRE06377
OG0000082	CAEEL12687	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710
OG0000084	CAEEL10610, CAEEL18185	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459
OG0000084	CAEEL08514, CAEEL10452	DANRE16406, DANRE16407, DANRE16782, DANRE23641, DANRE34043, DANRE34042, DANRE01545, DANRE05120
OG0000085	CAEEL06909	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	CAEEL07542	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	CAEEL03085	DANRE10316
OG0000085	CAEEL08077	DANRE33578, DANRE33579
OG0000090	CAEEL18451	DANRE14575, DANRE14574, DANRE08600, DANRE08601
OG0000090	CAEEL10114	DANRE14775, DANRE14776
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359	DANRE19328, DANRE19327, DANRE19329
OG0000094	CAEEL10719	DANRE20667, DANRE20666, DANRE40451, DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286
OG0000094	CAEEL18425	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000095	CAEEL03536	DANRE25494, DANRE25495, DANRE25572, DANRE25573, DANRE24186, DANRE24187, DANRE16081, DANRE16080, DANRE23856, DANRE23855, DANRE15358
OG0000096	CAEEL16555	DANRE06854, DANRE41409, DANRE15329, DANRE13475
OG0000096	CAEEL11088	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	CAEEL08533	DANRE36045, DANRE24893
OG0000096	CAEEL11776	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947
OG0000096	CAEEL06051	DANRE38250, DANRE38251, DANRE29625, DANRE29623
OG0000096	CAEEL07422	DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	CAEEL07999, CAEEL08340	DANRE07078, DANRE07079, DANRE15828, DANRE15826, DANRE15825, DANRE07080, DANRE33824, DANRE06396, DANRE06395, DANRE19734, DANRE08890, DANRE19931, DANRE19932, DANRE07026, DANRE19933
OG0000099	CAEEL05000, CAEEL01295	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772
OG0000103	CAEEL01469, CAEEL18445	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633
OG0000104	CAEEL04070	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296
OG0000104	CAEEL18800	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855, DANRE10292, DANRE00020, DANRE00021, DANRE13407, DANRE42503, DANRE42504, DANRE02766, DANRE02765, DANRE02767, DANRE30903, DANRE39783, DANRE41690, DANRE41691
OG0000106	CAEEL19130, CAEEL20701	DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822
OG0000107	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175	DANRE26157, DANRE26076
OG0000110	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689	DANRE11747, DANRE11748, DANRE11749
OG0000111	CAEEL20845	DANRE28794, DANRE28795, DANRE29459, DANRE35452, DANRE03091, DANRE30573, DANRE03092, DANRE10905, DANRE37814, DANRE33816, DANRE23242, DANRE23244, DANRE22511, DANRE22510, DANRE27257, DANRE10084, DANRE10085, DANRE14209, DANRE14210, DANRE05147, DANRE23243, DANRE22509
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221
OG0000114	CAEEL18136	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942
OG0000116	CAEEL14875	DANRE10733
OG0000117	CAEEL08400	DANRE01692
OG0000117	CAEEL07433	DANRE35421
OG0000119	CAEEL08480	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249
OG0000119	CAEEL08396	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	DANRE25821, DANRE00097
OG0000122	CAEEL01544	DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813
OG0000122	CAEEL19085	DANRE27354
OG0000124	CAEEL19897	DANRE20113, DANRE34367, DANRE06378, DANRE08738
OG0000124	CAEEL04963	DANRE09986, DANRE02785, DANRE02786, DANRE22696
OG0000124	CAEEL15384, CAEEL15382	DANRE18048, DANRE07772, DANRE16836, DANRE16837, DANRE05164
OG0000126	CAEEL08841, CAEEL04611	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521
OG0000126	CAEEL09101	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232
OG0000126	CAEEL10194	DANRE19091, DANRE19090, DANRE21704, DANRE21705, DANRE33653, DANRE33654, DANRE09589, DANRE25981, DANRE25982
OG0000127	CAEEL19207	DANRE16565, DANRE41950, DANRE06928, DANRE22187, DANRE38204, DANRE33886, DANRE33885
OG0000127	CAEEL20452	DANRE36236, DANRE26932, DANRE35612, DANRE42858
OG0000127	CAEEL00838	DANRE08971, DANRE14620, DANRE14621, DANRE18120, DANRE11692, DANRE02339
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	DANRE33979, DANRE08860
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890
OG0000129	CAEEL12325	DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924
OG0000129	CAEEL08188	DANRE28020, DANRE28021
OG0000131	CAEEL08663	DANRE33605
OG0000131	CAEEL07634	DANRE04212
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	DANRE24745
OG0000137	CAEEL18416, CAEEL11601	DANRE06165
OG0000137	CAEEL10559	DANRE17727, DANRE10757
OG0000142	CAEEL19259	DANRE23829
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	DANRE36874
OG0000147	CAEEL04811	DANRE26942, DANRE26943, DANRE36250, DANRE36251, DANRE23193, DANRE23196, DANRE23195, DANRE23194
OG0000147	CAEEL18488	DANRE10593, DANRE10594, DANRE18815, DANRE11115
OG0000148	CAEEL09804	DANRE23175, DANRE22292, DANRE36771, DANRE36769, DANRE22583, DANRE22582, DANRE22581, DANRE22579, DANRE22580, DANRE31174, DANRE31172, DANRE31173, DANRE02328, DANRE02325, DANRE02326, DANRE02327, DANRE22731
OG0000148	CAEEL12387, CAEEL10870	DANRE36770
OG0000149	CAEEL02847	DANRE00119, DANRE33977, DANRE33976, DANRE33978, DANRE34857, DANRE34856, DANRE34855
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797
OG0000154	CAEEL02932	DANRE01050, DANRE07010, DANRE07011
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	DANRE17586, DANRE05670, DANRE14414, DANRE14413, DANRE14411, DANRE14412, DANRE09080, DANRE09081, DANRE09079, DANRE04486, DANRE04485, DANRE14416, DANRE14415
OG0000157	CAEEL00241	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747
OG0000157	CAEEL01390	DANRE12853, DANRE12855, DANRE38298, DANRE12854
OG0000158	CAEEL20117, CAEEL08684	DANRE21825, DANRE21824, DANRE16888, DANRE16887, DANRE16889, DANRE26497, DANRE36463, DANRE36462, DANRE26500, DANRE36458, DANRE36459, DANRE36460, DANRE35370, DANRE35127, DANRE21819, DANRE26498, DANRE14587, DANRE21820, DANRE26496, DANRE22512, DANRE22513, DANRE05145, DANRE05146, DANRE27251, DANRE27253, DANRE27252
OG0000158	CAEEL06141	DANRE37819, DANRE20159
OG0000159	CAEEL19486	DANRE24089, DANRE24088
OG0000159	CAEEL02031	DANRE15174, DANRE09143
OG0000159	CAEEL05281	DANRE35119, DANRE03349, DANRE03348
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	DANRE01423, DANRE40842, DANRE40841, DANRE17109, DANRE17108, DANRE17125, DANRE17126, DANRE17103, DANRE17119, DANRE17131, DANRE17130, DANRE17129, DANRE01424, DANRE40843, DANRE40844
OG0000163	CAEEL08313	DANRE22023, DANRE22022, DANRE29273, DANRE29274, DANRE29073, DANRE36123, DANRE36124, DANRE28765
OG0000163	CAEEL20194, CAEEL08850	DANRE29253, DANRE09545, DANRE09544, DANRE14272, DANRE03886, DANRE03884, DANRE03885, DANRE03887, DANRE23439, DANRE23438, DANRE23437, DANRE23436, DANRE23435
OG0000164	CAEEL05391, CAEEL18768	DANRE02111
