Orthogroup	CAEEL	XENTR
OG0000027	CAEEL17825	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	XENTR10277, XENTR06737
OG0000029	CAEEL20612	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	XENTR18219
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	XENTR12816
OG0000031	CAEEL17953	XENTR12583
OG0000031	CAEEL02023	XENTR05405, XENTR03766, XENTR08553, XENTR05384, XENTR03164, XENTR10836
OG0000031	CAEEL04718	XENTR09319
OG0000031	CAEEL07076	XENTR12584, XENTR00918
OG0000032	CAEEL19615	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	XENTR17016, XENTR03433
OG0000034	CAEEL07900	XENTR14967, XENTR08246, XENTR04943
OG0000034	CAEEL13037	XENTR11418, XENTR11419, XENTR10883, XENTR07417
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	CAEEL01132	XENTR15456
OG0000034	CAEEL03140, CAEEL03141	XENTR10156
OG0000035	CAEEL01943	XENTR05239
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	XENTR07761, XENTR12415, XENTR07272
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	CAEEL17629, CAEEL17628	XENTR16580, XENTR14770, XENTR03861
OG0000037	CAEEL03654, CAEEL20275	XENTR10865, XENTR10696
OG0000037	CAEEL09012, CAEEL08645	XENTR18131
OG0000038	CAEEL07106	XENTR04206
OG0000039	CAEEL18993	XENTR17697
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	XENTR14135
OG0000041	CAEEL19747	XENTR16713, XENTR17286, XENTR13662, XENTR02569
OG0000041	CAEEL05494	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	XENTR13929, XENTR05159, XENTR10869
OG0000049	CAEEL02028	XENTR00212, XENTR08482
OG0000049	CAEEL19631	XENTR07031, XENTR06401
OG0000049	CAEEL10349	XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000051	CAEEL19606	XENTR08842
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	XENTR04962, XENTR04961
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999
OG0000056	CAEEL05273	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000058	CAEEL06550	XENTR11839
OG0000058	CAEEL09297	XENTR16220
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	XENTR16040, XENTR02416, XENTR06707
OG0000061	CAEEL08422	XENTR00116, XENTR05367
OG0000062	CAEEL02955	XENTR09512
OG0000063	CAEEL05773	XENTR10234, XENTR04709, XENTR00319
OG0000063	CAEEL04400	XENTR08048, XENTR02007, XENTR01303
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	CAEEL20109	XENTR18882
OG0000068	CAEEL09504	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	CAEEL14766	XENTR15529
OG0000070	CAEEL06499	XENTR15175, XENTR04776, XENTR13746, XENTR15542
OG0000072	CAEEL07368	XENTR15041, XENTR13953
OG0000075	CAEEL03008	XENTR09250
OG0000075	CAEEL11367	XENTR10723
OG0000075	CAEEL11291	XENTR06816, XENTR17547, XENTR16124, XENTR05986, XENTR05987
OG0000077	CAEEL01559	XENTR06888, XENTR17790, XENTR02687
OG0000077	CAEEL18883	XENTR01904, XENTR08754, XENTR13403
OG0000077	CAEEL06904	XENTR07875, XENTR00642, XENTR04757
OG0000079	CAEEL18822	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	CAEEL07248	XENTR01194
OG0000082	CAEEL18954, CAEEL04897	XENTR16096
OG0000082	CAEEL13927	XENTR01624, XENTR01625
OG0000082	CAEEL12687	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628
OG0000084	CAEEL10610, CAEEL18185	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
OG0000084	CAEEL08514, CAEEL10452	XENTR05567, XENTR06450
OG0000085	CAEEL06909	XENTR01729, XENTR03138
OG0000085	CAEEL07542	XENTR04052, XENTR12507
OG0000085	CAEEL03085	XENTR15005
OG0000085	CAEEL08077	XENTR00809
OG0000090	CAEEL18451	XENTR11768
OG0000090	CAEEL10114	XENTR06545
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359	XENTR08624
OG0000094	CAEEL10719	XENTR15752, XENTR10717, XENTR18065, XENTR15146
OG0000094	CAEEL18425	XENTR09915, XENTR14788, XENTR17591
OG0000095	CAEEL03536	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426
OG0000096	CAEEL16555	XENTR02028, XENTR07076, XENTR03113
OG0000096	CAEEL11088	XENTR02339, XENTR11518
OG0000096	CAEEL08533	XENTR06220, XENTR01880
OG0000096	CAEEL11776	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	CAEEL06051	XENTR16018, XENTR14119
OG0000096	CAEEL07422	XENTR17893
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	CAEEL07999, CAEEL08340	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898
OG0000099	CAEEL05000, CAEEL01295	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540
OG0000099	CAEEL19098, CAEEL14903	XENTR08433
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000103	CAEEL01469, CAEEL18445	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000104	CAEEL04070	XENTR05699, XENTR11871
OG0000104	CAEEL18800	XENTR03188, XENTR10251, XENTR17538, XENTR11872, XENTR05698, XENTR07142, XENTR02594, XENTR10789, XENTR16122, XENTR04181
OG0000106	CAEEL19130, CAEEL20701	XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297
OG0000111	CAEEL20845	XENTR01487, XENTR04814, XENTR07587, XENTR06674, XENTR09084, XENTR13395, XENTR18141, XENTR04629, XENTR12868, XENTR04110, XENTR04628, XENTR18140
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043
OG0000114	CAEEL18136	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055
OG0000116	CAEEL14875	XENTR12530
OG0000119	CAEEL08480	XENTR05393, XENTR05242, XENTR06871
OG0000119	CAEEL08396	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933
OG0000122	CAEEL01544	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802
OG0000124	CAEEL19897	XENTR05926
OG0000124	CAEEL04963	XENTR09248, XENTR09249
OG0000124	CAEEL15384, CAEEL15382	XENTR13084, XENTR11997
OG0000126	CAEEL08841, CAEEL04611	XENTR03459, XENTR13788, XENTR00416
OG0000126	CAEEL09101	XENTR14632, XENTR03466
OG0000126	CAEEL10194	XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000127	CAEEL19207	XENTR02720, XENTR03441, XENTR09025
OG0000127	CAEEL20452	XENTR10923, XENTR12718
OG0000127	CAEEL00838	XENTR18212
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	XENTR09496, XENTR10668, XENTR08486, XENTR08487
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000129	CAEEL12325	XENTR14278, XENTR11921, XENTR18992, XENTR15519
OG0000129	CAEEL08188	XENTR06232
OG0000131	CAEEL08663	XENTR10944
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	XENTR04795
OG0000137	CAEEL18416, CAEEL11601	XENTR04900
OG0000137	CAEEL10559	XENTR10667
OG0000140	CAEEL04513	XENTR11484
OG0000142	CAEEL19259	XENTR10224, XENTR10223, XENTR07681
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	XENTR16130
OG0000147	CAEEL04811	XENTR03268, XENTR13018
OG0000147	CAEEL18488	XENTR02156, XENTR12287
OG0000148	CAEEL09804	XENTR10464, XENTR17112, XENTR02369, XENTR07951
OG0000149	CAEEL02847	XENTR03422, XENTR03423
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	XENTR01442, XENTR00579
OG0000154	CAEEL02932	XENTR11406, XENTR12586
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	XENTR03823, XENTR18176
OG0000157	CAEEL00241	XENTR09579, XENTR08086
OG0000157	CAEEL01390	XENTR09559
OG0000158	CAEEL20117, CAEEL08684	XENTR11952, XENTR09918, XENTR04676, XENTR04675, XENTR11953, XENTR17680, XENTR15601, XENTR17930, XENTR04115, XENTR04631
OG0000158	CAEEL06141	XENTR14207, XENTR14206, XENTR14205
OG0000159	CAEEL19486	XENTR09320, XENTR09321
OG0000159	CAEEL02031	XENTR09386
OG0000159	CAEEL05281	XENTR07751
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	XENTR02472, XENTR00861, XENTR00862
OG0000163	CAEEL08313	XENTR03897, XENTR06574, XENTR17419
OG0000163	CAEEL20194, CAEEL08850	XENTR10844, XENTR07114, XENTR03341
OG0000165	CAEEL07846	XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345
OG0000167	CAEEL00196	XENTR11177
OG0000168	CAEEL19018	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725, XENTR00625, XENTR02065
OG0000171	CAEEL11480	XENTR05662
OG0000173	CAEEL04156	XENTR18567, XENTR18568, XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902
OG0000174	CAEEL12711	XENTR18562, XENTR12376
OG0000174	CAEEL09479	XENTR02208, XENTR05576
OG0000175	CAEEL19241	XENTR08289, XENTR15844
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	XENTR03000, XENTR09335, XENTR04649
OG0000179	CAEEL13640	XENTR01942
OG0000179	CAEEL02965, CAEEL06713	XENTR00560, XENTR12119
OG0000179	CAEEL19466, CAEEL07193	XENTR05649, XENTR05414, XENTR12627
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	XENTR01179
OG0000181	CAEEL07684	XENTR06217, XENTR12611, XENTR02755
OG0000181	CAEEL10858	XENTR06005
OG0000181	CAEEL10772	XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077
OG0000181	CAEEL12632	XENTR09033, XENTR12669
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	XENTR02086, XENTR13524, XENTR16217
OG0000183	CAEEL18435	XENTR02643, XENTR17355, XENTR02630
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929
OG0000185	CAEEL14200	XENTR09757, XENTR04609
OG0000188	CAEEL20699	XENTR02204, XENTR07576, XENTR05663
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	XENTR04027, XENTR10942, XENTR15293, XENTR14503, XENTR02647, XENTR19116
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	XENTR14824, XENTR18660, XENTR00280, XENTR10034
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	XENTR19159
OG0000197	CAEEL04387	XENTR05307, XENTR15908
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	XENTR00252
OG0000201	CAEEL07587	XENTR04564
OG0000202	CAEEL20283	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556
OG0000203	CAEEL09812	XENTR03226, XENTR09015, XENTR08065, XENTR04067, XENTR17118, XENTR17119, XENTR04083, XENTR08430, XENTR04082, XENTR08431, XENTR04088
OG0000205	CAEEL13029	XENTR12959, XENTR05519
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	XENTR18445, XENTR10749, XENTR03131
OG0000207	CAEEL05874, CAEEL00203	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892
OG0000210	CAEEL19469	XENTR04415
OG0000211	CAEEL15290	XENTR00605
OG0000211	CAEEL01111, CAEEL01112	XENTR03419
OG0000211	CAEEL02311	XENTR15376, XENTR01456
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	XENTR01627, XENTR06477
OG0000218	CAEEL07824, CAEEL20213	XENTR06015
OG0000220	CAEEL07565, CAEEL08758	XENTR12748, XENTR06465, XENTR14440, XENTR06734
OG0000221	CAEEL10747	XENTR04171, XENTR10605, XENTR06942
OG0000221	CAEEL06648	XENTR10392, XENTR01755, XENTR16885
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000226	CAEEL12318	XENTR11864
OG0000227	CAEEL19645	XENTR12301, XENTR12302, XENTR16453, XENTR13632, XENTR15725, XENTR05302, XENTR05301, XENTR06938, XENTR00522, XENTR04987
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	XENTR02900, XENTR07694
OG0000230	CAEEL14845, CAEEL19792	XENTR08030, XENTR08029
OG0000231	CAEEL08481	XENTR12600, XENTR00418, XENTR03456, XENTR16995
OG0000231	CAEEL01724	XENTR00474, XENTR12545
OG0000234	CAEEL02295	XENTR08092, XENTR06076, XENTR18346
OG0000234	CAEEL03013, CAEEL03014	XENTR00774, XENTR10873
OG0000235	CAEEL10795, CAEEL07012	XENTR11258, XENTR03491, XENTR04363, XENTR04213, XENTR04161, XENTR08759
OG0000236	CAEEL19835	XENTR04703
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	XENTR01828
OG0000239	CAEEL14926	XENTR09596
OG0000239	CAEEL00570	XENTR06920, XENTR03351
OG0000242	CAEEL05302	XENTR11501, XENTR00387, XENTR02580, XENTR18495, XENTR12685
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	XENTR19139, XENTR02853
OG0000244	CAEEL11789, CAEEL12688	XENTR01354, XENTR01248, XENTR01353, XENTR11299, XENTR03738, XENTR10413, XENTR05888, XENTR02505, XENTR12546
OG0000249	CAEEL02928	XENTR08519, XENTR16772, XENTR00575, XENTR09681
OG0000250	CAEEL11963	XENTR02680
OG0000250	CAEEL07261	XENTR13730
OG0000250	CAEEL04698	XENTR12693
OG0000250	CAEEL06732	XENTR18990
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	XENTR11476, XENTR03109
OG0000255	CAEEL05168	XENTR09255
OG0000255	CAEEL05715	XENTR12056
OG0000256	CAEEL11937, CAEEL19468	XENTR18908
OG0000257	CAEEL01910, CAEEL15386	XENTR07148, XENTR11248
OG0000258	CAEEL19537	XENTR05687, XENTR18554, XENTR18555, XENTR01829
OG0000258	CAEEL09342	XENTR04830, XENTR00764
OG0000258	CAEEL15770	XENTR12963, XENTR01640
OG0000260	CAEEL11482	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330
OG0000265	CAEEL20581	XENTR16202, XENTR06790, XENTR04690
OG0000265	CAEEL10364	XENTR16783
OG0000266	CAEEL02705, CAEEL19379, CAEEL09158	XENTR19182
OG0000268	CAEEL08164	XENTR08601, XENTR08600, XENTR12203
OG0000272	CAEEL11804, CAEEL19905	XENTR12139, XENTR00222, XENTR10866
OG0000273	CAEEL18644	XENTR05880
OG0000275	CAEEL14783	XENTR12980, XENTR06678
OG0000275	CAEEL11381, CAEEL10050	XENTR08145, XENTR07453, XENTR01933
OG0000277	CAEEL07730, CAEEL07729	XENTR14696, XENTR01190
OG0000277	CAEEL11066	XENTR10121, XENTR08844, XENTR08749
OG0000278	CAEEL07740	XENTR19229
OG0000278	CAEEL09180	XENTR14066
OG0000278	CAEEL07099	XENTR09088
OG0000278	CAEEL02024	XENTR12427
OG0000282	CAEEL11864	XENTR02925, XENTR13973, XENTR08646, XENTR07444, XENTR13582
OG0000284	CAEEL18846	XENTR07786, XENTR15522, XENTR13217
OG0000287	CAEEL19227, CAEEL19907, CAEEL20741, CAEEL18156	XENTR00628, XENTR08815, XENTR09170
OG0000295	CAEEL04248, CAEEL10950	XENTR03072
OG0000296	CAEEL14675	XENTR15309
OG0000301	CAEEL11399	XENTR04265, XENTR08731, XENTR05595
OG0000301	CAEEL18767	XENTR00731, XENTR05032
OG0000302	CAEEL08099	XENTR16030
OG0000305	CAEEL19499	XENTR15555
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	XENTR05359, XENTR04162, XENTR07218
OG0000308	CAEEL00748	XENTR05341, XENTR03132, XENTR11682, XENTR17432, XENTR11467, XENTR06275
OG0000312	CAEEL16684	XENTR12581
OG0000312	CAEEL08464	XENTR16372, XENTR10558
OG0000315	CAEEL07409	XENTR03674
OG0000315	CAEEL07609	XENTR04204, XENTR06293
OG0000315	CAEEL07292	XENTR02373
OG0000316	CAEEL01799	XENTR00550, XENTR11533
OG0000319	CAEEL10346	XENTR04637
OG0000321	CAEEL19255	XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	XENTR06441
OG0000323	CAEEL08030	XENTR11681, XENTR15307, XENTR15306, XENTR18280, XENTR06278, XENTR08426
OG0000325	CAEEL01448, CAEEL10554	XENTR07161
OG0000327	CAEEL18527	XENTR02532, XENTR02531, XENTR02535
OG0000329	CAEEL05342	XENTR05224, XENTR13205, XENTR13637, XENTR14193
OG0000332	CAEEL10794	XENTR14310, XENTR07549
OG0000333	CAEEL20574	XENTR16826
OG0000338	CAEEL02726	XENTR03666, XENTR00810, XENTR00811, XENTR03279
OG0000343	CAEEL00542	XENTR11384, XENTR11385, XENTR00663, XENTR09712
OG0000345	CAEEL09288	XENTR04999, XENTR04907, XENTR12817
OG0000346	CAEEL04767	XENTR17511, XENTR00075, XENTR04734
OG0000350	CAEEL13904	XENTR15815, XENTR10276, XENTR02136, XENTR05748, XENTR16105
OG0000352	CAEEL05587	XENTR04727, XENTR11543, XENTR14779
OG0000353	CAEEL10430	XENTR02225
OG0000356	CAEEL10812	XENTR07422
OG0000357	CAEEL07861	XENTR15991, XENTR10312, XENTR11352, XENTR14897
OG0000357	CAEEL10151, CAEEL05953	XENTR15970, XENTR17586, XENTR08879, XENTR13168
OG0000358	CAEEL13826	XENTR09276, XENTR00396
OG0000358	CAEEL19072	XENTR16746, XENTR09348
OG0000359	CAEEL02740, CAEEL18786, CAEEL18785	XENTR05950, XENTR00976
OG0000363	CAEEL04898, CAEEL01034, CAEEL00066	XENTR17199, XENTR06334, XENTR17198
OG0000364	CAEEL18153, CAEEL18154	XENTR07477
OG0000365	CAEEL03052	XENTR02627, XENTR09699
OG0000367	CAEEL11241	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632
OG0000372	CAEEL06634	XENTR06420
OG0000372	CAEEL11042	XENTR12969, XENTR16656
OG0000373	CAEEL15439	XENTR11366
OG0000374	CAEEL04637	XENTR06197, XENTR03155
OG0000375	CAEEL04597	XENTR17679, XENTR09225
OG0000378	CAEEL01589	XENTR12085, XENTR05893, XENTR15421, XENTR11577
