Orthogroup	DROME	MOUSE
OG0000014	DROME14595, DROME14594	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000015	DROME20983	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093
OG0000015	DROME11913, DROME20981, DROME20982	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	MOUSE13078, MOUSE13077
OG0000016	DROME01609	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000020	DROME18145, DROME18146	MOUSE45177
OG0000020	DROME22108	MOUSE05499, MOUSE05500
OG0000020	DROME02490	MOUSE07164, MOUSE33588
OG0000020	DROME11466, DROME11467	MOUSE24012
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	MOUSE35162
OG0000020	DROME03151, DROME03150	MOUSE09601, MOUSE09602, MOUSE48313, MOUSE48314
OG0000020	DROME14454, DROME14455	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	DROME18320, DROME18321	MOUSE41024, MOUSE41023
OG0000021	DROME08269	MOUSE04592
OG0000021	DROME08091	MOUSE44445, MOUSE53773, MOUSE44446
OG0000021	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	MOUSE19587
OG0000023	DROME04919, DROME04917, DROME04918	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	MOUSE44525
OG0000030	DROME12966	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	DROME15149	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	DROME19945	MOUSE26385
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	DROME09230	MOUSE13006, MOUSE13005
OG0000031	DROME05246	MOUSE48656, MOUSE48889, MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	DROME16481	MOUSE13008
OG0000032	DROME02386	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	DROME01213	MOUSE29123
OG0000034	DROME20092, DROME20090, DROME20091	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	DROME13496	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	DROME20524	MOUSE20059
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	MOUSE02570, MOUSE02571
OG0000035	DROME19358, DROME19359	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	DROME17164, DROME17163	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	DROME10260	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	DROME18635	MOUSE41551
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	DROME13887, DROME14759, DROME14760	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	DROME08695, DROME15640, DROME04516	MOUSE21441
OG0000038	DROME10442	MOUSE08557
OG0000038	DROME13535, DROME13441	MOUSE41992, MOUSE41494
OG0000038	DROME13993	MOUSE22591, MOUSE22592
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	MOUSE39434, MOUSE39435, MOUSE39433, MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748, MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	DROME01788, DROME01789	MOUSE19876, MOUSE19875, MOUSE02175
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	MOUSE28829, MOUSE21621
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809, MOUSE38798
OG0000044	DROME03638	MOUSE41161, MOUSE41162
OG0000048	DROME07309	MOUSE55730
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452, MOUSE42201, MOUSE42202
OG0000048	DROME01500	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	DROME18357, DROME18359, DROME18358	MOUSE40908, MOUSE39155
OG0000051	DROME06654, DROME06655	MOUSE40003
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	MOUSE48109
OG0000054	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822	MOUSE48108
OG0000054	DROME21992	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534, MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433, MOUSE48639
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831
OG0000058	DROME14598	MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000059	DROME17819, DROME17820	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	DROME05579, DROME05580, DROME06033	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	MOUSE52081
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	MOUSE10885, MOUSE10881
OG0000065	DROME22058	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171
OG0000068	DROME18366, DROME18368, DROME18367	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009
OG0000068	DROME18209	MOUSE02010
OG0000069	DROME03768, DROME03713	MOUSE30824
OG0000069	DROME03778	MOUSE30828, MOUSE08931
OG0000069	DROME03748	MOUSE08907, MOUSE30830
OG0000069	DROME19859	MOUSE24595
OG0000069	DROME00928	MOUSE06171
OG0000069	DROME03718	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000069	DROME03738	MOUSE08915
OG0000070	DROME04028, DROME04029, DROME06783	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000072	DROME12247, DROME12248	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201
OG0000072	DROME00154	MOUSE30088, MOUSE45691
OG0000072	DROME00750	MOUSE29660
OG0000074	DROME03014	MOUSE01754, MOUSE40707
OG0000075	DROME01374	MOUSE22546
OG0000075	DROME01373	MOUSE14633
OG0000075	DROME01375	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630
OG0000075	DROME04883, DROME04882	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742
OG0000077	DROME15696, DROME15698, DROME15697	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	DROME07079, DROME07077, DROME07078	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502
OG0000079	DROME14752	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	DROME01298	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453
OG0000081	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593	MOUSE51879
OG0000082	DROME20298	MOUSE25920
OG0000082	DROME05998	MOUSE19184
OG0000082	DROME11174, DROME11173, DROME15008	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878
OG0000083	DROME17112	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	MOUSE21451, MOUSE30075, MOUSE30074
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	MOUSE31596, MOUSE40356, MOUSE00836
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	DROME10293, DROME10294, DROME10289, DROME10292	MOUSE46323, MOUSE46324
OG0000085	DROME00999, DROME00998, DROME01000	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	DROME19740	MOUSE15351, MOUSE19993
OG0000085	DROME10832, DROME10831	MOUSE16592, MOUSE16590, MOUSE24109, MOUSE24108, MOUSE16591
OG0000087	DROME22088	MOUSE04044, MOUSE04045
OG0000087	DROME06460	MOUSE04046
OG0000087	DROME21450	MOUSE40318, MOUSE40317
OG0000087	DROME03097	MOUSE22119, MOUSE22054, MOUSE22052
OG0000087	DROME08842	MOUSE11213
OG0000087	DROME09495	MOUSE46080, MOUSE46081, MOUSE46082
OG0000088	DROME01198, DROME01197	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530
OG0000089	DROME18066, DROME18069, DROME12817	MOUSE55271
OG0000090	DROME02752	MOUSE17971, MOUSE17970, MOUSE17967
OG0000090	DROME16241, DROME16240, DROME16239	MOUSE32571, MOUSE32572
OG0000091	DROME20804	MOUSE19668, MOUSE19669
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	MOUSE23651, MOUSE23649, MOUSE23648, MOUSE23650, MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850, MOUSE25209
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	MOUSE39287, MOUSE39286, MOUSE39288, MOUSE39290, MOUSE39289, MOUSE39291, MOUSE21580, MOUSE12896, MOUSE29409, MOUSE29410
OG0000096	DROME08195, DROME08196	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	DROME08870	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	DROME13163	MOUSE35516
OG0000096	DROME06400	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	DROME13915	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	DROME09341	MOUSE45925, MOUSE45926, MOUSE44088
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000099	DROME10335, DROME10334, DROME09743	MOUSE30052, MOUSE30050, MOUSE30051, MOUSE53947, MOUSE53948, MOUSE53946, MOUSE50039, MOUSE50041, MOUSE50040, MOUSE03601, MOUSE03600, MOUSE03599
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207
OG0000101	DROME05458	MOUSE15611, MOUSE15612
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436
OG0000104	DROME16895, DROME16894	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576
OG0000104	DROME17321, DROME17322	MOUSE16174
OG0000106	DROME02609	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	MOUSE08903
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	MOUSE04692, MOUSE38814
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	MOUSE17075, MOUSE14044, MOUSE06017, MOUSE06016, MOUSE07126, MOUSE28116, MOUSE53772, MOUSE29257, MOUSE29259, MOUSE29254, MOUSE21512, MOUSE34168, MOUSE00043, MOUSE00042, MOUSE00044, MOUSE00053, MOUSE00055, MOUSE00045, MOUSE00060, MOUSE00058, MOUSE00059, MOUSE00062, MOUSE00054, MOUSE00065, MOUSE00066, MOUSE00064, MOUSE00057, MOUSE00051, MOUSE00050, MOUSE00049, MOUSE00063, MOUSE00056, MOUSE00061, MOUSE00052, MOUSE21513
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	MOUSE08566, MOUSE39334, MOUSE39330
OG0000114	DROME04013, DROME04512, DROME04513	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888
OG0000116	DROME05231	MOUSE27994
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167
OG0000119	DROME21220, DROME21219	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194
OG0000120	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785	MOUSE43385
OG0000120	DROME00682	MOUSE28707, MOUSE28706, MOUSE28705
OG0000120	DROME00676	MOUSE28693
OG0000121	DROME17781, DROME08015	MOUSE48188, MOUSE48187, MOUSE21383
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654
