Orthogroup	DROME	HELIO_ok
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	HELIO_10910
OG0000034	DROME13496	HELIO_05981
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	HELIO_12487
OG0000034	DROME11310, DROME11311	HELIO_08377
OG0000035	DROME11928	HELIO_06273
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	HELIO_04621
OG0000035	DROME19358, DROME19359	HELIO_07811, HELIO_06366
OG0000035	DROME17164, DROME17163	HELIO_00732, HELIO_11539
OG0000036	DROME02324, DROME17378, DROME11305	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	DROME08695, DROME15640, DROME04516	HELIO_04770
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	HELIO_08837, HELIO_02529
OG0000044	DROME17013	HELIO_01656
OG0000048	DROME07309	HELIO_10223
OG0000048	DROME15626, DROME15625	HELIO_05568
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	HELIO_05826, HELIO_06221, HELIO_11655
OG0000048	DROME01500	HELIO_05605
OG0000051	DROME06654, DROME06655	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844
OG0000054	DROME20361	HELIO_03625, HELIO_05561
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	HELIO_03751, HELIO_10362
OG0000060	DROME18201	HELIO_11213
OG0000060	DROME02317, DROME02583, DROME02316	HELIO_01698, HELIO_08930, HELIO_10260
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	HELIO_11204
OG0000061	DROME05579, DROME05580, DROME06033	HELIO_04007, HELIO_00294, HELIO_10663
OG0000061	DROME18900, DROME18901, DROME18899	HELIO_00140
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	HELIO_06316
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	HELIO_10147
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	HELIO_12629
OG0000063	DROME10983, DROME10982	HELIO_04155
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	HELIO_11753, HELIO_06955
OG0000068	DROME18209	HELIO_09495, HELIO_11520, HELIO_04643, HELIO_09524, HELIO_08964
OG0000069	DROME03713	HELIO_11698
OG0000069	DROME03718	HELIO_05270
OG0000072	DROME12247, DROME12248	HELIO_10317
OG0000072	DROME00750	HELIO_10131
OG0000072	DROME14913	HELIO_04791
OG0000074	DROME03014	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000075	DROME01374	HELIO_12175
OG0000075	DROME01373	HELIO_01007
OG0000075	DROME01375	HELIO_01193
OG0000075	DROME04883, DROME04882	HELIO_05177
OG0000077	DROME07079, DROME07077, DROME07078	HELIO_00295
OG0000077	DROME18051	HELIO_11466
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	HELIO_06313
OG0000078	DROME15695	HELIO_07319, HELIO_06987
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	HELIO_01794, HELIO_05740
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	HELIO_00549
OG0000079	DROME01298	HELIO_01744, HELIO_07509
OG0000082	DROME20298	HELIO_12249
OG0000082	DROME05998	HELIO_08556
OG0000082	DROME11174, DROME11173, DROME15008	HELIO_06503, HELIO_04026, HELIO_02219
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	HELIO_05344
OG0000085	DROME10832, DROME10831	HELIO_11582
OG0000087	DROME22088	HELIO_02848, HELIO_02847, HELIO_02846
OG0000087	DROME21450	HELIO_04335
OG0000087	DROME08842	HELIO_02061, HELIO_03338, HELIO_06633
OG0000087	DROME09495	HELIO_01983, HELIO_04560, HELIO_06411, HELIO_07580
OG0000090	DROME02752	HELIO_12415
OG0000090	DROME16241, DROME16240, DROME16239	HELIO_03859, HELIO_12616
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	HELIO_07015
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	HELIO_03878
OG0000095	DROME01438	HELIO_07611
OG0000096	DROME08195, DROME08196	HELIO_07466
OG0000096	DROME08870	HELIO_03681
OG0000096	DROME13163	HELIO_03321
OG0000096	DROME06400	HELIO_06897
OG0000096	DROME13915	HELIO_03947
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	HELIO_00467, HELIO_11416
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	HELIO_00318, HELIO_06995
OG0000100	DROME09951	HELIO_06465
OG0000100	DROME10813	HELIO_06606, HELIO_03096
OG0000101	DROME05458	HELIO_11521
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	HELIO_03996
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	HELIO_12543
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	HELIO_04946
OG0000104	DROME16895, DROME16894	HELIO_03807
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	HELIO_05172
OG0000104	DROME17321, DROME17322	HELIO_02282
OG0000106	DROME02609	HELIO_02364
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	HELIO_05614, HELIO_10877
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	HELIO_06754
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	HELIO_08152
OG0000114	DROME04013, DROME04512, DROME04513	HELIO_10462, HELIO_00027, HELIO_06292
OG0000116	DROME05231	HELIO_08217, HELIO_10553
OG0000117	DROME17123	HELIO_01494
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	HELIO_09291
OG0000119	DROME21220, DROME21219	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	HELIO_08423, HELIO_01329
OG0000120	DROME04710	HELIO_07920
OG0000121	DROME17781, DROME08015	HELIO_11384
OG0000121	DROME10532	HELIO_05376
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	HELIO_09221
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	HELIO_00601, HELIO_11330, HELIO_07753
OG0000123	DROME17732, DROME17730, DROME17731	HELIO_00165
OG0000123	DROME14850, DROME14849, DROME14848, DROME14847	HELIO_10689
OG0000124	DROME17463	HELIO_02264
OG0000124	DROME08713, DROME09900	HELIO_07531
OG0000124	DROME21734	HELIO_08965
OG0000125	DROME04039, DROME04040, DROME04038	HELIO_08019
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	HELIO_05678
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	HELIO_02617
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	HELIO_12717
OG0000127	DROME11205, DROME11204	HELIO_04203
OG0000127	DROME08158	HELIO_00760
OG0000127	DROME05986	HELIO_10652
OG0000127	DROME18062	HELIO_03723
OG0000131	DROME18073, DROME18075, DROME18074	HELIO_00530, HELIO_08397
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	HELIO_02084, HELIO_02083, HELIO_03711
OG0000142	DROME07188	HELIO_07399
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	HELIO_12780
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	HELIO_07856
OG0000147	DROME03466	HELIO_02877
OG0000147	DROME17452, DROME17451	HELIO_07688
OG0000148	DROME19762, DROME19761, DROME19763	HELIO_09000, HELIO_12241
OG0000148	DROME12939	HELIO_01322
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	HELIO_08561
OG0000154	DROME12872, DROME12871	HELIO_00470
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	HELIO_10305
OG0000157	DROME05618, DROME05617, DROME05616	HELIO_02764
OG0000157	DROME09786	HELIO_02973
OG0000157	DROME05150, DROME05149	HELIO_02898
OG0000158	DROME06825, DROME06824	HELIO_05890
OG0000159	DROME09571, DROME09570	HELIO_07755
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	HELIO_09094
OG0000163	DROME12520	HELIO_05553, HELIO_10661
OG0000163	DROME07955	HELIO_02290
OG0000163	DROME19834, DROME00819	HELIO_07317
OG0000164	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561	HELIO_11223
OG0000165	DROME15840, DROME15841	HELIO_01649
OG0000167	DROME04018, DROME04019	HELIO_01889
OG0000168	DROME01783	HELIO_07708, HELIO_00592
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	HELIO_01149, HELIO_03619
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	HELIO_11555
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	HELIO_09570, HELIO_09571
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	HELIO_05633
OG0000175	DROME03593, DROME00840	HELIO_11471
OG0000179	DROME11221, DROME21050	HELIO_05015
OG0000179	DROME07796	HELIO_04929
OG0000179	DROME10428	HELIO_08122
OG0000180	DROME21739, DROME21740	HELIO_10517
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	HELIO_01389
OG0000181	DROME18397	HELIO_03744
OG0000181	DROME06226	HELIO_10771
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	HELIO_03106, HELIO_07785
OG0000183	DROME07008	HELIO_12279, HELIO_02987
OG0000185	DROME12225, DROME12226	HELIO_08141
OG0000185	DROME03791, DROME03792	HELIO_12016
OG0000186	DROME18591	HELIO_02314
OG0000186	DROME04472	HELIO_09501, HELIO_02377
OG0000188	DROME16886, DROME16887	HELIO_10975
OG0000189	DROME11182	HELIO_07994
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	HELIO_05982
OG0000197	DROME14335, DROME14334, DROME14336	HELIO_03884
OG0000198	DROME17687	HELIO_07810
OG0000201	DROME11047	HELIO_03794
OG0000201	DROME19450	HELIO_11591, HELIO_07497
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	HELIO_09400
OG0000202	DROME14920, DROME14921	HELIO_09483, HELIO_08601
OG0000203	DROME04489	HELIO_11397
OG0000204	DROME10849, DROME10848	HELIO_05845
OG0000205	DROME06842, DROME06843	HELIO_00236
OG0000205	DROME08187	HELIO_00235, HELIO_07450
OG0000207	DROME06000	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091
OG0000208	DROME02132	HELIO_08975
OG0000210	DROME14047, DROME11376	HELIO_12121
OG0000211	DROME17290	HELIO_00554
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	HELIO_04924
OG0000223	DROME10256	HELIO_07967, HELIO_04535
OG0000225	DROME11929	HELIO_03666, HELIO_05507, HELIO_12455
OG0000226	DROME14660	HELIO_05355, HELIO_07871, HELIO_09435
OG0000227	DROME20242	HELIO_02891
OG0000227	DROME04927, DROME04926	HELIO_06498, HELIO_04590
OG0000229	DROME04047	HELIO_12626, HELIO_08788, HELIO_08327
OG0000230	DROME03186	HELIO_01434, HELIO_10443
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	HELIO_05053
OG0000231	DROME07628, DROME07629	HELIO_00476
OG0000232	DROME10139	HELIO_10566
OG0000233	DROME00414, DROME00405, DROME00404, DROME00403	HELIO_03649
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	HELIO_06356
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	HELIO_10361
OG0000235	DROME11735	HELIO_01611, HELIO_06097, HELIO_07273
OG0000236	DROME03355	HELIO_10807
OG0000236	DROME12102, DROME12101, DROME12103, DROME12096, DROME12097, DROME12095, DROME12094, DROME12092, DROME12100, DROME12099, DROME12098, DROME12093	HELIO_10705, HELIO_05040
OG0000238	DROME01901, DROME01902	HELIO_10889
OG0000238	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358	HELIO_06126
OG0000238	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033	HELIO_04152
OG0000239	DROME05270, DROME05269, DROME05271, DROME05268	HELIO_09847
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	HELIO_09876
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	HELIO_07617
OG0000242	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265	HELIO_08165
OG0000245	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514	HELIO_09311
OG0000246	DROME13185, DROME13186, DROME13188, DROME13187	HELIO_12542
OG0000249	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490	HELIO_11329, HELIO_11328
OG0000250	DROME14382	HELIO_03230
OG0000250	DROME11256, DROME11255, DROME11257	HELIO_09216
OG0000251	DROME21783	HELIO_12261
OG0000251	DROME19364, DROME15998, DROME15997	HELIO_00192
OG0000251	DROME12998, DROME12997	HELIO_05418
OG0000255	DROME15943	HELIO_11786
OG0000255	DROME20722, DROME05791, DROME18596	HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058	HELIO_11169
OG0000257	DROME01840, DROME01838, DROME01839, DROME01837	HELIO_10210
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594	HELIO_01832
OG0000258	DROME20383	HELIO_07834
OG0000258	DROME17641, DROME17639, DROME17640	HELIO_11938
OG0000260	DROME17607, DROME17608, DROME17606	HELIO_02123
OG0000260	DROME16635, DROME16636	HELIO_12046
OG0000261	DROME06684, DROME06680, DROME06690, DROME06687, DROME06691, DROME06685, DROME06688, DROME06681, DROME06686, DROME06689, DROME06679, DROME06682, DROME06683	HELIO_10678
OG0000265	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975	HELIO_10981
OG0000265	DROME00452	HELIO_02949
OG0000268	DROME00943, DROME00944	HELIO_11907
OG0000270	DROME17877, DROME17878, DROME17879	HELIO_08940
OG0000270	DROME14671, DROME14672, DROME14673, DROME14674	HELIO_11284
OG0000270	DROME08572, DROME08571, DROME08577, DROME08573, DROME08576, DROME08574, DROME08575	HELIO_00681
OG0000271	DROME19668, DROME19667	HELIO_09338, HELIO_09337, HELIO_12202, HELIO_10271, HELIO_11250
OG0000272	DROME05031, DROME05029, DROME05030	HELIO_06926
OG0000273	DROME09248, DROME09247, DROME10822, DROME20533	HELIO_05150
OG0000273	DROME11374, DROME11373	HELIO_03083
OG0000273	DROME08809, DROME08810	HELIO_01650
OG0000273	DROME18369	HELIO_02819
OG0000274	DROME03975, DROME03976, DROME03972, DROME03974, DROME03973, DROME17174, DROME21409	HELIO_06815
OG0000274	DROME01792	HELIO_04008
OG0000277	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342	HELIO_01369
OG0000277	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160	HELIO_01920
OG0000282	DROME05714	HELIO_10802
OG0000284	DROME17657	HELIO_09271, HELIO_08507, HELIO_03356
OG0000284	DROME09381, DROME09382	HELIO_04011
OG0000285	DROME00993	HELIO_08936, HELIO_07805, HELIO_08935, HELIO_08587
OG0000287	DROME09449, DROME09452, DROME09453, DROME09454, DROME09451, DROME09448, DROME09450, DROME09456, DROME09455	HELIO_05533, HELIO_06539
OG0000288	DROME02838, DROME18143, DROME18843, DROME19403, DROME18842, DROME13122, DROME08694, DROME09407, DROME04916, DROME16609, DROME16610, DROME04910, DROME04913, DROME01225, DROME08693, DROME16360, DROME10946, DROME09605, DROME03357, DROME03358, DROME01394, DROME03352, DROME03350, DROME03351, DROME01393	HELIO_01393
OG0000289	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962	HELIO_07121
OG0000289	DROME10658, DROME10659	HELIO_08142
OG0000296	DROME17565, DROME17564, DROME17562, DROME17563	HELIO_03893
OG0000299	DROME07127, DROME07124, DROME07123	HELIO_09503
OG0000301	DROME18912, DROME14231, DROME14230	HELIO_11537
OG0000302	DROME06085	HELIO_04163
OG0000302	DROME10773, DROME10774, DROME10775, DROME06441	HELIO_06390, HELIO_10727, HELIO_01169, HELIO_05782
OG0000305	DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692	HELIO_04494
OG0000305	DROME04466	HELIO_11371
OG0000306	DROME18377, DROME18374, DROME18379, DROME18378, DROME18380, DROME18375, DROME18381, DROME18376	HELIO_09402
OG0000308	DROME05159	HELIO_01621, HELIO_08987
OG0000308	DROME12865	HELIO_05751
OG0000310	DROME16770	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589
OG0000312	DROME07843, DROME07844, DROME07846, DROME07845	HELIO_01538
OG0000312	DROME16932	HELIO_09957
OG0000312	DROME10814, DROME10815	HELIO_10360
OG0000313	DROME15510	HELIO_06905
OG0000313	DROME02549, DROME02550	HELIO_11614
OG0000313	DROME21546	HELIO_01266
OG0000314	DROME09997, DROME09992, DROME09995, DROME09999, DROME09991, DROME09996, DROME09998, DROME10001, DROME09993, DROME10000, DROME09994	HELIO_03371
OG0000315	DROME13631	HELIO_08178
OG0000315	DROME06438, DROME06439, DROME06437	HELIO_09319
OG0000316	DROME10369	HELIO_00705
OG0000316	DROME07384	HELIO_01356
OG0000316	DROME19451, DROME19452	HELIO_01799, HELIO_11514, HELIO_05676
OG0000317	DROME12241	HELIO_09420
OG0000321	DROME16482	HELIO_08196
OG0000321	DROME05701, DROME05702	HELIO_12621
OG0000321	DROME13031	HELIO_08301
OG0000323	DROME18717, DROME18722, DROME18719, DROME18716, DROME18712, DROME18721, DROME18718, DROME18714, DROME18715, DROME18723, DROME18720, DROME18713	HELIO_09877
OG0000324	DROME20725	HELIO_07602, HELIO_06417, HELIO_04716, HELIO_05325
OG0000328	DROME07568, DROME07570, DROME07572, DROME07569, DROME07567, DROME07566, DROME07571, DROME13228, DROME13229, DROME13227, DROME13226, DROME13225, DROME13222, DROME13223, DROME13224, DROME13221	HELIO_12519
OG0000329	DROME07577, DROME07578	HELIO_09475
OG0000333	DROME19659	HELIO_00226
OG0000338	DROME21194, DROME21193	HELIO_11240
OG0000338	DROME21975	HELIO_09261
OG0000338	DROME04558	HELIO_11115
OG0000339	DROME16744	HELIO_05723, HELIO_01207
OG0000341	DROME01201, DROME01199, DROME01200	HELIO_08174, HELIO_08173
OG0000343	DROME13475, DROME13478, DROME13474, DROME13476, DROME13480, DROME13477, DROME13473, DROME13481, DROME13479	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075
OG0000344	DROME19431	HELIO_01783
OG0000345	DROME12026, DROME12025, DROME12024	HELIO_06324
OG0000346	DROME17127, DROME17125, DROME17122, DROME17126, DROME17124, DROME17129, DROME17130, DROME17128, DROME17131, DROME17134, DROME17137, DROME17133, DROME17136, DROME17135, DROME17132, DROME17139, DROME17138	HELIO_07117
OG0000350	DROME03410, DROME08099	HELIO_10069
OG0000350	DROME00438	HELIO_10189, HELIO_09346
OG0000352	DROME14143, DROME14145, DROME14147, DROME14146, DROME14148, DROME14144	HELIO_07849
OG0000353	DROME09963, DROME09967, DROME09962, DROME09961, DROME09960, DROME09954, DROME09959, DROME09952, DROME09965, DROME09966, DROME09964, DROME09957, DROME09953, DROME09955, DROME09969, DROME09968, DROME18221	HELIO_00605, HELIO_03865, HELIO_04423
