Orthogroup	DROME	NEMVE
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000006	DROME00146	NEMVE06918
OG0000006	DROME00104	NEMVE10906, NEMVE09176
OG0000006	DROME19258, DROME19257, DROME19259	NEMVE02590
OG0000006	DROME21396	NEMVE03392
OG0000006	DROME15583	NEMVE08216
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	NEMVE16957
OG0000006	DROME07420	NEMVE13593
OG0000006	DROME19786, DROME00664	NEMVE02351
OG0000006	DROME07417	NEMVE14647
OG0000006	DROME18045, DROME18046, DROME18044	NEMVE04712
OG0000006	DROME00147, DROME00148	NEMVE13538
OG0000006	DROME19780, DROME19779, DROME19781	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	DROME21674, DROME21675, DROME21673	NEMVE08464
OG0000007	DROME12545	NEMVE15003
OG0000007	DROME16994, DROME16993	NEMVE14764
OG0000007	DROME17568, DROME17567	NEMVE13570
OG0000007	DROME07864	NEMVE06210
OG0000007	DROME09292	NEMVE09701, NEMVE03333, NEMVE03816
OG0000007	DROME18346	NEMVE02349
OG0000007	DROME14142	NEMVE09467
OG0000007	DROME19603, DROME19602	NEMVE03824
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	NEMVE09051
OG0000007	DROME21792, DROME00712, DROME00713	NEMVE05677
OG0000008	DROME12246	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	NEMVE07817, NEMVE12766
OG0000008	DROME15136	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	DROME12016	NEMVE08421
OG0000010	DROME10941	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008
OG0000010	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652	NEMVE05383
OG0000012	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074
OG0000014	DROME14595, DROME14594	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220
OG0000015	DROME20983	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	DROME15820, DROME14399, DROME14400, DROME14397, DROME14398	NEMVE08500, NEMVE08491
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	DROME01609	NEMVE05675
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	NEMVE06549
OG0000020	DROME02490	NEMVE05671, NEMVE21971, NEMVE18721
OG0000020	DROME11466, DROME11467	NEMVE05506
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	NEMVE08770, NEMVE22771
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	NEMVE13577
OG0000020	DROME03151, DROME03150	NEMVE13307
OG0000020	DROME14454, DROME14455	NEMVE13092
OG0000021	DROME06512, DROME06511, DROME08269	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	DROME00802, DROME00801	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	DROME08091, DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	NEMVE04837
OG0000023	DROME04919, DROME04917, DROME04918	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	NEMVE13647
OG0000027	DROME13849, DROME08050	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	DROME00133	NEMVE07358, NEMVE05350, NEMVE02019
OG0000029	DROME19091	NEMVE03602
OG0000030	DROME12966	NEMVE20373, NEMVE19035
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	DROME06898	NEMVE02213, NEMVE02794
OG0000030	DROME12965	NEMVE06265
OG0000031	DROME19945	NEMVE01854
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	NEMVE06981
OG0000031	DROME09230	NEMVE07820
OG0000031	DROME05246	NEMVE12067, NEMVE21885
OG0000034	DROME20092, DROME20090, DROME20091	NEMVE17012, NEMVE07311, NEMVE07285
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	NEMVE10927
OG0000034	DROME13496	NEMVE10961, NEMVE24294
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	DROME03104, DROME03105	NEMVE06831
OG0000034	DROME20524	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	NEMVE23841
OG0000035	DROME19358, DROME19359	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	DROME13887, DROME14759, DROME14760	NEMVE10401
OG0000037	DROME20237	NEMVE15427
OG0000037	DROME07468, DROME07469	NEMVE19686
OG0000038	DROME13535, DROME13441	NEMVE16337, NEMVE14526
OG0000039	DROME20351, DROME20350	NEMVE06934
OG0000040	DROME20303	NEMVE20551
OG0000041	DROME01788, DROME01789	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	NEMVE05295
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	DROME00597	NEMVE18089, NEMVE02473
OG0000044	DROME17013	NEMVE12375, NEMVE01572, NEMVE04962, NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734
OG0000046	DROME12318, DROME12319	NEMVE08905, NEMVE15252
OG0000046	DROME11364, DROME11369	NEMVE05961
OG0000048	DROME07309	NEMVE05567
OG0000048	DROME15613	NEMVE05649
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	NEMVE14912
OG0000048	DROME01500	NEMVE15061
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	NEMVE19461, NEMVE02399, NEMVE21864
OG0000051	DROME06654, DROME06655	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000054	DROME20361	NEMVE01268
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	NEMVE15086, NEMVE10916
OG0000054	DROME21992	NEMVE05466, NEMVE10915
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	NEMVE16653, NEMVE03339, NEMVE05159, NEMVE21772, NEMVE21789, NEMVE05139, NEMVE15927, NEMVE15496, NEMVE22636, NEMVE21191, NEMVE03388, NEMVE12802, NEMVE21025, NEMVE21736, NEMVE21743, NEMVE00705, NEMVE21868, NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960
OG0000058	DROME06565	NEMVE06253
OG0000058	DROME14598	NEMVE13151
OG0000060	DROME18201	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	DROME02317, DROME02583, DROME02316	NEMVE02438
OG0000060	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088
OG0000060	DROME15948	NEMVE09694
OG0000060	DROME00430	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	NEMVE14126
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	NEMVE05614
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	NEMVE00961
OG0000063	DROME10983, DROME10982	NEMVE09684
OG0000065	DROME22058, DROME11358	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	DROME12296	NEMVE00883
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	NEMVE10714
OG0000068	DROME18366, DROME18368, DROME18367, DROME18209	NEMVE24661, NEMVE20048
OG0000069	DROME03713	NEMVE21932, NEMVE14181, NEMVE11511
OG0000069	DROME03782	NEMVE21739
OG0000069	DROME03748	NEMVE22023
OG0000069	DROME03680	NEMVE12246
OG0000069	DROME03689, DROME03743, DROME03723, DROME03773	NEMVE21883, NEMVE21728
OG0000069	DROME19859, DROME00928	NEMVE15092
OG0000069	DROME03718	NEMVE13176, NEMVE12607
OG0000069	DROME03728	NEMVE15163
OG0000069	DROME03753	NEMVE21912
OG0000070	DROME04028, DROME04029, DROME06783, DROME04912	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	DROME14965	NEMVE08129, NEMVE05963
OG0000071	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812	NEMVE00664
OG0000072	DROME12247, DROME12248	NEMVE01460
OG0000072	DROME00154	NEMVE07818
OG0000074	DROME00985	NEMVE01659, NEMVE12812
OG0000075	DROME01373	NEMVE13100
OG0000075	DROME01375	NEMVE18051
OG0000075	DROME04883, DROME04882	NEMVE17771
OG0000077	DROME15696, DROME15698, DROME15697, DROME07079, DROME07077, DROME07078, DROME18051, DROME15502, DROME15501, DROME12670	NEMVE04990
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	NEMVE13805, NEMVE09271, NEMVE13703, NEMVE01522
OG0000078	DROME15695	NEMVE20033
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	NEMVE07219, NEMVE03189
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	NEMVE02220
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	NEMVE08009
OG0000082	DROME20298	NEMVE19066
OG0000082	DROME05998	NEMVE05388
OG0000082	DROME11174, DROME11173, DROME15008	NEMVE14867, NEMVE15134
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	NEMVE22355
OG0000083	DROME17112, DROME20486, DROME20487	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	NEMVE07901
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	NEMVE07289
OG0000085	DROME00999, DROME00998, DROME01000	NEMVE07695
OG0000085	DROME19740	NEMVE18682, NEMVE18681
OG0000085	DROME10832, DROME10831	NEMVE00067
OG0000087	DROME22088	NEMVE09998, NEMVE14074
OG0000087	DROME12963, DROME09496, DROME06460	NEMVE12577
OG0000087	DROME21450	NEMVE14184
OG0000087	DROME03097	NEMVE13354, NEMVE03416, NEMVE04646
OG0000087	DROME08842	NEMVE21432, NEMVE22418, NEMVE02951
OG0000087	DROME09495	NEMVE25319, NEMVE20307, NEMVE01934
OG0000088	DROME01198, DROME01197	NEMVE24299
OG0000089	DROME18066, DROME18069, DROME12817	NEMVE15621, NEMVE15853
OG0000090	DROME02752	NEMVE05578
OG0000091	DROME20804, DROME18437, DROME18438, DROME20481, DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941	NEMVE05463, NEMVE05476, NEMVE13252
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	NEMVE05621
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	NEMVE03407, NEMVE03409, NEMVE03406
OG0000095	DROME01438	NEMVE15802
OG0000096	DROME08195, DROME08196	NEMVE15121
OG0000096	DROME08870	NEMVE14782
OG0000096	DROME13163	NEMVE22574
OG0000096	DROME06400	NEMVE22432
OG0000096	DROME13915	NEMVE25573
OG0000096	DROME09341	NEMVE14773
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	NEMVE07244, NEMVE05378
OG0000100	DROME09951	NEMVE09111, NEMVE09709
OG0000100	DROME10813	NEMVE08709, NEMVE08700, NEMVE03109, NEMVE08425, NEMVE11602, NEMVE09610
OG0000101	DROME17779, DROME05458	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	NEMVE06305
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	NEMVE09043
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	NEMVE07990
OG0000104	DROME16895, DROME16894	NEMVE01265
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	NEMVE01905
OG0000104	DROME17321, DROME17322	NEMVE06744
OG0000104	DROME00132, DROME00131	NEMVE01917
OG0000106	DROME02609	NEMVE07221, NEMVE07805
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	NEMVE03999, NEMVE21307
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	NEMVE21021, NEMVE14510
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	NEMVE07046, NEMVE14943
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	NEMVE22896
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	NEMVE15248
OG0000120	DROME15700	NEMVE03389
OG0000120	DROME00682	NEMVE03379
OG0000120	DROME00676	NEMVE08594
OG0000120	DROME04710	NEMVE05327, NEMVE01429
OG0000121	DROME17781, DROME08015	NEMVE22381
OG0000121	DROME10532	NEMVE22385
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	NEMVE05937, NEMVE10909
OG0000124	DROME08713, DROME09900	NEMVE24720
OG0000124	DROME21734	NEMVE14854
OG0000126	DROME01805, DROME01804	NEMVE07689
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	NEMVE08729, NEMVE02964
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	NEMVE00909
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	NEMVE02955
OG0000127	DROME11205, DROME11204	NEMVE22473
OG0000127	DROME08158	NEMVE10526
OG0000127	DROME05986	NEMVE06686, NEMVE13457
OG0000127	DROME18062	NEMVE22419
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520	NEMVE15459, NEMVE24455
OG0000129	DROME21055	NEMVE05043
OG0000131	DROME18073, DROME18075, DROME18074	NEMVE07984, NEMVE05410
OG0000142	DROME09730	NEMVE13476
OG0000142	DROME07188	NEMVE18434, NEMVE18435, NEMVE09154
OG0000144	DROME21183	NEMVE18032, NEMVE17025, NEMVE18818, NEMVE17832, NEMVE19404
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	NEMVE01930
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	NEMVE13815
OG0000147	DROME03466	NEMVE14266
OG0000147	DROME17452, DROME17451	NEMVE06760, NEMVE10211, NEMVE15010, NEMVE01973
OG0000148	DROME19762, DROME19761, DROME19763, DROME12939	NEMVE23582, NEMVE05630
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	NEMVE08530, NEMVE21291
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	NEMVE07677, NEMVE25205, NEMVE08546, NEMVE17187, NEMVE14399, NEMVE02954
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	NEMVE19985, NEMVE14842
OG0000157	DROME05618, DROME05617, DROME05616	NEMVE24250
OG0000157	DROME09786	NEMVE14302
OG0000157	DROME05150, DROME05149	NEMVE22690
OG0000158	DROME06825, DROME06824	NEMVE19203, NEMVE24928
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396
OG0000162	DROME08394, DROME08390, DROME08396, DROME08397, DROME08395, DROME08392, DROME08391, DROME08389, DROME08393	NEMVE00004, NEMVE00003, NEMVE05664, NEMVE09493, NEMVE12265
OG0000163	DROME12520	NEMVE23040, NEMVE12529, NEMVE24450
OG0000163	DROME13860, DROME19834, DROME00819, DROME01561, DROME16444	NEMVE12704, NEMVE13131
OG0000164	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561	NEMVE17994
OG0000165	DROME15840, DROME15841	NEMVE15213
OG0000168	DROME00156, DROME00157	NEMVE10579
OG0000168	DROME01783	NEMVE11950, NEMVE10581, NEMVE12729, NEMVE21914, NEMVE11814, NEMVE12386, NEMVE14100, NEMVE08169
OG0000170	DROME01350	NEMVE24896
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080, NEMVE13315
OG0000172	DROME14415	NEMVE05118, NEMVE09588, NEMVE07313, NEMVE14659, NEMVE07863, NEMVE14236, NEMVE11433
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	NEMVE08851
OG0000174	DROME10165, DROME11306	NEMVE06968, NEMVE04933
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	NEMVE08062
OG0000175	DROME03593, DROME00840	NEMVE00450, NEMVE15112
OG0000179	DROME07796	NEMVE14969, NEMVE18776
OG0000179	DROME10428	NEMVE07348
OG0000180	DROME21739, DROME21740	NEMVE02157, NEMVE09778
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	NEMVE17226, NEMVE07670
OG0000181	DROME12775	NEMVE24124
OG0000181	DROME18397	NEMVE23021
OG0000181	DROME06226	NEMVE13666, NEMVE22609
OG0000182	DROME05590, DROME13778	NEMVE03241, NEMVE17401
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	NEMVE11293
OG0000183	DROME07008	NEMVE10854, NEMVE13332
OG0000185	DROME08939, DROME08940, DROME11667, DROME11668	NEMVE22342
OG0000185	DROME12225, DROME12226, DROME03791, DROME03792	NEMVE24028
OG0000186	DROME17153	NEMVE11331
OG0000186	DROME04472	NEMVE20659, NEMVE14351, NEMVE16713, NEMVE05104, NEMVE15453
OG0000186	DROME05503, DROME05502	NEMVE23359
OG0000188	DROME16886, DROME16887	NEMVE13624
OG0000193	DROME21697, DROME21696, DROME21698, DROME08054, DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981	NEMVE10259, NEMVE11693, NEMVE07643
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	NEMVE15098
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	NEMVE14737, NEMVE09501, NEMVE00651, NEMVE21943
OG0000201	DROME11047	NEMVE20854, NEMVE23099, NEMVE07103, NEMVE07418
OG0000201	DROME19450	NEMVE09097
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	NEMVE18189, NEMVE09350
OG0000202	DROME14920, DROME14921, DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001	NEMVE18137, NEMVE01256
OG0000203	DROME04489	NEMVE01883
OG0000203	DROME04557, DROME10212	NEMVE02777, NEMVE23941
OG0000204	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808	NEMVE08800
OG0000204	DROME10849, DROME10848	NEMVE01481, NEMVE01283, NEMVE05134, NEMVE01962, NEMVE13202, NEMVE01981
OG0000205	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776	NEMVE09132
OG0000205	DROME06842, DROME06843	NEMVE05941
OG0000205	DROME08187	NEMVE22488, NEMVE07344, NEMVE13282, NEMVE02003, NEMVE05573
OG0000207	DROME06000	NEMVE14338, NEMVE18126
OG0000208	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901, DROME02132	NEMVE01513, NEMVE06396
OG0000210	DROME04199	NEMVE04358, NEMVE23622
OG0000210	DROME04478	NEMVE09755
OG0000210	DROME14047, DROME11376	NEMVE08730
OG0000211	DROME17290	NEMVE08412
OG0000211	DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068	NEMVE10733
OG0000215	DROME14129	NEMVE04743, NEMVE04797, NEMVE13107, NEMVE04974, NEMVE15330, NEMVE04914, NEMVE14567, NEMVE13500
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	NEMVE01198
