Orthogroup	DROME	AENJA_ok
OG0000007	DROME14142	AENJA_09687
OG0000007	DROME19603, DROME19602	AENJA_07358
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	AENJA_11277
OG0000007	DROME21792, DROME00712, DROME00713	AENJA_26507
OG0000008	DROME05669	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	AENJA_00959
OG0000010	DROME09935	AENJA_14735
OG0000010	DROME14854, DROME14851, DROME14852	AENJA_20491
OG0000010	DROME12147	AENJA_06639
OG0000012	DROME14687, DROME14686	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000014	DROME05409, DROME03987	AENJA_09518, AENJA_09012, AENJA_17358, AENJA_16625
OG0000014	DROME14595, DROME14594	AENJA_25536
OG0000015	DROME11913, DROME20981, DROME20982	AENJA_18653
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	AENJA_19630
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	AENJA_11513
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	AENJA_26671, AENJA_26677
OG0000016	DROME01609	AENJA_02781
OG0000019	DROME02971	AENJA_12747
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277
OG0000020	DROME22108	AENJA_21688, AENJA_05309
OG0000020	DROME02490	AENJA_15791, AENJA_12903
OG0000020	DROME11466, DROME11467	AENJA_16929
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	AENJA_04727
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	AENJA_10912
OG0000020	DROME03151, DROME03150	AENJA_11444
OG0000020	DROME14454, DROME14455	AENJA_12495
OG0000021	DROME18320, DROME18321	AENJA_14639
OG0000021	DROME08269	AENJA_24950
OG0000021	DROME00802, DROME00801	AENJA_19175
OG0000021	DROME08091	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000023	DROME04919, DROME04917, DROME04918	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	AENJA_26230
OG0000028	DROME09421	AENJA_04861
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	AENJA_02274
OG0000030	DROME15149	AENJA_17283
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111	AENJA_21030
OG0000030	DROME12173, DROME12176	AENJA_03309, AENJA_05226
OG0000031	DROME19945	AENJA_09856
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	AENJA_09858
OG0000031	DROME09230	AENJA_05740
OG0000031	DROME05246	AENJA_14258, AENJA_15917, AENJA_14260
OG0000032	DROME02388	AENJA_15565
OG0000032	DROME02386	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	DROME01213	AENJA_12718, AENJA_12280, AENJA_12491
OG0000034	DROME20092, DROME20090, DROME20091	AENJA_21749
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	AENJA_02791
OG0000034	DROME13496	AENJA_23686
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	AENJA_13785
OG0000034	DROME03104, DROME03105	AENJA_24919
OG0000034	DROME20524	AENJA_16616
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	AENJA_01174
OG0000035	DROME19358, DROME19359	AENJA_12732
OG0000035	DROME17164, DROME17163	AENJA_12364, AENJA_26037
OG0000035	DROME18635	AENJA_02191
OG0000036	DROME02324, DROME17378, DROME11305	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	DROME08695, DROME15640, DROME04516	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	DROME13535, DROME13441	AENJA_05691
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	AENJA_07277
OG0000040	DROME20303	AENJA_23333
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	AENJA_07541, AENJA_11361
OG0000041	DROME01788, DROME01789	AENJA_08471
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	AENJA_24560
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	AENJA_03404, AENJA_03405
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	AENJA_26664
OG0000044	DROME03638	AENJA_24602
OG0000044	DROME17013	AENJA_06789
OG0000045	DROME00740, DROME05490, DROME00741, DROME00650	AENJA_24504
OG0000046	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304	AENJA_15828
OG0000048	DROME15626, DROME15625	AENJA_23226
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	AENJA_21270, AENJA_21713, AENJA_09360
OG0000048	DROME01500	AENJA_25506
OG0000051	DROME06654, DROME06655	AENJA_18491, AENJA_12662
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	AENJA_06676, AENJA_23371
OG0000054	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822	AENJA_12232, AENJA_06677
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624	AENJA_23915
OG0000058	DROME14598	AENJA_23345
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	AENJA_12354
OG0000060	DROME18201	AENJA_19748
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	AENJA_07301
OG0000061	DROME05579, DROME05580, DROME06033	AENJA_26614, AENJA_08766
OG0000061	DROME18900, DROME18901, DROME18899	AENJA_06999
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	AENJA_20321
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	AENJA_03789
OG0000063	DROME10983, DROME10982	AENJA_26394
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	AENJA_21171
OG0000068	DROME18209	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000069	DROME03713	AENJA_15982
OG0000070	DROME04028, DROME04029, DROME06783	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	DROME17588, DROME17589, DROME19032	AENJA_17946, AENJA_17947
OG0000072	DROME12247, DROME12248	AENJA_14652
OG0000072	DROME00750	AENJA_02450
OG0000072	DROME14913, DROME11831, DROME14422	AENJA_24050, AENJA_00746
OG0000074	DROME03014	AENJA_05555, AENJA_12312, AENJA_06058
OG0000075	DROME01374	AENJA_18278
OG0000077	DROME15696, DROME15698, DROME15697	AENJA_07475
OG0000077	DROME18051	AENJA_08162
OG0000077	DROME12670	AENJA_00875
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	AENJA_16680, AENJA_06754
OG0000078	DROME15695	AENJA_26733
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	AENJA_16186
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	AENJA_02482
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	AENJA_17442
OG0000079	DROME01298	AENJA_10507
OG0000081	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593	AENJA_22439, AENJA_23269
OG0000081	DROME19345, DROME19344	AENJA_23268
OG0000082	DROME05998	AENJA_25747
OG0000083	DROME17112	AENJA_21795
OG0000083	DROME20486, DROME20487	AENJA_03464
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	AENJA_24814
OG0000084	DROME17344, DROME17343, DROME17345	AENJA_02486
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	AENJA_06487
OG0000085	DROME00999, DROME00998, DROME01000	AENJA_24493
OG0000085	DROME19740	AENJA_20539
OG0000085	DROME10832, DROME10831	AENJA_08917
OG0000086	DROME14954	AENJA_15860, AENJA_25942, AENJA_16623, AENJA_16711, AENJA_22511, AENJA_01659
OG0000087	DROME22088	AENJA_23251
OG0000087	DROME21450	AENJA_08976
OG0000087	DROME03097	AENJA_03163
OG0000087	DROME08842	AENJA_19935
OG0000087	DROME09495	AENJA_13117, AENJA_04374, AENJA_10299, AENJA_10300, AENJA_20453
OG0000089	DROME18066, DROME18069, DROME12817	AENJA_01807
OG0000090	DROME02752	AENJA_10145
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158	AENJA_19633
OG0000090	DROME16241, DROME16240, DROME16239	AENJA_01954
OG0000091	DROME20804	AENJA_05198, AENJA_09904, AENJA_06299
OG0000091	DROME18437, DROME18438, DROME20481	AENJA_01389
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	AENJA_14582
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	AENJA_26553
OG0000095	DROME01438	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173
OG0000096	DROME08195, DROME08196	AENJA_25727
OG0000096	DROME06400	AENJA_21947
OG0000096	DROME13915	AENJA_08423
OG0000096	DROME09341	AENJA_09240
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	AENJA_22563, AENJA_15215
OG0000099	DROME10335, DROME10334, DROME09743	AENJA_19631, AENJA_00123
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	AENJA_07638, AENJA_14869
OG0000100	DROME09951	AENJA_12266, AENJA_21578, AENJA_13838, AENJA_20340
OG0000100	DROME10813	AENJA_06228, AENJA_08011, AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620, AENJA_26040, AENJA_26104, AENJA_06096
OG0000101	DROME05458	AENJA_00251, AENJA_06142
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	AENJA_10812
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	AENJA_14367
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	AENJA_04107
OG0000104	DROME16895, DROME16894	AENJA_02684
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	AENJA_26666
OG0000106	DROME02609	AENJA_21591
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	AENJA_04205, AENJA_23685
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	AENJA_02203, AENJA_09826
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	AENJA_23406
OG0000114	DROME04013, DROME04512, DROME04513	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	DROME05231	AENJA_23563, AENJA_23564
OG0000117	DROME17123	AENJA_24559, AENJA_08111
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	AENJA_18357, AENJA_20512
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	AENJA_08115, AENJA_08491
OG0000120	DROME04710	AENJA_09034
OG0000121	DROME17781, DROME08015	AENJA_09065
OG0000121	DROME10532	AENJA_15894, AENJA_19956, AENJA_09165
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	AENJA_09263
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	AENJA_14198, AENJA_09459, AENJA_22788
OG0000123	DROME17732, DROME17730, DROME17731	AENJA_13105
OG0000123	DROME14850, DROME14849, DROME14848, DROME14847	AENJA_26530
OG0000124	DROME17463	AENJA_03116, AENJA_25792
OG0000124	DROME08713, DROME09900	AENJA_04495
OG0000124	DROME21734	AENJA_09769, AENJA_03187
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	AENJA_09264
OG0000125	DROME04039, DROME04040, DROME04038	AENJA_07272
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	AENJA_24273
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	AENJA_07507
OG0000127	DROME11205, DROME11204	AENJA_20308
OG0000127	DROME08158	AENJA_04153
OG0000127	DROME05986	AENJA_17569
OG0000127	DROME18062	AENJA_00497
OG0000131	DROME18073, DROME18075, DROME18074	AENJA_13807, AENJA_21097
OG0000140	DROME11150, DROME11151	AENJA_12795, AENJA_06528
OG0000142	DROME09730	AENJA_25989
OG0000142	DROME07188	AENJA_16857, AENJA_18146
OG0000144	DROME21183	AENJA_16607
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	AENJA_03761
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	AENJA_12275
OG0000147	DROME03466	AENJA_03922
OG0000147	DROME17452, DROME17451	AENJA_10787, AENJA_03843
OG0000148	DROME19762, DROME19761, DROME19763	AENJA_26311, AENJA_25264, AENJA_21218
OG0000148	DROME12939	AENJA_21220
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	AENJA_12111, AENJA_03471, AENJA_12512
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	AENJA_18447
OG0000154	DROME12872, DROME12871	AENJA_18738
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	AENJA_20550
OG0000157	DROME09786	AENJA_08473
OG0000157	DROME05150, DROME05149	AENJA_07142
OG0000158	DROME06825, DROME06824	AENJA_06739
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	AENJA_13005
OG0000162	DROME21138, DROME21116	AENJA_09371
OG0000163	DROME02805	AENJA_06699
OG0000163	DROME21614	AENJA_21072
OG0000163	DROME12520	AENJA_14266, AENJA_00250
OG0000163	DROME07955	AENJA_14265
OG0000163	DROME19834, DROME00819	AENJA_02338
OG0000164	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561	AENJA_00513
OG0000165	DROME15840, DROME15841	AENJA_04113
OG0000167	DROME04018, DROME04019	AENJA_04545
OG0000168	DROME01783	AENJA_16549, AENJA_16551, AENJA_11862, AENJA_21363
OG0000170	DROME01350	AENJA_18033
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	AENJA_26673, AENJA_26672, AENJA_09998
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	AENJA_10826, AENJA_10825
OG0000172	DROME14415	AENJA_19160, AENJA_21023
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	AENJA_13078, AENJA_25617, AENJA_18852
OG0000174	DROME10165, DROME11306	AENJA_19122
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	AENJA_06264, AENJA_00936, AENJA_00556
OG0000175	DROME03593, DROME00840	AENJA_05120
OG0000179	DROME11221, DROME21050	AENJA_05305
OG0000179	DROME07796	AENJA_25279
OG0000179	DROME10428	AENJA_09174, AENJA_18216
OG0000180	DROME12336	AENJA_10008, AENJA_06703
OG0000180	DROME21739, DROME21740	AENJA_16046
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	AENJA_19397
OG0000181	DROME12775	AENJA_08843
OG0000181	DROME18397	AENJA_22272
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	AENJA_03852
OG0000183	DROME07008	AENJA_18616, AENJA_21091
OG0000183	DROME18789	AENJA_21093
OG0000185	DROME08939, DROME08940	AENJA_13582
OG0000185	DROME12225, DROME12226	AENJA_06437
OG0000185	DROME03791, DROME03792	AENJA_19885
OG0000186	DROME04472	AENJA_16129
OG0000188	DROME16886, DROME16887	AENJA_15378
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	AENJA_16048
OG0000197	DROME14335, DROME14334, DROME14336	AENJA_03262
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	AENJA_00133
OG0000201	DROME11047	AENJA_04223
OG0000201	DROME19450	AENJA_12926
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	AENJA_00457
OG0000202	DROME14920, DROME14921	AENJA_10134
OG0000203	DROME04489	AENJA_20011
OG0000204	DROME10849, DROME10848	AENJA_12472
OG0000205	DROME06842, DROME06843	AENJA_13787, AENJA_01890
OG0000205	DROME08187	AENJA_13815, AENJA_22602
OG0000207	DROME06000	AENJA_24487
OG0000208	DROME02132	AENJA_16595
OG0000210	DROME04199, DROME04478	AENJA_10706
OG0000210	DROME14047, DROME11376	AENJA_04024
OG0000211	DROME17290	AENJA_19821
OG0000223	DROME10256	AENJA_25328, AENJA_19949
OG0000225	DROME11929	AENJA_04793, AENJA_18668
OG0000226	DROME14660	AENJA_19996, AENJA_22487, AENJA_22493
OG0000227	DROME06362, DROME06368, DROME06369, DROME06365	AENJA_15989
OG0000227	DROME04927, DROME04926	AENJA_15987, AENJA_15991
OG0000229	DROME04047	AENJA_21370, AENJA_10244, AENJA_23576, AENJA_16825, AENJA_01160, AENJA_07809, AENJA_03989, AENJA_07812, AENJA_07810, AENJA_04457, AENJA_26296, AENJA_26297, AENJA_26293
OG0000230	DROME03186	AENJA_22711, AENJA_26339, AENJA_04754
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	AENJA_15363
OG0000231	DROME07628, DROME07629	AENJA_08495
OG0000232	DROME10139	AENJA_10707, AENJA_18877
OG0000233	DROME00414, DROME00405, DROME00404, DROME00403	AENJA_13806
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	AENJA_02022
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	AENJA_09853
OG0000235	DROME11735	AENJA_15471, AENJA_15470, AENJA_02178, AENJA_08576
OG0000236	DROME03355	AENJA_25135
OG0000238	DROME01901, DROME01902	AENJA_24755
OG0000238	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358	AENJA_14161, AENJA_03329
OG0000238	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033	AENJA_17228
OG0000239	DROME05270, DROME05269, DROME05271, DROME05268	AENJA_09843
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	AENJA_09841
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	AENJA_19535
OG0000240	DROME04779, DROME05772, DROME06965, DROME08357, DROME06930, DROME06939, DROME06932, DROME06931, DROME06933, DROME06938, DROME06935, DROME06936, DROME06937, DROME06934, DROME14517, DROME14518, DROME14516, DROME14525, DROME14521, DROME14522, DROME14519, DROME14520, DROME14523, DROME14524, DROME14527, DROME14528	AENJA_09344
OG0000243	DROME04743, DROME04742, DROME04744	AENJA_26524
OG0000245	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514	AENJA_03100
OG0000249	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490	AENJA_05064, AENJA_21241, AENJA_23938, AENJA_01673, AENJA_21238, AENJA_22890, AENJA_18302, AENJA_21869, AENJA_15192, AENJA_06774, AENJA_07629, AENJA_05076, AENJA_15458, AENJA_10803, AENJA_15269, AENJA_00339, AENJA_18040, AENJA_15191, AENJA_21709, AENJA_02460, AENJA_00522, AENJA_10097, AENJA_22660, AENJA_14324, AENJA_10550, AENJA_09775, AENJA_03218, AENJA_22352, AENJA_15267, AENJA_16281, AENJA_07074, AENJA_06773, AENJA_02512, AENJA_03736, AENJA_04120, AENJA_00209, AENJA_17787, AENJA_22908, AENJA_15488, AENJA_17301, AENJA_00076, AENJA_18530, AENJA_09193, AENJA_25708, AENJA_00819, AENJA_04569, AENJA_06360, AENJA_06190, AENJA_21870, AENJA_14427
OG0000250	DROME14382	AENJA_21466
OG0000250	DROME11256, DROME11255, DROME11257	AENJA_01564
OG0000251	DROME21783	AENJA_02410
OG0000255	DROME15943	AENJA_05199
OG0000255	DROME20722, DROME05791, DROME18596	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058	AENJA_24528
OG0000257	DROME01840, DROME01838, DROME01839, DROME01837	AENJA_21159
OG0000257	DROME12936	AENJA_12469, AENJA_20995, AENJA_23471
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594	AENJA_04201
OG0000258	DROME20383	AENJA_21764
OG0000258	DROME17641, DROME17639, DROME17640	AENJA_08669
OG0000260	DROME17607, DROME17608, DROME17606	AENJA_02917
OG0000260	DROME16635, DROME16636	AENJA_18084, AENJA_23444
OG0000265	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975	AENJA_21392, AENJA_21393
OG0000265	DROME00452	AENJA_02918
OG0000268	DROME06261, DROME06262	AENJA_14602
OG0000268	DROME00943, DROME00944	AENJA_25695
OG0000268	DROME04196	AENJA_08487
OG0000270	DROME17877, DROME17878, DROME17879	AENJA_16126
OG0000270	DROME14671, DROME14672, DROME14673, DROME14674	AENJA_15394
