Orthogroup	DROME	XENTR
OG0000023	DROME04919, DROME04917, DROME04918	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	XENTR10277, XENTR06737
OG0000030	DROME12966	XENTR08639
OG0000030	DROME15149	XENTR18219
OG0000031	DROME19945	XENTR05405, XENTR03766
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	XENTR08553, XENTR05384, XENTR03164
OG0000031	DROME09230	XENTR12584, XENTR00918
OG0000031	DROME05246	XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778
OG0000032	DROME02386	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	DROME01213	XENTR17016
OG0000034	DROME20092, DROME20090, DROME20091	XENTR14967, XENTR08246, XENTR04943
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	DROME13496	XENTR15456
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	XENTR10156
OG0000034	DROME20524	XENTR08340
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	XENTR05239
OG0000035	DROME19358, DROME19359	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	DROME17164, DROME17163	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	DROME10260	XENTR09858
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305	XENTR07761, XENTR12415, XENTR07272
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	DROME13887, DROME14759, DROME14760	XENTR10865, XENTR10696
OG0000037	DROME08695, DROME15640, DROME04516	XENTR18131
OG0000038	DROME13993	XENTR04206
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	XENTR17697
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	XENTR14058, XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	DROME01788, DROME01789	XENTR14135
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	XENTR03001, XENTR09331
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931
OG0000044	DROME03638	XENTR04256
OG0000048	DROME07309	XENTR03701
OG0000048	DROME15626, DROME15625	XENTR18412
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	XENTR04117
OG0000049	DROME18357, DROME18359, DROME18358	XENTR07960
OG0000051	DROME06654, DROME06655	XENTR08842
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	XENTR04962, XENTR04961
OG0000054	DROME21992	XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999
OG0000058	DROME14598	XENTR11839
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	XENTR16040, XENTR02416, XENTR06707
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	XENTR00116, XENTR05367
OG0000061	DROME05579, DROME05580, DROME06033	XENTR10609, XENTR10747
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	XENTR09512
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	XENTR10234, XENTR04709, XENTR00319
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	XENTR11311
OG0000063	DROME10983, DROME10982	XENTR01303
OG0000065	DROME22058	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000068	DROME18366, DROME18368, DROME18367	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	DROME03713	XENTR15529
OG0000069	DROME03778	XENTR18834
OG0000069	DROME19859, DROME00928	XENTR16269
OG0000070	DROME04028, DROME04029, DROME06783	XENTR15503, XENTR11143, XENTR02048
OG0000072	DROME12247, DROME12248	XENTR15041, XENTR13953
OG0000072	DROME00154	XENTR03548, XENTR18546
OG0000072	DROME00750	XENTR01057
OG0000074	DROME03014	XENTR10798, XENTR10797, XENTR11114
OG0000075	DROME01374	XENTR04178
OG0000075	DROME01373	XENTR06215
OG0000075	DROME01375	XENTR04179, XENTR06216
OG0000075	DROME04883, DROME04882	XENTR06816, XENTR17547, XENTR16124
OG0000077	DROME15696, DROME15698, DROME15697	XENTR01904, XENTR08754, XENTR13403
OG0000077	DROME07079, DROME07077, DROME07078	XENTR07875, XENTR00642, XENTR04757
OG0000079	DROME14752	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	XENTR08294, XENTR08293, XENTR03649
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	XENTR01194
OG0000079	DROME01298	XENTR15371
OG0000082	DROME20298	XENTR16096
OG0000082	DROME05998	XENTR01624, XENTR01625
OG0000082	DROME11174, DROME11173, DROME15008	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628
OG0000083	DROME17112	XENTR04370, XENTR12084, XENTR05647
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	XENTR05567, XENTR06450
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	XENTR04052, XENTR12507
OG0000085	DROME00999, DROME00998, DROME01000	XENTR15005
OG0000085	DROME19740	XENTR00809
OG0000085	DROME10832, DROME10831	XENTR12352, XENTR12351
OG0000087	DROME22088	XENTR17246
OG0000087	DROME21450	XENTR06736
OG0000087	DROME03097	XENTR10385
OG0000087	DROME08842	XENTR06016
OG0000087	DROME09495	XENTR00988, XENTR18799, XENTR00376
OG0000088	DROME01198, DROME01197	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000090	DROME02752	XENTR11768
OG0000090	DROME16241, DROME16240, DROME16239	XENTR06545
OG0000091	DROME20804	XENTR08624
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	XENTR15752, XENTR10717, XENTR18065, XENTR15146
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	XENTR09915, XENTR14788, XENTR17591
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426
OG0000096	DROME08195, DROME08196	XENTR02028, XENTR07076, XENTR03113
OG0000096	DROME08870	XENTR02339, XENTR11518
OG0000096	DROME13163	XENTR01880
OG0000096	DROME06400	XENTR18613
OG0000096	DROME13915	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	DROME09341	XENTR16018, XENTR14119
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	DROME10335, DROME10334, DROME09743	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	XENTR16324, XENTR11719, XENTR12540
OG0000101	DROME05458	XENTR10544, XENTR10545
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	XENTR05699, XENTR11871
OG0000104	DROME16895, DROME16894	XENTR03188, XENTR10251
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	XENTR17538, XENTR11872, XENTR05698
OG0000104	DROME17321, DROME17322	XENTR07142
OG0000106	DROME02609	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	XENTR01487, XENTR04814, XENTR07587, XENTR06674, XENTR09084, XENTR13395, XENTR18141, XENTR04629, XENTR12868, XENTR04110, XENTR04628, XENTR18140
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043
OG0000114	DROME04013, DROME04512, DROME04513	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055
OG0000116	DROME05231	XENTR12530
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	XENTR05393, XENTR05242, XENTR06871
OG0000119	DROME21220, DROME21219	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	XENTR01125, XENTR14071
OG0000121	DROME17781, DROME08015	XENTR04902, XENTR18080
OG0000121	DROME15292	XENTR04905
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	XENTR06907, XENTR17281
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802
OG0000124	DROME17463	XENTR05926
OG0000124	DROME08713, DROME09900	XENTR10247, XENTR00962, XENTR04813
OG0000124	DROME21734	XENTR09248, XENTR09249
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	XENTR14097, XENTR01739
OG0000125	DROME04039, DROME04040, DROME04038	XENTR05425
OG0000126	DROME01805, DROME01804	XENTR03459, XENTR13788, XENTR00416
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	XENTR02718, XENTR02062, XENTR09023
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	XENTR14632, XENTR03466
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000127	DROME11205, DROME11204	XENTR10923, XENTR12718
OG0000127	DROME08158	XENTR18212
OG0000127	DROME05986	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893
OG0000127	DROME18062	XENTR01486, XENTR04784, XENTR07585
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	XENTR08843, XENTR10120
OG0000131	DROME18073, DROME18075, DROME18074	XENTR10944
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255
OG0000142	DROME08254, DROME08253	XENTR10224, XENTR10223, XENTR07681
OG0000142	DROME07187	XENTR08172
OG0000142	DROME17530, DROME17531	XENTR16130
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	XENTR03268, XENTR13018
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	XENTR02156, XENTR12287
OG0000147	DROME03466	XENTR01301, XENTR12003
OG0000147	DROME17452, DROME17451	XENTR00602, XENTR15311
OG0000148	DROME19762, DROME19761, DROME19763	XENTR10464, XENTR17112, XENTR02369, XENTR07951
OG0000148	DROME12939	XENTR11222, XENTR06966, XENTR07952, XENTR02368
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	XENTR01442, XENTR00579
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	XENTR04855
OG0000154	DROME12872, DROME12871	XENTR11406, XENTR12586
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	XENTR13673, XENTR05745, XENTR13672
OG0000157	DROME05618, DROME05617, DROME05616	XENTR09579, XENTR08086
OG0000157	DROME09786	XENTR02559, XENTR07059, XENTR00873, XENTR07056, XENTR07057, XENTR02846, XENTR02558
OG0000157	DROME05150, DROME05149	XENTR09559
OG0000158	DROME06825, DROME06824	XENTR17930, XENTR04115, XENTR04631
OG0000159	DROME09571, DROME09570	XENTR09386
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	XENTR00861, XENTR00862
OG0000162	DROME21138, DROME21116	XENTR08764
OG0000163	DROME12520	XENTR03897, XENTR06574, XENTR17419
OG0000163	DROME07955	XENTR06573, XENTR03895
OG0000163	DROME19834, DROME00819	XENTR10844, XENTR07114, XENTR03341
OG0000164	DROME08486	XENTR17370
OG0000167	DROME09457, DROME09458	XENTR11177
OG0000168	DROME01783	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725, XENTR00625, XENTR02065
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	XENTR11514
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	XENTR09537, XENTR13400, XENTR13399, XENTR05662
OG0000172	DROME14415	XENTR05272
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902
OG0000174	DROME10165, DROME11306	XENTR05232
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	XENTR08289, XENTR15844
OG0000175	DROME03593, DROME00840	XENTR03000, XENTR09335, XENTR04649
OG0000179	DROME11221, DROME21050	XENTR01942
OG0000179	DROME07796	XENTR00560, XENTR12119
OG0000179	DROME10428	XENTR05649
OG0000180	DROME12336	XENTR01179
OG0000180	DROME21739, DROME21740	XENTR00269
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	XENTR14458, XENTR09734, XENTR04382, XENTR05909
OG0000181	DROME12775	XENTR06217, XENTR12611, XENTR02755
OG0000181	DROME18397	XENTR06005
OG0000181	DROME06226	XENTR09033, XENTR12669
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	XENTR02086, XENTR13524, XENTR16217
OG0000183	DROME07008	XENTR02643, XENTR17355, XENTR02630
OG0000185	DROME20734, DROME20737, DROME20736, DROME20733, DROME20732, DROME20735	XENTR03388
OG0000185	DROME12225, DROME12226	XENTR09757, XENTR04609
OG0000185	DROME03791, DROME03792	XENTR12734
OG0000188	DROME16886, DROME16887	XENTR02204, XENTR07576, XENTR05663
OG0000193	DROME08054	XENTR02648
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	XENTR11322, XENTR09909, XENTR17326
OG0000197	DROME14335, DROME14334, DROME14336	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201
OG0000198	DROME17687	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	XENTR00101, XENTR00252
OG0000201	DROME11047	XENTR16600, XENTR16601, XENTR04781
OG0000201	DROME19450	XENTR04564
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	XENTR12187, XENTR00868
OG0000202	DROME14920, DROME14921	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556
OG0000203	DROME04489	XENTR08192, XENTR07634
OG0000203	DROME17201, DROME17204, DROME17194, DROME17195, DROME17203, DROME17199, DROME17193, DROME21480	XENTR03226
OG0000204	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808	XENTR01607, XENTR04482
OG0000204	DROME10849, DROME10848	XENTR04113, XENTR02352
OG0000205	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776	XENTR12959, XENTR05519
OG0000205	DROME06842, DROME06843	XENTR16886, XENTR01752, XENTR14923
OG0000205	DROME08187	XENTR18445, XENTR10749, XENTR03131
OG0000207	DROME06000	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892
OG0000208	DROME02132	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993
OG0000210	DROME14047, DROME11376	XENTR04415
OG0000211	DROME17290	XENTR00605
OG0000220	DROME16094, DROME16093, DROME16092, DROME21087, DROME21089, DROME21088	XENTR12748, XENTR06465, XENTR14440, XENTR06734
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	XENTR18094, XENTR09636, XENTR09635
OG0000223	DROME10256	XENTR15744, XENTR02504, XENTR10692
OG0000225	DROME11929	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000226	DROME14660	XENTR11864
OG0000227	DROME20242	XENTR13632
OG0000227	DROME06362, DROME06368, DROME06369, DROME06365	XENTR06938
OG0000227	DROME04927, DROME04926	XENTR00522, XENTR04987
OG0000229	DROME04047	XENTR02900, XENTR07694
OG0000231	DROME06449, DROME06448	XENTR12600, XENTR00418, XENTR03456, XENTR16995
OG0000231	DROME07628, DROME07629	XENTR00474, XENTR12545
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	XENTR08092, XENTR06076, XENTR18346
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	XENTR00774, XENTR10873
OG0000235	DROME11735	XENTR08759
OG0000236	DROME03355	XENTR04703
OG0000238	DROME01901, DROME01902	XENTR01828
OG0000238	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358	XENTR07222, XENTR07219, XENTR07220, XENTR07221, XENTR05205, XENTR15099, XENTR08204
OG0000239	DROME05270, DROME05269, DROME05271, DROME05268	XENTR02896, XENTR08392
OG0000239	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708	XENTR09596
