Orthogroup	DROME	LYTVA_ok
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	LYTVA_25852
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	LYTVA_03177
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	LYTVA_10017, LYTVA_14074, LYTVA_26561
OG0000044	DROME17013	LYTVA_19469, LYTVA_22018
OG0000046	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304, DROME11364, DROME11369	LYTVA_20626
OG0000048	DROME07309	LYTVA_06179
OG0000048	DROME15626, DROME15625	LYTVA_26635
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	LYTVA_17720, LYTVA_17428, LYTVA_27999
OG0000048	DROME01500	LYTVA_11620
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	LYTVA_07886
OG0000049	DROME18357, DROME18359, DROME18358	LYTVA_02138
OG0000051	DROME06654, DROME06655	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370
OG0000054	DROME20361	LYTVA_10090, LYTVA_07086, LYTVA_21421, LYTVA_17925, LYTVA_09472, LYTVA_10089
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	LYTVA_08084, LYTVA_28790, LYTVA_05265, LYTVA_05724, LYTVA_23050, LYTVA_10558, LYTVA_00384, LYTVA_20676, LYTVA_30008, LYTVA_16090, LYTVA_10734, LYTVA_09126, LYTVA_26970, LYTVA_18344, LYTVA_18117
OG0000058	DROME06565	LYTVA_13091
OG0000058	DROME14598	LYTVA_29674
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	LYTVA_16698
OG0000060	DROME18201	LYTVA_02319
OG0000060	DROME02317, DROME02583, DROME02316	LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	LYTVA_16102
OG0000061	DROME05579, DROME05580, DROME06033	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000061	DROME18900, DROME18901, DROME18899	LYTVA_19867
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	LYTVA_18550
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	LYTVA_03474
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	LYTVA_28622
OG0000063	DROME10983, DROME10982	LYTVA_16178
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	LYTVA_00141, LYTVA_19952, LYTVA_28647
OG0000068	DROME18209	LYTVA_29801, LYTVA_20828, LYTVA_11990, LYTVA_12287, LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450
OG0000069	DROME03713	LYTVA_28766, LYTVA_15781
OG0000069	DROME03718	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821
OG0000070	DROME04028, DROME04029, DROME06783	LYTVA_12849
OG0000070	DROME17588, DROME17589, DROME19032	LYTVA_20188, LYTVA_21334
OG0000072	DROME12247, DROME12248	LYTVA_16436
OG0000072	DROME00750	LYTVA_23422
OG0000072	DROME14913	LYTVA_15899
OG0000074	DROME03014	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000075	DROME01374	LYTVA_07044
OG0000075	DROME01373	LYTVA_01857
OG0000075	DROME04883, DROME04882	LYTVA_12523
OG0000077	DROME15696, DROME15698, DROME15697	LYTVA_08553
OG0000077	DROME18051	LYTVA_24285
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	LYTVA_16618, LYTVA_07236, LYTVA_10716
OG0000078	DROME15695	LYTVA_07177, LYTVA_07710, LYTVA_00587, LYTVA_14585, LYTVA_00355
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	LYTVA_05934
OG0000079	DROME01298	LYTVA_06214, LYTVA_17750
OG0000082	DROME20298	LYTVA_25888
OG0000082	DROME05998	LYTVA_18803
OG0000082	DROME11174, DROME11173, DROME15008	LYTVA_21157, LYTVA_15644, LYTVA_26329
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399
OG0000083	DROME17112	LYTVA_26815
OG0000083	DROME20486, DROME20487	LYTVA_17330
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	LYTVA_14799
OG0000084	DROME17344, DROME17343, DROME17345	LYTVA_16127
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	LYTVA_13307
OG0000085	DROME00999, DROME00998, DROME01000	LYTVA_05365
OG0000085	DROME19740	LYTVA_17776
OG0000085	DROME10832, DROME10831	LYTVA_06708
OG0000087	DROME22088	LYTVA_15159
OG0000087	DROME21450	LYTVA_24079
OG0000087	DROME03097	LYTVA_22963
OG0000087	DROME08842	LYTVA_16301, LYTVA_04512
OG0000087	DROME09495	LYTVA_18717, LYTVA_18728, LYTVA_07967
OG0000088	DROME01198, DROME01197	LYTVA_14006
OG0000089	DROME18066, DROME18069, DROME12817	LYTVA_28799
OG0000090	DROME02752	LYTVA_02577
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158	LYTVA_05131
OG0000090	DROME16241, DROME16240, DROME16239	LYTVA_18395, LYTVA_13128
OG0000091	DROME18437, DROME18438, DROME20481	LYTVA_25909, LYTVA_25916, LYTVA_21851, LYTVA_19476, LYTVA_12113
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	LYTVA_10290
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	LYTVA_09221
OG0000095	DROME01438	LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054
OG0000096	DROME08195, DROME08196	LYTVA_28490
OG0000096	DROME08870	LYTVA_12286
OG0000096	DROME13163	LYTVA_21388
OG0000096	DROME06400	LYTVA_10606
OG0000096	DROME13915	LYTVA_19397
OG0000096	DROME09341	LYTVA_24298
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	LYTVA_24589, LYTVA_16909
OG0000099	DROME10335, DROME10334, DROME09743	LYTVA_22524, LYTVA_05673, LYTVA_26003
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000100	DROME09951	LYTVA_18222, LYTVA_22757, LYTVA_24662, LYTVA_13551, LYTVA_22317, LYTVA_13486, LYTVA_29315, LYTVA_02102, LYTVA_20489, LYTVA_17086, LYTVA_02461
OG0000100	DROME10813	LYTVA_05465, LYTVA_16938, LYTVA_01094, LYTVA_18356, LYTVA_30069
OG0000101	DROME05458	LYTVA_03793
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	LYTVA_05784
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	LYTVA_08412
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	LYTVA_24486
OG0000104	DROME16895, DROME16894	LYTVA_21210
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	LYTVA_17807, LYTVA_17806
OG0000104	DROME17321, DROME17322	LYTVA_12502
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	LYTVA_29623
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	LYTVA_08411, LYTVA_20172, LYTVA_14099
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	LYTVA_11625
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	LYTVA_06725
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	LYTVA_08088
OG0000114	DROME04013, DROME04512, DROME04513	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000116	DROME05231	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000117	DROME17123	LYTVA_20571, LYTVA_17624
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	LYTVA_11474
OG0000119	DROME21220, DROME21219	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	LYTVA_04285, LYTVA_11467
OG0000120	DROME04710	LYTVA_21140, LYTVA_04898
OG0000121	DROME17781, DROME08015	LYTVA_23606, LYTVA_10086
OG0000121	DROME10532	LYTVA_14745
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	LYTVA_10750
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	LYTVA_18458, LYTVA_18460
OG0000123	DROME17732, DROME17730, DROME17731	LYTVA_16700
OG0000123	DROME14850, DROME14849, DROME14848, DROME14847	LYTVA_20552
OG0000124	DROME17463	LYTVA_14993
OG0000124	DROME21734	LYTVA_27850
OG0000125	DROME04039, DROME04040, DROME04038	LYTVA_01832
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	LYTVA_19767
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	LYTVA_03902
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	LYTVA_29180
OG0000127	DROME11205, DROME11204	LYTVA_12856
OG0000127	DROME08158	LYTVA_21563
OG0000127	DROME05986	LYTVA_12830
OG0000127	DROME18062	LYTVA_20093
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	LYTVA_15765, LYTVA_27521
OG0000131	DROME18073, DROME18075, DROME18074	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402
OG0000141	DROME20863, DROME21161	LYTVA_28409
OG0000142	DROME07188	LYTVA_20512, LYTVA_27041, LYTVA_04856
OG0000144	DROME21183	LYTVA_25633
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	LYTVA_06334
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	LYTVA_24464
OG0000147	DROME03466	LYTVA_06610, LYTVA_07302
OG0000147	DROME17452, DROME17451	LYTVA_18928, LYTVA_03351
OG0000148	DROME19762, DROME19761, DROME19763	LYTVA_28370, LYTVA_19008
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	LYTVA_24788
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	LYTVA_22929
OG0000157	DROME09786	LYTVA_14449
OG0000158	DROME06825, DROME06824	LYTVA_03807
OG0000159	DROME09571, DROME09570	LYTVA_25766
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	LYTVA_11099
OG0000162	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132	LYTVA_25859
OG0000163	DROME12520	LYTVA_26726
OG0000163	DROME19834, DROME00819	LYTVA_16156
OG0000165	DROME15840, DROME15841	LYTVA_00753
OG0000168	DROME00156, DROME00157	LYTVA_16323
OG0000168	DROME01783	LYTVA_19322, LYTVA_08888, LYTVA_08887
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	LYTVA_20168
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	LYTVA_24654, LYTVA_27222
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	LYTVA_11573
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	LYTVA_13813
OG0000175	DROME03593, DROME00840	LYTVA_23856
OG0000179	DROME11221, DROME21050	LYTVA_11503
OG0000179	DROME07796	LYTVA_09715, LYTVA_09722, LYTVA_06848
OG0000179	DROME10428	LYTVA_21017
OG0000180	DROME21739, DROME21740	LYTVA_16023
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	LYTVA_05451, LYTVA_05450
OG0000182	DROME05590, DROME13778	LYTVA_19274, LYTVA_26926, LYTVA_27350
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	LYTVA_29269
OG0000183	DROME07008	LYTVA_12902, LYTVA_28105
OG0000185	DROME12225, DROME12226	LYTVA_05708
OG0000185	DROME03791, DROME03792	LYTVA_27187
OG0000186	DROME04472	LYTVA_21568
OG0000188	DROME16886, DROME16887	LYTVA_29520
OG0000193	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981	LYTVA_15362, LYTVA_23759
OG0000201	DROME11047	LYTVA_05027
OG0000201	DROME19450	LYTVA_06928, LYTVA_03481, LYTVA_03480
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	LYTVA_05441
OG0000202	DROME14920, DROME14921	LYTVA_19347, LYTVA_19795
OG0000203	DROME04489	LYTVA_05320
OG0000203	DROME03275	LYTVA_26044
OG0000204	DROME10849, DROME10848	LYTVA_08501
OG0000205	DROME06842, DROME06843	LYTVA_13205
OG0000205	DROME08187	LYTVA_10395, LYTVA_08282
OG0000207	DROME06000	LYTVA_11110, LYTVA_21753, LYTVA_28234, LYTVA_23513, LYTVA_30157, LYTVA_01312, LYTVA_23468, LYTVA_16683, LYTVA_23967, LYTVA_11884
OG0000208	DROME02132	LYTVA_28941
OG0000211	DROME17290	LYTVA_04294
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	LYTVA_21370
OG0000223	DROME10256	LYTVA_24317, LYTVA_13912
OG0000225	DROME11929	LYTVA_20688, LYTVA_20689, LYTVA_18494
OG0000226	DROME14660	LYTVA_13073, LYTVA_13071, LYTVA_12352, LYTVA_07687, LYTVA_17196, LYTVA_02695
OG0000227	DROME20242	LYTVA_07921
OG0000227	DROME04927, DROME04926	LYTVA_00289, LYTVA_24191
OG0000229	DROME04047	LYTVA_23411, LYTVA_09325, LYTVA_06193, LYTVA_06192
OG0000230	DROME03186	LYTVA_10912
OG0000231	DROME06449, DROME06448	LYTVA_23091
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	LYTVA_25029
OG0000231	DROME07628, DROME07629	LYTVA_01782
OG0000232	DROME10139	LYTVA_02619
OG0000232	DROME02286, DROME02285, DROME02281, DROME02282	LYTVA_10574
OG0000232	DROME17197	LYTVA_05624
OG0000233	DROME00414, DROME00405, DROME00404, DROME00403	LYTVA_14773
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	LYTVA_19906
OG0000235	DROME11735	LYTVA_28400, LYTVA_29011, LYTVA_24567
OG0000236	DROME03355	LYTVA_03072
OG0000236	DROME12102, DROME12101, DROME12103, DROME12096, DROME12097, DROME12095, DROME12094, DROME12092, DROME12100, DROME12099, DROME12098, DROME12093	LYTVA_25117, LYTVA_05933
OG0000238	DROME01901, DROME01902	LYTVA_04511
OG0000238	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358	LYTVA_21260, LYTVA_04828, LYTVA_26584
OG0000238	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033	LYTVA_07493
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	LYTVA_09698, LYTVA_06433
OG0000242	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265	LYTVA_20520
OG0000243	DROME04743, DROME04742, DROME04744	LYTVA_21983
OG0000245	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514	LYTVA_18697
OG0000246	DROME13185, DROME13186, DROME13188, DROME13187	LYTVA_06938
