Orthogroup	DROME	ORYLA
OG0000014	DROME05409, DROME03987	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682
OG0000014	DROME14595, DROME14594	ORYLA11600, ORYLA01088
OG0000015	DROME20983	ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154
OG0000015	DROME11913, DROME20981, DROME20982	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	ORYLA09921
OG0000016	DROME01609	ORYLA00030
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	ORYLA16405, ORYLA07040
OG0000020	DROME22108	ORYLA12531
OG0000020	DROME02490	ORYLA10559, ORYLA06663
OG0000020	DROME11466, DROME11467	ORYLA06780
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	ORYLA01097, ORYLA00349
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	ORYLA15647
OG0000020	DROME03151, DROME03150	ORYLA00902, ORYLA00505
OG0000020	DROME14454, DROME14455	ORYLA06519
OG0000021	DROME18320, DROME18321	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	DROME08269	ORYLA03698, ORYLA17601
OG0000021	DROME00802, DROME00801	ORYLA04373
OG0000021	DROME08091	ORYLA12092, ORYLA14389
OG0000021	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	ORYLA04245
OG0000023	DROME04919, DROME04917, DROME04918	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000026	DROME19866, DROME19867	ORYLA19214
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000030	DROME12966	ORYLA18077
OG0000030	DROME15149	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	DROME06898	ORYLA20234
OG0000031	DROME19945	ORYLA09861, ORYLA15740
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	DROME09230	ORYLA04591, ORYLA04917
OG0000031	DROME05246	ORYLA06754, ORYLA07156, ORYLA02513, ORYLA09501, ORYLA00346
OG0000031	DROME16481	ORYLA06240
OG0000032	DROME02386	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	DROME01213	ORYLA15502
OG0000034	DROME20092, DROME20090, DROME20091	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	DROME13496	ORYLA07312
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	ORYLA12339, ORYLA14860
OG0000034	DROME20524	ORYLA14655
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	ORYLA16101
OG0000035	DROME19358, DROME19359	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	DROME17164, DROME17163	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	DROME10260	ORYLA14782, ORYLA12073, ORYLA12074
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	ORYLA12571
OG0000037	DROME13887, DROME14759, DROME14760	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	DROME08695, DROME15640, DROME04516	ORYLA04725
OG0000038	DROME13993	ORYLA08393, ORYLA09754
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	ORYLA15343, ORYLA04846, ORYLA04844, ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	ORYLA13695, ORYLA09068
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800
OG0000044	DROME03638	ORYLA05288
OG0000045	DROME00740, DROME05490, DROME00741, DROME00650	ORYLA09209
OG0000048	DROME07309	ORYLA19472
OG0000048	DROME15626, DROME15625	ORYLA14101
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	ORYLA09010, ORYLA09283, ORYLA10119, ORYLA14965, ORYLA19631, ORYLA08002
OG0000048	DROME01500	ORYLA15054
OG0000049	DROME18357, DROME18359, DROME18358	ORYLA14190, ORYLA14191, ORYLA11029
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	ORYLA00519
OG0000054	DROME21992	ORYLA05953, ORYLA08804
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	ORYLA00098, ORYLA00083, ORYLA00100
OG0000058	DROME06565	ORYLA11907
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	ORYLA11895, ORYLA12524, ORYLA19070
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	DROME05579, DROME05580, DROME06033	ORYLA07060, ORYLA08273
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	ORYLA10585, ORYLA11804
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	ORYLA19987, ORYLA10868, ORYLA20199
OG0000065	DROME22058	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272
OG0000068	DROME18366, DROME18368, DROME18367	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852
OG0000069	DROME03778	ORYLA03855
OG0000069	DROME03680	ORYLA00227, ORYLA00099, ORYLA00041
OG0000069	DROME19859, DROME00928	ORYLA08015
OG0000070	DROME04028, DROME04029, DROME06783	ORYLA11329, ORYLA09412
OG0000071	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812	ORYLA02280, ORYLA18954
OG0000072	DROME12247, DROME12248	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000072	DROME00154	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	DROME00750	ORYLA20464
OG0000074	DROME03014	ORYLA10949, ORYLA14220, ORYLA15431
OG0000075	DROME01374	ORYLA10050
OG0000075	DROME01373	ORYLA15750
OG0000075	DROME01375	ORYLA10049, ORYLA15751
OG0000075	DROME04883, DROME04882	ORYLA14687, ORYLA10924, ORYLA15926
OG0000077	DROME15696, DROME15698, DROME15697	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	DROME07079, DROME07077, DROME07078	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000079	DROME14752	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	DROME01298	ORYLA13165
OG0000082	DROME20298	ORYLA02580
OG0000082	DROME05998	ORYLA01470
OG0000082	DROME11174, DROME11173, DROME15008	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560
OG0000083	DROME17112	ORYLA04024, ORYLA20424
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	DROME10293, DROME10294, DROME10289, DROME10292	ORYLA07935
OG0000085	DROME00999, DROME00998, DROME01000	ORYLA06168
OG0000085	DROME19740	ORYLA17935
OG0000085	DROME10832, DROME10831	ORYLA08526, ORYLA02243, ORYLA05178
OG0000086	DROME14954	ORYLA18822
OG0000087	DROME22088	ORYLA07293
OG0000087	DROME08842	ORYLA15868, ORYLA15867
OG0000088	DROME01198, DROME01197	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000090	DROME02752	ORYLA02080, ORYLA06082
OG0000090	DROME16241, DROME16240, DROME16239	ORYLA01746, ORYLA06194
OG0000091	DROME20804	ORYLA02531
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	ORYLA14179, ORYLA15729, ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687
OG0000096	DROME08195, DROME08196	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	DROME08870	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	DROME13163	ORYLA13747, ORYLA08870
OG0000096	DROME13915	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	DROME09341	ORYLA12353, ORYLA17186
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	DROME10335, DROME10334, DROME09743	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000100	DROME09951	ORYLA00999
OG0000100	DROME10813	ORYLA08449, ORYLA10317
OG0000101	DROME05458	ORYLA08387, ORYLA09166, ORYLA09165
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	ORYLA03680, ORYLA06072
OG0000104	DROME16895, DROME16894	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	ORYLA06071, ORYLA03679
OG0000104	DROME17321, DROME17322	ORYLA09408
OG0000106	DROME02609	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	ORYLA18785
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	ORYLA16810, ORYLA16333, ORYLA00657, ORYLA18197, ORYLA16684, ORYLA01366, ORYLA07106, ORYLA09236, ORYLA01992, ORYLA04883, ORYLA16219
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896
OG0000114	DROME04013, DROME04512, DROME04513	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000116	DROME05231	ORYLA19541
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	DROME21220, DROME21219	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	ORYLA09477, ORYLA05169
OG0000120	DROME00677, DROME00672, DROME00674, DROME00673, DROME00671, DROME00670	ORYLA11085, ORYLA06191
OG0000121	DROME17781, DROME08015	ORYLA00510, ORYLA01379, ORYLA07858
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000124	DROME17463	ORYLA04499, ORYLA01264
OG0000124	DROME08713, DROME09900	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	DROME21734	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	ORYLA06139, ORYLA15763, ORYLA14369
OG0000125	DROME04039, DROME04040, DROME04038	ORYLA12115
OG0000126	DROME01805, DROME01804	ORYLA10750, ORYLA01228, ORYLA13510
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	ORYLA09118
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	DROME11205, DROME11204	ORYLA18247, ORYLA09922
OG0000127	DROME08158	ORYLA05476, ORYLA10382
OG0000127	DROME05986	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	DROME18062	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772
OG0000131	DROME18073, DROME18075, DROME18074	ORYLA02651, ORYLA17218
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043
OG0000142	DROME08254, DROME08253	ORYLA08857
OG0000142	DROME07187	ORYLA06988
OG0000142	DROME17530, DROME17531	ORYLA13949
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000147	DROME03466	ORYLA13100, ORYLA13101
OG0000147	DROME17452, DROME17451	ORYLA05214, ORYLA18182, ORYLA10192
OG0000148	DROME19762, DROME19761, DROME19763	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171
OG0000148	DROME12939	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	ORYLA19729
OG0000154	DROME12872, DROME12871	ORYLA04056, ORYLA00974
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	ORYLA01931, ORYLA05131
OG0000157	DROME05618, DROME05617, DROME05616	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319
OG0000157	DROME09786	ORYLA15668, ORYLA19374, ORYLA02711, ORYLA13713, ORYLA15077, ORYLA11173, ORYLA15669
OG0000157	DROME05150, DROME05149	ORYLA12434
OG0000158	DROME06825, DROME06824	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104
OG0000159	DROME09571, DROME09570	ORYLA02062, ORYLA11501, ORYLA06048
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884
OG0000162	DROME21138, DROME21116	ORYLA08646
OG0000163	DROME12520	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276
OG0000163	DROME07955	ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982
OG0000163	DROME19834, DROME00819	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820
OG0000163	DROME16444	ORYLA17166, ORYLA15777
OG0000164	DROME08486	ORYLA18109
OG0000167	DROME09457, DROME09458	ORYLA11938
OG0000168	DROME01783	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700, ORYLA20030, ORYLA20029, ORYLA03403
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	ORYLA11273
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	ORYLA07855, ORYLA00842, ORYLA07412, ORYLA00507
OG0000172	DROME14415	ORYLA14905
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932
OG0000175	DROME03593, DROME00840	ORYLA13694, ORYLA09065, ORYLA06318
OG0000179	DROME11221, DROME21050	ORYLA02338, ORYLA18117
OG0000179	DROME07796	ORYLA18062, ORYLA18061, ORYLA14649
OG0000179	DROME10428	ORYLA20422
OG0000180	DROME12336	ORYLA17830
OG0000180	DROME21739, DROME21740	ORYLA10201, ORYLA08835
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	ORYLA01448, ORYLA01304, ORYLA04174, ORYLA04081, ORYLA03160, ORYLA03933
OG0000181	DROME12775	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335
OG0000181	DROME06226	ORYLA11594
