Orthogroup	DROME	APOSJ_ok
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	APOSJ_10763, APOSJ_10766, APOSJ_11623, APOSJ_03221, APOSJ_10764
OG0000048	DROME01500	APOSJ_12442
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	APOSJ_00656
OG0000049	DROME18357, DROME18359, DROME18358	APOSJ_36462
OG0000051	DROME06654, DROME06655	APOSJ_11380, APOSJ_11382, APOSJ_11381, APOSJ_49294, APOSJ_31090, APOSJ_33080, APOSJ_33081, APOSJ_33079, APOSJ_33078, APOSJ_24712, APOSJ_12983, APOSJ_12984, APOSJ_12982, APOSJ_12981, APOSJ_12980, APOSJ_42696, APOSJ_22311, APOSJ_45471, APOSJ_36585, APOSJ_65392, APOSJ_36584, APOSJ_36582, APOSJ_36580, APOSJ_36579, APOSJ_28591, APOSJ_28590, APOSJ_19528, APOSJ_48652, APOSJ_48243, APOSJ_48242, APOSJ_48241, APOSJ_48240, APOSJ_13578, APOSJ_61106
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000054	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822	APOSJ_07760, APOSJ_07758, APOSJ_52019, APOSJ_14269
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	APOSJ_19144, APOSJ_56132
OG0000058	DROME14598	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000060	DROME18201	APOSJ_41349
OG0000060	DROME02317, DROME02583, DROME02316	APOSJ_24347, APOSJ_24346, APOSJ_24345, APOSJ_24343
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	DROME05579, DROME05580, DROME06033	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000061	DROME18900, DROME18901, DROME18899	APOSJ_44585, APOSJ_44584, APOSJ_12599, APOSJ_31580, APOSJ_31574, APOSJ_30135, APOSJ_31576, APOSJ_13080, APOSJ_01080, APOSJ_31575, APOSJ_31579, APOSJ_31577, APOSJ_31578
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	APOSJ_62799, APOSJ_60703
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	DROME10983, DROME10982	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	DROME22058	APOSJ_35430
OG0000066	DROME14379	APOSJ_38125
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	APOSJ_52844, APOSJ_52843, APOSJ_12780, APOSJ_12787, APOSJ_12782, APOSJ_12783, APOSJ_57552
OG0000068	DROME18209	APOSJ_21674, APOSJ_37249, APOSJ_37250, APOSJ_22049, APOSJ_37245, APOSJ_13843, APOSJ_13846, APOSJ_13840, APOSJ_13849, APOSJ_37247, APOSJ_37246, APOSJ_22027, APOSJ_13845, APOSJ_37251, APOSJ_37248, APOSJ_13847, APOSJ_07893, APOSJ_07895, APOSJ_07894, APOSJ_07892, APOSJ_53737, APOSJ_18613
OG0000069	DROME03713	APOSJ_40539, APOSJ_40541, APOSJ_40540, APOSJ_60884
OG0000070	DROME04028, DROME04029, DROME06783, DROME04912	APOSJ_54993
OG0000070	DROME17588, DROME17589, DROME19032	APOSJ_01603
OG0000072	DROME12247, DROME12248	APOSJ_61865, APOSJ_61864
OG0000072	DROME00154	APOSJ_48482
OG0000072	DROME00750	APOSJ_48834, APOSJ_48835, APOSJ_48833
OG0000072	DROME14913	APOSJ_40725, APOSJ_21416
OG0000074	DROME03014	APOSJ_13143
OG0000075	DROME01374	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368
OG0000075	DROME01373	APOSJ_54695, APOSJ_54693
OG0000075	DROME01375	APOSJ_41648
OG0000075	DROME04883, DROME04882	APOSJ_55514, APOSJ_55515
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	APOSJ_14796, APOSJ_23304, APOSJ_27928, APOSJ_20704, APOSJ_30834, APOSJ_14320, APOSJ_14319, APOSJ_14324, APOSJ_14321, APOSJ_63175, APOSJ_35742
OG0000078	DROME15695	APOSJ_46646
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	APOSJ_18254
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	APOSJ_28991, APOSJ_28990
OG0000079	DROME01298	APOSJ_06559, APOSJ_06558
OG0000082	DROME20298	APOSJ_25535
OG0000082	DROME05998	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287
OG0000082	DROME11174, DROME11173, DROME15008	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454
OG0000083	DROME17112	APOSJ_11498, APOSJ_11497
OG0000083	DROME20486, DROME20487	APOSJ_26285
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	APOSJ_15697
OG0000084	DROME17344, DROME17343, DROME17345	APOSJ_64503, APOSJ_64502, APOSJ_01190
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022
OG0000085	DROME00999, DROME00998, DROME01000	APOSJ_25761
OG0000085	DROME19740	APOSJ_04663, APOSJ_04662
OG0000087	DROME22088	APOSJ_41352, APOSJ_61505, APOSJ_44974
OG0000087	DROME06460	APOSJ_47955, APOSJ_45252
OG0000087	DROME21450	APOSJ_35199, APOSJ_35197, APOSJ_35195, APOSJ_35198
OG0000087	DROME03097	APOSJ_19002, APOSJ_64596, APOSJ_35346
OG0000087	DROME08842	APOSJ_05721, APOSJ_48488, APOSJ_56321, APOSJ_48487, APOSJ_34708, APOSJ_34709, APOSJ_59532
OG0000087	DROME09495	APOSJ_03507, APOSJ_10114, APOSJ_05717, APOSJ_05719, APOSJ_05715, APOSJ_05716, APOSJ_05720, APOSJ_05718, APOSJ_58727
OG0000089	DROME18066, DROME18069, DROME12817	APOSJ_01323, APOSJ_40758, APOSJ_40759
OG0000090	DROME02752	APOSJ_38878, APOSJ_38877, APOSJ_38876
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158	APOSJ_21259, APOSJ_53542
OG0000090	DROME16241, DROME16240, DROME16239	APOSJ_22326
OG0000091	DROME18437, DROME18438, DROME20481	APOSJ_47851, APOSJ_47852, APOSJ_59618, APOSJ_41218, APOSJ_41215, APOSJ_41219, APOSJ_09663, APOSJ_44248
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221, APOSJ_63079
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128
OG0000095	DROME01438	APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272
OG0000096	DROME08195, DROME08196	APOSJ_12412, APOSJ_28828, APOSJ_12411, APOSJ_12410
OG0000096	DROME08870	APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711
OG0000096	DROME13163	APOSJ_32190, APOSJ_32193
OG0000096	DROME06400	APOSJ_37126
OG0000096	DROME13915	APOSJ_52836
OG0000096	DROME09341	APOSJ_32708
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	APOSJ_00048, APOSJ_10129, APOSJ_49520, APOSJ_28774, APOSJ_28779, APOSJ_28777
OG0000099	DROME10335, DROME10334, DROME09743	APOSJ_25133, APOSJ_34675, APOSJ_42170, APOSJ_64579
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	APOSJ_34532, APOSJ_05873
OG0000101	DROME17779	APOSJ_42943
OG0000101	DROME05458	APOSJ_27406
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	APOSJ_43912
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	APOSJ_28792, APOSJ_28791, APOSJ_14343
OG0000104	DROME16895, DROME16894	APOSJ_60992, APOSJ_60994, APOSJ_38695, APOSJ_38692
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	APOSJ_38440, APOSJ_40832, APOSJ_60308
OG0000104	DROME17321, DROME17322	APOSJ_24715
OG0000106	DROME02609	APOSJ_28496, APOSJ_28495, APOSJ_28494
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	APOSJ_07800, APOSJ_32795, APOSJ_57641, APOSJ_20665, APOSJ_20666, APOSJ_00824, APOSJ_36967
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	APOSJ_06931, APOSJ_06932, APOSJ_29940, APOSJ_29941, APOSJ_29942, APOSJ_36757, APOSJ_06818, APOSJ_06821, APOSJ_06819, APOSJ_06820
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	APOSJ_45448, APOSJ_45447, APOSJ_45451, APOSJ_45449, APOSJ_45446, APOSJ_45450, APOSJ_09650, APOSJ_09651
OG0000114	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656	APOSJ_20449
OG0000114	DROME04013, DROME04512, DROME04513	APOSJ_53151, APOSJ_05706, APOSJ_21558, APOSJ_21559, APOSJ_26937, APOSJ_15991, APOSJ_15324, APOSJ_15329, APOSJ_15326, APOSJ_18172, APOSJ_15328, APOSJ_15331, APOSJ_15330, APOSJ_15327, APOSJ_15323, APOSJ_15325, APOSJ_01155, APOSJ_31591
OG0000116	DROME05231	APOSJ_13923, APOSJ_18880, APOSJ_18879
OG0000117	DROME17123	APOSJ_25875
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	APOSJ_63143, APOSJ_31038, APOSJ_31040, APOSJ_31039
