Orthogroup	DROME	HUMAN
OG0000035	DROME17164, DROME17163	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	DROME10260	HUMAN04381, HUMAN04382
OG0000035	DROME18635	HUMAN06190
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	HUMAN27983, HUMAN15223
OG0000037	DROME13887, DROME14759, DROME14760	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	DROME08695, DROME15640, DROME04516	HUMAN03689
OG0000038	DROME10442	HUMAN02828
OG0000038	DROME13535, DROME13441	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	DROME13993	HUMAN18257
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	HUMAN13199
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	HUMAN27040, HUMAN27041, HUMAN26641, HUMAN26646, HUMAN26642, HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	DROME01788, DROME01789	HUMAN01392
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	HUMAN01400
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	HUMAN19139, HUMAN27913
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	HUMAN22417, HUMAN24391, HUMAN07519, HUMAN07517
OG0000044	DROME03638	HUMAN03043
OG0000048	DROME07309	HUMAN29550
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	HUMAN08560, HUMAN08561, HUMAN16328
OG0000048	DROME01500	HUMAN11449
OG0000049	DROME18357, DROME18359, DROME18358	HUMAN26500
OG0000051	DROME06654, DROME06655	HUMAN22678
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	HUMAN23119
OG0000054	DROME21992	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964, HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624	HUMAN14865
OG0000058	DROME14598	HUMAN17378, HUMAN03592
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	HUMAN17964, HUMAN26554
OG0000061	DROME05579, DROME05580, DROME06033	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	HUMAN25285
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	HUMAN21099
OG0000065	DROME22058	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000068	DROME18366, DROME18368, DROME18367	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000068	DROME18209	HUMAN20381
OG0000069	DROME03782	HUMAN01574
OG0000069	DROME19859	HUMAN13360
OG0000069	DROME03718	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000069	DROME03693, DROME03758, DROME03753	HUMAN01571
OG0000070	DROME04028, DROME04029, DROME06783	HUMAN25671, HUMAN29634, HUMAN30393
OG0000072	DROME12247, DROME12248	HUMAN24108, HUMAN23125, HUMAN05334
OG0000072	DROME00154	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	DROME00750	HUMAN22852
OG0000074	DROME03014	HUMAN07045, HUMAN07044, HUMAN21437
OG0000075	DROME01374	HUMAN18233
OG0000075	DROME01373	HUMAN06329
OG0000075	DROME01375	HUMAN18234, HUMAN06328
OG0000075	DROME04883, DROME04882	HUMAN20335, HUMAN20336, HUMAN20532
OG0000077	DROME15696, DROME15698, DROME15697	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	DROME07079, DROME07077, DROME07078	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000079	DROME14752	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	DROME01298	HUMAN14208
OG0000081	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593	HUMAN21909, HUMAN27509
OG0000082	DROME20298	HUMAN29167
OG0000082	DROME05998	HUMAN23869
OG0000082	DROME11174, DROME11173, DROME15008	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645
OG0000083	DROME17112	HUMAN07535, HUMAN22993
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	HUMAN03696, HUMAN22975
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	HUMAN13119, HUMAN07215
OG0000085	DROME10293, DROME10294, DROME10289, DROME10292	HUMAN10861
OG0000085	DROME00999, DROME00998, DROME01000	HUMAN26172
OG0000085	DROME19740	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	DROME10832, DROME10831	HUMAN25832, HUMAN02095, HUMAN02096
OG0000087	DROME22088	HUMAN11956
OG0000087	DROME06460	HUMAN11957
OG0000087	DROME21450	HUMAN17213
OG0000087	DROME03097	HUMAN18010
OG0000087	DROME08842	HUMAN21063
OG0000087	DROME09495	HUMAN10659
OG0000088	DROME01198, DROME01197	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	DROME18066, DROME18069, DROME12817	HUMAN25675
OG0000090	DROME02752	HUMAN24709
OG0000090	DROME16241, DROME16240, DROME16239	HUMAN28948
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120
OG0000096	DROME08195, DROME08196	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	DROME08870	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	DROME13163	HUMAN27289
OG0000096	DROME06400	HUMAN13889, HUMAN01832
OG0000096	DROME13915	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	DROME09341	HUMAN04200, HUMAN04201, HUMAN16028
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	DROME10335, DROME10334, DROME09743	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	DROME05458	HUMAN22036, HUMAN22037
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	HUMAN05724, HUMAN19523
OG0000104	DROME16895, DROME16894	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	DROME17321, DROME17322	HUMAN19373
OG0000106	DROME02609	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	HUMAN24662
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	HUMAN26991
OG0000114	DROME04013, DROME04512, DROME04513	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000116	DROME05231	HUMAN18678
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	DROME21220, DROME21219	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	HUMAN17940, HUMAN20669
OG0000120	DROME00682	HUMAN19084
OG0000120	DROME00676	HUMAN19072
OG0000121	DROME17781, DROME08015	HUMAN23092, HUMAN03659
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000124	DROME17463	HUMAN03991
OG0000124	DROME08713, DROME09900	HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	DROME21734	HUMAN00442, HUMAN00443
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	HUMAN12557, HUMAN20597
OG0000125	DROME04039, DROME04040, DROME04038	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	DROME01805, DROME01804	HUMAN22375, HUMAN24176, HUMAN09168
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	HUMAN07493, HUMAN22359
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	DROME11205, DROME11204	HUMAN21549, HUMAN07766
OG0000127	DROME08158	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	DROME05986	HUMAN27422, HUMAN19318
OG0000127	DROME18062	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	HUMAN03377
OG0000131	DROME18073, DROME18075, DROME18074	HUMAN19899
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000142	DROME08254, DROME08253	HUMAN11653, HUMAN13737
OG0000142	DROME07187	HUMAN24431, HUMAN24432
OG0000142	DROME17530, DROME17531	HUMAN19224
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	HUMAN18499, HUMAN00218
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	HUMAN24559, HUMAN27635
OG0000147	DROME03466	HUMAN02299
OG0000147	DROME17452, DROME17451	HUMAN18714, HUMAN18712
OG0000148	DROME19762, DROME19761, DROME19763	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000148	DROME12939	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	HUMAN10034, HUMAN23690
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	HUMAN22790
OG0000154	DROME12872, DROME12871	HUMAN19436
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	HUMAN00775, HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000157	DROME05618, DROME05617, DROME05616	HUMAN28808, HUMAN14307
OG0000157	DROME09786	HUMAN01369, HUMAN20932, HUMAN26487, HUMAN19863, HUMAN20935, HUMAN26485, HUMAN01368
OG0000157	DROME05150, DROME05149	HUMAN11058, HUMAN11059
OG0000158	DROME06825, DROME06824	HUMAN19321, HUMAN25759, HUMAN27804
OG0000159	DROME09571, DROME09570	HUMAN25418
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000162	DROME21138, DROME21116	HUMAN17808, HUMAN17813, HUMAN17807
OG0000163	DROME12520	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483
OG0000163	DROME07955	HUMAN13485, HUMAN13486, HUMAN20190
OG0000163	DROME19834, DROME00819	HUMAN12888, HUMAN06524, HUMAN26092
OG0000164	DROME08486	HUMAN29509
OG0000167	DROME09457, DROME09458	HUMAN25492
OG0000168	DROME01783	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467, HUMAN04352, HUMAN17049, HUMAN15865, HUMAN15864
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	HUMAN06783, HUMAN06782
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	HUMAN03531, HUMAN22193, HUMAN23027
OG0000172	DROME14415	HUMAN09786
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	HUMAN22641, HUMAN22640
OG0000175	DROME03593, DROME00840	HUMAN27918, HUMAN27828, HUMAN27827
OG0000179	DROME11221, DROME21050	HUMAN03338
OG0000179	DROME07796	HUMAN23712, HUMAN09621
OG0000179	DROME10428	HUMAN22996
OG0000180	DROME12336	HUMAN19779
OG0000180	DROME21739, DROME21740	HUMAN21794
OG0000180	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367	HUMAN27480, HUMAN07523, HUMAN30008
OG0000181	DROME12775	HUMAN06327, HUMAN02594
OG0000181	DROME18397	HUMAN26916, HUMAN21065
OG0000181	DROME06226	HUMAN08369
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	DROME07008	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532
OG0000183	DROME18789	HUMAN05533
