Orthogroup	DROME	AMPFI_ok
OG0000069	DROME03713	AMPFI_08415
OG0000069	DROME03718	AMPFI_12140, AMPFI_20704, AMPFI_07178
OG0000072	DROME12247, DROME12248	AMPFI_20479
OG0000072	DROME00154	AMPFI_26076
OG0000072	DROME00750	AMPFI_21820
OG0000074	DROME03014	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000075	DROME01374	AMPFI_12462
OG0000075	DROME01373	AMPFI_03839
OG0000075	DROME01375	AMPFI_15829
OG0000077	DROME18051	AMPFI_08518
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	AMPFI_24840, AMPFI_23657, AMPFI_13938, AMPFI_22390
OG0000078	DROME15695	AMPFI_13696
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	AMPFI_09380
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	AMPFI_24805
OG0000079	DROME01298	AMPFI_06359, AMPFI_07521
OG0000082	DROME20298	AMPFI_21007
OG0000082	DROME05998	AMPFI_06890
OG0000082	DROME11174, DROME11173, DROME15008	AMPFI_15952, AMPFI_11015
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	AMPFI_09379
OG0000085	DROME00999, DROME00998, DROME01000	AMPFI_25819
OG0000085	DROME10832, DROME10831	AMPFI_04349
OG0000086	DROME14954	AMPFI_11751, AMPFI_07935, AMPFI_06308, AMPFI_21419
OG0000087	DROME22088	AMPFI_20352
OG0000087	DROME06460	AMPFI_08050
OG0000087	DROME21450	AMPFI_25175
OG0000087	DROME03097	AMPFI_09489, AMPFI_05588, AMPFI_13769
OG0000087	DROME08842	AMPFI_13389, AMPFI_05864, AMPFI_13768, AMPFI_08649
OG0000087	DROME09495	AMPFI_11171, AMPFI_18536, AMPFI_19662, AMPFI_19663
OG0000088	DROME01198, DROME01197	AMPFI_19709, AMPFI_17224, AMPFI_20465
OG0000089	DROME18066, DROME18069, DROME12817	AMPFI_00096
OG0000091	DROME18437, DROME18438, DROME20481	AMPFI_23875, AMPFI_17001, AMPFI_16503
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	AMPFI_02587, AMPFI_25694, AMPFI_04666
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	AMPFI_18905, AMPFI_06525
OG0000096	DROME08195, DROME08196	AMPFI_12180
OG0000096	DROME08870	AMPFI_22693
OG0000096	DROME13163	AMPFI_24766
OG0000096	DROME06400	AMPFI_09837
OG0000096	DROME13915	AMPFI_11230
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	AMPFI_07962, AMPFI_03629
OG0000100	DROME10813	AMPFI_17446, AMPFI_19874, AMPFI_01211, AMPFI_00447, AMPFI_04306
OG0000101	DROME17779	AMPFI_22686, AMPFI_04246
OG0000101	DROME05458	AMPFI_24234, AMPFI_14741, AMPFI_20349, AMPFI_14310, AMPFI_02729
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	AMPFI_21097
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	AMPFI_14148
OG0000104	DROME16895, DROME16894	AMPFI_11040
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	AMPFI_02710
OG0000104	DROME17321, DROME17322	AMPFI_20370
OG0000106	DROME02609	AMPFI_02407, AMPFI_14321
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	AMPFI_03282
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	AMPFI_01561
OG0000114	DROME04013, DROME04512, DROME04513	AMPFI_03529
OG0000116	DROME05231	AMPFI_12986
OG0000117	DROME17123	AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	AMPFI_25431
OG0000119	DROME21220, DROME21219	AMPFI_07345, AMPFI_07307
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	AMPFI_24152
OG0000120	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785	AMPFI_15831
OG0000120	DROME00660	AMPFI_16828, AMPFI_02660, AMPFI_04611
OG0000120	DROME04710	AMPFI_01268
OG0000121	DROME10532	AMPFI_05928
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	AMPFI_13850, AMPFI_04566, AMPFI_20620
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	AMPFI_09948, AMPFI_21733
OG0000123	DROME17732, DROME17730, DROME17731	AMPFI_11014
OG0000124	DROME17463	AMPFI_24111
OG0000124	DROME08713, DROME09900	AMPFI_07499, AMPFI_07500
OG0000124	DROME21734	AMPFI_02885
OG0000125	DROME04039, DROME04040, DROME04038	AMPFI_12865
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	AMPFI_13551
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	AMPFI_06519
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	AMPFI_19042
OG0000127	DROME11205, DROME11204	AMPFI_11705
OG0000127	DROME08158	AMPFI_13476
OG0000127	DROME05986	AMPFI_18794
OG0000131	DROME18073, DROME18075, DROME18074	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000142	DROME07188	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305
OG0000144	DROME21183	AMPFI_25240, AMPFI_18617, AMPFI_12964, AMPFI_03511, AMPFI_04193
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	AMPFI_00036, AMPFI_00137
OG0000147	DROME03466	AMPFI_25058
OG0000147	DROME17452, DROME17451	AMPFI_22384, AMPFI_01359, AMPFI_18115
OG0000148	DROME19762, DROME19761, DROME19763	AMPFI_23558
OG0000148	DROME12939	AMPFI_06814
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	AMPFI_19578, AMPFI_11805
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	AMPFI_11674
OG0000157	DROME05618, DROME05617, DROME05616	AMPFI_07870
OG0000157	DROME09786	AMPFI_18508
OG0000159	DROME09571, DROME09570	AMPFI_09235
OG0000163	DROME02805	AMPFI_08892
OG0000163	DROME21614	AMPFI_22798
OG0000163	DROME12520	AMPFI_03655, AMPFI_02815, AMPFI_05576
OG0000163	DROME07955	AMPFI_01484
OG0000163	DROME00819	AMPFI_15100
OG0000164	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561	AMPFI_18140
OG0000165	DROME15840, DROME15841	AMPFI_20099
OG0000167	DROME04018, DROME04019	AMPFI_07356
OG0000168	DROME00156, DROME00157	AMPFI_22221
OG0000168	DROME01783	AMPFI_03245, AMPFI_18586, AMPFI_18585, AMPFI_17991
OG0000170	DROME01350	AMPFI_24769
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	AMPFI_16514
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	AMPFI_03980, AMPFI_17322
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	AMPFI_14468
OG0000175	DROME03593, DROME00840	AMPFI_13786
OG0000179	DROME11221, DROME21050	AMPFI_12504
OG0000179	DROME07796	AMPFI_16964
OG0000179	DROME10428	AMPFI_00481
OG0000181	DROME06226	AMPFI_12882
OG0000182	DROME05590	AMPFI_15057
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	AMPFI_14083
OG0000183	DROME07197	AMPFI_23760
OG0000183	DROME07008	AMPFI_03468
OG0000185	DROME11667, DROME11668	AMPFI_20184
OG0000186	DROME04472	AMPFI_18026
OG0000186	DROME05503, DROME05502	AMPFI_23623
OG0000188	DROME16886, DROME16887	AMPFI_08253
OG0000192	DROME21955, DROME21954, DROME21953, DROME11894	AMPFI_22080
OG0000193	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981	AMPFI_04703, AMPFI_20306
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	AMPFI_05326
OG0000197	DROME14335, DROME14334, DROME14336	AMPFI_14260
OG0000198	DROME17687	AMPFI_24261
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	AMPFI_21951, AMPFI_14281, AMPFI_19553
OG0000201	DROME11047	AMPFI_03122, AMPFI_19654
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	AMPFI_01733
OG0000202	DROME14920, DROME14921	AMPFI_02277
OG0000203	DROME03275	AMPFI_20814
OG0000204	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808	AMPFI_18110
OG0000204	DROME10849, DROME10848	AMPFI_16653, AMPFI_14128, AMPFI_06859
OG0000205	DROME06842, DROME06843	AMPFI_19091
OG0000207	DROME06000	AMPFI_08635, AMPFI_15520
OG0000208	DROME02132	AMPFI_04187
OG0000210	DROME14047, DROME11376	AMPFI_21005
OG0000211	DROME21074, DROME21072, DROME21073, DROME21071	AMPFI_21968
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	AMPFI_16387, AMPFI_05918, AMPFI_03073
OG0000223	DROME10256	AMPFI_09693
OG0000225	DROME11929	AMPFI_24201, AMPFI_00311
OG0000226	DROME14660	AMPFI_19055, AMPFI_20488, AMPFI_21777, AMPFI_11732, AMPFI_11731
OG0000226	DROME15107, DROME15108, DROME15106, DROME15105	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354
OG0000227	DROME20242	AMPFI_00331
OG0000227	DROME06362, DROME06368, DROME06369, DROME06365	AMPFI_12350
OG0000227	DROME04927, DROME04926	AMPFI_07507
OG0000229	DROME04047	AMPFI_00048, AMPFI_01094, AMPFI_20318, AMPFI_25621, AMPFI_04986, AMPFI_25120, AMPFI_24951, AMPFI_03165, AMPFI_19975, AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077
OG0000230	DROME03186	AMPFI_14811
OG0000230	DROME09028, DROME09029	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	AMPFI_03284
OG0000231	DROME07628, DROME07629	AMPFI_01759
OG0000231	DROME20858	AMPFI_02162
OG0000232	DROME10139	AMPFI_11808, AMPFI_10141
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	AMPFI_09748
OG0000234	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365	AMPFI_05768
OG0000235	DROME11735	AMPFI_22306
OG0000236	DROME03355	AMPFI_19570
OG0000236	DROME12102, DROME12101, DROME12103, DROME12096, DROME12097, DROME12095, DROME12094, DROME12092, DROME12100, DROME12099, DROME12098, DROME12093	AMPFI_25372, AMPFI_15559, AMPFI_23568, AMPFI_05672
OG0000238	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033	AMPFI_08132
OG0000239	DROME05270, DROME05269, DROME05271, DROME05268	AMPFI_07816
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	AMPFI_20472
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	AMPFI_05219, AMPFI_05218
OG0000242	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265	AMPFI_10835, AMPFI_24613
OG0000243	DROME04743, DROME04742, DROME04744	AMPFI_02124
OG0000245	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514	AMPFI_10648
OG0000246	DROME13185, DROME13186, DROME13188, DROME13187	AMPFI_20200
OG0000248	DROME01997, DROME05927, DROME05926, DROME05929, DROME05928	AMPFI_08134, AMPFI_21352
OG0000249	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490	AMPFI_14226, AMPFI_11149
OG0000250	DROME14382	AMPFI_07242
OG0000250	DROME11256, DROME11255, DROME11257	AMPFI_05967
OG0000251	DROME21783	AMPFI_03175
OG0000251	DROME19364, DROME15998, DROME15997	AMPFI_14822
OG0000255	DROME15943	AMPFI_21142
OG0000255	DROME20722, DROME05791, DROME18596	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058	AMPFI_08473
OG0000257	DROME12936	AMPFI_01061
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594	AMPFI_24588, AMPFI_21660
OG0000258	DROME20383	AMPFI_11627
OG0000260	DROME17607, DROME17608, DROME17606	AMPFI_24181
OG0000260	DROME16635, DROME16636	AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181
OG0000265	DROME00452	AMPFI_11224
OG0000268	DROME00943, DROME00944	AMPFI_23943
OG0000270	DROME17877, DROME17878, DROME17879	AMPFI_19866
OG0000270	DROME14671, DROME14672, DROME14673, DROME14674	AMPFI_18262
OG0000271	DROME19668, DROME19667	AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367
OG0000271	DROME03592	AMPFI_21553
OG0000272	DROME15587, DROME15589, DROME15586, DROME15588	AMPFI_21855
OG0000272	DROME05031, DROME05029, DROME05030	AMPFI_20114
OG0000273	DROME09248, DROME09247, DROME10822, DROME20533	AMPFI_11471
OG0000273	DROME11374, DROME11373	AMPFI_01958
OG0000273	DROME08809, DROME08810	AMPFI_06629
OG0000273	DROME18369	AMPFI_05763
OG0000274	DROME03975, DROME03976, DROME03972, DROME03974, DROME03973, DROME17174, DROME21409	AMPFI_01746, AMPFI_23522, AMPFI_21347
OG0000274	DROME01792	AMPFI_20748
OG0000277	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342	AMPFI_09153
OG0000277	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160	AMPFI_19405, AMPFI_04428
OG0000278	DROME19394, DROME09269, DROME19393	AMPFI_20031
OG0000278	DROME00752	AMPFI_23155
OG0000278	DROME02023	AMPFI_11370
OG0000278	DROME03254	AMPFI_25739, AMPFI_15284
OG0000280	DROME18032	AMPFI_17296
OG0000282	DROME05714	AMPFI_11943, AMPFI_24461
OG0000282	DROME11686	AMPFI_00662
OG0000284	DROME17657	AMPFI_12259, AMPFI_25463
OG0000284	DROME09381, DROME09382	AMPFI_25872, AMPFI_11998
OG0000285	DROME00993	AMPFI_21903, AMPFI_16083, AMPFI_21667, AMPFI_04957, AMPFI_19148
OG0000289	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962	AMPFI_17606
OG0000289	DROME10658, DROME10659	AMPFI_16478
OG0000296	DROME17565, DROME17564, DROME17562, DROME17563	AMPFI_07491
OG0000296	DROME19290, DROME19291	AMPFI_21136, AMPFI_23948
OG0000299	DROME07127, DROME07124, DROME07123	AMPFI_23716
OG0000301	DROME01100, DROME01102, DROME01101	AMPFI_01248
OG0000301	DROME18912, DROME14231, DROME14230	AMPFI_07549
OG0000302	DROME10773, DROME10774, DROME10775, DROME06441	AMPFI_16244, AMPFI_21244
OG0000305	DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692	AMPFI_02684
OG0000306	DROME18377, DROME18374, DROME18379, DROME18378, DROME18380, DROME18375, DROME18381, DROME18376	AMPFI_01092, AMPFI_20442
OG0000308	DROME05159	AMPFI_01977, AMPFI_20295
OG0000308	DROME12865	AMPFI_18028
OG0000310	DROME16770	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017
OG0000312	DROME07843, DROME07844, DROME07846, DROME07845	AMPFI_07712
OG0000312	DROME16932	AMPFI_20772
OG0000312	DROME10814, DROME10815	AMPFI_21121
OG0000313	DROME15510	AMPFI_05659
OG0000313	DROME02549, DROME02550	AMPFI_25204
OG0000313	DROME21546	AMPFI_24408
OG0000314	DROME06444	AMPFI_01491
OG0000314	DROME09997, DROME09992, DROME09995, DROME09999, DROME09991, DROME09996, DROME09998, DROME10001, DROME09993, DROME10000, DROME09994	AMPFI_19303
OG0000315	DROME06438, DROME06439, DROME06437	AMPFI_07490
OG0000316	DROME10369	AMPFI_19051
OG0000316	DROME07384	AMPFI_17678
OG0000316	DROME19451, DROME19452	AMPFI_12328
OG0000317	DROME12241	AMPFI_14578
OG0000321	DROME05701, DROME05702	AMPFI_01151
OG0000321	DROME13031	AMPFI_13886
OG0000322	DROME08429	AMPFI_07075
OG0000323	DROME18717, DROME18722, DROME18719, DROME18716, DROME18712, DROME18721, DROME18718, DROME18714, DROME18715, DROME18723, DROME18720, DROME18713	AMPFI_16959, AMPFI_12290
