Orthogroup	DROME	YEAST
OG0000113	DROME13618, DROME10760, DROME10761, DROME10759, DROME10758, DROME10762, DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	YEAST00378, YEAST01351, YEAST05581
OG0000116	DROME05231	YEAST04456
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476, DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	YEAST04928
OG0000124	DROME17463	YEAST05021
OG0000124	DROME21734	YEAST04122
OG0000127	DROME11208, DROME11205, DROME11204, DROME08158, DROME05986, DROME18062	YEAST06208
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	YEAST06016
OG0000142	DROME09730, DROME08254, DROME08253, DROME07188, DROME13886, DROME07187, DROME17530, DROME17531	YEAST02122
OG0000157	DROME11709	YEAST01890
OG0000158	DROME06825, DROME06824	YEAST05568
OG0000160	DROME18430, DROME18431, DROME18429, DROME21524, DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	YEAST04194
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483, DROME03593, DROME00840	YEAST00850, YEAST04327
OG0000179	DROME11221, DROME21050	YEAST01123, YEAST04430
OG0000179	DROME07796	YEAST02911, YEAST01281
OG0000179	DROME10428	YEAST04108, YEAST03346
OG0000181	DROME12775, DROME18397, DROME06226	YEAST00824, YEAST00771
OG0000186	DROME17153, DROME18591, DROME04472, DROME04471, DROME05503, DROME05502	YEAST00336
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087, DROME14260	YEAST03414
OG0000211	DROME17290, DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068	YEAST04964
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	YEAST01460
OG0000225	DROME11929	YEAST06146
OG0000227	DROME20242, DROME06362, DROME06368, DROME06369, DROME06365, DROME04927, DROME04926	YEAST05815
OG0000233	DROME00414, DROME00405, DROME00404, DROME00403, DROME13369	YEAST03726, YEAST03241, YEAST03242
OG0000238	DROME01901, DROME01902, DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358, DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033	YEAST06340, YEAST03834
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	YEAST03827
OG0000240	DROME04779, DROME05772, DROME06965, DROME08357, DROME06930, DROME06939, DROME06932, DROME06931, DROME06933, DROME06938, DROME06935, DROME06936, DROME06937, DROME06934, DROME14517, DROME14518, DROME14516, DROME14525, DROME14521, DROME14522, DROME14519, DROME14520, DROME14523, DROME14524, DROME14527, DROME14528	YEAST04973
OG0000242	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265	YEAST00734
OG0000246	DROME18580, DROME13185, DROME13186, DROME13188, DROME13187	YEAST01746, YEAST01747
OG0000250	DROME14382, DROME11256, DROME11255, DROME11257	YEAST04716
OG0000255	DROME15943, DROME20722, DROME05791, DROME18596	YEAST02822
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058, DROME07912	YEAST00266
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594, DROME20383, DROME17641, DROME17639, DROME17640	YEAST00118
OG0000260	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636	YEAST04323
OG0000265	DROME00452	YEAST03885, YEAST03714
OG0000272	DROME15587, DROME15589, DROME15586, DROME15588, DROME05031, DROME05029, DROME05030	YEAST02076, YEAST01066
OG0000274	DROME03975, DROME03976, DROME03972, DROME03974, DROME03973, DROME17174, DROME21409, DROME01792	YEAST02118, YEAST04573, YEAST01485
OG0000278	DROME19394, DROME09269, DROME19393	YEAST03847
OG0000278	DROME00752	YEAST03806
OG0000278	DROME02023	YEAST04060
OG0000278	DROME03254	YEAST01107
OG0000284	DROME17657, DROME09381, DROME09382	YEAST05621
OG0000289	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962, DROME10658, DROME10659	YEAST00645
OG0000305	DROME04469, DROME00333, DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692, DROME04466	YEAST04899
OG0000308	DROME05159, DROME12865	YEAST02548
OG0000310	DROME16770	YEAST02635
OG0000312	DROME07843, DROME07844, DROME07846, DROME07845, DROME16932, DROME10814, DROME10815	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	DROME15510, DROME02549, DROME02550	YEAST05106
OG0000316	DROME10369, DROME07384, DROME19451, DROME19452	YEAST01673
OG0000317	DROME21477, DROME21478, DROME12241	YEAST01356
OG0000321	DROME16482, DROME05701, DROME05702, DROME13031	YEAST03264
OG0000323	DROME18717, DROME18722, DROME18719, DROME18716, DROME18712, DROME18721, DROME18718, DROME18714, DROME18715, DROME18723, DROME18720, DROME18713	YEAST02249
OG0000326	DROME20026, DROME20030, DROME20027, DROME20025, DROME20029, DROME20028, DROME20024	YEAST06268, YEAST05286
OG0000327	DROME03880, DROME09102, DROME08839, DROME07459, DROME07460, DROME07461, DROME07462, DROME14790, DROME19988, DROME19987, DROME19986, DROME19989, DROME19990, DROME19985, DROME19984, DROME19510	YEAST01354
OG0000338	DROME21194, DROME21193, DROME21975	YEAST02967
OG0000338	DROME04558	YEAST04211
OG0000343	DROME13475, DROME13478, DROME13474, DROME13476, DROME13480, DROME13477, DROME13473, DROME13481, DROME13479	YEAST03024, YEAST02736
OG0000345	DROME12026, DROME12025, DROME12024	YEAST01884
OG0000352	DROME14143, DROME14145, DROME14147, DROME14146, DROME14148, DROME14144	YEAST04069
OG0000357	DROME13834	YEAST01925
OG0000359	DROME11803	YEAST02489
OG0000363	DROME18487	YEAST04081, YEAST05870
OG0000365	DROME09327, DROME09326, DROME05773, DROME05774, DROME15910	YEAST05831
OG0000367	DROME01988, DROME15187, DROME15186, DROME13648, DROME13646, DROME13647, DROME15189, DROME15190, DROME15188, DROME15181, DROME15183, DROME15185, DROME15184, DROME15182	YEAST02141, YEAST03746, YEAST03210
OG0000372	DROME18401, DROME09531, DROME10800	YEAST05988
OG0000373	DROME14548, DROME20852, DROME16822, DROME20049, DROME20050	YEAST02023
OG0000380	DROME05237	YEAST01047
OG0000385	DROME05997, DROME09713, DROME09714, DROME09715, DROME05708, DROME05707	YEAST03496
OG0000393	DROME13321, DROME05811, DROME00250, DROME16370, DROME16369, DROME13323, DROME02418, DROME13322	YEAST04072, YEAST04071
OG0000393	DROME20684	YEAST01302
OG0000397	DROME14885	YEAST05080
OG0000399	DROME21835, DROME12205, DROME12206	YEAST02160
OG0000400	DROME09694, DROME17859, DROME14016, DROME15511, DROME08108	YEAST05911
OG0000402	DROME11245, DROME11246, DROME12090	YEAST01657, YEAST01929
OG0000405	DROME04975, DROME04976, DROME04979, DROME04977, DROME04980, DROME04978, DROME04974	YEAST06055, YEAST00411
OG0000412	DROME15681, DROME15682, DROME02464, DROME13336, DROME13334, DROME13335, DROME15399	YEAST04469
OG0000413	DROME21174	YEAST04905, YEAST05340
OG0000413	DROME13327, DROME13328, DROME15279, DROME15278	YEAST02838
OG0000419	DROME06034, DROME04433, DROME15435, DROME02118, DROME02117, DROME18475, DROME01671, DROME00269, DROME15434, DROME15436, DROME00268, DROME00270	YEAST05989
OG0000420	DROME02672	YEAST03886
OG0000424	DROME02090, DROME02075, DROME02066, DROME02076, DROME02077, DROME02078, DROME02064, DROME02063, DROME02062, DROME02065, DROME02081, DROME12353, DROME17176, DROME17175, DROME00623, DROME03850, DROME03851, DROME06196, DROME14713, DROME14583, DROME14582, DROME14580, DROME14579, DROME14581, DROME08237, DROME08236, DROME08235	YEAST03563
OG0000426	DROME16357, DROME16356	YEAST03440
OG0000427	DROME05699, DROME05698, DROME18355, DROME18356	YEAST02655, YEAST02439
OG0000429	DROME19525, DROME07553, DROME07552, DROME06812	YEAST02285
OG0000431	DROME05704, DROME12301, DROME12300, DROME11410, DROME11409, DROME11408	YEAST04014
OG0000433	DROME00007, DROME00005, DROME00004, DROME00006, DROME20425, DROME20423, DROME20424	YEAST06177, YEAST00117
OG0000442	DROME13942, DROME12188, DROME01916	YEAST05012
OG0000444	DROME21032, DROME03786, DROME03789, DROME03788, DROME03787	YEAST01115, YEAST04019
OG0000445	DROME06725, DROME06723, DROME06724, DROME20153, DROME20152	YEAST03068
OG0000450	DROME16711, DROME16712	YEAST04709, YEAST05909
OG0000461	DROME03657, DROME03656	YEAST00120
OG0000467	DROME21658, DROME21660, DROME21659	YEAST03162
OG0000469	DROME18292, DROME18291, DROME18290	YEAST02179, YEAST05440
OG0000474	DROME17475, DROME17476, DROME19264, DROME19265	YEAST02384
OG0000476	DROME19464, DROME19463, DROME13684, DROME18050	YEAST03038
OG0000479	DROME10906, DROME10907, DROME10905, DROME10908, DROME10909, DROME19907, DROME19910, DROME19906, DROME19908, DROME19909, DROME19905, DROME19911	YEAST04139
OG0000480	DROME18226, DROME18222, DROME18229, DROME18223, DROME18227, DROME18225, DROME18224, DROME18228	YEAST05750
OG0000481	DROME21853	YEAST01040
OG0000481	DROME10810	YEAST05236
OG0000481	DROME19418	YEAST00916
OG0000481	DROME01481	YEAST00827, YEAST00774
OG0000484	DROME18988, DROME18995, DROME18994, DROME18989, DROME18985, DROME18986, DROME18992, DROME18993, DROME18990, DROME18987, DROME18991, DROME18996	YEAST05824
OG0000486	DROME11708	YEAST03122, YEAST04270
OG0000488	DROME14757, DROME14755, DROME14754, DROME14756, DROME14758	YEAST01414
OG0000490	DROME19662, DROME19663, DROME19666, DROME19664, DROME19665, DROME07962, DROME07132, DROME16645	YEAST04297, YEAST00894
OG0000505	DROME09303, DROME18823	YEAST03067
OG0000508	DROME02055, DROME08723, DROME08722, DROME08721	YEAST04626
OG0000510	DROME07066, DROME17661, DROME17660, DROME17663, DROME17662, DROME17659, DROME15630, DROME15629, DROME02254	YEAST04569, YEAST05730
OG0000515	DROME14318	YEAST04784, YEAST05876
OG0000519	DROME08599	YEAST04594, YEAST03616
OG0000520	DROME12834, DROME14866, DROME14865	YEAST02979
OG0000523	DROME01790, DROME17340, DROME17339	YEAST01952, YEAST05838, YEAST06082
OG0000529	DROME08794, DROME08796, DROME08798, DROME08797, DROME08795, DROME05074, DROME05075, DROME05072, DROME05073	YEAST05790, YEAST00048
OG0000534	DROME11197, DROME11196, DROME11195, DROME11194	YEAST04932
OG0000549	DROME15009	YEAST06280, YEAST02610, YEAST05060
OG0000552	DROME03162, DROME03867	YEAST05717
OG0000561	DROME01983, DROME01984, DROME17453	YEAST06202, YEAST00331
OG0000562	DROME02768, DROME02766, DROME02765, DROME02767, DROME02764, DROME21192	YEAST00314
OG0000563	DROME19165, DROME00254	YEAST01406
OG0000566	DROME04343, DROME04344, DROME04345	YEAST05789, YEAST00049
OG0000573	DROME12167, DROME20963, DROME19690	YEAST05675
OG0000576	DROME12649, DROME12657, DROME12653, DROME12651, DROME12650, DROME12655, DROME12654, DROME12648, DROME12652, DROME12656	YEAST00470, YEAST00193
OG0000578	DROME00903, DROME00906, DROME00904, DROME00909, DROME00905, DROME00907, DROME00908, DROME11950, DROME13534	YEAST01208, YEAST00759
OG0000579	DROME18276, DROME18279, DROME18282, DROME18281, DROME18280, DROME18278, DROME18277	YEAST02484
OG0000582	DROME21391, DROME21390, DROME21388, DROME21389, DROME21385, DROME21387, DROME21386, DROME21392, DROME21393	YEAST03615
OG0000587	DROME16670, DROME16671, DROME16672	YEAST04063
OG0000587	DROME16137	YEAST03372
OG0000588	DROME12674, DROME00241, DROME00240, DROME20059, DROME09587	YEAST05197
OG0000590	DROME00417	YEAST05110, YEAST05552, YEAST03727
OG0000592	DROME03009, DROME03008, DROME03007, DROME03010, DROME03011, DROME03012, DROME19640	YEAST00388
OG0000597	DROME04131, DROME04129, DROME04130	YEAST04330
OG0000612	DROME04304	YEAST02370
OG0000612	DROME00841	YEAST03629
OG0000613	DROME11661, DROME11657, DROME11660, DROME11656, DROME11658, DROME11659	YEAST01072
OG0000623	DROME13642	YEAST02411
OG0000623	DROME13267, DROME13269, DROME13273, DROME13272, DROME13270, DROME13271, DROME13268, DROME13266, DROME19458, DROME19644, DROME09777, DROME09776	YEAST05090
OG0000627	DROME00612, DROME00609, DROME00610, DROME00607, DROME00611, DROME00608, DROME07604, DROME07603	YEAST02116, YEAST03957
OG0000639	DROME11868, DROME11860, DROME11862, DROME11861, DROME11863, DROME11866, DROME11867, DROME11864, DROME11865, DROME00355	YEAST02015
OG0000642	DROME16938	YEAST00618
OG0000645	DROME14720	YEAST04743
OG0000647	DROME03300, DROME11896, DROME11895, DROME10272, DROME05266, DROME05267, DROME13736	YEAST04534
OG0000648	DROME08636	YEAST04178, YEAST05641
OG0000657	DROME04361	YEAST03846
OG0000660	DROME13641, DROME13640, DROME08489, DROME17870	YEAST05150, YEAST01587
OG0000662	DROME13127, DROME03101, DROME20426, DROME20379, DROME18061	YEAST05937
OG0000663	DROME05436	YEAST02675, YEAST03294
OG0000672	DROME01096, DROME01095	YEAST03771
OG0000672	DROME13682	YEAST00984
OG0000676	DROME07205	YEAST01503
OG0000676	DROME15377	YEAST02962
OG0000683	DROME11493, DROME11492, DROME01831, DROME18009, DROME18008, DROME18007	YEAST03152, YEAST03537, YEAST05938
OG0000690	DROME09460	YEAST04874
OG0000692	DROME13871, DROME13870	YEAST01969
OG0000694	DROME18910	YEAST05978
OG0000699	DROME04408, DROME04407, DROME04406	YEAST05706
OG0000701	DROME19925, DROME19926, DROME06204, DROME17248	YEAST02239, YEAST02223
OG0000703	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633	YEAST05314
OG0000708	DROME21751, DROME21752, DROME18239	YEAST05997
OG0000709	DROME00103, DROME01206	YEAST00057
OG0000724	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298	YEAST02013
OG0000732	DROME00208, DROME00209, DROME15061	YEAST04978
OG0000733	DROME17454, DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559	YEAST05474
OG0000735	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093	YEAST05945
OG0000737	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533	YEAST05188
OG0000744	DROME09899	YEAST05951
OG0000745	DROME04604, DROME04605, DROME04603, DROME04602, DROME04600, DROME04601, DROME04599, DROME04598, DROME04596, DROME04597, DROME02290, DROME02291	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	DROME15461, DROME09086, DROME20521, DROME11363	YEAST01432, YEAST04483
OG0000753	DROME16114, DROME16113, DROME22017, DROME22016, DROME22019, DROME22018, DROME22021, DROME22020	YEAST01034, YEAST02037
OG0000757	DROME01317, DROME07057	YEAST01489
OG0000758	DROME04523, DROME04522, DROME04521	YEAST01504
OG0000759	DROME01056, DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208	YEAST02878, YEAST05681
OG0000772	DROME13216, DROME03561, DROME03562, DROME03559, DROME03560, DROME03558, DROME03563	YEAST04929
OG0000776	DROME20100, DROME20102, DROME20101	YEAST04571, YEAST00195, YEAST00312
OG0000777	DROME05836	YEAST06297, YEAST02627
OG0000779	DROME13622, DROME20961	YEAST03812
OG0000782	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777	YEAST01393, YEAST05616
OG0000791	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120	YEAST02375
OG0000794	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332	YEAST04627
OG0000800	DROME19714	YEAST03636
OG0000809	DROME15572, DROME15573	YEAST01998
OG0000817	DROME16006, DROME02008	YEAST00389
OG0000817	DROME06292	YEAST06112
OG0000828	DROME20305	YEAST00945, YEAST05476, YEAST00075
OG0000828	DROME19137, DROME07670	YEAST02290
OG0000837	DROME05419, DROME18149	YEAST06222
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	YEAST02416
OG0000847	DROME16726	YEAST02881, YEAST03544, YEAST06198
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	YEAST02530, YEAST00209
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	YEAST04475
OG0000850	DROME12440, DROME20308, DROME12322	YEAST04287
OG0000852	DROME03192, DROME03193, DROME03191, DROME08938, DROME08937	YEAST01266
OG0000854	DROME12664, DROME12665, DROME13117, DROME13118	YEAST00248
OG0000855	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331	YEAST04755
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	YEAST00309
OG0000868	DROME19682, DROME18402, DROME10395	YEAST06157
OG0000871	DROME14585, DROME03028	YEAST03857
OG0000872	DROME09696, DROME09697, DROME09695	YEAST03222, YEAST03741
OG0000875	DROME01940, DROME01939, DROME06587	YEAST00077
OG0000876	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525	YEAST05556
OG0000879	DROME00001, DROME21621, DROME11009	YEAST06123
OG0000888	DROME13818, DROME15657	YEAST00288
OG0000889	DROME20531, DROME20532, DROME20008	YEAST00175
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897, DROME08778, DROME08777	YEAST03763
OG0000896	DROME07637, DROME07636	YEAST04923
OG0000905	DROME11749	YEAST00599
OG0000907	DROME01472, DROME01473, DROME01474, DROME01471	YEAST02193
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	YEAST03557, YEAST05101
OG0000914	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235	YEAST04745
OG0000921	DROME09822, DROME10234, DROME09821, DROME09823, DROME01540, DROME21958, DROME09824	YEAST02526
OG0000925	DROME02762, DROME02761, DROME13733, DROME13734	YEAST05667, YEAST06025
OG0000932	DROME19600, DROME19599, DROME19601, DROME19598	YEAST03525
OG0000933	DROME00363	YEAST06306
OG0000934	DROME18021	YEAST02582, YEAST06252
OG0000934	DROME12197, DROME12198	YEAST05040
OG0000935	DROME19387	YEAST02843
OG0000944	DROME06673, DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	YEAST04878
OG0000954	DROME12405, DROME12406, DROME12407	YEAST05503, YEAST01249
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	YEAST00837
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	YEAST03685, YEAST00482, YEAST01749
OG0000964	DROME14012	YEAST04606
OG0000965	DROME10303	YEAST02552
OG0000965	DROME10622	YEAST02050
OG0000967	DROME01950, DROME01951, DROME01952	YEAST05075
OG0000970	DROME21979, DROME21981, DROME21980, DROME21978, DROME21982	YEAST04028
OG0000982	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867	YEAST01182
OG0000984	DROME12019, DROME07638	YEAST01493, YEAST00575
OG0000986	DROME00033, DROME00029, DROME00034, DROME00031, DROME00030, DROME00032	YEAST01481, YEAST04073
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	YEAST04734, YEAST02734
OG0000994	DROME20689, DROME05396	YEAST02360
OG0001001	DROME01963, DROME01964, DROME01966, DROME01965	YEAST00341
OG0001003	DROME20428, DROME20429	YEAST00644
OG0001005	DROME16898	YEAST03721, YEAST04253, YEAST02546
OG0001006	DROME12303	YEAST04513
OG0001016	DROME03793, DROME04453	YEAST00830
OG0001018	DROME08789, DROME19524	YEAST01172
OG0001024	DROME14925	YEAST01024, YEAST00308
OG0001033	DROME01958	YEAST02124
OG0001064	DROME16728, DROME20769	YEAST00458
OG0001066	DROME06399	YEAST06311
OG0001075	DROME05007, DROME05008	YEAST05636
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	YEAST01570
OG0001081	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997	YEAST04460
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	YEAST03919, YEAST02905, YEAST05331
OG0001094	DROME08185, DROME21556	YEAST03837
OG0001095	DROME09258, DROME09254, DROME09255, DROME09256, DROME09257, DROME09253	YEAST00773
OG0001096	DROME20588, DROME20589, DROME02389	YEAST01384
OG0001101	DROME01099	YEAST03434
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011	YEAST06309
OG0001111	DROME01145, DROME15662	YEAST06003
OG0001113	DROME08567, DROME18531, DROME18532	YEAST05320
OG0001113	DROME01680	YEAST00954
OG0001114	DROME00496, DROME16340, DROME16339, DROME14934, DROME16341	YEAST00036, YEAST05811
OG0001124	DROME13810	YEAST02719
OG0001132	DROME12585, DROME12584, DROME12583, DROME12582	YEAST05421
OG0001133	DROME16631	YEAST04296
OG0001133	DROME02832	YEAST03271
OG0001135	DROME18153, DROME18152	YEAST03641
OG0001136	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237	YEAST05047, YEAST02997
