Orthogroup	DROME	BRALA
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	BRALA12120, BRALA09688
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	BRALA31027, BRALA00002, BRALA17788
OG0000020	DROME18145, DROME18146	BRALA28177, BRALA04365
OG0000020	DROME22108	BRALA09135
OG0000020	DROME02490	BRALA28848, BRALA05608
OG0000020	DROME11466, DROME11467	BRALA27392
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	BRALA11912
OG0000020	DROME14454, DROME14455	BRALA10628
OG0000021	DROME18320, DROME18321	BRALA18963
OG0000021	DROME08269	BRALA30352
OG0000021	DROME00802, DROME00801	BRALA34639, BRALA31905
OG0000021	DROME08091	BRALA06012
OG0000021	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	DROME04919, DROME04917, DROME04918	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	BRALA17881, BRALA21074, BRALA03421
OG0000027	DROME13849, DROME08050	BRALA20955, BRALA26178, BRALA25170, BRALA33815
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	BRALA08523
OG0000030	DROME12966	BRALA04160, BRALA13442
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111	BRALA13032
OG0000030	DROME06898	BRALA31250, BRALA14315, BRALA04297, BRALA10449
OG0000030	DROME12965	BRALA06142
OG0000031	DROME19945	BRALA04543
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	BRALA04547
OG0000031	DROME09230	BRALA28311
OG0000031	DROME16481	BRALA15572
OG0000032	DROME01213	BRALA11179, BRALA11177, BRALA09647
OG0000034	DROME20092, DROME20090, DROME20091	BRALA27570
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	BRALA08901, BRALA03079
OG0000034	DROME13496	BRALA17580
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	BRALA08885
OG0000034	DROME03104, DROME03105	BRALA18444
OG0000034	DROME20524	BRALA02412
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	BRALA21367, BRALA35402
OG0000035	DROME19358, DROME19359	BRALA29588
OG0000035	DROME17164, DROME17163	BRALA13915, BRALA22877
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	BRALA22402, BRALA22404
OG0000037	DROME20237	BRALA16393, BRALA16390, BRALA16391
OG0000037	DROME08695, DROME15640, DROME04516	BRALA16388
OG0000038	DROME13993	BRALA27417
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	BRALA19542
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	BRALA18485, BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395, BRALA35825, BRALA27751, BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	DROME01788, DROME01789	BRALA29257
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	BRALA35158
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	BRALA27215
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	BRALA28596
OG0000044	DROME03638	BRALA27747
OG0000044	DROME17013	BRALA03916, BRALA26507, BRALA16452, BRALA25594, BRALA12952
OG0000046	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304	BRALA05184, BRALA05187
OG0000048	DROME07309	BRALA08224
OG0000048	DROME15626, DROME15625	BRALA06772
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407, BRALA17809
OG0000048	DROME01500	BRALA03524
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	BRALA17285
OG0000049	DROME18357, DROME18359, DROME18358	BRALA16919, BRALA35874, BRALA15337
OG0000051	DROME06654, DROME06655	BRALA17952
OG0000054	DROME20361	BRALA24089
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	BRALA02118
OG0000054	DROME21992	BRALA20506, BRALA19923, BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257, BRALA17805, BRALA33752, BRALA25223
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	BRALA34592, BRALA06465, BRALA06467, BRALA13087, BRALA06446, BRALA27563, BRALA27545, BRALA25264, BRALA25260, BRALA27539, BRALA20701, BRALA06443, BRALA06419, BRALA06416, BRALA06397, BRALA06394, BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477
OG0000058	DROME14598	BRALA24063
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000059	DROME17819, DROME17820	BRALA20365
OG0000060	DROME18201	BRALA00658, BRALA22074
OG0000060	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220	BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702
OG0000060	DROME15948	BRALA20908
OG0000060	DROME00430	BRALA12851
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	BRALA07400
OG0000061	DROME05579, DROME05580, DROME06033	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000061	DROME18900, DROME18901, DROME18899	BRALA07399, BRALA11283, BRALA07094, BRALA17504
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	BRALA31607
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	BRALA04453
OG0000068	DROME18366, DROME18368, DROME18367	BRALA17343
OG0000069	DROME03713	BRALA33707, BRALA33706, BRALA10090, BRALA31904, BRALA27769, BRALA28929, BRALA02441
OG0000069	DROME03782	BRALA27564
OG0000069	DROME03778	BRALA06442
OG0000069	DROME03748	BRALA27543
OG0000069	DROME03680	BRALA27559
OG0000069	DROME03708	BRALA06475
OG0000069	DROME03689, DROME03743, DROME03723, DROME03773	BRALA31405
OG0000069	DROME19859	BRALA06255
OG0000069	DROME03718	BRALA18787
OG0000069	DROME03728	BRALA27537
OG0000069	DROME03753	BRALA33181
OG0000070	DROME04028, DROME04029, DROME06783	BRALA19019, BRALA19027, BRALA19020
OG0000070	DROME04912	BRALA21094
OG0000070	DROME17588, DROME17589, DROME19032	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298, BRALA06340
OG0000072	DROME12247, DROME12248	BRALA08308
OG0000072	DROME00750	BRALA35229, BRALA34984, BRALA33639, BRALA31916
OG0000072	DROME14913	BRALA18086
OG0000072	DROME11831, DROME14422	BRALA18063
OG0000075	DROME01373	BRALA07062
OG0000075	DROME01375	BRALA11318
OG0000075	DROME04883, DROME04882	BRALA25719
OG0000077	DROME15696, DROME15698, DROME15697	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	DROME07079, DROME07077, DROME07078	BRALA35746, BRALA06424
OG0000077	DROME18051	BRALA09898
OG0000079	DROME14752	BRALA00097
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	BRALA18105
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	BRALA22809
OG0000079	DROME01298	BRALA13477
OG0000081	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593	BRALA35664
OG0000081	DROME19345, DROME19344	BRALA34121, BRALA18692, BRALA18695, BRALA14921, BRALA17428
OG0000082	DROME20298	BRALA23665
OG0000082	DROME05998	BRALA23991
OG0000082	DROME11174, DROME11173, DROME15008	BRALA10738
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	BRALA12025
OG0000083	DROME17112	BRALA11838, BRALA11834
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	BRALA16357
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	BRALA27744
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	BRALA35021
OG0000085	DROME00999, DROME00998, DROME01000	BRALA20574
OG0000085	DROME10832, DROME10831	BRALA18829, BRALA18828
OG0000086	DROME14954	BRALA08255
OG0000087	DROME06460	BRALA14258
OG0000087	DROME21450	BRALA04156
OG0000087	DROME03097	BRALA11394
OG0000087	DROME08842	BRALA11395, BRALA20088
OG0000087	DROME09495	BRALA11396, BRALA13093, BRALA20310
OG0000088	DROME01198, DROME01197	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340
OG0000090	DROME02752	BRALA02611
OG0000090	DROME00161, DROME00160, DROME00159, DROME00158	BRALA22440
OG0000090	DROME16241, DROME16240, DROME16239	BRALA04706
OG0000091	DROME20804	BRALA26173
OG0000091	DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941	BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	BRALA34518
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	BRALA09222, BRALA24092
OG0000095	DROME01438	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842
OG0000096	DROME08195, DROME08196	BRALA29898, BRALA29897
OG0000096	DROME13163	BRALA16859
OG0000096	DROME13915	BRALA08595, BRALA28945
OG0000096	DROME09341	BRALA02509
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	BRALA09558
OG0000099	DROME10335, DROME10334, DROME09743	BRALA22450, BRALA22449, BRALA35493
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	BRALA29541
OG0000100	DROME09951	BRALA10562
OG0000100	DROME10813	BRALA17244, BRALA33594, BRALA15348, BRALA09332, BRALA34789, BRALA22356
OG0000101	DROME05458	BRALA14227, BRALA01723, BRALA14232, BRALA14229, BRALA14228, BRALA34771, BRALA35778, BRALA34308
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	BRALA24676, BRALA24677
OG0000104	DROME16895, DROME16894	BRALA26650
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	BRALA24675
OG0000104	DROME17321, DROME17322	BRALA25097, BRALA25098
OG0000106	DROME19783	BRALA03306
OG0000106	DROME02609	BRALA03304, BRALA03303, BRALA03302, BRALA03305
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	BRALA20703, BRALA11727, BRALA20699
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	BRALA06221, BRALA13079, BRALA13080, BRALA29475, BRALA06649, BRALA13382, BRALA01140, BRALA16920, BRALA06787, BRALA06786, BRALA05323, BRALA06788, BRALA06341, BRALA13026, BRALA06344, BRALA16169, BRALA10270
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	BRALA05737, BRALA34204, BRALA28295
OG0000114	DROME04013, DROME04512, DROME04513	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610
OG0000117	DROME17123	BRALA18688, BRALA13613
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	BRALA06707, BRALA09190
OG0000119	DROME21220, DROME21219	BRALA09113, BRALA09057, BRALA09056
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	BRALA14028, BRALA14029
OG0000121	DROME17781, DROME08015	BRALA20434, BRALA03923
OG0000121	DROME10532	BRALA32320
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	BRALA04629
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	BRALA07001
OG0000123	DROME17732, DROME17730, DROME17731	BRALA11476
OG0000124	DROME08713, DROME09900	BRALA26544
OG0000124	DROME21734	BRALA05628
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	BRALA07049
OG0000126	DROME01805, DROME01804	BRALA11509
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	BRALA11885
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	BRALA21733
OG0000127	DROME11205, DROME11204	BRALA06066
OG0000127	DROME08158	BRALA17083
OG0000127	DROME05986	BRALA16654
OG0000127	DROME18062	BRALA06242
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520	BRALA31934, BRALA31933
OG0000129	DROME21055	BRALA13416
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	BRALA06672, BRALA27303
OG0000131	DROME18073, DROME18075, DROME18074	BRALA24562
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	BRALA31411, BRALA31406, BRALA27565, BRALA27560, BRALA27542, BRALA27536, BRALA33655, BRALA33182, BRALA20698, BRALA20702, BRALA25262, BRALA11726, BRALA20134, BRALA33962, BRALA06392, BRALA06433, BRALA06447, BRALA06441, BRALA06456, BRALA06479, BRALA06414
OG0000142	DROME07188	BRALA24723, BRALA02306
OG0000144	DROME21183	BRALA30071, BRALA21424, BRALA11545
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	BRALA33037
OG0000147	DROME03466	BRALA16538
OG0000147	DROME17452, DROME17451	BRALA30660
OG0000148	DROME19762, DROME19761, DROME19763	BRALA09428
OG0000148	DROME12939	BRALA19052, BRALA19046, BRALA19045, BRALA19050, BRALA19051
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236	BRALA04476, BRALA12518, BRALA28887
OG0000149	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	BRALA24371
OG0000155	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899	BRALA16575
OG0000157	DROME05619, DROME05620, DROME05621	BRALA34949
OG0000157	DROME05618, DROME05617, DROME05616	BRALA27057
OG0000157	DROME09786	BRALA28027
OG0000159	DROME09571, DROME09570	BRALA12258
OG0000160	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353	BRALA07274, BRALA19400, BRALA19362, BRALA07285, BRALA07284, BRALA07278, BRALA07280, BRALA33017, BRALA19401, BRALA17753, BRALA19403, BRALA07279, BRALA11586, BRALA07275, BRALA14771
OG0000162	DROME21138, DROME21116	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178
OG0000162	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132	BRALA33970
OG0000162	DROME08394, DROME08390, DROME08396, DROME08397, DROME08395, DROME08392, DROME08391, DROME08389, DROME08393	BRALA10232
OG0000163	DROME12520	BRALA16731, BRALA16733, BRALA16732
OG0000163	DROME16444	BRALA00110
OG0000164	DROME08486	BRALA23092
OG0000165	DROME15840, DROME15841	BRALA35730
OG0000167	DROME04018, DROME04019	BRALA17123
OG0000168	DROME01783	BRALA01020, BRALA13286, BRALA13283
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199	BRALA28419
OG0000171	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	BRALA09972, BRALA09975, BRALA34620, BRALA11421, BRALA23749, BRALA04631, BRALA06721
OG0000172	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308	BRALA19684, BRALA24662
OG0000172	DROME14415	BRALA23427, BRALA05075, BRALA09367, BRALA05284
OG0000173	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315	BRALA05388
OG0000174	DROME10165, DROME11306	BRALA10706, BRALA03775
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483	BRALA24671
OG0000175	DROME03593, DROME00840	BRALA14699, BRALA14698
OG0000179	DROME11221, DROME21050	BRALA13816
OG0000179	DROME07796	BRALA15064, BRALA15063
OG0000179	DROME10428	BRALA28779
OG0000180	DROME21739, DROME21740	BRALA18777, BRALA18757
OG0000181	DROME12775	BRALA20263
OG0000181	DROME18397	BRALA09404
OG0000181	DROME06226	BRALA11436
OG0000182	DROME13778	BRALA20922
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	BRALA34386
OG0000183	DROME07197	BRALA17782, BRALA17781
OG0000183	DROME07008	BRALA30657
OG0000185	DROME08939, DROME08940, DROME11667, DROME11668	BRALA17010
OG0000185	DROME12225, DROME12226	BRALA20218
OG0000185	DROME03791, DROME03792	BRALA09638
OG0000186	DROME18591	BRALA29207, BRALA31124
OG0000186	DROME04472	BRALA08975, BRALA08973, BRALA08974
OG0000188	DROME16886, DROME16887	BRALA03655
OG0000193	DROME21697, DROME21696, DROME21698	BRALA21700
OG0000193	DROME08054	BRALA29049
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	BRALA27202, BRALA33299, BRALA21846
OG0000197	DROME14335, DROME14334, DROME14336	BRALA10218
