Pfla_genename	predicted_gene_name	eggNOG description	pair of stage-specific clusters
TCONS_00008047	LCT	Lactase-like	22__21
TCONS_00008047	LCT	Lactase-like	22__24
TCONS_00008118	DPEP1	Dipeptidase	15__21
TCONS_00008120	DPEP1	Dipeptidase	17__21
TCONS_00008379	TRIM2	tripartite motif containing 2	22__24
TCONS_00008416	CPXM2	carboxypeptidase X (M14 family), member	20__24
TCONS_00008416	CPXM2	carboxypeptidase X (M14 family), member	20__21
TCONS_00008536	CUBN	Cotransporter which plays a role in lipoprotein, vitamin and iron metabolism, by facilitating their uptake. Binds to ALB, MB, Kappa and lambda-light chains, TF, hemoglobin, GC, SCGB1A1, APOA1, high density lipoprotein, and the GIF-cobalamin complex. The binding of all ligands requires calcium. Serves as important transporter in several absorptive epithelia, including intestine, renal proximal tubules and embryonic yolk sac. Interaction with LRP2 mediates its trafficking throughout vesicles and facilitates the uptake of specific ligands like GC, hemoglobin, ALB, TF and SCGB1A1. Interaction with AMN controls its trafficking to the plasma membrane and facilitates endocytosis of ligands. May play an important role in the development of the peri-implantation embryo through internalization of APOA1 and cholesterol. Binds to LGALS3 at the maternal-fetal interface	17__24
TCONS_00008536	CUBN	Cotransporter which plays a role in lipoprotein, vitamin and iron metabolism, by facilitating their uptake. Binds to ALB, MB, Kappa and lambda-light chains, TF, hemoglobin, GC, SCGB1A1, APOA1, high density lipoprotein, and the GIF-cobalamin complex. The binding of all ligands requires calcium. Serves as important transporter in several absorptive epithelia, including intestine, renal proximal tubules and embryonic yolk sac. Interaction with LRP2 mediates its trafficking throughout vesicles and facilitates the uptake of specific ligands like GC, hemoglobin, ALB, TF and SCGB1A1. Interaction with AMN controls its trafficking to the plasma membrane and facilitates endocytosis of ligands. May play an important role in the development of the peri-implantation embryo through internalization of APOA1 and cholesterol. Binds to LGALS3 at the maternal-fetal interface	17__21
TCONS_00008648	TBX20	TBOX	21__21
TCONS_00008650	UGT2A1	UDP Glucuronosyltransferase 2 family, polypeptide	21__21
TCONS_00008693	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	15__21
TCONS_00008703	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	22__21
TCONS_00008790	CHRNA9	Cholinergic receptor, nicotinic, alpha	17__21
TCONS_00008790	CHRNA9	Cholinergic receptor, nicotinic, alpha	17__24
TCONS_00008790	CHRNA9	Cholinergic receptor, nicotinic, alpha	17__22
TCONS_00008918	FADD35	AMP-dependent synthetase and ligase	21__21
TCONS_00009004	PARP2	poly (ADP-ribose) polymerase 2	14__18
TCONS_00009044	CUBN	cubilin (intrinsic factor-cobalamin receptor)	15__21
TCONS_00009050	CUBN	cubilin (intrinsic factor-cobalamin receptor)	15__21
TCONS_00009156	PNLIP	pancreatic	22__21
TCONS_00009156	PNLIP	pancreatic	22__24
TCONS_00009172	LCT	Lactase-like	21__21
TCONS_00009205	FABP12	fatty acid binding protein 12	15__21
TCONS_00009249	LCT	Lactase-like	20__24
TCONS_00009249	LCT	Lactase-like	20__21
TCONS_00009825	LCT	Lactase-like	19__22
TCONS_00009825	LCT	Lactase-like	19__21
TCONS_00009825	LCT	Lactase-like	19__24
TCONS_00009826	LCT	Lactase-like	17__24
TCONS_00009826	LCT	Lactase-like	17__22
TCONS_00009826	LCT	Lactase-like	17__21
TCONS_00009840	CALM2	calmodulin	22__21
TCONS_00009844	RPS27A	ribosomal protein S27A	14__18
TCONS_00009963	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	22__21
TCONS_00009965	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	22__21
TCONS_00010137	CYP2U1	cytochrome P450	19__24
TCONS_00010154	NAALAD2	N-acetylated alpha-linked acidic	22__24
TCONS_00010155	NAALAD2	N-acetylated alpha-linked acidic	20__24
TCONS_00010160	WBSCR27	Williams Beuren syndrome chromosome region 27	20__21
TCONS_00010179	ECH1	Enoyl CoA hydratase 1, peroxisomal	17__22
TCONS_00010386	PLB1	Phospholipase B1	19__24
TCONS_00010396	PLB1	Phospholipase B1	19__24
TCONS_00010510	CPB2	Carboxypeptidase	19__24
TCONS_00010599	TGFB2	Transforming growth factor beta	20__21
TCONS_00010696	SUL-3	Arylsulfatase	20__21
TCONS_00010936	YPEL5	yippee-like 5 (Drosophila)	20__21
TCONS_00011013	NPC2	Niemann-Pick disease, type C2	17__21
TCONS_00011013	NPC2	Niemann-Pick disease, type C2	17__24
TCONS_00011047	ELM	EFh	14__18
TCONS_00011151	LCT	beta-glucosidase	17__22
TCONS_00011151	LCT	beta-glucosidase	17__21
TCONS_00011151	LCT	beta-glucosidase	17__24
TCONS_00011152	LCT	lactase-phlorizin	19__22
TCONS_00011152	LCT	lactase-phlorizin	19__24
TCONS_00011152	LCT	lactase-phlorizin	19__21
TCONS_00011213	BCHE	butyrylcholinesterase	21__21
TCONS_00011214	BCHE	butyrylcholinesterase	20__24
TCONS_00011214	BCHE	butyrylcholinesterase	20__21
TCONS_00011333	PRDX5	Peroxiredoxin 5	22__24
TCONS_00011370	LGMN	legumain	22__24
TCONS_00011374	CRYZ	crystallin, zeta (quinone reductase)	15__21
TCONS_00011432	EEF1G	eukaryotic translation elongation factor 1 gamma	17__21
TCONS_00011458	CPB2	Carboxypeptidase	19__24
TCONS_00011460	CPB2	Carboxypeptidase	22__24
TCONS_00011487	NAALAD2	N-acetylated alpha-linked acidic	19__24
TCONS_00011496	GPHB5	glyco-protein hormone	17__21
TCONS_00011553	MANBA	Mannosidase, beta A, lysosomal	19__22
TCONS_00011645	CPB2	Carboxypeptidase	22__24
TCONS_00011649	NPC2	Niemann-Pick disease, type C2	22__24
TCONS_00011649	NPC2	Niemann-Pick disease, type C2	22__21
TCONS_00011888	CPB2	Carboxypeptidase	22__24
TCONS_00012113	CPB2	Carboxypeptidase	17__24
TCONS_00012132	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	14__18
TCONS_00012161	SLC51A	solute carrier family 51, alpha subunit	21__21
TCONS_00012269	TMEM175	Transmembrane protein 175	17__22
TCONS_00012280	RPS15A	Ribosomal protein S8	14__18
TCONS_00012326	SI	alpha-glucosidase	15__21
TCONS_00012341	ACTG1	ACTIN	17__21
TCONS_00012346	ACTG1	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells	20__21
TCONS_00012353	ACT1	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells	17__21
TCONS_00012534	GRIN2B	Glutamate receptor ionotropic N-methyl D-aspartate	17__24
TCONS_00012540	GRIN2B	Glutamate receptor ionotropic N-methyl D-aspartate	17__24
TCONS_00012754	FOXJ1	forkhead box J1	14__18
TCONS_00012859	SLC29A4	solute carrier family 29 (nucleoside transporters), member 4	22__21
TCONS_00012905	RPL10	ribosomal protein	14__18
TCONS_00013041	ACTA2	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells	22__21
TCONS_00013069	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	21__21
TCONS_00013072	CYP27B1	Cytochrome P450 family 27 subfamily	21__21
TCONS_00013073	CYP27B1	Cytochrome P450 family 27 subfamily	21__21
TCONS_00013164	DNAH9	Dynein, axonemal heavy chain	17__24
TCONS_00013443	ANGPT1	Angiopoietin	17__22
TCONS_00013466	SBK1	SH3-binding domain kinase	21__21
TCONS_00013618	RPL3	ribosomal protein	14__18
TCONS_00013817	EST-6	Esterase	19__21
TCONS_00013817	EST-6	Esterase	19__22
TCONS_00013817	EST-6	Esterase	19__24
TCONS_00013856	MYH3	Myosin heavy chain	21__21
TCONS_00013933	DNAI2	Dynein, axonemal, intermediate chain 2	14__18
TCONS_00014048	RPS2	Ribosomal protein	14__18
TCONS_00014221	CYP27B1	Cytochrome P450 family 27 subfamily	21__21
TCONS_00014361	DEGS1	delta(4)-desaturase, sphingolipid	14__18
TCONS_00014394	MOXD1	monooxygenase, DBH-like 1	22__21
TCONS_00014394	MOXD1	monooxygenase, DBH-like 1	22__24
TCONS_00014445	RPS9	Ribosomal protein S9	14__18
TCONS_00014468	EST-6	Esterase	15__21
TCONS_00014571	SLC46A3	Solute carrier family 46, member 3	19__24
TCONS_00014615	CYP27B1	Cytochrome P450 family 27 subfamily	21__21
TCONS_00014672	RPL35	ribosomal protein L35	14__18
TCONS_00014921	TRAF2	Tnf receptor-associated factor 2	22__24
TCONS_00014921	TRAF2	Tnf receptor-associated factor 2	22__21
TCONS_00014922	TRAF2	Tnf receptor-associated factor 2	17__24
TCONS_00014922	TRAF2	Tnf receptor-associated factor 2	17__21
TCONS_00014927	TRAF2	Tnf receptor-associated factor 2	17__24
TCONS_00014927	TRAF2	Tnf receptor-associated factor 2	17__21
TCONS_00014928	TRAF2	Tnf receptor-associated factor 2	17__21
TCONS_00014928	TRAF2	Tnf receptor-associated factor 2	17__24
TCONS_00014930	TRAF2	Tnf receptor-associated factor 2	17__24
TCONS_00014930	TRAF2	Tnf receptor-associated factor 2	17__21
TCONS_00014933	TRAF2	Tnf receptor-associated factor 2	20__21
TCONS_00014933	TRAF2	Tnf receptor-associated factor 2	20__24
TCONS_00014936	TRAF2	Tnf receptor-associated factor 2	20__21
TCONS_00014936	TRAF2	Tnf receptor-associated factor 2	20__24
TCONS_00014971	RPL5	ribosomal protein L5	14__18
TCONS_00015061	TRIM72	tripartite motif containing	22__21
TCONS_00015085	BCHE	Butyrylcholinesterase	20__24
TCONS_00015085	BCHE	Butyrylcholinesterase	20__21
TCONS_00015113	PROKR1	Prokineticin receptor	15__21
TCONS_00015261	PON2	paraoxonase	19__24
TCONS_00015263	PON2	paraoxonase	17__24
TCONS_00015264	PON2	paraoxonase	22__24
TCONS_00015270	PON2	paraoxonase	20__24
TCONS_00015274	PON2	paraoxonase	17__24
TCONS_00015322	TRAF2	Tnf receptor-associated factor 2	22__21
TCONS_00015322	TRAF2	Tnf receptor-associated factor 2	22__24
TCONS_00015365	RPGR	retinitis pigmentosa GTPase regulator	20__21
TCONS_00015393	PTCHD1	patched domain containing 3	19__24
TCONS_00015495	RPS5A	ribosomal protein	14__18
TCONS_00015728	C5	Complement component	17__22
TCONS_00015759	TRAF2	Tnf receptor-associated factor 2	21__21
TCONS_00015817	RPL7A	Ribosomal protein L7a	14__18
TCONS_00015820	PON2	paraoxonase	17__24
TCONS_00015823	PON2	paraoxonase	20__24
TCONS_00015840	NAAA	N-acylethanolamine acid amidase	21__21
TCONS_00015879	RPS18	Ribosomal protein S18	14__18
TCONS_00015954	CPB2	Carboxypeptidase	17__24
TCONS_00016066	GPRTAK2	Serpentine type 7TM GPCR chemoreceptor Srsx	22__24
TCONS_00016066	GPRTAK2	Serpentine type 7TM GPCR chemoreceptor Srsx	22__21
TCONS_00016076	MAL-A8	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	17__21
TCONS_00016099	TRAF2	Tnf receptor-associated factor 2	20__21
TCONS_00016099	TRAF2	Tnf receptor-associated factor 2	20__24
TCONS_00016106	NR5A2	nuclear receptor subfamily 5 group A member	20__24
TCONS_00016204	TRAF2	Tnf receptor-associated factor 2	19__21
TCONS_00016204	TRAF2	Tnf receptor-associated factor 2	19__24
TCONS_00016230	FMO5	Dimethylaniline monooxygenase (N-oxide-forming)	22__21
TCONS_00016237	C9ORF117	chromosome 9 open reading frame 117	19__21
TCONS_00016303	SLC22A13	solute carrier family 22	20__24
TCONS_00016303	SLC22A13	solute carrier family 22	20__21
TCONS_00016305	ORCT	organic cation transmembrane transporter activity	21__21
TCONS_00016314	SLC22A13	solute carrier family 22	21__21
TCONS_00016346	PON2	paraoxonase	19__24
TCONS_00016416	MGST1	Microsomal glutathione S-transferase 1	22__21
TCONS_00016502	MGST1	Microsomal glutathione S-transferase 1	15__21
TCONS_00016504	MGST1	Microsomal glutathione S-transferase 1	22__21
TCONS_00016614	SUL-3	Arylsulfatase	22__21
TCONS_00016624	ADAR	Adenosine deaminase, RNA-specific	20__24
TCONS_00016640	ALDH3B2	Aldehyde dehydrogenase	19__21
TCONS_00016690	RPL28	ribosomal protein L28	14__18
TCONS_00016788	ORCT	organic cation transmembrane transporter activity	20__24
TCONS_00016788	ORCT	organic cation transmembrane transporter activity	20__21
TCONS_00016890	SLC5A8	solute carrier family 5	20__24
TCONS_00016890	SLC5A8	solute carrier family 5	20__21
TCONS_00017038	SLC16A12	solute carrier family 16, member 12 (monocarboxylic acid transporter 12)	20__24
TCONS_00017049	ACOX1	acyl-Coenzyme A oxidase	19__22
TCONS_00017049	ACOX1	acyl-Coenzyme A oxidase	19__24
TCONS_00017082	SLCO4A1	solute carrier organic anion transporter family, member 4A1	19__21
TCONS_00017086	SLCO4A1	Solute carrier organic anion transporter family, member	15__21
TCONS_00017109	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	17__21
TCONS_00017212	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	17__24
TCONS_00017212	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	17__22
TCONS_00017274	OTOGL	Otogelin-like	22__24
TCONS_00017301	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	17__21
TCONS_00017309	FAM167A	Family with sequence similarity 167, member	20__21
TCONS_00017480	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	21__21
TCONS_00017485	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	21__21
TCONS_00017567	SLC16A12	solute carrier family 16, member 12 (monocarboxylic acid transporter 12)	20__24
TCONS_00017644	CYP4B1	Cytochrome P450, family 4, subfamily	15__21
TCONS_00017715	SLC16A7	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	22__24
TCONS_00017742	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	19__21
TCONS_00017742	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	19__24
TCONS_00017744	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	20__24
TCONS_00017744	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	20__21
TCONS_00017771	RPL19	ribosomal protein L19	14__18
TCONS_00017852	GLRA3	Glycine receptor alpha	20__24
TCONS_00017852	GLRA3	Glycine receptor alpha	20__21
TCONS_00018323	EFHC1	EF-hand domain (C-terminal) containing 1	14__18
TCONS_00018354	CLCA2	chloride channel	22__24
TCONS_00018401	NAALAD2	N-acetylated alpha-linked acidic	20__24
TCONS_00018461	RPL11	ribosomal protein L11	14__18
TCONS_00018496	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	21__21
TCONS_00018532	GLRA2	Neurotransmitter-gated ion-channel ligand binding domain	17__21
TCONS_00018532	GLRA2	Neurotransmitter-gated ion-channel ligand binding domain	17__22
TCONS_00018532	GLRA2	Neurotransmitter-gated ion-channel ligand binding domain	17__24
TCONS_00018542	GLRA2	Neurotransmitter-gated ion-channel ligand binding domain	20__24
TCONS_00018542	GLRA2	Neurotransmitter-gated ion-channel ligand binding domain	20__21
TCONS_00018588	ORCT	Sugar (and other) transporter	17__24
TCONS_00018588	ORCT	Sugar (and other) transporter	17__22
TCONS_00018588	ORCT	Sugar (and other) transporter	17__21
TCONS_00018592	ORCT	Sugar (and other) transporter	21__21
TCONS_00018593	SLC22A5	solute carrier family 22 (organic cation	22__24
TCONS_00018593	SLC22A5	solute carrier family 22 (organic cation	22__21
TCONS_00018703	CYP4B1	Cytochrome P450, family 4, subfamily	15__21
TCONS_00018724	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	15__21
TCONS_00018823	SLC5A8	solute carrier family 5	17__21
TCONS_00018823	SLC5A8	solute carrier family 5	17__24
TCONS_00018920	LINS	lines homolog (Drosophila)	22__21
TCONS_00018920	LINS	lines homolog (Drosophila)	22__24
TCONS_00018929	LINS	lines homolog (Drosophila)	17__24
TCONS_00018929	LINS	lines homolog (Drosophila)	17__22
TCONS_00018929	LINS	lines homolog (Drosophila)	17__21
TCONS_00018997	C7ORF31	chromosome 7 open reading frame 31	14__18
TCONS_00019100	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle	15__21
TCONS_00019156	MYL6B	myosin, light chain 6B, alkali, smooth muscle and non-muscle	20__21
TCONS_00019166	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	14__18
TCONS_00019194	LBP	BPI fold containing family C	17__24
TCONS_00019197	TUBB	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__24
TCONS_00019232	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	14__18
TCONS_00019352	RPL4	Ribosomal protein L4	14__18
TCONS_00019377	TUBB	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	19__24
TCONS_00019380	PROM1	prominin 1	14__18
TCONS_00019381	PROM1	prominin 1	19__24
TCONS_00019519	NPR2	Natriuretic peptide receptor B guanylate cyclase B (Atrionatriuretic peptide receptor B)	17__21
TCONS_00019603	SLC5A8	solute carrier family 5	21__21
TCONS_00019607	SLC5A8	solute carrier family 5	21__21
TCONS_00019620	IRX4	iroquois homeobox 4	14__18
TCONS_00019631	AQP12A	Aquaporin	14__18
TCONS_00019861	MRC1	mannose receptor, C type 1	21__21
TCONS_00019931	ZNFX1	Zinc finger, NFX1-type containing 1	17__22
TCONS_00019959	PDE11A	Phosphodiesterase 11a	20__21
TCONS_00020143	MRC1	mannose receptor, C type 1	19__24
TCONS_00020281	CTSF	Cathepsin F	17__24
TCONS_00020321	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	22__21
TCONS_00020323	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	20__21
TCONS_00020423	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	20__21
TCONS_00020496	CYP4B1	Cytochrome P450, family 4, subfamily	19__21
TCONS_00020496	CYP4B1	Cytochrome P450, family 4, subfamily	19__22
TCONS_00020514	LBP	BPI fold containing family C	20__24
TCONS_00020516	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif	15__21
TCONS_00020906	SLC22A5	solute carrier family 22 (organic cation	17__21
TCONS_00020906	SLC22A5	solute carrier family 22 (organic cation	17__24
TCONS_00020906	SLC22A5	solute carrier family 22 (organic cation	17__22
TCONS_00021113	AADACL2	arylacetamide deacetylase-like	22__21
TCONS_00021161	BCO2	Beta-carotene	15__21
TCONS_00021199	NAALAD2	N-acetylated alpha-linked acidic	20__24
TCONS_00021200	NAALAD2	N-acetylated alpha-linked acidic	17__24
TCONS_00021208	UGT1A10	UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds	17__21
TCONS_00021208	UGT1A10	UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds	17__22
TCONS_00021275	HEBP1	heme binding protein 1	19__21
TCONS_00021410	CALMODULIN	calmodulin	15__21
TCONS_00021578	BCHE	Butyrylcholinesterase	17__21
TCONS_00021578	BCHE	Butyrylcholinesterase	17__22
TCONS_00021578	BCHE	Butyrylcholinesterase	17__24
TCONS_00021579	BCHE	Butyrylcholinesterase	17__21
TCONS_00021579	BCHE	Butyrylcholinesterase	17__24
TCONS_00021579	BCHE	Butyrylcholinesterase	17__22
TCONS_00021739	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase	22__21
