Orthogroup	MOUSE	BRALA
OG0000002	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468
OG0000002	MOUSE43163, MOUSE43162	BRALA10501
OG0000002	MOUSE33129	BRALA20754
OG0000002	MOUSE15413, MOUSE15412	BRALA27121
OG0000003	MOUSE23092	BRALA07619
OG0000003	MOUSE36184	BRALA01914
OG0000004	MOUSE12693, MOUSE12692	BRALA09016
OG0000004	MOUSE21111	BRALA16167
OG0000004	MOUSE31437	BRALA03918
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	BRALA02003, BRALA02015
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000006	MOUSE48684, MOUSE48683	BRALA07705
OG0000006	MOUSE11220	BRALA17590
OG0000006	MOUSE33561, MOUSE33562	BRALA06686
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	BRALA19242
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	BRALA06109
OG0000006	MOUSE54497	BRALA23800
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	BRALA07568, BRALA29276
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	BRALA22280
OG0000006	MOUSE38532, MOUSE38531	BRALA06185
OG0000006	MOUSE10280	BRALA17603
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	BRALA03602
OG0000006	MOUSE19675	BRALA17591
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	BRALA24372
OG0000006	MOUSE08011, MOUSE15296	BRALA24993
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	BRALA24994
OG0000006	MOUSE03398	BRALA22628
OG0000007	MOUSE09063, MOUSE49748	BRALA03259
OG0000007	MOUSE51845, MOUSE20686	BRALA13447, BRALA13448
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	BRALA20872, BRALA20870
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	BRALA31416
OG0000007	MOUSE52320	BRALA11149
OG0000007	MOUSE49749	BRALA03260
OG0000007	MOUSE13954	BRALA20579
OG0000007	MOUSE09061	BRALA03286
OG0000007	MOUSE09062, MOUSE49739	BRALA03282
OG0000007	MOUSE04689, MOUSE37388	BRALA26097
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	BRALA22487
OG0000007	MOUSE38586, MOUSE06525	BRALA06491
OG0000007	MOUSE06204	BRALA18647
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	BRALA05625
OG0000007	MOUSE07031, MOUSE07030	BRALA30788
OG0000008	MOUSE25500	BRALA16035
OG0000008	MOUSE17513, MOUSE17514, MOUSE33182	BRALA05591
OG0000008	MOUSE25728	BRALA27340
OG0000008	MOUSE25499, MOUSE25498, MOUSE25349	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	MOUSE50311	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014
OG0000008	MOUSE34799	BRALA20418
OG0000010	MOUSE49605, MOUSE49413	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	MOUSE22876	BRALA24210, BRALA03886
OG0000010	MOUSE09529	BRALA03920, BRALA03888, BRALA03922
OG0000010	MOUSE36610, MOUSE36609	BRALA01026, BRALA09806
OG0000010	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871, MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000011	MOUSE08113	BRALA26291
OG0000011	MOUSE47282	BRALA34301
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	BRALA22947
OG0000012	MOUSE38313	BRALA20558, BRALA12213, BRALA23779, BRALA32735
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456
OG0000014	MOUSE20912	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196
OG0000014	MOUSE31149, MOUSE31150	BRALA14079
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	BRALA28626, BRALA28625, BRALA28624
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	MOUSE03176, MOUSE35079	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858
OG0000015	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500	BRALA22448
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	BRALA22447
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	MOUSE44325	BRALA34743
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	BRALA00485
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	BRALA32113, BRALA10406
OG0000016	MOUSE13078, MOUSE13077	BRALA12120, BRALA09688
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	BRALA24127
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	BRALA22170
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137	BRALA16757, BRALA35055, BRALA10428
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	BRALA00404, BRALA00405
OG0000019	MOUSE30063, MOUSE30064	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	MOUSE39911	BRALA12010
OG0000020	MOUSE45177	BRALA28177, BRALA04365
OG0000020	MOUSE05499, MOUSE05500	BRALA09135
OG0000020	MOUSE53015	BRALA27241
OG0000020	MOUSE07164	BRALA28848
OG0000020	MOUSE33588	BRALA05608
OG0000020	MOUSE23587, MOUSE23586	BRALA18984
OG0000020	MOUSE06637, MOUSE06636	BRALA21902, BRALA16840
OG0000020	MOUSE34933	BRALA05743, BRALA25854, BRALA14414
OG0000020	MOUSE26371	BRALA16287
OG0000020	MOUSE45175, MOUSE15405	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869
OG0000020	MOUSE15402	BRALA14062
OG0000020	MOUSE24012	BRALA27392
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	BRALA11912
OG0000020	MOUSE37001, MOUSE37002	BRALA12599
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	BRALA10628
OG0000021	MOUSE41024, MOUSE41023	BRALA18963
OG0000021	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022	BRALA18043
OG0000021	MOUSE49041, MOUSE09998	BRALA22428
OG0000021	MOUSE04592	BRALA30352
OG0000021	MOUSE44445	BRALA06012
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	BRALA20360, BRALA20164
OG0000021	MOUSE19587	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	MOUSE46773, MOUSE46772	BRALA34393, BRALA34449, BRALA33273
OG0000023	MOUSE49036	BRALA29325, BRALA12288
OG0000023	MOUSE01124	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062
OG0000023	MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	BRALA25437
OG0000023	MOUSE02558, MOUSE02557	BRALA29841, BRALA06984, BRALA06983
OG0000026	MOUSE30101	BRALA33267
OG0000026	MOUSE12605	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	MOUSE38308, MOUSE38309	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251, BRALA01767, BRALA23099, BRALA26971, BRALA26970, BRALA13781
OG0000027	MOUSE18680	BRALA30064
OG0000027	MOUSE18678, MOUSE18679	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	MOUSE45380	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159	BRALA08547, BRALA15654
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	BRALA01199, BRALA17029, BRALA17030
OG0000028	MOUSE44525	BRALA08523
OG0000029	MOUSE17544, MOUSE15400	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	BRALA13442
OG0000031	MOUSE36272	BRALA28310
OG0000031	MOUSE26385	BRALA04543
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	BRALA04547
OG0000031	MOUSE08528, MOUSE08527	BRALA04610
OG0000031	MOUSE44529	BRALA05046
OG0000031	MOUSE39309, MOUSE01505	BRALA16640
OG0000031	MOUSE40719, MOUSE40720	BRALA09408
OG0000031	MOUSE13006, MOUSE13005	BRALA28311
OG0000031	MOUSE13008	BRALA15572
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	BRALA10240
OG0000032	MOUSE29123	BRALA11179, BRALA11177, BRALA09647
OG0000032	MOUSE23164	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000034	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539	BRALA27570
OG0000034	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	BRALA08751
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	BRALA08901, BRALA03079
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	BRALA17580
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	BRALA08885
OG0000034	MOUSE11491, MOUSE11490	BRALA23966, BRALA06594
OG0000034	MOUSE20059	BRALA02412
OG0000035	MOUSE02570, MOUSE02571	BRALA21367, BRALA35402
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	BRALA13921
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	BRALA29588
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	BRALA13915, BRALA22877
OG0000035	MOUSE27104	BRALA13917
OG0000036	MOUSE12248, MOUSE49436	BRALA03126, BRALA19967
OG0000036	MOUSE49768	BRALA22400
OG0000036	MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	BRALA35896
OG0000036	MOUSE29724, MOUSE29725	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	BRALA22402, BRALA22404
OG0000036	MOUSE49438	BRALA03476
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	BRALA22282
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	BRALA22275
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	BRALA16015
OG0000037	MOUSE21441	BRALA16388
OG0000038	MOUSE22591, MOUSE22592	BRALA27417
OG0000039	MOUSE32704	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	BRALA31558
OG0000039	MOUSE23387	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000040	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748	BRALA35825, BRALA27751
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	BRALA27215
OG0000042	MOUSE51171	BRALA34429
OG0000042	MOUSE15999, MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172, MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000044	MOUSE35862, MOUSE46639	BRALA16330, BRALA33207
OG0000044	MOUSE41161, MOUSE41162	BRALA27747
OG0000045	MOUSE25074	BRALA29043, BRALA32667
OG0000045	MOUSE20735	BRALA19490, BRALA19482
OG0000045	MOUSE17353, MOUSE07193	BRALA22894
OG0000046	MOUSE48114, MOUSE48113	BRALA28946
OG0000046	MOUSE54722, MOUSE34003	BRALA00828, BRALA17402, BRALA17400
OG0000046	MOUSE32874	BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030
OG0000048	MOUSE55730	BRALA08224
OG0000048	MOUSE42201, MOUSE42202	BRALA17809
OG0000048	MOUSE06701	BRALA10830
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	BRALA03524
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	BRALA08950, BRALA08951
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	BRALA15334
OG0000049	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909	BRALA15336, BRALA15335
OG0000049	MOUSE40908, MOUSE39155	BRALA16919, BRALA35874, BRALA15337
OG0000051	MOUSE40003	BRALA17952
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	BRALA22978, BRALA25416
OG0000053	MOUSE33288	BRALA16213, BRALA07330
OG0000054	MOUSE48109	BRALA02118
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000054	MOUSE48639	BRALA17805, BRALA33752
OG0000055	MOUSE03681, MOUSE08929	BRALA13087
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581	BRALA00682
OG0000056	MOUSE37995, MOUSE37994	BRALA21309
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	MOUSE17481	BRALA29633
OG0000058	MOUSE21857, MOUSE21254	BRALA24063
OG0000058	MOUSE10546	BRALA06324
OG0000058	MOUSE40446, MOUSE40445	BRALA14300
OG0000058	MOUSE06405	BRALA24917, BRALA27306
OG0000058	MOUSE38610	BRALA14302
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	MOUSE06401, MOUSE38608	BRALA11173, BRALA06327
OG0000058	MOUSE38609, MOUSE40444	BRALA27304
OG0000059	MOUSE55069, MOUSE29771, MOUSE29770, MOUSE29769	BRALA13206
OG0000059	MOUSE52262, MOUSE52259, MOUSE52258	BRALA11568
OG0000059	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592	BRALA20365
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	BRALA19963, BRALA20366
OG0000060	MOUSE52080, MOUSE52079	BRALA01718
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	BRALA07400
OG0000061	MOUSE22377, MOUSE22378, MOUSE53042	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	BRALA21141, BRALA30349, BRALA21142
OG0000062	MOUSE52081	BRALA31607
OG0000063	MOUSE33697	BRALA00957
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	MOUSE53763	BRALA25733
OG0000066	MOUSE13756	BRALA28825, BRALA18292, BRALA11955, BRALA06903
OG0000067	MOUSE10267	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	MOUSE19580, MOUSE31455	BRALA35634, BRALA09451
OG0000068	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009	BRALA17343
OG0000069	MOUSE30824	BRALA33707, BRALA33706, BRALA10090, BRALA31904, BRALA27769, BRALA28929, BRALA02441
OG0000069	MOUSE30828	BRALA06442
OG0000069	MOUSE08907, MOUSE30830	BRALA27543
OG0000069	MOUSE24595	BRALA06255, BRALA22501
OG0000069	MOUSE24597, MOUSE24598, MOUSE24599	BRALA11725
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	BRALA18787
OG0000070	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102	BRALA19019, BRALA19027, BRALA19020
OG0000070	MOUSE01400, MOUSE01399	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254
