Orthogroup	MOUSE	DANRE
OG0000001	MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663
OG0000002	MOUSE31557, MOUSE31558	DANRE16673
OG0000002	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159	DANRE07411, DANRE07410
OG0000002	MOUSE45935	DANRE38244, DANRE38242, DANRE38243
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588
OG0000002	MOUSE33129	DANRE28739
OG0000002	MOUSE15413, MOUSE15412	DANRE23574
OG0000004	MOUSE12693, MOUSE12692	DANRE17331
OG0000004	MOUSE06318, MOUSE06317, MOUSE06316	DANRE30388, DANRE30387, DANRE30389, DANRE30390
OG0000004	MOUSE31437	DANRE15804, DANRE15805
OG0000004	MOUSE46906, MOUSE46905	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042
OG0000004	MOUSE41373, MOUSE41374	DANRE30830, DANRE30828, DANRE30829, DANRE31045
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	MOUSE18207	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588
OG0000005	MOUSE20384, MOUSE20383	DANRE20012, DANRE20011, DANRE20010
OG0000005	MOUSE20203	DANRE20517, DANRE20518
OG0000005	MOUSE53215, MOUSE53214	DANRE17265, DANRE14948, DANRE27010, DANRE24204
OG0000005	MOUSE16622, MOUSE16621	DANRE18558
OG0000005	MOUSE16620	DANRE10777
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	DANRE11160
OG0000006	MOUSE11220	DANRE02891
OG0000006	MOUSE33561, MOUSE33562	DANRE35529, DANRE26614, DANRE26613
OG0000006	MOUSE36359	DANRE06496, DANRE06495
OG0000006	MOUSE36360	DANRE06497
OG0000006	MOUSE45321	DANRE08940
OG0000006	MOUSE29952, MOUSE29953	DANRE07561, DANRE07562
OG0000006	MOUSE29955	DANRE07564
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	MOUSE54497	DANRE20396, DANRE24336
OG0000006	MOUSE31158	DANRE40393
OG0000006	MOUSE02096, MOUSE02095, MOUSE02097	DANRE12604
OG0000006	MOUSE27112, MOUSE27111	DANRE38227, DANRE13192, DANRE13191
OG0000006	MOUSE28165	DANRE11213, DANRE11212
OG0000006	MOUSE07632, MOUSE07631	DANRE11601
OG0000006	MOUSE38532, MOUSE38531	DANRE30064, DANRE15483
OG0000006	MOUSE10280	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	DANRE05395
OG0000006	MOUSE19675	DANRE20981, DANRE28318, DANRE19321
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501	DANRE07087, DANRE07088
OG0000006	MOUSE21233, MOUSE21234	DANRE04631, DANRE04632
OG0000006	MOUSE09568, MOUSE09567	DANRE20580
OG0000006	MOUSE08011	DANRE11156
OG0000006	MOUSE15296	DANRE11155
OG0000006	MOUSE11795, MOUSE11796	DANRE11849
OG0000006	MOUSE11797	DANRE11850
OG0000006	MOUSE02988, MOUSE02987	DANRE16704, DANRE11329
OG0000006	MOUSE03398	DANRE04654, DANRE04655
OG0000006	MOUSE04696	DANRE35252
OG0000007	MOUSE09063	DANRE26275
OG0000007	MOUSE49748	DANRE17982
OG0000007	MOUSE51845	DANRE38320, DANRE26009
OG0000007	MOUSE20686	DANRE40798, DANRE40799
OG0000007	MOUSE42742	DANRE13390
OG0000007	MOUSE28113, MOUSE28115, MOUSE28114	DANRE11787, DANRE11788
OG0000007	MOUSE07122	DANRE10909, DANRE10908
OG0000007	MOUSE33185	DANRE36378
OG0000007	MOUSE10368, MOUSE33510	DANRE29354, DANRE34325, DANRE40143
OG0000007	MOUSE32557	DANRE16014, DANRE16015
OG0000007	MOUSE03187	DANRE07035, DANRE20085
OG0000007	MOUSE40199, MOUSE40198	DANRE04871
OG0000007	MOUSE46807	DANRE04210
OG0000007	MOUSE52320	DANRE28394, DANRE07751, DANRE07750
OG0000007	MOUSE49749	DANRE12664
OG0000007	MOUSE38483	DANRE03566
OG0000007	MOUSE13954	DANRE03447
OG0000007	MOUSE09061	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	MOUSE09062	DANRE26277
OG0000007	MOUSE49739	DANRE12992, DANRE12991
OG0000007	MOUSE38585	DANRE03039
OG0000007	MOUSE04689	DANRE08320
OG0000007	MOUSE37388	DANRE33659
OG0000007	MOUSE07862, MOUSE07863	DANRE11124, DANRE11125
OG0000007	MOUSE07860	DANRE11123
OG0000007	MOUSE18809, MOUSE18808, MOUSE18807	DANRE03760, DANRE05908
OG0000007	MOUSE38586	DANRE30028
OG0000007	MOUSE06525	DANRE03038, DANRE28801
OG0000007	MOUSE06204	DANRE30495
OG0000007	MOUSE33792, MOUSE33790	DANRE02453
OG0000007	MOUSE41340, MOUSE41339	DANRE09326, DANRE09325
OG0000007	MOUSE07031, MOUSE07030	DANRE11519
OG0000008	MOUSE17513, MOUSE17514	DANRE27059
OG0000008	MOUSE33182	DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	MOUSE25728	DANRE34310
OG0000008	MOUSE35409	DANRE31436
OG0000008	MOUSE30083	DANRE15525
OG0000008	MOUSE34799	DANRE41005, DANRE41006
OG0000010	MOUSE14749	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136
OG0000010	MOUSE34626	DANRE33958, DANRE33959
OG0000010	MOUSE34625, MOUSE34624	DANRE40235, DANRE40234, DANRE40232, DANRE40233
OG0000010	MOUSE49605	DANRE38562, DANRE38564, DANRE38563
OG0000010	MOUSE49413	DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	MOUSE22876	DANRE28016, DANRE28015, DANRE28014, DANRE30968
OG0000010	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049	DANRE25470
OG0000010	MOUSE09529	DANRE39463, DANRE39462
OG0000010	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000010	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871	DANRE09723, DANRE09722, DANRE13204, DANRE13205
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	DANRE09716, DANRE09718, DANRE09717
OG0000011	MOUSE08113	DANRE22618, DANRE32639, DANRE19908, DANRE03442
OG0000012	MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042	DANRE25930, DANRE25931
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	DANRE12655, DANRE12656, DANRE12659
OG0000013	MOUSE31454	DANRE15807
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657
OG0000013	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463
OG0000014	MOUSE04189	DANRE37898
OG0000014	MOUSE04186, MOUSE04184, MOUSE04187	DANRE35206, DANRE12526, DANRE12528, DANRE12527
OG0000014	MOUSE31054	DANRE40509, DANRE36844
OG0000014	MOUSE02337	DANRE43146
OG0000014	MOUSE14097	DANRE03629
OG0000014	MOUSE06495	DANRE29858, DANRE04027
OG0000014	MOUSE06496, MOUSE06497	DANRE04029, DANRE04028
OG0000014	MOUSE06101, MOUSE06102, MOUSE06100	DANRE30100, DANRE03816
OG0000014	MOUSE20912	DANRE11299, DANRE03520
OG0000014	MOUSE31149, MOUSE31150	DANRE40391
OG0000014	MOUSE22789, MOUSE22790, MOUSE00987	DANRE11197, DANRE03296
OG0000014	MOUSE00504	DANRE17251
OG0000014	MOUSE54686	DANRE43403
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	DANRE15829, DANRE07077
OG0000015	MOUSE03176	DANRE07037, DANRE07036, DANRE03906, DANRE05961
OG0000015	MOUSE35079	DANRE41277, DANRE41276
OG0000015	MOUSE03220, MOUSE03221	DANRE06610
OG0000015	MOUSE36410, MOUSE44503	DANRE36520
OG0000015	MOUSE44502, MOUSE44501, MOUSE44500	DANRE20233, DANRE20234, DANRE04836, DANRE04835
OG0000015	MOUSE32201, MOUSE32200	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306
OG0000015	MOUSE32202	DANRE17304, DANRE17305
OG0000015	MOUSE16093	DANRE24410, DANRE01122, DANRE24409
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209	DANRE20436, DANRE20437, DANRE20438
OG0000015	MOUSE36400, MOUSE36401	DANRE04834, DANRE04833
OG0000015	MOUSE44497	DANRE36515
OG0000015	MOUSE36402	DANRE04832, DANRE04831
OG0000015	MOUSE03212, MOUSE03211	DANRE20439, DANRE20441, DANRE20440
OG0000015	MOUSE54208, MOUSE54207	DANRE20520
OG0000015	MOUSE44499	DANRE36517, DANRE36516
OG0000015	MOUSE36407, MOUSE36406	DANRE06176
OG0000015	MOUSE03217, MOUSE03218, MOUSE03219	DANRE20442
OG0000015	MOUSE55359	DANRE42903, DANRE42902
OG0000015	MOUSE54956	DANRE07145, DANRE07146, DANRE07144
OG0000015	MOUSE48246	DANRE16271
OG0000015	MOUSE03594, MOUSE03595, MOUSE03596	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	MOUSE48959, MOUSE48960	DANRE38616
OG0000016	MOUSE15414	DANRE13366
OG0000016	MOUSE15161, MOUSE15160	DANRE29900
OG0000016	MOUSE44326	DANRE29901, DANRE29903, DANRE29904, DANRE35774
OG0000016	MOUSE05122, MOUSE05123	DANRE03065, DANRE03064
OG0000016	MOUSE21130	DANRE04448
OG0000016	MOUSE13078, MOUSE13077	DANRE35611
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	DANRE02012
OG0000016	MOUSE44334	DANRE13447
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938	DANRE31212, DANRE31213, DANRE31211
OG0000016	MOUSE44332	DANRE25754
OG0000016	MOUSE44335	DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000019	MOUSE14689, MOUSE14688	DANRE39715
OG0000019	MOUSE35478	DANRE21112
OG0000019	MOUSE04790	DANRE29948
OG0000019	MOUSE04791	DANRE29945, DANRE29947
OG0000019	MOUSE22639, MOUSE22640	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	MOUSE39911	DANRE03458
OG0000020	MOUSE05499, MOUSE05500	DANRE10827, DANRE10826, DANRE10743
OG0000020	MOUSE07164	DANRE10670
OG0000020	MOUSE23587, MOUSE23586	DANRE40536
OG0000020	MOUSE13612	DANRE14742, DANRE09733
OG0000020	MOUSE06637, MOUSE06636	DANRE18650, DANRE10748
OG0000020	MOUSE34933	DANRE23011
OG0000020	MOUSE26371	DANRE42755
OG0000020	MOUSE15405	DANRE24424, DANRE24423, DANRE27995
OG0000020	MOUSE15402	DANRE27624, DANRE27625
OG0000020	MOUSE24012	DANRE27431, DANRE27432, DANRE27433
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807	DANRE06741, DANRE06740
OG0000020	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	DANRE15747
OG0000020	MOUSE35162	DANRE22958, DANRE22959
OG0000020	MOUSE09601, MOUSE09602	DANRE06663, DANRE06664
OG0000020	MOUSE48313, MOUSE48314	DANRE15816
OG0000020	MOUSE37001, MOUSE37002	DANRE18984
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	DANRE27379
OG0000021	MOUSE41024, MOUSE41023	DANRE01661, DANRE22424
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	DANRE39795, DANRE39796
OG0000021	MOUSE40749	DANRE39722, DANRE22090
OG0000021	MOUSE41281	DANRE24996
OG0000021	MOUSE41022	DANRE01663, DANRE01662
OG0000021	MOUSE49041	DANRE38577
OG0000021	MOUSE09998	DANRE08977, DANRE08978, DANRE08976
OG0000021	MOUSE04592	DANRE08348
OG0000021	MOUSE44445	DANRE37717
OG0000021	MOUSE53773	DANRE02277
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	DANRE27401, DANRE27403, DANRE27400
OG0000021	MOUSE19587	DANRE20108
OG0000023	MOUSE01124	DANRE19492, DANRE40604
OG0000023	MOUSE12258, MOUSE12260	DANRE27752, DANRE38057
OG0000023	MOUSE49191	DANRE39283, DANRE25540
OG0000023	MOUSE28391	DANRE36925
OG0000023	MOUSE32112, MOUSE32114	DANRE26382, DANRE26381
OG0000023	MOUSE38000	DANRE19476, DANRE19477
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	DANRE07548, DANRE07547
OG0000023	MOUSE02558, MOUSE02557	DANRE01757
OG0000023	MOUSE50078	DANRE08271, DANRE08272, DANRE08270, DANRE08269
OG0000023	MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074	DANRE01246
OG0000023	MOUSE50063	DANRE08566, DANRE08567
OG0000023	MOUSE49035	DANRE38580
OG0000023	MOUSE28744	DANRE40368
OG0000026	MOUSE34507	DANRE36265
OG0000026	MOUSE12605	DANRE42258
OG0000027	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836	DANRE39144
OG0000027	MOUSE44283, MOUSE44284, MOUSE44285	DANRE10366, DANRE03058, DANRE03059, DANRE03061
OG0000027	MOUSE00444, MOUSE00443	DANRE29465
OG0000027	MOUSE18379, MOUSE18380	DANRE03471, DANRE22990, DANRE22989
OG0000027	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	MOUSE18678, MOUSE18679	DANRE02909
OG0000028	MOUSE36324, MOUSE36325	DANRE15903
OG0000028	MOUSE45380	DANRE08736, DANRE08737, DANRE20375
OG0000028	MOUSE30414, MOUSE30413	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601
OG0000028	MOUSE51349	DANRE13468
OG0000028	MOUSE51347, MOUSE51348	DANRE13469, DANRE13470
OG0000028	MOUSE47957	DANRE15855
OG0000028	MOUSE12712	DANRE10772, DANRE17755, DANRE17756
OG0000028	MOUSE29157, MOUSE29159	DANRE02083
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955	DANRE07180, DANRE07179, DANRE15853
OG0000028	MOUSE26458	DANRE35763
OG0000028	MOUSE44525	DANRE39088, DANRE39089, DANRE24974
OG0000029	MOUSE43115, MOUSE43116	DANRE22154
OG0000029	MOUSE45127, MOUSE48617	DANRE39912, DANRE39910, DANRE39911, DANRE39909
OG0000029	MOUSE49324, MOUSE49325	DANRE12668, DANRE12669
OG0000029	MOUSE22849, MOUSE22848	DANRE40256, DANRE22155
OG0000029	MOUSE02995	DANRE11325, DANRE16818, DANRE16817
OG0000029	MOUSE17544	DANRE41268, DANRE41269
OG0000029	MOUSE15400	DANRE26531, DANRE01944
OG0000029	MOUSE26337	DANRE42782
OG0000029	MOUSE23727	DANRE21814
OG0000029	MOUSE29998, MOUSE16471	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	DANRE34589, DANRE34588
OG0000030	MOUSE30488	DANRE14546, DANRE09884, DANRE09883
OG0000030	MOUSE32434, MOUSE32431, MOUSE32432	DANRE34902
OG0000030	MOUSE55035	DANRE38993
OG0000030	MOUSE41811, MOUSE41812	DANRE03619
OG0000030	MOUSE21340	DANRE03978
OG0000031	MOUSE55187	DANRE20274, DANRE20275, DANRE20273
OG0000031	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530	DANRE20694
OG0000031	MOUSE26385	DANRE41496
OG0000031	MOUSE14840	DANRE37079
OG0000031	MOUSE26448	DANRE41454
OG0000031	MOUSE08530	DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	MOUSE05256	DANRE17238
OG0000031	MOUSE08528, MOUSE08527	DANRE13622, DANRE13623
OG0000031	MOUSE44529	DANRE26019
OG0000031	MOUSE20731	DANRE33954
OG0000031	MOUSE39309, MOUSE01505	DANRE35637, DANRE11621
OG0000031	MOUSE40720	DANRE23382
OG0000031	MOUSE13006, MOUSE13005	DANRE16190, DANRE42316
OG0000031	MOUSE48656	DANRE27399, DANRE21472, DANRE14252
OG0000031	MOUSE36274, MOUSE36271	DANRE15746
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338	DANRE42215, DANRE15380, DANRE42216
OG0000031	MOUSE08579	DANRE28106, DANRE23847, DANRE23848
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	DANRE24196, DANRE27892, DANRE27891
OG0000032	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903	DANRE30726, DANRE30725
OG0000032	MOUSE41905, MOUSE41904	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201
OG0000032	MOUSE52411, MOUSE52410	DANRE36261
OG0000032	MOUSE45189, MOUSE45190, MOUSE45188	DANRE20344, DANRE20343
OG0000032	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	DANRE12884, DANRE39037
OG0000032	MOUSE29123	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	MOUSE46353, MOUSE46347	DANRE28945, DANRE28944
OG0000034	MOUSE04536	DANRE35039, DANRE35040
OG0000034	MOUSE19996	DANRE39926
OG0000034	MOUSE37608	DANRE00143, DANRE39455
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	DANRE35041
OG0000034	MOUSE43921	DANRE29516, DANRE29515
OG0000034	MOUSE45737	DANRE12957, DANRE25460
OG0000034	MOUSE14480	DANRE31029, DANRE31030
OG0000034	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	DANRE23009, DANRE23010, DANRE02357
OG0000034	MOUSE23594	DANRE37022, DANRE22465
OG0000034	MOUSE02137	DANRE31461, DANRE31460, DANRE12388, DANRE12387
OG0000034	MOUSE47177, MOUSE47178, MOUSE47176	DANRE25947
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288	DANRE14484, DANRE09880
OG0000034	MOUSE19105	DANRE38036
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	MOUSE11491, MOUSE11490	DANRE04100
OG0000034	MOUSE20059	DANRE25182
OG0000035	MOUSE02570, MOUSE02571	DANRE23313
OG0000035	MOUSE51376, MOUSE51375	DANRE38347, DANRE12928, DANRE12929
OG0000035	MOUSE51377	DANRE27654
OG0000035	MOUSE41545	DANRE31052
OG0000035	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	DANRE25078, DANRE12998, DANRE12997
OG0000035	MOUSE47097	DANRE13480, DANRE13479
OG0000035	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	DANRE12467, DANRE12466, DANRE30988
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974	DANRE36852, DANRE22281
OG0000035	MOUSE47243, MOUSE47244, MOUSE47242	DANRE12942, DANRE38472
OG0000035	MOUSE41507	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	DANRE12947, DANRE38221
OG0000035	MOUSE27104	DANRE38222, DANRE38223, DANRE12948
OG0000036	MOUSE12248	DANRE37867
OG0000036	MOUSE49436	DANRE38271
OG0000036	MOUSE49768	DANRE25335
OG0000036	MOUSE12301	DANRE27775, DANRE38068
OG0000036	MOUSE43707, MOUSE43706, MOUSE43708	DANRE26145, DANRE38623
OG0000036	MOUSE29724, MOUSE29725	DANRE07186
OG0000036	MOUSE06658, MOUSE06659	DANRE11991
OG0000036	MOUSE43723	DANRE38630
OG0000037	MOUSE10992	DANRE11959, DANRE17549, DANRE11958
OG0000037	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745	DANRE11635, DANRE11634, DANRE17282
OG0000037	MOUSE07837, MOUSE07836, MOUSE07835	DANRE17582, DANRE10717, DANRE10716
OG0000037	MOUSE20306	DANRE06286, DANRE06287
OG0000037	MOUSE49952, MOUSE49951	DANRE03950, DANRE03951, DANRE05592, DANRE05591
OG0000037	MOUSE20178	DANRE37805, DANRE37804
OG0000037	MOUSE43378	DANRE13383
OG0000037	MOUSE28645, MOUSE28646	DANRE22289, DANRE22290
OG0000037	MOUSE13720	DANRE13745
OG0000037	MOUSE35631	DANRE11904, DANRE17607
OG0000037	MOUSE21441	DANRE11315
OG0000038	MOUSE14647	DANRE23404, DANRE23403
OG0000038	MOUSE14645	DANRE23402
OG0000038	MOUSE22591, MOUSE22592	DANRE15348
OG0000039	MOUSE24093	DANRE18250, DANRE18249
OG0000039	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091	DANRE18251
OG0000039	MOUSE24088	DANRE18253, DANRE18252
OG0000039	MOUSE32704	DANRE38069, DANRE38070
OG0000040	MOUSE39434, MOUSE39435, MOUSE39433	DANRE12493, DANRE12492
OG0000040	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748	DANRE30036
