Orthogroup	MOUSE	YEAST
OG0000127	MOUSE55437, MOUSE04059, MOUSE47545, MOUSE54139, MOUSE29572, MOUSE52357, MOUSE52358, MOUSE13075, MOUSE09031, MOUSE06835, MOUSE28216, MOUSE12652, MOUSE29242, MOUSE21486, MOUSE21487, MOUSE17076, MOUSE17077, MOUSE17078, MOUSE14094, MOUSE06008	YEAST06208
OG0000128	MOUSE15660, MOUSE15661	YEAST03441, YEAST01398, YEAST05967, YEAST05716
OG0000132	MOUSE08918, MOUSE08909, MOUSE21284, MOUSE08828, MOUSE08927, MOUSE08921, MOUSE08935, MOUSE14073	YEAST06016
OG0000137	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323, MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196, MOUSE06337, MOUSE06338, MOUSE18094, MOUSE18096, MOUSE18095	YEAST01851, YEAST00637
OG0000142	MOUSE49876, MOUSE19688, MOUSE17834, MOUSE25278, MOUSE18488, MOUSE17833, MOUSE09112, MOUSE09113, MOUSE28967	YEAST02122
OG0000158	MOUSE24209, MOUSE24207, MOUSE21505, MOUSE29248, MOUSE23738, MOUSE23741, MOUSE23747, MOUSE23838, MOUSE23840, MOUSE23844, MOUSE24208, MOUSE24206, MOUSE32827, MOUSE32828, MOUSE23739, MOUSE23737, MOUSE23748, MOUSE23740, MOUSE29251, MOUSE29249, MOUSE29250, MOUSE29247, MOUSE00038, MOUSE00039, MOUSE00040, MOUSE21506, MOUSE21503, MOUSE21502, MOUSE21504, MOUSE46608, MOUSE46610, MOUSE46609	YEAST05568
OG0000160	MOUSE28371, MOUSE28372, MOUSE28373, MOUSE01089, MOUSE01088, MOUSE01087, MOUSE01081	YEAST04194
OG0000175	MOUSE37007, MOUSE37008, MOUSE37004, MOUSE37005, MOUSE37006, MOUSE21629, MOUSE32004, MOUSE32003, MOUSE34702, MOUSE34703, MOUSE34704, MOUSE34706, MOUSE34705	YEAST00850, YEAST04327
OG0000179	MOUSE02858, MOUSE18997, MOUSE02856, MOUSE11162	YEAST01123, YEAST04430
OG0000179	MOUSE19509, MOUSE51773	YEAST02911, YEAST01281
OG0000179	MOUSE30037	YEAST04108, YEAST03346
OG0000181	MOUSE14627, MOUSE03706, MOUSE05783, MOUSE39163, MOUSE11210, MOUSE11208, MOUSE12600, MOUSE29996, MOUSE07217	YEAST00824, YEAST00771
OG0000186	MOUSE42683, MOUSE08549, MOUSE07875, MOUSE07874, MOUSE18796, MOUSE42682, MOUSE08548	YEAST00336
OG0000194	MOUSE29883, MOUSE29879, MOUSE29880, MOUSE29881, MOUSE29882, MOUSE29432, MOUSE29433, MOUSE29431, MOUSE34698, MOUSE34700, MOUSE34701, MOUSE34699, MOUSE34696, MOUSE34697, MOUSE34695	YEAST01410
OG0000195	MOUSE52235, MOUSE52236, MOUSE52239, MOUSE52237, MOUSE52242, MOUSE52243, MOUSE52241, MOUSE04098, MOUSE04099, MOUSE52244, MOUSE52238, MOUSE52240	YEAST03414
OG0000211	MOUSE51114, MOUSE51115, MOUSE28046, MOUSE10073, MOUSE10072, MOUSE44580, MOUSE44581, MOUSE44579, MOUSE20694, MOUSE20693, MOUSE01466, MOUSE44832, MOUSE44578	YEAST04964
OG0000221	MOUSE22515, MOUSE22518, MOUSE22513, MOUSE22517, MOUSE22516, MOUSE22514, MOUSE53204, MOUSE53205, MOUSE53203, MOUSE05742, MOUSE05741, MOUSE29915, MOUSE29913, MOUSE29916, MOUSE29920, MOUSE29914, MOUSE29919, MOUSE29918, MOUSE29912, MOUSE29917, MOUSE35058, MOUSE35056, MOUSE35053, MOUSE35051, MOUSE35055, MOUSE35054, MOUSE22156, MOUSE18361, MOUSE41877	YEAST05872
OG0000222	MOUSE34451, MOUSE34452, MOUSE34453, MOUSE34454, MOUSE22872, MOUSE22873, MOUSE22874	YEAST01460
OG0000225	MOUSE06880, MOUSE06881, MOUSE06882, MOUSE06888, MOUSE23452, MOUSE23453, MOUSE23451, MOUSE52882, MOUSE52881, MOUSE52880, MOUSE35428, MOUSE35429, MOUSE35426, MOUSE35427, MOUSE02372, MOUSE02371, MOUSE32095, MOUSE37168, MOUSE37169, MOUSE37170, MOUSE19594, MOUSE19593, MOUSE19595, MOUSE52883	YEAST06146
OG0000227	MOUSE48942, MOUSE01608, MOUSE22121, MOUSE22120, MOUSE01605, MOUSE01607, MOUSE01606, MOUSE51778, MOUSE15731, MOUSE48941, MOUSE48940, MOUSE48939, MOUSE09066, MOUSE28250	YEAST05815
OG0000228	MOUSE04514, MOUSE26663, MOUSE04513, MOUSE04516, MOUSE04515, MOUSE26665, MOUSE26664, MOUSE26662, MOUSE26668, MOUSE26670, MOUSE26669, MOUSE26671	YEAST04750
OG0000233	MOUSE32454, MOUSE32453	YEAST03726, YEAST03241, YEAST03242
OG0000238	MOUSE46195, MOUSE46196, MOUSE39882, MOUSE14681, MOUSE14680, MOUSE14679, MOUSE02481, MOUSE19005	YEAST06340, YEAST03834
OG0000240	MOUSE01107, MOUSE01112, MOUSE01108, MOUSE01109, MOUSE01110, MOUSE01106, MOUSE01103, MOUSE01105, MOUSE01104, MOUSE01111, MOUSE01114, MOUSE01115, MOUSE01113	YEAST03827
OG0000242	MOUSE21781, MOUSE41838, MOUSE41839, MOUSE02203, MOUSE02202, MOUSE26960, MOUSE26962, MOUSE26961, MOUSE42234, MOUSE21780, MOUSE21779, MOUSE35398	YEAST00734
OG0000246	MOUSE44244, MOUSE44246, MOUSE44245	YEAST01746, YEAST01747
OG0000250	MOUSE41924, MOUSE44836, MOUSE44838, MOUSE44837, MOUSE06159, MOUSE06158, MOUSE06161, MOUSE06160, MOUSE47989, MOUSE47988, MOUSE41925, MOUSE41926, MOUSE41921, MOUSE41920, MOUSE41923, MOUSE41922	YEAST04716
OG0000255	MOUSE55667, MOUSE27280, MOUSE27279	YEAST02822
OG0000256	MOUSE25569, MOUSE48599, MOUSE19546, MOUSE27729, MOUSE27728, MOUSE30485, MOUSE30484	YEAST00266
OG0000258	MOUSE05945, MOUSE42102, MOUSE42101, MOUSE05944, MOUSE46166, MOUSE46165, MOUSE42103, MOUSE11272, MOUSE11273, MOUSE11274, MOUSE11276, MOUSE11275, MOUSE11271, MOUSE24985, MOUSE24984, MOUSE07336, MOUSE18772	YEAST00118
OG0000260	MOUSE46803, MOUSE07000, MOUSE06999, MOUSE52627, MOUSE52624, MOUSE52625, MOUSE12750, MOUSE46802, MOUSE03191, MOUSE46801, MOUSE03189, MOUSE03190, MOUSE03188, MOUSE52628	YEAST04323
OG0000265	MOUSE15187, MOUSE15189, MOUSE15188	YEAST03885, YEAST03714
OG0000272	MOUSE04533, MOUSE06800, MOUSE06802, MOUSE06801, MOUSE34249, MOUSE13424, MOUSE28648, MOUSE38225, MOUSE35816	YEAST02076, YEAST01066
OG0000273	MOUSE48517	YEAST05751
OG0000278	MOUSE03879, MOUSE37958	YEAST03847
OG0000278	MOUSE48469, MOUSE32002, MOUSE19188	YEAST03806
OG0000278	MOUSE03084	YEAST04060
OG0000278	MOUSE12425	YEAST01107
OG0000284	MOUSE31918, MOUSE17694, MOUSE17693, MOUSE50359, MOUSE50358, MOUSE50357, MOUSE50360, MOUSE50361, MOUSE31385, MOUSE32647, MOUSE32649, MOUSE32646, MOUSE32648, MOUSE32650	YEAST05621
OG0000289	MOUSE09225, MOUSE09226, MOUSE52041, MOUSE52040, MOUSE52039, MOUSE33710, MOUSE33709, MOUSE10526, MOUSE10525, MOUSE52131, MOUSE52130	YEAST00645
OG0000305	MOUSE02286, MOUSE02288, MOUSE02287, MOUSE35196, MOUSE35195, MOUSE35197, MOUSE35194, MOUSE13890, MOUSE22497, MOUSE22496, MOUSE14678	YEAST04899
OG0000308	MOUSE35252, MOUSE35253, MOUSE26283, MOUSE43439, MOUSE43438, MOUSE49040, MOUSE34117, MOUSE10045, MOUSE10046	YEAST02548
OG0000310	MOUSE53718, MOUSE53719, MOUSE53716, MOUSE53717	YEAST02635
OG0000312	MOUSE51863, MOUSE10438, MOUSE10436, MOUSE10437, MOUSE53493, MOUSE29611, MOUSE29612, MOUSE29610, MOUSE29795, MOUSE29796	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	MOUSE48211, MOUSE47522, MOUSE47523, MOUSE47520, MOUSE47521, MOUSE23145, MOUSE23143, MOUSE41458, MOUSE41457, MOUSE41459	YEAST05106
OG0000315	MOUSE35599	YEAST03248
OG0000315	MOUSE32256	YEAST01921, YEAST01710
OG0000315	MOUSE45241	YEAST04684
OG0000316	MOUSE26249, MOUSE41114, MOUSE41110, MOUSE41112, MOUSE41116, MOUSE41118, MOUSE41111, MOUSE48331, MOUSE48332, MOUSE48333, MOUSE48330, MOUSE48328, MOUSE48329, MOUSE19532, MOUSE19533, MOUSE17505, MOUSE17506, MOUSE17507, MOUSE17503, MOUSE17508, MOUSE17501, MOUSE17502, MOUSE17504, MOUSE41113, MOUSE41117	YEAST01673
OG0000317	MOUSE25702, MOUSE33849, MOUSE06717, MOUSE33847, MOUSE06771, MOUSE34034, MOUSE34033, MOUSE13434, MOUSE13435, MOUSE13437, MOUSE13436, MOUSE06772, MOUSE34035	YEAST01356
OG0000321	MOUSE33356, MOUSE33355, MOUSE20802, MOUSE20804, MOUSE20805, MOUSE14981, MOUSE14980, MOUSE13117, MOUSE52229, MOUSE54119, MOUSE54122, MOUSE54120, MOUSE54121, MOUSE13116, MOUSE52234, MOUSE52233, MOUSE52230, MOUSE52231, MOUSE52232, MOUSE33354, MOUSE20803	YEAST03264
OG0000323	MOUSE50372, MOUSE49692, MOUSE29628, MOUSE29626, MOUSE29627, MOUSE30410, MOUSE30411, MOUSE30408, MOUSE30409, MOUSE30412, MOUSE08592, MOUSE08593, MOUSE01184, MOUSE01183	YEAST02249
OG0000326	MOUSE34983, MOUSE34981, MOUSE29939, MOUSE04029, MOUSE34982, MOUSE34984, MOUSE34985	YEAST06268, YEAST05286
OG0000326	MOUSE34523	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	MOUSE31111, MOUSE31110, MOUSE31114, MOUSE31112, MOUSE31109, MOUSE31107, MOUSE31115, MOUSE23563, MOUSE23562, MOUSE23566, MOUSE23567, MOUSE23568, MOUSE23564, MOUSE23565, MOUSE31104, MOUSE31103, MOUSE31113	YEAST01354
OG0000334	MOUSE13160, MOUSE02815, MOUSE02813, MOUSE02814, MOUSE45699, MOUSE45700, MOUSE45698	YEAST05626
OG0000338	MOUSE04991, MOUSE04988, MOUSE04987, MOUSE04990, MOUSE04992, MOUSE04989, MOUSE15354, MOUSE46432, MOUSE46431, MOUSE46433, MOUSE23117, MOUSE23120, MOUSE23116, MOUSE23114, MOUSE23113, MOUSE23111, MOUSE23115	YEAST02967
OG0000338	MOUSE50497, MOUSE50498	YEAST04211
OG0000343	MOUSE52159, MOUSE52158, MOUSE52157, MOUSE52156, MOUSE52160, MOUSE45023, MOUSE45020, MOUSE45019, MOUSE45017, MOUSE45022, MOUSE45018, MOUSE45025, MOUSE45024, MOUSE45021	YEAST03024, YEAST02736
OG0000345	MOUSE03550, MOUSE48176, MOUSE21345, MOUSE03544, MOUSE03543, MOUSE03545, MOUSE03542, MOUSE03547, MOUSE03549, MOUSE03548, MOUSE03546, MOUSE03540, MOUSE03541, MOUSE48175, MOUSE48171, MOUSE21343	YEAST01884
OG0000352	MOUSE20799, MOUSE20798, MOUSE20800, MOUSE18465, MOUSE18464, MOUSE48828, MOUSE48827, MOUSE00653, MOUSE00652, MOUSE00651, MOUSE00650, MOUSE01779, MOUSE01780, MOUSE01778	YEAST04069
OG0000357	MOUSE20055, MOUSE20054, MOUSE20050, MOUSE37778, MOUSE37783, MOUSE37784, MOUSE37779, MOUSE37781, MOUSE37782, MOUSE37777, MOUSE37776, MOUSE20051, MOUSE46513, MOUSE46514, MOUSE46515, MOUSE46511, MOUSE39437, MOUSE55151, MOUSE09345, MOUSE17463, MOUSE55149, MOUSE55148, MOUSE55147, MOUSE55152, MOUSE55150, MOUSE55146	YEAST01925
OG0000359	MOUSE49669, MOUSE49668, MOUSE46110, MOUSE30916, MOUSE30917, MOUSE30918, MOUSE30920, MOUSE30921, MOUSE30914, MOUSE30913, MOUSE30911, MOUSE30915, MOUSE30919, MOUSE30912, MOUSE46527, MOUSE46525, MOUSE54214	YEAST02489
OG0000363	MOUSE49901, MOUSE17584, MOUSE17582, MOUSE17583, MOUSE37872, MOUSE17587	YEAST04081, YEAST05870
OG0000365	MOUSE51118, MOUSE51117, MOUSE24387, MOUSE24386, MOUSE15939, MOUSE01411, MOUSE01410, MOUSE31382, MOUSE31380, MOUSE31381, MOUSE50452, MOUSE50454, MOUSE50451, MOUSE50453	YEAST05831
OG0000367	MOUSE40630, MOUSE24961, MOUSE24960, MOUSE40629, MOUSE53593, MOUSE29122, MOUSE18961, MOUSE12636, MOUSE12635, MOUSE12634	YEAST02141, YEAST03746, YEAST03210
OG0000372	MOUSE31597, MOUSE34480, MOUSE34479, MOUSE34478, MOUSE03497, MOUSE03494, MOUSE03493, MOUSE03495, MOUSE03496, MOUSE28281, MOUSE06545, MOUSE06546, MOUSE31598	YEAST05988
OG0000373	MOUSE37700, MOUSE37699, MOUSE37702, MOUSE37701, MOUSE20030, MOUSE35785	YEAST02023
OG0000380	MOUSE30109, MOUSE13837, MOUSE39986, MOUSE50110, MOUSE13767, MOUSE20196, MOUSE27917	YEAST01047
OG0000385	MOUSE26354, MOUSE26353, MOUSE35288, MOUSE35289, MOUSE35284, MOUSE35286, MOUSE08532	YEAST03496
OG0000393	MOUSE37529, MOUSE37530, MOUSE37528, MOUSE41790, MOUSE12782	YEAST04072, YEAST04071
OG0000393	MOUSE06185	YEAST01302
OG0000397	MOUSE35971, MOUSE40375, MOUSE35972, MOUSE35970, MOUSE46687, MOUSE47841, MOUSE40376, MOUSE40377, MOUSE40374, MOUSE40371, MOUSE40373, MOUSE40372	YEAST05080
OG0000399	MOUSE07411, MOUSE07410, MOUSE07412, MOUSE07413, MOUSE07409, MOUSE30468, MOUSE06544, MOUSE30469, MOUSE51796, MOUSE48644	YEAST02160
OG0000400	MOUSE32133, MOUSE32134, MOUSE28876	YEAST05911
OG0000402	MOUSE39022, MOUSE48026, MOUSE20939, MOUSE29094, MOUSE12311	YEAST01657, YEAST01929
OG0000405	MOUSE30202, MOUSE30201, MOUSE30203, MOUSE30204, MOUSE44618, MOUSE44617, MOUSE44620, MOUSE44616, MOUSE44621, MOUSE10163, MOUSE10157, MOUSE10159, MOUSE10167, MOUSE10169, MOUSE10166, MOUSE10165, MOUSE10144, MOUSE10148, MOUSE10161, MOUSE10149, MOUSE10145, MOUSE10152, MOUSE10153, MOUSE10155, MOUSE10156, MOUSE10168, MOUSE10162, MOUSE10164, MOUSE10151, MOUSE10158, MOUSE10150, MOUSE10160, MOUSE44619, MOUSE10154	YEAST06055, YEAST00411
OG0000412	MOUSE11434	YEAST00099
OG0000412	MOUSE25647, MOUSE11433, MOUSE11432, MOUSE25648, MOUSE25646	YEAST04469
OG0000413	MOUSE55055, MOUSE27417, MOUSE28007, MOUSE43292	YEAST04905, YEAST05340
OG0000413	MOUSE15629, MOUSE45112, MOUSE55054, MOUSE55052, MOUSE55053, MOUSE55057, MOUSE55056, MOUSE45114, MOUSE45113	YEAST02838
OG0000419	MOUSE47174, MOUSE47175, MOUSE47172, MOUSE47173, MOUSE43962, MOUSE23530, MOUSE20494, MOUSE31143, MOUSE23445, MOUSE23446, MOUSE23531	YEAST05989
OG0000420	MOUSE29776, MOUSE29772, MOUSE29773, MOUSE29774, MOUSE29775, MOUSE09584, MOUSE09585	YEAST03886
OG0000424	MOUSE20885, MOUSE20880, MOUSE20881, MOUSE20883, MOUSE20884, MOUSE20882, MOUSE20886, MOUSE20893, MOUSE20892, MOUSE20890, MOUSE20889, MOUSE20888, MOUSE20895, MOUSE20903, MOUSE20891	YEAST03563
OG0000426	MOUSE03252, MOUSE03251	YEAST03440
OG0000426	MOUSE03838	YEAST01121
OG0000427	MOUSE45881, MOUSE45880, MOUSE45878, MOUSE45877, MOUSE45879, MOUSE34466, MOUSE34463, MOUSE34462, MOUSE34461, MOUSE34464, MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448, MOUSE45882	YEAST02655, YEAST02439
OG0000429	MOUSE10868, MOUSE10869, MOUSE06190, MOUSE06189, MOUSE06191	YEAST02285
OG0000431	MOUSE46075, MOUSE46076, MOUSE46077, MOUSE36473, MOUSE36474, MOUSE36472, MOUSE50061, MOUSE50060, MOUSE50062, MOUSE29578, MOUSE29583, MOUSE29582, MOUSE29579, MOUSE09376, MOUSE47610, MOUSE47606, MOUSE47605, MOUSE47607, MOUSE29585, MOUSE29586, MOUSE29581, MOUSE29580, MOUSE47609, MOUSE47608, MOUSE29584	YEAST04014
OG0000433	MOUSE06145, MOUSE06147, MOUSE03778, MOUSE03779, MOUSE06148, MOUSE06149, MOUSE06150, MOUSE06146, MOUSE06151, MOUSE15809, MOUSE00110, MOUSE00111, MOUSE00113, MOUSE00112, MOUSE15808, MOUSE15805, MOUSE15807, MOUSE15806, MOUSE15804	YEAST06177, YEAST00117
