Orthogroup	MOUSE	HELIO_ok
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	HELIO_12487
OG0000034	MOUSE11491, MOUSE11490	HELIO_11629
OG0000035	MOUSE02570, MOUSE02571	HELIO_04621
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	HELIO_12501
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	HELIO_03534
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	HELIO_07811, HELIO_06366
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	HELIO_00732, HELIO_11539
OG0000035	MOUSE27104	HELIO_04984
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	MOUSE29724, MOUSE29725	HELIO_07711
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	HELIO_01421
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	HELIO_01377
OG0000037	MOUSE21441	HELIO_04770
OG0000039	MOUSE32704	HELIO_01180
OG0000039	MOUSE23387	HELIO_00133
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000044	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	HELIO_05461
OG0000044	MOUSE38798	HELIO_08837
OG0000045	MOUSE17353, MOUSE07193	HELIO_01585
OG0000046	MOUSE48114, MOUSE48113	HELIO_08475
OG0000048	MOUSE55730	HELIO_10223
OG0000048	MOUSE42201, MOUSE42202	HELIO_11655
OG0000048	MOUSE06701	HELIO_08708
OG0000048	MOUSE42203	HELIO_11103
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	HELIO_05605
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	HELIO_11965, HELIO_05090, HELIO_05789
OG0000054	MOUSE48109	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	MOUSE52879	HELIO_02100
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	HELIO_05303
OG0000056	MOUSE37995, MOUSE37994	HELIO_03513
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	HELIO_05858
OG0000058	MOUSE40444	HELIO_04764
OG0000059	MOUSE52262, MOUSE52259, MOUSE52258	HELIO_08348
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	HELIO_07693, HELIO_05488
OG0000060	MOUSE52080, MOUSE52079	HELIO_02035
OG0000060	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	HELIO_12113
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	HELIO_11204
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	MOUSE52081	HELIO_06316
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	HELIO_10147
OG0000063	MOUSE10885, MOUSE10881	HELIO_12629
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	HELIO_04155
OG0000066	MOUSE53763	HELIO_11387
OG0000067	MOUSE19580, MOUSE31455	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000068	MOUSE02010	HELIO_09524, HELIO_08964
OG0000069	MOUSE30824	HELIO_11698
OG0000069	MOUSE24596	HELIO_03190
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	HELIO_05270
OG0000070	MOUSE01400, MOUSE01399	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	MOUSE30088, MOUSE45691	HELIO_09782
OG0000072	MOUSE29660	HELIO_10131
OG0000072	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772	HELIO_05118, HELIO_10379
OG0000073	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163	HELIO_07437
OG0000074	MOUSE01754, MOUSE40707	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000074	MOUSE27442, MOUSE27441	HELIO_06403
OG0000074	MOUSE43699, MOUSE19006	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885
OG0000075	MOUSE05779, MOUSE03707	HELIO_02705
OG0000075	MOUSE22546	HELIO_12175
OG0000075	MOUSE14633	HELIO_01007
OG0000075	MOUSE34423	HELIO_07086
OG0000075	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630	HELIO_01193
OG0000075	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239	HELIO_09567
OG0000075	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742	HELIO_05177
OG0000075	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109	HELIO_00684
OG0000077	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727	HELIO_05657
OG0000077	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502	HELIO_00295
OG0000077	MOUSE20922, MOUSE20923, MOUSE20925, MOUSE20926, MOUSE20924	HELIO_12145
OG0000078	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	HELIO_01794, HELIO_05740
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479	HELIO_00549
OG0000079	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929	HELIO_01744, HELIO_07509
OG0000081	MOUSE21429, MOUSE21428, MOUSE21430	HELIO_00244
OG0000082	MOUSE25920	HELIO_12249
OG0000082	MOUSE19184	HELIO_08556
OG0000082	MOUSE50879	HELIO_05158
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	HELIO_02405
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	HELIO_05344
OG0000085	MOUSE16592, MOUSE16590	HELIO_11582
OG0000087	MOUSE04044, MOUSE04045	HELIO_02847, HELIO_02846
OG0000087	MOUSE24629, MOUSE24631	HELIO_09425
OG0000087	MOUSE11362	HELIO_00773
OG0000087	MOUSE11213	HELIO_06633
OG0000087	MOUSE46080, MOUSE46081	HELIO_01983
OG0000087	MOUSE46082	HELIO_04560, HELIO_06411, HELIO_07580
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169	HELIO_06684, HELIO_10658
OG0000089	MOUSE55271	HELIO_05968, HELIO_04877, HELIO_00224, HELIO_05928
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	HELIO_12415
OG0000090	MOUSE32571, MOUSE32572	HELIO_03859, HELIO_12616
OG0000091	MOUSE19668, MOUSE19669	HELIO_06609
OG0000093	MOUSE16619, MOUSE35368, MOUSE35369, MOUSE52764, MOUSE52765	HELIO_04928, HELIO_06889
OG0000094	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508	HELIO_07015
OG0000094	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850	HELIO_03878
OG0000095	MOUSE21579	HELIO_07611
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900	HELIO_07466
OG0000096	MOUSE31085, MOUSE31087, MOUSE02247	HELIO_03681
OG0000096	MOUSE35516	HELIO_03321
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	HELIO_06897
OG0000096	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996	HELIO_03947
OG0000096	MOUSE52337, MOUSE52338	HELIO_09595
OG0000098	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240	HELIO_07543
OG0000098	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729	HELIO_00467, HELIO_11416
OG0000099	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207	HELIO_00318, HELIO_06995
OG0000101	MOUSE49370, MOUSE49670	HELIO_03317
OG0000101	MOUSE15611, MOUSE15612	HELIO_11521
OG0000101	MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	MOUSE08156, MOUSE08155, MOUSE24799, MOUSE24798	HELIO_08564
OG0000103	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384	HELIO_03996
OG0000103	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014	HELIO_12543
OG0000104	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436	HELIO_04946
OG0000104	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642	HELIO_03807
OG0000104	MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576	HELIO_05172
OG0000104	MOUSE16174	HELIO_02282
OG0000104	MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764	HELIO_00006
OG0000106	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355	HELIO_02364
OG0000106	MOUSE32021	HELIO_07474
OG0000106	MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788	HELIO_05614, HELIO_10877
OG0000107	MOUSE41813	HELIO_04878
OG0000109	MOUSE33717	HELIO_04458, HELIO_03843, HELIO_03964, HELIO_08891, HELIO_04429, HELIO_05774, HELIO_07157, HELIO_04749
OG0000113	MOUSE33596, MOUSE33595	HELIO_06754
OG0000114	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	MOUSE49659, MOUSE49660	HELIO_10283, HELIO_10284
OG0000116	MOUSE27994	HELIO_08217, HELIO_10553
OG0000119	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167	HELIO_09291
OG0000119	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194	HELIO_08423, HELIO_01329
OG0000121	MOUSE48188, MOUSE48187, MOUSE21383	HELIO_11384
OG0000122	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654	HELIO_09221
OG0000122	MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753	HELIO_00601, HELIO_11330
OG0000123	MOUSE36089, MOUSE09426, MOUSE09427	HELIO_08717
OG0000123	MOUSE21391, MOUSE47951, MOUSE47950, MOUSE19617	HELIO_08884
OG0000123	MOUSE09430, MOUSE09429, MOUSE09431	HELIO_09001
OG0000124	MOUSE45402	HELIO_02264
OG0000124	MOUSE06474, MOUSE06473, MOUSE38647, MOUSE38648, MOUSE14045	HELIO_07531
OG0000124	MOUSE34424, MOUSE34425	HELIO_08965
OG0000124	MOUSE27466, MOUSE49894	HELIO_01505
OG0000125	MOUSE10957, MOUSE10956, MOUSE10959, MOUSE14826, MOUSE05399, MOUSE05398, MOUSE14824, MOUSE14825	HELIO_11225
OG0000125	MOUSE10964, MOUSE10966, MOUSE05382, MOUSE05384, MOUSE05381, MOUSE10965	HELIO_03951
OG0000125	MOUSE27013, MOUSE27014, MOUSE43956, MOUSE43955, MOUSE43954	HELIO_08019
OG0000126	MOUSE47557, MOUSE47555, MOUSE47554, MOUSE54136, MOUSE54135, MOUSE54137, MOUSE29574, MOUSE29573, MOUSE29575, MOUSE47556	HELIO_05678
OG0000126	MOUSE30423, MOUSE01500	HELIO_07534
OG0000126	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380	HELIO_02617
OG0000126	MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725	HELIO_12717
OG0000127	MOUSE47545, MOUSE54139, MOUSE29572	HELIO_00274
OG0000127	MOUSE52357, MOUSE52358, MOUSE13075	HELIO_04203
OG0000127	MOUSE09031, MOUSE06835, MOUSE28216	HELIO_00760
OG0000127	MOUSE12652, MOUSE29242, MOUSE21486, MOUSE21487	HELIO_10652
OG0000127	MOUSE17076, MOUSE17077, MOUSE17078, MOUSE14094, MOUSE06008	HELIO_03723
OG0000128	MOUSE20235	HELIO_05183
OG0000128	MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208	HELIO_03924
OG0000128	MOUSE15660, MOUSE15661	HELIO_00789
OG0000129	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521	HELIO_05477
OG0000129	MOUSE45123, MOUSE55058	HELIO_12045
OG0000130	MOUSE31524, MOUSE31521, MOUSE31523, MOUSE31522	HELIO_00229
OG0000131	MOUSE01093, MOUSE01094	HELIO_00530, HELIO_08397
OG0000132	MOUSE08918, MOUSE08909, MOUSE21284, MOUSE08828, MOUSE08927, MOUSE08921, MOUSE08935	HELIO_02084, HELIO_02083, HELIO_03711
OG0000132	MOUSE14073	HELIO_04353
OG0000137	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323	HELIO_10563
OG0000137	MOUSE06337, MOUSE06338	HELIO_05850
OG0000137	MOUSE18094, MOUSE18096	HELIO_01589, HELIO_12262
