Orthogroup	MOUSE	OWEFU
OG0000010	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	MOUSE12661	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1
OG0000011	MOUSE47282	OFUSG08075.1.p1
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	MOUSE38313, MOUSE49050, MOUSE49303	OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	OFUSG00805.1.p1
OG0000014	MOUSE04191	OFUSG25832.1.p1
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	OFUSG02249.1.p1
OG0000015	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	MOUSE44325	OFUSG06389.1.p1
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	OFUSG16773.1.p1
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	OFUSG10402.1.p1
OG0000016	MOUSE21130	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1
OG0000016	MOUSE13078, MOUSE13077	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	OFUSG11848.1.p1
OG0000016	MOUSE44334	OFUSG06227.1.p1
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	MOUSE30063, MOUSE30064	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	MOUSE39911	OFUSG17234.1.p1
OG0000020	MOUSE05499, MOUSE05500	OFUSG19131.1.p1
OG0000020	MOUSE13612, MOUSE06637, MOUSE06636, MOUSE34933, MOUSE26371, MOUSE45175, MOUSE15405, MOUSE15402	OFUSG13406.1.p1
OG0000021	MOUSE41024, MOUSE41023	OFUSG18643.1.p1
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022	OFUSG03663.1.p1
OG0000021	MOUSE49041, MOUSE09998	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	MOUSE04592	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	MOUSE44445, MOUSE53773, MOUSE44446	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	MOUSE22442	OFUSG26468.1.p1
OG0000023	MOUSE46773, MOUSE46772	OFUSG06069.1.p1
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863, MOUSE02558, MOUSE02557	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	MOUSE34507	OFUSG06159.1.p1, OFUSG25623.1.p1
OG0000026	MOUSE30101	OFUSG11075.1.p1, OFUSG12487.1.p1
OG0000026	MOUSE12605	OFUSG26427.1.p1
OG0000026	MOUSE38308, MOUSE38309	OFUSG25446.1.p1, OFUSG06547.2.p1, OFUSG06547.1.p1, OFUSG24229.1.p1, OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000027	MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1
OG0000027	MOUSE18678, MOUSE18679	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	MOUSE36324, MOUSE36325, MOUSE45380	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	MOUSE44525	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000029	MOUSE43115, MOUSE43116	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1
OG0000029	MOUSE17544, MOUSE15400	OFUSG16858.1.p1
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	OFUSG16143.1.p1
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	OFUSG04213.1.p1
OG0000030	MOUSE21340	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	MOUSE55186	OFUSG02441.1.p1
OG0000031	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	MOUSE26385	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	MOUSE08528, MOUSE08527	OFUSG03938.1.p1
OG0000031	MOUSE44529	OFUSG09754.1.p1
OG0000031	MOUSE39309, MOUSE01505	OFUSG12627.1.p1
OG0000031	MOUSE13006, MOUSE13005	OFUSG02210.1.p1
OG0000031	MOUSE48656, MOUSE48889	OFUSG17671.1.p1
OG0000031	MOUSE08579	OFUSG16797.1.p1
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	OFUSG07861.1.p1
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	MOUSE29123	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	MOUSE23164	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	OFUSG08780.1.p1
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	OFUSG00313.1.p1
OG0000034	MOUSE11491, MOUSE11490	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	MOUSE20059	OFUSG09735.1.p1
OG0000035	MOUSE02570, MOUSE02571	OFUSG16461.1.p1
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	OFUSG09470.1.p1
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	OFUSG07851.1.p1
OG0000035	MOUSE02196, MOUSE02197, MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	OFUSG23601.1.p1
OG0000035	MOUSE27104	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000035	MOUSE41551	OFUSG09471.1.p1
OG0000036	MOUSE12248, MOUSE49436	OFUSG05112.1.p1
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439, MOUSE29724, MOUSE29725	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	OFUSG05272.1.p1
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	OFUSG13518.1.p1
OG0000037	MOUSE21441	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	MOUSE41992, MOUSE41494	OFUSG03339.1.p1
OG0000038	MOUSE22591, MOUSE22592	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	MOUSE32704	OFUSG13129.1.p1, OFUSG05314.1.p1
OG0000039	MOUSE23387	OFUSG11857.1.p1
OG0000041	MOUSE19876, MOUSE19875, MOUSE02175	OFUSG15030.1.p1
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	OFUSG07896.1.p1
OG0000041	MOUSE28829, MOUSE21621	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809, MOUSE38798	OFUSG03166.1.p1
OG0000045	MOUSE17353, MOUSE07193	OFUSG18977.1.p1
OG0000046	MOUSE48114, MOUSE48113	OFUSG14160.1.p1
OG0000046	MOUSE54722, MOUSE34003, MOUSE32874	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000048	MOUSE55730	OFUSG03456.1.p1
OG0000048	MOUSE42201, MOUSE42202	OFUSG11587.1.p1
OG0000048	MOUSE06701	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	OFUSG04756.1.p1
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	OFUSG00390.1.p1
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	OFUSG06038.1.p1
OG0000049	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000051	MOUSE40003	OFUSG14314.1.p1
OG0000054	MOUSE48109	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	OFUSG17281.1.p1
OG0000056	MOUSE37995, MOUSE37994	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000056	MOUSE36570	OFUSG00148.1.p1
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	OFUSG18495.1.p1
OG0000057	MOUSE39640	OFUSG08808.1.p1
OG0000057	MOUSE55281, MOUSE55280	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000058	MOUSE29478, MOUSE35031, MOUSE53977, MOUSE17481	OFUSG21852.1.p1
OG0000058	MOUSE21857, MOUSE21254	OFUSG06504.1.p1
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	OFUSG18325.1.p1
OG0000058	MOUSE38609, MOUSE40444	OFUSG25338.1.p1
OG0000059	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592	OFUSG10738.1.p1
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000059	MOUSE45371, MOUSE45374	OFUSG21274.1.p1
OG0000060	MOUSE52080, MOUSE52079	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	MOUSE22377, MOUSE22378, MOUSE53042	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000062	MOUSE41293	OFUSG19725.1.p1, OFUSG05205.1.p1
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	OFUSG20078.1.p1, OFUSG20078.2.p1
