Orthogroup	MOUSE	ASTMX
OG0000000	MOUSE05211	ASTMX16047
OG0000000	MOUSE39816	ASTMX01905
OG0000000	MOUSE39817	ASTMX20159
OG0000000	MOUSE54681	ASTMX08795
OG0000000	MOUSE19588	ASTMX17999
OG0000000	MOUSE38796	ASTMX15569
OG0000000	MOUSE39822	ASTMX20156
OG0000000	MOUSE26482, MOUSE26483	ASTMX12031
OG0000000	MOUSE12761	ASTMX17267
OG0000000	MOUSE36110	ASTMX11612
OG0000000	MOUSE12760	ASTMX17266
OG0000000	MOUSE21123	ASTMX02801
OG0000000	MOUSE17205	ASTMX07975
OG0000000	MOUSE28110	ASTMX09511
OG0000000	MOUSE07114	ASTMX08520
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847
OG0000001	MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	ASTMX07756
OG0000002	MOUSE31557, MOUSE31558	ASTMX13878
OG0000002	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159	ASTMX20124
OG0000002	MOUSE45935	ASTMX19248
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952
OG0000002	MOUSE43163, MOUSE43162	ASTMX12464
OG0000002	MOUSE33129	ASTMX20125
OG0000004	MOUSE12693, MOUSE12692	ASTMX09901
OG0000004	MOUSE06318, MOUSE06317, MOUSE06316	ASTMX21576
OG0000004	MOUSE31437	ASTMX22075
OG0000004	MOUSE46906, MOUSE46905	ASTMX20045, ASTMX20996, ASTMX20716
OG0000004	MOUSE41373, MOUSE41374	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044
OG0000004	MOUSE30144	ASTMX18447
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	ASTMX15865, ASTMX13574
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	MOUSE18207	ASTMX14148, ASTMX14149
OG0000005	MOUSE20384, MOUSE20383	ASTMX13051
OG0000005	MOUSE20203	ASTMX18005
OG0000005	MOUSE53215, MOUSE53214	ASTMX12914, ASTMX04261, ASTMX08691
OG0000005	MOUSE16622, MOUSE16621	ASTMX01192
OG0000005	MOUSE16620	ASTMX08164
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	ASTMX03244
OG0000006	MOUSE48684, MOUSE48683	ASTMX20216
OG0000006	MOUSE11220	ASTMX00775
OG0000006	MOUSE33561, MOUSE33562	ASTMX00495, ASTMX16379
OG0000006	MOUSE36359	ASTMX16363
OG0000006	MOUSE45321	ASTMX04345
OG0000006	MOUSE29952, MOUSE29953	ASTMX11700
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071	ASTMX03791, ASTMX03123
OG0000006	MOUSE54497	ASTMX12191, ASTMX07931
OG0000006	MOUSE31158	ASTMX15917
OG0000006	MOUSE02096, MOUSE02095, MOUSE02097	ASTMX06292
OG0000006	MOUSE27112, MOUSE27111	ASTMX15319
OG0000006	MOUSE28165	ASTMX03256
OG0000006	MOUSE07632, MOUSE07631	ASTMX09680
OG0000006	MOUSE38532, MOUSE38531	ASTMX14682, ASTMX19702
OG0000006	MOUSE10280	ASTMX21126, ASTMX03352
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	ASTMX06644
OG0000006	MOUSE19675	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501	ASTMX03759
OG0000006	MOUSE21233, MOUSE21234	ASTMX02775
OG0000006	MOUSE09568, MOUSE09567	ASTMX15412
OG0000006	MOUSE08011	ASTMX14827
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797	ASTMX08479, ASTMX15103
OG0000006	MOUSE02988, MOUSE02987	ASTMX11575, ASTMX03265
OG0000006	MOUSE03398	ASTMX10604
OG0000006	MOUSE04696	ASTMX16006
OG0000007	MOUSE09063	ASTMX14980
OG0000007	MOUSE51845	ASTMX05134
OG0000007	MOUSE20686	ASTMX12498
OG0000007	MOUSE42742	ASTMX06316
OG0000007	MOUSE28113, MOUSE28115, MOUSE28114	ASTMX09513
OG0000007	MOUSE07122	ASTMX08102
OG0000007	MOUSE33185	ASTMX05483
OG0000007	MOUSE10368, MOUSE33510	ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	MOUSE32557	ASTMX22657
OG0000007	MOUSE33511	ASTMX04001
OG0000007	MOUSE03187	ASTMX22264, ASTMX09321
OG0000007	MOUSE40199, MOUSE40198	ASTMX14799
OG0000007	MOUSE46807	ASTMX12582
OG0000007	MOUSE52320	ASTMX21073, ASTMX16179
OG0000007	MOUSE38483	ASTMX07688
OG0000007	MOUSE13954	ASTMX20070
OG0000007	MOUSE09061	ASTMX22376, ASTMX11119
OG0000007	MOUSE09062	ASTMX14979
OG0000007	MOUSE49739	ASTMX02564
OG0000007	MOUSE04689	ASTMX18062
OG0000007	MOUSE37388	ASTMX21262
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860	ASTMX04848
OG0000007	MOUSE18809, MOUSE18808, MOUSE18807	ASTMX06558, ASTMX19375
OG0000007	MOUSE38586	ASTMX04966
OG0000007	MOUSE06525	ASTMX11650
OG0000007	MOUSE06204	ASTMX18779
OG0000007	MOUSE33792, MOUSE33790	ASTMX15846
OG0000007	MOUSE41340, MOUSE41339	ASTMX10097
OG0000007	MOUSE07031, MOUSE07030	ASTMX10986
OG0000008	MOUSE17513, MOUSE17514	ASTMX21956
OG0000008	MOUSE33182	ASTMX05481
OG0000008	MOUSE03822, MOUSE03823	ASTMX19133, ASTMX14439
OG0000008	MOUSE25728	ASTMX13345, ASTMX11364
OG0000008	MOUSE35409	ASTMX03057
OG0000008	MOUSE34799	ASTMX05709
OG0000010	MOUSE14749	ASTMX18922, ASTMX18921, ASTMX15088
OG0000010	MOUSE34626	ASTMX10678
OG0000010	MOUSE34625, MOUSE34624	ASTMX08865, ASTMX08864
OG0000010	MOUSE49605	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209
OG0000010	MOUSE49413	ASTMX19981
OG0000010	MOUSE22876	ASTMX21265
OG0000010	MOUSE36610, MOUSE36609	ASTMX02979
OG0000010	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000010	MOUSE14717	ASTMX11060
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	ASTMX06728, ASTMX17688, ASTMX18214
OG0000011	MOUSE08113	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000012	MOUSE38315, MOUSE38314	ASTMX16492
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	ASTMX06265
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946	ASTMX14510, ASTMX15685, ASTMX16246
OG0000013	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252
OG0000014	MOUSE04189	ASTMX02678
OG0000014	MOUSE04186, MOUSE04184, MOUSE04187	ASTMX08608, ASTMX07233
OG0000014	MOUSE31054	ASTMX17398, ASTMX00995, ASTMX00994
OG0000014	MOUSE02337	ASTMX13292
OG0000014	MOUSE14097	ASTMX07733
OG0000014	MOUSE06495	ASTMX16405, ASTMX12634
OG0000014	MOUSE06101, MOUSE06102, MOUSE06100	ASTMX17340, ASTMX01557
OG0000014	MOUSE20912	ASTMX03213, ASTMX07656
OG0000014	MOUSE31149, MOUSE31150	ASTMX01801
OG0000014	MOUSE22789, MOUSE22790, MOUSE00987	ASTMX03251, ASTMX15832
OG0000014	MOUSE00504	ASTMX12908
OG0000014	MOUSE54686	ASTMX11632
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	ASTMX01423, ASTMX16397
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	ASTMX21958, ASTMX03764
OG0000015	MOUSE03176	ASTMX01476, ASTMX13504
OG0000015	MOUSE35079	ASTMX02112
OG0000015	MOUSE03220, MOUSE03221	ASTMX15417, ASTMX08007
OG0000015	MOUSE44502, MOUSE44501, MOUSE44500	ASTMX15203, ASTMX18097
OG0000015	MOUSE32201, MOUSE32200	ASTMX09926, ASTMX15220
OG0000015	MOUSE32202	ASTMX09927
OG0000015	MOUSE16093	ASTMX13993, ASTMX07947
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209	ASTMX18335
OG0000015	MOUSE36400, MOUSE36401	ASTMX18098
OG0000015	MOUSE44497	ASTMX06037
OG0000015	MOUSE36402	ASTMX18099, ASTMX04658
OG0000015	MOUSE03212, MOUSE03211	ASTMX18334
OG0000015	MOUSE54208, MOUSE54207	ASTMX04125
OG0000015	MOUSE44499	ASTMX06038
OG0000015	MOUSE36407, MOUSE36406	ASTMX04657
OG0000015	MOUSE03217, MOUSE03218, MOUSE03219	ASTMX18333
OG0000015	MOUSE55359	ASTMX00011
OG0000015	MOUSE48246	ASTMX18288
OG0000015	MOUSE03594, MOUSE03595, MOUSE03596	ASTMX04727
OG0000016	MOUSE48959, MOUSE48960	ASTMX03544
OG0000016	MOUSE15414	ASTMX09207
OG0000016	MOUSE15161, MOUSE15160	ASTMX17817
OG0000016	MOUSE44326	ASTMX17818, ASTMX05407
OG0000016	MOUSE05122, MOUSE05123	ASTMX11675
OG0000016	MOUSE21130	ASTMX17393
OG0000016	MOUSE13078, MOUSE13077	ASTMX00540
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	ASTMX02874
OG0000016	MOUSE44334	ASTMX17395
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938	ASTMX13275
OG0000016	MOUSE44332	ASTMX19540
OG0000016	MOUSE44335	ASTMX20114, ASTMX00361
OG0000019	MOUSE35478	ASTMX21077, ASTMX14834
OG0000019	MOUSE04790	ASTMX14832
OG0000019	MOUSE04791	ASTMX21241, ASTMX14833
OG0000019	MOUSE22639, MOUSE22640	ASTMX15190, ASTMX17156
OG0000020	MOUSE39911	ASTMX12654
OG0000020	MOUSE05499, MOUSE05500	ASTMX04834
OG0000020	MOUSE53015	ASTMX22432
OG0000020	MOUSE07164	ASTMX12285
OG0000020	MOUSE33588	ASTMX15062
OG0000020	MOUSE23587, MOUSE23586	ASTMX14060
OG0000020	MOUSE13612	ASTMX00875, ASTMX06734
OG0000020	MOUSE06637, MOUSE06636	ASTMX14107, ASTMX08186
OG0000020	MOUSE34933	ASTMX17613
OG0000020	MOUSE26371	ASTMX00490, ASTMX12696
OG0000020	MOUSE45175	ASTMX03725
OG0000020	MOUSE15405	ASTMX07958, ASTMX18318
OG0000020	MOUSE15402	ASTMX16689
OG0000020	MOUSE24012	ASTMX17320
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807	ASTMX04750
OG0000020	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	ASTMX21042
OG0000020	MOUSE35162	ASTMX05243
OG0000020	MOUSE09601, MOUSE09602	ASTMX04710
OG0000020	MOUSE37001, MOUSE37002	ASTMX07754
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	ASTMX13875
OG0000021	MOUSE41024, MOUSE41023	ASTMX05285, ASTMX16996
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	ASTMX04046
OG0000021	MOUSE40749	ASTMX00802, ASTMX04036
OG0000021	MOUSE41281	ASTMX15788
OG0000021	MOUSE41022	ASTMX05284
OG0000021	MOUSE49041	ASTMX00201
OG0000021	MOUSE09998	ASTMX09085
OG0000021	MOUSE04592	ASTMX02310
OG0000021	MOUSE44445	ASTMX21461
OG0000021	MOUSE53773	ASTMX05545
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	ASTMX13864
OG0000021	MOUSE19587	ASTMX09336
OG0000023	MOUSE22442	ASTMX09201
OG0000023	MOUSE01124	ASTMX07788
OG0000023	MOUSE12258, MOUSE12260	ASTMX10048, ASTMX07031
OG0000023	MOUSE49191	ASTMX08985
OG0000023	MOUSE28391	ASTMX18700
OG0000023	MOUSE32112, MOUSE32114	ASTMX14127, ASTMX07394
OG0000023	MOUSE38000	ASTMX03414
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	ASTMX11687
OG0000023	MOUSE02558, MOUSE02557	ASTMX14286, ASTMX19623
OG0000023	MOUSE50078	ASTMX04385, ASTMX04386
OG0000023	MOUSE50063	ASTMX11217
OG0000023	MOUSE49035	ASTMX00199
OG0000023	MOUSE28744	ASTMX01795
OG0000026	MOUSE12605	ASTMX12978
OG0000027	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836	ASTMX01705
OG0000027	MOUSE44283, MOUSE44284, MOUSE44285	ASTMX01846, ASTMX01847, ASTMX11673
OG0000027	MOUSE00444, MOUSE00443	ASTMX14527, ASTMX14528
OG0000027	MOUSE18379, MOUSE18380	ASTMX17505, ASTMX05220
OG0000027	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	MOUSE18678, MOUSE18679	ASTMX01680
OG0000028	MOUSE36324, MOUSE36325	ASTMX01628, ASTMX11626
OG0000028	MOUSE45380	ASTMX11297, ASTMX12202
OG0000028	MOUSE30414, MOUSE30413	ASTMX14889, ASTMX21200, ASTMX09164
OG0000028	MOUSE51349	ASTMX21506
OG0000028	MOUSE51347, MOUSE51348	ASTMX21505
OG0000028	MOUSE47957	ASTMX21832
OG0000028	MOUSE12712	ASTMX08169, ASTMX10814
OG0000028	MOUSE29157, MOUSE29159	ASTMX02886
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955	ASTMX14890, ASTMX22400
OG0000028	MOUSE26458	ASTMX17696, ASTMX05417
OG0000028	MOUSE44525	ASTMX01721, ASTMX15155
OG0000029	MOUSE45127, MOUSE48617	ASTMX02055
OG0000029	MOUSE49324, MOUSE49325	ASTMX06262
OG0000029	MOUSE22849, MOUSE22848	ASTMX11166
OG0000029	MOUSE02995	ASTMX03267, ASTMX11576
OG0000029	MOUSE17544	ASTMX19971
OG0000029	MOUSE15400	ASTMX06514, ASTMX07156
OG0000029	MOUSE26337	ASTMX12065
OG0000029	MOUSE23727	ASTMX02396
OG0000029	MOUSE29998, MOUSE16471	ASTMX01708
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	ASTMX06934
OG0000030	MOUSE30488	ASTMX13784, ASTMX06816
OG0000030	MOUSE32434, MOUSE32431, MOUSE32432	ASTMX18369
OG0000030	MOUSE55035	ASTMX04112, ASTMX02697
OG0000030	MOUSE41811, MOUSE41812	ASTMX07740, ASTMX14326
OG0000030	MOUSE21340	ASTMX01510
OG0000031	MOUSE55186	ASTMX05563
OG0000031	MOUSE55187	ASTMX03913
OG0000031	MOUSE36273, MOUSE08529, MOUSE36272	ASTMX22504
OG0000031	MOUSE44530	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	MOUSE26385	ASTMX08659
OG0000031	MOUSE14840	ASTMX01055
OG0000031	MOUSE26448	ASTMX17701
OG0000031	MOUSE08530	ASTMX18426, ASTMX12571
OG0000031	MOUSE05256	ASTMX22712
OG0000031	MOUSE08528, MOUSE08527	ASTMX12572
OG0000031	MOUSE44529	ASTMX05128
OG0000031	MOUSE20731	ASTMX18163
OG0000031	MOUSE39309, MOUSE01505	ASTMX11402, ASTMX09693, ASTMX17541
OG0000031	MOUSE40720	ASTMX00969, ASTMX17640
OG0000031	MOUSE13006, MOUSE13005	ASTMX00105
OG0000031	MOUSE48656	ASTMX13865, ASTMX02854, ASTMX20534
OG0000031	MOUSE48889	ASTMX14725
OG0000031	MOUSE13007	ASTMX04176
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338	ASTMX13001, ASTMX20334
OG0000031	MOUSE08579	ASTMX13774, ASTMX02637
OG0000031	MOUSE13008	ASTMX03166
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	ASTMX08687, ASTMX18764
OG0000032	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903	ASTMX19317
OG0000032	MOUSE41905, MOUSE41904	ASTMX01991
OG0000032	MOUSE52411, MOUSE52410	ASTMX08768
OG0000032	MOUSE45189, MOUSE45190, MOUSE45188	ASTMX12211
OG0000032	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	ASTMX09018
OG0000032	MOUSE29123	ASTMX06705
OG0000034	MOUSE46353, MOUSE46347	ASTMX17089, ASTMX19482, ASTMX22636
OG0000034	MOUSE04536	ASTMX03521
OG0000034	MOUSE19996	ASTMX02060
OG0000034	MOUSE37608	ASTMX05967, ASTMX21201
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	ASTMX03519
OG0000034	MOUSE43921	ASTMX17020
OG0000034	MOUSE45737	ASTMX02547, ASTMX01081
OG0000034	MOUSE14480	ASTMX20715
OG0000034	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	ASTMX17446
OG0000034	MOUSE23594	ASTMX22336, ASTMX07448
OG0000034	MOUSE02137	ASTMX16123, ASTMX02622
OG0000034	MOUSE47177, MOUSE47178, MOUSE47176	ASTMX00372
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288	ASTMX09860, ASTMX06813
OG0000034	MOUSE19105	ASTMX07013
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	ASTMX12428, ASTMX02190
OG0000034	MOUSE11491, MOUSE11490	ASTMX01548
OG0000034	MOUSE20059	ASTMX02136
OG0000035	MOUSE02570, MOUSE02571	ASTMX17732
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	ASTMX21245
OG0000035	MOUSE41545	ASTMX07147
OG0000035	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	ASTMX00613, ASTMX06338
OG0000035	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	ASTMX07227, ASTMX07114
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974	ASTMX00989, ASTMX19852
OG0000035	MOUSE47243, MOUSE47244, MOUSE47242	ASTMX00242
OG0000035	MOUSE41507	ASTMX02614, ASTMX08545
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	ASTMX15322
OG0000035	MOUSE27104	ASTMX15321, ASTMX20966
OG0000036	MOUSE12248	ASTMX05584
OG0000036	MOUSE49768	ASTMX18592
OG0000036	MOUSE12301	ASTMX10059, ASTMX16974
OG0000036	MOUSE43707, MOUSE43706, MOUSE43708	ASTMX00596, ASTMX03566
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	ASTMX19120
OG0000036	MOUSE29724, MOUSE29725	ASTMX18312
OG0000036	MOUSE06658, MOUSE06659	ASTMX01338
OG0000036	MOUSE43723	ASTMX03570
OG0000037	MOUSE10993, MOUSE10994	ASTMX04826
OG0000037	MOUSE10992	ASTMX04827, ASTMX08066, ASTMX04828
OG0000037	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745	ASTMX18303
OG0000037	MOUSE07837, MOUSE07836, MOUSE07835	ASTMX08083, ASTMX01399
OG0000037	MOUSE20306	ASTMX03952, ASTMX04639
OG0000037	MOUSE49952, MOUSE49951	ASTMX01500, ASTMX15266
OG0000037	MOUSE20178	ASTMX10464
OG0000037	MOUSE43378	ASTMX06313
OG0000037	MOUSE28645, MOUSE28646	ASTMX15913
OG0000037	MOUSE13720	ASTMX19727
OG0000037	MOUSE35631	ASTMX16533
OG0000037	MOUSE21441	ASTMX03275
OG0000038	MOUSE22591, MOUSE22592	ASTMX12685, ASTMX17002
OG0000039	MOUSE24093	ASTMX03851
OG0000039	MOUSE32704	ASTMX16971
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	ASTMX14711
OG0000040	MOUSE39434, MOUSE39435, MOUSE39433	ASTMX07215
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964	ASTMX07372, ASTMX15974
OG0000041	MOUSE44347, MOUSE44348	ASTMX00243, ASTMX02219
OG0000041	MOUSE02172, MOUSE02171, MOUSE02173	ASTMX19274
OG0000041	MOUSE31152	ASTMX15919
OG0000041	MOUSE44196	ASTMX19739, ASTMX18949
OG0000041	MOUSE31142	ASTMX00985, ASTMX20382
OG0000041	MOUSE41517	ASTMX18641
OG0000041	MOUSE31141	ASTMX00986, ASTMX20384
OG0000041	MOUSE41518	ASTMX19436, ASTMX18640
OG0000041	MOUSE31140	ASTMX00987
OG0000041	MOUSE41519	ASTMX18639
OG0000041	MOUSE27266	ASTMX00232
OG0000041	MOUSE28829	ASTMX00945, ASTMX01024
OG0000041	MOUSE21621	ASTMX08027, ASTMX12746
OG0000041	MOUSE06756	ASTMX04559
OG0000041	MOUSE06702	ASTMX04569
OG0000041	MOUSE13395	ASTMX22600
OG0000041	MOUSE28657	ASTMX18276
OG0000042	MOUSE15999	ASTMX00117
OG0000042	MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451	ASTMX11615
OG0000043	MOUSE50973	ASTMX12801
OG0000043	MOUSE30821	ASTMX22617
OG0000044	MOUSE09513	ASTMX03900
OG0000044	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857	ASTMX14800
OG0000044	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857	ASTMX17272
OG0000044	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	ASTMX12948
OG0000044	MOUSE03349	ASTMX20812
OG0000044	MOUSE38808, MOUSE38809	ASTMX22549, ASTMX06174
OG0000044	MOUSE38798	ASTMX06176
OG0000044	MOUSE41161, MOUSE41162	ASTMX07618
OG0000045	MOUSE25074	ASTMX14022
OG0000045	MOUSE25340, MOUSE25339, MOUSE25341	ASTMX15522, ASTMX03419
OG0000045	MOUSE20735	ASTMX10022, ASTMX03368
OG0000045	MOUSE17353, MOUSE07193	ASTMX16178
OG0000046	MOUSE48114, MOUSE48113	ASTMX22281
OG0000046	MOUSE30090	ASTMX12308
OG0000046	MOUSE36275, MOUSE36276	ASTMX11629
OG0000046	MOUSE54722	ASTMX06773
OG0000046	MOUSE34003	ASTMX12983, ASTMX09167
OG0000048	MOUSE55730	ASTMX04189
OG0000048	MOUSE04650, MOUSE04652	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416
OG0000048	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556
OG0000048	MOUSE42201, MOUSE42202	ASTMX15600
OG0000048	MOUSE06701	ASTMX04570
