Orthogroup	MOUSE	AMPFI_ok
OG0000007	MOUSE51845, MOUSE20686	AMPFI_02812
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	AMPFI_07094
OG0000007	MOUSE13954	AMPFI_15871
OG0000007	MOUSE04689, MOUSE37388	AMPFI_26059
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	AMPFI_15806
OG0000007	MOUSE38586, MOUSE06525	AMPFI_22204
OG0000007	MOUSE06204	AMPFI_08786
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	AMPFI_21281
OG0000007	MOUSE07031, MOUSE07030	AMPFI_23280
OG0000008	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182	AMPFI_03619
OG0000008	MOUSE25728	AMPFI_18464
OG0000010	MOUSE46557	AMPFI_14307, AMPFI_14306, AMPFI_02722
OG0000010	MOUSE14749, MOUSE34626, MOUSE34625, MOUSE34624, MOUSE34426, MOUSE34427, MOUSE49605, MOUSE49413	AMPFI_14170
OG0000010	MOUSE22876	AMPFI_04353
OG0000010	MOUSE09529	AMPFI_20654
OG0000010	MOUSE12661	AMPFI_04364
OG0000011	MOUSE08113	AMPFI_20107
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	AMPFI_05035, AMPFI_18913
OG0000012	MOUSE38313	AMPFI_16130
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	AMPFI_13640
OG0000014	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150	AMPFI_05504, AMPFI_16319
OG0000014	MOUSE22789, MOUSE22790, MOUSE00987	AMPFI_18330
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	AMPFI_16339
OG0000014	MOUSE04191	AMPFI_03612, AMPFI_14991, AMPFI_21256, AMPFI_03968
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	AMPFI_23995
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	AMPFI_14639
OG0000016	MOUSE13078, MOUSE13077	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	AMPFI_06248
OG0000016	MOUSE44334	AMPFI_15536, AMPFI_18220, AMPFI_13190
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	AMPFI_01264, AMPFI_06523
OG0000019	MOUSE30063, MOUSE30064	AMPFI_03780
OG0000020	MOUSE45177, MOUSE05499, MOUSE05500	AMPFI_07852
OG0000020	MOUSE53015	AMPFI_03773
OG0000020	MOUSE07164	AMPFI_19334
OG0000020	MOUSE33588	AMPFI_23773
OG0000020	MOUSE23587, MOUSE23586	AMPFI_11019
OG0000020	MOUSE26371	AMPFI_06907
OG0000020	MOUSE45175, MOUSE15405, MOUSE15402	AMPFI_24792
OG0000020	MOUSE24012	AMPFI_07932
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	AMPFI_12343
OG0000020	MOUSE35162	AMPFI_25813
OG0000020	MOUSE09601, MOUSE09602	AMPFI_21494
OG0000020	MOUSE37001, MOUSE37002	AMPFI_07388
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	AMPFI_13969
OG0000021	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022	AMPFI_08825
OG0000021	MOUSE44445, MOUSE53773	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	MOUSE46773, MOUSE46772	AMPFI_05477
OG0000023	MOUSE49036	AMPFI_11289, AMPFI_18034
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000026	MOUSE34507	AMPFI_12171
OG0000026	MOUSE12605	AMPFI_01077, AMPFI_16904
OG0000026	MOUSE38308, MOUSE38309	AMPFI_17661, AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957
OG0000028	MOUSE36324, MOUSE36325, MOUSE45380	AMPFI_19162
OG0000029	MOUSE43115, MOUSE43116	AMPFI_24572, AMPFI_17682, AMPFI_23832
OG0000029	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	AMPFI_02183
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	AMPFI_03176
OG0000031	MOUSE55186	AMPFI_14371, AMPFI_13166
OG0000031	MOUSE08529	AMPFI_13279
OG0000031	MOUSE26385	AMPFI_06256
OG0000031	MOUSE08528, MOUSE08527	AMPFI_14304
OG0000031	MOUSE39309, MOUSE01505	AMPFI_01333
OG0000031	MOUSE48656, MOUSE48889	AMPFI_05075
OG0000031	MOUSE13007, MOUSE36274, MOUSE36271	AMPFI_10833
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	AMPFI_02985
OG0000031	MOUSE13008	AMPFI_03768
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	MOUSE29123	AMPFI_03594
OG0000032	MOUSE23164	AMPFI_03370
OG0000034	MOUSE23593	AMPFI_19171
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	AMPFI_04753
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	AMPFI_00398
OG0000035	MOUSE02570, MOUSE02571	AMPFI_17275
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	AMPFI_20705
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	AMPFI_13261
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	AMPFI_12878
OG0000035	MOUSE27104	AMPFI_11303
OG0000035	MOUSE41551	AMPFI_24961
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	AMPFI_11948
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	AMPFI_06932
OG0000036	MOUSE29724, MOUSE29725	AMPFI_14775, AMPFI_19912
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000036	MOUSE49438	AMPFI_18710
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	AMPFI_11581
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	AMPFI_25668
OG0000039	MOUSE32704	AMPFI_15658
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	AMPFI_14066
OG0000039	MOUSE23387	AMPFI_17373
OG0000040	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748	AMPFI_24657
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	AMPFI_02741
OG0000042	MOUSE51171	AMPFI_03947, AMPFI_21934
OG0000044	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	AMPFI_13059
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809	AMPFI_10491
OG0000044	MOUSE38798	AMPFI_12455
OG0000046	MOUSE48114, MOUSE48113	AMPFI_02275, AMPFI_17068
OG0000046	MOUSE32874	AMPFI_00292
OG0000048	MOUSE42201, MOUSE42202	AMPFI_22758
OG0000048	MOUSE06701	AMPFI_10591, AMPFI_13556
OG0000048	MOUSE42203	AMPFI_20083, AMPFI_23857, AMPFI_18512
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	AMPFI_08767
OG0000049	MOUSE39156	AMPFI_18737
OG0000051	MOUSE40003	AMPFI_25569
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	MOUSE48109	AMPFI_10274
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	AMPFI_10015
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	AMPFI_01580, AMPFI_02256
OG0000057	MOUSE55281, MOUSE55280	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000058	MOUSE21857, MOUSE21254	AMPFI_18481
OG0000058	MOUSE40446, MOUSE40445	AMPFI_03991
OG0000058	MOUSE16601	AMPFI_22601
OG0000060	MOUSE52080, MOUSE52079	AMPFI_23758
OG0000060	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943	AMPFI_20631
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	MOUSE52081	AMPFI_05434
OG0000063	MOUSE10885, MOUSE10881	AMPFI_21664
OG0000063	MOUSE33697	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000066	MOUSE53763	AMPFI_09400
OG0000067	MOUSE19580, MOUSE31455	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009	AMPFI_04870
OG0000068	MOUSE02010	AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888
OG0000069	MOUSE30824	AMPFI_08415
OG0000069	MOUSE24596	AMPFI_07519
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	AMPFI_12140, AMPFI_20704, AMPFI_07178
OG0000072	MOUSE30088, MOUSE45691	AMPFI_26076
OG0000072	MOUSE29660	AMPFI_21820
OG0000073	MOUSE18062	AMPFI_17720, AMPFI_09678
OG0000073	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163	AMPFI_10119
OG0000074	MOUSE01754, MOUSE40707	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	MOUSE27442, MOUSE27441	AMPFI_19576
OG0000074	MOUSE43700	AMPFI_19564
OG0000074	MOUSE43699, MOUSE19006	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296
OG0000075	MOUSE05779, MOUSE03707	AMPFI_17345, AMPFI_17344
OG0000075	MOUSE22546	AMPFI_12462
OG0000075	MOUSE14633	AMPFI_03839
OG0000075	MOUSE34423	AMPFI_10510
OG0000075	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630	AMPFI_15829
OG0000075	MOUSE31075, MOUSE39073	AMPFI_15139
OG0000075	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239	AMPFI_15917
OG0000075	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109	AMPFI_17574
OG0000078	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	AMPFI_09380
OG0000079	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479	AMPFI_24805
OG0000079	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453	AMPFI_06359, AMPFI_07521
OG0000082	MOUSE25920	AMPFI_21007
OG0000082	MOUSE19184	AMPFI_06890
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	AMPFI_20771
OG0000085	MOUSE54745	AMPFI_25543
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	AMPFI_09379
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	AMPFI_25819
OG0000085	MOUSE16592, MOUSE16590	AMPFI_04349
OG0000087	MOUSE24630	AMPFI_24870
OG0000087	MOUSE04046	AMPFI_08050
OG0000087	MOUSE24629, MOUSE24631	AMPFI_01947
OG0000087	MOUSE11362	AMPFI_07196
OG0000087	MOUSE22119, MOUSE22054, MOUSE22052	AMPFI_09489, AMPFI_05588, AMPFI_13769
OG0000087	MOUSE11213	AMPFI_08649
OG0000087	MOUSE46080, MOUSE46081	AMPFI_11171
OG0000087	MOUSE46082	AMPFI_18536, AMPFI_19662, AMPFI_19663
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000089	MOUSE16032	AMPFI_21827
OG0000089	MOUSE55271	AMPFI_22710, AMPFI_16100, AMPFI_10395, AMPFI_03220, AMPFI_22774, AMPFI_22571, AMPFI_24059, AMPFI_03609, AMPFI_00096
OG0000090	MOUSE17968	AMPFI_21032
OG0000091	MOUSE19668, MOUSE19669	AMPFI_04685, AMPFI_24623, AMPFI_10622
OG0000094	MOUSE53507, MOUSE53505, MOUSE11261	AMPFI_02587
OG0000094	MOUSE53509, MOUSE53510	AMPFI_02648
OG0000094	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850	AMPFI_18905, AMPFI_06525
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900	AMPFI_12180
OG0000096	MOUSE31085, MOUSE31087, MOUSE02247	AMPFI_22693
OG0000096	MOUSE35516	AMPFI_24766
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	AMPFI_09837
OG0000096	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996	AMPFI_11230
OG0000096	MOUSE52337, MOUSE52338	AMPFI_25309
OG0000098	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240	AMPFI_13259, AMPFI_24967
OG0000098	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729	AMPFI_07962, AMPFI_03629
OG0000101	MOUSE49370, MOUSE49670	AMPFI_17596, AMPFI_21293
OG0000101	MOUSE02576, MOUSE49671	AMPFI_22964
OG0000101	MOUSE15611, MOUSE15612	AMPFI_14310, AMPFI_02729
OG0000101	MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355	AMPFI_08160
OG0000102	MOUSE08156, MOUSE08155, MOUSE24799, MOUSE24798	AMPFI_04172, AMPFI_16803
OG0000103	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014	AMPFI_21097
OG0000104	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436	AMPFI_14148
OG0000104	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642	AMPFI_11040
OG0000104	MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576	AMPFI_02710
OG0000104	MOUSE16174	AMPFI_20370
OG0000104	MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764	AMPFI_08614
OG0000106	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355	AMPFI_02407, AMPFI_14321
OG0000106	MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000107	MOUSE41813	AMPFI_13094
OG0000108	MOUSE50933	AMPFI_14479, AMPFI_07737
OG0000108	MOUSE15530, MOUSE15531, MOUSE12588, MOUSE50934, MOUSE50931, MOUSE50935, MOUSE50932	AMPFI_15531
OG0000108	MOUSE05737, MOUSE25036, MOUSE14651, MOUSE23310	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000109	MOUSE33717	AMPFI_01861, AMPFI_17889, AMPFI_14928, AMPFI_17985
OG0000113	MOUSE33596, MOUSE33595	AMPFI_03282
OG0000114	MOUSE33748, MOUSE33747, MOUSE33749, MOUSE33750	AMPFI_10608, AMPFI_15203
OG0000114	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888	AMPFI_03529
OG0000114	MOUSE04136	AMPFI_01965, AMPFI_00254
OG0000116	MOUSE27994	AMPFI_12986
OG0000117	MOUSE02430	AMPFI_04775, AMPFI_00066
OG0000117	MOUSE27159, MOUSE27158, MOUSE26358	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000117	MOUSE17523, MOUSE17524	AMPFI_16640
OG0000117	MOUSE26103, MOUSE26102	AMPFI_07374, AMPFI_07375, AMPFI_10042, AMPFI_04796, AMPFI_21047, AMPFI_17321, AMPFI_18095, AMPFI_04466
OG0000119	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167	AMPFI_25431
OG0000119	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713	AMPFI_07345, AMPFI_07307
OG0000119	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194	AMPFI_24152
OG0000120	MOUSE43385, MOUSE32832, MOUSE32833	AMPFI_15831
OG0000121	MOUSE31533	AMPFI_02289, AMPFI_15541
OG0000121	MOUSE01294	AMPFI_04429
OG0000121	MOUSE22218, MOUSE22217	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340
OG0000122	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654	AMPFI_13850, AMPFI_04566, AMPFI_20620
