Orthogroup	MOUSE	LYTVA_ok
OG0000044	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	LYTVA_11853
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809	LYTVA_10017
OG0000044	MOUSE38798	LYTVA_14074
OG0000045	MOUSE17353, MOUSE07193	LYTVA_10187, LYTVA_26738
OG0000046	MOUSE48114, MOUSE48113	LYTVA_22286
OG0000048	MOUSE55730	LYTVA_06179
OG0000048	MOUSE42201, MOUSE42202	LYTVA_27999
OG0000048	MOUSE06701	LYTVA_08149
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	LYTVA_11620
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	LYTVA_16567
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	LYTVA_21152
OG0000049	MOUSE40908, MOUSE39155	LYTVA_02138
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000054	MOUSE48109	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000056	MOUSE52879	LYTVA_05867
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	LYTVA_03272
OG0000056	MOUSE37995, MOUSE37994	LYTVA_17286
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	LYTVA_05797, LYTVA_22815
OG0000058	MOUSE47313, MOUSE47308	LYTVA_18449
OG0000058	MOUSE21859, MOUSE21858	LYTVA_29674
OG0000058	MOUSE10546	LYTVA_14430
OG0000058	MOUSE16601	LYTVA_15397
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	LYTVA_16698
OG0000058	MOUSE38609, MOUSE40444	LYTVA_05598, LYTVA_13005
OG0000059	MOUSE52262, MOUSE52259, MOUSE52258	LYTVA_18957
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	MOUSE52080, MOUSE52079	LYTVA_30158, LYTVA_18098
OG0000060	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	LYTVA_10196
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	LYTVA_16102
OG0000061	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505	LYTVA_20900
OG0000061	MOUSE42763	LYTVA_20904, LYTVA_09585, LYTVA_28339
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092
OG0000062	MOUSE52081	LYTVA_18550
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	LYTVA_03474
OG0000063	MOUSE10885, MOUSE10881	LYTVA_28622
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	LYTVA_16178
OG0000066	MOUSE53763	LYTVA_14724
OG0000067	MOUSE19580, MOUSE31455	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045
OG0000068	MOUSE02010	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450
OG0000069	MOUSE30824	LYTVA_28766, LYTVA_15781
OG0000069	MOUSE24596	LYTVA_28251, LYTVA_19634, LYTVA_18557
OG0000069	MOUSE24597	LYTVA_19096
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821
OG0000070	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102	LYTVA_12849
OG0000070	MOUSE01400, MOUSE01399	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317
OG0000072	MOUSE30088, MOUSE45691	LYTVA_26888
OG0000072	MOUSE29660	LYTVA_23422
OG0000072	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772	LYTVA_09419
OG0000073	MOUSE18062	LYTVA_08820, LYTVA_28046
OG0000073	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163	LYTVA_03728
OG0000074	MOUSE01754, MOUSE40707	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000074	MOUSE27442, MOUSE27441	LYTVA_24139
OG0000074	MOUSE43700, MOUSE19007	LYTVA_17968
OG0000074	MOUSE43699, MOUSE19006	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154
OG0000075	MOUSE05779, MOUSE03707	LYTVA_00904
OG0000075	MOUSE22546	LYTVA_07044
OG0000075	MOUSE14633	LYTVA_01857
OG0000075	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742	LYTVA_12523
OG0000077	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727	LYTVA_24286
OG0000077	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957	LYTVA_08553
OG0000078	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479	LYTVA_05934
OG0000079	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929	LYTVA_06214, LYTVA_17750
OG0000081	MOUSE21429, MOUSE21428, MOUSE21430	LYTVA_25424
OG0000082	MOUSE25920	LYTVA_25888
OG0000082	MOUSE19184	LYTVA_18803
OG0000083	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042	LYTVA_26815
OG0000084	MOUSE21451, MOUSE30075, MOUSE30074	LYTVA_14799
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	LYTVA_19136
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	LYTVA_13307
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	LYTVA_05365
OG0000085	MOUSE15351, MOUSE19993	LYTVA_17776
OG0000085	MOUSE16592, MOUSE16590	LYTVA_06708
OG0000087	MOUSE04044, MOUSE04045	LYTVA_15159
OG0000087	MOUSE24629, MOUSE24631	LYTVA_06727
OG0000087	MOUSE40318, MOUSE40317	LYTVA_24079
OG0000087	MOUSE11362	LYTVA_22406
OG0000087	MOUSE22119, MOUSE22054, MOUSE22052	LYTVA_22963
OG0000087	MOUSE11213	LYTVA_04512
OG0000087	MOUSE46080, MOUSE46081	LYTVA_18728
OG0000087	MOUSE46082	LYTVA_07967
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455
OG0000089	MOUSE16032	LYTVA_19844
OG0000089	MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169	LYTVA_06777, LYTVA_25975
OG0000089	MOUSE55271	LYTVA_02304, LYTVA_26795, LYTVA_03634, LYTVA_28359, LYTVA_27830, LYTVA_15322, LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948
OG0000090	MOUSE17968	LYTVA_21266
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	LYTVA_02577
OG0000090	MOUSE32571, MOUSE32572	LYTVA_18395, LYTVA_13128
OG0000091	MOUSE19668, MOUSE19669	LYTVA_04137
OG0000093	MOUSE16619, MOUSE35368, MOUSE35369, MOUSE52764, MOUSE52765	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104
OG0000094	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508	LYTVA_10290
OG0000094	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850	LYTVA_09221
OG0000095	MOUSE21579	LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900	LYTVA_28490
OG0000096	MOUSE31085, MOUSE31087, MOUSE02247	LYTVA_12286
OG0000096	MOUSE35516	LYTVA_21388
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	LYTVA_10606
OG0000096	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996	LYTVA_19397
OG0000096	MOUSE45925, MOUSE45926, MOUSE44088	LYTVA_24298
OG0000096	MOUSE52337, MOUSE52338	LYTVA_20858
OG0000098	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240	LYTVA_15643
OG0000098	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729	LYTVA_24589, LYTVA_16909
OG0000099	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	MOUSE49370, MOUSE49670	LYTVA_13163
OG0000101	MOUSE02576, MOUSE49671	LYTVA_03798, LYTVA_11413
OG0000101	MOUSE15611, MOUSE15612	LYTVA_03793
