Orthogroup	MOUSE	AENJA_ok
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	AENJA_17575
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	AENJA_09293
OG0000002	MOUSE31557, MOUSE31558	AENJA_19547, AENJA_15292
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	MOUSE33129	AENJA_00531, AENJA_22262, AENJA_16411
OG0000002	MOUSE15413, MOUSE15412	AENJA_05471, AENJA_03252
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	AENJA_18812, AENJA_09022
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	MOUSE11220	AENJA_18510
OG0000006	MOUSE33561, MOUSE33562	AENJA_22158
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	AENJA_13126
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	AENJA_02691
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673	AENJA_20911
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	AENJA_07226
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	AENJA_22522
OG0000006	MOUSE38532, MOUSE38531	AENJA_09814
OG0000006	MOUSE10280	AENJA_00662
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	AENJA_07549, AENJA_15373
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	AENJA_18450
OG0000006	MOUSE08011, MOUSE15296	AENJA_01590
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	AENJA_09210
OG0000006	MOUSE03398	AENJA_15474
OG0000007	MOUSE09063, MOUSE49748	AENJA_18325
OG0000007	MOUSE51845, MOUSE20686	AENJA_18163
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	AENJA_00810
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	AENJA_25020
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	AENJA_23908
OG0000007	MOUSE52320	AENJA_19234
OG0000007	MOUSE49749	AENJA_18326
OG0000007	MOUSE13954	AENJA_06479, AENJA_16018
OG0000007	MOUSE09062, MOUSE49739	AENJA_18328
OG0000007	MOUSE38585	AENJA_07359
OG0000007	MOUSE04689, MOUSE37388	AENJA_09687
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	AENJA_07358
OG0000007	MOUSE38586, MOUSE06525	AENJA_11277
OG0000007	MOUSE06204	AENJA_22886
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	AENJA_16981
OG0000007	MOUSE07031, MOUSE07030	AENJA_26507
OG0000008	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182	AENJA_15934, AENJA_26738
OG0000008	MOUSE25728	AENJA_24404, AENJA_14450
OG0000010	MOUSE46557	AENJA_14735
OG0000010	MOUSE43879	AENJA_20491
OG0000010	MOUSE14717	AENJA_00347
OG0000011	MOUSE08113	AENJA_03543, AENJA_24193
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	AENJA_02869
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	AENJA_25536
OG0000014	MOUSE04191	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818
OG0000015	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500	AENJA_19636
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	AENJA_18653
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	AENJA_17614, AENJA_19630
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	AENJA_11513
OG0000016	MOUSE13078, MOUSE13077	AENJA_26671, AENJA_26677
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	AENJA_02781
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	AENJA_24818, AENJA_20016
OG0000019	MOUSE30063, MOUSE30064	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	MOUSE05499, MOUSE05500	AENJA_21688, AENJA_05309
OG0000020	MOUSE53015	AENJA_02593, AENJA_02596
OG0000020	MOUSE07164	AENJA_15791
OG0000020	MOUSE33588	AENJA_12903
OG0000020	MOUSE23587, MOUSE23586	AENJA_09502
OG0000020	MOUSE26371	AENJA_18052
OG0000020	MOUSE45175, MOUSE15405, MOUSE15402	AENJA_23718, AENJA_02408
OG0000020	MOUSE24012	AENJA_16929
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	AENJA_04727
OG0000020	MOUSE35162	AENJA_10912
OG0000020	MOUSE09601, MOUSE09602	AENJA_11444
OG0000020	MOUSE37001, MOUSE37002	AENJA_14659
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	AENJA_12495
OG0000021	MOUSE41024, MOUSE41023	AENJA_14639
OG0000021	MOUSE49041, MOUSE09998	AENJA_16593
OG0000021	MOUSE04592	AENJA_24950
OG0000021	MOUSE44445, MOUSE53773	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	MOUSE46773, MOUSE46772	AENJA_06341
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	MOUSE02558, MOUSE02557	AENJA_19909
OG0000023	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	AENJA_03895
OG0000026	MOUSE12605	AENJA_21657
OG0000026	MOUSE38308, MOUSE38309	AENJA_10129, AENJA_23516
OG0000027	MOUSE18680	AENJA_18849
OG0000029	MOUSE43115, MOUSE43116	AENJA_10650
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	AENJA_17283
OG0000031	MOUSE26385	AENJA_09856
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	AENJA_09858
OG0000031	MOUSE08528, MOUSE08527	AENJA_20966
OG0000031	MOUSE44529	AENJA_08759
OG0000031	MOUSE39309, MOUSE01505	AENJA_10722
OG0000031	MOUSE40719, MOUSE40720	AENJA_02955
OG0000031	MOUSE13006, MOUSE13005	AENJA_05740
OG0000031	MOUSE48656, MOUSE48889	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	AENJA_15028
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	AENJA_06514
OG0000032	MOUSE41899	AENJA_15565
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	MOUSE29123	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	MOUSE23164	AENJA_12283
OG0000034	MOUSE47179, MOUSE42232, MOUSE23593	AENJA_02790
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	AENJA_21749
OG0000034	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	AENJA_26717
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	AENJA_02791
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	AENJA_23686
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	AENJA_13785
OG0000034	MOUSE11491, MOUSE11490	AENJA_15701
OG0000034	MOUSE20059	AENJA_16616
OG0000035	MOUSE02570, MOUSE02571	AENJA_01174
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	AENJA_22033
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	AENJA_08825
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	AENJA_12732
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	AENJA_12364, AENJA_26037
OG0000035	MOUSE27104	AENJA_21683
OG0000035	MOUSE41551	AENJA_26795, AENJA_18623, AENJA_14012, AENJA_02191
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	AENJA_26206, AENJA_19267, AENJA_16633
OG0000036	MOUSE29724, MOUSE29725	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	AENJA_21299, AENJA_21302, AENJA_21301
OG0000036	MOUSE49438	AENJA_09983, AENJA_16634, AENJA_26207, AENJA_16107
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	AENJA_20944
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	AENJA_05483, AENJA_06274
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	AENJA_13632
OG0000037	MOUSE21441	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	MOUSE41992, MOUSE41494	AENJA_05691
OG0000039	MOUSE32704	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	AENJA_07945
OG0000039	MOUSE23387	AENJA_20163
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	AENJA_07541, AENJA_11361
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	AENJA_24560
OG0000041	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	AENJA_03404, AENJA_03405
OG0000044	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	AENJA_12079
OG0000044	MOUSE41161, MOUSE41162	AENJA_24602
OG0000045	MOUSE25074	AENJA_09277
OG0000046	MOUSE48114, MOUSE48113	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	MOUSE54722, MOUSE34003, MOUSE32874	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000048	MOUSE42201, MOUSE42202	AENJA_09360
OG0000048	MOUSE06701	AENJA_16735, AENJA_16736
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	AENJA_25506
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986	AENJA_20702
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311	AENJA_25756
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	AENJA_24250
OG0000054	MOUSE48109	AENJA_06676, AENJA_23371
OG0000054	MOUSE48108	AENJA_12232, AENJA_06677
OG0000056	MOUSE52879	AENJA_20111
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	AENJA_20268
OG0000056	MOUSE37995, MOUSE37994	AENJA_05228
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	MOUSE39640	AENJA_23993
OG0000057	MOUSE55281, MOUSE55280	AENJA_11025
OG0000058	MOUSE21857, MOUSE21254	AENJA_23345
OG0000058	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899	AENJA_12354
OG0000058	MOUSE38609, MOUSE40444	AENJA_10634
OG0000059	MOUSE52262, MOUSE52259, MOUSE52258	AENJA_13132
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	MOUSE52080, MOUSE52079	AENJA_17233
OG0000060	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943	AENJA_00816
OG0000060	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	AENJA_23597
OG0000061	MOUSE26618, MOUSE38907, MOUSE38906	AENJA_07301
OG0000061	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505	AENJA_07183
OG0000061	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785	AENJA_26614, AENJA_08766
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	MOUSE52081	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	AENJA_20321
OG0000063	MOUSE10885, MOUSE10881	AENJA_03789
OG0000063	MOUSE33697	AENJA_04323
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	AENJA_26394
OG0000066	MOUSE53763	AENJA_12655, AENJA_09505
OG0000066	MOUSE13756	AENJA_20318
OG0000067	MOUSE19580, MOUSE31455	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000068	MOUSE02010	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000069	MOUSE30824	AENJA_05175, AENJA_15982
OG0000070	MOUSE00174	AENJA_20523
OG0000070	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	MOUSE01400, MOUSE01399	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	MOUSE30088, MOUSE45691	AENJA_13128
OG0000072	MOUSE29660	AENJA_02450
OG0000072	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772	AENJA_25944, AENJA_05445
OG0000073	MOUSE18062	AENJA_02295
OG0000073	MOUSE17327, MOUSE17328, MOUSE17326	AENJA_08518, AENJA_08515
OG0000074	MOUSE01754, MOUSE40707	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	MOUSE27442, MOUSE27441	AENJA_24714
OG0000074	MOUSE43699, MOUSE19006	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	MOUSE05779, MOUSE03707	AENJA_23745
OG0000075	MOUSE34423	AENJA_05831
OG0000075	MOUSE22548	AENJA_18277
OG0000075	MOUSE31075, MOUSE39073	AENJA_21406
OG0000075	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239	AENJA_12918
OG0000075	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109	AENJA_12839
OG0000077	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727	AENJA_13107
OG0000077	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957	AENJA_07475
OG0000077	MOUSE20922, MOUSE20923, MOUSE20925, MOUSE20926, MOUSE20924	AENJA_04661
OG0000078	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884	AENJA_06551
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	AENJA_16186
OG0000079	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419	AENJA_02482
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479	AENJA_17442
OG0000079	MOUSE05042	AENJA_11789
OG0000079	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453	AENJA_10507
OG0000079	MOUSE36929	AENJA_05095
OG0000081	MOUSE21429, MOUSE21428, MOUSE21430	AENJA_04625, AENJA_04630, AENJA_04629
OG0000081	MOUSE51879	AENJA_23269
OG0000082	MOUSE19184	AENJA_25747
OG0000083	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042	AENJA_21795
OG0000084	MOUSE21451, MOUSE30075, MOUSE30074	AENJA_24814
OG0000084	MOUSE54561, MOUSE54560, MOUSE50161, MOUSE50162	AENJA_24184
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	AENJA_05556
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	AENJA_06487
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	AENJA_24493
OG0000085	MOUSE15351, MOUSE19993	AENJA_20539
OG0000085	MOUSE16592, MOUSE16590	AENJA_08917
OG0000087	MOUSE04044, MOUSE04045	AENJA_23251
OG0000087	MOUSE24629, MOUSE24631	AENJA_19109
OG0000087	MOUSE40318, MOUSE40317	AENJA_08976
OG0000087	MOUSE11362	AENJA_19775
OG0000087	MOUSE22119, MOUSE22054, MOUSE22052	AENJA_03163
OG0000087	MOUSE11213	AENJA_19935
OG0000087	MOUSE46080, MOUSE46081	AENJA_04374, AENJA_10299
OG0000087	MOUSE46082	AENJA_20453
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	MOUSE16032	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496
OG0000089	MOUSE55271	AENJA_09908, AENJA_23276, AENJA_11297, AENJA_00357, AENJA_23778, AENJA_22153, AENJA_17373, AENJA_13869, AENJA_00358, AENJA_09888, AENJA_08835, AENJA_24030, AENJA_01751, AENJA_09728, AENJA_01807
OG0000090	MOUSE17968	AENJA_02476
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	AENJA_10145
OG0000090	MOUSE32571, MOUSE32572	AENJA_01954
OG0000091	MOUSE19668, MOUSE19669	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508	AENJA_14582
OG0000094	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850	AENJA_26553
OG0000095	MOUSE21579	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900	AENJA_25727
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282	AENJA_21947
OG0000096	MOUSE30994, MOUSE47010	AENJA_08423
OG0000096	MOUSE45926	AENJA_09240
OG0000096	MOUSE52337, MOUSE52338	AENJA_14053
OG0000097	MOUSE31754, MOUSE31753, MOUSE31748, MOUSE31746, MOUSE31745, MOUSE31749, MOUSE31752, MOUSE31750, MOUSE31751, MOUSE31744	AENJA_19407, AENJA_02407
OG0000098	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240	AENJA_10136, AENJA_10137
