Orthogroup	MOUSE	NEMVE
OG0000005	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000005	MOUSE03520	NEMVE21437
OG0000006	MOUSE48684, MOUSE48683	NEMVE02889
OG0000006	MOUSE11220	NEMVE10951
OG0000006	MOUSE33561, MOUSE33562	NEMVE12700, NEMVE08468
OG0000006	MOUSE54497	NEMVE10906
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	NEMVE21901
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	NEMVE02590
OG0000006	MOUSE38532, MOUSE38531	NEMVE03392
OG0000006	MOUSE10280	NEMVE16957
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	NEMVE02351
OG0000006	MOUSE19675	NEMVE14647
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	NEMVE04712
OG0000006	MOUSE08011, MOUSE15296	NEMVE13538
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	MOUSE03398	NEMVE08464
OG0000007	MOUSE09063, MOUSE49748	NEMVE15003
OG0000007	MOUSE51845, MOUSE20686	NEMVE14764
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	NEMVE13570
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	NEMVE06210
OG0000007	MOUSE32557, MOUSE33511	NEMVE02350, NEMVE21807
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	NEMVE09701, NEMVE03333
OG0000007	MOUSE52320	NEMVE03816
OG0000007	MOUSE13954, MOUSE09061, MOUSE09062, MOUSE49739	NEMVE16064
OG0000007	MOUSE38585	NEMVE09056
OG0000007	MOUSE04689, MOUSE37388	NEMVE09467
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	NEMVE03824
OG0000007	MOUSE38586, MOUSE06525	NEMVE09051
OG0000007	MOUSE06204	NEMVE03714
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	NEMVE09289
OG0000007	MOUSE07031, MOUSE07030	NEMVE05677
OG0000008	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182	NEMVE06079, NEMVE05558
OG0000008	MOUSE35409	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	MOUSE49605, MOUSE49413	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000010	MOUSE12661	NEMVE05383
OG0000011	MOUSE08113	NEMVE10152
OG0000012	MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042, MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	NEMVE09268, NEMVE05547
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500, MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	MOUSE44325	NEMVE12514, NEMVE12424, NEMVE01060
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	NEMVE10959
OG0000016	MOUSE21130	NEMVE18985
OG0000016	MOUSE13078, MOUSE13077	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	NEMVE05675
OG0000016	MOUSE44334	NEMVE01836
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640, MOUSE30063, MOUSE30064	NEMVE10489
OG0000020	MOUSE07164	NEMVE05671
OG0000020	MOUSE33588	NEMVE18721
OG0000020	MOUSE23587, MOUSE23586	NEMVE14242
OG0000020	MOUSE13612, MOUSE06637, MOUSE06636, MOUSE34933, MOUSE26371, MOUSE45175, MOUSE15405, MOUSE15402	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	MOUSE24012	NEMVE05506
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	NEMVE08770, NEMVE22771
OG0000020	MOUSE35162	NEMVE13577
OG0000020	MOUSE09601, MOUSE09602, MOUSE48313, MOUSE48314	NEMVE13307
OG0000020	MOUSE37001, MOUSE37002	NEMVE21746
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	NEMVE13092
OG0000021	MOUSE49041, MOUSE09998, MOUSE04592	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	MOUSE44445, MOUSE53773, MOUSE44446, MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665, MOUSE19587	NEMVE04837
OG0000023	MOUSE22442	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449
OG0000023	MOUSE46773, MOUSE46772	NEMVE01882
OG0000023	MOUSE49036	NEMVE07698
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	NEMVE02033, NEMVE05058, NEMVE00878
OG0000026	MOUSE12605	NEMVE24164, NEMVE07469
OG0000026	MOUSE38308, MOUSE38309	NEMVE07551, NEMVE15646
OG0000027	MOUSE18680, MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836, MOUSE44283, MOUSE44284, MOUSE44285, MOUSE00444, MOUSE00443, MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636, MOUSE18678, MOUSE18679	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000029	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995	NEMVE01722, NEMVE08343
OG0000030	MOUSE21340	NEMVE06266, NEMVE00220
OG0000031	MOUSE44530	NEMVE02249
OG0000031	MOUSE26385	NEMVE01854
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	NEMVE06981
OG0000031	MOUSE05256	NEMVE07223
OG0000031	MOUSE08528, MOUSE08527	NEMVE01806
OG0000031	MOUSE39309, MOUSE01505	NEMVE02343
OG0000031	MOUSE40719, MOUSE40720	NEMVE04984
OG0000031	MOUSE13006, MOUSE13005	NEMVE07820
OG0000031	MOUSE48656, MOUSE48889	NEMVE12067
OG0000031	MOUSE13007, MOUSE36274, MOUSE36271	NEMVE21885
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	NEMVE22486
OG0000034	MOUSE47179	NEMVE16907
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	NEMVE07311, NEMVE07285
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	NEMVE10927
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	NEMVE10961, NEMVE24294
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	MOUSE11491, MOUSE11490	NEMVE05344
OG0000034	MOUSE20059	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	MOUSE02570, MOUSE02571	NEMVE23841
OG0000035	MOUSE51376, MOUSE51375, MOUSE51377	NEMVE22676
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	NEMVE07419, NEMVE07417
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306, MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	NEMVE00865, NEMVE01113
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	NEMVE10401
OG0000038	MOUSE41992, MOUSE41494	NEMVE16337, NEMVE14526
OG0000039	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088	NEMVE01371, NEMVE05995
OG0000039	MOUSE32704	NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	NEMVE15743
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	NEMVE05295
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809, MOUSE38798	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000045	MOUSE25074	NEMVE24106
OG0000045	MOUSE20735	NEMVE00309, NEMVE15224, NEMVE04686
OG0000045	MOUSE17353, MOUSE07193	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847
OG0000046	MOUSE48114, MOUSE48113, MOUSE30090, MOUSE36275, MOUSE36276, MOUSE54722, MOUSE34003, MOUSE32874	NEMVE08905, NEMVE15252
OG0000048	MOUSE55730	NEMVE05567
OG0000048	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452, MOUSE42201, MOUSE42202	NEMVE14912
OG0000048	MOUSE06701	NEMVE14024
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	NEMVE15061
OG0000049	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986, MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311, MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909	NEMVE19461, NEMVE02399, NEMVE21864
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	NEMVE18951, NEMVE15008
OG0000054	MOUSE48109	NEMVE15086, NEMVE10916
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	NEMVE05466
OG0000056	MOUSE52879	NEMVE11933
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	MOUSE37995, MOUSE37994	NEMVE01503, NEMVE04541
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	MOUSE39640	NEMVE11524, NEMVE08932, NEMVE10300, NEMVE12366, NEMVE08787
OG0000057	MOUSE55281, MOUSE55280	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	MOUSE21857, MOUSE21254	NEMVE13151
OG0000059	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589, MOUSE45371, MOUSE45374	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586	NEMVE10327
OG0000062	MOUSE52081	NEMVE14126
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696	NEMVE05614
OG0000063	MOUSE10885, MOUSE10881	NEMVE00961
OG0000063	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	NEMVE09684
OG0000065	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	MOUSE53763	NEMVE02094, NEMVE00829
OG0000066	MOUSE13756	NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925
OG0000067	MOUSE19580, MOUSE31455	NEMVE14139, NEMVE14099
OG0000068	MOUSE39314, MOUSE54372, MOUSE40674, MOUSE24850, MOUSE24849, MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009, MOUSE02010	NEMVE24661, NEMVE20048
OG0000069	MOUSE30824	NEMVE21932, NEMVE14181, NEMVE11511
OG0000069	MOUSE08907, MOUSE30830	NEMVE22023
OG0000069	MOUSE24595, MOUSE06171, MOUSE24596	NEMVE15092
OG0000069	MOUSE24597	NEMVE02861
OG0000069	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829	NEMVE13176, NEMVE12607
OG0000070	MOUSE00174, MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	MOUSE27775, MOUSE27776, MOUSE27777	NEMVE22171
OG0000072	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201	NEMVE01460
OG0000072	MOUSE30088, MOUSE45691	NEMVE07818
OG0000074	MOUSE27442, MOUSE27441	NEMVE04681
OG0000075	MOUSE05779, MOUSE03707	NEMVE23844
OG0000075	MOUSE14633	NEMVE13100
OG0000075	MOUSE34423	NEMVE15115
OG0000075	MOUSE45151	NEMVE21913
OG0000075	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630	NEMVE18051
OG0000075	MOUSE22548	NEMVE06044
OG0000075	MOUSE31075, MOUSE39073	NEMVE24197
OG0000075	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239	NEMVE22411
OG0000075	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742	NEMVE17771
OG0000075	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109	NEMVE07707
OG0000077	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727, MOUSE15867, MOUSE51200, MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957, MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502, MOUSE20922, MOUSE20923, MOUSE20925, MOUSE20926, MOUSE20924	NEMVE04990
OG0000078	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884	NEMVE17207
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603	NEMVE07219, NEMVE03189
OG0000079	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479, MOUSE05042	NEMVE08009
OG0000079	MOUSE36929	NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451
OG0000081	MOUSE19801, MOUSE48363, MOUSE51878, MOUSE51877, MOUSE15491, MOUSE15490, MOUSE16142, MOUSE15827	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056
OG0000082	MOUSE25920	NEMVE19066
OG0000082	MOUSE19184	NEMVE05388
OG0000082	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878	NEMVE14867, NEMVE15134
OG0000083	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091
OG0000084	MOUSE31596, MOUSE40356, MOUSE00836	NEMVE07901
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267	NEMVE09794, NEMVE03205
OG0000085	MOUSE04941, MOUSE37558, MOUSE37557	NEMVE07289
OG0000085	MOUSE50493, MOUSE50494, MOUSE50492	NEMVE07695, NEMVE08967, NEMVE08972
OG0000085	MOUSE54746, MOUSE54748, MOUSE54747, MOUSE30928, MOUSE52166, MOUSE30929	NEMVE05696
OG0000085	MOUSE15351, MOUSE19993	NEMVE18682, NEMVE18681
OG0000085	MOUSE37560, MOUSE37561, MOUSE37559, MOUSE04944, MOUSE04943	NEMVE13608
OG0000085	MOUSE16591	NEMVE00067
OG0000087	MOUSE04044, MOUSE04045	NEMVE14074
OG0000087	MOUSE24630, MOUSE04046	NEMVE12577
OG0000087	MOUSE24629, MOUSE24631	NEMVE07184
OG0000087	MOUSE40318, MOUSE40317	NEMVE14184
OG0000087	MOUSE22119, MOUSE22054, MOUSE22052	NEMVE13354, NEMVE03416, NEMVE04646
OG0000087	MOUSE11213	NEMVE02951
OG0000087	MOUSE46080, MOUSE46081	NEMVE25319
OG0000087	MOUSE46082	NEMVE20307
OG0000088	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110
OG0000089	MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169	NEMVE15803
OG0000089	MOUSE55271	NEMVE15621, NEMVE15853
OG0000090	MOUSE17971, MOUSE17970, MOUSE17967	NEMVE05578
OG0000091	MOUSE19668, MOUSE19669	NEMVE05463, NEMVE05476, NEMVE13252
OG0000094	MOUSE23651, MOUSE23649, MOUSE23648, MOUSE23650, MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508	NEMVE05621
