Orthogroup	MOUSE	XENTR
OG0000002	MOUSE31557, MOUSE31558	XENTR12747
OG0000002	MOUSE43167, MOUSE43166	XENTR12309, XENTR12000
OG0000002	MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159	XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931	XENTR16022
OG0000002	MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	MOUSE15413, MOUSE15412	XENTR17667
OG0000004	MOUSE12693, MOUSE12692	XENTR15834
OG0000004	MOUSE21111	XENTR18073
OG0000004	MOUSE31437	XENTR04878
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374	XENTR07824, XENTR07823
OG0000004	MOUSE30144	XENTR07827, XENTR19087, XENTR07826
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	XENTR05002, XENTR05003
OG0000005	MOUSE20294, MOUSE20293, MOUSE13586	XENTR09503
OG0000005	MOUSE20384, MOUSE20383	XENTR09492, XENTR09491
OG0000005	MOUSE20203	XENTR09477
OG0000005	MOUSE53215, MOUSE53214	XENTR17068
OG0000005	MOUSE16622, MOUSE16621	XENTR04106
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	XENTR16849, XENTR09568
OG0000006	MOUSE11220	XENTR06019
OG0000006	MOUSE33561, MOUSE33562	XENTR00026
OG0000006	MOUSE36359	XENTR03474, XENTR03473
OG0000006	MOUSE45321	XENTR14730
OG0000006	MOUSE29952, MOUSE29953	XENTR03090
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071	XENTR03954
OG0000006	MOUSE25672, MOUSE25673	XENTR14945
OG0000006	MOUSE54497	XENTR03689
OG0000006	MOUSE02096, MOUSE02095, MOUSE02097	XENTR00399
OG0000006	MOUSE27112, MOUSE27111	XENTR09859
OG0000006	MOUSE28165	XENTR09947
OG0000006	MOUSE07632, MOUSE07631	XENTR11692
OG0000006	MOUSE38532, MOUSE38531	XENTR11329
OG0000006	MOUSE10280	XENTR15046
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	XENTR13548
OG0000006	MOUSE19675	XENTR15729, XENTR08627
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501	XENTR04854
OG0000006	MOUSE21233, MOUSE21234	XENTR07280
OG0000006	MOUSE09568, MOUSE09567	XENTR07527
OG0000006	MOUSE08011	XENTR07719
OG0000006	MOUSE11795, MOUSE11796	XENTR03854
OG0000006	MOUSE11799, MOUSE11800	XENTR12781
OG0000006	MOUSE04696	XENTR16538, XENTR16537, XENTR09455
OG0000007	MOUSE09063	XENTR04989
OG0000007	MOUSE49748	XENTR07641
OG0000007	MOUSE51845	XENTR10435
OG0000007	MOUSE28113, MOUSE28115, MOUSE28114	XENTR08906
OG0000007	MOUSE07122	XENTR06676
OG0000007	MOUSE33185	XENTR00358
OG0000007	MOUSE10368, MOUSE33510	XENTR05826, XENTR00041
OG0000007	MOUSE32557	XENTR08678
OG0000007	MOUSE03187	XENTR10333
OG0000007	MOUSE40199, MOUSE40198	XENTR09768, XENTR09769
OG0000007	MOUSE46807	XENTR02009
OG0000007	MOUSE52320	XENTR03222
OG0000007	MOUSE49749	XENTR07642
OG0000007	MOUSE13954	XENTR11347, XENTR18406
OG0000007	MOUSE09061	XENTR04991
OG0000007	MOUSE09062	XENTR04990
OG0000007	MOUSE49739	XENTR05942
OG0000007	MOUSE04689	XENTR09461
OG0000007	MOUSE37388	XENTR01137
OG0000007	MOUSE07860	XENTR03031
OG0000007	MOUSE18809, MOUSE18808, MOUSE18807	XENTR06562
OG0000007	MOUSE06525	XENTR16583
OG0000007	MOUSE06204	XENTR07405
OG0000007	MOUSE33792, MOUSE33790	XENTR09232
OG0000007	MOUSE41340, MOUSE41339	XENTR15271
OG0000008	MOUSE17513, MOUSE17514	XENTR11531, XENTR11530
OG0000008	MOUSE33182	XENTR00356
OG0000008	MOUSE03822, MOUSE03823	XENTR18145, XENTR18144, XENTR18146, XENTR18147
OG0000008	MOUSE25728	XENTR07747
OG0000008	MOUSE25499, MOUSE25498, MOUSE25349	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125
OG0000008	MOUSE35409	XENTR02855
OG0000008	MOUSE34799	XENTR14482
OG0000008	MOUSE48084	XENTR14453
OG0000010	MOUSE14749	XENTR03796, XENTR03794, XENTR03795, XENTR03797
OG0000010	MOUSE34625, MOUSE34624	XENTR17402, XENTR17403, XENTR17056, XENTR19172
OG0000010	MOUSE34426, MOUSE34427	XENTR17234, XENTR17233, XENTR17232, XENTR17230, XENTR17231
OG0000010	MOUSE49605	XENTR06633, XENTR06635, XENTR06634
OG0000010	MOUSE36610, MOUSE36609	XENTR08285, XENTR08284
OG0000010	MOUSE46556	XENTR13360
OG0000010	MOUSE16866	XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667
OG0000010	MOUSE16888	XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
OG0000010	MOUSE14717	XENTR04584, XENTR06998, XENTR03807
OG0000010	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248
OG0000012	MOUSE30007, MOUSE30008	XENTR00246, XENTR14489
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	MOUSE13221, MOUSE13219	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380
OG0000013	MOUSE31454	XENTR04875
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946	XENTR01071, XENTR01070, XENTR01094, XENTR01095
OG0000013	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	XENTR08287, XENTR08288
OG0000014	MOUSE04189	XENTR12243
OG0000014	MOUSE31054	XENTR01230
OG0000014	MOUSE02337	XENTR14320
OG0000014	MOUSE06495	XENTR09795
OG0000014	MOUSE06101, MOUSE06102, MOUSE06100	XENTR13716
OG0000014	MOUSE20912	XENTR09521
OG0000014	MOUSE22789	XENTR18803
OG0000014	MOUSE00987	XENTR09297
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503	XENTR09147
OG0000014	MOUSE54686	XENTR00681
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	XENTR14500
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	XENTR05642
OG0000015	MOUSE03176	XENTR10336, XENTR08668
OG0000015	MOUSE35079	XENTR08442
OG0000015	MOUSE03220, MOUSE03221	XENTR15573
OG0000015	MOUSE44502, MOUSE44501, MOUSE44500	XENTR12597, XENTR03461, XENTR00415
OG0000015	MOUSE32201, MOUSE32200	XENTR14250
OG0000015	MOUSE32202, MOUSE32204	XENTR15058
OG0000015	MOUSE16093	XENTR02840
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209	XENTR16072
OG0000015	MOUSE36402	XENTR03462
OG0000015	MOUSE03212, MOUSE03211	XENTR16073
OG0000015	MOUSE54208, MOUSE54207	XENTR12596
OG0000015	MOUSE44499	XENTR00414
OG0000015	MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	XENTR17914
OG0000015	MOUSE55359	XENTR13566
OG0000015	MOUSE48246	XENTR03288
OG0000015	MOUSE03594, MOUSE03595, MOUSE03596	XENTR15069
OG0000016	MOUSE15414	XENTR06233
OG0000016	MOUSE15161, MOUSE15160	XENTR01362
OG0000016	MOUSE44326	XENTR01363
OG0000016	MOUSE05122, MOUSE05123	XENTR07382
OG0000016	MOUSE21130	XENTR09539
OG0000016	MOUSE13078, MOUSE13077	XENTR12717
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	XENTR17802
OG0000016	MOUSE44335	XENTR18390
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499	XENTR16393
OG0000019	MOUSE46139, MOUSE46138	XENTR01006
OG0000019	MOUSE46137	XENTR01005
OG0000019	MOUSE14689, MOUSE14688	XENTR07225
OG0000019	MOUSE04790	XENTR02749
OG0000019	MOUSE22639, MOUSE22640	XENTR04194
OG0000019	MOUSE30063, MOUSE30064	XENTR03535
OG0000020	MOUSE39911	XENTR09200
OG0000020	MOUSE05499, MOUSE05500	XENTR18565
OG0000020	MOUSE07164	XENTR14576
OG0000020	MOUSE33588	XENTR00311
OG0000020	MOUSE13612	XENTR15741
OG0000020	MOUSE06637, MOUSE06636	XENTR07596
OG0000020	MOUSE34933	XENTR04090
OG0000020	MOUSE26371	XENTR05411
OG0000020	MOUSE45175	XENTR15461
OG0000020	MOUSE15405	XENTR03248
OG0000020	MOUSE15402	XENTR03249
OG0000020	MOUSE24012	XENTR04697
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807	XENTR07864
OG0000020	MOUSE36286, MOUSE36285	XENTR11783
OG0000020	MOUSE35162	XENTR08063
OG0000020	MOUSE48313, MOUSE48314	XENTR05660
OG0000020	MOUSE37001, MOUSE37002	XENTR15846
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	XENTR15636
OG0000021	MOUSE41024, MOUSE41023	XENTR17791
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	XENTR06809
OG0000021	MOUSE40749	XENTR11123
OG0000021	MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022	XENTR16378
OG0000021	MOUSE49041	XENTR12641
OG0000021	MOUSE09998	XENTR02936
OG0000021	MOUSE04592	XENTR18096
OG0000021	MOUSE44445	XENTR13705
OG0000021	MOUSE53773	XENTR13394, XENTR13393
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	XENTR00007
OG0000021	MOUSE19587	XENTR13780, XENTR17333
OG0000023	MOUSE46773, MOUSE46772	XENTR02017
OG0000023	MOUSE01124	XENTR00841
OG0000023	MOUSE12258, MOUSE12260	XENTR15918
OG0000023	MOUSE49191	XENTR00481
OG0000023	MOUSE28391	XENTR16829
OG0000023	MOUSE32112, MOUSE32114	XENTR12543
OG0000023	MOUSE38000	XENTR00784
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	XENTR04037
OG0000023	MOUSE02558, MOUSE02557	XENTR05209, XENTR05210
OG0000023	MOUSE50078	XENTR05773
OG0000023	MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074	XENTR05777
OG0000023	MOUSE50063	XENTR05778
OG0000023	MOUSE49035	XENTR12643
OG0000023	MOUSE28744	XENTR01709, XENTR01708
OG0000023	MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	XENTR05774, XENTR05776, XENTR05775, XENTR18976
OG0000026	MOUSE12605	XENTR07244
OG0000027	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836	XENTR03739
OG0000027	MOUSE44283, MOUSE44284, MOUSE44285	XENTR10928, XENTR05419, XENTR05696, XENTR05695
OG0000027	MOUSE00444, MOUSE00443	XENTR11166, XENTR14623
OG0000027	MOUSE18379, MOUSE18380	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288
OG0000027	MOUSE36638	XENTR11639
OG0000027	MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	XENTR18028, XENTR18027, XENTR18029
OG0000027	MOUSE18678, MOUSE18679	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	MOUSE45380	XENTR17263
OG0000028	MOUSE30414, MOUSE30413	XENTR18279
OG0000028	MOUSE51349	XENTR05325
OG0000028	MOUSE51347, MOUSE51348	XENTR05326
OG0000028	MOUSE47957	XENTR17548
OG0000028	MOUSE12712	XENTR15539
OG0000028	MOUSE29157, MOUSE29159	XENTR18293
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955	XENTR17549
OG0000028	MOUSE26458	XENTR05379, XENTR05378
OG0000028	MOUSE44525	XENTR10277
OG0000029	MOUSE37827	XENTR10325
OG0000029	MOUSE45127, MOUSE48617	XENTR07438, XENTR16899
OG0000029	MOUSE49324, MOUSE49325	XENTR09562
OG0000029	MOUSE22849, MOUSE22848	XENTR10017, XENTR09646
OG0000029	MOUSE02995	XENTR13058
OG0000029	MOUSE17544	XENTR11755
OG0000029	MOUSE15400	XENTR10534
OG0000029	MOUSE26337	XENTR08766
OG0000029	MOUSE23727	XENTR01288
OG0000029	MOUSE29998, MOUSE16471	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	XENTR08639
OG0000030	MOUSE30488	XENTR18219
OG0000030	MOUSE55035	XENTR00656
OG0000030	MOUSE41811, MOUSE41812	XENTR05598
OG0000030	MOUSE21340	XENTR12816
OG0000031	MOUSE55186	XENTR15116
OG0000031	MOUSE55187	XENTR12583
OG0000031	MOUSE26385	XENTR05405
OG0000031	MOUSE14840	XENTR08553
OG0000031	MOUSE26448	XENTR05384
OG0000031	MOUSE08530	XENTR03164
OG0000031	MOUSE05256	XENTR10836
OG0000031	MOUSE08528, MOUSE08527	XENTR03163
OG0000031	MOUSE44529	XENTR09319
OG0000031	MOUSE20731	XENTR06988
OG0000031	MOUSE39309, MOUSE01505	XENTR00229
OG0000031	MOUSE40719	XENTR11133
OG0000031	MOUSE13006, MOUSE13005	XENTR00918
OG0000031	MOUSE48656	XENTR00006, XENTR16792
OG0000031	MOUSE48889	XENTR04300
OG0000031	MOUSE13007	XENTR00917
OG0000031	MOUSE36274, MOUSE36271	XENTR11778
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338	XENTR09425
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	XENTR06599
OG0000032	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903	XENTR18392
OG0000032	MOUSE41905, MOUSE41904	XENTR18393
OG0000032	MOUSE52411, MOUSE52410	XENTR06098
OG0000032	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	XENTR03124
OG0000032	MOUSE29123	XENTR17016
OG0000032	MOUSE23164	XENTR03433
OG0000034	MOUSE46353, MOUSE46347	XENTR14967
OG0000034	MOUSE37608	XENTR08246
OG0000034	MOUSE04537	XENTR04943
OG0000034	MOUSE43921	XENTR11418, XENTR11419
OG0000034	MOUSE45737	XENTR10883
OG0000034	MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	XENTR07417
OG0000034	MOUSE23594	XENTR01252
OG0000034	MOUSE02137	XENTR11199, XENTR07072
OG0000034	MOUSE47177, MOUSE47178, MOUSE47176	XENTR12065
OG0000034	MOUSE19105	XENTR15456
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	XENTR10156
OG0000034	MOUSE11491, MOUSE11490	XENTR16254
OG0000034	MOUSE20059	XENTR08340
OG0000035	MOUSE02570, MOUSE02571	XENTR05239
OG0000035	MOUSE51376, MOUSE51375	XENTR05317
OG0000035	MOUSE51377	XENTR05866, XENTR05867
OG0000035	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	XENTR07648
OG0000035	MOUSE31138	XENTR17453
OG0000035	MOUSE47097	XENTR07651
OG0000035	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	XENTR11799
OG0000035	MOUSE02196, MOUSE02197	XENTR11499
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974	XENTR11381, XENTR11382
OG0000035	MOUSE47243, MOUSE47244, MOUSE47242	XENTR12076
OG0000035	MOUSE41507	XENTR01605
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	XENTR09858
OG0000035	MOUSE27104	XENTR13293, XENTR09857
OG0000036	MOUSE12248	XENTR16945
OG0000036	MOUSE49436	XENTR13571
OG0000036	MOUSE49768	XENTR07761
OG0000036	MOUSE12301	XENTR12415
OG0000036	MOUSE43707, MOUSE43706, MOUSE43708	XENTR07272
OG0000036	MOUSE29724, MOUSE29725	XENTR01038
OG0000036	MOUSE32123	XENTR16237, XENTR16236
OG0000036	MOUSE06658, MOUSE06659	XENTR05174
OG0000036	MOUSE43723	XENTR07278
OG0000037	MOUSE10993, MOUSE10994	XENTR16595
OG0000037	MOUSE10992	XENTR17072
OG0000037	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745	XENTR05552
OG0000037	MOUSE07837, MOUSE07836, MOUSE07835	XENTR03023
OG0000037	MOUSE20306	XENTR14114
OG0000037	MOUSE49952, MOUSE49951	XENTR16580
OG0000037	MOUSE43378	XENTR14770
OG0000037	MOUSE28645, MOUSE28646	XENTR10865
OG0000037	MOUSE13720, MOUSE35631	XENTR10696
OG0000037	MOUSE21441	XENTR18131
OG0000038	MOUSE14647	XENTR06225
OG0000038	MOUSE14644	XENTR06223
OG0000038	MOUSE14645	XENTR06224
OG0000038	MOUSE22591, MOUSE22592	XENTR04206
OG0000038	MOUSE41278	XENTR16650
OG0000039	MOUSE24093	XENTR03946
OG0000039	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091	XENTR03945
OG0000039	MOUSE32704	XENTR17227
OG0000039	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000040	MOUSE39434, MOUSE39435, MOUSE39433	XENTR14058
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964	XENTR16713
OG0000041	MOUSE44347, MOUSE44348	XENTR17286
OG0000041	MOUSE02172, MOUSE02171, MOUSE02173	XENTR13662
OG0000041	MOUSE31152	XENTR02569
OG0000041	MOUSE44196	XENTR12683
OG0000041	MOUSE31142	XENTR11379
OG0000041	MOUSE31141	XENTR11378
OG0000041	MOUSE41518	XENTR01609
OG0000041	MOUSE31140	XENTR11377
OG0000041	MOUSE41519	XENTR01610
OG0000041	MOUSE27266	XENTR10042
OG0000041	MOUSE28829	XENTR03001
OG0000041	MOUSE21621	XENTR09331
OG0000041	MOUSE06756	XENTR13929
OG0000041	MOUSE06702	XENTR05159
OG0000041	MOUSE28657	XENTR10869
OG0000042	MOUSE15999	XENTR01504
OG0000042	MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172	XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466
OG0000042	MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424
OG0000043	MOUSE50973	XENTR06023, XENTR06022
OG0000043	MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664
OG0000044	MOUSE09513	XENTR08740
OG0000044	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857	XENTR08871
OG0000044	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857	XENTR02238
OG0000044	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	XENTR13100
OG0000044	MOUSE36519	XENTR05498
OG0000044	MOUSE03349	XENTR01628
OG0000044	MOUSE38808, MOUSE38809	XENTR04385
OG0000044	MOUSE38798	XENTR04387
OG0000044	MOUSE41161, MOUSE41162	XENTR04256
OG0000045	MOUSE25340, MOUSE25339, MOUSE25341	XENTR14513
OG0000045	MOUSE20735	XENTR06990
OG0000046	MOUSE48114, MOUSE48113	XENTR04959
OG0000046	MOUSE30090	XENTR03550, XENTR03551
OG0000046	MOUSE36275, MOUSE36276	XENTR11781, XENTR11780
OG0000046	MOUSE54722	XENTR08235, XENTR05674
OG0000046	MOUSE34003	XENTR16277
OG0000048	MOUSE55730	XENTR03701
OG0000048	MOUSE04650, MOUSE04652	XENTR11111
OG0000048	MOUSE42201, MOUSE42202	XENTR04117
OG0000048	MOUSE06701	XENTR05160
OG0000049	MOUSE00124, MOUSE00123	XENTR00212
OG0000049	MOUSE44987, MOUSE44986	XENTR08482
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608	XENTR07031
OG0000049	MOUSE35311	XENTR06401
OG0000049	MOUSE03391	XENTR18684
OG0000049	MOUSE40910, MOUSE40909	XENTR07961
OG0000049	MOUSE39155	XENTR07960
OG0000051	MOUSE40003	XENTR08842
OG0000053	MOUSE33288	XENTR00094
OG0000054	MOUSE48109	XENTR04962, XENTR04961
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000054	MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433	XENTR11898, XENTR11899, XENTR11900
OG0000055	MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084
