Orthogroup	MOUSE	ORYLA
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	ORYLA11724, ORYLA11723, ORYLA15657
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	MOUSE18207	ORYLA19606, ORYLA19605, ORYLA00089
OG0000005	MOUSE20384, MOUSE20383	ORYLA04143
OG0000005	MOUSE20203	ORYLA04443
OG0000005	MOUSE53215, MOUSE53214	ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	ORYLA04733
OG0000006	MOUSE33561, MOUSE33562	ORYLA13568, ORYLA06565
OG0000006	MOUSE36359	ORYLA20407
OG0000006	MOUSE45321	ORYLA03595
OG0000006	MOUSE29952, MOUSE29953	ORYLA03421
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071	ORYLA13382
OG0000006	MOUSE54497	ORYLA09038
OG0000006	MOUSE31158	ORYLA15680
OG0000006	MOUSE02096, MOUSE02095, MOUSE02097	ORYLA07217
OG0000006	MOUSE27112, MOUSE27111	ORYLA12345, ORYLA14784
OG0000006	MOUSE07632, MOUSE07631	ORYLA10511, ORYLA11827
OG0000006	MOUSE38532, MOUSE38531	ORYLA16517
OG0000006	MOUSE10280	ORYLA17394
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	ORYLA05082
OG0000006	MOUSE19675	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501	ORYLA20473
OG0000006	MOUSE21233, MOUSE21234	ORYLA04673
OG0000006	MOUSE09568, MOUSE09567	ORYLA03873
OG0000006	MOUSE11795, MOUSE11796	ORYLA10460
OG0000006	MOUSE02988, MOUSE02987	ORYLA00215, ORYLA04762
OG0000006	MOUSE03398	ORYLA04691
OG0000006	MOUSE04696	ORYLA03542
OG0000007	MOUSE09063	ORYLA13334
OG0000007	MOUSE51845	ORYLA14937
OG0000007	MOUSE20686	ORYLA17526
OG0000007	MOUSE42742	ORYLA03070
OG0000007	MOUSE28113, MOUSE28115, MOUSE28114	ORYLA10601
OG0000007	MOUSE07122	ORYLA19360
OG0000007	MOUSE33185	ORYLA13245
OG0000007	MOUSE10368, MOUSE33510	ORYLA02416, ORYLA13595
OG0000007	MOUSE32557	ORYLA00451
OG0000007	MOUSE40199, MOUSE40198	ORYLA10719
OG0000007	MOUSE52320	ORYLA18472
OG0000007	MOUSE49749	ORYLA15197
OG0000007	MOUSE38483	ORYLA07783
OG0000007	MOUSE13954	ORYLA09030
OG0000007	MOUSE09062	ORYLA13335
OG0000007	MOUSE49739	ORYLA12464
OG0000007	MOUSE04689	ORYLA03471
OG0000007	MOUSE37388	ORYLA17615
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860	ORYLA11394
OG0000007	MOUSE18809, MOUSE18808, MOUSE18807	ORYLA05164
OG0000007	MOUSE38586	ORYLA00561
OG0000007	MOUSE06525	ORYLA16283, ORYLA08278
OG0000007	MOUSE06204	ORYLA16317
OG0000007	MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793	ORYLA15605
OG0000007	MOUSE41340, MOUSE41339	ORYLA05828
OG0000007	MOUSE07031, MOUSE07030	ORYLA10158
OG0000008	MOUSE17513, MOUSE17514	ORYLA06372
OG0000008	MOUSE33182	ORYLA06647, ORYLA13248
OG0000008	MOUSE03822, MOUSE03823	ORYLA00582
OG0000008	MOUSE25728	ORYLA02437
OG0000008	MOUSE50311	ORYLA18857
OG0000008	MOUSE35409	ORYLA11025
OG0000008	MOUSE34799	ORYLA15397
OG0000008	MOUSE48084	ORYLA01388
OG0000010	MOUSE14749	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017
OG0000010	MOUSE34626	ORYLA17718
OG0000010	MOUSE34625, MOUSE34624	ORYLA15599, ORYLA15600
OG0000010	MOUSE49605	ORYLA12063
OG0000010	MOUSE49413	ORYLA05561
OG0000010	MOUSE22876	ORYLA06892, ORYLA19685, ORYLA19686
OG0000010	MOUSE17060, MOUSE17058	ORYLA18252
OG0000010	MOUSE36610, MOUSE36609	ORYLA06010
OG0000010	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	MOUSE14717	ORYLA15708
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	ORYLA20398
OG0000011	MOUSE08113	ORYLA04501
OG0000012	MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042	ORYLA15107, ORYLA15108
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	ORYLA15199
OG0000013	MOUSE31454	ORYLA00386
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946	ORYLA20078, ORYLA06697, ORYLA06696
OG0000013	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	ORYLA19175, ORYLA17235
OG0000014	MOUSE04189	ORYLA07442
OG0000014	MOUSE04186, MOUSE04184, MOUSE04187	ORYLA17297, ORYLA15314
OG0000014	MOUSE31054	ORYLA13996, ORYLA16200
OG0000014	MOUSE02337	ORYLA10845
OG0000014	MOUSE06495	ORYLA17181
OG0000014	MOUSE06101, MOUSE06102, MOUSE06100	ORYLA08263
OG0000014	MOUSE20912	ORYLA04835, ORYLA19923
OG0000014	MOUSE31149, MOUSE31150	ORYLA15682
OG0000014	MOUSE22789, MOUSE22790, MOUSE00987	ORYLA04907
OG0000014	MOUSE00504	ORYLA11600
OG0000014	MOUSE54686	ORYLA01088
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	ORYLA07812, ORYLA17200
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	ORYLA00867, ORYLA20430
OG0000015	MOUSE03176	ORYLA04638
OG0000015	MOUSE03220, MOUSE03221	ORYLA19973
OG0000015	MOUSE36411, MOUSE36410, MOUSE44503	ORYLA08714
OG0000015	MOUSE44502, MOUSE44501, MOUSE44500	ORYLA04332, ORYLA10753
OG0000015	MOUSE32201, MOUSE32200	ORYLA11923, ORYLA10179
OG0000015	MOUSE32202	ORYLA11921
OG0000015	MOUSE16093	ORYLA08817, ORYLA04154
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209	ORYLA03899
OG0000015	MOUSE36400, MOUSE36401	ORYLA10757
OG0000015	MOUSE36402	ORYLA01414
OG0000015	MOUSE03212, MOUSE03211	ORYLA19970
OG0000015	MOUSE54208, MOUSE54207	ORYLA04333
OG0000015	MOUSE44499	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513
OG0000015	MOUSE36407, MOUSE36406	ORYLA01413
OG0000015	MOUSE03217, MOUSE03218, MOUSE03219	ORYLA19971
OG0000015	MOUSE55359	ORYLA09940, ORYLA09941
OG0000015	MOUSE54956	ORYLA00953
OG0000015	MOUSE48246	ORYLA18852
OG0000015	MOUSE03594, MOUSE03595, MOUSE03596	ORYLA01514
OG0000016	MOUSE48959, MOUSE48960	ORYLA12720
OG0000016	MOUSE15161, MOUSE15160	ORYLA17171
OG0000016	MOUSE44326	ORYLA00784
OG0000016	MOUSE05122, MOUSE05123	ORYLA19764
OG0000016	MOUSE21130	ORYLA05054
OG0000016	MOUSE13078, MOUSE13077	ORYLA09921
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	ORYLA00030
OG0000016	MOUSE44334	ORYLA08665
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938	ORYLA11245
OG0000016	MOUSE44335	ORYLA15380
OG0000019	MOUSE04791	ORYLA16411
OG0000019	MOUSE22639, MOUSE22640	ORYLA20089, ORYLA20088
OG0000020	MOUSE39911	ORYLA09327
OG0000020	MOUSE05499, MOUSE05500	ORYLA12531
OG0000020	MOUSE53015	ORYLA15493
OG0000020	MOUSE07164	ORYLA10559
OG0000020	MOUSE33588	ORYLA06663
OG0000020	MOUSE23587, MOUSE23586	ORYLA16080
OG0000020	MOUSE13612	ORYLA02155, ORYLA05512
OG0000020	MOUSE06637, MOUSE06636	ORYLA11359
OG0000020	MOUSE34933	ORYLA19795
OG0000020	MOUSE26371	ORYLA09855
OG0000020	MOUSE45175, MOUSE15405	ORYLA06900
OG0000020	MOUSE15402	ORYLA09950
OG0000020	MOUSE24012	ORYLA06780
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807	ORYLA01097
OG0000020	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	ORYLA00349
OG0000020	MOUSE35162	ORYLA15647
OG0000020	MOUSE09601, MOUSE09602	ORYLA00902
OG0000020	MOUSE48313, MOUSE48314	ORYLA00505
OG0000020	MOUSE37001, MOUSE37002	ORYLA02546
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	ORYLA06519
OG0000021	MOUSE41024, MOUSE41023	ORYLA13904, ORYLA15936
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	ORYLA20207
OG0000021	MOUSE40749	ORYLA15878, ORYLA14141
OG0000021	MOUSE41281	ORYLA10930, ORYLA14683
OG0000021	MOUSE41022	ORYLA13905
OG0000021	MOUSE49041	ORYLA12641
OG0000021	MOUSE09998	ORYLA05479
OG0000021	MOUSE04592	ORYLA03698
OG0000021	MOUSE44445	ORYLA12092
OG0000021	MOUSE53773	ORYLA14389
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	ORYLA06753
OG0000021	MOUSE19587	ORYLA04245
OG0000023	MOUSE01124	ORYLA02861, ORYLA18687
OG0000023	MOUSE12258, MOUSE12260	ORYLA06733, ORYLA07486
OG0000023	MOUSE49191	ORYLA12741, ORYLA15296
OG0000023	MOUSE28391	ORYLA13800
OG0000023	MOUSE32112, MOUSE32114	ORYLA07073, ORYLA08963
OG0000023	MOUSE38000	ORYLA02776
OG0000023	MOUSE16835	ORYLA01476
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	ORYLA03601
OG0000023	MOUSE02558, MOUSE02557	ORYLA14352, ORYLA16095
OG0000023	MOUSE50078	ORYLA03721
OG0000023	MOUSE50063	ORYLA03720
OG0000023	MOUSE49035	ORYLA12643
OG0000023	MOUSE28744	ORYLA15685
OG0000026	MOUSE12605	ORYLA09539
OG0000027	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836	ORYLA12309
OG0000027	MOUSE44283, MOUSE44284, MOUSE44285	ORYLA08306
OG0000027	MOUSE18379, MOUSE18380	ORYLA07922
OG0000027	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636	ORYLA15904, ORYLA15903
OG0000027	MOUSE18678, MOUSE18679	ORYLA04739
OG0000028	MOUSE36324, MOUSE36325	ORYLA00361
OG0000028	MOUSE45380	ORYLA03205, ORYLA04463
OG0000028	MOUSE30414, MOUSE30413	ORYLA01107, ORYLA00838, ORYLA05731
OG0000028	MOUSE51349	ORYLA12623
OG0000028	MOUSE51347, MOUSE51348	ORYLA12624
OG0000028	MOUSE47957	ORYLA00837, ORYLA01106
OG0000028	MOUSE12712	ORYLA11312
OG0000028	MOUSE29157, MOUSE29159	ORYLA15414
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955	ORYLA01105, ORYLA00835
OG0000028	MOUSE26458	ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	MOUSE44525	ORYLA20303, ORYLA20302
OG0000029	MOUSE45127, MOUSE48617	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293
OG0000029	MOUSE49324, MOUSE49325	ORYLA15257
OG0000029	MOUSE22849, MOUSE22848	ORYLA13110
OG0000029	MOUSE02995	ORYLA04764, ORYLA00213
OG0000029	MOUSE17544	ORYLA15906
OG0000029	MOUSE26337	ORYLA08651, ORYLA09837
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	ORYLA18077
OG0000030	MOUSE30488	ORYLA01628, ORYLA19626
OG0000030	MOUSE32434, MOUSE32431, MOUSE32432	ORYLA02922
OG0000030	MOUSE55035	ORYLA07582
OG0000030	MOUSE41811, MOUSE41812	ORYLA07744, ORYLA16997
OG0000030	MOUSE21340	ORYLA08220
OG0000031	MOUSE55187	ORYLA04590
OG0000031	MOUSE26385	ORYLA09861
OG0000031	MOUSE14840	ORYLA13928
OG0000031	MOUSE26448	ORYLA09882
OG0000031	MOUSE08530	ORYLA05598
OG0000031	MOUSE05256	ORYLA18563
OG0000031	MOUSE08528, MOUSE08527	ORYLA01770
OG0000031	MOUSE44529	ORYLA14932
OG0000031	MOUSE20731	ORYLA17720
OG0000031	MOUSE39309, MOUSE01505	ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971
OG0000031	MOUSE40720	ORYLA15433
OG0000031	MOUSE13006, MOUSE13005	ORYLA04917
OG0000031	MOUSE48656	ORYLA06754, ORYLA07156
OG0000031	MOUSE48889	ORYLA02513
OG0000031	MOUSE36274, MOUSE36271	ORYLA00346
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338	ORYLA09459, ORYLA08614
OG0000031	MOUSE08579	ORYLA06390
OG0000031	MOUSE13008	ORYLA06240
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	ORYLA09076, ORYLA06417
OG0000032	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903	ORYLA14771, ORYLA03482
OG0000032	MOUSE52411, MOUSE52410	ORYLA12826
OG0000032	MOUSE45189, MOUSE45190, MOUSE45188	ORYLA04475, ORYLA04474
OG0000032	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	ORYLA14976, ORYLA12717
OG0000032	MOUSE29123	ORYLA15502
OG0000034	MOUSE46353, MOUSE46347	ORYLA07927, ORYLA16241
OG0000034	MOUSE04536	ORYLA04579
OG0000034	MOUSE37608	ORYLA02286, ORYLA17781
OG0000034	MOUSE43921	ORYLA16358
OG0000034	MOUSE45737	ORYLA12476, ORYLA15138
OG0000034	MOUSE14480	ORYLA11195
OG0000034	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	ORYLA16147
OG0000034	MOUSE23594	ORYLA14023, ORYLA15996
OG0000034	MOUSE02137	ORYLA11192, ORYLA14993
OG0000034	MOUSE47177, MOUSE47178, MOUSE47176	ORYLA14558
OG0000034	MOUSE19105	ORYLA07312
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	ORYLA12339, ORYLA14860
OG0000034	MOUSE11491, MOUSE11490	ORYLA19697
OG0000034	MOUSE20059	ORYLA14655
OG0000035	MOUSE02570, MOUSE02571	ORYLA16101
OG0000035	MOUSE51376, MOUSE51375	ORYLA12588, ORYLA14952
OG0000035	MOUSE41545	ORYLA11104
OG0000035	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	ORYLA14870, ORYLA12119
OG0000035	MOUSE31138	ORYLA18031
OG0000035	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	ORYLA15336, ORYLA11216
OG0000035	MOUSE02196, MOUSE02197	ORYLA11278
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974	ORYLA13992
OG0000035	MOUSE47243, MOUSE47244, MOUSE47242	ORYLA14838, ORYLA12754
OG0000035	MOUSE41507	ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	ORYLA14782, ORYLA12073, ORYLA12074
OG0000035	MOUSE27104	ORYLA17117, ORYLA14783
OG0000036	MOUSE12248	ORYLA07477
OG0000036	MOUSE49436	ORYLA12738
OG0000036	MOUSE49768	ORYLA15615, ORYLA15153
OG0000036	MOUSE12301	ORYLA07495
OG0000036	MOUSE43707, MOUSE43706, MOUSE43708	ORYLA20280, ORYLA12724
OG0000036	MOUSE29724, MOUSE29725	ORYLA20440
OG0000036	MOUSE43723	ORYLA12571
OG0000037	MOUSE10993, MOUSE10994	ORYLA10680
OG0000037	MOUSE10992	ORYLA05584, ORYLA10681
OG0000037	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745	ORYLA11814
OG0000037	MOUSE07837, MOUSE07836, MOUSE07835	ORYLA11609, ORYLA10251
OG0000037	MOUSE20306	ORYLA04338, ORYLA01058
OG0000037	MOUSE49952, MOUSE49951	ORYLA05151
OG0000037	MOUSE20178	ORYLA08136
OG0000037	MOUSE43378	ORYLA03090
OG0000037	MOUSE28645, MOUSE28646	ORYLA15954
OG0000037	MOUSE13720	ORYLA02209
OG0000037	MOUSE35631	ORYLA10771, ORYLA11448
OG0000037	MOUSE21441	ORYLA04725
OG0000038	MOUSE14647	ORYLA04512
OG0000038	MOUSE14644	ORYLA16141
OG0000038	MOUSE22591, MOUSE22592	ORYLA08393, ORYLA09754
OG0000039	MOUSE24093	ORYLA13584
OG0000039	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091	ORYLA13588
OG0000039	MOUSE32704	ORYLA07496
OG0000039	MOUSE23387	ORYLA16124
OG0000040	MOUSE39434, MOUSE39435, MOUSE39433	ORYLA15343
OG0000040	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748	ORYLA04846, ORYLA04844
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964	ORYLA07969
OG0000041	MOUSE44347, MOUSE44348	ORYLA14839
OG0000041	MOUSE31152	ORYLA15678, ORYLA15677
OG0000041	MOUSE44196	ORYLA16345, ORYLA07970
OG0000041	MOUSE31142	ORYLA13989, ORYLA15806
OG0000041	MOUSE31141	ORYLA13990, ORYLA15807
OG0000041	MOUSE41518	ORYLA14735, ORYLA19535
OG0000041	MOUSE31140	ORYLA15808
OG0000041	MOUSE41519	ORYLA14736, ORYLA19536
OG0000041	MOUSE27266	ORYLA12118
OG0000041	MOUSE28829	ORYLA13695
OG0000041	MOUSE21621	ORYLA09068
OG0000041	MOUSE06756	ORYLA11484
OG0000041	MOUSE06702	ORYLA11472
OG0000041	MOUSE13395	ORYLA05357
OG0000041	MOUSE28657	ORYLA19350
OG0000042	MOUSE15999	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	MOUSE50973	ORYLA04209
OG0000044	MOUSE09513	ORYLA04503
OG0000044	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857	ORYLA10718
OG0000044	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857	ORYLA02275, ORYLA17868
OG0000044	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643	ORYLA05261
OG0000044	MOUSE03349	ORYLA01286
OG0000044	MOUSE41161, MOUSE41162	ORYLA05288
OG0000045	MOUSE25074	ORYLA09207
OG0000045	MOUSE25340, MOUSE25339, MOUSE25341	ORYLA02935
OG0000045	MOUSE20735	ORYLA02913
OG0000046	MOUSE48114, MOUSE48113	ORYLA00520
OG0000046	MOUSE30090	ORYLA07200, ORYLA07202, ORYLA07201
OG0000046	MOUSE36275, MOUSE36276	ORYLA01168
OG0000046	MOUSE54722	ORYLA05911
OG0000048	MOUSE07450	ORYLA15052
OG0000048	MOUSE55730	ORYLA19472
OG0000048	MOUSE04650, MOUSE04652	ORYLA03737, ORYLA03687
OG0000048	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452	ORYLA09010, ORYLA09283, ORYLA10119
OG0000048	MOUSE42201, MOUSE42202	ORYLA08002
OG0000048	MOUSE06701	ORYLA11420
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	ORYLA15054
OG0000049	MOUSE00124, MOUSE00123	ORYLA11559, ORYLA19044
OG0000049	MOUSE44987, MOUSE44986	ORYLA04067, ORYLA03584
OG0000049	MOUSE52606, MOUSE52607, MOUSE52608	ORYLA13704, ORYLA13828
OG0000049	MOUSE35311	ORYLA15018
OG0000049	MOUSE03391	ORYLA20256, ORYLA14320
OG0000049	MOUSE17233, MOUSE17232	ORYLA15992, ORYLA14028
OG0000049	MOUSE39154, MOUSE39153	ORYLA14561
OG0000049	MOUSE40910, MOUSE40909	ORYLA15871
OG0000049	MOUSE40908	ORYLA14190, ORYLA14191
OG0000049	MOUSE39155	ORYLA11029
OG0000051	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064	ORYLA05117
OG0000053	MOUSE33288	ORYLA12857
OG0000054	MOUSE48109	ORYLA00519
OG0000054	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534	ORYLA05953
OG0000054	MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433	ORYLA08804
OG0000055	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581	ORYLA07324
OG0000056	MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838	ORYLA13076
OG0000056	MOUSE31839, MOUSE31840	ORYLA07014
OG0000056	MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804	ORYLA16605
OG0000056	MOUSE31842	ORYLA13077
OG0000056	MOUSE37995, MOUSE37994	ORYLA17860
OG0000057	MOUSE10186, MOUSE10187, MOUSE10188	ORYLA17686
OG0000057	MOUSE44717, MOUSE44718	ORYLA14639, ORYLA12170
OG0000057	MOUSE55281, MOUSE55280	ORYLA13554, ORYLA12219
OG0000058	MOUSE10546	ORYLA18104
OG0000058	MOUSE49898	ORYLA11895, ORYLA12524
