Orthogroup	MOUSE	HUMAN
OG0000006	MOUSE02987	HUMAN17032
OG0000006	MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609	HUMAN15898
OG0000006	MOUSE03398	HUMAN24331
OG0000006	MOUSE04696	HUMAN12248
OG0000007	MOUSE09063	HUMAN24418
OG0000007	MOUSE49748	HUMAN11538
OG0000007	MOUSE28251	HUMAN18816
OG0000007	MOUSE51845	HUMAN09570
OG0000007	MOUSE20686	HUMAN28803
OG0000007	MOUSE42742	HUMAN15831
OG0000007	MOUSE28113, MOUSE28115, MOUSE28114	HUMAN18759
OG0000007	MOUSE07122	HUMAN08323
OG0000007	MOUSE20752	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539
OG0000007	MOUSE33185	HUMAN01097
OG0000007	MOUSE10368	HUMAN23486
OG0000007	MOUSE33510	HUMAN00971
OG0000007	MOUSE32557	HUMAN28936
OG0000007	MOUSE33511	HUMAN00970
OG0000007	MOUSE03187	HUMAN24202
OG0000007	MOUSE40199, MOUSE40198	HUMAN17278
OG0000007	MOUSE46807	HUMAN03780
OG0000007	MOUSE52320	HUMAN21567
OG0000007	MOUSE49749	HUMAN11539
OG0000007	MOUSE13954	HUMAN28408
OG0000007	MOUSE09061	HUMAN24416
OG0000007	MOUSE09062	HUMAN24417
OG0000007	MOUSE49739	HUMAN11533
OG0000007	MOUSE38585	HUMAN13635
OG0000007	MOUSE04689	HUMAN12258
OG0000007	MOUSE37388	HUMAN07103
OG0000007	MOUSE07860	HUMAN08774
OG0000007	MOUSE18809, MOUSE18808, MOUSE18807	HUMAN16949
OG0000007	MOUSE38586	HUMAN25936
OG0000007	MOUSE06525	HUMAN13634
OG0000007	MOUSE06204	HUMAN13395
OG0000007	MOUSE33792, MOUSE33790	HUMAN00818
OG0000007	MOUSE41340, MOUSE41339	HUMAN05935
OG0000007	MOUSE07031, MOUSE07030	HUMAN08248
OG0000008	MOUSE17513, MOUSE17514	HUMAN14538
OG0000008	MOUSE33182	HUMAN01095
OG0000008	MOUSE03822, MOUSE03823	HUMAN12190
OG0000008	MOUSE25728	HUMAN29311, HUMAN29312
OG0000008	MOUSE25499, MOUSE25498	HUMAN29384, HUMAN29385
OG0000008	MOUSE25349	HUMAN29383
OG0000008	MOUSE50311	HUMAN14600
OG0000008	MOUSE35409	HUMAN26474
OG0000008	MOUSE30083	HUMAN22971
OG0000008	MOUSE34799	HUMAN00243
OG0000008	MOUSE48084	HUMAN27485
OG0000010	MOUSE43879	HUMAN16120
OG0000010	MOUSE14749	HUMAN06424
OG0000010	MOUSE34626	HUMAN00318, HUMAN00317
OG0000010	MOUSE34625, MOUSE34624	HUMAN00316
OG0000010	MOUSE34426, MOUSE34427	HUMAN00439, HUMAN00440, HUMAN00441
OG0000010	MOUSE49605	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	MOUSE49413	HUMAN11268
OG0000010	MOUSE22876	HUMAN18382
OG0000010	MOUSE53049	HUMAN20806, HUMAN20807
OG0000010	MOUSE16873	HUMAN10343
OG0000010	MOUSE46556	HUMAN10940
OG0000010	MOUSE16866	HUMAN10342
OG0000010	MOUSE16888	HUMAN10337
OG0000010	MOUSE14717	HUMAN06405, HUMAN06406
OG0000010	MOUSE43880	HUMAN16109
OG0000010	MOUSE43876	HUMAN16111
OG0000010	MOUSE43866, MOUSE43868	HUMAN16121
OG0000010	MOUSE43865	HUMAN16122
OG0000010	MOUSE43883, MOUSE43882	HUMAN16101
OG0000010	MOUSE43870, MOUSE43871	HUMAN16115
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000011	MOUSE08113	HUMAN08916
OG0000012	MOUSE30007, MOUSE30008	HUMAN21758
OG0000012	MOUSE38315, MOUSE38314	HUMAN26719, HUMAN26720
OG0000012	MOUSE49054, MOUSE49055, MOUSE49053	HUMAN11057
OG0000012	MOUSE49315	HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198
OG0000012	MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042	HUMAN11055, HUMAN11056
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	HUMAN11190
OG0000012	MOUSE38313, MOUSE49050, MOUSE49303	HUMAN11191
OG0000013	MOUSE13221, MOUSE13219	HUMAN23266, HUMAN23264, HUMAN23267
OG0000013	MOUSE31454	HUMAN22810
OG0000013	MOUSE22949, MOUSE22948	HUMAN18418, HUMAN18417, HUMAN18416
OG0000013	MOUSE22951	HUMAN18419
OG0000013	MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943	HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412
OG0000013	MOUSE22945, MOUSE22946	HUMAN18415
OG0000013	MOUSE36635	HUMAN22469
OG0000013	MOUSE36633	HUMAN22470
OG0000013	MOUSE36630	HUMAN22464, HUMAN22463
OG0000013	MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	MOUSE04189	HUMAN11875
OG0000014	MOUSE04186, MOUSE04184, MOUSE04187	HUMAN11876
OG0000014	MOUSE31054	HUMAN01436
OG0000014	MOUSE02337	HUMAN06713
OG0000014	MOUSE14097	HUMAN20148
OG0000014	MOUSE06495	HUMAN13605, HUMAN13607
OG0000014	MOUSE06101	HUMAN13308
OG0000014	MOUSE06102, MOUSE06100	HUMAN13309
OG0000014	MOUSE20912	HUMAN03416
OG0000014	MOUSE31149, MOUSE31150	HUMAN01394
OG0000014	MOUSE22789	HUMAN18336
OG0000014	MOUSE00987	HUMAN03159
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503	HUMAN25476
OG0000014	MOUSE54686	HUMAN30053
OG0000014	MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	HUMAN13227
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	HUMAN22985
OG0000015	MOUSE03176	HUMAN24211
OG0000015	MOUSE35079	HUMAN00090
OG0000015	MOUSE03220, MOUSE03221	HUMAN24177
OG0000015	MOUSE36411	HUMAN22373
OG0000015	MOUSE44502, MOUSE44501, MOUSE44500	HUMAN09170
OG0000015	MOUSE32201, MOUSE32200	HUMAN25367
OG0000015	MOUSE32204	HUMAN25365
OG0000015	MOUSE16093	HUMAN21195
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209	HUMAN24184
OG0000015	MOUSE36400, MOUSE36401	HUMAN22368
OG0000015	MOUSE44497	HUMAN09174
OG0000015	MOUSE54205	HUMAN30469
OG0000015	MOUSE36402	HUMAN22369
OG0000015	MOUSE03212, MOUSE03211	HUMAN24183
OG0000015	MOUSE54208, MOUSE54207	HUMAN30472
OG0000015	MOUSE44499	HUMAN09173
OG0000015	MOUSE36407, MOUSE36406	HUMAN22372
OG0000015	MOUSE03217, MOUSE03218, MOUSE03219	HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	MOUSE55359	HUMAN29611
OG0000015	MOUSE54956	HUMAN30168
OG0000015	MOUSE48246	HUMAN23062
OG0000015	MOUSE03594, MOUSE03595, MOUSE03596	HUMAN24113
OG0000016	MOUSE44325	HUMAN26870
OG0000016	MOUSE48959, MOUSE48960	HUMAN11007, HUMAN11006
OG0000016	MOUSE15414	HUMAN21858
OG0000016	MOUSE15161, MOUSE15160	HUMAN10581
OG0000016	MOUSE44326	HUMAN10583
OG0000016	MOUSE05122, MOUSE05123	HUMAN12987
OG0000016	MOUSE21130	HUMAN03528
OG0000016	MOUSE13078, MOUSE13077	HUMAN07767
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	HUMAN25103
OG0000016	MOUSE44334	HUMAN25104
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938	HUMAN06120
OG0000016	MOUSE44332, MOUSE44335	HUMAN04223
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499	HUMAN05851
OG0000019	MOUSE46139, MOUSE46138	HUMAN10700, HUMAN10699
OG0000019	MOUSE46137	HUMAN10698
OG0000019	MOUSE35476, MOUSE35477	HUMAN27262
OG0000019	MOUSE14689	HUMAN06385
OG0000019	MOUSE14688	HUMAN06383
OG0000019	MOUSE04790	HUMAN12384
OG0000019	MOUSE04791	HUMAN12385
OG0000019	MOUSE22639, MOUSE22640	HUMAN18277
OG0000019	MOUSE30063, MOUSE30064	HUMAN22980
OG0000020	MOUSE39911	HUMAN26158
OG0000020	MOUSE45177	HUMAN22329, HUMAN20815
OG0000020	MOUSE05499, MOUSE05500	HUMAN12659
OG0000020	MOUSE53015	HUMAN26061
OG0000020	MOUSE07164	HUMAN08344
OG0000020	MOUSE33588	HUMAN00926
OG0000020	MOUSE23587, MOUSE23586	HUMAN02349
OG0000020	MOUSE13612	HUMAN28205
OG0000020	MOUSE06637, MOUSE06636	HUMAN16669
OG0000020	MOUSE34933	HUMAN00163
OG0000020	MOUSE26371	HUMAN17840
OG0000020	MOUSE45175	HUMAN05209
OG0000020	MOUSE15405	HUMAN21854
OG0000020	MOUSE15402	HUMAN21853
OG0000020	MOUSE24012	HUMAN02145
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807	HUMAN30100
OG0000020	MOUSE12992	HUMAN07717
OG0000020	MOUSE36286, MOUSE36285	HUMAN22328
OG0000020	MOUSE35162	HUMAN00010
OG0000020	MOUSE09601, MOUSE09602	HUMAN23847
OG0000020	MOUSE48313, MOUSE48314	HUMAN23024
OG0000020	MOUSE37001, MOUSE37002	HUMAN22639
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	HUMAN20816
OG0000021	MOUSE41024, MOUSE41023	HUMAN20500
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	HUMAN30680, HUMAN30504
OG0000021	MOUSE40749	HUMAN20539
OG0000021	MOUSE41285, MOUSE41283, MOUSE41287	HUMAN05765
OG0000021	MOUSE41281	HUMAN05766
OG0000021	MOUSE41022	HUMAN20499
OG0000021	MOUSE49041	HUMAN11054
OG0000021	MOUSE09998	HUMAN23166
OG0000021	MOUSE04592	HUMAN12331
OG0000021	MOUSE44445	HUMAN04273
OG0000021	MOUSE53773	HUMAN30251
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661	HUMAN00882
OG0000021	MOUSE33665	HUMAN00880, HUMAN00881
OG0000021	MOUSE19587	HUMAN24068
OG0000023	MOUSE46773, MOUSE46772	HUMAN03767
OG0000023	MOUSE49036	HUMAN05402
OG0000023	MOUSE01124	HUMAN19878, HUMAN19879
OG0000023	MOUSE12258	HUMAN08127
OG0000023	MOUSE12260	HUMAN08129
OG0000023	MOUSE49191	HUMAN11129
OG0000023	MOUSE28391	HUMAN18897
OG0000023	MOUSE32112, MOUSE32114	HUMAN27999
OG0000023	MOUSE38000	HUMAN07398
OG0000023	MOUSE16835	HUMAN10368, HUMAN10367
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	HUMAN12427
OG0000023	MOUSE02558, MOUSE02557	HUMAN06585, HUMAN06584
OG0000023	MOUSE50079	HUMAN05393
OG0000023	MOUSE50078	HUMAN05394
OG0000023	MOUSE50070	HUMAN05401
OG0000023	MOUSE50073	HUMAN05399
OG0000023	MOUSE50075, MOUSE50077, MOUSE50076	HUMAN05395
OG0000023	MOUSE50069, MOUSE50072	HUMAN05400
OG0000023	MOUSE50074	HUMAN05396
OG0000023	MOUSE50063	HUMAN05404
OG0000023	MOUSE49035	HUMAN11050
OG0000023	MOUSE28744	HUMAN19103
OG0000023	MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	HUMAN05403
OG0000026	MOUSE34507	HUMAN00402
OG0000026	MOUSE12605	HUMAN07669
OG0000026	MOUSE38308	HUMAN26724
OG0000026	MOUSE38309	HUMAN26725
OG0000027	MOUSE44283, MOUSE44284, MOUSE44285	HUMAN15899, HUMAN15933
OG0000027	MOUSE18379	HUMAN17464, HUMAN17465
OG0000027	MOUSE18380	HUMAN17466, HUMAN17463
OG0000027	MOUSE36638	HUMAN22472
OG0000027	MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299	HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780
OG0000027	MOUSE36636	HUMAN22471
OG0000027	MOUSE18678, MOUSE18679	HUMAN16847
OG0000028	MOUSE36324, MOUSE36325	HUMAN22344
OG0000028	MOUSE45380	HUMAN03982
OG0000028	MOUSE30414, MOUSE30413	HUMAN01776
OG0000028	MOUSE51349	HUMAN09895
OG0000028	MOUSE51347, MOUSE51348	HUMAN09894
OG0000028	MOUSE47957	HUMAN27765
OG0000028	MOUSE12712	HUMAN27611
OG0000028	MOUSE29157, MOUSE29159	HUMAN19281
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955	HUMAN27764
OG0000028	MOUSE26458	HUMAN17889
OG0000028	MOUSE44525	HUMAN09193, HUMAN09206
OG0000029	MOUSE43115, MOUSE43116	HUMAN15611
OG0000029	MOUSE37827	HUMAN07316
OG0000029	MOUSE45127	HUMAN05232
OG0000029	MOUSE48617	HUMAN14995
OG0000029	MOUSE49324, MOUSE49325	HUMAN11203
OG0000029	MOUSE22849, MOUSE22848	HUMAN18356
OG0000029	MOUSE02995	HUMAN17029
OG0000029	MOUSE17544	HUMAN24898
OG0000029	MOUSE15400	HUMAN21852
OG0000029	MOUSE26337	HUMAN17820
OG0000029	MOUSE23727	HUMAN02270
OG0000029	MOUSE29998	HUMAN21749
OG0000029	MOUSE16471	HUMAN19538
OG0000030	MOUSE13263, MOUSE13264	HUMAN23234
OG0000030	MOUSE13265	HUMAN23233, HUMAN23232
OG0000030	MOUSE30488	HUMAN01740
OG0000030	MOUSE32434, MOUSE32431, MOUSE32432	HUMAN28679
OG0000030	MOUSE04020	HUMAN11978
OG0000030	MOUSE55035	HUMAN30219
OG0000030	MOUSE41811, MOUSE41812	HUMAN06064
OG0000031	MOUSE55187	HUMAN29956
OG0000031	MOUSE26385	HUMAN17850
OG0000031	MOUSE14840	HUMAN06489
OG0000031	MOUSE26448	HUMAN17883
OG0000031	MOUSE08530	HUMAN26042
OG0000031	MOUSE05256	HUMAN12874
OG0000031	MOUSE08528, MOUSE08527	HUMAN26043
OG0000031	MOUSE44529	HUMAN09203
OG0000031	MOUSE20731	HUMAN28770
OG0000031	MOUSE39309	HUMAN26979
OG0000031	MOUSE01505	HUMAN14235
OG0000031	MOUSE40719	HUMAN21432
OG0000031	MOUSE13006, MOUSE13005	HUMAN07725
OG0000031	MOUSE48656	HUMAN14922
OG0000031	MOUSE48889	HUMAN14786
OG0000031	MOUSE13007	HUMAN07726
OG0000031	MOUSE36274, MOUSE36271	HUMAN22322
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338	HUMAN18121
OG0000031	MOUSE08579	HUMAN02818, HUMAN02819
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	HUMAN27902
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917	HUMAN06107
OG0000032	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903	HUMAN06100
OG0000032	MOUSE41905, MOUSE41904	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105
OG0000032	MOUSE52411, MOUSE52410	HUMAN21527
OG0000032	MOUSE45189, MOUSE45190, MOUSE45188	HUMAN05202
OG0000032	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	HUMAN10072
OG0000032	MOUSE29123	HUMAN19258
OG0000032	MOUSE23164	HUMAN23633, HUMAN23632
OG0000034	MOUSE19646	HUMAN09534
OG0000034	MOUSE23593	HUMAN07187
OG0000034	MOUSE46353, MOUSE46347	HUMAN10850
OG0000034	MOUSE04536	HUMAN11671
OG0000034	MOUSE37608	HUMAN07186
OG0000034	MOUSE04537	HUMAN11672
OG0000034	MOUSE04538, MOUSE04539	HUMAN11673
OG0000034	MOUSE43921	HUMAN16090
OG0000034	MOUSE45737	HUMAN04116
OG0000034	MOUSE14480	HUMAN06217
OG0000034	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	HUMAN01449
OG0000034	MOUSE42231	HUMAN16339, HUMAN16340
OG0000034	MOUSE23594	HUMAN02345
OG0000034	MOUSE02137	HUMAN06854
OG0000034	MOUSE47177, MOUSE47178, MOUSE47176	HUMAN03933
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288	HUMAN01831
OG0000034	MOUSE19105	HUMAN13891
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	HUMAN04678
OG0000034	MOUSE11491, MOUSE11490	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	MOUSE20059	HUMAN04988
OG0000035	MOUSE02570, MOUSE02571	HUMAN06576
OG0000035	MOUSE51376, MOUSE51375	HUMAN09866
OG0000035	MOUSE41545	HUMAN06191
OG0000035	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	HUMAN03898
OG0000035	MOUSE31138	HUMAN01402
OG0000035	MOUSE47097	HUMAN03900
OG0000035	MOUSE41546	HUMAN05810
OG0000035	MOUSE02196, MOUSE02197	HUMAN06812
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974	HUMAN01460
OG0000035	MOUSE47243, MOUSE47244	HUMAN03952, HUMAN03954, HUMAN03955
OG0000035	MOUSE47242	HUMAN03951, HUMAN03953
OG0000035	MOUSE41507	HUMAN05843, HUMAN05844
OG0000035	MOUSE27105	HUMAN04381
OG0000035	MOUSE27106, MOUSE27107, MOUSE27108	HUMAN04382
OG0000035	MOUSE27104	HUMAN04383
OG0000035	MOUSE41551	HUMAN06190
OG0000036	MOUSE12248	HUMAN08124
OG0000036	MOUSE49436	HUMAN11288
OG0000036	MOUSE49768	HUMAN11555
OG0000036	MOUSE12301	HUMAN08152, HUMAN08151
OG0000036	MOUSE43707, MOUSE43706, MOUSE43708	HUMAN15233
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	HUMAN11289
OG0000036	MOUSE29724, MOUSE29725	HUMAN22872
OG0000036	MOUSE32123	HUMAN27983
OG0000036	MOUSE43723	HUMAN15223
OG0000037	MOUSE10993, MOUSE10994	HUMAN25010, HUMAN25009
OG0000037	MOUSE10992	HUMAN25006
OG0000037	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745	HUMAN02504
OG0000037	MOUSE07837, MOUSE07836, MOUSE07835	HUMAN08759
OG0000037	MOUSE20306	HUMAN04817
OG0000037	MOUSE49952, MOUSE49951	HUMAN02659, HUMAN02660
OG0000037	MOUSE20178	HUMAN04897
OG0000037	MOUSE43378	HUMAN15443
OG0000037	MOUSE28645, MOUSE28646	HUMAN19040
OG0000037	MOUSE13720	HUMAN28273
OG0000037	MOUSE35631	HUMAN16721
OG0000037	MOUSE21441	HUMAN03689
OG0000038	MOUSE08557	HUMAN02828
