Orthogroup	AENJA_ok	ORYLA
OG0000002	AENJA_05471, AENJA_03252	ORYLA13467, ORYLA16691
OG0000004	AENJA_18812, AENJA_09022	ORYLA04400, ORYLA08919
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	ORYLA04733
OG0000006	AENJA_11699, AENJA_18239, AENJA_21365, AENJA_22159	ORYLA04794
OG0000006	AENJA_22158	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	AENJA_13126	ORYLA20407, ORYLA03595
OG0000006	AENJA_02691	ORYLA03421, ORYLA09483
OG0000006	AENJA_20911	ORYLA13382
OG0000006	AENJA_07226	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	AENJA_22522	ORYLA10511, ORYLA11827
OG0000006	AENJA_09814	ORYLA16517
OG0000006	AENJA_09813	ORYLA16515
OG0000006	AENJA_00662	ORYLA17394
OG0000006	AENJA_07549, AENJA_15373	ORYLA05082
OG0000006	AENJA_18450	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	AENJA_09210	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	AENJA_15474	ORYLA04691
OG0000007	AENJA_18325	ORYLA13334
OG0000007	AENJA_18163	ORYLA14937, ORYLA17526
OG0000007	AENJA_00810	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	AENJA_25020	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	AENJA_23908	ORYLA10719
OG0000007	AENJA_19234	ORYLA18472
OG0000007	AENJA_18326	ORYLA15197
OG0000007	AENJA_06479, AENJA_16018	ORYLA09030
OG0000007	AENJA_18328	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	AENJA_11851	ORYLA13010
OG0000007	AENJA_09687	ORYLA03471, ORYLA17615
OG0000007	AENJA_07358	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	AENJA_11277	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	AENJA_22886	ORYLA16317
OG0000007	AENJA_16981	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	AENJA_26507	ORYLA10158, ORYLA04736
OG0000008	AENJA_15934, AENJA_26738	ORYLA06372, ORYLA06647, ORYLA13248
OG0000008	AENJA_24404, AENJA_14450	ORYLA02437, ORYLA18129
OG0000008	AENJA_00959	ORYLA01591, ORYLA05589, ORYLA06938
OG0000010	AENJA_00347	ORYLA15708
OG0000010	AENJA_04234	ORYLA18230
OG0000011	AENJA_03543, AENJA_24193	ORYLA04501
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	ORYLA07628
OG0000012	AENJA_02869	ORYLA15199
OG0000014	AENJA_25536	ORYLA11600, ORYLA01088
OG0000015	AENJA_19636	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	AENJA_18653	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	AENJA_17614, AENJA_19630	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	ORYLA12720, ORYLA00945
OG0000016	AENJA_11513	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	AENJA_26671, AENJA_26677	ORYLA09921
OG0000016	AENJA_02781	ORYLA00030
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	ORYLA11245, ORYLA15380
OG0000017	AENJA_21386	ORYLA04686
OG0000018	AENJA_07360, AENJA_25137	ORYLA02836, ORYLA14501
OG0000019	AENJA_24818, AENJA_20016	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	AENJA_21688, AENJA_05309	ORYLA12531
OG0000020	AENJA_02593, AENJA_02596	ORYLA15493
OG0000020	AENJA_15791	ORYLA10559
OG0000020	AENJA_12903	ORYLA06663
OG0000020	AENJA_09502	ORYLA16080
OG0000020	AENJA_18052	ORYLA09855
OG0000020	AENJA_23718, AENJA_02408	ORYLA06900, ORYLA09950
OG0000020	AENJA_17847, AENJA_15954	ORYLA16727
OG0000020	AENJA_16929	ORYLA06780
OG0000020	AENJA_04727	ORYLA01097, ORYLA00349
OG0000020	AENJA_10912	ORYLA15647
OG0000020	AENJA_11444	ORYLA00902
OG0000020	AENJA_14659	ORYLA02546
OG0000020	AENJA_12495	ORYLA06519
OG0000021	AENJA_14639	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	AENJA_16593	ORYLA12641, ORYLA05479
OG0000021	AENJA_24950	ORYLA03698, ORYLA17601
OG0000021	AENJA_19175	ORYLA04373
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	ORYLA12092, ORYLA14389
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	ORYLA06753
OG0000023	AENJA_06341	ORYLA08126
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	AENJA_19909	ORYLA14352, ORYLA16095
OG0000023	AENJA_03895	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000024	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810, AENJA_26384, AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891, AENJA_18079, AENJA_19870, AENJA_09423	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	AENJA_04068	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747
OG0000024	AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498
OG0000026	AENJA_09725, AENJA_09726, AENJA_07548	ORYLA06726
OG0000026	AENJA_21657	ORYLA09539
OG0000030	AENJA_17283	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	AENJA_12274	ORYLA07170
OG0000031	AENJA_09856	ORYLA09861, ORYLA15740
OG0000031	AENJA_09858	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	AENJA_20966	ORYLA01770
OG0000031	AENJA_08759	ORYLA06561, ORYLA14932
OG0000031	AENJA_10722	ORYLA10394, ORYLA11971
OG0000031	AENJA_02955	ORYLA14237, ORYLA15433
OG0000031	AENJA_05740	ORYLA04591, ORYLA04917
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	AENJA_15028	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	AENJA_06514	ORYLA09076, ORYLA06417
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	ORYLA15502
OG0000032	AENJA_06513	ORYLA06416
OG0000033	AENJA_10094, AENJA_19957, AENJA_21447, AENJA_04314, AENJA_02993	ORYLA01373
OG0000034	AENJA_26717	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	AENJA_02791	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	AENJA_23686	ORYLA07312
OG0000034	AENJA_13785	ORYLA12339, ORYLA14860
OG0000034	AENJA_15701	ORYLA19697
OG0000034	AENJA_16616	ORYLA14655
OG0000035	AENJA_01174	ORYLA16101
OG0000035	AENJA_22033	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	AENJA_08825	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	AENJA_12732	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	AENJA_12364, AENJA_26037	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	AENJA_21683	ORYLA17117, ORYLA14783
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	ORYLA20440, ORYLA11184
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	ORYLA12571
OG0000037	AENJA_20944	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	AENJA_05483, AENJA_06274	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	AENJA_13632	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	ORYLA04725
OG0000038	AENJA_00416	ORYLA06128
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	ORYLA07496
OG0000039	AENJA_20163	ORYLA16124
OG0000039	AENJA_07277	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	AENJA_07541, AENJA_11361	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	AENJA_24560	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	AENJA_03404, AENJA_03405	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000044	AENJA_12079	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000044	AENJA_24602	ORYLA05288
OG0000044	AENJA_03123	ORYLA05174
OG0000045	AENJA_09277	ORYLA09208, ORYLA09207
OG0000045	AENJA_24504	ORYLA09209
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	ORYLA00520
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	ORYLA18815, ORYLA05911
OG0000048	AENJA_11619	ORYLA17217
OG0000048	AENJA_23226	ORYLA14101
OG0000048	AENJA_09360	ORYLA08002
OG0000048	AENJA_16735, AENJA_16736	ORYLA11420
OG0000048	AENJA_25506	ORYLA15054
OG0000049	AENJA_20702	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	AENJA_25756	ORYLA13704, ORYLA13828, ORYLA15018
OG0000051	AENJA_24250	ORYLA05117
OG0000052	AENJA_07437, AENJA_03439, AENJA_08145, AENJA_20254, AENJA_03531, AENJA_00839, AENJA_20468, AENJA_18067, AENJA_09495, AENJA_02638, AENJA_11489, AENJA_25939, AENJA_25043, AENJA_26054, AENJA_00223, AENJA_03349, AENJA_13979	ORYLA18368, ORYLA18615, ORYLA19851
OG0000054	AENJA_06676, AENJA_23371	ORYLA00519
OG0000056	AENJA_20268	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000056	AENJA_05228	ORYLA17860
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	ORYLA17686, ORYLA14639, ORYLA12170
OG0000057	AENJA_11025	ORYLA13554, ORYLA12219
OG0000058	AENJA_12354	ORYLA11895, ORYLA12524, ORYLA19070
OG0000059	AENJA_13132	ORYLA09176
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	AENJA_17233	ORYLA01946, ORYLA04743
OG0000060	AENJA_23597	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	AENJA_07301	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	AENJA_07183	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	AENJA_26614, AENJA_08766	ORYLA07060, ORYLA08273
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	ORYLA10585, ORYLA11804
OG0000063	AENJA_20321	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	AENJA_03789	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	AENJA_26394	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	AENJA_12655, AENJA_09505	ORYLA06398
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	ORYLA11329, ORYLA09412
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	ORYLA07085, ORYLA17312
OG0000072	AENJA_13128	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	AENJA_02450	ORYLA20464
OG0000072	AENJA_25944, AENJA_05445	ORYLA05266
OG0000073	AENJA_08518, AENJA_08515	ORYLA20002
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397
OG0000075	AENJA_23745	ORYLA08229, ORYLA07050
OG0000075	AENJA_05831	ORYLA05870, ORYLA14226
OG0000075	AENJA_21406	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	AENJA_12918	ORYLA11054, ORYLA15824
OG0000075	AENJA_12839	ORYLA19688
OG0000077	AENJA_13107	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	AENJA_07475	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	AENJA_04661	ORYLA17911, ORYLA04823
OG0000078	AENJA_06551	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	AENJA_16186	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	AENJA_02482	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	AENJA_17442	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	AENJA_11789	ORYLA17895
OG0000079	AENJA_10507	ORYLA13165
OG0000082	AENJA_25747	ORYLA01470
OG0000083	AENJA_21795	ORYLA04024, ORYLA20424
OG0000084	AENJA_24814	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000085	AENJA_05556	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	AENJA_06487	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	AENJA_24493	ORYLA06168
OG0000085	AENJA_20539	ORYLA17935
OG0000085	AENJA_08917	ORYLA02243, ORYLA05178
OG0000086	AENJA_16711	ORYLA18822
OG0000087	AENJA_23251	ORYLA07293
OG0000087	AENJA_19935	ORYLA15867
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000090	AENJA_10145	ORYLA02080, ORYLA06082
OG0000090	AENJA_01954	ORYLA01746, ORYLA06194
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299	ORYLA02531
OG0000094	AENJA_14582	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	AENJA_26553	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	AENJA_25727	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	AENJA_14053	ORYLA10017
OG0000098	AENJA_10136, AENJA_10137	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	AENJA_22563, AENJA_15215	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	AENJA_07638, AENJA_14869	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000100	AENJA_12266, AENJA_21578	ORYLA00999
OG0000100	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620	ORYLA10317
OG0000101	AENJA_26592	ORYLA12058
OG0000101	AENJA_00251	ORYLA08387
OG0000101	AENJA_06142	ORYLA09166, ORYLA09165
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164	ORYLA19358, ORYLA00094
OG0000102	AENJA_22391	ORYLA12106
OG0000102	AENJA_06075	ORYLA18027, ORYLA02390, ORYLA02592
OG0000103	AENJA_10812	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	AENJA_14367	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	AENJA_04107	ORYLA03680, ORYLA06072
OG0000104	AENJA_02684	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	AENJA_26666	ORYLA03679
OG0000106	AENJA_21591	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	AENJA_13743	ORYLA06794
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	ORYLA05764, ORYLA14913, ORYLA14914
OG0000108	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894	ORYLA09100, ORYLA03443, ORYLA03444
OG0000113	AENJA_14458	ORYLA15283
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000116	AENJA_23563, AENJA_23564	ORYLA19541
OG0000117	AENJA_02548	ORYLA15132
OG0000119	AENJA_18357, AENJA_20512	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	AENJA_08115, AENJA_08491	ORYLA09477, ORYLA05169
OG0000120	AENJA_04133	ORYLA14915
OG0000121	AENJA_09065	ORYLA00510, ORYLA01379, ORYLA07858
OG0000121	AENJA_07109, AENJA_25145	ORYLA06690, ORYLA06688
OG0000122	AENJA_09263	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	AENJA_14198	ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000123	AENJA_11261	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364
OG0000123	AENJA_22182	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949
OG0000123	AENJA_08161	ORYLA18505, ORYLA02793, ORYLA01508
OG0000123	AENJA_11939, AENJA_11934, AENJA_04063	ORYLA04317, ORYLA01144
OG0000124	AENJA_03116, AENJA_25792	ORYLA04499, ORYLA01264
OG0000124	AENJA_04495	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	AENJA_09769, AENJA_03187	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	AENJA_26736	ORYLA04689
OG0000124	AENJA_05859	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000125	AENJA_09264	ORYLA06139, ORYLA15763, ORYLA14369
OG0000125	AENJA_18946	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368
OG0000125	AENJA_04836	ORYLA01977, ORYLA08228, ORYLA17147
OG0000125	AENJA_07272	ORYLA12115
OG0000126	AENJA_24273	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	AENJA_07507	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	AENJA_11132	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	AENJA_20308	ORYLA18247, ORYLA09922
OG0000127	AENJA_04153	ORYLA05476, ORYLA10382
OG0000127	AENJA_17569	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	AENJA_00497	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	AENJA_22594, AENJA_22595	ORYLA17289
OG0000128	AENJA_07850, AENJA_17413, AENJA_26743	ORYLA03587
OG0000128	AENJA_21735	ORYLA06619, ORYLA09314
OG0000129	AENJA_11469	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	AENJA_21737	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000129	AENJA_12119, AENJA_20942, AENJA_12123	ORYLA06890
OG0000131	AENJA_13807, AENJA_21097	ORYLA02651, ORYLA17218
OG0000131	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441	ORYLA07842, ORYLA07843, ORYLA07841, ORYLA07898, ORYLA12828
OG0000132	AENJA_18042	ORYLA13789
OG0000133	AENJA_22212	ORYLA00265
OG0000137	AENJA_26083	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560
OG0000137	AENJA_25528, AENJA_11173	ORYLA06196, ORYLA16275
OG0000137	AENJA_09533	ORYLA11370, ORYLA08706
OG0000138	AENJA_24347, AENJA_08482, AENJA_03330	ORYLA01485, ORYLA09635, ORYLA18456, ORYLA18666, ORYLA16939
OG0000138	AENJA_16432	ORYLA07654
OG0000139	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830	ORYLA03997
OG0000140	AENJA_01263	ORYLA08885
OG0000141	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407	ORYLA15273
OG0000145	AENJA_05166	ORYLA19796
OG0000145	AENJA_06072	ORYLA08429
OG0000147	AENJA_03761	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	AENJA_12275	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000147	AENJA_03922	ORYLA13100, ORYLA13101
OG0000147	AENJA_10787	ORYLA18182
OG0000147	AENJA_03843	ORYLA10192
OG0000148	AENJA_21220	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722
OG0000149	AENJA_12114	ORYLA17290, ORYLA17651, ORYLA17652
OG0000149	AENJA_12111, AENJA_03471, AENJA_12512	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000149	AENJA_18447	ORYLA19729
OG0000151	AENJA_13408	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949
OG0000151	AENJA_03698	ORYLA02467, ORYLA17249, ORYLA13261
OG0000153	AENJA_14215	ORYLA07634, ORYLA07633, ORYLA07635, ORYLA07636, ORYLA05578, ORYLA05577, ORYLA07896, ORYLA07897, ORYLA07844, ORYLA07894
OG0000154	AENJA_20462	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516
OG0000154	AENJA_18738	ORYLA04056, ORYLA00974
