Orthogroup	AENJA_ok	DANRE
OG0000018	AENJA_07360, AENJA_25137	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	AENJA_03018, AENJA_12247	DANRE13954, DANRE13946
OG0000019	AENJA_03417, AENJA_02272, AENJA_02277	DANRE41681
OG0000019	AENJA_24818, AENJA_20016	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	AENJA_21688, AENJA_05309	DANRE10827, DANRE10826, DANRE10743
OG0000020	AENJA_15791	DANRE10670
OG0000020	AENJA_09502	DANRE40536
OG0000020	AENJA_18052	DANRE42755
OG0000020	AENJA_23718, AENJA_02408	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	AENJA_15954	DANRE30414
OG0000020	AENJA_16929	DANRE27431, DANRE27432, DANRE27433
OG0000020	AENJA_04727	DANRE06741, DANRE06740, DANRE15747
OG0000020	AENJA_10912	DANRE22958, DANRE22959
OG0000020	AENJA_11444	DANRE06663, DANRE06664
OG0000020	AENJA_14659	DANRE18984
OG0000020	AENJA_12495	DANRE27379
OG0000021	AENJA_14639	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	AENJA_16593	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	AENJA_24950	DANRE08348, DANRE33679
OG0000021	AENJA_19175	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	DANRE37717, DANRE02277
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	DANRE27401, DANRE27403, DANRE27400
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	AENJA_19909	DANRE01757
OG0000023	AENJA_03895	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000026	AENJA_07099, AENJA_18950	DANRE09875
OG0000026	AENJA_21657	DANRE42258, DANRE07529
OG0000028	AENJA_04861, AENJA_01184	DANRE07178
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650	DANRE22154
OG0000030	AENJA_17283	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000031	AENJA_09856	DANRE41496, DANRE35535, DANRE23155
OG0000031	AENJA_09858	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	AENJA_20966	DANRE13622, DANRE13623
OG0000031	AENJA_08759	DANRE26516, DANRE26019
OG0000031	AENJA_10722	DANRE11621
OG0000031	AENJA_02955	DANRE02768, DANRE23382
OG0000031	AENJA_05740	DANRE20276, DANRE16190, DANRE42316
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	DANRE27399, DANRE21472, DANRE14252
OG0000031	AENJA_15028	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	AENJA_06514	DANRE24196, DANRE27892, DANRE27891
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	AENJA_06513	DANRE24197
OG0000034	AENJA_21749	DANRE35041
OG0000034	AENJA_26717	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	AENJA_02791	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	AENJA_23686	DANRE14484, DANRE09880, DANRE38036
OG0000034	AENJA_13785	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	AENJA_15701	DANRE04100
OG0000034	AENJA_16616	DANRE25182
OG0000035	AENJA_01174	DANRE23313
OG0000035	AENJA_22033	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	AENJA_08825	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	AENJA_12732	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	AENJA_12364, AENJA_26037	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	AENJA_21683	DANRE38222, DANRE38223, DANRE12948
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	DANRE07186, DANRE30853
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	DANRE11991, DANRE38630
OG0000037	AENJA_20944	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	AENJA_05483, AENJA_06274	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	AENJA_13632	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	DANRE11315
OG0000038	AENJA_00416	DANRE40533
OG0000038	AENJA_26313	DANRE23401
OG0000038	AENJA_05692, AENJA_02876, AENJA_05698, AENJA_09724, AENJA_16130	DANRE41584
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	DANRE38069, DANRE38070
OG0000039	AENJA_07277	DANRE09344
OG0000040	AENJA_07541, AENJA_11361	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	AENJA_08471	DANRE24726
OG0000041	AENJA_24560	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	AENJA_03404, AENJA_03405	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
OG0000044	AENJA_12079	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	AENJA_24602	DANRE05244, DANRE05245
OG0000044	AENJA_03123	DANRE13593
OG0000045	AENJA_09277	DANRE38824
OG0000045	AENJA_15011, AENJA_15012, AENJA_14861, AENJA_03122, AENJA_25840, AENJA_10250, AENJA_01144, AENJA_20791	DANRE05823
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	DANRE15742
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	AENJA_11619	DANRE33718
OG0000048	AENJA_23226	DANRE19398
OG0000048	AENJA_21270	DANRE08311
OG0000048	AENJA_16735, AENJA_16736	DANRE17556, DANRE05472
OG0000048	AENJA_25506	DANRE26183
OG0000049	AENJA_20702	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	AENJA_25756	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	AENJA_26413	DANRE10820
OG0000050	AENJA_04583	DANRE32914
OG0000050	AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533, AENJA_22540, AENJA_26360, AENJA_20350, AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	AENJA_24250	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	AENJA_06676, AENJA_23371	DANRE06791, DANRE15743
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	DANRE24633
OG0000056	AENJA_20111	DANRE40469
OG0000056	AENJA_20268	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	AENJA_05228	DANRE40924, DANRE40923
OG0000056	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114	DANRE30239
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000057	AENJA_11025	DANRE02560, DANRE02558, DANRE02559
OG0000058	AENJA_23345	DANRE01466, DANRE01467
OG0000058	AENJA_12354	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000059	AENJA_13132	DANRE23878, DANRE23877, DANRE23876
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	AENJA_17233	DANRE15035, DANRE15034, DANRE05268
OG0000060	AENJA_23597	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	AENJA_07301	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	AENJA_07183	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	AENJA_26614, AENJA_08766	DANRE26341, DANRE29170
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	DANRE18807, DANRE18806
OG0000063	AENJA_20321	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	AENJA_03789	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	AENJA_04323	DANRE15770
OG0000063	AENJA_26394	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	AENJA_12655, AENJA_09505	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	DANRE22551
OG0000069	AENJA_15982	DANRE26091
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	DANRE18387, DANRE02540
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	AENJA_13128	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	AENJA_02450	DANRE08498, DANRE08497, DANRE06006
OG0000072	AENJA_25944, AENJA_05445	DANRE05807
OG0000072	AENJA_24050, AENJA_00746	DANRE06126
OG0000073	AENJA_08518, AENJA_08515	DANRE23559
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590
OG0000074	AENJA_24714	DANRE17935
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	DANRE25680
OG0000075	AENJA_23745	DANRE03709, DANRE26359, DANRE26360
OG0000075	AENJA_05831	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	AENJA_14040, AENJA_18277, AENJA_12917	DANRE31020
OG0000075	AENJA_21406	DANRE36834, DANRE40515, DANRE12778
OG0000075	AENJA_12918	DANRE30937, DANRE41300
OG0000075	AENJA_12839	DANRE31021, DANRE31022
OG0000077	AENJA_13107	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	AENJA_07475	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000077	AENJA_04661	DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293
OG0000078	AENJA_06551	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000079	AENJA_16186	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	AENJA_02482	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229
OG0000079	AENJA_17442	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813
OG0000079	AENJA_11789	DANRE33383
OG0000079	AENJA_10507	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	AENJA_25747	DANRE06377
OG0000082	AENJA_11460	DANRE00970
OG0000083	AENJA_21795	DANRE01056, DANRE08510, DANRE34355, DANRE07334, DANRE07333
OG0000084	AENJA_24814	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459
OG0000084	AENJA_24184	DANRE33759
OG0000085	AENJA_05556	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	AENJA_06487	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	AENJA_24493	DANRE10316
OG0000085	AENJA_20539	DANRE33578, DANRE33579
OG0000085	AENJA_08917	DANRE14204, DANRE04562
OG0000086	AENJA_01905	DANRE36075, DANRE31941, DANRE19260
OG0000086	AENJA_05350	DANRE33398
OG0000086	AENJA_16623	DANRE07765
OG0000087	AENJA_23251	DANRE37955
OG0000087	AENJA_08976	DANRE15847, DANRE15848
OG0000087	AENJA_19775	DANRE02654, DANRE02653
OG0000087	AENJA_03163	DANRE42135
OG0000087	AENJA_19935	DANRE22805, DANRE22804
OG0000087	AENJA_04374, AENJA_10299	DANRE24820, DANRE24821
OG0000087	AENJA_20453	DANRE42134
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035
OG0000089	AENJA_01807	DANRE18392
OG0000090	AENJA_10145	DANRE14575, DANRE14574, DANRE08600, DANRE08601
OG0000090	AENJA_01954	DANRE14775, DANRE14776
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299	DANRE19328, DANRE19327, DANRE19329
OG0000094	AENJA_14582	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286
OG0000094	AENJA_26553	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000096	AENJA_25727	DANRE06854, DANRE41409, DANRE15329, DANRE13475
OG0000096	AENJA_21947	DANRE14485
OG0000096	AENJA_08423	DANRE38946
OG0000096	AENJA_14053	DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000097	AENJA_19407, AENJA_02407	DANRE07843, DANRE07842, DANRE07848, DANRE07847, DANRE07846, DANRE07845
OG0000098	AENJA_10136, AENJA_10137	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851
OG0000098	AENJA_22563, AENJA_15215	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	AENJA_19631	DANRE19933
OG0000099	AENJA_07638, AENJA_14869	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000100	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620	DANRE31960, DANRE06447, DANRE35571, DANRE40178, DANRE28402
OG0000101	AENJA_26592	DANRE38569, DANRE26131, DANRE26132
OG0000101	AENJA_00251	DANRE12070
OG0000101	AENJA_06142	DANRE23836
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774
