Orthogroup	AENJA_ok	CAPO3
OG0000051	AENJA_15112, AENJA_18491, AENJA_12662, AENJA_24250	CAPO307809, CAPO301249
OG0000053	AENJA_14744	CAPO302193
OG0000053	AENJA_19076	CAPO307363
OG0000054	AENJA_06676, AENJA_23371	CAPO302015
OG0000056	AENJA_07746, AENJA_20577, AENJA_26131, AENJA_20111, AENJA_20268, AENJA_20270, AENJA_05228, AENJA_08324, AENJA_08326, AENJA_10099, AENJA_20631, AENJA_14653, AENJA_12353, AENJA_00716, AENJA_23916, AENJA_16059, AENJA_06586, AENJA_23245, AENJA_07599, AENJA_23054, AENJA_09762, AENJA_10486, AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114	CAPO305974, CAPO306012, CAPO306941
OG0000058	AENJA_23345	CAPO305595
OG0000060	AENJA_17233, AENJA_00816, AENJA_19748, AENJA_06413, AENJA_16934, AENJA_19164, AENJA_25801, AENJA_00669, AENJA_06416, AENJA_06418, AENJA_18536, AENJA_04512, AENJA_04510, AENJA_04511, AENJA_11167, AENJA_04778, AENJA_05765, AENJA_23597	CAPO305373
OG0000062	AENJA_11363, AENJA_21914, AENJA_09119, AENJA_00352, AENJA_09642, AENJA_22683, AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995, AENJA_11364, AENJA_03699	CAPO300910
OG0000063	AENJA_20321, AENJA_03789, AENJA_04323, AENJA_26394	CAPO300270
OG0000066	AENJA_19946, AENJA_12655, AENJA_09505, AENJA_20318, AENJA_04513, AENJA_18855, AENJA_25232, AENJA_08610, AENJA_22621	CAPO308057
OG0000069	AENJA_15982	CAPO302182
OG0000079	AENJA_05095	CAPO302518
OG0000082	AENJA_25747	CAPO306626
OG0000085	AENJA_11709, AENJA_05556	CAPO303061
OG0000085	AENJA_06487, AENJA_24493, AENJA_20539, AENJA_06382, AENJA_08917	CAPO303047
OG0000089	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496, AENJA_09908, AENJA_23276, AENJA_11297, AENJA_00357, AENJA_23778, AENJA_22153, AENJA_17373, AENJA_13869, AENJA_00358, AENJA_09888, AENJA_08835, AENJA_24030, AENJA_01751, AENJA_09728, AENJA_01807	CAPO300386, CAPO300810, CAPO302098
OG0000090	AENJA_02476	CAPO304460, CAPO304458, CAPO303991
OG0000090	AENJA_03876	CAPO304635, CAPO304845, CAPO301336
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299, AENJA_01389	CAPO301134
OG0000095	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676	CAPO301288, CAPO306046
OG0000096	AENJA_21947	CAPO307522
OG0000096	AENJA_08423	CAPO300294
OG0000096	AENJA_09240, AENJA_14053	CAPO307017
OG0000101	AENJA_26592, AENJA_26594, AENJA_00251, AENJA_06142, AENJA_14914, AENJA_21479, AENJA_11421	CAPO306858
OG0000103	AENJA_10812, AENJA_14367	CAPO302453
OG0000106	AENJA_21591, AENJA_13743, AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	CAPO300017
OG0000110	AENJA_15291, AENJA_04603, AENJA_15296, AENJA_15289, AENJA_15290, AENJA_16216, AENJA_01780, AENJA_10578, AENJA_06144, AENJA_06145, AENJA_16217, AENJA_09309, AENJA_19995, AENJA_08732	CAPO300387
OG0000116	AENJA_23563, AENJA_23564	CAPO305622
OG0000119	AENJA_18357, AENJA_20512, AENJA_08115, AENJA_08491	CAPO304642
OG0000122	AENJA_09263, AENJA_26721, AENJA_14198, AENJA_09459, AENJA_22788	CAPO307824
OG0000124	AENJA_04495	CAPO304324
OG0000124	AENJA_03187	CAPO302553
OG0000126	AENJA_24273	CAPO302484
OG0000126	AENJA_07507	CAPO300572
OG0000128	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744	CAPO306991, CAPO304956
OG0000129	AENJA_11469, AENJA_21737, AENJA_16458, AENJA_17470, AENJA_12119, AENJA_20942, AENJA_12123	CAPO303361
OG0000132	AENJA_18042	CAPO305174
OG0000137	AENJA_26083, AENJA_25528, AENJA_11173, AENJA_09533	CAPO305369
OG0000142	AENJA_25989, AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249, AENJA_21733, AENJA_26417, AENJA_16857, AENJA_18146	CAPO302031, CAPO302030
OG0000147	AENJA_03760	CAPO306333
OG0000147	AENJA_12275	CAPO308132
OG0000147	AENJA_10787, AENJA_03843	CAPO304230
OG0000149	AENJA_12114, AENJA_12111, AENJA_03471, AENJA_12512, AENJA_18447	CAPO305206, CAPO306214
OG0000157	AENJA_03158	CAPO302981
OG0000157	AENJA_08473, AENJA_07142	CAPO305824
OG0000160	AENJA_06959	CAPO301680
OG0000167	AENJA_04545, AENJA_20048, AENJA_12329, AENJA_04868, AENJA_12328	CAPO301364, CAPO303476
OG0000171	AENJA_00267, AENJA_26673, AENJA_26672, AENJA_09998	CAPO304813
OG0000174	AENJA_09684, AENJA_09689, AENJA_19122, AENJA_02198	CAPO304629
OG0000175	AENJA_05120	CAPO303513
OG0000179	AENJA_05305	CAPO300694
OG0000179	AENJA_25279	CAPO303342
OG0000181	AENJA_08843	CAPO301108
OG0000181	AENJA_22272	CAPO302034
OG0000181	AENJA_05116, AENJA_18867, AENJA_18892	CAPO307692
OG0000183	AENJA_03852	CAPO305638
OG0000183	AENJA_18616, AENJA_21091, AENJA_21093	CAPO305829
OG0000184	AENJA_15402, AENJA_19874	CAPO307711
OG0000184	AENJA_19614, AENJA_08959, AENJA_22614	CAPO304928
OG0000186	AENJA_16122	CAPO301875
OG0000192	AENJA_23240	CAPO304141
OG0000192	AENJA_11217, AENJA_11222	CAPO300533
OG0000192	AENJA_16678, AENJA_04859	CAPO301980
OG0000193	AENJA_13914, AENJA_10880, AENJA_10878, AENJA_10877, AENJA_08498	CAPO302628
OG0000194	AENJA_10642, AENJA_01834	CAPO305195
OG0000195	AENJA_16048, AENJA_12573, AENJA_10227, AENJA_02703	CAPO305454
OG0000201	AENJA_04223	CAPO307729
OG0000203	AENJA_01110, AENJA_20011, AENJA_10014, AENJA_10780	CAPO302139
OG0000204	AENJA_01745, AENJA_12472	CAPO303090
OG0000207	AENJA_24487	CAPO304105, CAPO304106, CAPO304714
OG0000211	AENJA_25447, AENJA_09895, AENJA_19821, AENJA_00791, AENJA_02934, AENJA_21143, AENJA_10795	CAPO306209
OG0000218	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732	CAPO300559
OG0000220	AENJA_25417, AENJA_19945, AENJA_06243, AENJA_19950, AENJA_20772, AENJA_08885	CAPO306780, CAPO307695
OG0000221	AENJA_18945, AENJA_16769, AENJA_12084	CAPO300247
OG0000222	AENJA_10919, AENJA_15540	CAPO304211
OG0000223	AENJA_17914, AENJA_25328, AENJA_19949	CAPO308126
OG0000225	AENJA_04793, AENJA_18668	CAPO305347
OG0000234	AENJA_02022, AENJA_09853	CAPO301359
OG0000238	AENJA_24755	CAPO305428
OG0000239	AENJA_09843, AENJA_06019, AENJA_09841	CAPO302089
OG0000240	AENJA_19535	CAPO303214
OG0000240	AENJA_09344	CAPO303372
OG0000244	AENJA_09215, AENJA_09220, AENJA_18376, AENJA_02207	CAPO301556
OG0000246	AENJA_23370, AENJA_10538, AENJA_10539, AENJA_20530, AENJA_11679, AENJA_05856, AENJA_05857, AENJA_05854, AENJA_23980, AENJA_21766	CAPO303496
OG0000248	AENJA_23410, AENJA_15881, AENJA_08718	CAPO307635, CAPO302481, CAPO302487
OG0000250	AENJA_01564	CAPO305827
OG0000255	AENJA_23771	CAPO306632
OG0000255	AENJA_05199	CAPO301531
OG0000255	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356	CAPO300499
OG0000256	AENJA_24528	CAPO307884
OG0000256	AENJA_04595, AENJA_22679, AENJA_05370, AENJA_07601, AENJA_13004	CAPO306483
OG0000257	AENJA_21159, AENJA_18420, AENJA_06250, AENJA_12469, AENJA_20995, AENJA_23471	CAPO300414
OG0000258	AENJA_04201	CAPO301106
OG0000258	AENJA_21764, AENJA_08669	CAPO301746
OG0000260	AENJA_02917	CAPO300399
OG0000265	AENJA_21392, AENJA_21393	CAPO306126
OG0000265	AENJA_02918	CAPO306540
OG0000271	AENJA_06329	CAPO306147
OG0000271	AENJA_00138, AENJA_18761, AENJA_07943, AENJA_08114, AENJA_14553, AENJA_18762	CAPO304641
OG0000273	AENJA_14902	CAPO305109
OG0000277	AENJA_21144	CAPO303621
OG0000277	AENJA_08858	CAPO301295
OG0000278	AENJA_24084	CAPO300620
OG0000278	AENJA_12104	CAPO302023
OG0000278	AENJA_24144	CAPO305864
OG0000282	AENJA_08490, AENJA_20347, AENJA_07959, AENJA_08159	CAPO308183
OG0000284	AENJA_03142, AENJA_20326	CAPO305695
OG0000285	AENJA_13941, AENJA_20401, AENJA_20406, AENJA_19105, AENJA_07714, AENJA_19484, AENJA_02834, AENJA_06481, AENJA_21453, AENJA_25131	CAPO303377
OG0000288	AENJA_00977, AENJA_14604	CAPO305142
OG0000289	AENJA_13824, AENJA_25023, AENJA_15869, AENJA_15870	CAPO307835
OG0000295	AENJA_18927, AENJA_14336, AENJA_11107, AENJA_14335, AENJA_07578	CAPO302113, CAPO302799
OG0000299	AENJA_07480	CAPO306599
OG0000305	AENJA_23458	CAPO307183
OG0000306	AENJA_01416	CAPO308212
OG0000308	AENJA_23339	CAPO304037
OG0000308	AENJA_04225	CAPO303083
OG0000310	AENJA_12510, AENJA_19334, AENJA_10979, AENJA_16718, AENJA_13920, AENJA_20912, AENJA_20756	CAPO305978
OG0000312	AENJA_05337	CAPO302691
OG0000313	AENJA_16242, AENJA_16057	CAPO307072
OG0000313	AENJA_23096, AENJA_17234, AENJA_00680, AENJA_01313	CAPO301348
OG0000314	AENJA_05762, AENJA_10482, AENJA_16012, AENJA_19100	CAPO304303
OG0000315	AENJA_20619	CAPO308167
OG0000316	AENJA_08472	CAPO307924, CAPO300321
OG0000317	AENJA_16154	CAPO306620
OG0000319	AENJA_21128, AENJA_02024, AENJA_15257	CAPO303225
OG0000320	AENJA_16441, AENJA_02544	CAPO304008
OG0000322	AENJA_07618, AENJA_03568, AENJA_04218	CAPO306406
OG0000326	AENJA_25612, AENJA_08013	CAPO308358, CAPO307947
OG0000326	AENJA_25861	CAPO303322
OG0000327	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486, AENJA_12542	CAPO308120
OG0000334	AENJA_18674, AENJA_08078, AENJA_20172, AENJA_19540, AENJA_16534, AENJA_18675, AENJA_11653, AENJA_06892, AENJA_10669, AENJA_22797, AENJA_22796, AENJA_24850, AENJA_10667, AENJA_10668	CAPO300337
OG0000335	AENJA_20108, AENJA_01373, AENJA_01375, AENJA_01372	CAPO307753
OG0000338	AENJA_13192, AENJA_22299	CAPO304735
OG0000339	AENJA_00382, AENJA_19984, AENJA_00140, AENJA_14078, AENJA_02225	CAPO305264
OG0000343	AENJA_04274	CAPO306429
OG0000352	AENJA_13697, AENJA_04782, AENJA_25500, AENJA_11315	CAPO300356
OG0000357	AENJA_04794	CAPO301487
OG0000359	AENJA_14005	CAPO305417
OG0000359	AENJA_07464, AENJA_09269	CAPO301540
OG0000360	AENJA_19447, AENJA_18938, AENJA_08035, AENJA_08623, AENJA_22734	CAPO300757
OG0000364	AENJA_08616, AENJA_07293, AENJA_05680	CAPO301330, CAPO300908
OG0000367	AENJA_21570, AENJA_21567, AENJA_15749	CAPO301272
OG0000371	AENJA_14528, AENJA_04971, AENJA_19657, AENJA_18838	CAPO307503
OG0000372	AENJA_14610, AENJA_10537, AENJA_22918, AENJA_10254	CAPO307553
OG0000373	AENJA_10744, AENJA_18516	CAPO301744
OG0000385	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346	CAPO300182, CAPO305781, CAPO305517
OG0000390	AENJA_23187, AENJA_21850, AENJA_23186	CAPO301433, CAPO301477
OG0000390	AENJA_23491, AENJA_23482, AENJA_23492, AENJA_06399	CAPO307000
OG0000392	AENJA_11266	CAPO300351
OG0000393	AENJA_20824, AENJA_11660	CAPO307627
OG0000397	AENJA_26085	CAPO304372
OG0000399	AENJA_09258, AENJA_25908, AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668, AENJA_14143	CAPO302781
OG0000402	AENJA_01108, AENJA_20115	CAPO300999
OG0000405	AENJA_21234	CAPO300636
OG0000412	AENJA_21404	CAPO306116
OG0000412	AENJA_26231, AENJA_11362	CAPO307159
OG0000413	AENJA_18235	CAPO302663
OG0000416	AENJA_13956	CAPO300647, CAPO303519, CAPO305980
OG0000419	AENJA_25245, AENJA_25372, AENJA_25244	CAPO304227
OG0000420	AENJA_05214, AENJA_14372, AENJA_14000, AENJA_14371, AENJA_25418, AENJA_12757, AENJA_24304	CAPO307162
OG0000422	AENJA_10624	CAPO301071
OG0000424	AENJA_15205, AENJA_15202, AENJA_26752	CAPO302770, CAPO306814
OG0000426	AENJA_16516	CAPO302714
OG0000426	AENJA_15653, AENJA_15654	CAPO306829
OG0000427	AENJA_16219	CAPO303813
OG0000429	AENJA_21410	CAPO300725
OG0000431	AENJA_19097	CAPO306585
OG0000431	AENJA_17426	CAPO304684
OG0000433	AENJA_10323	CAPO304838, CAPO302573
OG0000434	AENJA_23323, AENJA_21939, AENJA_18428, AENJA_12178	CAPO304471
OG0000435	AENJA_25030, AENJA_23148	CAPO308080
OG0000436	AENJA_24307	CAPO305799
OG0000442	AENJA_20819	CAPO302753, CAPO302633
OG0000444	AENJA_22469	CAPO305423
OG0000445	AENJA_02867, AENJA_01957, AENJA_03366, AENJA_08087, AENJA_03365	CAPO301584
OG0000447	AENJA_07978	CAPO300691
OG0000450	AENJA_18743, AENJA_10311	CAPO307586, CAPO307446
OG0000453	AENJA_23512, AENJA_19259, AENJA_19260	CAPO305025
OG0000461	AENJA_22982	CAPO303645, CAPO304085, CAPO303531
OG0000461	AENJA_10288	CAPO307456
OG0000467	AENJA_24285	CAPO302214
OG0000468	AENJA_06943, AENJA_02883, AENJA_02878, AENJA_08672, AENJA_12636	CAPO302003, CAPO303185
OG0000469	AENJA_19006	CAPO306584, CAPO302277
OG0000469	AENJA_05512	CAPO302982
OG0000470	AENJA_05899, AENJA_25964	CAPO307521
OG0000474	AENJA_17737	CAPO307766
OG0000475	AENJA_22558	CAPO303779
OG0000476	AENJA_24295, AENJA_10203	CAPO306104
OG0000479	AENJA_09588	CAPO303549
OG0000479	AENJA_20878	CAPO304267
OG0000480	AENJA_10027, AENJA_23584, AENJA_25610, AENJA_14480, AENJA_23244	CAPO307201
OG0000481	AENJA_16592	CAPO300053
OG0000481	AENJA_22951	CAPO304800
OG0000481	AENJA_11417	CAPO304355
OG0000484	AENJA_00628	CAPO304750
OG0000485	AENJA_01157, AENJA_13767, AENJA_15714, AENJA_15716, AENJA_24876, AENJA_15715, AENJA_14513	CAPO303224, CAPO303026
OG0000486	AENJA_24911, AENJA_01412, AENJA_01364, AENJA_22874	CAPO306048, CAPO306972
OG0000488	AENJA_10931	CAPO305871
OG0000494	AENJA_16419, AENJA_21639, AENJA_05180	CAPO300277
OG0000506	AENJA_21734	CAPO304587
OG0000508	AENJA_05447	CAPO303408, CAPO307945
OG0000508	AENJA_18700	CAPO307989
OG0000508	AENJA_18701	CAPO302590
OG0000510	AENJA_13229, AENJA_13230	CAPO303128, CAPO305095
OG0000511	AENJA_16863, AENJA_16866, AENJA_25207	CAPO301322
OG0000514	AENJA_24585	CAPO307292
OG0000519	AENJA_13197, AENJA_00264	CAPO300709
OG0000520	AENJA_00693	CAPO304720
OG0000522	AENJA_22612, AENJA_04937, AENJA_01107	CAPO306204
OG0000528	AENJA_10012, AENJA_23565, AENJA_19659	CAPO300417
OG0000530	AENJA_14711	CAPO306919
OG0000532	AENJA_06922	CAPO300259
OG0000532	AENJA_16814, AENJA_16819, AENJA_21969, AENJA_01491, AENJA_19889	CAPO301913
OG0000538	AENJA_23758	CAPO300039
OG0000548	AENJA_14730, AENJA_19997	CAPO307253, CAPO307370
OG0000549	AENJA_17344, AENJA_17342, AENJA_17318, AENJA_21943	CAPO305341
OG0000551	AENJA_18612, AENJA_25358	CAPO305700
OG0000552	AENJA_18702, AENJA_23603	CAPO302805
OG0000553	AENJA_20283, AENJA_25732	CAPO302261
OG0000554	AENJA_25501	CAPO300205
OG0000561	AENJA_01455, AENJA_18412	CAPO307817, CAPO304686, CAPO304296
OG0000563	AENJA_25022, AENJA_03438	CAPO305151
OG0000566	AENJA_14810, AENJA_20531, AENJA_16653	CAPO306820
OG0000567	AENJA_23422	CAPO300710, CAPO302895
OG0000569	AENJA_24688, AENJA_22569, AENJA_16744, AENJA_00319	CAPO302672
OG0000572	AENJA_05866, AENJA_02750	CAPO302048
OG0000573	AENJA_05835	CAPO301573
OG0000573	AENJA_03220	CAPO300482
OG0000574	AENJA_03681, AENJA_21909, AENJA_24754	CAPO303025
OG0000578	AENJA_09428	CAPO305505
OG0000583	AENJA_17607	CAPO302594
OG0000585	AENJA_25758	CAPO302010
OG0000586	AENJA_25809	CAPO304818
OG0000588	AENJA_21633	CAPO300701
OG0000590	AENJA_19774	CAPO302664
OG0000590	AENJA_07046	CAPO307990
OG0000591	AENJA_25061	CAPO300885
OG0000591	AENJA_08335, AENJA_08330, AENJA_08329	CAPO301508, CAPO306921
OG0000592	AENJA_12392	CAPO302552
OG0000593	AENJA_21036, AENJA_17174	CAPO303950
OG0000594	AENJA_00502, AENJA_08887, AENJA_21333, AENJA_15216, AENJA_13904	CAPO305185
OG0000595	AENJA_21288, AENJA_00557, AENJA_14351, AENJA_14766	CAPO303068, CAPO304997
OG0000597	AENJA_10748	CAPO305949
OG0000600	AENJA_07369, AENJA_09335	CAPO302133
OG0000603	AENJA_20949	CAPO300286
OG0000604	AENJA_24197, AENJA_26538	CAPO304248
OG0000609	AENJA_03157	CAPO306415
OG0000611	AENJA_15613	CAPO305139
OG0000611	AENJA_05204, AENJA_13627	CAPO302505
OG0000612	AENJA_06346	CAPO308174
OG0000613	AENJA_08922, AENJA_20929	CAPO306741, CAPO303985
OG0000614	AENJA_10824	CAPO308097
OG0000614	AENJA_17421	CAPO306138, CAPO304207
OG0000616	AENJA_11411	CAPO301011
OG0000617	AENJA_19025	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167
OG0000619	AENJA_15723	CAPO303580
OG0000620	AENJA_23744, AENJA_23743	CAPO300569
OG0000623	AENJA_02871	CAPO306891
OG0000623	AENJA_17960	CAPO306678
OG0000624	AENJA_13893, AENJA_06380, AENJA_22597	CAPO304034, CAPO304035
OG0000627	AENJA_13466	CAPO301912
OG0000628	AENJA_25533, AENJA_13648	CAPO306878
OG0000629	AENJA_16147, AENJA_26558	CAPO304632
OG0000634	AENJA_04829, AENJA_15030, AENJA_04831, AENJA_11956, AENJA_02531, AENJA_15029	CAPO305866
OG0000636	AENJA_07463	CAPO300927, CAPO308236
OG0000637	AENJA_11572, AENJA_16161, AENJA_07771	CAPO306492
OG0000639	AENJA_10965	CAPO300322
OG0000639	AENJA_22126	CAPO305269
OG0000642	AENJA_02487, AENJA_00389, AENJA_26018	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000643	AENJA_00652, AENJA_10745	CAPO301316
OG0000645	AENJA_00673	CAPO306925
OG0000645	AENJA_22405	CAPO307784, CAPO304648
OG0000648	AENJA_04823	CAPO306715
OG0000648	AENJA_04819	CAPO307568
OG0000650	AENJA_10994	CAPO302429
OG0000651	AENJA_15937	CAPO301045
OG0000652	AENJA_18507, AENJA_18509	CAPO307163
OG0000653	AENJA_23631, AENJA_23630	CAPO304384
OG0000657	AENJA_14948	CAPO304462
OG0000662	AENJA_08142, AENJA_09173, AENJA_21495	CAPO308235
OG0000663	AENJA_26290, AENJA_19588, AENJA_10413	CAPO303713
OG0000664	AENJA_14841, AENJA_15036	CAPO305353
OG0000665	AENJA_18167	CAPO304505, CAPO304163
OG0000666	AENJA_19016	CAPO306172
OG0000667	AENJA_23722, AENJA_23727, AENJA_23726	CAPO305865
OG0000672	AENJA_11032	CAPO301072
OG0000672	AENJA_02173	CAPO301848
OG0000674	AENJA_03705	CAPO303746
OG0000676	AENJA_15570	CAPO304343, CAPO305288
OG0000676	AENJA_04404	CAPO300920, CAPO304680
OG0000683	AENJA_18458	CAPO304912
OG0000683	AENJA_20329	CAPO305392, CAPO303509
OG0000684	AENJA_20633	CAPO306227
OG0000690	AENJA_04544	CAPO306653
OG0000690	AENJA_00603	CAPO304114
OG0000691	AENJA_08029, AENJA_00795	CAPO301028
OG0000692	AENJA_17363	CAPO301383
OG0000692	AENJA_13840	CAPO306980
OG0000693	AENJA_01709	CAPO300633
OG0000693	AENJA_03923	CAPO307538
OG0000694	AENJA_02666, AENJA_15805	CAPO302468
OG0000696	AENJA_12321	CAPO305456
OG0000696	AENJA_10033	CAPO305466
OG0000696	AENJA_06971	CAPO301422
OG0000697	AENJA_20153, AENJA_07893, AENJA_21762	CAPO304466, CAPO306724
OG0000698	AENJA_24098	CAPO303921
OG0000701	AENJA_18091	CAPO306727
OG0000703	AENJA_26753, AENJA_26449	CAPO308078
OG0000706	AENJA_23411, AENJA_25177, AENJA_22931, AENJA_16301, AENJA_02924, AENJA_00418	CAPO301985
OG0000708	AENJA_10491	CAPO302130
OG0000708	AENJA_04787	CAPO300640
OG0000711	AENJA_12473, AENJA_12494, AENJA_02057	CAPO304713
OG0000713	AENJA_08677, AENJA_06149, AENJA_06146	CAPO302804
OG0000715	AENJA_15913	CAPO305197
OG0000716	AENJA_17206	CAPO306457
OG0000717	AENJA_19227	CAPO302989
OG0000718	AENJA_24056, AENJA_24052, AENJA_21088	CAPO301597, CAPO306021
OG0000721	AENJA_16007, AENJA_01615	CAPO305154, CAPO301906
OG0000724	AENJA_08671	CAPO300826
OG0000726	AENJA_14697	CAPO302910
OG0000731	AENJA_07204	CAPO304569
OG0000732	AENJA_23886	CAPO304867
OG0000732	AENJA_07798, AENJA_12389	CAPO302445
OG0000733	AENJA_07801	CAPO301695
OG0000735	AENJA_15834	CAPO302824
OG0000736	AENJA_24261, AENJA_25876	CAPO306770
OG0000743	AENJA_02218, AENJA_03448, AENJA_02220, AENJA_13371, AENJA_13756, AENJA_04913	CAPO306268
OG0000747	AENJA_11144, AENJA_11146, AENJA_17531	CAPO303187
OG0000748	AENJA_15960	CAPO301276
OG0000751	AENJA_22604	CAPO302771
OG0000752	AENJA_00591	CAPO300507
OG0000752	AENJA_26667	CAPO305335
OG0000753	AENJA_01120	CAPO301378
