Orthogroup	AENJA_ok	ASTMX
OG0000006	AENJA_07549, AENJA_15373	ASTMX06644
OG0000006	AENJA_18450	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	AENJA_01590	ASTMX14827
OG0000006	AENJA_09210	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	AENJA_15474	ASTMX10604
OG0000007	AENJA_18325	ASTMX14980
OG0000007	AENJA_18163	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	AENJA_00810	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	AENJA_25020	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	AENJA_23908	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	AENJA_19234	ASTMX21073, ASTMX16179
OG0000007	AENJA_06479, AENJA_16018	ASTMX20070
OG0000007	AENJA_18328	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	AENJA_09687	ASTMX18062, ASTMX21262
OG0000007	AENJA_07358	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	AENJA_11277	ASTMX04966, ASTMX11650
OG0000007	AENJA_22886	ASTMX18779, ASTMX07711
OG0000007	AENJA_16981	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	AENJA_26507	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	AENJA_15934, AENJA_26738	ASTMX21956, ASTMX05481
OG0000008	AENJA_24404, AENJA_14450	ASTMX13345, ASTMX11364
OG0000008	AENJA_00959	ASTMX13129
OG0000010	AENJA_00347	ASTMX11060
OG0000011	AENJA_19273, AENJA_01290	ASTMX22966, ASTMX22692
OG0000011	AENJA_03543, AENJA_24193	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000011	AENJA_06710	ASTMX20794
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192	ASTMX21233
OG0000011	AENJA_02877, AENJA_17352	ASTMX01926
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	AENJA_21547	ASTMX22970
OG0000011	AENJA_24664	ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	ASTMX22063, ASTMX16492
OG0000012	AENJA_02869	ASTMX06265
OG0000014	AENJA_25536	ASTMX12908, ASTMX11632
OG0000015	AENJA_19636	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	AENJA_18653	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	AENJA_17614, AENJA_19630	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	AENJA_15459	ASTMX09206
OG0000016	AENJA_11513	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	AENJA_26671, AENJA_26677	ASTMX00540
OG0000016	AENJA_02781	ASTMX02874
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	AENJA_09676	ASTMX13805
OG0000018	AENJA_03018, AENJA_12247	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	AENJA_24818, AENJA_20016	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	AENJA_21688, AENJA_05309	ASTMX04834
OG0000020	AENJA_02593, AENJA_02596	ASTMX22432
OG0000020	AENJA_15791	ASTMX12285
OG0000020	AENJA_12903	ASTMX15062
OG0000020	AENJA_09502	ASTMX14060
OG0000020	AENJA_18052	ASTMX00490, ASTMX12696
OG0000020	AENJA_23718, AENJA_02408	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	AENJA_17847	ASTMX16030
OG0000020	AENJA_15954	ASTMX16028
OG0000020	AENJA_16929	ASTMX17320
OG0000020	AENJA_04727	ASTMX04750, ASTMX21042
OG0000020	AENJA_10912	ASTMX05243
OG0000020	AENJA_11444	ASTMX04710
OG0000020	AENJA_14659	ASTMX07754
OG0000020	AENJA_12495	ASTMX13875
OG0000021	AENJA_14639	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	AENJA_16593	ASTMX00201, ASTMX09085
OG0000021	AENJA_24950	ASTMX02310, ASTMX16342
OG0000021	AENJA_19175	ASTMX09645
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	ASTMX21461, ASTMX05545
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	ASTMX13864
OG0000023	AENJA_06341	ASTMX18896
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	AENJA_19909	ASTMX14286, ASTMX19623
OG0000023	AENJA_03895	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000026	AENJA_07099, AENJA_18950	ASTMX06810
OG0000026	AENJA_21657	ASTMX12978
OG0000028	AENJA_04861, AENJA_01184	ASTMX18482, ASTMX18778
OG0000030	AENJA_17283	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	AENJA_12274	ASTMX02378, ASTMX18821
OG0000031	AENJA_09856	ASTMX08659, ASTMX04771
OG0000031	AENJA_09858	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	AENJA_20966	ASTMX12572
OG0000031	AENJA_08759	ASTMX06525, ASTMX05128
OG0000031	AENJA_10722	ASTMX09693, ASTMX17541
OG0000031	AENJA_02955	ASTMX00710, ASTMX00969, ASTMX17640
OG0000031	AENJA_05740	ASTMX03912, ASTMX00105
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	AENJA_15028	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000032	AENJA_06514	ASTMX08687, ASTMX18764
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	ASTMX06705
OG0000034	AENJA_21749	ASTMX03519
OG0000034	AENJA_26717	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	AENJA_09845	ASTMX15312
OG0000034	AENJA_02791	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	AENJA_23686	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	AENJA_13785	ASTMX12428, ASTMX02190
OG0000034	AENJA_15701	ASTMX01548
OG0000034	AENJA_16616	ASTMX02136
OG0000035	AENJA_01174	ASTMX17732
OG0000035	AENJA_22033	ASTMX22713, ASTMX21245
OG0000035	AENJA_08825	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	AENJA_12732	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	AENJA_12364, AENJA_26037	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	AENJA_21683	ASTMX15321, ASTMX20966
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	AENJA_16633	ASTMX19120
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	ASTMX18312, ASTMX10284
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	ASTMX01338, ASTMX03570
OG0000037	AENJA_20944	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	AENJA_05483, AENJA_06274	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	AENJA_13632	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	ASTMX03275
OG0000038	AENJA_00416	ASTMX14059
OG0000038	AENJA_26313	ASTMX05291
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	ASTMX16971
OG0000039	AENJA_07945	ASTMX14711
OG0000039	AENJA_07277	ASTMX10108, ASTMX07819
OG0000040	AENJA_07541, AENJA_11361	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	AENJA_24560	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	AENJA_03404, AENJA_03405	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000044	AENJA_12079	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	AENJA_24602	ASTMX07618
OG0000044	AENJA_03123	ASTMX17555
OG0000044	AENJA_25117	ASTMX11110
OG0000045	AENJA_09277	ASTMX14022
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	ASTMX22281
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167
OG0000048	AENJA_11619	ASTMX13714
OG0000048	AENJA_23226	ASTMX03384
OG0000048	AENJA_09360	ASTMX15600
OG0000048	AENJA_16735, AENJA_16736	ASTMX04570
OG0000048	AENJA_25506	ASTMX00590
OG0000049	AENJA_20702	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	AENJA_25756	ASTMX00928, ASTMX08370, ASTMX07196
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193, AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961, AENJA_09597, AENJA_17561, AENJA_19763, AENJA_24932, AENJA_01528, AENJA_02355, AENJA_00087, AENJA_04583, AENJA_05218, AENJA_12783, AENJA_20003, AENJA_05632, AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533, AENJA_22540, AENJA_26360, AENJA_20350, AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097	ASTMX16561
OG0000051	AENJA_15112	ASTMX08001
OG0000051	AENJA_24250	ASTMX02511
OG0000054	AENJA_06676, AENJA_23371	ASTMX04679
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	ASTMX17485
OG0000056	AENJA_20111	ASTMX17742
OG0000056	AENJA_20268	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000056	AENJA_05228	ASTMX18310
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000057	AENJA_11025	ASTMX18685, ASTMX11838
OG0000058	AENJA_23345	ASTMX10002
OG0000058	AENJA_12354	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000059	AENJA_13132	ASTMX20918
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	AENJA_17233	ASTMX04292, ASTMX07603
OG0000060	AENJA_23597	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	AENJA_07301	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	AENJA_07183	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	AENJA_26614, AENJA_08766	ASTMX18729, ASTMX15987
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	ASTMX01260
OG0000063	AENJA_20321	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	AENJA_03789	ASTMX11259, ASTMX01032
OG0000063	AENJA_04323	ASTMX13777, ASTMX12583
OG0000063	AENJA_26394	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	AENJA_12655, AENJA_09505	ASTMX01776
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	AENJA_08644	ASTMX03045
OG0000068	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	ASTMX22587
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	ASTMX03868, ASTMX11850
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	ASTMX17316, ASTMX02948
OG0000072	AENJA_13128	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	AENJA_02450	ASTMX11250, ASTMX11618
OG0000072	AENJA_25944, AENJA_05445	ASTMX02462
OG0000073	AENJA_02295	ASTMX22931
OG0000073	AENJA_08518, AENJA_08515	ASTMX01961
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	AENJA_24714	ASTMX12476
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	ASTMX07079, ASTMX08304
OG0000075	AENJA_23745	ASTMX13833, ASTMX15058
OG0000075	AENJA_18278	ASTMX15193
OG0000075	AENJA_05831	ASTMX10641, ASTMX00718
OG0000075	AENJA_21406	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	AENJA_12918	ASTMX12953, ASTMX02098
OG0000075	AENJA_12839	ASTMX07134
OG0000077	AENJA_13107	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	AENJA_07475	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	AENJA_04661	ASTMX16324, ASTMX07654, ASTMX03210
OG0000078	AENJA_06551	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	AENJA_16186	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	AENJA_02482	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	AENJA_17442	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	AENJA_10507	ASTMX02943
OG0000080	AENJA_10526, AENJA_00028, AENJA_16119, AENJA_22310, AENJA_08696	ASTMX22762
OG0000080	AENJA_12681	ASTMX21534
OG0000080	AENJA_05027, AENJA_20662, AENJA_01319	ASTMX03885
OG0000080	AENJA_22144	ASTMX23043, ASTMX23016
OG0000081	AENJA_04625, AENJA_04630, AENJA_04629	ASTMX02774
OG0000082	AENJA_25747	ASTMX17888
OG0000083	AENJA_21795	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	AENJA_24814	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000084	AENJA_24184	ASTMX08038
OG0000085	AENJA_05556	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	AENJA_06487	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	AENJA_24493	ASTMX19538
OG0000085	AENJA_20539	ASTMX21189, ASTMX20129
OG0000085	AENJA_08917	ASTMX08704, ASTMX02521
OG0000086	AENJA_15016, AENJA_09648	ASTMX18109
OG0000086	AENJA_01905	ASTMX05962
OG0000087	AENJA_23251	ASTMX06968
OG0000087	AENJA_19935	ASTMX06381
OG0000087	AENJA_04374, AENJA_10299	ASTMX19474
OG0000087	AENJA_20453	ASTMX17716
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496	ASTMX10521
OG0000090	AENJA_10145	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	AENJA_01954	ASTMX12258, ASTMX10648
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299	ASTMX03395
OG0000094	AENJA_14582	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	AENJA_26553	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	AENJA_25727	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	AENJA_21947	ASTMX09859
OG0000096	AENJA_08423	ASTMX22998
OG0000096	AENJA_14053	ASTMX10423, ASTMX12959
OG0000097	AENJA_19407, AENJA_02407	ASTMX17212, ASTMX17215, ASTMX17211
OG0000098	AENJA_10136, AENJA_10137	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	AENJA_22563, AENJA_15215	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	AENJA_19631	ASTMX21430
OG0000099	AENJA_07638, AENJA_14869	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000100	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620	ASTMX18651
OG0000101	AENJA_26592	ASTMX00206, ASTMX00424
OG0000101	AENJA_00251	ASTMX01330
OG0000101	AENJA_06142	ASTMX08413
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164	ASTMX10991, ASTMX16111
OG0000102	AENJA_06075	ASTMX13696, ASTMX09775, ASTMX13346
OG0000103	AENJA_10812	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	AENJA_14367	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	AENJA_04107	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	AENJA_02684	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	AENJA_26666	ASTMX03728, ASTMX07045
OG0000106	AENJA_21591	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	AENJA_13743	ASTMX03154
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	ASTMX10570, ASTMX00462
OG0000108	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894	ASTMX06170, ASTMX09882
OG0000110	AENJA_15291, AENJA_04603, AENJA_15296, AENJA_15289, AENJA_15290, AENJA_16216, AENJA_01780, AENJA_10578, AENJA_06144, AENJA_06145, AENJA_16217, AENJA_09309, AENJA_19995, AENJA_08732	ASTMX08508
OG0000113	AENJA_14458	ASTMX07205
OG0000113	AENJA_09826	ASTMX07206
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000116	AENJA_23563, AENJA_23564	ASTMX01410
OG0000117	AENJA_02548	ASTMX00401, ASTMX12703
OG0000117	AENJA_23949	ASTMX17606
OG0000117	AENJA_16260	ASTMX10401
OG0000117	AENJA_05124, AENJA_24559, AENJA_08111	ASTMX14023
OG0000118	AENJA_22041, AENJA_20121, AENJA_07143, AENJA_26731	ASTMX10091, ASTMX22719
OG0000119	AENJA_18357, AENJA_20512	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	AENJA_08115, AENJA_08491	ASTMX00656, ASTMX18233
OG0000120	AENJA_04133	ASTMX00463
OG0000121	AENJA_09065	ASTMX16272, ASTMX04663, ASTMX01517
OG0000122	AENJA_09263	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832
OG0000122	AENJA_14198	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000123	AENJA_11261	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078
OG0000123	AENJA_22182	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212
OG0000123	AENJA_08161	ASTMX17040, ASTMX19775, ASTMX04718
OG0000123	AENJA_11939, AENJA_11934, AENJA_04063	ASTMX14814, ASTMX00304
OG0000124	AENJA_03116, AENJA_25792	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	AENJA_04495	ASTMX16401, ASTMX07748
OG0000124	AENJA_09769, AENJA_03187	ASTMX10640, ASTMX14745, ASTMX06441
OG0000124	AENJA_26736	ASTMX10817, ASTMX14412
OG0000124	AENJA_05859	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824
OG0000125	AENJA_09264	ASTMX16041, ASTMX22883, ASTMX19680, ASTMX19461, ASTMX05331, ASTMX17627
OG0000125	AENJA_18946	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329
OG0000125	AENJA_04836	ASTMX19681, ASTMX13832
OG0000125	AENJA_07272	ASTMX00267
OG0000126	AENJA_24273	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	AENJA_07507	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	AENJA_11132	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500
OG0000127	AENJA_20308	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	AENJA_04153	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
OG0000127	AENJA_17569	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260
