Orthogroup	AENJA_ok	BRALA
OG0000073	AENJA_03975, AENJA_15428	BRALA14657, BRALA21835, BRALA32812
OG0000074	AENJA_24714	BRALA08058
OG0000075	AENJA_23745	BRALA11316
OG0000075	AENJA_18279	BRALA07061
OG0000075	AENJA_05831	BRALA18754
OG0000075	AENJA_21406	BRALA17353
OG0000075	AENJA_12918	BRALA20309
OG0000075	AENJA_12839	BRALA17324
OG0000076	AENJA_00663, AENJA_09864, AENJA_18581, AENJA_25057	BRALA29889
OG0000076	AENJA_03351, AENJA_00818, AENJA_01910	BRALA10512
OG0000076	AENJA_01380, AENJA_10172	BRALA29888
OG0000076	AENJA_21283	BRALA06580
OG0000077	AENJA_13107	BRALA11472
OG0000077	AENJA_07475	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	AENJA_08162	BRALA09898
OG0000077	AENJA_16514	BRALA03171
OG0000079	AENJA_16186	BRALA00097, BRALA00109
OG0000079	AENJA_02482	BRALA18105
OG0000079	AENJA_17442	BRALA22809
OG0000079	AENJA_10507	BRALA13477
OG0000079	AENJA_05095	BRALA00141, BRALA16237, BRALA25844, BRALA16235
