Orthogroup	AENJA_ok	CAEEL
OG0000021	AENJA_10523	CAEEL00784, CAEEL15377
OG0000023	AENJA_03895	CAEEL13426
OG0000023	AENJA_11915	CAEEL20104
OG0000023	AENJA_17568, AENJA_17570	CAEEL07738
OG0000028	AENJA_02274	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	AENJA_19954	CAEEL19515, CAEEL07887
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650	CAEEL20320
OG0000030	AENJA_17283	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	AENJA_07079	CAEEL03646, CAEEL03801
OG0000030	AENJA_21030, AENJA_03309, AENJA_05226	CAEEL04353
OG0000030	AENJA_02005, AENJA_02015, AENJA_09694	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	AENJA_09856, AENJA_09858	CAEEL02023
OG0000031	AENJA_08759	CAEEL04718
OG0000031	AENJA_05740	CAEEL07076
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	CAEEL19615
OG0000032	AENJA_24093, AENJA_12718, AENJA_12280, AENJA_12491, AENJA_12283, AENJA_06513	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	AENJA_02790	CAEEL20539
OG0000034	AENJA_21749	CAEEL07900
OG0000034	AENJA_26717	CAEEL13037
OG0000034	AENJA_02791	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	AENJA_23686	CAEEL01132
OG0000034	AENJA_13785	CAEEL03140, CAEEL03141
OG0000035	AENJA_01174	CAEEL01943
OG0000035	AENJA_21682	CAEEL20458
OG0000035	AENJA_02191	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	CAEEL15057
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	AENJA_19419	CAEEL01091, CAEEL01333, CAEEL05877, CAEEL04684
OG0000037	AENJA_05483, AENJA_06274	CAEEL17629, CAEEL17628
OG0000037	AENJA_13632	CAEEL20275
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	CAEEL09012, CAEEL08645
OG0000038	AENJA_05701	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943
OG0000039	AENJA_20163	CAEEL00466
OG0000039	AENJA_07277	CAEEL18993
OG0000040	AENJA_23333	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896
OG0000041	AENJA_08471	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	AENJA_24560	CAEEL05494
OG0000041	AENJA_03404, AENJA_03405	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	CAEEL15122
OG0000044	AENJA_03123, AENJA_25117	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000044	AENJA_06141	CAEEL08025
OG0000047	AENJA_09237	CAEEL17846
OG0000049	AENJA_20702	CAEEL02028
OG0000049	AENJA_25756	CAEEL19631
OG0000051	AENJA_18491, AENJA_12662	CAEEL18565
OG0000051	AENJA_24250	CAEEL09464
OG0000054	AENJA_06676, AENJA_23371	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000054	AENJA_12232, AENJA_06677	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151
OG0000056	AENJA_20268, AENJA_20270	CAEEL05273
OG0000058	AENJA_23345	CAEEL06550
OG0000058	AENJA_12354	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000059	AENJA_17651	CAEEL08332
OG0000059	AENJA_20505, AENJA_00656	CAEEL07152
OG0000060	AENJA_00816	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063
OG0000061	AENJA_07301	CAEEL08422
OG0000061	AENJA_06999	CAEEL07898
OG0000061	AENJA_07304	CAEEL20509
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	CAEEL02955
OG0000063	AENJA_20321	CAEEL05773
OG0000063	AENJA_26394	CAEEL04400
OG0000066	AENJA_19946, AENJA_12655, AENJA_09505, AENJA_20318	CAEEL20109
OG0000068	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	CAEEL06439
OG0000069	AENJA_15982	CAEEL14766
OG0000070	AENJA_17946, AENJA_17947	CAEEL19861
OG0000071	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	AENJA_14652	CAEEL07368
OG0000072	AENJA_24050, AENJA_00746	CAEEL06792, CAEEL06516, CAEEL09391, CAEEL08125, CAEEL07082
OG0000073	AENJA_02295	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000073	AENJA_08518, AENJA_08515	CAEEL07620
OG0000075	AENJA_05831	CAEEL03008
OG0000075	AENJA_12918	CAEEL11367
OG0000075	AENJA_12839	CAEEL11291
OG0000077	AENJA_13107	CAEEL01559
OG0000077	AENJA_22767	CAEEL18189
OG0000077	AENJA_07475	CAEEL18883
OG0000077	AENJA_08162	CAEEL18420
OG0000077	AENJA_00875	CAEEL20549, CAEEL20548
OG0000078	AENJA_26733	CAEEL18404
OG0000079	AENJA_16186	CAEEL18822, CAEEL09849
OG0000079	AENJA_02482	CAEEL10489
OG0000079	AENJA_17442, AENJA_11789	CAEEL07248
OG0000082	AENJA_25747	CAEEL13927
OG0000084	AENJA_24814	CAEEL10610, CAEEL18185
OG0000084	AENJA_02486	CAEEL10989
OG0000085	AENJA_05556	CAEEL06909
OG0000085	AENJA_06487	CAEEL07542
OG0000085	AENJA_24493	CAEEL03085
OG0000085	AENJA_20539	CAEEL08077
OG0000090	AENJA_10145	CAEEL18451
OG0000090	AENJA_19633, AENJA_00371, AENJA_26164, AENJA_06259, AENJA_01954	CAEEL10114
OG0000091	AENJA_05198, AENJA_09904, AENJA_06299	CAEEL01090, CAEEL16358, CAEEL07359
OG0000094	AENJA_14582	CAEEL10719
OG0000094	AENJA_26553	CAEEL18425
OG0000095	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	AENJA_25727	CAEEL16555
OG0000096	AENJA_08423	CAEEL11776
OG0000096	AENJA_09240	CAEEL06051
OG0000096	AENJA_14053	CAEEL07422
OG0000098	AENJA_22563, AENJA_15215	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	AENJA_19631, AENJA_00123	CAEEL07999, CAEEL08340
OG0000099	AENJA_07638, AENJA_14869	CAEEL05000, CAEEL01295
OG0000099	AENJA_15326	CAEEL19098, CAEEL14903
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	AENJA_10812	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	AENJA_14367	CAEEL01469, CAEEL18445
OG0000104	AENJA_04107	CAEEL04070
OG0000104	AENJA_02684, AENJA_26666	CAEEL18800
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	CAEEL19130, CAEEL20701
OG0000110	AENJA_09309, AENJA_19995, AENJA_08732	CAEEL10319, CAEEL17689
OG0000111	AENJA_04205, AENJA_23685	CAEEL20845
OG0000114	AENJA_23406	CAEEL03306, CAEEL13040
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	CAEEL18136
OG0000116	AENJA_23563, AENJA_23564	CAEEL14875
OG0000117	AENJA_22084	CAEEL10762
OG0000117	AENJA_10010	CAEEL06492
OG0000117	AENJA_24559, AENJA_08111	CAEEL07433
OG0000119	AENJA_18357, AENJA_20512	CAEEL08480
OG0000120	AENJA_04133	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000120	AENJA_09034	CAEEL10840
OG0000121	AENJA_24297	CAEEL06288, CAEEL12116
OG0000122	AENJA_14198, AENJA_09459, AENJA_22788	CAEEL01544
OG0000124	AENJA_03116, AENJA_25792	CAEEL19897
OG0000124	AENJA_04496	CAEEL12548, CAEEL09889
OG0000124	AENJA_09769	CAEEL04963
OG0000124	AENJA_05859	CAEEL15384, CAEEL15382
OG0000125	AENJA_02605, AENJA_16597	CAEEL19671
OG0000126	AENJA_07507	CAEEL10194
OG0000127	AENJA_11132	CAEEL19207
OG0000127	AENJA_20308	CAEEL20452
OG0000127	AENJA_04153	CAEEL00838
OG0000128	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	AENJA_21737	CAEEL12325
OG0000129	AENJA_12119, AENJA_20942, AENJA_12123	CAEEL08188
OG0000131	AENJA_13807, AENJA_21097	CAEEL08663
OG0000131	AENJA_23277	CAEEL07634
OG0000137	AENJA_09533	CAEEL10559
OG0000137	AENJA_20614	CAEEL15802, CAEEL15801
OG0000140	AENJA_05753	CAEEL04513
OG0000142	AENJA_25989	CAEEL15831
OG0000147	AENJA_03761	CAEEL04811
OG0000147	AENJA_12275	CAEEL18488
OG0000148	AENJA_26311, AENJA_25264, AENJA_21218	CAEEL09804
OG0000149	AENJA_12114	CAEEL02847
OG0000153	AENJA_13294	CAEEL16188
OG0000154	AENJA_18738	CAEEL02932
OG0000157	AENJA_07142	CAEEL01390
OG0000158	AENJA_06739	CAEEL20117, CAEEL08684
OG0000159	AENJA_15908, AENJA_16647, AENJA_17890	CAEEL19486
OG0000159	AENJA_06073, AENJA_25487	CAEEL05281
OG0000160	AENJA_20383, AENJA_06959, AENJA_13005	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	AENJA_14266, AENJA_00250	CAEEL08313
OG0000163	AENJA_02338	CAEEL20194, CAEEL08850
OG0000164	AENJA_00513	CAEEL08421
OG0000164	AENJA_24821	CAEEL05807
OG0000167	AENJA_04545	CAEEL02846
OG0000168	AENJA_16549, AENJA_16551, AENJA_11862, AENJA_21363	CAEEL19018
OG0000169	AENJA_00158, AENJA_08952	CAEEL15798
OG0000171	AENJA_09998	CAEEL11480
OG0000172	AENJA_10826, AENJA_10825	CAEEL04412
OG0000173	AENJA_14259, AENJA_13078, AENJA_25617, AENJA_18852	CAEEL04156
OG0000174	AENJA_09684	CAEEL12711
OG0000174	AENJA_09689	CAEEL09479
OG0000175	AENJA_06264, AENJA_00936, AENJA_00556	CAEEL19241
OG0000175	AENJA_05120	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	AENJA_05305	CAEEL13640
OG0000179	AENJA_25279	CAEEL02965, CAEEL06713
OG0000179	AENJA_09174, AENJA_18216	CAEEL19466, CAEEL07193
OG0000180	AENJA_10008, AENJA_06703	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	AENJA_08843	CAEEL07684
OG0000181	AENJA_22272	CAEEL10858
OG0000181	AENJA_05116, AENJA_18867, AENJA_18892	CAEEL10772
OG0000183	AENJA_03852	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	AENJA_18616, AENJA_21091, AENJA_21093	CAEEL18435
OG0000184	AENJA_19614, AENJA_08959, AENJA_22614	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	AENJA_06437	CAEEL14200
OG0000188	AENJA_15378	CAEEL20699
OG0000191	AENJA_11494, AENJA_16824	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000193	AENJA_13914	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000195	AENJA_10227, AENJA_02703	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	AENJA_18863, AENJA_02976, AENJA_03276	CAEEL04387
OG0000197	AENJA_03262	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000201	AENJA_12926	CAEEL07587
OG0000202	AENJA_10134	CAEEL20283
OG0000203	AENJA_10014, AENJA_10780	CAEEL09812
OG0000205	AENJA_05025	CAEEL13029
OG0000205	AENJA_13815, AENJA_22602	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	AENJA_24487	CAEEL05874, CAEEL00203
OG0000210	AENJA_04024	CAEEL19469
OG0000211	AENJA_19821	CAEEL15290
OG0000211	AENJA_00791	CAEEL01111, CAEEL01112
OG0000211	AENJA_21143, AENJA_10795	CAEEL02311
OG0000218	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732	CAEEL07824, CAEEL20213
OG0000221	AENJA_18945, AENJA_16769	CAEEL10747
OG0000221	AENJA_12084	CAEEL06648
OG0000225	AENJA_04793, AENJA_18668	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	AENJA_19996, AENJA_22487, AENJA_22493	CAEEL12318
OG0000227	AENJA_15989, AENJA_15987, AENJA_15991	CAEEL19645
OG0000229	AENJA_21370, AENJA_10244, AENJA_23576, AENJA_16825, AENJA_01160, AENJA_07809, AENJA_03989, AENJA_07812, AENJA_07810, AENJA_04457, AENJA_26296, AENJA_26297, AENJA_26293	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	AENJA_06650	CAEEL14845, CAEEL19792
OG0000230	AENJA_22711, AENJA_26339, AENJA_04754	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000231	AENJA_08495	CAEEL01724
OG0000233	AENJA_15984	CAEEL19660, CAEEL15634
OG0000233	AENJA_01071	CAEEL03636, CAEEL19665, CAEEL19664
OG0000234	AENJA_02022	CAEEL02295
OG0000234	AENJA_09853	CAEEL03013, CAEEL03014
OG0000235	AENJA_03371, AENJA_15471, AENJA_15470, AENJA_02178, AENJA_08576	CAEEL10795, CAEEL07012
OG0000236	AENJA_25135	CAEEL19835
OG0000238	AENJA_24755	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	AENJA_06019	CAEEL14926
OG0000239	AENJA_09841	CAEEL00570
OG0000242	AENJA_14245	CAEEL05291
OG0000243	AENJA_26524	CAEEL13597, CAEEL13598
OG0000244	AENJA_09215, AENJA_09220, AENJA_18376, AENJA_02207	CAEEL11789, CAEEL12688
OG0000245	AENJA_03100	CAEEL20391
OG0000249	AENJA_05064, AENJA_21241, AENJA_23938, AENJA_01673, AENJA_21238, AENJA_22890, AENJA_18302, AENJA_21869, AENJA_15192, AENJA_06774, AENJA_07629, AENJA_05076, AENJA_15458, AENJA_10803, AENJA_15269, AENJA_00339, AENJA_18040, AENJA_15191, AENJA_21709, AENJA_02460, AENJA_00522, AENJA_10097, AENJA_22660, AENJA_14324, AENJA_10550, AENJA_09775, AENJA_03218, AENJA_22352, AENJA_15267, AENJA_16281, AENJA_07074, AENJA_06773, AENJA_02512, AENJA_03736, AENJA_04120, AENJA_00209, AENJA_17787, AENJA_22908, AENJA_15488, AENJA_17301, AENJA_00076, AENJA_18530, AENJA_09193, AENJA_25708, AENJA_00819, AENJA_04569, AENJA_06360, AENJA_06190, AENJA_21870, AENJA_14427	CAEEL00206
OG0000250	AENJA_21466	CAEEL11963
OG0000250	AENJA_01564	CAEEL07261
OG0000250	AENJA_18922, AENJA_05431	CAEEL04698
OG0000250	AENJA_25579	CAEEL06732
OG0000255	AENJA_05199	CAEEL05168
OG0000255	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356	CAEEL05715
OG0000256	AENJA_24528	CAEEL11937, CAEEL19468
OG0000257	AENJA_21159	CAEEL01910, CAEEL15386
OG0000258	AENJA_04201	CAEEL19537
OG0000258	AENJA_21764	CAEEL09342
OG0000258	AENJA_08669	CAEEL15770
OG0000260	AENJA_02917, AENJA_18084, AENJA_23444	CAEEL11482
OG0000265	AENJA_21392, AENJA_21393	CAEEL20581
OG0000265	AENJA_02918	CAEEL10364
OG0000268	AENJA_14602	CAEEL08931
OG0000268	AENJA_25695	CAEEL08164
OG0000268	AENJA_08487	CAEEL07325
OG0000269	AENJA_26650	CAEEL10894
OG0000271	AENJA_07943, AENJA_08114	CAEEL07236
OG0000272	AENJA_06955	CAEEL11804, CAEEL19905
OG0000273	AENJA_14902	CAEEL18644
OG0000274	AENJA_19422	CAEEL11033
OG0000275	AENJA_06085	CAEEL14783
OG0000275	AENJA_05208	CAEEL11381, CAEEL10050
OG0000277	AENJA_21144	CAEEL07730, CAEEL07729
OG0000277	AENJA_08858	CAEEL11066
OG0000278	AENJA_24084	CAEEL07740
OG0000278	AENJA_12104	CAEEL07099
OG0000282	AENJA_08490, AENJA_20347, AENJA_07959, AENJA_08159	CAEEL11864
OG0000284	AENJA_16460, AENJA_16457, AENJA_23940, AENJA_23553, AENJA_12800, AENJA_09635, AENJA_14116, AENJA_03847, AENJA_00883, AENJA_14484	CAEEL18846
OG0000285	AENJA_13941	CAEEL00191
OG0000285	AENJA_25131	CAEEL14297, CAEEL16730
OG0000287	AENJA_16451	CAEEL18837
OG0000295	AENJA_18927, AENJA_14336, AENJA_11107, AENJA_14335	CAEEL04248, CAEEL10950
OG0000296	AENJA_22255	CAEEL14675
OG0000301	AENJA_26747	CAEEL11399
OG0000301	AENJA_18604	CAEEL18767
OG0000302	AENJA_15683	CAEEL08099
OG0000305	AENJA_01524	CAEEL19499
OG0000305	AENJA_20012, AENJA_20013, AENJA_23458	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	AENJA_01416	CAEEL11448
OG0000308	AENJA_23339, AENJA_15829, AENJA_04225, AENJA_18481	CAEEL00748
OG0000311	AENJA_12716	CAEEL19230
OG0000312	AENJA_19966	CAEEL16684
OG0000312	AENJA_05337	CAEEL08464
OG0000314	AENJA_05762, AENJA_10482	CAEEL14227, CAEEL02951
OG0000315	AENJA_08118	CAEEL07609
OG0000315	AENJA_20619	CAEEL07292
OG0000317	AENJA_16154	CAEEL18155
OG0000321	AENJA_23362	CAEEL19255
OG0000322	AENJA_07618, AENJA_03568, AENJA_04218	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	AENJA_15690, AENJA_22664, AENJA_20126	CAEEL08030
OG0000325	AENJA_07184, AENJA_19461	CAEEL01448, CAEEL10554
OG0000327	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486	CAEEL18527
OG0000327	AENJA_12542	CAEEL06891
OG0000328	AENJA_09097	CAEEL02700, CAEEL20663
OG0000329	AENJA_14120, AENJA_25916	CAEEL05342
OG0000333	AENJA_06410, AENJA_00632	CAEEL20574
OG0000338	AENJA_13192	CAEEL02726
OG0000341	AENJA_00431	CAEEL02829
OG0000343	AENJA_04274	CAEEL00542
OG0000345	AENJA_23748	CAEEL13165
OG0000346	AENJA_15927	CAEEL01774
OG0000346	AENJA_22586, AENJA_15929	CAEEL04767
OG0000350	AENJA_19835	CAEEL13904
OG0000351	AENJA_04428	CAEEL07375
OG0000352	AENJA_13697	CAEEL05587
OG0000356	AENJA_05708	CAEEL10812
OG0000357	AENJA_16412	CAEEL07861
OG0000357	AENJA_04794	CAEEL10151, CAEEL05953
OG0000358	AENJA_15177, AENJA_10717	CAEEL13826
OG0000358	AENJA_12192, AENJA_25711	CAEEL19072
OG0000359	AENJA_14005	CAEEL02740, CAEEL18786, CAEEL18785
OG0000359	AENJA_09269	CAEEL04647
OG0000363	AENJA_12906, AENJA_18208	CAEEL04898, CAEEL01034, CAEEL00066
OG0000363	AENJA_26154	CAEEL12357, CAEEL16480
OG0000364	AENJA_08616, AENJA_07293, AENJA_05680	CAEEL18153, CAEEL18154
OG0000365	AENJA_22716	CAEEL03052
OG0000367	AENJA_21570, AENJA_21567, AENJA_15749	CAEEL11241
OG0000371	AENJA_04971	CAEEL18802
OG0000372	AENJA_10537	CAEEL09938
OG0000372	AENJA_22918	CAEEL06634
OG0000372	AENJA_10254	CAEEL11042
OG0000373	AENJA_18516	CAEEL15439
OG0000373	AENJA_11897	CAEEL15442, CAEEL15129, CAEEL10313, CAEEL08693, CAEEL00731, CAEEL00550, CAEEL14746, CAEEL12229, CAEEL14071, CAEEL05508, CAEEL05560, CAEEL16400, CAEEL10659
OG0000374	AENJA_10989	CAEEL04637
OG0000375	AENJA_14683	CAEEL04597
OG0000377	AENJA_02266	CAEEL00576
OG0000378	AENJA_09892	CAEEL01589
OG0000378	AENJA_03823	CAEEL18606
OG0000382	AENJA_05991	CAEEL10275
OG0000385	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992
OG0000389	AENJA_06388	CAEEL08944, CAEEL11888
OG0000391	AENJA_23476	CAEEL03981, CAEEL10348, CAEEL18760
OG0000391	AENJA_11069, AENJA_14119, AENJA_19393, AENJA_09442	CAEEL07480, CAEEL01186
OG0000392	AENJA_11266	CAEEL03273
OG0000393	AENJA_11660	CAEEL00138
OG0000399	AENJA_09258	CAEEL12746
OG0000399	AENJA_25908	CAEEL18399
OG0000399	AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668	CAEEL01136
OG0000399	AENJA_14143	CAEEL00515
OG0000401	AENJA_10211, AENJA_22375	CAEEL07254
OG0000402	AENJA_01108	CAEEL20859
OG0000402	AENJA_20115	CAEEL09914, CAEEL09915
OG0000404	AENJA_26390	CAEEL04503
OG0000404	AENJA_19991	CAEEL16075, CAEEL12808
OG0000404	AENJA_13308, AENJA_13309	CAEEL20480
OG0000405	AENJA_21234	CAEEL01740
OG0000409	AENJA_11040	CAEEL09896
OG0000409	AENJA_00845, AENJA_01104	CAEEL15456, CAEEL10905, CAEEL20533, CAEEL10710
OG0000411	AENJA_11832, AENJA_10888	CAEEL02373
OG0000412	AENJA_21404	CAEEL11655
