Orthogroup	AENJA_ok	APOSC_ok
OG0000017	AENJA_00442	APOSC_14184, APOSC_24575, APOSC_11424, APOSC_16019, APOSC_08524
OG0000017	AENJA_14928, AENJA_06318	APOSC_17481
OG0000017	AENJA_08674, AENJA_21573	APOSC_14095
OG0000017	AENJA_20264, AENJA_00879	APOSC_11982
OG0000017	AENJA_13357	APOSC_11683
OG0000017	AENJA_06463	APOSC_01963
OG0000017	AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649	APOSC_00742, APOSC_00743
OG0000017	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563	APOSC_28296
OG0000017	AENJA_10043	APOSC_15991
OG0000017	AENJA_26572, AENJA_20803	APOSC_27905
OG0000018	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081	APOSC_17923
OG0000018	AENJA_24490, AENJA_10833	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455
OG0000018	AENJA_00794, AENJA_03347	APOSC_04585, APOSC_04584
OG0000018	AENJA_20865	APOSC_18020
OG0000018	AENJA_10761, AENJA_12683	APOSC_25698
OG0000018	AENJA_07360	APOSC_08452, APOSC_21594, APOSC_14592
OG0000018	AENJA_25137	APOSC_15394
OG0000018	AENJA_18142	APOSC_12393
OG0000019	AENJA_02273	APOSC_11237
OG0000019	AENJA_11007, AENJA_11047, AENJA_17709	APOSC_11447
OG0000019	AENJA_24818	APOSC_14801, APOSC_11507
OG0000020	AENJA_21688, AENJA_05309	APOSC_14708
OG0000020	AENJA_01003, AENJA_08406	APOSC_20703
OG0000020	AENJA_15791	APOSC_13376
OG0000020	AENJA_12903	APOSC_28648
OG0000020	AENJA_16747	APOSC_26550
OG0000020	AENJA_15954	APOSC_09964
OG0000020	AENJA_16929	APOSC_00691
OG0000020	AENJA_04727	APOSC_03094
OG0000020	AENJA_11444	APOSC_05461
OG0000020	AENJA_07947	APOSC_07853
OG0000020	AENJA_14659	APOSC_14067
OG0000020	AENJA_12495	APOSC_25230
OG0000021	AENJA_21621, AENJA_21623	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253
OG0000021	AENJA_14639	APOSC_11990
OG0000021	AENJA_26606, AENJA_10786	APOSC_13612
OG0000021	AENJA_24950	APOSC_02202
OG0000021	AENJA_19175	APOSC_27384
OG0000021	AENJA_25124	APOSC_09814
OG0000021	AENJA_17125	APOSC_03399
OG0000021	AENJA_10523	APOSC_23486, APOSC_20200
OG0000021	AENJA_13306, AENJA_20227	APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	AENJA_06341	APOSC_14758
OG0000023	AENJA_11919	APOSC_23823
OG0000023	AENJA_11618, AENJA_11620, AENJA_11621	APOSC_12992
OG0000023	AENJA_22520, AENJA_19106	APOSC_08983, APOSC_08982
OG0000023	AENJA_26230	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870
OG0000023	AENJA_07520, AENJA_17438	APOSC_12268
OG0000023	AENJA_19908	APOSC_15754, APOSC_15753
OG0000023	AENJA_03895	APOSC_23115
OG0000023	AENJA_11915	APOSC_15512, APOSC_29076
OG0000024	AENJA_19836, AENJA_22674, AENJA_01541	APOSC_14174
OG0000024	AENJA_03429	APOSC_24397
OG0000024	AENJA_26384	APOSC_23909
OG0000024	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891	APOSC_28972
OG0000024	AENJA_25408	APOSC_20140
OG0000024	AENJA_14854	APOSC_15738, APOSC_15739, APOSC_26406
OG0000024	AENJA_14951	APOSC_03353
OG0000024	AENJA_04797	APOSC_05070
OG0000024	AENJA_03136, AENJA_18708	APOSC_18490, APOSC_18489, APOSC_21491
OG0000024	AENJA_02356	APOSC_21649
OG0000024	AENJA_04068	APOSC_27461, APOSC_10842
OG0000025	AENJA_11195	APOSC_07695, APOSC_28723, APOSC_05951, APOSC_03667, APOSC_14715, APOSC_08289, APOSC_16063, APOSC_22831, APOSC_28153, APOSC_04066
OG0000025	AENJA_03985	APOSC_09169
OG0000025	AENJA_21079	APOSC_02742, APOSC_11466
OG0000025	AENJA_14413	APOSC_27399
OG0000025	AENJA_09551	APOSC_26832, APOSC_25716, APOSC_04817, APOSC_15835, APOSC_10002, APOSC_03320, APOSC_08050, APOSC_11235, APOSC_13630, APOSC_13492, APOSC_02242
OG0000026	AENJA_07099, AENJA_18950	APOSC_25312
OG0000026	AENJA_21657	APOSC_13965
OG0000026	AENJA_10129	APOSC_14214
OG0000027	AENJA_05706, AENJA_05707	APOSC_23292, APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792
OG0000028	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181	APOSC_00641
OG0000028	AENJA_25112	APOSC_02251
OG0000028	AENJA_02274	APOSC_18684
OG0000028	AENJA_15999	APOSC_14441
OG0000028	AENJA_25121	APOSC_22599
OG0000028	AENJA_19954	APOSC_22919, APOSC_22920
OG0000029	AENJA_26395	APOSC_04700
OG0000029	AENJA_05610	APOSC_18084
OG0000029	AENJA_05280	APOSC_15506
OG0000030	AENJA_17283	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	AENJA_12274	APOSC_00359
OG0000030	AENJA_21030	APOSC_18052, APOSC_19478
OG0000030	AENJA_05226	APOSC_12431, APOSC_12430
OG0000031	AENJA_09856	APOSC_14687
OG0000031	AENJA_09858	APOSC_14535
OG0000031	AENJA_08759	APOSC_00328
OG0000031	AENJA_10722	APOSC_01319
OG0000031	AENJA_05740	APOSC_17680
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	APOSC_02579
OG0000031	AENJA_15028	APOSC_22997
OG0000032	AENJA_15445, AENJA_10949	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	AENJA_12718	APOSC_24218
OG0000032	AENJA_12280, AENJA_12491	APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000032	AENJA_06513	APOSC_11250, APOSC_11249, APOSC_24933
OG0000034	AENJA_21749	APOSC_28767, APOSC_28766
OG0000034	AENJA_26717	APOSC_01056
OG0000034	AENJA_02791	APOSC_00389
OG0000034	AENJA_23686	APOSC_10138
OG0000034	AENJA_13785	APOSC_10830
OG0000034	AENJA_15701	APOSC_23397
OG0000034	AENJA_24919	APOSC_00072
OG0000034	AENJA_16616	APOSC_15909
OG0000035	AENJA_01174	APOSC_27035
OG0000035	AENJA_26793	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826
OG0000035	AENJA_22033	APOSC_25872
OG0000035	AENJA_08825	APOSC_04998
OG0000035	AENJA_12732	APOSC_25573
OG0000035	AENJA_12364	APOSC_08656
OG0000035	AENJA_26037	APOSC_21135, APOSC_21136
OG0000035	AENJA_21682	APOSC_16251
OG0000035	AENJA_21683	APOSC_27270
OG0000036	AENJA_22120	APOSC_08020
OG0000036	AENJA_22191	APOSC_04631, APOSC_04630
OG0000036	AENJA_16633	APOSC_05772, APOSC_15090, APOSC_26588
OG0000036	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986	APOSC_00378
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	AENJA_21299, AENJA_21302	APOSC_22964, APOSC_22965
OG0000036	AENJA_21301	APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	AENJA_21842, AENJA_00885	APOSC_17096
OG0000037	AENJA_06908, AENJA_02989	APOSC_16399
OG0000037	AENJA_17768, AENJA_10696	APOSC_03749, APOSC_00065
OG0000037	AENJA_20944	APOSC_01516
OG0000037	AENJA_05483, AENJA_06274	APOSC_24133
OG0000037	AENJA_13632	APOSC_28740
OG0000037	AENJA_22610	APOSC_09580, APOSC_09579
OG0000038	AENJA_05691	APOSC_26556, APOSC_03113
OG0000038	AENJA_26313	APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556
OG0000038	AENJA_16130	APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945, APOSC_22530
OG0000038	AENJA_05700	APOSC_05746
OG0000038	AENJA_05696	APOSC_08888
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	APOSC_00666
OG0000039	AENJA_07945	APOSC_17065
OG0000039	AENJA_20163	APOSC_22387
OG0000039	AENJA_07277	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262
OG0000040	AENJA_11361	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	AENJA_08471	APOSC_19034
OG0000041	AENJA_24560	APOSC_26184
OG0000041	AENJA_03404, AENJA_03405	APOSC_00445, APOSC_29024
OG0000042	AENJA_20216	APOSC_17021, APOSC_22500
OG0000044	AENJA_12079	APOSC_25765
OG0000044	AENJA_26664	APOSC_27143
OG0000044	AENJA_06141	APOSC_11406
OG0000045	AENJA_25503	APOSC_16764
OG0000045	AENJA_09277	APOSC_22122, APOSC_09364, APOSC_16917
OG0000045	AENJA_04220, AENJA_24299	APOSC_22585, APOSC_21035, APOSC_21563, APOSC_17346
OG0000045	AENJA_18923, AENJA_18166, AENJA_08775	APOSC_08754
OG0000045	AENJA_20791	APOSC_22210, APOSC_25137, APOSC_21940
OG0000045	AENJA_09131	APOSC_07318
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	APOSC_27956
OG0000046	AENJA_13407, AENJA_01687, AENJA_01592, AENJA_15828	APOSC_17204, APOSC_26711
OG0000047	AENJA_18097	APOSC_04373, APOSC_04376
OG0000047	AENJA_04006, AENJA_04734	APOSC_11509
OG0000047	AENJA_17021	APOSC_01752
OG0000047	AENJA_17689	APOSC_18729
OG0000047	AENJA_14228, AENJA_15629, AENJA_01851	APOSC_28474
OG0000047	AENJA_23065	APOSC_13017
OG0000047	AENJA_19353	APOSC_04377
OG0000047	AENJA_25047	APOSC_04375
OG0000048	AENJA_11619	APOSC_06436
OG0000048	AENJA_21713	APOSC_03154
OG0000048	AENJA_09360	APOSC_05588
OG0000048	AENJA_16735	APOSC_11695
OG0000048	AENJA_25506	APOSC_03220
OG0000049	AENJA_20702	APOSC_16875
OG0000049	AENJA_25756	APOSC_03799
OG0000049	AENJA_10359	APOSC_21344
OG0000049	AENJA_24580	APOSC_16928
OG0000049	AENJA_11158	APOSC_08279, APOSC_26768, APOSC_02986, APOSC_00276
OG0000049	AENJA_02953, AENJA_07586	APOSC_12037, APOSC_12038
OG0000049	AENJA_17680	APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	APOSC_10217, APOSC_23849, APOSC_23848, APOSC_00680, APOSC_13214, APOSC_23760, APOSC_25497, APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909
OG0000050	AENJA_01528, AENJA_02355, AENJA_00087	APOSC_21186
OG0000050	AENJA_04583	APOSC_09709
OG0000050	AENJA_20003, AENJA_05632	APOSC_26396, APOSC_18309, APOSC_00165
OG0000050	AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533	APOSC_04902
OG0000050	AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097	APOSC_20128
OG0000051	AENJA_12662	APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789
OG0000051	AENJA_24250	APOSC_17477, APOSC_05458, APOSC_29038
OG0000052	AENJA_25939	APOSC_25118
OG0000053	AENJA_14744	APOSC_10479
OG0000053	AENJA_04227, AENJA_07517, AENJA_07516	APOSC_18028
OG0000053	AENJA_19076	APOSC_02303
OG0000053	AENJA_06824, AENJA_02299, AENJA_15417	APOSC_21377
OG0000053	AENJA_26082	APOSC_21378, APOSC_28641, APOSC_01208, APOSC_23789
OG0000053	AENJA_25816, AENJA_09489	APOSC_19400, APOSC_15301, APOSC_25850
OG0000054	AENJA_06676, AENJA_23371	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000054	AENJA_12232, AENJA_06677	APOSC_12589
OG0000056	AENJA_20268	APOSC_00208, APOSC_00207, APOSC_00209
OG0000056	AENJA_08324, AENJA_08326, AENJA_10099	APOSC_28851
OG0000057	AENJA_11025	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	AENJA_23345	APOSC_09888
OG0000058	AENJA_10634	APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682
OG0000059	AENJA_13132	APOSC_10184
OG0000059	AENJA_17651	APOSC_17410
OG0000059	AENJA_18423, AENJA_19757	APOSC_25638
OG0000059	AENJA_26400	APOSC_08890
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	APOSC_00480
OG0000060	AENJA_17233	APOSC_15645
OG0000060	AENJA_19748	APOSC_26756
OG0000060	AENJA_23597	APOSC_08992
OG0000061	AENJA_07301	APOSC_14996
OG0000061	AENJA_07183	APOSC_00292
OG0000061	AENJA_26614, AENJA_08766	APOSC_02472
OG0000061	AENJA_06999	APOSC_22657, APOSC_15254
OG0000061	AENJA_07304	APOSC_00372
OG0000062	AENJA_11363	APOSC_20110, APOSC_00579, APOSC_00578, APOSC_25920
OG0000062	AENJA_21914	APOSC_02209
OG0000062	AENJA_09642	APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	APOSC_18486, APOSC_01084
OG0000062	AENJA_03699	APOSC_00580
OG0000063	AENJA_20321	APOSC_25041
OG0000063	AENJA_03789	APOSC_17949
OG0000063	AENJA_04323	APOSC_04214, APOSC_22074, APOSC_13172, APOSC_22080, APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623
OG0000063	AENJA_26394	APOSC_13886, APOSC_04832
OG0000064	AENJA_16750	APOSC_20441, APOSC_24674
OG0000064	AENJA_15514	APOSC_02280, APOSC_23584
OG0000064	AENJA_22603	APOSC_05495
OG0000065	AENJA_08288	APOSC_12531, APOSC_10714, APOSC_21764, APOSC_21765, APOSC_14736, APOSC_03698, APOSC_03697, APOSC_01129, APOSC_00150, APOSC_01985, APOSC_25088, APOSC_15108, APOSC_28621, APOSC_19931, APOSC_19932, APOSC_12157, APOSC_09424
OG0000065	AENJA_15523	APOSC_03762, APOSC_19098
OG0000066	AENJA_19946	APOSC_14672, APOSC_14673
OG0000066	AENJA_12655, AENJA_09505	APOSC_20821
OG0000066	AENJA_20318	APOSC_10537
OG0000066	AENJA_04513	APOSC_00077
OG0000066	AENJA_22621	APOSC_19084
OG0000067	AENJA_21171	APOSC_04289, APOSC_00615, APOSC_00616
OG0000067	AENJA_21686	APOSC_06312
OG0000067	AENJA_02413	APOSC_22826
OG0000067	AENJA_04270	APOSC_06846
OG0000068	AENJA_08649	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082
OG0000068	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	APOSC_02568
OG0000068	AENJA_20175, AENJA_10908, AENJA_08647	APOSC_02111, APOSC_25732, APOSC_09494
OG0000069	AENJA_15982	APOSC_25357, APOSC_25356
OG0000070	AENJA_17946, AENJA_17947	APOSC_23675
OG0000070	AENJA_09128	APOSC_18875
OG0000070	AENJA_05824	APOSC_15113, APOSC_18604, APOSC_18402
OG0000070	AENJA_17346	APOSC_17719
OG0000070	AENJA_12868	APOSC_06564
OG0000070	AENJA_23218	APOSC_13706
OG0000070	AENJA_23720, AENJA_23723	APOSC_09948
OG0000071	AENJA_19944	APOSC_15139
OG0000071	AENJA_11228, AENJA_11157	APOSC_13628
OG0000071	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682	APOSC_00250
OG0000072	AENJA_14652	APOSC_14045
OG0000072	AENJA_13128	APOSC_26208
OG0000072	AENJA_02450	APOSC_12820
OG0000072	AENJA_05444	APOSC_12732, APOSC_13636, APOSC_07172
OG0000072	AENJA_24050, AENJA_00746	APOSC_22786, APOSC_22112
OG0000073	AENJA_08518, AENJA_08515	APOSC_07375
OG0000073	AENJA_03975, AENJA_15428	APOSC_01871, APOSC_01872, APOSC_01870, APOSC_11296, APOSC_05382, APOSC_28014, APOSC_10969, APOSC_08177, APOSC_13622, APOSC_23229, APOSC_06244, APOSC_06245, APOSC_15423, APOSC_02893, APOSC_02894, APOSC_25469, APOSC_25468
OG0000074	AENJA_05555	APOSC_10399
OG0000074	AENJA_12312	APOSC_08687
OG0000074	AENJA_06058	APOSC_25382
OG0000074	AENJA_24714	APOSC_18220
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347
OG0000074	AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	APOSC_13504
OG0000075	AENJA_23745	APOSC_14489
OG0000075	AENJA_05831	APOSC_12033
OG0000075	AENJA_21406	APOSC_06620
OG0000075	AENJA_12918	APOSC_08706
OG0000075	AENJA_12839	APOSC_19754
OG0000076	AENJA_00663, AENJA_09864, AENJA_18581, AENJA_25057	APOSC_27192, APOSC_24774, APOSC_00610
