Orthogroup	AENJA_ok	HUMAN
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	AENJA_11513	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	AENJA_26671, AENJA_26677	HUMAN07767
OG0000016	AENJA_02781	HUMAN25103
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	HUMAN06120, HUMAN04223
OG0000019	AENJA_24818, AENJA_20016	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	HUMAN22980
OG0000020	AENJA_21688, AENJA_05309	HUMAN12659
OG0000020	AENJA_01003, AENJA_08406	HUMAN17841
OG0000020	AENJA_02593, AENJA_02596	HUMAN26061
OG0000020	AENJA_15791	HUMAN08344
OG0000020	AENJA_12903	HUMAN00926
OG0000020	AENJA_09502	HUMAN02350, HUMAN02349
OG0000020	AENJA_18052	HUMAN17840
OG0000020	AENJA_23718, AENJA_02408	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	AENJA_16929	HUMAN02145
OG0000020	AENJA_04727	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	AENJA_10912	HUMAN00010
OG0000020	AENJA_11444	HUMAN23847
OG0000020	AENJA_14659	HUMAN22639
OG0000020	AENJA_12495	HUMAN20816
OG0000021	AENJA_14639	HUMAN20500
OG0000021	AENJA_16593	HUMAN11054, HUMAN23166
OG0000021	AENJA_24950	HUMAN12331
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	HUMAN04273, HUMAN30251
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	AENJA_06341	HUMAN03767
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	AENJA_19909	HUMAN06585, HUMAN06584
OG0000023	AENJA_03895	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	AENJA_07099, AENJA_18950	HUMAN16545
OG0000026	AENJA_21657	HUMAN07669, HUMAN21745
OG0000026	AENJA_10129, AENJA_23516	HUMAN26724, HUMAN26725
OG0000028	AENJA_04861, AENJA_01184	HUMAN09209
OG0000029	AENJA_10650	HUMAN15611
OG0000030	AENJA_17283	HUMAN01740, HUMAN28679
OG0000031	AENJA_09856	HUMAN17850
OG0000031	AENJA_09858	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	AENJA_20966	HUMAN26043
OG0000031	AENJA_08759	HUMAN09203
OG0000031	AENJA_10722	HUMAN26979, HUMAN14235
OG0000031	AENJA_02955	HUMAN21432
OG0000031	AENJA_05740	HUMAN07725
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	HUMAN14922, HUMAN14786
OG0000031	AENJA_15028	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	AENJA_06514	HUMAN27902
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	HUMAN19258
OG0000032	AENJA_12283	HUMAN23633, HUMAN23632
OG0000034	AENJA_02790	HUMAN07187
OG0000034	AENJA_21749	HUMAN11672, HUMAN11673
OG0000034	AENJA_26717	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	AENJA_02791	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	AENJA_23686	HUMAN01831, HUMAN13891
OG0000034	AENJA_13785	HUMAN04678
OG0000034	AENJA_15701	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	AENJA_16616	HUMAN04988
OG0000035	AENJA_01174	HUMAN06576
OG0000035	AENJA_22033	HUMAN09866
OG0000035	AENJA_08825	HUMAN06191, HUMAN03898
OG0000035	AENJA_12732	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	AENJA_12364, AENJA_26037	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	AENJA_21683	HUMAN04383
OG0000035	AENJA_02191	HUMAN06190
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	AENJA_26206, AENJA_19267, AENJA_16633	HUMAN11289
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	HUMAN22872
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	HUMAN27983, HUMAN15223
OG0000037	AENJA_20944	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	AENJA_05483, AENJA_06274	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	AENJA_13632	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	HUMAN03689
OG0000038	AENJA_05691	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	AENJA_26313	HUMAN18259, HUMAN18258
OG0000038	AENJA_16130	HUMAN19701
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	HUMAN29023
OG0000039	AENJA_07945	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	AENJA_07277	HUMAN13199
OG0000040	AENJA_07541, AENJA_11361	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	AENJA_24560	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	AENJA_03404, AENJA_03405	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000044	AENJA_12079	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	AENJA_24602	HUMAN03043
OG0000044	AENJA_25117	HUMAN24293
OG0000045	AENJA_09277	HUMAN02932
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	HUMAN23116
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	HUMAN29094
OG0000047	AENJA_09237	HUMAN22761
OG0000048	AENJA_09360	HUMAN16328
OG0000048	AENJA_16735, AENJA_16736	HUMAN16644
OG0000048	AENJA_25506	HUMAN11449
OG0000049	AENJA_20702	HUMAN25699, HUMAN05316
OG0000049	AENJA_25756	HUMAN20965, HUMAN26499
OG0000049	AENJA_26413	HUMAN05318
OG0000051	AENJA_24250	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	AENJA_06676, AENJA_23371	HUMAN23119
OG0000056	AENJA_20268	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	AENJA_05228	HUMAN07396, HUMAN07395
OG0000056	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114	HUMAN14865
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	HUMAN23569, HUMAN10014
OG0000057	AENJA_11025	HUMAN29650
OG0000058	AENJA_23345	HUMAN17378, HUMAN03592
OG0000058	AENJA_12354	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000059	AENJA_13132	HUMAN21611
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	AENJA_17233	HUMAN25284
OG0000060	AENJA_00816	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597
OG0000060	AENJA_23597	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	AENJA_07301	HUMAN17964, HUMAN26554
OG0000061	AENJA_07183	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	AENJA_26614, AENJA_08766	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	HUMAN25285
OG0000063	AENJA_20321	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	AENJA_03789	HUMAN21099
OG0000063	AENJA_04323	HUMAN00859, HUMAN28501
OG0000063	AENJA_26394	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	AENJA_12655, AENJA_09505	HUMAN29798
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	HUMAN24070, HUMAN22809
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	HUMAN14161
OG0000072	AENJA_13128	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	AENJA_02450	HUMAN22852
OG0000072	AENJA_25944, AENJA_05445	HUMAN03255, HUMAN03252
OG0000073	AENJA_08518, AENJA_08515	HUMAN24982
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	AENJA_24714	HUMAN09283
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	HUMAN15238, HUMAN13822
OG0000075	AENJA_23745	HUMAN12839, HUMAN02593
OG0000075	AENJA_05831	HUMAN00444
OG0000075	AENJA_18277	HUMAN00445
OG0000075	AENJA_12917	HUMAN21048
OG0000075	AENJA_21406	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	AENJA_12918	HUMAN05783, HUMAN21047
OG0000075	AENJA_12839	HUMAN26884
OG0000077	AENJA_13107	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	AENJA_07475	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	AENJA_04661	HUMAN03419
OG0000078	AENJA_06551	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	AENJA_16186	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	AENJA_02482	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	AENJA_17442	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	AENJA_11789	HUMAN13037
OG0000079	AENJA_10507	HUMAN14208
OG0000079	AENJA_05095	HUMAN14194, HUMAN14192
OG0000081	AENJA_04625, AENJA_04630, AENJA_04629	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000081	AENJA_23269	HUMAN27509
OG0000082	AENJA_25747	HUMAN23869
OG0000082	AENJA_11460	HUMAN23871
OG0000083	AENJA_21795	HUMAN07535, HUMAN22993
OG0000084	AENJA_24814	HUMAN03696, HUMAN22975
OG0000084	AENJA_24184	HUMAN05352
OG0000085	AENJA_05556	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	AENJA_06487	HUMAN13119, HUMAN07215
OG0000085	AENJA_24493	HUMAN26172
OG0000085	AENJA_20539	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	AENJA_08917	HUMAN25832
OG0000087	AENJA_23251	HUMAN11956
OG0000087	AENJA_19109	HUMAN02557
OG0000087	AENJA_08976	HUMAN17213
OG0000087	AENJA_19775	HUMAN21001
OG0000087	AENJA_03163	HUMAN18010
OG0000087	AENJA_19935	HUMAN21063
OG0000087	AENJA_04374, AENJA_10299	HUMAN10659
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496	HUMAN21235
OG0000089	AENJA_01807	HUMAN25675
OG0000090	AENJA_10145	HUMAN24709
OG0000090	AENJA_01954	HUMAN28948
OG0000094	AENJA_14582	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	AENJA_26553	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	AENJA_25727	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	AENJA_21947	HUMAN13889, HUMAN01832
OG0000096	AENJA_09240	HUMAN04201
OG0000096	AENJA_14053	HUMAN21561
OG0000097	AENJA_19407, AENJA_02407	HUMAN01224, HUMAN01225, HUMAN01226
OG0000098	AENJA_10136, AENJA_10137	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	AENJA_22563, AENJA_15215	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	AENJA_19631	HUMAN05424
OG0000099	AENJA_07638, AENJA_14869	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	AENJA_26592	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	AENJA_06142	HUMAN22036, HUMAN22037
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164	HUMAN08946, HUMAN02473
OG0000102	AENJA_06075	HUMAN29446, HUMAN29103
OG0000103	AENJA_10812	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	AENJA_14367	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	AENJA_04107	HUMAN05724, HUMAN19523
OG0000104	AENJA_02684	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	AENJA_26666	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000106	AENJA_21591	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	AENJA_13743	HUMAN27844
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	HUMAN01589, HUMAN09602
OG0000108	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894	HUMAN21927, HUMAN07479, HUMAN07482, HUMAN05619, HUMAN00450
OG0000113	AENJA_09826	HUMAN26991
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000116	AENJA_23563, AENJA_23564	HUMAN18678
OG0000117	AENJA_02548	HUMAN04356, HUMAN04357
OG0000119	AENJA_18357, AENJA_20512	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	AENJA_08115, AENJA_08491	HUMAN17940, HUMAN20669
OG0000121	AENJA_09065	HUMAN23092, HUMAN03659
OG0000121	AENJA_24297	HUMAN14877
OG0000121	AENJA_07109, AENJA_25145	HUMAN18067
OG0000122	AENJA_09263	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	AENJA_14198	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000123	AENJA_11261	HUMAN22221, HUMAN24254
OG0000123	AENJA_22182	HUMAN03664, HUMAN27696, HUMAN24043
OG0000123	AENJA_08161	HUMAN24040, HUMAN24041
OG0000123	AENJA_11939, AENJA_11934, AENJA_04063	HUMAN24256
OG0000124	AENJA_03116, AENJA_25792	HUMAN03991
OG0000124	AENJA_04495	HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	AENJA_09769, AENJA_03187	HUMAN00442, HUMAN00443
OG0000124	AENJA_26736	HUMAN08498, HUMAN16926
OG0000124	AENJA_05859	HUMAN09305, HUMAN02618
OG0000125	AENJA_09264	HUMAN12557, HUMAN20597
OG0000125	AENJA_18946	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480
OG0000125	AENJA_04836	HUMAN20598, HUMAN20599, HUMAN12556
OG0000125	AENJA_07272	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	AENJA_24273	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	AENJA_07507	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	AENJA_11132	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	AENJA_20308	HUMAN21549, HUMAN07766
OG0000127	AENJA_04153	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	AENJA_17569	HUMAN27422, HUMAN19318
OG0000127	AENJA_00497	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	AENJA_22594, AENJA_22595	HUMAN04854, HUMAN04855
OG0000128	AENJA_07850, AENJA_17413, AENJA_26743	HUMAN04482, HUMAN05330, HUMAN05329
OG0000128	AENJA_21735	HUMAN21997
OG0000129	AENJA_11469	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	AENJA_21737	HUMAN05233, HUMAN30228
OG0000129	AENJA_12119, AENJA_20942, AENJA_12123	HUMAN18494, HUMAN18495
OG0000131	AENJA_13807, AENJA_21097	HUMAN19899
OG0000131	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441	HUMAN18503, HUMAN18504
OG0000133	AENJA_22212	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244
OG0000137	AENJA_26083	HUMAN28180, HUMAN25590, HUMAN25594
OG0000137	AENJA_25528, AENJA_11173	HUMAN13481
OG0000137	AENJA_09533	HUMAN25150, HUMAN25149
OG0000139	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830	HUMAN26414
OG0000140	AENJA_01263	HUMAN27223
OG0000140	AENJA_05753	HUMAN03909, HUMAN06860, HUMAN05842, HUMAN03908
OG0000141	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407	HUMAN27964, HUMAN30567
OG0000145	AENJA_05166	HUMAN15368
OG0000145	AENJA_06072	HUMAN15367
OG0000147	AENJA_03761	HUMAN18499, HUMAN00218
OG0000147	AENJA_12275	HUMAN24559, HUMAN27635
OG0000147	AENJA_03922	HUMAN02299
OG0000147	AENJA_10787	HUMAN18714, HUMAN18712
OG0000148	AENJA_21220	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000149	AENJA_12114	HUMAN23614, HUMAN23616, HUMAN23619
OG0000149	AENJA_12111, AENJA_03471, AENJA_12512	HUMAN10034, HUMAN23690
OG0000149	AENJA_18447	HUMAN22790
OG0000151	AENJA_13408	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320
OG0000151	AENJA_03698	HUMAN29073, HUMAN01218, HUMAN01219
OG0000153	AENJA_14215	HUMAN26709, HUMAN15537
OG0000154	AENJA_18738	HUMAN19436
OG0000155	AENJA_20550	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000157	AENJA_07142	HUMAN11058, HUMAN11059
OG0000158	AENJA_06739	HUMAN19321, HUMAN25759, HUMAN27804
OG0000159	AENJA_16647, AENJA_17890	HUMAN27903
OG0000159	AENJA_06073	HUMAN29307
OG0000159	AENJA_25487	HUMAN04389, HUMAN23217, HUMAN11668
OG0000160	AENJA_06959	HUMAN18884, HUMAN18883
OG0000160	AENJA_13005	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000162	AENJA_09371	HUMAN17808, HUMAN17813, HUMAN17807
OG0000163	AENJA_14266	HUMAN20181, HUMAN13484
OG0000163	AENJA_00250	HUMAN13482, HUMAN13483
OG0000163	AENJA_14265	HUMAN13485, HUMAN13486, HUMAN20190
OG0000163	AENJA_02338	HUMAN12888, HUMAN06524, HUMAN26092
