Orthogroup	AENJA_ok	APOSJ_ok
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695
OG0000005	AENJA_24820	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100
OG0000005	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345	APOSJ_12734
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	APOSJ_43564, APOSJ_43561
OG0000006	AENJA_22158	APOSJ_14510
OG0000006	AENJA_13126	APOSJ_43757
OG0000006	AENJA_20911	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	AENJA_07226	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	AENJA_09814	APOSJ_52128
OG0000006	AENJA_09813	APOSJ_22887
OG0000006	AENJA_00662	APOSJ_25002
OG0000006	AENJA_07549	APOSJ_24425, APOSJ_24424
OG0000006	AENJA_18450	APOSJ_38154
OG0000006	AENJA_09210	APOSJ_46492
OG0000007	AENJA_18325	APOSJ_59584
OG0000007	AENJA_18163	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	AENJA_00810	APOSJ_59909
OG0000007	AENJA_25020	APOSJ_46494
OG0000007	AENJA_23908	APOSJ_04151
OG0000007	AENJA_18326	APOSJ_32909
OG0000007	AENJA_18328	APOSJ_33751
OG0000007	AENJA_09687	APOSJ_45510, APOSJ_50337
OG0000007	AENJA_07358	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	AENJA_11277	APOSJ_06582, APOSJ_20594
OG0000007	AENJA_22886	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	AENJA_20902	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121
OG0000007	AENJA_16981	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	AENJA_26507	APOSJ_55940, APOSJ_55941
OG0000008	AENJA_21419	APOSJ_59607, APOSJ_43234
OG0000008	AENJA_21542	APOSJ_21452, APOSJ_49644, APOSJ_36622, APOSJ_36616, APOSJ_42527, APOSJ_42528
OG0000008	AENJA_24404, AENJA_14450	APOSJ_61175
OG0000008	AENJA_21421, AENJA_04271	APOSJ_06622, APOSJ_23604
OG0000008	AENJA_00959	APOSJ_50496
OG0000009	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892	APOSJ_54833
OG0000009	AENJA_01292, AENJA_04656, AENJA_14742	APOSJ_06477
OG0000009	AENJA_25388	APOSJ_35477, APOSJ_51988
OG0000009	AENJA_03345	APOSJ_29156
OG0000009	AENJA_13762	APOSJ_63159
OG0000009	AENJA_13658, AENJA_07747	APOSJ_30497
OG0000009	AENJA_00113, AENJA_11818	APOSJ_61304, APOSJ_61303
OG0000009	AENJA_13717, AENJA_06400	APOSJ_29154, APOSJ_51316, APOSJ_52243, APOSJ_47374, APOSJ_18606
OG0000009	AENJA_25347	APOSJ_39287, APOSJ_35475, APOSJ_39288, APOSJ_15578, APOSJ_23189, APOSJ_35473, APOSJ_29155
OG0000009	AENJA_03229, AENJA_08449, AENJA_02891, AENJA_01343	APOSJ_56664
OG0000009	AENJA_09256	APOSJ_18180, APOSJ_18179
OG0000009	AENJA_12983	APOSJ_60169
OG0000009	AENJA_26815, AENJA_17953	APOSJ_58002
OG0000009	AENJA_22062	APOSJ_59244, APOSJ_59242, APOSJ_53515, APOSJ_34367, APOSJ_61174, APOSJ_31715, APOSJ_13125, APOSJ_50535, APOSJ_31719, APOSJ_17359, APOSJ_50547, APOSJ_60011, APOSJ_17353, APOSJ_13127, APOSJ_13126, APOSJ_48325, APOSJ_48328, APOSJ_59469, APOSJ_48329, APOSJ_58890, APOSJ_48326, APOSJ_49841, APOSJ_49842, APOSJ_49840, APOSJ_49839, APOSJ_49838, APOSJ_42589, APOSJ_39562
OG0000009	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938	APOSJ_24430
OG0000009	AENJA_12021, AENJA_05571	APOSJ_08607, APOSJ_33774, APOSJ_21638
OG0000009	AENJA_23978, AENJA_05392, AENJA_05099	APOSJ_59241, APOSJ_38923
OG0000009	AENJA_00189	APOSJ_07511, APOSJ_07512, APOSJ_44793, APOSJ_07510
OG0000009	AENJA_22152	APOSJ_42413, APOSJ_58003, APOSJ_57999
OG0000010	AENJA_15586, AENJA_16004, AENJA_09141	APOSJ_03628
OG0000010	AENJA_00347	APOSJ_38780, APOSJ_21761
OG0000011	AENJA_16502	APOSJ_29863
OG0000011	AENJA_19273, AENJA_01290	APOSJ_42157, APOSJ_42159, APOSJ_64504
OG0000011	AENJA_08483, AENJA_20159, AENJA_01152	APOSJ_18989
OG0000011	AENJA_03543, AENJA_24193	APOSJ_09282
OG0000011	AENJA_06710	APOSJ_37350
OG0000011	AENJA_18099	APOSJ_06721
OG0000011	AENJA_11078, AENJA_01925, AENJA_24659, AENJA_13168	APOSJ_60676
OG0000011	AENJA_02877, AENJA_17352	APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526
OG0000011	AENJA_20291, AENJA_06516, AENJA_22650	APOSJ_01874, APOSJ_41471
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	APOSJ_25283, APOSJ_25285
OG0000011	AENJA_21439	APOSJ_31966, APOSJ_35318
OG0000011	AENJA_21547	APOSJ_21982
OG0000011	AENJA_23170	APOSJ_27428
OG0000011	AENJA_23691	APOSJ_62277
OG0000011	AENJA_24664	APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591
OG0000011	AENJA_01682	APOSJ_58988, APOSJ_31311
OG0000011	AENJA_22850	APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509
OG0000011	AENJA_21026	APOSJ_60286
OG0000011	AENJA_24133, AENJA_12015	APOSJ_57608
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902
OG0000012	AENJA_02014	APOSJ_08161, APOSJ_08160
OG0000012	AENJA_22984, AENJA_22983	APOSJ_56324, APOSJ_56325, APOSJ_58381, APOSJ_56327, APOSJ_43063, APOSJ_43069, APOSJ_43070, APOSJ_43068, APOSJ_43067, APOSJ_43066, APOSJ_43065, APOSJ_43064, APOSJ_43930, APOSJ_28193, APOSJ_20947, APOSJ_09530, APOSJ_26007
OG0000012	AENJA_06607	APOSJ_34506, APOSJ_34505, APOSJ_18764, APOSJ_41502, APOSJ_41501, APOSJ_62490, APOSJ_23315, APOSJ_02166, APOSJ_26429, APOSJ_57968, APOSJ_60006, APOSJ_60001
OG0000012	AENJA_02869	APOSJ_20422
OG0000013	AENJA_11516	APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982
OG0000014	AENJA_09518, AENJA_09012	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105
OG0000014	AENJA_25536	APOSJ_28331, APOSJ_28332
OG0000015	AENJA_19634	APOSJ_56210
OG0000015	AENJA_25011	APOSJ_62317, APOSJ_51506, APOSJ_06725
OG0000015	AENJA_19636	APOSJ_09441, APOSJ_10165
OG0000015	AENJA_18653	APOSJ_50846, APOSJ_50844
OG0000016	AENJA_04814, AENJA_14549	APOSJ_25810, APOSJ_25809
OG0000016	AENJA_07664	APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	AENJA_11513	APOSJ_40020
OG0000016	AENJA_26671, AENJA_26677	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	AENJA_21813, AENJA_16651	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000016	AENJA_02781	APOSJ_31207
OG0000017	AENJA_08416, AENJA_23360	APOSJ_28721, APOSJ_28719
OG0000017	AENJA_05284, AENJA_20820, AENJA_23397	APOSJ_52652, APOSJ_52651
OG0000017	AENJA_00442	APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055
OG0000017	AENJA_22962	APOSJ_26995
OG0000017	AENJA_14928, AENJA_06318	APOSJ_52034, APOSJ_55397
OG0000017	AENJA_25220, AENJA_22019, AENJA_14578, AENJA_25217	APOSJ_23379
OG0000017	AENJA_13357	APOSJ_28720
OG0000017	AENJA_11406	APOSJ_26588
OG0000017	AENJA_04888, AENJA_03290	APOSJ_61685
OG0000017	AENJA_17676	APOSJ_22123
OG0000017	AENJA_13476, AENJA_24074	APOSJ_22488
OG0000017	AENJA_10043	APOSJ_52476, APOSJ_39857, APOSJ_39853, APOSJ_39852
OG0000017	AENJA_26572, AENJA_20803	APOSJ_06985
OG0000018	AENJA_24490, AENJA_10833	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743, APOSJ_53955
OG0000018	AENJA_00794, AENJA_03347	APOSJ_52496, APOSJ_17991, APOSJ_41809, APOSJ_54134, APOSJ_00380, APOSJ_47794
OG0000018	AENJA_20865	APOSJ_55745, APOSJ_55748, APOSJ_55746
OG0000018	AENJA_07360	APOSJ_27177
OG0000018	AENJA_25137	APOSJ_04276, APOSJ_51121, APOSJ_05958
OG0000018	AENJA_01235	APOSJ_64894
OG0000018	AENJA_19981	APOSJ_63505, APOSJ_19513, APOSJ_19515
OG0000019	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277	APOSJ_25021
OG0000019	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272	APOSJ_63124
OG0000019	AENJA_02273	APOSJ_50969
OG0000019	AENJA_24818	APOSJ_49365
OG0000020	AENJA_06180, AENJA_02090	APOSJ_38031
OG0000020	AENJA_21688, AENJA_05309	APOSJ_03215
OG0000020	AENJA_15791	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	AENJA_12903	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	AENJA_16747	APOSJ_17336, APOSJ_17335
OG0000020	AENJA_15954	APOSJ_45822, APOSJ_45820, APOSJ_45821
OG0000020	AENJA_16929	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	AENJA_04727	APOSJ_51246, APOSJ_35639
OG0000020	AENJA_10912	APOSJ_08125, APOSJ_51104
OG0000020	AENJA_11444	APOSJ_16758
OG0000020	AENJA_07947	APOSJ_38030, APOSJ_38032
OG0000020	AENJA_14659	APOSJ_64610, APOSJ_31490
OG0000020	AENJA_12495	APOSJ_45120
OG0000021	AENJA_21621, AENJA_21623	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218
OG0000021	AENJA_14639	APOSJ_47375, APOSJ_47376
OG0000021	AENJA_26606, AENJA_10786	APOSJ_50915
OG0000021	AENJA_19175	APOSJ_56015, APOSJ_08859
OG0000021	AENJA_25124	APOSJ_16640, APOSJ_16638
OG0000021	AENJA_15672	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747
OG0000021	AENJA_17125	APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284
OG0000021	AENJA_10523	APOSJ_00001
OG0000021	AENJA_13306, AENJA_20227	APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	AENJA_06341	APOSJ_12541
OG0000023	AENJA_11919	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253
OG0000023	AENJA_11618, AENJA_11620, AENJA_11621	APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674
OG0000023	AENJA_22520, AENJA_19106	APOSJ_01239
OG0000023	AENJA_11914	APOSJ_20171
OG0000023	AENJA_26230	APOSJ_01093, APOSJ_01092, APOSJ_01091
OG0000023	AENJA_07520, AENJA_17438	APOSJ_42179
OG0000023	AENJA_19908	APOSJ_00272
OG0000023	AENJA_11915	APOSJ_53525
OG0000024	AENJA_16978	APOSJ_41943
OG0000024	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891	APOSJ_55810, APOSJ_12803
OG0000024	AENJA_04797	APOSJ_36507, APOSJ_20210
OG0000024	AENJA_03136, AENJA_18708	APOSJ_61037, APOSJ_54994
OG0000024	AENJA_18080, AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712	APOSJ_60754
OG0000025	AENJA_11195	APOSJ_37445, APOSJ_37447, APOSJ_37448, APOSJ_50888, APOSJ_50889, APOSJ_22933, APOSJ_37444, APOSJ_56575, APOSJ_07839, APOSJ_37446
OG0000025	AENJA_21079	APOSJ_36900, APOSJ_46981, APOSJ_46982
OG0000025	AENJA_09551	APOSJ_29806, APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348
OG0000026	AENJA_07099, AENJA_18950	APOSJ_39679, APOSJ_39682
OG0000026	AENJA_21657	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000026	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651	APOSJ_58273, APOSJ_64303
OG0000026	AENJA_10129	APOSJ_00259, APOSJ_43475
OG0000027	AENJA_24558, AENJA_14831, AENJA_19912	APOSJ_23299, APOSJ_23300
OG0000027	AENJA_05706, AENJA_05707	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014
OG0000028	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181	APOSJ_39269
OG0000028	AENJA_25112	APOSJ_44005
OG0000028	AENJA_02274	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	AENJA_15999	APOSJ_13110
OG0000028	AENJA_25121	APOSJ_00353
OG0000028	AENJA_19954	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817
OG0000029	AENJA_26395	APOSJ_13377
OG0000029	AENJA_05610	APOSJ_45558
OG0000030	AENJA_17283	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	AENJA_07079	APOSJ_26580
OG0000030	AENJA_12274	APOSJ_46611, APOSJ_46610
OG0000030	AENJA_21030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298
OG0000030	AENJA_05226	APOSJ_30575
OG0000031	AENJA_09856	APOSJ_56428
OG0000031	AENJA_09858	APOSJ_58452
OG0000031	AENJA_08759	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	AENJA_10722	APOSJ_07842, APOSJ_07841
OG0000031	AENJA_05740	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	APOSJ_01762
OG0000031	AENJA_15028	APOSJ_03114, APOSJ_03115
OG0000032	AENJA_15445, AENJA_10949	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	AENJA_12718	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491
OG0000032	AENJA_12280, AENJA_12491	APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000032	AENJA_06513	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184
OG0000034	AENJA_21749	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000034	AENJA_26717	APOSJ_17818, APOSJ_17819
OG0000034	AENJA_02791	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	AENJA_23686	APOSJ_60565, APOSJ_21305
OG0000034	AENJA_13785	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	AENJA_15701	APOSJ_63084, APOSJ_59127
OG0000034	AENJA_24919	APOSJ_09729
OG0000034	AENJA_16616	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	AENJA_01174	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	AENJA_26793	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491
OG0000035	AENJA_22033	APOSJ_13857
OG0000035	AENJA_08825	APOSJ_11969, APOSJ_09937
OG0000035	AENJA_12364	APOSJ_53790
OG0000035	AENJA_26037	APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	AENJA_21682	APOSJ_12145, APOSJ_12146
OG0000035	AENJA_21683	APOSJ_14503
OG0000036	AENJA_22120	APOSJ_00559, APOSJ_00560
OG0000036	AENJA_22191	APOSJ_09590, APOSJ_59128, APOSJ_28626
OG0000036	AENJA_16633	APOSJ_40313, APOSJ_57892, APOSJ_57894
OG0000036	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986	APOSJ_44483, APOSJ_44484
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	AENJA_21299, AENJA_21302	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780
OG0000036	AENJA_21301	APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	AENJA_21842, AENJA_00885	APOSJ_15752
OG0000037	AENJA_06908, AENJA_02989	APOSJ_50446
OG0000037	AENJA_17768, AENJA_10696	APOSJ_19669, APOSJ_19640
OG0000037	AENJA_20944	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	AENJA_05483, AENJA_06274	APOSJ_40888, APOSJ_40889
OG0000037	AENJA_13632	APOSJ_41930, APOSJ_41929
OG0000037	AENJA_22610	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	AENJA_05691	APOSJ_44498, APOSJ_44500
OG0000038	AENJA_26313	APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733
OG0000038	AENJA_09724	APOSJ_44502
OG0000038	AENJA_16130	APOSJ_26569, APOSJ_44501, APOSJ_44499, APOSJ_44497
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	APOSJ_23948
OG0000039	AENJA_26803, AENJA_05351	APOSJ_63713
OG0000039	AENJA_07277	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535
OG0000040	AENJA_11361	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	AENJA_24560	APOSJ_07883
OG0000041	AENJA_03404, AENJA_03405	APOSJ_00247
OG0000042	AENJA_20216	APOSJ_60830, APOSJ_16283, APOSJ_27361
