Orthogroup	AENJA_ok	DROME
OG0000019	AENJA_12747	DROME02971
OG0000019	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	AENJA_21688, AENJA_05309	DROME22108
OG0000020	AENJA_15791, AENJA_12903	DROME02490
OG0000020	AENJA_16929	DROME11466, DROME11467
OG0000020	AENJA_04727	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	AENJA_10912	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	AENJA_11444	DROME03151, DROME03150
OG0000020	AENJA_12495	DROME14454, DROME14455
OG0000021	AENJA_14639	DROME18320, DROME18321
OG0000021	AENJA_24950	DROME08269
OG0000021	AENJA_19175	DROME00802, DROME00801
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	DROME08091
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	DROME04919, DROME04917, DROME04918
OG0000023	AENJA_26230	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000028	AENJA_04861	DROME09421
OG0000028	AENJA_02274	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000030	AENJA_17283	DROME15149
OG0000030	AENJA_21030	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	AENJA_03309, AENJA_05226	DROME12173, DROME12176
OG0000031	AENJA_09856	DROME19945
OG0000031	AENJA_09858	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	AENJA_05740	DROME09230
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	DROME05246
OG0000032	AENJA_15565	DROME02388
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	DROME02386
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	DROME01213
OG0000034	AENJA_21749	DROME20092, DROME20090, DROME20091
OG0000034	AENJA_02791	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	AENJA_23686	DROME13496
OG0000034	AENJA_13785	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	AENJA_24919	DROME03104, DROME03105
OG0000034	AENJA_16616	DROME20524
OG0000035	AENJA_01174	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	AENJA_12732	DROME19358, DROME19359
OG0000035	AENJA_12364, AENJA_26037	DROME17164, DROME17163
OG0000035	AENJA_02191	DROME18635
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	DROME02324, DROME17378, DROME11305
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	DROME08695, DROME15640, DROME04516
OG0000038	AENJA_05691	DROME13535, DROME13441
OG0000039	AENJA_07277	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	AENJA_23333	DROME20303
OG0000040	AENJA_07541, AENJA_11361	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	AENJA_08471	DROME01788, DROME01789
OG0000041	AENJA_24560	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	AENJA_03404, AENJA_03405	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771
OG0000044	AENJA_26664	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	AENJA_24602	DROME03638
OG0000044	AENJA_06789	DROME17013
OG0000045	AENJA_24504	DROME00740, DROME05490, DROME00741, DROME00650
OG0000046	AENJA_15828	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304
OG0000048	AENJA_23226	DROME15626, DROME15625
OG0000048	AENJA_21270, AENJA_21713, AENJA_09360	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	AENJA_25506	DROME01500
OG0000051	AENJA_18491, AENJA_12662	DROME06654, DROME06655
OG0000054	AENJA_06676, AENJA_23371	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	AENJA_12232, AENJA_06677	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	AENJA_23915	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	AENJA_23345	DROME14598
OG0000058	AENJA_12354	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000060	AENJA_19748	DROME18201
OG0000061	AENJA_07301	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	AENJA_26614, AENJA_08766	DROME05579, DROME05580, DROME06033
OG0000061	AENJA_06999	DROME18900, DROME18901, DROME18899
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	AENJA_20321	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	AENJA_03789	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	AENJA_26394	DROME10983, DROME10982
OG0000067	AENJA_21171	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	DROME18209
OG0000069	AENJA_15982	DROME03713
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	DROME04028, DROME04029, DROME06783
OG0000070	AENJA_17946, AENJA_17947	DROME17588, DROME17589, DROME19032
OG0000072	AENJA_14652	DROME12247, DROME12248
OG0000072	AENJA_02450	DROME00750
OG0000072	AENJA_24050, AENJA_00746	DROME14913, DROME11831, DROME14422
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	DROME03014
OG0000075	AENJA_18278	DROME01374
OG0000077	AENJA_07475	DROME15696, DROME15698, DROME15697
OG0000077	AENJA_08162	DROME18051
OG0000077	AENJA_00875	DROME12670
OG0000078	AENJA_16680, AENJA_06754	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000078	AENJA_26733	DROME15695
OG0000079	AENJA_16186	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	AENJA_02482	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	AENJA_17442	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	AENJA_10507	DROME01298
OG0000081	AENJA_22439, AENJA_23269	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593
OG0000081	AENJA_23268	DROME19345, DROME19344
OG0000082	AENJA_25747	DROME05998
OG0000083	AENJA_21795	DROME17112
OG0000083	AENJA_03464	DROME20486, DROME20487
OG0000084	AENJA_24814	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	AENJA_02486	DROME17344, DROME17343, DROME17345
OG0000085	AENJA_06487	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	AENJA_24493	DROME00999, DROME00998, DROME01000
OG0000085	AENJA_20539	DROME19740
OG0000085	AENJA_08917	DROME10832, DROME10831
OG0000086	AENJA_15860, AENJA_25942, AENJA_16623, AENJA_16711, AENJA_22511, AENJA_01659	DROME14954
OG0000087	AENJA_23251	DROME22088
OG0000087	AENJA_08976	DROME21450
OG0000087	AENJA_03163	DROME03097
OG0000087	AENJA_19935	DROME08842
OG0000087	AENJA_13117, AENJA_04374, AENJA_10299, AENJA_10300, AENJA_20453	DROME09495
OG0000089	AENJA_01807	DROME18066, DROME18069, DROME12817
OG0000090	AENJA_10145	DROME02752
OG0000090	AENJA_19633	DROME00161, DROME00160, DROME00159, DROME00158
OG0000090	AENJA_01954	DROME16241, DROME16240, DROME16239
OG0000091	AENJA_05198, AENJA_09904, AENJA_06299	DROME20804
OG0000091	AENJA_01389	DROME18437, DROME18438, DROME20481
OG0000094	AENJA_14582	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	AENJA_26553	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173	DROME01438
OG0000096	AENJA_25727	DROME08195, DROME08196
OG0000096	AENJA_21947	DROME06400
OG0000096	AENJA_08423	DROME13915
OG0000096	AENJA_09240	DROME09341
OG0000098	AENJA_22563, AENJA_15215	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	AENJA_19631, AENJA_00123	DROME10335, DROME10334, DROME09743
OG0000099	AENJA_07638, AENJA_14869	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	AENJA_12266, AENJA_21578, AENJA_13838, AENJA_20340	DROME09951
OG0000100	AENJA_06228, AENJA_08011, AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620, AENJA_26040, AENJA_26104, AENJA_06096	DROME10813
OG0000101	AENJA_00251, AENJA_06142	DROME05458
OG0000103	AENJA_10812	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	AENJA_14367	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	AENJA_04107	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	AENJA_02684	DROME16895, DROME16894
OG0000104	AENJA_26666	DROME16546, DROME16548, DROME16547, DROME16549
OG0000106	AENJA_21591	DROME02609
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000111	AENJA_04205, AENJA_23685	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	AENJA_02203, AENJA_09826	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	AENJA_23406	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	DROME04013, DROME04512, DROME04513
OG0000116	AENJA_23563, AENJA_23564	DROME05231
OG0000117	AENJA_24559, AENJA_08111	DROME17123
OG0000119	AENJA_18357, AENJA_20512	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	AENJA_08115, AENJA_08491	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	AENJA_09034	DROME04710
OG0000121	AENJA_09065	DROME17781, DROME08015
OG0000121	AENJA_15894, AENJA_19956, AENJA_09165	DROME10532
OG0000122	AENJA_09263	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	AENJA_14198, AENJA_09459, AENJA_22788	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	AENJA_13105	DROME17732, DROME17730, DROME17731
OG0000123	AENJA_26530	DROME14850, DROME14849, DROME14848, DROME14847
OG0000124	AENJA_03116, AENJA_25792	DROME17463
OG0000124	AENJA_04495	DROME08713, DROME09900
OG0000124	AENJA_09769, AENJA_03187	DROME21734
OG0000125	AENJA_09264	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	AENJA_07272	DROME04039, DROME04040, DROME04038
OG0000126	AENJA_24273	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	AENJA_07507	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	AENJA_20308	DROME11205, DROME11204
OG0000127	AENJA_04153	DROME08158
OG0000127	AENJA_17569	DROME05986
OG0000127	AENJA_00497	DROME18062
OG0000131	AENJA_13807, AENJA_21097	DROME18073, DROME18075, DROME18074
OG0000140	AENJA_12795, AENJA_06528	DROME11150, DROME11151
OG0000142	AENJA_25989	DROME09730
OG0000142	AENJA_16857, AENJA_18146	DROME07188
OG0000144	AENJA_16607	DROME21183
OG0000147	AENJA_03761	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	AENJA_12275	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	AENJA_03922	DROME03466
OG0000147	AENJA_10787, AENJA_03843	DROME17452, DROME17451
OG0000148	AENJA_26311, AENJA_25264, AENJA_21218	DROME19762, DROME19761, DROME19763
OG0000148	AENJA_21220	DROME12939
OG0000149	AENJA_12111, AENJA_03471, AENJA_12512	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	AENJA_18447	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	AENJA_18738	DROME12872, DROME12871
OG0000155	AENJA_20550	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	AENJA_08473	DROME09786
OG0000157	AENJA_07142	DROME05150, DROME05149
OG0000158	AENJA_06739	DROME06825, DROME06824
OG0000160	AENJA_13005	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	AENJA_09371	DROME21138, DROME21116
OG0000163	AENJA_06699	DROME02805
OG0000163	AENJA_21072	DROME21614
OG0000163	AENJA_14266, AENJA_00250	DROME12520
OG0000163	AENJA_14265	DROME07955
OG0000163	AENJA_02338	DROME19834, DROME00819
OG0000164	AENJA_00513	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561
OG0000165	AENJA_04113	DROME15840, DROME15841
OG0000167	AENJA_04545	DROME04018, DROME04019
OG0000168	AENJA_16549, AENJA_16551, AENJA_11862, AENJA_21363	DROME01783
OG0000170	AENJA_18033	DROME01350
OG0000171	AENJA_26673, AENJA_26672, AENJA_09998	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	AENJA_10826, AENJA_10825	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308
OG0000172	AENJA_19160, AENJA_21023	DROME14415
OG0000173	AENJA_13078, AENJA_25617, AENJA_18852	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000174	AENJA_19122	DROME10165, DROME11306
OG0000175	AENJA_06264, AENJA_00936, AENJA_00556	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	AENJA_05120	DROME03593, DROME00840
OG0000179	AENJA_05305	DROME11221, DROME21050
OG0000179	AENJA_25279	DROME07796
OG0000179	AENJA_09174, AENJA_18216	DROME10428
OG0000180	AENJA_10008, AENJA_06703	DROME12336
OG0000180	AENJA_16046	DROME21739, DROME21740
OG0000180	AENJA_19397	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367
OG0000181	AENJA_08843	DROME12775
OG0000181	AENJA_22272	DROME18397
OG0000183	AENJA_03852	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	AENJA_18616, AENJA_21091	DROME07008
OG0000183	AENJA_21093	DROME18789
OG0000185	AENJA_13582	DROME08939, DROME08940
OG0000185	AENJA_06437	DROME12225, DROME12226
OG0000185	AENJA_19885	DROME03791, DROME03792
OG0000186	AENJA_16129	DROME04472
OG0000188	AENJA_15378	DROME16886, DROME16887
OG0000195	AENJA_16048	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	AENJA_03262	DROME14335, DROME14334, DROME14336
OG0000200	AENJA_00133	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	AENJA_04223	DROME11047
OG0000201	AENJA_12926	DROME19450
OG0000201	AENJA_00457	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	AENJA_10134	DROME14920, DROME14921
OG0000203	AENJA_20011	DROME04489
OG0000204	AENJA_12472	DROME10849, DROME10848
OG0000205	AENJA_13787, AENJA_01890	DROME06842, DROME06843
OG0000205	AENJA_13815, AENJA_22602	DROME08187
OG0000207	AENJA_24487	DROME06000
OG0000208	AENJA_16595	DROME02132
OG0000210	AENJA_10706	DROME04199, DROME04478
OG0000210	AENJA_04024	DROME14047, DROME11376
OG0000211	AENJA_19821	DROME17290
OG0000223	AENJA_25328, AENJA_19949	DROME10256
OG0000225	AENJA_04793, AENJA_18668	DROME11929
OG0000226	AENJA_19996, AENJA_22487, AENJA_22493	DROME14660
OG0000227	AENJA_15989	DROME06362, DROME06368, DROME06369, DROME06365
OG0000227	AENJA_15987, AENJA_15991	DROME04927, DROME04926
OG0000229	AENJA_21370, AENJA_10244, AENJA_23576, AENJA_16825, AENJA_01160, AENJA_07809, AENJA_03989, AENJA_07812, AENJA_07810, AENJA_04457, AENJA_26296, AENJA_26297, AENJA_26293	DROME04047
OG0000230	AENJA_22711, AENJA_26339, AENJA_04754	DROME03186
OG0000231	AENJA_15363	DROME20855, DROME20857, DROME20856, DROME20854
OG0000231	AENJA_08495	DROME07628, DROME07629
OG0000232	AENJA_10707, AENJA_18877	DROME10139
OG0000233	AENJA_13806	DROME00414, DROME00405, DROME00404, DROME00403
OG0000234	AENJA_02022	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143
OG0000234	AENJA_09853	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365
OG0000235	AENJA_15471, AENJA_15470, AENJA_02178, AENJA_08576	DROME11735
OG0000236	AENJA_25135	DROME03355
OG0000238	AENJA_24755	DROME01901, DROME01902
OG0000238	AENJA_14161, AENJA_03329	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358
OG0000238	AENJA_17228	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033
OG0000239	AENJA_09843	DROME05270, DROME05269, DROME05271, DROME05268
OG0000239	AENJA_09841	DROME03549, DROME03548, DROME03550, DROME03551
OG0000240	AENJA_19535	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862
OG0000240	AENJA_09344	DROME04779, DROME05772, DROME06965, DROME08357, DROME06930, DROME06939, DROME06932, DROME06931, DROME06933, DROME06938, DROME06935, DROME06936, DROME06937, DROME06934, DROME14517, DROME14518, DROME14516, DROME14525, DROME14521, DROME14522, DROME14519, DROME14520, DROME14523, DROME14524, DROME14527, DROME14528
OG0000243	AENJA_26524	DROME04743, DROME04742, DROME04744
OG0000245	AENJA_03100	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514
OG0000249	AENJA_05064, AENJA_21241, AENJA_23938, AENJA_01673, AENJA_21238, AENJA_22890, AENJA_18302, AENJA_21869, AENJA_15192, AENJA_06774, AENJA_07629, AENJA_05076, AENJA_15458, AENJA_10803, AENJA_15269, AENJA_00339, AENJA_18040, AENJA_15191, AENJA_21709, AENJA_02460, AENJA_00522, AENJA_10097, AENJA_22660, AENJA_14324, AENJA_10550, AENJA_09775, AENJA_03218, AENJA_22352, AENJA_15267, AENJA_16281, AENJA_07074, AENJA_06773, AENJA_02512, AENJA_03736, AENJA_04120, AENJA_00209, AENJA_17787, AENJA_22908, AENJA_15488, AENJA_17301, AENJA_00076, AENJA_18530, AENJA_09193, AENJA_25708, AENJA_00819, AENJA_04569, AENJA_06360, AENJA_06190, AENJA_21870, AENJA_14427	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490
OG0000250	AENJA_21466	DROME14382
OG0000250	AENJA_01564	DROME11256, DROME11255, DROME11257
OG0000251	AENJA_02410	DROME21783
OG0000255	AENJA_05199	DROME15943
OG0000255	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356	DROME20722, DROME05791, DROME18596
OG0000256	AENJA_24528	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058
OG0000257	AENJA_21159	DROME01840, DROME01838, DROME01839, DROME01837
OG0000257	AENJA_12469, AENJA_20995, AENJA_23471	DROME12936
OG0000258	AENJA_04201	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594
OG0000258	AENJA_21764	DROME20383
OG0000258	AENJA_08669	DROME17641, DROME17639, DROME17640
OG0000260	AENJA_02917	DROME17607, DROME17608, DROME17606
OG0000260	AENJA_18084, AENJA_23444	DROME16635, DROME16636
OG0000265	AENJA_21392, AENJA_21393	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975
OG0000265	AENJA_02918	DROME00452
OG0000268	AENJA_14602	DROME06261, DROME06262
OG0000268	AENJA_25695	DROME00943, DROME00944
OG0000268	AENJA_08487	DROME04196
OG0000270	AENJA_16126	DROME17877, DROME17878, DROME17879
OG0000270	AENJA_15394	DROME14671, DROME14672, DROME14673, DROME14674
