Orthogroup	AENJA_ok	SACKO_ok
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	SACKO_08466
OG0000008	AENJA_01158	SACKO_29665, SACKO_28380, SACKO_28379, SACKO_25577, SACKO_25585, SACKO_31323, SACKO_31280, SACKO_17455, SACKO_31331, SACKO_25272, SACKO_01695, SACKO_32427, SACKO_28703
OG0000009	AENJA_04378	SACKO_05381
OG0000009	AENJA_10638	SACKO_23301
OG0000009	AENJA_13736, AENJA_17094	SACKO_10948
OG0000009	AENJA_22152	SACKO_01914
OG0000010	AENJA_06639	SACKO_19747, SACKO_14158, SACKO_23674
OG0000010	AENJA_16004, AENJA_09141	SACKO_12952, SACKO_12967, SACKO_01342, SACKO_30645
OG0000010	AENJA_04234	SACKO_19852, SACKO_19839, SACKO_20088
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414, AENJA_17241, AENJA_22685, AENJA_26020, AENJA_21439, AENJA_21547, AENJA_23170, AENJA_23691, AENJA_08871, AENJA_09595, AENJA_20150, AENJA_13507, AENJA_21384, AENJA_24664, AENJA_01682, AENJA_22850, AENJA_21026	SACKO_22764
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	AENJA_26327	SACKO_27004, SACKO_22874, SACKO_22859, SACKO_22880, SACKO_22844, SACKO_22910, SACKO_22879, SACKO_11626, SACKO_32189, SACKO_16345, SACKO_22854, SACKO_22913
OG0000012	AENJA_02869	SACKO_01736
OG0000013	AENJA_23415	SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137
OG0000014	AENJA_09518, AENJA_09012	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037
OG0000014	AENJA_17358	SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257
OG0000014	AENJA_25536	SACKO_13283
OG0000014	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818	SACKO_06958
OG0000015	AENJA_19634	SACKO_31692
OG0000015	AENJA_25011	SACKO_01122, SACKO_01126
OG0000015	AENJA_18653	SACKO_31697
OG0000015	AENJA_17614	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509
OG0000015	AENJA_02597	SACKO_09394, SACKO_11453, SACKO_31684
OG0000016	AENJA_04784	SACKO_26503, SACKO_06921
OG0000016	AENJA_04814, AENJA_14549	SACKO_08552, SACKO_02763, SACKO_27519
OG0000016	AENJA_07664	SACKO_31968
OG0000016	AENJA_26671, AENJA_26677	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	AENJA_21813, AENJA_16651	SACKO_23373, SACKO_07103, SACKO_18319
OG0000016	AENJA_02781	SACKO_14898
OG0000016	AENJA_03281	SACKO_25497
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000017	AENJA_24973, AENJA_25595, AENJA_05154, AENJA_12426, AENJA_00338, AENJA_00793, AENJA_19527, AENJA_05284, AENJA_20820, AENJA_23397, AENJA_15074, AENJA_17435, AENJA_05313, AENJA_19028, AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181, AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186, AENJA_00442	SACKO_32297
OG0000017	AENJA_07451	SACKO_17667
OG0000017	AENJA_22962, AENJA_21386, AENJA_13274, AENJA_08258, AENJA_22053, AENJA_22436, AENJA_14928, AENJA_06318, AENJA_08674, AENJA_21573	SACKO_00987, SACKO_29799
OG0000017	AENJA_04888, AENJA_03290	SACKO_25642, SACKO_32786, SACKO_07720
OG0000018	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081	SACKO_12447
OG0000018	AENJA_00705, AENJA_05980, AENJA_21073	SACKO_10156
OG0000018	AENJA_15898	SACKO_13454
OG0000019	AENJA_12747	SACKO_31972
OG0000019	AENJA_03417, AENJA_02272, AENJA_02277	SACKO_05035
OG0000019	AENJA_02275, AENJA_02276	SACKO_20530
OG0000019	AENJA_10509, AENJA_19272	SACKO_31918
OG0000019	AENJA_02273	SACKO_34115
OG0000019	AENJA_16475	SACKO_15751, SACKO_33114, SACKO_23914, SACKO_33498, SACKO_30908
OG0000019	AENJA_12690	SACKO_12806
OG0000019	AENJA_11007, AENJA_11047, AENJA_17709	SACKO_17301
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	SACKO_20403, SACKO_20414
OG0000020	AENJA_06180, AENJA_02090	SACKO_34195
OG0000020	AENJA_21688, AENJA_05309	SACKO_22951
OG0000020	AENJA_15791	SACKO_32378
OG0000020	AENJA_12903	SACKO_20642
OG0000020	AENJA_09502	SACKO_08732
OG0000020	AENJA_16747	SACKO_26124
OG0000020	AENJA_14074	SACKO_26857
OG0000020	AENJA_08287	SACKO_10515
OG0000020	AENJA_18052	SACKO_21519
OG0000020	AENJA_23718	SACKO_08704
OG0000020	AENJA_02408	SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	AENJA_17847	SACKO_19273
OG0000020	AENJA_15954	SACKO_23553
OG0000020	AENJA_16929	SACKO_16107, SACKO_20105
OG0000020	AENJA_04727	SACKO_15854
OG0000020	AENJA_10912	SACKO_20295
OG0000020	AENJA_11444	SACKO_29670
OG0000020	AENJA_07947	SACKO_04148
OG0000020	AENJA_14659	SACKO_24638
OG0000020	AENJA_12495	SACKO_04828
OG0000020	AENJA_25422	SACKO_14423
OG0000021	AENJA_21621, AENJA_21623	SACKO_17226, SACKO_17242, SACKO_17184
OG0000021	AENJA_14639	SACKO_24549
OG0000021	AENJA_26606, AENJA_10786	SACKO_04567
OG0000021	AENJA_16593	SACKO_32115
OG0000021	AENJA_24950	SACKO_15594
OG0000021	AENJA_19175	SACKO_29742
OG0000021	AENJA_25124	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	SACKO_25838
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	SACKO_24640
OG0000023	AENJA_06341	SACKO_10529
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	SACKO_06926
OG0000023	AENJA_26230	SACKO_14770
OG0000023	AENJA_07520, AENJA_17438	SACKO_29082, SACKO_29077
OG0000023	AENJA_19908	SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924
OG0000024	AENJA_03136, AENJA_18708	SACKO_13222
OG0000025	AENJA_16194, AENJA_12427, AENJA_26584, AENJA_11195	SACKO_19443
OG0000025	AENJA_14413, AENJA_09759, AENJA_20400, AENJA_19906, AENJA_05976	SACKO_13340
OG0000025	AENJA_09551	SACKO_20772, SACKO_33394, SACKO_06338
OG0000026	AENJA_22634, AENJA_08898, AENJA_15153, AENJA_22173	SACKO_23290, SACKO_14386
OG0000026	AENJA_09725, AENJA_09726, AENJA_07548	SACKO_04600
OG0000026	AENJA_21657	SACKO_23233
OG0000026	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651	SACKO_30546, SACKO_02606, SACKO_02595, SACKO_02609, SACKO_24097
OG0000026	AENJA_10129	SACKO_24091
OG0000026	AENJA_04353, AENJA_08594, AENJA_10003	SACKO_17435, SACKO_17896, SACKO_14191, SACKO_17424, SACKO_11660, SACKO_17379
OG0000027	AENJA_03490	SACKO_20528
OG0000027	AENJA_09326, AENJA_19460, AENJA_19462	SACKO_16988, SACKO_16981
OG0000028	AENJA_02610, AENJA_09622	SACKO_21693, SACKO_21697, SACKO_31574, SACKO_31841, SACKO_05910, SACKO_09884, SACKO_09873, SACKO_09880, SACKO_34223, SACKO_34222, SACKO_34227
OG0000028	AENJA_02274	SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060
OG0000028	AENJA_15999	SACKO_21235
OG0000028	AENJA_25121	SACKO_32628
OG0000028	AENJA_19954	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650	SACKO_10012, SACKO_10033
OG0000029	AENJA_26395	SACKO_07374
OG0000029	AENJA_05610	SACKO_14992, SACKO_14998, SACKO_15002
OG0000029	AENJA_05280	SACKO_26681, SACKO_26700, SACKO_26680, SACKO_26670, SACKO_26667, SACKO_25014, SACKO_14195
OG0000030	AENJA_17283	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	AENJA_07079	SACKO_24772
OG0000030	AENJA_24351, AENJA_12274	SACKO_23559
OG0000030	AENJA_21030	SACKO_16655, SACKO_09928, SACKO_09940
OG0000030	AENJA_05226	SACKO_34092, SACKO_34095
OG0000030	AENJA_02005, AENJA_02015	SACKO_13282, SACKO_13304
OG0000030	AENJA_09694	SACKO_14983, SACKO_14981
OG0000031	AENJA_09856	SACKO_18621
OG0000031	AENJA_09858	SACKO_18614
OG0000031	AENJA_08759	SACKO_16512
OG0000031	AENJA_10722	SACKO_21501
OG0000031	AENJA_05740	SACKO_14417
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	SACKO_32680
OG0000031	AENJA_15028	SACKO_03088
OG0000032	AENJA_06514	SACKO_26058
OG0000032	AENJA_15565	SACKO_20615
OG0000032	AENJA_01667, AENJA_01332	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	SACKO_02664
OG0000032	AENJA_12283	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243
OG0000034	AENJA_21749	SACKO_08906
OG0000034	AENJA_26717	SACKO_15619
OG0000034	AENJA_02791	SACKO_19192
OG0000034	AENJA_23686	SACKO_16505
OG0000034	AENJA_13785	SACKO_05860
OG0000034	AENJA_15701	SACKO_29852
OG0000034	AENJA_24919	SACKO_18648
OG0000034	AENJA_16616	SACKO_20915
OG0000035	AENJA_01174	SACKO_02558
OG0000035	AENJA_26793	SACKO_31936
OG0000035	AENJA_22033	SACKO_19408
OG0000035	AENJA_08825	SACKO_12639
OG0000035	AENJA_12732	SACKO_13246
OG0000035	AENJA_12364	SACKO_16912
OG0000035	AENJA_26037	SACKO_19307, SACKO_22660
OG0000035	AENJA_21682	SACKO_07333, SACKO_04598
OG0000035	AENJA_21683	SACKO_08422
OG0000035	AENJA_03202, AENJA_17649, AENJA_15904	SACKO_31959, SACKO_06432
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	SACKO_28321
OG0000036	AENJA_19267	SACKO_21179
OG0000036	AENJA_16633	SACKO_14647
OG0000036	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986	SACKO_15030
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	SACKO_28315
OG0000036	AENJA_09983	SACKO_14641
OG0000037	AENJA_20944	SACKO_22630
OG0000037	AENJA_05483, AENJA_06274	SACKO_05171
OG0000037	AENJA_13632	SACKO_15149
OG0000037	AENJA_06403	SACKO_21107, SACKO_21121
OG0000037	AENJA_22611	SACKO_07542
OG0000037	AENJA_22610	SACKO_17953, SACKO_17956
OG0000038	AENJA_09925	SACKO_08703
OG0000038	AENJA_26313	SACKO_00016
OG0000038	AENJA_05700	SACKO_03843, SACKO_27059, SACKO_05705, SACKO_05293
OG0000038	AENJA_05696	SACKO_08715
OG0000039	AENJA_20870	SACKO_16726
OG0000039	AENJA_17497	SACKO_16701
OG0000039	AENJA_26786	SACKO_15245
OG0000039	AENJA_02471	SACKO_26168, SACKO_17372, SACKO_25878
OG0000040	AENJA_07541	SACKO_27347, SACKO_18726, SACKO_31332
OG0000040	AENJA_11361	SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	AENJA_24560	SACKO_08282
OG0000041	AENJA_03404, AENJA_03405	SACKO_06500, SACKO_06515
OG0000042	AENJA_20216	SACKO_09704, SACKO_06360, SACKO_13545, SACKO_01479, SACKO_01780, SACKO_01784, SACKO_06831, SACKO_06769, SACKO_11034, SACKO_11057, SACKO_23094, SACKO_05345, SACKO_01657, SACKO_14496
OG0000042	AENJA_13144, AENJA_17558	SACKO_19954, SACKO_07145, SACKO_08954, SACKO_26828, SACKO_11730
OG0000042	AENJA_13803	SACKO_13526, SACKO_25387
OG0000042	AENJA_20398, AENJA_12656, AENJA_20397, AENJA_17012, AENJA_14068, AENJA_14062, AENJA_24879, AENJA_08407, AENJA_08404, AENJA_04593, AENJA_21349	SACKO_02400
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470
OG0000044	AENJA_12079	SACKO_25267, SACKO_00121
OG0000044	AENJA_26664	SACKO_11589
OG0000044	AENJA_10128	SACKO_31271
OG0000044	AENJA_23969	SACKO_12560, SACKO_18675
OG0000044	AENJA_03123	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979
OG0000044	AENJA_06789	SACKO_13252, SACKO_02980, SACKO_02985, SACKO_02991, SACKO_02997, SACKO_02983, SACKO_02987, SACKO_02981, SACKO_13102, SACKO_01482
OG0000045	AENJA_09277	SACKO_11123
OG0000045	AENJA_04220, AENJA_24299	SACKO_32932
OG0000045	AENJA_24504, AENJA_24136, AENJA_24130	SACKO_32920
OG0000045	AENJA_20791	SACKO_19866, SACKO_19846
OG0000045	AENJA_09131	SACKO_11824
OG0000045	AENJA_11592	SACKO_13295
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	SACKO_04617, SACKO_18448
OG0000046	AENJA_16259	SACKO_27244, SACKO_27309, SACKO_27311
OG0000046	AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	SACKO_25196, SACKO_25208
OG0000048	AENJA_11619	SACKO_04413
OG0000048	AENJA_23226	SACKO_24161
OG0000048	AENJA_21270	SACKO_12018
OG0000048	AENJA_09360	SACKO_03133
OG0000048	AENJA_16735, AENJA_16736	SACKO_17673
OG0000048	AENJA_25506	SACKO_29639
OG0000049	AENJA_20702	SACKO_08936
OG0000049	AENJA_25756	SACKO_25469
OG0000049	AENJA_17800, AENJA_10359	SACKO_25472
OG0000049	AENJA_24984, AENJA_12834	SACKO_04800
OG0000049	AENJA_18082	SACKO_33166, SACKO_03850, SACKO_27793, SACKO_21677
OG0000049	AENJA_02953, AENJA_07586	SACKO_29659
OG0000049	AENJA_17680	SACKO_17863
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	SACKO_33502, SACKO_27829, SACKO_28831, SACKO_23972, SACKO_14672, SACKO_27112, SACKO_18956, SACKO_28081, SACKO_24685
OG0000050	AENJA_04583	SACKO_30449, SACKO_28664
OG0000050	AENJA_20003, AENJA_05632	SACKO_12231, SACKO_07136, SACKO_16143
OG0000050	AENJA_00443, AENJA_08509	SACKO_24117
OG0000050	AENJA_22540, AENJA_26360, AENJA_20350	SACKO_17648
OG0000051	AENJA_18491, AENJA_12662	SACKO_01323, SACKO_05894, SACKO_05920, SACKO_05919, SACKO_05947, SACKO_05961, SACKO_05937, SACKO_05924, SACKO_05914, SACKO_05927, SACKO_21265, SACKO_05598, SACKO_21276, SACKO_00826, SACKO_19765, SACKO_21267, SACKO_21272, SACKO_21225, SACKO_21248, SACKO_21467
OG0000051	AENJA_24250	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	AENJA_19076	SACKO_22606, SACKO_00169
OG0000053	AENJA_04503, AENJA_20416, AENJA_20415, AENJA_19262, AENJA_19758	SACKO_33005, SACKO_00875, SACKO_00876, SACKO_04062, SACKO_00862, SACKO_04064
OG0000054	AENJA_06676, AENJA_23371	SACKO_17476
OG0000056	AENJA_20268	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000056	AENJA_20270	SACKO_32711
OG0000056	AENJA_08324, AENJA_08326, AENJA_10099	SACKO_10684, SACKO_34077, SACKO_21890
OG0000056	AENJA_14653	SACKO_01900
OG0000056	AENJA_19769, AENJA_19772	SACKO_13826
OG0000056	AENJA_25728	SACKO_16845
OG0000056	AENJA_23915	SACKO_11517
OG0000056	AENJA_01631, AENJA_03114	SACKO_05139
OG0000058	AENJA_23345	SACKO_23572
OG0000058	AENJA_10634	SACKO_00929, SACKO_00933, SACKO_00911
OG0000059	AENJA_13132	SACKO_01899
OG0000059	AENJA_17651	SACKO_09491
OG0000059	AENJA_09821, AENJA_10475	SACKO_31255, SACKO_10806, SACKO_13822
OG0000059	AENJA_18423, AENJA_19757	SACKO_10142, SACKO_10130, SACKO_25287, SACKO_10138, SACKO_34062, SACKO_14060, SACKO_25475, SACKO_34023, SACKO_34073
OG0000059	AENJA_20980, AENJA_20981	SACKO_07217, SACKO_23150
OG0000059	AENJA_26400	SACKO_27650, SACKO_27632, SACKO_27652, SACKO_13821, SACKO_17647
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	SACKO_18357
OG0000060	AENJA_17233	SACKO_26044
OG0000060	AENJA_19748	SACKO_07510
OG0000060	AENJA_23597	SACKO_08309
OG0000061	AENJA_07301	SACKO_02041
OG0000061	AENJA_07183	SACKO_02073
OG0000061	AENJA_26614, AENJA_08766	SACKO_02064
OG0000061	AENJA_06999	SACKO_22956, SACKO_22933
OG0000061	AENJA_07304	SACKO_27147
OG0000062	AENJA_09642	SACKO_15963, SACKO_09033
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	SACKO_15645
OG0000062	AENJA_03699	SACKO_01291, SACKO_22149
OG0000063	AENJA_20321	SACKO_12392
OG0000063	AENJA_03789	SACKO_30337
OG0000063	AENJA_26394	SACKO_15119
OG0000064	AENJA_16750, AENJA_12292	SACKO_03953, SACKO_27131
OG0000064	AENJA_15514	SACKO_28653, SACKO_03949, SACKO_30966, SACKO_31590, SACKO_03966, SACKO_08407
OG0000064	AENJA_00980, AENJA_22430	SACKO_31336, SACKO_31295, SACKO_22301, SACKO_21361, SACKO_10454, SACKO_26879, SACKO_12435
OG0000066	AENJA_19946	SACKO_01637
OG0000066	AENJA_12655, AENJA_09505	SACKO_23403
OG0000066	AENJA_22621	SACKO_09024
OG0000067	AENJA_21171	SACKO_23382, SACKO_23385, SACKO_23388, SACKO_23378, SACKO_23369
OG0000067	AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786	SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598
OG0000069	AENJA_15982	SACKO_07016, SACKO_15035
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	SACKO_18930, SACKO_18932
OG0000070	AENJA_17946, AENJA_17947	SACKO_08575, SACKO_04002, SACKO_16666, SACKO_03938
OG0000070	AENJA_09128	SACKO_16529, SACKO_03669
OG0000070	AENJA_05824	SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153
OG0000070	AENJA_17346	SACKO_29369, SACKO_16538, SACKO_10537
OG0000070	AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	SACKO_10050, SACKO_01480, SACKO_29930
OG0000071	AENJA_19944	SACKO_23940, SACKO_34202
OG0000071	AENJA_11228	SACKO_24289
OG0000071	AENJA_19683	SACKO_23124, SACKO_28202, SACKO_18907, SACKO_11220, SACKO_27966, SACKO_25967, SACKO_25982, SACKO_24034, SACKO_27232, SACKO_27226
OG0000071	AENJA_22629, AENJA_19685, AENJA_10216	SACKO_03523
OG0000071	AENJA_21722, AENJA_10228, AENJA_19682	SACKO_08311
OG0000072	AENJA_14652	SACKO_30660
OG0000072	AENJA_13128	SACKO_25103
OG0000072	AENJA_02450	SACKO_14515
OG0000072	AENJA_25944, AENJA_05445	SACKO_31517
OG0000073	AENJA_03975, AENJA_15428	SACKO_25846, SACKO_25049, SACKO_25052
OG0000073	AENJA_20986, AENJA_17540, AENJA_16473, AENJA_06601, AENJA_06603, AENJA_26408, AENJA_06597	SACKO_26782
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	SACKO_04859
OG0000074	AENJA_24714	SACKO_00567, SACKO_23013
