Orthogroup	AENJA_ok	SCHMD
OG0000021	AENJA_24943	SCHMD23964
OG0000021	AENJA_25124	SCHMD10526, SCHMD19498
OG0000021	AENJA_10523	SCHMD09793, SCHMD07893
OG0000023	AENJA_03895	SCHMD05376
OG0000023	AENJA_11915	SCHMD14075
OG0000026	AENJA_10129	SCHMD22460
OG0000028	AENJA_04861, AENJA_01184	SCHMD01093
OG0000028	AENJA_02274	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	AENJA_15999	SCHMD22912, SCHMD03422
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862
OG0000030	AENJA_17283	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	AENJA_07079	SCHMD20495, SCHMD12490
OG0000030	AENJA_24351, AENJA_12274	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000031	AENJA_09856, AENJA_09858	SCHMD16950
OG0000031	AENJA_20966	SCHMD11094
OG0000031	AENJA_10722	SCHMD00185
OG0000031	AENJA_02955, AENJA_05740, AENJA_14258, AENJA_15917, AENJA_14260	SCHMD17865
OG0000032	AENJA_15565	SCHMD05706, SCHMD26195, SCHMD24540, SCHMD22975, SCHMD09223
OG0000032	AENJA_06513	SCHMD05709
OG0000034	AENJA_09849	SCHMD15098, SCHMD05313
OG0000034	AENJA_02790	SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000
OG0000034	AENJA_21749	SCHMD13190, SCHMD26745
OG0000034	AENJA_09845	SCHMD14042
OG0000034	AENJA_02791	SCHMD11160, SCHMD18247
OG0000034	AENJA_23686	SCHMD04875
OG0000034	AENJA_16616	SCHMD07081
OG0000035	AENJA_01174	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	AENJA_12364, AENJA_26037	SCHMD15627, SCHMD19701
OG0000035	AENJA_26795, AENJA_18623, AENJA_14012	SCHMD23652, SCHMD05993
OG0000035	AENJA_02191	SCHMD19700, SCHMD08604, SCHMD17446, SCHMD16716
OG0000036	AENJA_26206, AENJA_19267, AENJA_16633	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000036	AENJA_09983	SCHMD10087, SCHMD20124, SCHMD27854
OG0000037	AENJA_19141, AENJA_21842, AENJA_00885, AENJA_06908, AENJA_02989, AENJA_17768, AENJA_10696, AENJA_20944, AENJA_05483, AENJA_06274	SCHMD19933
OG0000037	AENJA_13632	SCHMD00542, SCHMD17538
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	AENJA_26313	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	AENJA_09724	SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036
OG0000038	AENJA_16130	SCHMD28404
OG0000038	AENJA_05693	SCHMD14596, SCHMD16257, SCHMD14597
OG0000038	AENJA_05701	SCHMD04461, SCHMD04816, SCHMD04460
OG0000039	AENJA_12474, AENJA_05354, AENJA_10484, AENJA_20870, AENJA_17497, AENJA_07945, AENJA_26803, AENJA_05351, AENJA_26786, AENJA_20163, AENJA_24723, AENJA_02471, AENJA_07277	SCHMD12270
OG0000040	AENJA_23333	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746
OG0000041	AENJA_08471	SCHMD08254
OG0000041	AENJA_24560	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	AENJA_03404, AENJA_03405	SCHMD22231, SCHMD13559, SCHMD17541, SCHMD21245, SCHMD24303, SCHMD14104, SCHMD15881, SCHMD26428, SCHMD20308, SCHMD01472, SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820
OG0000044	AENJA_03123	SCHMD03626, SCHMD00319, SCHMD06706
OG0000044	AENJA_25117	SCHMD06550, SCHMD21748
OG0000048	AENJA_21270, AENJA_21713	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	AENJA_17800	SCHMD07231, SCHMD18899, SCHMD19386
OG0000049	AENJA_10359	SCHMD26352
OG0000049	AENJA_26413	SCHMD16048
OG0000051	AENJA_18491, AENJA_12662	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000057	AENJA_15044, AENJA_21589, AENJA_13773	SCHMD08094
OG0000058	AENJA_23345	SCHMD04270
OG0000059	AENJA_09821	SCHMD05186
OG0000059	AENJA_10475	SCHMD20166
OG0000059	AENJA_10476, AENJA_10481	SCHMD27942
OG0000059	AENJA_11528	SCHMD05188, SCHMD13278
OG0000060	AENJA_19748	SCHMD17528
OG0000060	AENJA_06413	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	AENJA_23597	SCHMD03062
OG0000061	AENJA_07301	SCHMD24930
OG0000061	AENJA_26614, AENJA_08766	SCHMD11039
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683, AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	AENJA_20321	SCHMD04855
OG0000063	AENJA_03789	SCHMD09653
OG0000063	AENJA_04323	SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709
OG0000065	AENJA_15523	SCHMD25473, SCHMD19118
OG0000066	AENJA_12655, AENJA_09505	SCHMD06030
OG0000066	AENJA_20318	SCHMD05807
OG0000066	AENJA_04513	SCHMD01861
OG0000066	AENJA_25232, AENJA_08610	SCHMD01829
OG0000066	AENJA_22621	SCHMD17583, SCHMD06603, SCHMD09194
OG0000068	AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	SCHMD05762, SCHMD05760, SCHMD05763
OG0000070	AENJA_20523, AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	SCHMD06745
OG0000070	AENJA_17946, AENJA_17947	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682	SCHMD08674, SCHMD04226
OG0000072	AENJA_24050, AENJA_00746	SCHMD19677, SCHMD17046, SCHMD17002, SCHMD14858, SCHMD08261, SCHMD24480, SCHMD08262, SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751, SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441, SCHMD14329
OG0000073	AENJA_02295	SCHMD13212, SCHMD07291, SCHMD22957
OG0000073	AENJA_20986, AENJA_17540, AENJA_16473, AENJA_06601, AENJA_06603, AENJA_26408, AENJA_06597	SCHMD07917, SCHMD02585, SCHMD02588
OG0000075	AENJA_14040, AENJA_18277, AENJA_12917	SCHMD28477
OG0000075	AENJA_21406	SCHMD03704
OG0000075	AENJA_12918	SCHMD21424
OG0000077	AENJA_13107	SCHMD17571
OG0000077	AENJA_22767	SCHMD27295
OG0000077	AENJA_07475	SCHMD23576
OG0000077	AENJA_08162	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	AENJA_00875	SCHMD27373
OG0000077	AENJA_16514	SCHMD27493
OG0000079	AENJA_16186	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	AENJA_02482	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	AENJA_10507, AENJA_05095	SCHMD06941, SCHMD04736
OG0000080	AENJA_16112, AENJA_24979, AENJA_06701, AENJA_05406, AENJA_10526, AENJA_00028, AENJA_16119, AENJA_22310, AENJA_08696, AENJA_13588, AENJA_12681, AENJA_22904, AENJA_24800, AENJA_00459, AENJA_05027, AENJA_20662, AENJA_01319, AENJA_11587, AENJA_14545, AENJA_02324, AENJA_25850, AENJA_22994, AENJA_11606, AENJA_05579, AENJA_03015, AENJA_09784, AENJA_24069, AENJA_12439, AENJA_14799, AENJA_22144	SCHMD10387, SCHMD06434
OG0000082	AENJA_11460	SCHMD23210
OG0000084	AENJA_24814	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	AENJA_02486	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000084	AENJA_23710	SCHMD28182, SCHMD25065
OG0000085	AENJA_06487	SCHMD12836
OG0000085	AENJA_24493	SCHMD12466
OG0000085	AENJA_20539	SCHMD18327
OG0000087	AENJA_23251	SCHMD09405, SCHMD09406
OG0000087	AENJA_08976	SCHMD05855
OG0000087	AENJA_20453	SCHMD25288
OG0000090	AENJA_02476	SCHMD10805, SCHMD21388
OG0000090	AENJA_00371	SCHMD17599, SCHMD20160
OG0000090	AENJA_26164	SCHMD06769
OG0000093	AENJA_09135	SCHMD04238
OG0000093	AENJA_08955	SCHMD00352
OG0000093	AENJA_04649, AENJA_22923	SCHMD02917
OG0000094	AENJA_14582	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	AENJA_26553	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000095	AENJA_11793, AENJA_23676	SCHMD01761
OG0000096	AENJA_09240, AENJA_14053	SCHMD10033
OG0000097	AENJA_19407, AENJA_02407, AENJA_16144, AENJA_07989, AENJA_07990, AENJA_20179, AENJA_07992, AENJA_18648, AENJA_07730, AENJA_02415	SCHMD22037, SCHMD20326
OG0000098	AENJA_05303	SCHMD17663
OG0000098	AENJA_22563, AENJA_15215	SCHMD29644, SCHMD22119
OG0000098	AENJA_23539, AENJA_14153	SCHMD06392, SCHMD12932, SCHMD10502
OG0000099	AENJA_17408	SCHMD03930, SCHMD15019
OG0000099	AENJA_19631	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	AENJA_07638, AENJA_14869	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000099	AENJA_15326	SCHMD14698, SCHMD05542
OG0000102	AENJA_22391	SCHMD26069, SCHMD21030
OG0000103	AENJA_10812	SCHMD29081, SCHMD19673
OG0000103	AENJA_14367	SCHMD08147
OG0000106	AENJA_21591, AENJA_13743, AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	AENJA_09309, AENJA_19995, AENJA_08732	SCHMD11887
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	AENJA_00532, AENJA_13552, AENJA_13554	SCHMD28271, SCHMD15320
OG0000116	AENJA_23563, AENJA_23564	SCHMD19106
OG0000116	AENJA_17822	SCHMD19105
OG0000117	AENJA_10010	SCHMD02591
OG0000117	AENJA_08111	SCHMD11493
OG0000117	AENJA_25893	SCHMD14102
OG0000119	AENJA_18357, AENJA_20512, AENJA_08115, AENJA_08491	SCHMD02911
OG0000120	AENJA_04133	SCHMD07084
OG0000120	AENJA_09034	SCHMD11870
OG0000121	AENJA_07109, AENJA_25145	SCHMD07020
OG0000121	AENJA_10975	SCHMD20010, SCHMD10285, SCHMD10287, SCHMD21058, SCHMD10289, SCHMD12440
OG0000122	AENJA_14198	SCHMD16641, SCHMD09849
OG0000123	AENJA_13105	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	AENJA_08155	SCHMD07646
OG0000123	AENJA_26530	SCHMD22122, SCHMD14008
OG0000124	AENJA_03116, AENJA_25792, AENJA_04495, AENJA_04496	SCHMD10270, SCHMD10271
OG0000124	AENJA_09769, AENJA_03187	SCHMD08774
OG0000126	AENJA_24273	SCHMD24144
OG0000127	AENJA_20308	SCHMD03781
OG0000127	AENJA_11687	SCHMD18620
OG0000128	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744	SCHMD25789, SCHMD19594
OG0000128	AENJA_21735	SCHMD29825
OG0000129	AENJA_11469	SCHMD05405
OG0000129	AENJA_21737	SCHMD03224
OG0000129	AENJA_16458, AENJA_17470	SCHMD24436, SCHMD08405, SCHMD14968
OG0000129	AENJA_12119, AENJA_20942, AENJA_12123	SCHMD27382
OG0000130	AENJA_15966	SCHMD02824, SCHMD13205
OG0000135	AENJA_15054	SCHMD24143, SCHMD24147
OG0000136	AENJA_26094	SCHMD25568, SCHMD19897
OG0000137	AENJA_09533	SCHMD09558
OG0000137	AENJA_20614	SCHMD29744
OG0000139	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000140	AENJA_16090, AENJA_05474	SCHMD02421, SCHMD05316, SCHMD01679
OG0000140	AENJA_05753	SCHMD01677
OG0000142	AENJA_25989	SCHMD07405, SCHMD02973, SCHMD14341
OG0000142	AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249	SCHMD14394
OG0000142	AENJA_21733, AENJA_26417	SCHMD01440, SCHMD00718
OG0000142	AENJA_16857, AENJA_18146	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000145	AENJA_06072	SCHMD03152
OG0000147	AENJA_12275	SCHMD11968
OG0000148	AENJA_21220	SCHMD08056
OG0000151	AENJA_13409	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	AENJA_03698	SCHMD02747, SCHMD12342
OG0000153	AENJA_13294	SCHMD18559
OG0000155	AENJA_20550	SCHMD13125
OG0000157	AENJA_07142	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	AENJA_06739	SCHMD18936
OG0000158	AENJA_12334	SCHMD09898, SCHMD12271, SCHMD07912
OG0000159	AENJA_15908, AENJA_16647, AENJA_17890	SCHMD26601, SCHMD09606
OG0000159	AENJA_06073, AENJA_25487	SCHMD14942
OG0000162	AENJA_01578	SCHMD01637
OG0000162	AENJA_09371	SCHMD26694
OG0000163	AENJA_06699, AENJA_21072, AENJA_04184, AENJA_14266, AENJA_00250, AENJA_14265	SCHMD23090
OG0000163	AENJA_02338	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	AENJA_09907, AENJA_09910	SCHMD08400
OG0000166	AENJA_13257	SCHMD15704, SCHMD08401
OG0000167	AENJA_12329	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000169	AENJA_00158, AENJA_08952	SCHMD00386
OG0000169	AENJA_04999, AENJA_00159, AENJA_00157	SCHMD00387
OG0000173	AENJA_14259	SCHMD19854, SCHMD17711
OG0000174	AENJA_09689	SCHMD09838
OG0000174	AENJA_19122	SCHMD22727, SCHMD14760, SCHMD22728
OG0000174	AENJA_02198	SCHMD08354, SCHMD22729
OG0000175	AENJA_10259	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	AENJA_12556, AENJA_06264, AENJA_00936, AENJA_00556, AENJA_05120, AENJA_10260	SCHMD18439, SCHMD17544
OG0000179	AENJA_05305	SCHMD11075
OG0000179	AENJA_25279	SCHMD01320
OG0000179	AENJA_20696	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468
OG0000181	AENJA_08843	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	AENJA_05116, AENJA_18867, AENJA_18892	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	AENJA_04368	SCHMD11453
OG0000182	AENJA_13561, AENJA_04237, AENJA_14411, AENJA_25436, AENJA_18200, AENJA_14646, AENJA_19566, AENJA_20760, AENJA_11285, AENJA_14094, AENJA_25433, AENJA_16384, AENJA_15115	SCHMD07603
OG0000183	AENJA_03852	SCHMD21103, SCHMD28756
OG0000183	AENJA_18616, AENJA_21091, AENJA_21093	SCHMD12130, SCHMD10333
OG0000185	AENJA_13582	SCHMD07834
OG0000186	AENJA_22491	SCHMD16812
OG0000186	AENJA_06752	SCHMD24594
OG0000191	AENJA_11494, AENJA_16824	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922
OG0000192	AENJA_20612, AENJA_06675	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000192	AENJA_23240	SCHMD03934
OG0000193	AENJA_10880, AENJA_10878, AENJA_10877, AENJA_08498	SCHMD22652, SCHMD22559
OG0000194	AENJA_10642, AENJA_01834	SCHMD11912, SCHMD12565
OG0000195	AENJA_16048, AENJA_12573	SCHMD06851
OG0000195	AENJA_10227, AENJA_02703	SCHMD06771
OG0000197	AENJA_03262	SCHMD10696, SCHMD17861, SCHMD23209
OG0000198	AENJA_08705	SCHMD19721, SCHMD14674, SCHMD25939
OG0000201	AENJA_04223	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	AENJA_12926	SCHMD00317, SCHMD09035
OG0000201	AENJA_00457	SCHMD10520
OG0000203	AENJA_01110, AENJA_20011	SCHMD13221
OG0000204	AENJA_01745	SCHMD05946, SCHMD11236, SCHMD20783
OG0000205	AENJA_05025	SCHMD14902, SCHMD14453
OG0000205	AENJA_01890	SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	AENJA_22602	SCHMD07996
OG0000207	AENJA_24487	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	AENJA_16595	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	AENJA_21122, AENJA_13029, AENJA_06576, AENJA_19501, AENJA_13513, AENJA_18296, AENJA_07421	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	AENJA_10706	SCHMD26754
OG0000210	AENJA_04024	SCHMD24015
OG0000211	AENJA_19821	SCHMD21436
OG0000215	AENJA_06502, AENJA_01427	SCHMD15383
OG0000215	AENJA_03894, AENJA_01426	SCHMD27729, SCHMD15945
OG0000218	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732	SCHMD01527
OG0000220	AENJA_19945, AENJA_06243, AENJA_19950	SCHMD07645
OG0000221	AENJA_18945, AENJA_16769, AENJA_12084	SCHMD10720
OG0000222	AENJA_10919, AENJA_15540	SCHMD21612, SCHMD08502
OG0000223	AENJA_17914	SCHMD02890, SCHMD03920, SCHMD02891
OG0000223	AENJA_25328, AENJA_19949	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000225	AENJA_04793, AENJA_18668	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	AENJA_22494	SCHMD28582
OG0000227	AENJA_15987, AENJA_15991	SCHMD04380
OG0000230	AENJA_06650	SCHMD23835, SCHMD14315
OG0000231	AENJA_15363	SCHMD23026
OG0000231	AENJA_08495	SCHMD24769, SCHMD25604
OG0000232	AENJA_22644, AENJA_08798, AENJA_08797	SCHMD14178, SCHMD02027
OG0000233	AENJA_01071	SCHMD05000
OG0000233	AENJA_04371	SCHMD01146, SCHMD07435, SCHMD22145
OG0000236	AENJA_25135	SCHMD00730
OG0000239	AENJA_09843	SCHMD18522
OG0000239	AENJA_06019	SCHMD03432
OG0000239	AENJA_09841	SCHMD06547
OG0000240	AENJA_19535	SCHMD06226, SCHMD00582
OG0000241	AENJA_22855, AENJA_24849	SCHMD13993
OG0000243	AENJA_26524	SCHMD12372
OG0000244	AENJA_02207	SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	AENJA_23370	SCHMD29765
OG0000246	AENJA_10538, AENJA_10539	SCHMD02140
OG0000246	AENJA_11679	SCHMD12291, SCHMD13657, SCHMD12290
