Orthogroup	AENJA_ok	XENTR
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	XENTR13705, XENTR13394, XENTR13393
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	XENTR00007
OG0000023	AENJA_06341	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	AENJA_07520, AENJA_17438	XENTR13097
OG0000023	AENJA_19909	XENTR05209, XENTR05210
OG0000023	AENJA_03895	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976
OG0000024	AENJA_19836, AENJA_22674, AENJA_01541	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488
OG0000026	AENJA_21657	XENTR07244, XENTR03079
OG0000030	AENJA_17283	XENTR18219
OG0000030	AENJA_12274	XENTR14147
OG0000031	AENJA_09856	XENTR05405, XENTR03766
OG0000031	AENJA_09858	XENTR08553, XENTR05384, XENTR03164
OG0000031	AENJA_20966	XENTR03163
OG0000031	AENJA_08759	XENTR09319
OG0000031	AENJA_10722	XENTR00229
OG0000031	AENJA_02955	XENTR02595, XENTR11133
OG0000031	AENJA_05740	XENTR12584, XENTR00918
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	XENTR00006, XENTR16792, XENTR04300
OG0000031	AENJA_15028	XENTR09425
OG0000032	AENJA_06514	XENTR06599
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	XENTR17016
OG0000032	AENJA_12283	XENTR03433
OG0000034	AENJA_21749	XENTR04943
OG0000034	AENJA_26717	XENTR11418, XENTR11419, XENTR10883, XENTR07417
OG0000034	AENJA_02791	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	AENJA_23686	XENTR15456
OG0000034	AENJA_13785	XENTR10156
OG0000034	AENJA_15701	XENTR16254
OG0000034	AENJA_16616	XENTR08340
OG0000035	AENJA_01174	XENTR05239
OG0000035	AENJA_22033	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	AENJA_08825	XENTR07648
OG0000035	AENJA_12732	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	AENJA_12364, AENJA_26037	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	AENJA_21683	XENTR13293, XENTR09857
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	XENTR07761, XENTR12415, XENTR07272
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	XENTR01038, XENTR15969
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	AENJA_20944	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	AENJA_05483, AENJA_06274	XENTR16580, XENTR14770, XENTR03861
OG0000037	AENJA_13632	XENTR10865, XENTR10696
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	XENTR18131
OG0000038	AENJA_00416	XENTR13297
OG0000038	AENJA_26313	XENTR04197, XENTR04200
OG0000038	AENJA_16130	XENTR04205
OG0000039	AENJA_10484, AENJA_20870, AENJA_17497	XENTR17227
OG0000039	AENJA_07945	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	AENJA_07277	XENTR17697
OG0000040	AENJA_07541, AENJA_11361	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	AENJA_08471	XENTR14135
OG0000041	AENJA_24560	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	AENJA_03404, AENJA_03405	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000044	AENJA_12079	XENTR08740, XENTR08871, XENTR02238, XENTR13100
OG0000044	AENJA_24602	XENTR04256
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	XENTR04959
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000048	AENJA_11619	XENTR01169
OG0000048	AENJA_23226	XENTR18412
OG0000048	AENJA_09360	XENTR04117
OG0000048	AENJA_16735, AENJA_16736	XENTR05160
OG0000049	AENJA_20702	XENTR00212, XENTR08482
OG0000049	AENJA_25756	XENTR07031, XENTR06401
OG0000050	AENJA_01528, AENJA_02355, AENJA_00087	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000052	AENJA_07437	XENTR09745, XENTR16766, XENTR16795
OG0000054	AENJA_06676, AENJA_23371	XENTR04962, XENTR04961
OG0000056	AENJA_20268	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000056	AENJA_05228	XENTR00781
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	XENTR04236, XENTR01413, XENTR01414
OG0000057	AENJA_11025	XENTR03679
OG0000058	AENJA_23345	XENTR11839
OG0000058	AENJA_12354	XENTR16040, XENTR02416, XENTR06707
OG0000059	AENJA_13132	XENTR09381
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	XENTR06961, XENTR16370
OG0000060	AENJA_17233	XENTR09513
OG0000060	AENJA_23597	XENTR11489, XENTR04114, XENTR08957
OG0000061	AENJA_07301	XENTR00116, XENTR05367
OG0000061	AENJA_07183	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288
OG0000061	AENJA_26614, AENJA_08766	XENTR10609, XENTR10747
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	XENTR09512
OG0000063	AENJA_20321	XENTR10234, XENTR04709, XENTR00319
OG0000063	AENJA_03789	XENTR11311
OG0000063	AENJA_04323	XENTR04708, XENTR15638
OG0000063	AENJA_26394	XENTR08048, XENTR02007, XENTR01303
OG0000066	AENJA_12655, AENJA_09505	XENTR18882
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	XENTR13783, XENTR04874
OG0000069	AENJA_15982	XENTR15529
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	XENTR15503, XENTR11143, XENTR02048
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834
OG0000072	AENJA_13128	XENTR03548, XENTR18546
OG0000072	AENJA_02450	XENTR01057
OG0000072	AENJA_25944, AENJA_05445	XENTR13152
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	XENTR10798, XENTR10797, XENTR11114
OG0000074	AENJA_24714	XENTR14396
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	XENTR07269, XENTR06689
OG0000075	AENJA_23745	XENTR02757, XENTR11353, XENTR12610
OG0000075	AENJA_18278	XENTR04178
OG0000075	AENJA_05831	XENTR09250
OG0000075	AENJA_21406	XENTR01223, XENTR05975
OG0000075	AENJA_12918	XENTR10723
OG0000075	AENJA_12839	XENTR05986, XENTR05987
OG0000077	AENJA_13107	XENTR06888, XENTR17790, XENTR02687
OG0000077	AENJA_07475	XENTR01904, XENTR08754, XENTR13403
OG0000077	AENJA_04661	XENTR13588
OG0000078	AENJA_06551	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000078	AENJA_26653	XENTR19100
OG0000079	AENJA_16186	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	AENJA_02482	XENTR08294, XENTR08293, XENTR03649
OG0000079	AENJA_17442	XENTR01194
OG0000079	AENJA_10507	XENTR15371
OG0000081	AENJA_04625, AENJA_04630, AENJA_04629	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317
OG0000082	AENJA_25747	XENTR01624, XENTR01625
OG0000083	AENJA_21795	XENTR04370, XENTR12084, XENTR05647
OG0000084	AENJA_24814	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
OG0000084	AENJA_24184	XENTR08804, XENTR16312, XENTR13487
OG0000085	AENJA_05556	XENTR01729, XENTR03138
OG0000085	AENJA_06487	XENTR04052, XENTR12507
OG0000085	AENJA_24493	XENTR15005
OG0000085	AENJA_20539	XENTR00809
OG0000085	AENJA_08917	XENTR12352, XENTR12351
OG0000087	AENJA_23251	XENTR17246
OG0000087	AENJA_19109	XENTR13447, XENTR13446
OG0000087	AENJA_19775	XENTR07023
OG0000087	AENJA_03163	XENTR10385
OG0000087	AENJA_19935	XENTR06016
OG0000087	AENJA_04374, AENJA_10299	XENTR00988
OG0000087	AENJA_20453	XENTR18799
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000090	AENJA_10145	XENTR11768
OG0000090	AENJA_01954	XENTR06545
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299	XENTR08624
OG0000094	AENJA_14582	XENTR10717, XENTR18065, XENTR15146
OG0000094	AENJA_26553	XENTR09915, XENTR14788, XENTR17591
OG0000096	AENJA_25727	XENTR02028, XENTR07076, XENTR03113
OG0000096	AENJA_21947	XENTR18613
OG0000096	AENJA_14053	XENTR17893
OG0000097	AENJA_19407, AENJA_02407	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700
OG0000098	AENJA_10136, AENJA_10137	XENTR05433, XENTR18578, XENTR17176
OG0000098	AENJA_22563, AENJA_15215	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	AENJA_07638, AENJA_14869	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540
OG0000099	AENJA_15326	XENTR08433
OG0000100	AENJA_12391	XENTR03308, XENTR15328
OG0000101	AENJA_26592	XENTR09885, XENTR05951
OG0000101	AENJA_06142	XENTR10544, XENTR10545
OG0000101	AENJA_14914, AENJA_21479, AENJA_11421	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000102	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164	XENTR10759, XENTR05530
OG0000102	AENJA_06075	XENTR17165, XENTR06155
OG0000103	AENJA_10812	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000103	AENJA_14367	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000104	AENJA_04107	XENTR05699, XENTR11871
OG0000104	AENJA_02684	XENTR03188, XENTR10251
OG0000104	AENJA_26666	XENTR11872, XENTR05698
OG0000106	AENJA_21591	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555
OG0000106	AENJA_13743	XENTR07802
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395	XENTR05910, XENTR12158, XENTR05297
OG0000108	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894	XENTR03238, XENTR11663, XENTR11664, XENTR06039
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055
OG0000116	AENJA_23563, AENJA_23564	XENTR12530
OG0000117	AENJA_02548	XENTR09867
OG0000119	AENJA_18357, AENJA_20512	XENTR05393, XENTR05242, XENTR06871
OG0000119	AENJA_08115, AENJA_08491	XENTR01125, XENTR14071
OG0000121	AENJA_09065	XENTR04902, XENTR18080
OG0000121	AENJA_07109, AENJA_25145	XENTR08396, XENTR08397
OG0000122	AENJA_09263	XENTR06907, XENTR17281
OG0000122	AENJA_14198	XENTR01730, XENTR03137, XENTR03802
OG0000123	AENJA_11261	XENTR09572, XENTR12457, XENTR17140
OG0000123	AENJA_22182	XENTR02182
OG0000123	AENJA_08161	XENTR06889, XENTR13577
OG0000123	AENJA_11939, AENJA_11934, AENJA_04063	XENTR10906
OG0000124	AENJA_03116, AENJA_25792	XENTR05926
OG0000124	AENJA_04495	XENTR10247, XENTR00962, XENTR04813
OG0000124	AENJA_09769, AENJA_03187	XENTR09248, XENTR09249
OG0000124	AENJA_26736	XENTR12958, XENTR01638
OG0000124	AENJA_05859	XENTR13084, XENTR11997
OG0000125	AENJA_09264	XENTR14097, XENTR01739
OG0000125	AENJA_18946	XENTR01735, XENTR14091, XENTR08560
OG0000125	AENJA_04836	XENTR01738, XENTR14098
OG0000125	AENJA_07272	XENTR05425
OG0000126	AENJA_24273	XENTR02718, XENTR02062, XENTR09023
OG0000126	AENJA_07507	XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000127	AENJA_11132	XENTR02720, XENTR03441, XENTR09025
OG0000127	AENJA_20308	XENTR10923, XENTR12718
OG0000127	AENJA_04153	XENTR18212
OG0000127	AENJA_17569	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893
OG0000127	AENJA_00497	XENTR01486, XENTR04784, XENTR07585
OG0000128	AENJA_22594, AENJA_22595	XENTR09496, XENTR10668
OG0000128	AENJA_07850, AENJA_17413, AENJA_26743	XENTR08486, XENTR08487
OG0000128	AENJA_21735	XENTR04418
OG0000129	AENJA_11469	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000129	AENJA_21737	XENTR14278, XENTR11921, XENTR18992, XENTR15519
OG0000129	AENJA_12119, AENJA_20942, AENJA_12123	XENTR06232
OG0000131	AENJA_13807, AENJA_21097	XENTR10944
OG0000131	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441	XENTR15258, XENTR16765, XENTR18163, XENTR17692, XENTR17693, XENTR17694, XENTR15254, XENTR03272
OG0000137	AENJA_26083	XENTR10738, XENTR07993, XENTR07994
OG0000137	AENJA_25528, AENJA_11173	XENTR11062, XENTR17418
OG0000137	AENJA_09533	XENTR10667
OG0000139	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830	XENTR06324
OG0000140	AENJA_01263	XENTR17095
OG0000140	AENJA_05753	XENTR11484
OG0000141	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407	XENTR13160
OG0000147	AENJA_03761	XENTR03268, XENTR13018
OG0000147	AENJA_12275	XENTR02156, XENTR12287
OG0000147	AENJA_03922	XENTR01301, XENTR12003
OG0000147	AENJA_10787	XENTR00602
OG0000147	AENJA_03843	XENTR15311
OG0000148	AENJA_21220	XENTR11222, XENTR06966, XENTR07952, XENTR02368
OG0000149	AENJA_12114	XENTR03422, XENTR03423
OG0000149	AENJA_12111, AENJA_03471, AENJA_12512	XENTR01442, XENTR00579
OG0000149	AENJA_18447	XENTR04855
OG0000151	AENJA_13408	XENTR04929, XENTR06165, XENTR12078, XENTR11745
OG0000151	AENJA_03698	XENTR06824, XENTR00446, XENTR00447
OG0000153	AENJA_14215	XENTR04393, XENTR14583, XENTR14584, XENTR14230
OG0000154	AENJA_18738	XENTR11406, XENTR12586
OG0000155	AENJA_20550	XENTR13673, XENTR05745, XENTR13672
OG0000157	AENJA_07142	XENTR09559
OG0000158	AENJA_06739	XENTR17930, XENTR04115, XENTR04631
OG0000159	AENJA_16647, AENJA_17890	XENTR09320, XENTR09321
OG0000159	AENJA_06073	XENTR07751
OG0000160	AENJA_06959	XENTR02472
OG0000160	AENJA_13005	XENTR00861, XENTR00862
OG0000162	AENJA_01578	XENTR19069
OG0000162	AENJA_09371	XENTR08764
OG0000163	AENJA_14266	XENTR03897, XENTR06574
OG0000163	AENJA_00250	XENTR17419
OG0000163	AENJA_14265	XENTR06573, XENTR03895
OG0000163	AENJA_02338	XENTR10844, XENTR07114, XENTR03341
OG0000164	AENJA_15219	XENTR03117, XENTR11443, XENTR03405, XENTR11930
OG0000166	AENJA_13257	XENTR01839
OG0000166	AENJA_16006	XENTR14691, XENTR00874, XENTR00875, XENTR00043, XENTR01855
OG0000167	AENJA_12329	XENTR13141
OG0000167	AENJA_12328	XENTR18214, XENTR04642, XENTR04643, XENTR03633, XENTR12761, XENTR09151, XENTR05471, XENTR02446, XENTR12175
OG0000168	AENJA_06793	XENTR11485, XENTR09871
OG0000168	AENJA_16549, AENJA_16551	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725
OG0000169	AENJA_25576, AENJA_16357, AENJA_16336	XENTR07575, XENTR17682, XENTR17683, XENTR17684, XENTR17885
OG0000171	AENJA_00267	XENTR12901
OG0000171	AENJA_26673, AENJA_26672	XENTR09537, XENTR13400, XENTR13399
OG0000171	AENJA_09998	XENTR05662
OG0000172	AENJA_19160, AENJA_21023	XENTR05272
OG0000172	AENJA_10078	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551
OG0000172	AENJA_18883, AENJA_11722, AENJA_15851, AENJA_11721, AENJA_21024	XENTR06583, XENTR15541
OG0000173	AENJA_13078, AENJA_25617, AENJA_18852	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902
OG0000174	AENJA_09684	XENTR18562, XENTR12376
OG0000174	AENJA_09689	XENTR02208, XENTR05576
OG0000174	AENJA_19122	XENTR05232
OG0000175	AENJA_06264, AENJA_00936, AENJA_00556	XENTR08289, XENTR15844
OG0000175	AENJA_05120	XENTR03000, XENTR09335, XENTR04649
OG0000179	AENJA_05305	XENTR01942
OG0000179	AENJA_25279	XENTR00560, XENTR12119
OG0000179	AENJA_20696	XENTR14437
OG0000179	AENJA_09174, AENJA_18216	XENTR05649
OG0000180	AENJA_10008, AENJA_06703	XENTR01179
OG0000180	AENJA_16046	XENTR00269
OG0000180	AENJA_19397	XENTR14458, XENTR09734, XENTR04382, XENTR05909
OG0000181	AENJA_08843	XENTR06217, XENTR12611, XENTR02755
OG0000181	AENJA_22272	XENTR06005
OG0000181	AENJA_05116, AENJA_18867, AENJA_18892	XENTR17190, XENTR17189, XENTR03816
OG0000183	AENJA_03852	XENTR02086, XENTR13524, XENTR16217
OG0000183	AENJA_18616	XENTR02643
OG0000183	AENJA_21091	XENTR02630
OG0000184	AENJA_19614, AENJA_08959, AENJA_22614	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929
OG0000185	AENJA_05818	XENTR06208, XENTR17890
OG0000185	AENJA_06437	XENTR09757, XENTR04609
OG0000185	AENJA_19885	XENTR12734
OG0000186	AENJA_06753	XENTR03039
OG0000188	AENJA_15378	XENTR02204, XENTR07576, XENTR05663
OG0000192	AENJA_20612	XENTR01061
OG0000192	AENJA_06675	XENTR03994, XENTR04308
OG0000192	AENJA_19694	XENTR16408
