Orthogroup	SCHMD	XENTR
OG0000035	SCHMD15627, SCHMD19701	XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	XENTR07761, XENTR12415, XENTR07272
OG0000037	SCHMD19933	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	XENTR10865, XENTR10696
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	XENTR18131
OG0000038	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983	XENTR04197, XENTR04200
OG0000039	SCHMD12270	XENTR03946, XENTR03945, XENTR17227, XENTR01241, XENTR01240, XENTR01239, XENTR01242, XENTR17697
OG0000041	SCHMD08254	XENTR14135
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	XENTR03001, XENTR09331
OG0000043	SCHMD00424	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664
OG0000043	SCHMD29206, SCHMD09758	XENTR13561, XENTR13559
OG0000049	SCHMD22370	XENTR07960
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	XENTR08842
OG0000058	SCHMD04270	XENTR11839
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	XENTR16220
OG0000060	SCHMD03062	XENTR11489, XENTR04114, XENTR08957
OG0000061	SCHMD24930	XENTR00116, XENTR05367
OG0000061	SCHMD11039	XENTR10609, XENTR10747
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	XENTR06154, XENTR13824, XENTR13820, XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203, XENTR15531, XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496, XENTR09512
OG0000063	SCHMD04855	XENTR10234, XENTR04709, XENTR00319
OG0000063	SCHMD09653	XENTR11311
OG0000063	SCHMD24452	XENTR04708
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	SCHMD06030	XENTR18882
OG0000069	SCHMD05798, SCHMD12262	XENTR16269
OG0000070	SCHMD06745	XENTR15503, XENTR11143, XENTR02048
OG0000072	SCHMD10090	XENTR15041, XENTR13953
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	XENTR03608, XENTR03610, XENTR03611, XENTR03612
OG0000075	SCHMD10965	XENTR14285, XENTR05936
OG0000075	SCHMD03704	XENTR01223, XENTR05975
OG0000075	SCHMD21424	XENTR10723
OG0000077	SCHMD17571	XENTR06888, XENTR17790, XENTR02687
OG0000077	SCHMD23576	XENTR01904, XENTR08754, XENTR13403
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	XENTR07875, XENTR00642, XENTR04757
OG0000078	SCHMD04824, SCHMD04525	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	XENTR08294, XENTR08293, XENTR03649
OG0000079	SCHMD06941, SCHMD04736	XENTR15371
OG0000080	SCHMD10387, SCHMD06434	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066
OG0000082	SCHMD03263, SCHMD10119	XENTR16096
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	XENTR10095, XENTR10628
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
OG0000085	SCHMD12836	XENTR04052, XENTR12507
OG0000085	SCHMD12466	XENTR15005
OG0000085	SCHMD18327	XENTR00809
OG0000087	SCHMD09399, SCHMD09405, SCHMD09406	XENTR17246
OG0000087	SCHMD25358	XENTR13447, XENTR13446
OG0000087	SCHMD03393, SCHMD23919	XENTR10385
OG0000087	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	XENTR18799
OG0000087	SCHMD07337	XENTR00376
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	XENTR11592, XENTR02843, XENTR08380
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088	XENTR18065
OG0000094	SCHMD18376, SCHMD14753	XENTR15146
OG0000094	SCHMD26804	XENTR18157
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	XENTR09915, XENTR14788, XENTR17591
OG0000096	SCHMD07753	XENTR02339, XENTR11518
OG0000096	SCHMD10033	XENTR16018, XENTR14119, XENTR17893
OG0000097	SCHMD22037, SCHMD20326	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700
OG0000098	SCHMD29644, SCHMD22119	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540
OG0000099	SCHMD14698, SCHMD05542	XENTR08433
OG0000103	SCHMD29081, SCHMD19673	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000103	SCHMD08147	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555, XENTR07802, XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297
OG0000107	SCHMD04920	XENTR16492
OG0000107	SCHMD11257	XENTR07772
OG0000113	SCHMD06629, SCHMD02664	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055
OG0000119	SCHMD02911	XENTR05393, XENTR05242, XENTR06871, XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933, XENTR01125, XENTR14071
OG0000121	SCHMD07020	XENTR08397
OG0000122	SCHMD16641, SCHMD09849	XENTR01730, XENTR03137, XENTR03802
OG0000124	SCHMD10270, SCHMD10271	XENTR05926, XENTR10247, XENTR00962, XENTR04813
OG0000124	SCHMD08774	XENTR09248, XENTR09249
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	XENTR03459, XENTR13788, XENTR00416
OG0000126	SCHMD24144	XENTR09023
OG0000126	SCHMD01813, SCHMD04253	XENTR14632, XENTR03466
OG0000127	SCHMD03781	XENTR10923, XENTR12718
OG0000128	SCHMD25789, SCHMD19594	XENTR09496, XENTR10668, XENTR08486, XENTR08487
OG0000128	SCHMD29825	XENTR04418
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	XENTR14286
OG0000129	SCHMD20816, SCHMD05405	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000129	SCHMD03224	XENTR14278, XENTR11921, XENTR18992, XENTR15519
OG0000130	SCHMD17609	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979, XENTR07151, XENTR03234, XENTR02051, XENTR08843, XENTR10120
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255
OG0000137	SCHMD04306	XENTR04900
OG0000137	SCHMD09558	XENTR10667
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	XENTR06324
OG0000140	SCHMD01677	XENTR11484
OG0000147	SCHMD11019	XENTR03268, XENTR13018
OG0000147	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025	XENTR12286
OG0000147	SCHMD11968	XENTR02156, XENTR12287
OG0000148	SCHMD08056	XENTR11222, XENTR06966, XENTR07952, XENTR02368
OG0000149	SCHMD06205, SCHMD05440	XENTR01442, XENTR00579
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142
OG0000151	SCHMD02747, SCHMD12342	XENTR06824, XENTR00446, XENTR00447, XENTR18335
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	XENTR04393, XENTR14583, XENTR14584, XENTR14230
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	XENTR03823
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	XENTR18176
OG0000155	SCHMD13125	XENTR13673, XENTR05745, XENTR13672
OG0000157	SCHMD03548, SCHMD06363	XENTR09579, XENTR08086
OG0000157	SCHMD01802	XENTR09559
OG0000158	SCHMD18936	XENTR17930, XENTR04115, XENTR04631
OG0000158	SCHMD15100, SCHMD15049	XENTR14207, XENTR14206, XENTR14205
OG0000159	SCHMD26601, SCHMD09606	XENTR09320, XENTR09321
OG0000159	SCHMD14942	XENTR09386, XENTR07751
OG0000162	SCHMD01637	XENTR19069
OG0000162	SCHMD08936, SCHMD26694	XENTR08764
OG0000163	SCHMD23090	XENTR03897, XENTR06574, XENTR17419, XENTR06573, XENTR03895
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	XENTR10844, XENTR07114, XENTR03341
OG0000166	SCHMD15704, SCHMD08401	XENTR01839
OG0000167	SCHMD16214, SCHMD15187	XENTR16865, XENTR16863
OG0000167	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	XENTR13141
OG0000171	SCHMD26790, SCHMD13950	XENTR10513, XENTR07909
OG0000174	SCHMD09838	XENTR02208, XENTR05576
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	XENTR05232
OG0000175	SCHMD18439, SCHMD17544	XENTR08289, XENTR15844, XENTR03000, XENTR09335, XENTR04649
OG0000179	SCHMD11075	XENTR01942
OG0000179	SCHMD01320	XENTR00560, XENTR12119
OG0000179	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468	XENTR14437
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	XENTR06217, XENTR12611, XENTR02755
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	XENTR17190, XENTR17189, XENTR03816
OG0000181	SCHMD20053, SCHMD26119	XENTR07239, XENTR03077
OG0000182	SCHMD07603	XENTR14471
OG0000183	SCHMD21103, SCHMD28756	XENTR02086, XENTR13524, XENTR16217
OG0000183	SCHMD12130, SCHMD10333	XENTR02643, XENTR17355, XENTR02630
OG0000188	SCHMD07258	XENTR00085
OG0000188	SCHMD04013	XENTR09997, XENTR04456
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	XENTR01061, XENTR03994, XENTR04308
OG0000194	SCHMD11912, SCHMD12565	XENTR14824, XENTR18660, XENTR00280, XENTR10034
OG0000195	SCHMD06851	XENTR11322, XENTR09909, XENTR17326
OG0000195	SCHMD06771	XENTR19159
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201
OG0000199	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974	XENTR07547, XENTR03662, XENTR03661, XENTR18903, XENTR03663, XENTR13756, XENTR13759, XENTR03660, XENTR03657, XENTR03659, XENTR19107, XENTR13755, XENTR19071, XENTR19279, XENTR19212, XENTR13752, XENTR13754, XENTR13753
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	XENTR00252
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	XENTR16600, XENTR16601, XENTR04781
OG0000201	SCHMD00317, SCHMD09035	XENTR04564
OG0000201	SCHMD10520	XENTR12187, XENTR00868
OG0000202	SCHMD09501	XENTR07901
OG0000203	SCHMD13221	XENTR04908, XENTR08192, XENTR07634
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	XENTR12959, XENTR05519
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	XENTR16886, XENTR01752, XENTR14923
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	XENTR18445, XENTR10749, XENTR03131
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	XENTR12375, XENTR19252
OG0000210	SCHMD24015	XENTR04415
OG0000211	SCHMD21436	XENTR00605
OG0000215	SCHMD15383	XENTR01627, XENTR06477
OG0000215	SCHMD27729, SCHMD15945	XENTR04188
OG0000218	SCHMD01527	XENTR06015
OG0000220	SCHMD07645	XENTR15742
OG0000221	SCHMD10720	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885
OG0000222	SCHMD21612, SCHMD08502	XENTR18094, XENTR09636, XENTR09635
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000227	SCHMD05742, SCHMD06927	XENTR12301, XENTR12302
OG0000227	SCHMD26170	XENTR16453
OG0000227	SCHMD05353	XENTR15725, XENTR05302, XENTR05301
OG0000227	SCHMD04380	XENTR00522, XENTR04987
OG0000230	SCHMD23835, SCHMD14315	XENTR08030, XENTR08029
OG0000231	SCHMD15225, SCHMD17377	XENTR12600, XENTR00418, XENTR03456, XENTR16995
OG0000231	SCHMD24769, SCHMD25604	XENTR00474, XENTR12545
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	XENTR14531
OG0000235	SCHMD29163	XENTR03491, XENTR04363, XENTR04213, XENTR04161
OG0000236	SCHMD00730	XENTR04703
OG0000239	SCHMD18522	XENTR02896, XENTR08392
OG0000239	SCHMD03432	XENTR09596
OG0000239	SCHMD06547	XENTR06920, XENTR03351
OG0000242	SCHMD20260	XENTR19139, XENTR02853
OG0000244	SCHMD21826	XENTR01354
OG0000246	SCHMD02140	XENTR05669
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	XENTR12561
OG0000250	SCHMD07715, SCHMD11126	XENTR02680
OG0000250	SCHMD11127	XENTR02681
OG0000250	SCHMD00165	XENTR13730
OG0000250	SCHMD03762, SCHMD05189	XENTR18990
OG0000251	SCHMD28872	XENTR09634
OG0000255	SCHMD14618, SCHMD25034	XENTR09255
OG0000256	SCHMD06220	XENTR18908
OG0000258	SCHMD19345	XENTR01829
OG0000260	SCHMD00231	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330
OG0000263	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150	XENTR08076
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	XENTR04690
OG0000265	SCHMD18240, SCHMD09007	XENTR16783
OG0000266	SCHMD11802	XENTR19182
OG0000268	SCHMD25441	XENTR08601, XENTR08600, XENTR12203
OG0000270	SCHMD16423	XENTR15949, XENTR01261
OG0000272	SCHMD13324, SCHMD08067	XENTR12139, XENTR00222, XENTR10866, XENTR04026, XENTR00876
OG0000273	SCHMD09689	XENTR05880
OG0000275	SCHMD08209, SCHMD24873	XENTR08145, XENTR07453, XENTR01933
OG0000277	SCHMD09439	XENTR14696, XENTR01190
OG0000278	SCHMD04708, SCHMD14538	XENTR09088
OG0000280	SCHMD23115	XENTR09398, XENTR05286
OG0000281	SCHMD28123, SCHMD29220	XENTR11395, XENTR11394, XENTR00724, XENTR17839, XENTR12423, XENTR05941, XENTR08165
OG0000282	SCHMD05137	XENTR02925, XENTR13973
OG0000282	SCHMD15635, SCHMD25636	XENTR07444
OG0000282	SCHMD25893	XENTR13582
OG0000284	SCHMD23360, SCHMD08213	XENTR07786, XENTR15522, XENTR13217
OG0000287	SCHMD20375, SCHMD22052, SCHMD09584, SCHMD21912, SCHMD24074, SCHMD15817, SCHMD20976, SCHMD00675, SCHMD16477, SCHMD24758, SCHMD25574	XENTR09170
OG0000288	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061	XENTR03004, XENTR07811, XENTR01416, XENTR09626, XENTR07805
OG0000289	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163	XENTR00324, XENTR04766
OG0000295	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695	XENTR01672
OG0000299	SCHMD13170, SCHMD20344	XENTR10892, XENTR10893, XENTR02454, XENTR12999, XENTR07989
OG0000303	SCHMD12943, SCHMD06255, SCHMD11348	XENTR17264
OG0000305	SCHMD22293	XENTR15555
OG0000305	SCHMD04764	XENTR05359
OG0000305	SCHMD01975	XENTR04162, XENTR07218
OG0000308	SCHMD26369	XENTR05341, XENTR03132, XENTR11682, XENTR17432
OG0000308	SCHMD14069, SCHMD01003, SCHMD00895	XENTR06275
OG0000310	SCHMD09298, SCHMD11775	XENTR02307, XENTR02306
OG0000313	SCHMD03134	XENTR04895, XENTR02724, XENTR08592
OG0000315	SCHMD06241	XENTR03674
OG0000315	SCHMD17654	XENTR04204, XENTR06293
OG0000315	SCHMD01939	XENTR02373
OG0000316	SCHMD10536, SCHMD22735	XENTR07574, XENTR05658
OG0000316	SCHMD10615, SCHMD19154	XENTR00550, XENTR11533
OG0000317	SCHMD15845	XENTR13934, XENTR13686, XENTR00225
OG0000319	SCHMD18991	XENTR04637
OG0000319	SCHMD18992	XENTR04638
OG0000319	SCHMD16069	XENTR08302
OG0000320	SCHMD20182	XENTR10555
OG0000321	SCHMD10046	XENTR04726
OG0000321	SCHMD04699, SCHMD05278	XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907
OG0000322	SCHMD03845, SCHMD03842	XENTR06441, XENTR17956, XENTR02845
OG0000323	SCHMD21571, SCHMD14125	XENTR18280
OG0000325	SCHMD10722, SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721, SCHMD23725, SCHMD23881, SCHMD17816	XENTR07161
OG0000326	SCHMD05388, SCHMD24730	XENTR10133, XENTR03102, XENTR17122
OG0000326	SCHMD29727	XENTR16483
OG0000329	SCHMD12472, SCHMD24777, SCHMD26844, SCHMD15152	XENTR05224, XENTR13205, XENTR13637, XENTR14193
OG0000332	SCHMD26513, SCHMD25129, SCHMD25620, SCHMD25799, SCHMD18311	XENTR14310, XENTR07549
OG0000333	SCHMD26037, SCHMD21228	XENTR16826
OG0000338	SCHMD23566, SCHMD22193	XENTR03666, XENTR00810, XENTR00811, XENTR03279
OG0000338	SCHMD17969	XENTR12945
OG0000339	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027	XENTR06902, XENTR11218
OG0000343	SCHMD10731, SCHMD08099	XENTR11384, XENTR11385, XENTR00663, XENTR09712
OG0000346	SCHMD26404	XENTR17511, XENTR00075, XENTR04734
OG0000350	SCHMD23543	XENTR14747, XENTR16793, XENTR09038, XENTR12529
OG0000352	SCHMD07814	XENTR04727, XENTR11543, XENTR14779
OG0000352	SCHMD03216	XENTR11161, XENTR18553
OG0000353	SCHMD09276, SCHMD00283, SCHMD07604	XENTR02225
OG0000356	SCHMD05389, SCHMD00245	XENTR07422
OG0000357	SCHMD22062, SCHMD19961	XENTR15991, XENTR10312, XENTR11352, XENTR14897
OG0000357	SCHMD01155	XENTR15970, XENTR17586, XENTR08879, XENTR13168
OG0000358	SCHMD28430, SCHMD13052, SCHMD26873	XENTR09276
