Orthogroup	SCHMD	HELIO_ok
OG0000017	SCHMD13346	HELIO_09340, HELIO_04056, HELIO_08729, HELIO_04627, HELIO_04574, HELIO_08140, HELIO_07705, HELIO_06230, HELIO_06928, HELIO_05297, HELIO_04933, HELIO_07129, HELIO_03953, HELIO_10213, HELIO_05211, HELIO_06568
OG0000020	SCHMD09886	HELIO_08119
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	HELIO_12285
OG0000021	SCHMD05055, SCHMD22715, SCHMD07894	HELIO_00817
OG0000021	SCHMD10526, SCHMD19498	HELIO_01018
OG0000021	SCHMD09793, SCHMD07893	HELIO_09286
OG0000022	SCHMD24329, SCHMD24328	HELIO_07323
OG0000023	SCHMD05376	HELIO_07600, HELIO_09870
OG0000026	SCHMD22460	HELIO_09541
OG0000028	SCHMD01093	HELIO_10800
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	HELIO_06962
OG0000028	SCHMD22912, SCHMD03422	HELIO_00147
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	HELIO_06306
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	HELIO_10546, HELIO_00115
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	HELIO_04525, HELIO_09505
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	HELIO_06719
OG0000031	SCHMD16950	HELIO_00475, HELIO_11237
OG0000031	SCHMD11094	HELIO_10166
OG0000031	SCHMD00185	HELIO_11573, HELIO_11428
OG0000031	SCHMD17865	HELIO_00638, HELIO_00007, HELIO_08452
OG0000032	SCHMD05709, SCHMD01866	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198
OG0000034	SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000	HELIO_11044
OG0000034	SCHMD13190, SCHMD26745	HELIO_03041, HELIO_03040
OG0000034	SCHMD11160, SCHMD18247	HELIO_10910
OG0000034	SCHMD04875	HELIO_05981
OG0000035	SCHMD06303	HELIO_06273
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	HELIO_04621
OG0000035	SCHMD15627, SCHMD19701	HELIO_00732, HELIO_11539
OG0000037	SCHMD19933	HELIO_04596, HELIO_02436, HELIO_07508, HELIO_06312, HELIO_10715, HELIO_01421
OG0000037	SCHMD00542, SCHMD17538	HELIO_01377
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	HELIO_04770
OG0000037	SCHMD26619	HELIO_09574, HELIO_11062, HELIO_01380
OG0000039	SCHMD12270	HELIO_01180, HELIO_07214, HELIO_00133, HELIO_10409
OG0000043	SCHMD11455	HELIO_04067, HELIO_00563
OG0000043	SCHMD29206, SCHMD09758	HELIO_03541
OG0000044	SCHMD21748	HELIO_07264
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	HELIO_05826, HELIO_06221
OG0000048	SCHMD19708, SCHMD13779	HELIO_11103
OG0000049	SCHMD26352	HELIO_02366
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844
OG0000057	SCHMD08094	HELIO_07020
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210	HELIO_09805
OG0000060	SCHMD17528	HELIO_11213
OG0000060	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987	HELIO_01698, HELIO_08930, HELIO_10260
OG0000060	SCHMD03062	HELIO_12113
OG0000061	SCHMD24930	HELIO_11204
OG0000061	SCHMD11039	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	HELIO_01760, HELIO_09809, HELIO_08709, HELIO_06316
OG0000063	SCHMD04855	HELIO_10147
OG0000063	SCHMD09653	HELIO_12629
OG0000066	SCHMD02363	HELIO_02871
OG0000066	SCHMD06601	HELIO_08302
OG0000066	SCHMD06030	HELIO_11387
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	HELIO_09524, HELIO_08964
OG0000071	SCHMD08674, SCHMD04226	HELIO_04987, HELIO_11295
OG0000075	SCHMD21424	HELIO_09567
OG0000077	SCHMD17571	HELIO_05657
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	HELIO_00295
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	HELIO_11466
OG0000078	SCHMD04824, SCHMD04525	HELIO_04314, HELIO_00570
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	HELIO_01794, HELIO_05740
OG0000079	SCHMD06941, SCHMD04736	HELIO_01744, HELIO_07509
OG0000080	SCHMD10387, SCHMD06434	HELIO_10367, HELIO_08678, HELIO_04917, HELIO_06961, HELIO_06750, HELIO_05591, HELIO_07354, HELIO_07366, HELIO_06819, HELIO_04053, HELIO_10760, HELIO_07099, HELIO_10773, HELIO_07512
OG0000082	SCHMD03263, SCHMD10119	HELIO_12249
OG0000082	SCHMD24007, SCHMD15475, SCHMD16819, SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210	HELIO_05158
OG0000083	SCHMD16633	HELIO_10428
OG0000085	SCHMD12836	HELIO_05344
OG0000087	SCHMD09399	HELIO_02848
OG0000087	SCHMD09405	HELIO_02847
OG0000087	SCHMD09406	HELIO_02846
OG0000087	SCHMD03394	HELIO_10321
OG0000087	SCHMD21804, SCHMD25814	HELIO_02061
OG0000087	SCHMD17003, SCHMD07336	HELIO_06411, HELIO_07580
OG0000090	SCHMD10805, SCHMD21388	HELIO_04390
OG0000090	SCHMD06769	HELIO_09255, HELIO_00241
OG0000093	SCHMD04238	HELIO_00044
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	HELIO_04928, HELIO_06889
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	HELIO_07015
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	HELIO_03878
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942	HELIO_07611
OG0000096	SCHMD07753	HELIO_03681
OG0000096	SCHMD10033	HELIO_09595
OG0000097	SCHMD22037, SCHMD20326	HELIO_06145, HELIO_05308, HELIO_02542, HELIO_05671, HELIO_04942
OG0000098	SCHMD29644, SCHMD22119	HELIO_00467, HELIO_11416
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	HELIO_00318, HELIO_06995
OG0000099	SCHMD05542	HELIO_00319
OG0000103	SCHMD29081, SCHMD19673	HELIO_03996
OG0000103	SCHMD08147	HELIO_12543
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	HELIO_02364, HELIO_07474, HELIO_05614, HELIO_10877
OG0000110	SCHMD11887	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000113	SCHMD06629, SCHMD02664	HELIO_06754
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	HELIO_10462, HELIO_00027, HELIO_06292
OG0000116	SCHMD19105	HELIO_07865
OG0000117	SCHMD24345, SCHMD14483, SCHMD27351	HELIO_12672
OG0000119	SCHMD02911	HELIO_09291, HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015, HELIO_08423, HELIO_01329
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849	HELIO_00601, HELIO_11330
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	HELIO_00165
OG0000123	SCHMD07646	HELIO_06757
OG0000123	SCHMD22122, SCHMD14008	HELIO_10689
OG0000124	SCHMD10270, SCHMD10271	HELIO_02264, HELIO_07531
OG0000124	SCHMD08774	HELIO_08965
OG0000126	SCHMD24144	HELIO_05678
OG0000126	SCHMD06494	HELIO_07534
OG0000126	SCHMD01813, SCHMD04253	HELIO_02617
OG0000127	SCHMD03781	HELIO_04203
OG0000128	SCHMD25789, SCHMD19594	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974
OG0000128	SCHMD29825	HELIO_00789
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	HELIO_08318
OG0000129	SCHMD05405	HELIO_05477
OG0000129	SCHMD03224	HELIO_12045
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	HELIO_02084, HELIO_02083, HELIO_03711
OG0000137	SCHMD09558	HELIO_01589, HELIO_12262
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	HELIO_07399
OG0000148	SCHMD08056	HELIO_01322
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	HELIO_01067
OG0000151	SCHMD02747, SCHMD12342	HELIO_11427
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	HELIO_02785
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	HELIO_06336
OG0000155	SCHMD13125	HELIO_10305
OG0000157	SCHMD03548, SCHMD06363	HELIO_02764
OG0000157	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	HELIO_02898
OG0000158	SCHMD18936	HELIO_05890
OG0000159	SCHMD26601, SCHMD09606	HELIO_11077
OG0000159	SCHMD14942	HELIO_03934, HELIO_05434, HELIO_10044, HELIO_03988, HELIO_03474, HELIO_03938, HELIO_06538, HELIO_00861, HELIO_05361, HELIO_09054, HELIO_07755, HELIO_07071, HELIO_00285, HELIO_10509
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	HELIO_06133
OG0000162	SCHMD01637	HELIO_02633
OG0000163	SCHMD23090	HELIO_05553, HELIO_10661, HELIO_02290
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	HELIO_07317
OG0000166	SCHMD08400	HELIO_10168
OG0000166	SCHMD15704, SCHMD08401	HELIO_00134, HELIO_00135
OG0000169	SCHMD00387	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257
OG0000174	SCHMD09838	HELIO_01069
OG0000174	SCHMD08354, SCHMD22729	HELIO_01831, HELIO_10694
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520	HELIO_01966
OG0000175	SCHMD18439, SCHMD17544	HELIO_02535, HELIO_08923, HELIO_05633, HELIO_11471
OG0000179	SCHMD11075	HELIO_05015
OG0000179	SCHMD01320	HELIO_04929
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	HELIO_11084, HELIO_06953
OG0000181	SCHMD11453	HELIO_03461, HELIO_03460
OG0000182	SCHMD07603	HELIO_06024
OG0000183	SCHMD21103, SCHMD28756	HELIO_03106, HELIO_07785
OG0000183	SCHMD12130, SCHMD10333	HELIO_12279, HELIO_02987
OG0000186	SCHMD07850, SCHMD22114, SCHMD12081	HELIO_02314
OG0000186	SCHMD11605	HELIO_02377
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	HELIO_08116, HELIO_04385
OG0000194	SCHMD11912, SCHMD12565	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980
OG0000195	SCHMD06851	HELIO_05982
OG0000195	SCHMD06771	HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	HELIO_03884
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	HELIO_03794
OG0000201	SCHMD00317, SCHMD09035	HELIO_11591, HELIO_07497
OG0000201	SCHMD10520	HELIO_09400
OG0000203	SCHMD13221	HELIO_11397
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	HELIO_05116
OG0000205	SCHMD14902, SCHMD14453	HELIO_00076
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	HELIO_00236
OG0000205	SCHMD07996	HELIO_07450
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	HELIO_08975
OG0000209	SCHMD02092	HELIO_09875
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	HELIO_02498, HELIO_11016, HELIO_10527, HELIO_02703, HELIO_08784
OG0000210	SCHMD24015	HELIO_12121
OG0000211	SCHMD21436	HELIO_00554
OG0000215	SCHMD15383	HELIO_03905
OG0000218	SCHMD01527	HELIO_12321
OG0000220	SCHMD07645	HELIO_04300, HELIO_10035, HELIO_12042
OG0000221	SCHMD10720	HELIO_06860, HELIO_10767, HELIO_06340
OG0000222	SCHMD21612, SCHMD08502	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113
OG0000223	SCHMD02890, SCHMD03920	HELIO_08605
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493	HELIO_07967
OG0000223	SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565	HELIO_04535
OG0000223	SCHMD02892	HELIO_08604
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	HELIO_03666, HELIO_05507, HELIO_12455
OG0000225	SCHMD18925, SCHMD18924	HELIO_12454
OG0000227	SCHMD04380	HELIO_06498, HELIO_04590
OG0000230	SCHMD23835, SCHMD14315	HELIO_01183
OG0000231	SCHMD23026	HELIO_05053
OG0000231	SCHMD24769, SCHMD25604	HELIO_00476
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	HELIO_09993
OG0000236	SCHMD00730	HELIO_10807
OG0000239	SCHMD18522	HELIO_09847
OG0000239	SCHMD03432	HELIO_06585
OG0000239	SCHMD06547	HELIO_09876
OG0000240	SCHMD06226, SCHMD00582	HELIO_07617
OG0000242	SCHMD20260	HELIO_01488
OG0000243	SCHMD17682, SCHMD15912, SCHMD11668	HELIO_11310
OG0000244	SCHMD21826	HELIO_03531, HELIO_03532
OG0000244	SCHMD15740, SCHMD18441, SCHMD21827	HELIO_12702
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	HELIO_12542
OG0000250	SCHMD07715, SCHMD11126	HELIO_03230
OG0000250	SCHMD00165	HELIO_09216
OG0000255	SCHMD14618, SCHMD25034	HELIO_11786
OG0000256	SCHMD06220	HELIO_11169
OG0000258	SCHMD00959	HELIO_01832
OG0000260	SCHMD00231	HELIO_02123, HELIO_12046
OG0000261	SCHMD06264, SCHMD17166	HELIO_10678
OG0000263	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150	HELIO_05578, HELIO_08363, HELIO_05846, HELIO_05963, HELIO_01532, HELIO_11244, HELIO_09948
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	HELIO_10981
OG0000265	SCHMD18240, SCHMD09007	HELIO_02949
OG0000268	SCHMD08097	HELIO_09456
OG0000268	SCHMD25441	HELIO_11907
OG0000269	SCHMD02382, SCHMD21902	HELIO_06264
OG0000270	SCHMD16423	HELIO_11284
OG0000272	SCHMD13324, SCHMD08067	HELIO_06926
OG0000273	SCHMD09689	HELIO_05150
OG0000273	SCHMD18528, SCHMD25490	HELIO_03083
OG0000275	SCHMD08209, SCHMD24873	HELIO_08804
OG0000277	SCHMD09439	HELIO_01369
OG0000280	SCHMD23189	HELIO_10700
OG0000280	SCHMD23115	HELIO_02582
OG0000281	SCHMD28123, SCHMD29220	HELIO_07402
OG0000282	SCHMD05137	HELIO_10802
OG0000284	SCHMD23360, SCHMD08213	HELIO_09271, HELIO_08507, HELIO_03356
OG0000285	SCHMD29037	HELIO_08936
OG0000288	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061	HELIO_01393
OG0000289	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163	HELIO_07121
OG0000289	SCHMD23289, SCHMD16353	HELIO_04864
OG0000289	SCHMD22750	HELIO_08142
OG0000295	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695	HELIO_05051
OG0000299	SCHMD13170, SCHMD20344	HELIO_09503
OG0000305	SCHMD22293	HELIO_11091
OG0000305	SCHMD04764	HELIO_04494
OG0000305	SCHMD01975	HELIO_11371
OG0000306	SCHMD02490, SCHMD21359, SCHMD02963, SCHMD23914, SCHMD02489, SCHMD17729	HELIO_09402
OG0000308	SCHMD26369	HELIO_09361, HELIO_07835
OG0000308	SCHMD01003, SCHMD00895	HELIO_05751
OG0000310	SCHMD09298, SCHMD11775	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589
OG0000313	SCHMD03134	HELIO_06905, HELIO_11614
OG0000315	SCHMD06241	HELIO_08178
OG0000315	SCHMD17654	HELIO_09319
OG0000315	SCHMD01939	HELIO_06387
OG0000316	SCHMD10536, SCHMD22735	HELIO_00705
OG0000316	SCHMD10615, SCHMD19154	HELIO_01356
OG0000317	SCHMD21750, SCHMD18883, SCHMD04765	HELIO_07279
OG0000317	SCHMD15845	HELIO_09420
OG0000319	SCHMD18992	HELIO_06272, HELIO_00545
OG0000319	SCHMD16069	HELIO_04456, HELIO_04612, HELIO_10441, HELIO_04762
OG0000321	SCHMD10046	HELIO_08196
OG0000321	SCHMD04699, SCHMD05278	HELIO_08301
OG0000322	SCHMD03845, SCHMD03842	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778
OG0000323	SCHMD21571, SCHMD14125	HELIO_07979
OG0000325	SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721	HELIO_12606
OG0000325	SCHMD23725, SCHMD23881, SCHMD17816	HELIO_12089
OG0000326	SCHMD29727	HELIO_08613
OG0000328	SCHMD07101, SCHMD21088, SCHMD28818, SCHMD15355, SCHMD24247, SCHMD15304	HELIO_12519
OG0000333	SCHMD26037, SCHMD21228	HELIO_00226
OG0000338	SCHMD23566, SCHMD22193	HELIO_11240, HELIO_09261
OG0000338	SCHMD17969	HELIO_11115
OG0000339	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027	HELIO_05723, HELIO_01207
OG0000341	SCHMD01892, SCHMD01891, SCHMD01893	HELIO_08174, HELIO_08173
OG0000343	SCHMD10731, SCHMD08099	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075
OG0000346	SCHMD26404	HELIO_07117, HELIO_02859
OG0000350	SCHMD23543	HELIO_10189, HELIO_09346
OG0000352	SCHMD07814	HELIO_07849
OG0000352	SCHMD03216	HELIO_02109, HELIO_10654
OG0000353	SCHMD00282, SCHMD11621	HELIO_00605
OG0000356	SCHMD05389	HELIO_09257
OG0000357	SCHMD22062, SCHMD19961	HELIO_02302, HELIO_12008
OG0000357	SCHMD01155	HELIO_04303
OG0000358	SCHMD28430, SCHMD13052, SCHMD26873	HELIO_08162
OG0000360	SCHMD00611, SCHMD06046	HELIO_03033
OG0000360	SCHMD06047	HELIO_05668, HELIO_09290
OG0000365	SCHMD22496, SCHMD22435, SCHMD28326	HELIO_04794
OG0000367	SCHMD09947	HELIO_11366, HELIO_00864
OG0000372	SCHMD11546	HELIO_09904
OG0000372	SCHMD21831, SCHMD11336	HELIO_08215
OG0000373	SCHMD08646, SCHMD00201	HELIO_07356
OG0000374	SCHMD04677, SCHMD23864	HELIO_07571
OG0000375	SCHMD00715	HELIO_02630
OG0000378	SCHMD07011, SCHMD12188	HELIO_00664
OG0000378	SCHMD05583	HELIO_01804
OG0000379	SCHMD22438, SCHMD05351	HELIO_02753
OG0000379	SCHMD04410, SCHMD04728, SCHMD09077, SCHMD07990	HELIO_09413
OG0000379	SCHMD09123, SCHMD25695	HELIO_10769
OG0000379	SCHMD18189, SCHMD00174	HELIO_01951
OG0000380	SCHMD21526	HELIO_03707
OG0000381	SCHMD27041	HELIO_00204
OG0000382	SCHMD02292	HELIO_06591
OG0000384	SCHMD19488, SCHMD18051	HELIO_00671
OG0000385	SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491	HELIO_00841
OG0000389	SCHMD03232, SCHMD09731	HELIO_05126, HELIO_04723, HELIO_01825
OG0000390	SCHMD02401, SCHMD19098	HELIO_11470, HELIO_06676
OG0000392	SCHMD08120	HELIO_05710, HELIO_07226
OG0000393	SCHMD10497	HELIO_07006
OG0000397	SCHMD04641	HELIO_10979
OG0000399	SCHMD23059	HELIO_04949
OG0000400	SCHMD00908	HELIO_10775
OG0000402	SCHMD02881, SCHMD11412	HELIO_08672, HELIO_08610
OG0000404	SCHMD02429	HELIO_12139
OG0000404	SCHMD09283	HELIO_05343
OG0000405	SCHMD26927, SCHMD22788, SCHMD20823	HELIO_10657
OG0000409	SCHMD04012, SCHMD22098	HELIO_03616
OG0000409	SCHMD03752	HELIO_10399
OG0000411	SCHMD01429	HELIO_00642
OG0000412	SCHMD08478	HELIO_12508
OG0000413	SCHMD19663	HELIO_08207, HELIO_08206
OG0000413	SCHMD18817, SCHMD28614	HELIO_10878
OG0000420	SCHMD23004	HELIO_11506, HELIO_10479, HELIO_04176
OG0000422	SCHMD11782, SCHMD13921, SCHMD19755, SCHMD21866	HELIO_06618
OG0000423	SCHMD29684	HELIO_10019, HELIO_06490, HELIO_08337
OG0000424	SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568	HELIO_07447, HELIO_02671
OG0000425	SCHMD24026, SCHMD08029	HELIO_11977
OG0000426	SCHMD02251	HELIO_00568
OG0000426	SCHMD19378, SCHMD08176	HELIO_10983
OG0000427	SCHMD05143	HELIO_07136
OG0000431	SCHMD00614	HELIO_04546
OG0000432	SCHMD11313	HELIO_04640
OG0000432	SCHMD08553, SCHMD16033	HELIO_07017, HELIO_06679
OG0000433	SCHMD05136	HELIO_10148
OG0000433	SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790	HELIO_09108
OG0000434	SCHMD11371, SCHMD07829	HELIO_03450, HELIO_09418, HELIO_09671, HELIO_06005
OG0000435	SCHMD12216, SCHMD19476	HELIO_08123
OG0000436	SCHMD13323, SCHMD09381	HELIO_08988, HELIO_08989
OG0000437	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769	HELIO_04999, HELIO_08664
OG0000442	SCHMD12679	HELIO_01730
OG0000443	SCHMD09029	HELIO_07163
OG0000444	SCHMD00767, SCHMD00766	HELIO_00903
OG0000445	SCHMD29179	HELIO_01787, HELIO_05217
OG0000446	SCHMD12871	HELIO_01194
OG0000447	SCHMD15169, SCHMD15170, SCHMD24266	HELIO_10938, HELIO_10939
OG0000448	SCHMD14173, SCHMD23454, SCHMD22726, SCHMD02667, SCHMD12888, SCHMD05105, SCHMD06817, SCHMD02833, SCHMD08753, SCHMD25489	HELIO_08948
OG0000450	SCHMD15839, SCHMD21713	HELIO_01846
OG0000454	SCHMD11564	HELIO_01041
OG0000459	SCHMD17754	HELIO_06755, HELIO_07251
OG0000461	SCHMD03515	HELIO_02414
OG0000461	SCHMD06358	HELIO_03731, HELIO_03732
OG0000465	SCHMD09590	HELIO_12789
OG0000465	SCHMD27578, SCHMD03407, SCHMD17039, SCHMD17683	HELIO_11678
OG0000467	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369	HELIO_10923
OG0000469	SCHMD15597	HELIO_06536
OG0000469	SCHMD09418	HELIO_02957
OG0000470	SCHMD03185	HELIO_04201
OG0000473	SCHMD29413	HELIO_02691, HELIO_04547, HELIO_04615
OG0000473	SCHMD13933	HELIO_12353, HELIO_02800
OG0000476	SCHMD25720, SCHMD19904	HELIO_11845, HELIO_05685
OG0000476	SCHMD04015	HELIO_05620
OG0000477	SCHMD07515, SCHMD25843, SCHMD09497, SCHMD13098, SCHMD26143, SCHMD09496	HELIO_12771
OG0000479	SCHMD10108	HELIO_08760
