Orthogroup	SCHMD	STRPU_ok
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	STRPU_08417
OG0000007	SCHMD02246	STRPU_21559
OG0000008	SCHMD02053	STRPU_08296
OG0000010	SCHMD16346	STRPU_08974, STRPU_08975
OG0000011	SCHMD05659	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	STRPU_06380, STRPU_06825
OG0000015	SCHMD16724	STRPU_05546, STRPU_05605
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	STRPU_05547, STRPU_05606
OG0000016	SCHMD23829	STRPU_06872
OG0000016	SCHMD16694	STRPU_06663, STRPU_23484
OG0000016	SCHMD02183	STRPU_21110
OG0000017	SCHMD13346	STRPU_00117, STRPU_22860, STRPU_02715, STRPU_12424, STRPU_24604, STRPU_14085, STRPU_02089, STRPU_14020, STRPU_04049, STRPU_14783, STRPU_03128, STRPU_05415, STRPU_00068, STRPU_06377, STRPU_22862, STRPU_06733, STRPU_03412, STRPU_00906, STRPU_16710, STRPU_08383, STRPU_26123, STRPU_08138, STRPU_14019, STRPU_04048, STRPU_14782, STRPU_07242, STRPU_06186, STRPU_17566, STRPU_08979, STRPU_00926, STRPU_00092, STRPU_08117, STRPU_09345, STRPU_15645, STRPU_16606, STRPU_07365, STRPU_21602, STRPU_02591, STRPU_21499, STRPU_05279, STRPU_11947, STRPU_09821, STRPU_09502, STRPU_04559, STRPU_12605, STRPU_18356, STRPU_06474, STRPU_10720, STRPU_15670, STRPU_16836, STRPU_10719, STRPU_16681, STRPU_03647, STRPU_16727, STRPU_02546, STRPU_25300, STRPU_26746, STRPU_14779, STRPU_14777, STRPU_04020, STRPU_04133, STRPU_04866, STRPU_07910, STRPU_10671, STRPU_24355, STRPU_24357, STRPU_13097, STRPU_00563, STRPU_22919, STRPU_24356, STRPU_00673, STRPU_23089, STRPU_16822, STRPU_04116, STRPU_07241, STRPU_24605, STRPU_26042, STRPU_04021, STRPU_03902, STRPU_16459, STRPU_03570, STRPU_12313, STRPU_03243, STRPU_08248, STRPU_00491, STRPU_10677, STRPU_20978, STRPU_15661, STRPU_23626, STRPU_03877, STRPU_15842, STRPU_03876, STRPU_03569, STRPU_11160, STRPU_00513, STRPU_20404, STRPU_11779, STRPU_02604, STRPU_14263, STRPU_23627, STRPU_03875, STRPU_15841, STRPU_00925, STRPU_12810, STRPU_06315, STRPU_01747, STRPU_12439, STRPU_14084, STRPU_22904, STRPU_09791, STRPU_16605, STRPU_08988, STRPU_08586, STRPU_11525, STRPU_25736, STRPU_21215, STRPU_25572, STRPU_19535, STRPU_25735, STRPU_25480, STRPU_20188, STRPU_11306, STRPU_06657, STRPU_04461, STRPU_08845, STRPU_10173, STRPU_07097, STRPU_13942, STRPU_19534, STRPU_13943, STRPU_06082, STRPU_08065, STRPU_15979, STRPU_18493, STRPU_13122, STRPU_20859, STRPU_13649, STRPU_03568
OG0000020	SCHMD00005	STRPU_13949
OG0000020	SCHMD09886	STRPU_22748, STRPU_01903
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	STRPU_19861, STRPU_19888
OG0000021	SCHMD09794	STRPU_25829
OG0000021	SCHMD10526, SCHMD19498	STRPU_05427
OG0000021	SCHMD09793, SCHMD07893	STRPU_19932, STRPU_02595
OG0000023	SCHMD05376	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000026	SCHMD22460	STRPU_10195
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	STRPU_27006
OG0000028	SCHMD22912, SCHMD03422	STRPU_14468, STRPU_14467
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	STRPU_27008
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862	STRPU_25978
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	STRPU_09836, STRPU_17433, STRPU_17432
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	STRPU_23383
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	STRPU_18729, STRPU_18720
OG0000030	SCHMD25391	STRPU_10522, STRPU_06146, STRPU_06148
OG0000031	SCHMD16950	STRPU_24640, STRPU_24955
OG0000031	SCHMD11094	STRPU_24636
OG0000031	SCHMD00185	STRPU_08004, STRPU_23584
OG0000031	SCHMD17865	STRPU_05537, STRPU_05597, STRPU_18994, STRPU_05368
OG0000032	SCHMD24540, SCHMD22975, SCHMD09223	STRPU_07046
OG0000032	SCHMD05709, SCHMD01866	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343
OG0000034	SCHMD13190, SCHMD26745	STRPU_15245, STRPU_15189
OG0000034	SCHMD11160, SCHMD18247	STRPU_11930, STRPU_11885
OG0000034	SCHMD04875	STRPU_27315
OG0000034	SCHMD07081	STRPU_12141, STRPU_12106
OG0000034	SCHMD15143, SCHMD18175	STRPU_11792
OG0000035	SCHMD06303	STRPU_02368, STRPU_12778
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	SCHMD15627, SCHMD19701	STRPU_12998, STRPU_12553
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	STRPU_09907
OG0000037	SCHMD19933	STRPU_21189, STRPU_21188, STRPU_20688, STRPU_21621, STRPU_21620, STRPU_20762
OG0000037	SCHMD00542, SCHMD17538	STRPU_24785
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	STRPU_10295, STRPU_10296, STRPU_10297
OG0000037	SCHMD26619	STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123
OG0000038	SCHMD04793, SCHMD13832	STRPU_17751
OG0000038	SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443	STRPU_17416
OG0000038	SCHMD06293	STRPU_23732, STRPU_23731
OG0000038	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983	STRPU_17414, STRPU_17415
OG0000038	SCHMD14596, SCHMD16257, SCHMD14597	STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771
OG0000038	SCHMD04461, SCHMD04816, SCHMD04460	STRPU_17312
OG0000039	SCHMD12270	STRPU_13266, STRPU_05101, STRPU_05100, STRPU_05180, STRPU_18219, STRPU_01274, STRPU_21027, STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246, STRPU_16658, STRPU_15546, STRPU_15547, STRPU_20012, STRPU_20010
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	STRPU_00136
OG0000041	SCHMD08254	STRPU_12828
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	STRPU_13000
OG0000043	SCHMD11455	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585
OG0000043	SCHMD29206, SCHMD09758	STRPU_10844, STRPU_10864
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	STRPU_06729, STRPU_06730, STRPU_06385
OG0000049	SCHMD02961, SCHMD14840	STRPU_17072
OG0000049	SCHMD26352	STRPU_23534
OG0000049	SCHMD17006	STRPU_10893
OG0000049	SCHMD16048	STRPU_17073
OG0000049	SCHMD22370	STRPU_23536
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664
OG0000056	SCHMD18401, SCHMD20469	STRPU_06434
OG0000057	SCHMD08094	STRPU_10530, STRPU_02305, STRPU_18108, STRPU_09940
OG0000058	SCHMD04270	STRPU_10155, STRPU_10092
OG0000058	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122	STRPU_08934
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210	STRPU_13764, STRPU_01483
OG0000060	SCHMD17528	STRPU_18179
OG0000060	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061	STRPU_17613
OG0000060	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987	STRPU_25136, STRPU_17605, STRPU_17612, STRPU_17606, STRPU_17085, STRPU_24483, STRPU_24484, STRPU_21861, STRPU_10974, STRPU_10973, STRPU_22645, STRPU_20391, STRPU_24081, STRPU_24740, STRPU_24199, STRPU_24413
OG0000060	SCHMD03062	STRPU_12994
OG0000061	SCHMD24930	STRPU_13962
OG0000061	SCHMD11039	STRPU_13960, STRPU_13959, STRPU_13958
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408, STRPU_08191
OG0000063	SCHMD04855	STRPU_18989
OG0000063	SCHMD09653	STRPU_23711
OG0000063	SCHMD24452	STRPU_18990, STRPU_18981, STRPU_07188
OG0000066	SCHMD02363	STRPU_23705
OG0000066	SCHMD06030	STRPU_19100
OG0000066	SCHMD17583	STRPU_10561, STRPU_10560, STRPU_10760
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	STRPU_07504, STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939
OG0000070	SCHMD06745	STRPU_17447, STRPU_05505
OG0000070	SCHMD23038	STRPU_08130
OG0000071	SCHMD08674, SCHMD04226	STRPU_18392, STRPU_12567, STRPU_20613, STRPU_20615, STRPU_25995, STRPU_26372, STRPU_26374, STRPU_26373, STRPU_26371, STRPU_26370, STRPU_25994, STRPU_20810, STRPU_05831
OG0000072	SCHMD10090	STRPU_05231
OG0000072	SCHMD14858, SCHMD08261, SCHMD24480, SCHMD08262	STRPU_04709
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	STRPU_08362
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420
OG0000075	SCHMD21424	STRPU_01897, STRPU_22743
OG0000077	SCHMD17571	STRPU_09555
OG0000077	SCHMD23576	STRPU_10408
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	STRPU_07855
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	STRPU_09553
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	STRPU_04091
OG0000079	SCHMD06941, SCHMD04736	STRPU_26495, STRPU_19060
OG0000080	SCHMD10387, SCHMD06434	STRPU_04387, STRPU_15801, STRPU_17234, STRPU_16347, STRPU_07754, STRPU_19126, STRPU_12219, STRPU_07841, STRPU_16971, STRPU_16830, STRPU_00556, STRPU_09960, STRPU_06340, STRPU_16071, STRPU_16545, STRPU_17857, STRPU_07970
OG0000082	SCHMD03263, SCHMD10119	STRPU_19842
OG0000082	SCHMD03363	STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210	STRPU_18951
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	STRPU_10120, STRPU_10047
OG0000084	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409	STRPU_04407, STRPU_04408
OG0000084	SCHMD28182, SCHMD25065	STRPU_04404
OG0000085	SCHMD12836	STRPU_15094
OG0000085	SCHMD12466	STRPU_25637
OG0000085	SCHMD18327	STRPU_14802
OG0000087	SCHMD09405, SCHMD09406	STRPU_06300, STRPU_06346
OG0000087	SCHMD05855	STRPU_22865
OG0000090	SCHMD06769	STRPU_02923
OG0000093	SCHMD04238	STRPU_08252
OG0000093	SCHMD02917	STRPU_07636, STRPU_15195
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	STRPU_22767, STRPU_01923
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	STRPU_19407
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942	STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814
OG0000096	SCHMD07753	STRPU_23963, STRPU_23937
OG0000096	SCHMD10033	STRPU_11677, STRPU_13124, STRPU_02569
OG0000097	SCHMD22037, SCHMD20326	STRPU_11799, STRPU_23889, STRPU_08172, STRPU_08173, STRPU_08168, STRPU_25275, STRPU_25272, STRPU_25274, STRPU_25269, STRPU_25271, STRPU_04100, STRPU_26789, STRPU_17863, STRPU_17869, STRPU_17870, STRPU_17871, STRPU_17862, STRPU_26790, STRPU_26792, STRPU_17868, STRPU_26791, STRPU_26793
OG0000098	SCHMD29644, SCHMD22119	STRPU_26921, STRPU_27157
OG0000099	SCHMD03930, SCHMD15019	STRPU_15397
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	STRPU_16997, STRPU_16998
OG0000103	SCHMD29081, SCHMD19673	STRPU_08665
OG0000103	SCHMD08147	STRPU_08161
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	STRPU_25282, STRPU_25442, STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000110	SCHMD11887	STRPU_20491, STRPU_21462, STRPU_21461, STRPU_24363
OG0000113	SCHMD06629, SCHMD02664	STRPU_10396, STRPU_18172
OG0000114	SCHMD19276	STRPU_06367
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210
OG0000115	SCHMD28271, SCHMD15320	STRPU_08853, STRPU_00969
OG0000116	SCHMD19106	STRPU_09077, STRPU_09080
OG0000116	SCHMD19105	STRPU_14625
OG0000117	SCHMD11493	STRPU_25061
OG0000119	SCHMD02911	STRPU_13902, STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951, STRPU_13805, STRPU_13905
OG0000120	SCHMD11870	STRPU_25147
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849	STRPU_24593, STRPU_24582
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	STRPU_09375, STRPU_09613
OG0000123	SCHMD07646	STRPU_09807
OG0000123	SCHMD22122, SCHMD14008	STRPU_04928, STRPU_04927, STRPU_09938
OG0000124	SCHMD10270, SCHMD10271	STRPU_06709, STRPU_09291, STRPU_09293
OG0000124	SCHMD08774	STRPU_10604
OG0000126	SCHMD24144	STRPU_06870
OG0000126	SCHMD01813, SCHMD04253	STRPU_04964
OG0000127	SCHMD03781	STRPU_06619
OG0000128	SCHMD25789, SCHMD19594	STRPU_10852, STRPU_10834, STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386, STRPU_24545, STRPU_20813, STRPU_00080, STRPU_21124, STRPU_21123, STRPU_21127, STRPU_21125
OG0000128	SCHMD29825	STRPU_05989
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	STRPU_15503
OG0000129	SCHMD05405	STRPU_21106, STRPU_21101
OG0000129	SCHMD03224	STRPU_06625
OG0000130	SCHMD02824, SCHMD13205	STRPU_26036, STRPU_26037
OG0000130	SCHMD17609	STRPU_21543, STRPU_04390, STRPU_04374
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	STRPU_25473, STRPU_27007, STRPU_05998, STRPU_06025, STRPU_05930, STRPU_06005
OG0000137	SCHMD09558	STRPU_17715, STRPU_18673, STRPU_18678
OG0000140	SCHMD02421, SCHMD05316, SCHMD01679	STRPU_13447
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	STRPU_25556
OG0000142	SCHMD29515, SCHMD28730	STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874
OG0000142	SCHMD18761, SCHMD19018, SCHMD17308	STRPU_10945, STRPU_10943
OG0000148	SCHMD08056	STRPU_00698, STRPU_22716, STRPU_00697, STRPU_22715
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	STRPU_23185
OG0000151	SCHMD02747, SCHMD12342	STRPU_20407
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	STRPU_07135
OG0000155	SCHMD13125	STRPU_07137
OG0000157	SCHMD03548, SCHMD06363	STRPU_22147
OG0000157	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	STRPU_25761
OG0000158	SCHMD18936	STRPU_07153
OG0000158	SCHMD09898, SCHMD12271, SCHMD07912	STRPU_20283
OG0000158	SCHMD15100, SCHMD15049	STRPU_01554
OG0000159	SCHMD26601, SCHMD09606	STRPU_24070
OG0000159	SCHMD14942	STRPU_03795, STRPU_03792, STRPU_03793, STRPU_03789, STRPU_03791, STRPU_03790, STRPU_03788, STRPU_03786, STRPU_01680, STRPU_02685, STRPU_03923, STRPU_03889, STRPU_03918, STRPU_17842, STRPU_20008, STRPU_16418, STRPU_16719, STRPU_16429, STRPU_16426, STRPU_03276, STRPU_03235, STRPU_16278, STRPU_16427, STRPU_16430
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	STRPU_26893, STRPU_26892
OG0000162	SCHMD01637	STRPU_26981
OG0000163	SCHMD23090	STRPU_08825, STRPU_08826
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	STRPU_22081
OG0000166	SCHMD08400	STRPU_18023, STRPU_18089, STRPU_01777
OG0000166	SCHMD15704, SCHMD08401	STRPU_24488, STRPU_17844
OG0000169	SCHMD00387	STRPU_11063, STRPU_20288, STRPU_27127, STRPU_11174, STRPU_11175, STRPU_19750, STRPU_11169, STRPU_11168, STRPU_11173, STRPU_07592, STRPU_11424, STRPU_10438, STRPU_14116
OG0000173	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093	STRPU_11148
OG0000174	SCHMD09838	STRPU_00043, STRPU_16005
OG0000174	SCHMD08354, SCHMD22729	STRPU_23493
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520	STRPU_24379
OG0000175	SCHMD18439, SCHMD17544	STRPU_24411, STRPU_24412, STRPU_02319, STRPU_12738, STRPU_24563
OG0000179	SCHMD11075	STRPU_04627, STRPU_04649
OG0000179	SCHMD01320	STRPU_00166, STRPU_27037, STRPU_27036
OG0000180	SCHMD14947, SCHMD20813	STRPU_00336
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	STRPU_21403, STRPU_21400, STRPU_21401
OG0000181	SCHMD11453	STRPU_02398, STRPU_13672, STRPU_13671, STRPU_02399
OG0000182	SCHMD24741	STRPU_24839
OG0000182	SCHMD07603	STRPU_05812, STRPU_01509, STRPU_09058, STRPU_24830, STRPU_07977, STRPU_24762, STRPU_18360, STRPU_24761, STRPU_00923
OG0000183	SCHMD21103, SCHMD28756	STRPU_21811
OG0000183	SCHMD12130, SCHMD10333	STRPU_03432, STRPU_03075
OG0000186	SCHMD07850, SCHMD22114, SCHMD12081	STRPU_17963
OG0000186	SCHMD11605	STRPU_21692, STRPU_21757
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313	STRPU_21070
OG0000186	SCHMD24594	STRPU_20741
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	STRPU_07493, STRPU_18443, STRPU_18409
OG0000194	SCHMD11912, SCHMD12565	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442
OG0000195	SCHMD06851	STRPU_06815, STRPU_06128
OG0000195	SCHMD06771	STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458
OG0000195	SCHMD25501	STRPU_13259
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	STRPU_14405
OG0000199	SCHMD04798, SCHMD03517, SCHMD15299, SCHMD22901, SCHMD15092, SCHMD10817, SCHMD13703, SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974	STRPU_05348
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	STRPU_08330
OG0000201	SCHMD00317, SCHMD09035	STRPU_14222
OG0000201	SCHMD10520	STRPU_14748
