Orthogroup	SCHMD	ASTMX
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000114	SCHMD28859	ASTMX20865
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	ASTMX14023
OG0000119	SCHMD02911	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636, ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905, ASTMX00656, ASTMX18233
OG0000120	SCHMD07084	ASTMX00463
OG0000120	SCHMD26849	ASTMX22743
OG0000122	SCHMD00543	ASTMX05998, ASTMX22052
OG0000122	SCHMD16641, SCHMD09849	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000124	SCHMD10270, SCHMD10271	ASTMX09338, ASTMX18149, ASTMX01149, ASTMX16401, ASTMX07748
OG0000124	SCHMD08774	ASTMX10640, ASTMX14745, ASTMX06441
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	ASTMX18095, ASTMX08006, ASTMX06040
OG0000126	SCHMD24144	ASTMX11157
OG0000126	SCHMD06494	ASTMX09154
OG0000126	SCHMD01813, SCHMD04253	ASTMX06187, ASTMX17244
OG0000127	SCHMD03781	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000128	SCHMD25789, SCHMD19594	ASTMX05854
OG0000128	SCHMD29825	ASTMX15563, ASTMX07961
OG0000129	SCHMD20816, SCHMD05405	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539
OG0000129	SCHMD03224	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614
OG0000129	SCHMD17972	ASTMX22248
OG0000130	SCHMD17609	ASTMX07135, ASTMX08389, ASTMX02101, ASTMX18603, ASTMX21728, ASTMX10754, ASTMX19065, ASTMX02114, ASTMX12106, ASTMX15566, ASTMX07963, ASTMX11451, ASTMX00189, ASTMX19291, ASTMX03032, ASTMX13868, ASTMX11078, ASTMX12125
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	ASTMX15628
OG0000137	SCHMD04306	ASTMX04665
OG0000137	SCHMD09558	ASTMX10792, ASTMX08181
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	ASTMX09356
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	ASTMX22061, ASTMX14163
OG0000145	SCHMD03152	ASTMX13278
OG0000147	SCHMD11019	ASTMX03135, ASTMX08761, ASTMX04795
OG0000147	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025	ASTMX22882, ASTMX19061
OG0000147	SCHMD11968	ASTMX01265, ASTMX04843
OG0000148	SCHMD08056	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634
OG0000149	SCHMD06205, SCHMD05440	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	ASTMX22005, ASTMX16447, ASTMX16036, ASTMX08859, ASTMX05398, ASTMX21907
OG0000151	SCHMD02747, SCHMD12342	ASTMX21939, ASTMX10392, ASTMX08593, ASTMX17567, ASTMX14340, ASTMX15073
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	ASTMX05657, ASTMX15860, ASTMX01844
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	ASTMX08087, ASTMX14831, ASTMX13520
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582
OG0000155	SCHMD13125	ASTMX12246, ASTMX04195
OG0000157	SCHMD03548, SCHMD06363	ASTMX15736, ASTMX02435, ASTMX11937
OG0000157	SCHMD01802	ASTMX10886
OG0000158	SCHMD18936	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735
OG0000158	SCHMD15100, SCHMD15049	ASTMX12179
OG0000159	SCHMD26601, SCHMD09606	ASTMX12753
OG0000159	SCHMD14942	ASTMX03645, ASTMX21390, ASTMX06913, ASTMX03301, ASTMX16138, ASTMX16710
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	ASTMX12091
OG0000163	SCHMD23090	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159, ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308, ASTMX21793
OG0000167	SCHMD16214, SCHMD15187	ASTMX06436, ASTMX06435, ASTMX01762
OG0000169	SCHMD00386	ASTMX22905
OG0000171	SCHMD26790, SCHMD13950	ASTMX05924, ASTMX13384, ASTMX18495
OG0000173	SCHMD19853, SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093, SCHMD19854, SCHMD17711	ASTMX22989
OG0000174	SCHMD09838	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671
OG0000175	SCHMD18439, SCHMD17544	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252, ASTMX21180
OG0000179	SCHMD11075	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451
OG0000179	SCHMD01320	ASTMX13630, ASTMX02170
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	ASTMX00767, ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806
OG0000181	SCHMD20053, SCHMD26119	ASTMX07281, ASTMX11712, ASTMX06485
OG0000182	SCHMD24741	ASTMX21649, ASTMX11305
OG0000182	SCHMD07603	ASTMX10937, ASTMX14409, ASTMX15288, ASTMX04097, ASTMX13943, ASTMX20040, ASTMX22035
OG0000183	SCHMD22220	ASTMX10680
OG0000183	SCHMD21103, SCHMD28756	ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109
OG0000183	SCHMD12130, SCHMD10333	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505
OG0000185	SCHMD07834	ASTMX22814
OG0000186	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081	ASTMX18771
OG0000188	SCHMD07258	ASTMX16874
OG0000188	SCHMD04013	ASTMX21970
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	ASTMX07878, ASTMX20901, ASTMX19840, ASTMX01591, ASTMX00329, ASTMX15434, ASTMX02346
OG0000194	SCHMD11912, SCHMD12565	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331
OG0000195	SCHMD06851	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	ASTMX04274, ASTMX00851, ASTMX10141
OG0000199	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974	ASTMX00281, ASTMX00285, ASTMX00284, ASTMX00280, ASTMX00277, ASTMX14809, ASTMX14810, ASTMX14807, ASTMX00296, ASTMX00297, ASTMX00295, ASTMX00294, ASTMX14806, ASTMX14805, ASTMX22700, ASTMX18950, ASTMX14808, ASTMX18951, ASTMX00292, ASTMX00293, ASTMX00290, ASTMX00291, ASTMX00288, ASTMX00289, ASTMX18953, ASTMX18952
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	ASTMX19802, ASTMX14681, ASTMX19801, ASTMX15505
OG0000201	SCHMD00317, SCHMD09035	ASTMX16364, ASTMX16005, ASTMX04412, ASTMX17973, ASTMX12848
OG0000201	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519	ASTMX16004, ASTMX17974
OG0000201	SCHMD10520	ASTMX01297, ASTMX11319, ASTMX13076, ASTMX16014, ASTMX13075
OG0000203	SCHMD13221	ASTMX16274, ASTMX00845, ASTMX01226, ASTMX00857
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	ASTMX05231, ASTMX02270
OG0000204	SCHMD00860, SCHMD11235	ASTMX21977
OG0000204	SCHMD00861	ASTMX00222
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	ASTMX13522, ASTMX10816, ASTMX16114, ASTMX14153, ASTMX22625
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	ASTMX20065, ASTMX10182, ASTMX20441, ASTMX12995
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	ASTMX20510, ASTMX07381, ASTMX02305, ASTMX10670, ASTMX05423, ASTMX14679
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	ASTMX14534, ASTMX12214, ASTMX04375, ASTMX14594, ASTMX12234, ASTMX18583, ASTMX05181
OG0000209	SCHMD22454	ASTMX23046
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	ASTMX06462
OG0000210	SCHMD24015	ASTMX16896
OG0000211	SCHMD21436	ASTMX02506
OG0000215	SCHMD15383	ASTMX09309, ASTMX14457
OG0000215	SCHMD27729, SCHMD15945	ASTMX12693
OG0000218	SCHMD01527	ASTMX14255, ASTMX06375
OG0000220	SCHMD07645	ASTMX06452, ASTMX19472
OG0000221	SCHMD10720	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185
OG0000222	SCHMD08501, SCHMD21613	ASTMX11164
OG0000222	SCHMD21612, SCHMD08502	ASTMX04358, ASTMX14568, ASTMX11163
OG0000223	SCHMD07141	ASTMX15854
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717
OG0000226	SCHMD28582, SCHMD28293	ASTMX10407
OG0000227	SCHMD05742, SCHMD06927	ASTMX14933, ASTMX18558
OG0000227	SCHMD26170	ASTMX02672
OG0000227	SCHMD05353	ASTMX17511, ASTMX21030, ASTMX00467
OG0000227	SCHMD04380	ASTMX14981, ASTMX11122, ASTMX17731
OG0000230	SCHMD23835, SCHMD14315	ASTMX01329
OG0000231	SCHMD15225, SCHMD17377	ASTMX01168, ASTMX10711, ASTMX06042, ASTMX21702, ASTMX18443, ASTMX22637, ASTMX00067
OG0000231	SCHMD24769, SCHMD25604	ASTMX21905, ASTMX09216, ASTMX07397, ASTMX07396
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	ASTMX07999, ASTMX11193
OG0000235	SCHMD29163	ASTMX11628, ASTMX03682, ASTMX10834
OG0000236	SCHMD00730	ASTMX08747, ASTMX03149
OG0000239	SCHMD18522	ASTMX07645, ASTMX14835, ASTMX20429, ASTMX05441
OG0000239	SCHMD03432	ASTMX01276, ASTMX03280
OG0000239	SCHMD16926, SCHMD03433	ASTMX14116
OG0000239	SCHMD01648, SCHMD18521	ASTMX21438
OG0000239	SCHMD06547	ASTMX15869, ASTMX10448, ASTMX21437, ASTMX01895
OG0000240	SCHMD06226, SCHMD00582	ASTMX10617
OG0000242	SCHMD20260	ASTMX04049, ASTMX03054
OG0000244	SCHMD21826	ASTMX01790
OG0000244	SCHMD15740, SCHMD18441, SCHMD21827	ASTMX15853
OG0000246	SCHMD02140	ASTMX19738
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	ASTMX03325
