Orthogroup	SCHMD	AMPFI_ok
OG0000016	SCHMD16694	AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919
OG0000016	SCHMD02183	AMPFI_06248
OG0000016	SCHMD09773, SCHMD05700	AMPFI_18220
OG0000017	SCHMD13346	AMPFI_18434, AMPFI_21572, AMPFI_19735, AMPFI_25830, AMPFI_19153, AMPFI_25878, AMPFI_26001, AMPFI_24062, AMPFI_17267, AMPFI_03602, AMPFI_25087, AMPFI_10075, AMPFI_09589, AMPFI_13357, AMPFI_04506, AMPFI_25171, AMPFI_16384, AMPFI_03555, AMPFI_02100, AMPFI_22933, AMPFI_20010, AMPFI_04573, AMPFI_04127, AMPFI_13530, AMPFI_01348, AMPFI_00180, AMPFI_00815, AMPFI_23308, AMPFI_00751, AMPFI_20980, AMPFI_00516, AMPFI_16762, AMPFI_01137, AMPFI_04581, AMPFI_00417, AMPFI_06710, AMPFI_19081, AMPFI_03641, AMPFI_20305, AMPFI_03931, AMPFI_20464, AMPFI_07428, AMPFI_06877, AMPFI_25954, AMPFI_15097, AMPFI_03217
OG0000020	SCHMD01272, SCHMD00005, SCHMD23721	AMPFI_07852
OG0000020	SCHMD08736	AMPFI_03773
OG0000020	SCHMD24153	AMPFI_15880
OG0000020	SCHMD09886	AMPFI_11019
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	AMPFI_07932
OG0000021	SCHMD10526, SCHMD19498	AMPFI_24454
OG0000021	SCHMD09793, SCHMD07893	AMPFI_19616, AMPFI_08794, AMPFI_23196
OG0000026	SCHMD10899	AMPFI_12171
OG0000026	SCHMD02068, SCHMD03522	AMPFI_09960, AMPFI_03858, AMPFI_13122
OG0000026	SCHMD00612	AMPFI_18636, AMPFI_08031
OG0000026	SCHMD22460	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957
OG0000028	SCHMD09456, SCHMD01093	AMPFI_19162
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	AMPFI_04239
OG0000028	SCHMD22912, SCHMD03422	AMPFI_04248
OG0000029	SCHMD10229, SCHMD16285	AMPFI_24572
OG0000029	SCHMD03695, SCHMD08074, SCHMD15862	AMPFI_17682, AMPFI_23832
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	SCHMD17295	AMPFI_04928, AMPFI_02183
OG0000030	SCHMD07576, SCHMD09292, SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	AMPFI_03176
OG0000031	SCHMD16950	AMPFI_06256
OG0000031	SCHMD11094	AMPFI_14304
OG0000031	SCHMD00185	AMPFI_01333
OG0000031	SCHMD17865	AMPFI_05075, AMPFI_10833
OG0000031	SCHMD04192	AMPFI_03768
OG0000032	SCHMD05709	AMPFI_22327
OG0000032	SCHMD01866	AMPFI_04329
OG0000034	SCHMD11716	AMPFI_19171
OG0000034	SCHMD13190, SCHMD26745	AMPFI_25310, AMPFI_04753
OG0000034	SCHMD11160, SCHMD18247	AMPFI_00398
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	AMPFI_17275
OG0000035	SCHMD15627, SCHMD19701	AMPFI_12878
OG0000035	SCHMD19700, SCHMD08604, SCHMD17446	AMPFI_24961
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	AMPFI_06932
OG0000036	SCHMD10087, SCHMD20124, SCHMD27854	AMPFI_18710
OG0000037	SCHMD19933	AMPFI_10819, AMPFI_10818, AMPFI_01966, AMPFI_00972, AMPFI_11581, AMPFI_25668
OG0000037	SCHMD26619	AMPFI_08082, AMPFI_17087
OG0000038	SCHMD17582, SCHMD27730	AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006
OG0000038	SCHMD15420	AMPFI_00855
OG0000038	SCHMD07372	AMPFI_03880
OG0000039	SCHMD12270	AMPFI_23863, AMPFI_15658, AMPFI_14066, AMPFI_25847, AMPFI_16323, AMPFI_01199, AMPFI_04473, AMPFI_17373, AMPFI_17767, AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	AMPFI_24657, AMPFI_06575
OG0000043	SCHMD11455	AMPFI_07177, AMPFI_13817
OG0000043	SCHMD29206, SCHMD09758	AMPFI_04816
OG0000044	SCHMD00319	AMPFI_22687, AMPFI_10992, AMPFI_03970
OG0000044	SCHMD06706	AMPFI_03703, AMPFI_04838
OG0000044	SCHMD06550	AMPFI_22026, AMPFI_08823, AMPFI_04139
OG0000044	SCHMD21748	AMPFI_21628, AMPFI_17647
OG0000046	SCHMD07994	AMPFI_19034
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	AMPFI_17027, AMPFI_21987, AMPFI_06139
OG0000048	SCHMD19708, SCHMD13779	AMPFI_20083, AMPFI_23857, AMPFI_18512
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032
OG0000057	SCHMD08094	AMPFI_23737
OG0000058	SCHMD04270	AMPFI_18481
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	AMPFI_13098
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210	AMPFI_17417, AMPFI_04404, AMPFI_21031, AMPFI_04726, AMPFI_09318
OG0000059	SCHMD05186, SCHMD20166	AMPFI_10609
OG0000060	SCHMD17528	AMPFI_19643
OG0000060	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061	AMPFI_25991, AMPFI_02716
OG0000060	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987	AMPFI_19058
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193, AMPFI_05434
OG0000063	SCHMD09653	AMPFI_19149, AMPFI_21664
OG0000063	SCHMD16488	AMPFI_03875
OG0000063	SCHMD24452	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000066	SCHMD02363	AMPFI_16063
OG0000066	SCHMD06601	AMPFI_02908
OG0000066	SCHMD06030	AMPFI_09400
OG0000066	SCHMD01829, SCHMD17583, SCHMD06603, SCHMD09194	AMPFI_25704, AMPFI_24273
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
OG0000072	SCHMD19677, SCHMD17046, SCHMD17002	AMPFI_03803
OG0000072	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751	AMPFI_19767, AMPFI_21803
OG0000073	SCHMD07291, SCHMD22957	AMPFI_09678
OG0000073	SCHMD07917, SCHMD02585, SCHMD02588	AMPFI_14948
OG0000075	SCHMD03704	AMPFI_15139
OG0000075	SCHMD21424	AMPFI_15917
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	AMPFI_08518
OG0000078	SCHMD04824, SCHMD04525	AMPFI_00030
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	AMPFI_09380
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	SCHMD06941, SCHMD04736	AMPFI_06359, AMPFI_07521
OG0000080	SCHMD10387, SCHMD06434	AMPFI_13421, AMPFI_11000, AMPFI_10999, AMPFI_01449, AMPFI_21570, AMPFI_20970, AMPFI_01296, AMPFI_18772, AMPFI_23056, AMPFI_01218, AMPFI_21483, AMPFI_06835, AMPFI_17142, AMPFI_20172, AMPFI_21408, AMPFI_04795, AMPFI_00475, AMPFI_09001, AMPFI_04897, AMPFI_22599, AMPFI_23079
OG0000082	SCHMD03263, SCHMD10119	AMPFI_21007
OG0000082	SCHMD23210	AMPFI_13856
OG0000083	SCHMD16633	AMPFI_25070, AMPFI_02950, AMPFI_03183, AMPFI_17026, AMPFI_02353, AMPFI_06007, AMPFI_06006, AMPFI_09389, AMPFI_12969, AMPFI_20938, AMPFI_06531, AMPFI_19967, AMPFI_19634, AMPFI_12970, AMPFI_07180, AMPFI_16886, AMPFI_05215, AMPFI_19858, AMPFI_09445, AMPFI_16696, AMPFI_22106, AMPFI_21518, AMPFI_02555, AMPFI_04299, AMPFI_21565, AMPFI_18422, AMPFI_09390, AMPFI_04259, AMPFI_17422, AMPFI_12422, AMPFI_18573
OG0000085	SCHMD12837	AMPFI_25543
OG0000085	SCHMD12836	AMPFI_09379
OG0000085	SCHMD12466	AMPFI_25819
OG0000087	SCHMD09399	AMPFI_20352
OG0000087	SCHMD03794	AMPFI_24870
OG0000087	SCHMD09408	AMPFI_08050
OG0000087	SCHMD25358	AMPFI_01947
OG0000087	SCHMD03393	AMPFI_09489
OG0000087	SCHMD23919	AMPFI_05588
OG0000087	SCHMD21804, SCHMD25814	AMPFI_13389
OG0000087	SCHMD25289	AMPFI_18536
OG0000087	SCHMD17003, SCHMD07336	AMPFI_19662, AMPFI_19663
OG0000090	SCHMD10805, SCHMD21388	AMPFI_21032
OG0000090	SCHMD15560	AMPFI_03458
OG0000090	SCHMD17599, SCHMD20160	AMPFI_02125
OG0000093	SCHMD04238	AMPFI_21887
OG0000093	SCHMD14744, SCHMD00352, SCHMD04239	AMPFI_20385
OG0000093	SCHMD02917	AMPFI_22503
OG0000094	SCHMD23746	AMPFI_02587
OG0000094	SCHMD18376, SCHMD14753	AMPFI_25694
OG0000094	SCHMD26804, SCHMD21133, SCHMD07079	AMPFI_02648
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	AMPFI_06525
OG0000095	SCHMD21858	AMPFI_12414, AMPFI_21103
OG0000096	SCHMD07753	AMPFI_22693
OG0000096	SCHMD10033	AMPFI_25309
OG0000097	SCHMD22037, SCHMD20326	AMPFI_06245, AMPFI_18511
OG0000098	SCHMD20591, SCHMD11947, SCHMD19086, SCHMD11199, SCHMD08311, SCHMD06391, SCHMD10501, SCHMD12931, SCHMD12930, SCHMD10500, SCHMD12324, SCHMD12327, SCHMD15356, SCHMD11201, SCHMD17663, SCHMD28032, SCHMD08310	AMPFI_18294, AMPFI_22016
OG0000098	SCHMD29644, SCHMD22119	AMPFI_07962, AMPFI_03629
OG0000098	SCHMD06392, SCHMD12932, SCHMD10502	AMPFI_10843
OG0000101	SCHMD06502, SCHMD06505, SCHMD06506	AMPFI_22686, AMPFI_04246
OG0000102	SCHMD29532	AMPFI_17450, AMPFI_01439
OG0000103	SCHMD08147	AMPFI_21097
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	AMPFI_02407, AMPFI_14321, AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000110	SCHMD11887	AMPFI_18622, AMPFI_10052
OG0000113	SCHMD06629, SCHMD02664	AMPFI_03282
OG0000114	SCHMD19276	AMPFI_10608, AMPFI_15203
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	AMPFI_03529
OG0000114	SCHMD28859	AMPFI_01965, AMPFI_00254
OG0000116	SCHMD19106	AMPFI_10925
OG0000116	SCHMD19105	AMPFI_03353
OG0000117	SCHMD02895	AMPFI_18184
OG0000117	SCHMD02591	AMPFI_02142
OG0000117	SCHMD11493	AMPFI_21139, AMPFI_03902
OG0000117	SCHMD14102	AMPFI_16311
OG0000119	SCHMD02911	AMPFI_25431, AMPFI_07345, AMPFI_07307, AMPFI_24152
OG0000119	SCHMD07212	AMPFI_09636, AMPFI_09635
OG0000120	SCHMD07084	AMPFI_15831
OG0000120	SCHMD23689, SCHMD27697, SCHMD28733, SCHMD27017, SCHMD27126, SCHMD26530, SCHMD23012, SCHMD27124, SCHMD23690, SCHMD27316, SCHMD27128, SCHMD24437, SCHMD28934, SCHMD26823, SCHMD27125, SCHMD24781, SCHMD24780, SCHMD27988	AMPFI_16828, AMPFI_02660, AMPFI_04611
OG0000120	SCHMD11870	AMPFI_01268
OG0000121	SCHMD07020	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340
OG0000122	SCHMD16641, SCHMD09849	AMPFI_09948
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	AMPFI_11014
OG0000124	SCHMD10270, SCHMD10271	AMPFI_24111, AMPFI_07499, AMPFI_07500
OG0000124	SCHMD08774	AMPFI_02885
OG0000126	SCHMD24144	AMPFI_13551
OG0000126	SCHMD06494	AMPFI_19122
OG0000126	SCHMD01813, SCHMD04253	AMPFI_06519
OG0000127	SCHMD03781	AMPFI_11705
OG0000128	SCHMD25789, SCHMD19594	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784
OG0000128	SCHMD29825	AMPFI_04850
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	AMPFI_25119
OG0000129	SCHMD05405	AMPFI_15379
OG0000129	SCHMD03224	AMPFI_05870
OG0000130	SCHMD02824, SCHMD13205	AMPFI_19706
OG0000130	SCHMD17609	AMPFI_19363
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000137	SCHMD09558	AMPFI_12246
OG0000137	SCHMD29744	AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	AMPFI_23602, AMPFI_03549
OG0000142	SCHMD14394	AMPFI_12268
OG0000142	SCHMD01440, SCHMD00718	AMPFI_25838
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305
OG0000147	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025	AMPFI_24113
OG0000147	SCHMD11968	AMPFI_00036
OG0000148	SCHMD08056	AMPFI_06814
OG0000148	SCHMD08055	AMPFI_00060
OG0000149	SCHMD06205, SCHMD05440	AMPFI_11805
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	AMPFI_07369, AMPFI_13120, AMPFI_05320
OG0000153	SCHMD18559	AMPFI_24594, AMPFI_03572
OG0000155	SCHMD13125	AMPFI_11674
OG0000157	SCHMD03548, SCHMD06363	AMPFI_07870
OG0000159	SCHMD26601, SCHMD09606	AMPFI_14640
OG0000159	SCHMD14942	AMPFI_14271, AMPFI_09235, AMPFI_13474, AMPFI_11148
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	AMPFI_04603
OG0000162	SCHMD01637	AMPFI_02629
OG0000163	SCHMD23090	AMPFI_08892, AMPFI_22798, AMPFI_03655, AMPFI_02815, AMPFI_05576, AMPFI_01484
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	AMPFI_15100
OG0000166	SCHMD15704, SCHMD08401	AMPFI_20566
OG0000166	SCHMD28623, SCHMD22442	AMPFI_14589
OG0000167	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	AMPFI_21928
OG0000168	SCHMD19556	AMPFI_22221
OG0000168	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401	AMPFI_17991
OG0000169	SCHMD00386	AMPFI_19002, AMPFI_21738, AMPFI_24339, AMPFI_04219, AMPFI_20809, AMPFI_17546
OG0000171	SCHMD26790, SCHMD13950, SCHMD07239	AMPFI_21332
OG0000173	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093	AMPFI_24760
OG0000174	SCHMD09838	AMPFI_25103
OG0000174	SCHMD08354, SCHMD22729	AMPFI_14045, AMPFI_12675
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520	AMPFI_12806, AMPFI_01453
OG0000175	SCHMD18439, SCHMD17544	AMPFI_04963, AMPFI_13786
OG0000179	SCHMD11075	AMPFI_12504
OG0000179	SCHMD01320	AMPFI_16964
OG0000179	SCHMD00307	AMPFI_11913
OG0000180	SCHMD20813	AMPFI_03804
OG0000180	SCHMD26243	AMPFI_15615
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	AMPFI_08987, AMPFI_15077, AMPFI_13877
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	AMPFI_16526
OG0000182	SCHMD06161	AMPFI_15057
OG0000182	SCHMD24741	AMPFI_21714
OG0000182	SCHMD07603	AMPFI_18814, AMPFI_16704
OG0000183	SCHMD21103, SCHMD28756	AMPFI_14083
OG0000183	SCHMD12130, SCHMD10333	AMPFI_23760, AMPFI_03468
OG0000186	SCHMD11605	AMPFI_18026
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313, SCHMD24594	AMPFI_23623
OG0000188	SCHMD07283	AMPFI_01200, AMPFI_17264
OG0000191	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922	AMPFI_16167
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	AMPFI_10868, AMPFI_23753
OG0000192	SCHMD03934	AMPFI_19784
OG0000194	SCHMD11912, SCHMD12565	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028
OG0000195	SCHMD06851	AMPFI_05326
OG0000195	SCHMD06771	AMPFI_12345, AMPFI_10206, AMPFI_05107
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	AMPFI_14260
OG0000198	SCHMD19721, SCHMD14674, SCHMD25939	AMPFI_22960
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	AMPFI_03122, AMPFI_19654
OG0000201	SCHMD10520	AMPFI_01733
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	AMPFI_16667
OG0000204	SCHMD19671, SCHMD20793, SCHMD11234	AMPFI_18110
OG0000204	SCHMD00861	AMPFI_19770
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	AMPFI_08635, AMPFI_15520
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998	AMPFI_04187
OG0000209	SCHMD02092	AMPFI_01240
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	AMPFI_16256, AMPFI_10745, AMPFI_24350, AMPFI_08289, AMPFI_11493
OG0000210	SCHMD26754	AMPFI_22972
OG0000210	SCHMD24015	AMPFI_21005
OG0000211	SCHMD10115	AMPFI_21968
OG0000214	SCHMD24110, SCHMD27341	AMPFI_13170
OG0000215	SCHMD15383	AMPFI_03565
OG0000215	SCHMD27729, SCHMD15945	AMPFI_23213
OG0000218	SCHMD01527	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956
OG0000220	SCHMD07645	AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272
OG0000221	SCHMD10720	AMPFI_07550, AMPFI_18146, AMPFI_19059
OG0000222	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502	AMPFI_16387, AMPFI_05918, AMPFI_03073
OG0000223	SCHMD02890, SCHMD03920	AMPFI_12761
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493	AMPFI_09693
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	AMPFI_24201, AMPFI_00311
OG0000226	SCHMD28582	AMPFI_16446
OG0000226	SCHMD28293	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354
OG0000227	SCHMD05742, SCHMD06927	AMPFI_16595
OG0000227	SCHMD05353	AMPFI_23018
OG0000227	SCHMD04380	AMPFI_07507
OG0000230	SCHMD23835, SCHMD14315	AMPFI_09954
OG0000230	SCHMD27521, SCHMD14316	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504
OG0000231	SCHMD23026	AMPFI_03284
OG0000231	SCHMD24769, SCHMD25604	AMPFI_01759
OG0000232	SCHMD14178, SCHMD02027	AMPFI_12303
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	AMPFI_06911
OG0000236	SCHMD00730	AMPFI_19570
OG0000239	SCHMD18522	AMPFI_07816
OG0000239	SCHMD03432	AMPFI_07246, AMPFI_08248
OG0000239	SCHMD06547	AMPFI_20472
OG0000240	SCHMD06226, SCHMD00582	AMPFI_05219, AMPFI_05218
OG0000241	SCHMD13993	AMPFI_20927, AMPFI_21075
OG0000242	SCHMD20260	AMPFI_05850
OG0000243	SCHMD12372	AMPFI_02124
OG0000243	SCHMD17682, SCHMD15912, SCHMD11668	AMPFI_15285
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	AMPFI_20200
OG0000246	SCHMD12291, SCHMD13657, SCHMD12290	AMPFI_25049
OG0000248	SCHMD01134, SCHMD07579, SCHMD25860, SCHMD09553, SCHMD07301, SCHMD15578, SCHMD28870, SCHMD28143, SCHMD26766, SCHMD07305, SCHMD23142, SCHMD07304, SCHMD09549, SCHMD06759, SCHMD00071	AMPFI_08134, AMPFI_21352
OG0000250	SCHMD07715, SCHMD11126	AMPFI_07242
OG0000250	SCHMD11127	AMPFI_16594
OG0000250	SCHMD00165	AMPFI_05967
OG0000251	SCHMD06065, SCHMD13275, SCHMD14691	AMPFI_00617
OG0000254	SCHMD11206	AMPFI_22443
OG0000255	SCHMD14618, SCHMD25034	AMPFI_21142
OG0000256	SCHMD06220	AMPFI_08473
OG0000257	SCHMD15360	AMPFI_01061
OG0000258	SCHMD00959	AMPFI_21660
OG0000260	SCHMD09054, SCHMD09053	AMPFI_00537
OG0000260	SCHMD00231	AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062
