Orthogroup	SCHMD	MOUSE
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	SCHMD06045, SCHMD22580	MOUSE38313
OG0000014	SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208	MOUSE04191
OG0000015	SCHMD16724	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302	MOUSE44325
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	MOUSE21130
OG0000016	SCHMD16694	MOUSE13078, MOUSE13077
OG0000016	SCHMD02183	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	SCHMD09773, SCHMD05700	MOUSE44334
OG0000020	SCHMD01272	MOUSE45177
OG0000020	SCHMD00005	MOUSE05499, MOUSE05500
OG0000020	SCHMD08736	MOUSE53015
OG0000020	SCHMD09886	MOUSE23587, MOUSE23586
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	MOUSE24012
OG0000021	SCHMD09794	MOUSE49041, MOUSE09998
OG0000021	SCHMD09793, SCHMD07893	MOUSE44445, MOUSE53773
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	MOUSE19587
OG0000023	SCHMD04923	MOUSE22442
OG0000023	SCHMD05376	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	SCHMD10899	MOUSE34507
OG0000026	SCHMD22460	MOUSE38308, MOUSE38309
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	MOUSE44525
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862	MOUSE43115, MOUSE43116
OG0000030	SCHMD17295	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	SCHMD16950	MOUSE26385, MOUSE14840, MOUSE26448, MOUSE08530, MOUSE05256
OG0000031	SCHMD11094	MOUSE08528, MOUSE08527
OG0000031	SCHMD00185	MOUSE39309, MOUSE01505
OG0000031	SCHMD17865	MOUSE40719, MOUSE40720, MOUSE13006, MOUSE13005, MOUSE48656, MOUSE48889, MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	SCHMD04192	MOUSE13008
OG0000032	SCHMD24540, SCHMD22975, SCHMD09223	MOUSE41899
OG0000034	SCHMD15825	MOUSE19646
OG0000034	SCHMD02114	MOUSE47179, MOUSE42232
OG0000034	SCHMD11716, SCHMD29000	MOUSE23593
OG0000034	SCHMD13190, SCHMD26745	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	SCHMD04875	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	SCHMD07081	MOUSE20059
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	MOUSE02570, MOUSE02571
OG0000035	SCHMD15627, SCHMD19701	MOUSE02196, MOUSE02197, MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	SCHMD08028, SCHMD13399, SCHMD19456, SCHMD24285, SCHMD27391, SCHMD19457, SCHMD13398, SCHMD15992, SCHMD21366, SCHMD28112, SCHMD23652, SCHMD05993, SCHMD19700, SCHMD08604, SCHMD17446, SCHMD16716	MOUSE41551
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	SCHMD10087, SCHMD20124, SCHMD27854	MOUSE49438
OG0000037	SCHMD19933	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306, MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	MOUSE21441
OG0000039	SCHMD12270	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088, MOUSE32704, MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868, MOUSE23387
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000041	SCHMD16501, SCHMD03485, SCHMD03487	MOUSE19876, MOUSE19875, MOUSE02175
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	MOUSE28829, MOUSE21621
OG0000043	SCHMD00424	MOUSE50973, MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814
OG0000048	SCHMD13771	MOUSE07450
OG0000048	SCHMD19708, SCHMD13779	MOUSE42203
OG0000049	SCHMD22370	MOUSE40908, MOUSE39155
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	MOUSE40003
OG0000056	SCHMD18401, SCHMD20469	MOUSE36570
OG0000058	SCHMD04270	MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254
OG0000058	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122	MOUSE10546
OG0000059	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592
OG0000060	SCHMD03062	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	SCHMD24930	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	SCHMD12952	MOUSE42763
OG0000061	SCHMD11039	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	SCHMD03372	MOUSE41293
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	MOUSE25941, MOUSE25942, MOUSE18495, MOUSE18493, MOUSE17649, MOUSE17650, MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586, MOUSE52081
OG0000063	SCHMD04855	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	SCHMD09653	MOUSE10885, MOUSE10881
OG0000063	SCHMD24452	MOUSE33697
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171
OG0000066	SCHMD06030	MOUSE53763
OG0000066	SCHMD05807	MOUSE13756
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	MOUSE02010
OG0000069	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554, SCHMD11437	MOUSE30824
OG0000069	SCHMD05798, SCHMD12262	MOUSE24595, MOUSE06171
OG0000069	SCHMD18974	MOUSE24597
OG0000070	SCHMD06745	MOUSE00174, MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000072	SCHMD10090	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	MOUSE18062
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	MOUSE18061, MOUSE18060, MOUSE18059, MOUSE18051, MOUSE18052
OG0000075	SCHMD10965	MOUSE45151
OG0000075	SCHMD28477	MOUSE22548
OG0000075	SCHMD03704	MOUSE31075, MOUSE39073
OG0000075	SCHMD21424	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000077	SCHMD17571	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	SCHMD23576	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502
OG0000078	SCHMD04824, SCHMD04525	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	SCHMD06941, SCHMD04736	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929
OG0000082	SCHMD03263, SCHMD10119	MOUSE25920
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	MOUSE50877, MOUSE50878
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892	MOUSE50879
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	MOUSE21451, MOUSE30075, MOUSE30074
OG0000085	SCHMD12837	MOUSE54745
OG0000085	SCHMD12836	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	SCHMD12466	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	SCHMD18327	MOUSE15351, MOUSE19993
OG0000087	SCHMD09405, SCHMD09406	MOUSE04044, MOUSE04045
OG0000087	SCHMD03794	MOUSE24630
OG0000087	SCHMD09409, SCHMD09408	MOUSE04046
OG0000087	SCHMD25358	MOUSE24629, MOUSE24631
OG0000087	SCHMD05855	MOUSE40318, MOUSE40317
OG0000087	SCHMD03393, SCHMD23919	MOUSE22119, MOUSE22054, MOUSE22052
OG0000087	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	MOUSE46082
OG0000090	SCHMD10805, SCHMD21388	MOUSE17968
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	MOUSE16619, MOUSE35368, MOUSE35369, MOUSE52764, MOUSE52765
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088	MOUSE53507, MOUSE53505, MOUSE11261
OG0000094	SCHMD26804	MOUSE53509, MOUSE53510
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850
OG0000095	SCHMD24353	MOUSE21579
OG0000096	SCHMD07753	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	SCHMD17840	MOUSE31086
OG0000096	SCHMD18607	MOUSE31088
OG0000096	SCHMD10033	MOUSE45925, MOUSE45926, MOUSE44088, MOUSE52337, MOUSE52338
OG0000097	SCHMD22037, SCHMD20326	MOUSE31754, MOUSE31753, MOUSE31748, MOUSE31746, MOUSE31745, MOUSE31749, MOUSE31752, MOUSE31750, MOUSE31751, MOUSE31744
OG0000098	SCHMD29644, SCHMD22119	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207
OG0000102	SCHMD26069, SCHMD21030	MOUSE25940
OG0000103	SCHMD29081, SCHMD19673	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384
OG0000103	SCHMD08147	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000104	SCHMD06960, SCHMD11618	MOUSE06977
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355, MOUSE32021, MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000110	SCHMD06031	MOUSE04692
OG0000110	SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056	MOUSE38814
OG0000113	SCHMD06629, SCHMD02664	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329
OG0000114	SCHMD19276	MOUSE33748, MOUSE33747, MOUSE33749, MOUSE33750
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888
OG0000114	SCHMD28859	MOUSE04136
OG0000119	SCHMD02911	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167, MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713, MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194
OG0000120	SCHMD07084	MOUSE32833
OG0000120	SCHMD26849	MOUSE28693
OG0000122	SCHMD16641, SCHMD09849	MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753
OG0000124	SCHMD10270, SCHMD10271	MOUSE45402, MOUSE45403, MOUSE06474, MOUSE06473, MOUSE38647, MOUSE38648, MOUSE14045
OG0000124	SCHMD08774	MOUSE34424, MOUSE34425
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	MOUSE36415, MOUSE36417, MOUSE03223, MOUSE44505
OG0000126	SCHMD24144	MOUSE29574, MOUSE29573, MOUSE29575, MOUSE47556
OG0000126	SCHMD06494	MOUSE30423, MOUSE01500
OG0000126	SCHMD01813, SCHMD04253	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380
OG0000127	SCHMD21110	MOUSE04059
OG0000127	SCHMD03781	MOUSE52357, MOUSE52358, MOUSE13075
OG0000128	SCHMD25789, SCHMD19594	MOUSE20235, MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208
OG0000128	SCHMD29825	MOUSE15660, MOUSE15661
OG0000129	SCHMD20816, SCHMD05405	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521
OG0000129	SCHMD03224	MOUSE45123, MOUSE55058
OG0000129	SCHMD27382	MOUSE49915
OG0000130	SCHMD02824, SCHMD13205	MOUSE41081
OG0000130	SCHMD17609	MOUSE54328, MOUSE54329, MOUSE39202, MOUSE39203, MOUSE39204, MOUSE41078, MOUSE41079, MOUSE41080, MOUSE11517, MOUSE11516
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	MOUSE08918, MOUSE08909, MOUSE21284, MOUSE08828, MOUSE08927, MOUSE08921, MOUSE08935
OG0000137	SCHMD04306	MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196
OG0000137	SCHMD09558	MOUSE18094, MOUSE18096
OG0000137	SCHMD29744	MOUSE18095
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	MOUSE38143, MOUSE38140, MOUSE38141, MOUSE38139, MOUSE38142
OG0000141	SCHMD05764	MOUSE07490
OG0000142	SCHMD01440, SCHMD00718	MOUSE17834
OG0000147	SCHMD11019	MOUSE23083, MOUSE23081, MOUSE23080, MOUSE23084, MOUSE23082, MOUSE34846, MOUSE34845, MOUSE34844
OG0000147	SCHMD11020	MOUSE23086
OG0000147	SCHMD11018	MOUSE23085
OG0000147	SCHMD11968	MOUSE09313, MOUSE09314, MOUSE09315, MOUSE09317, MOUSE12666, MOUSE12667
OG0000148	SCHMD08056	MOUSE40874, MOUSE40873, MOUSE40867, MOUSE40875, MOUSE40878, MOUSE40877, MOUSE40876, MOUSE50108, MOUSE50109, MOUSE23500, MOUSE23499, MOUSE14503
OG0000148	SCHMD08055	MOUSE23498
OG0000148	SCHMD00321, SCHMD17109	MOUSE40872
OG0000149	SCHMD06205, SCHMD05440	MOUSE44762, MOUSE19464
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	MOUSE38915, MOUSE05155, MOUSE14577, MOUSE14578, MOUSE22044, MOUSE22042, MOUSE22045, MOUSE38914
OG0000151	SCHMD02747, SCHMD12342	MOUSE32838, MOUSE31764
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	MOUSE38334, MOUSE43249, MOUSE43250, MOUSE43251
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	MOUSE07365
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	MOUSE13874, MOUSE13880, MOUSE13869, MOUSE13873, MOUSE13870, MOUSE13877, MOUSE13876, MOUSE13878, MOUSE13872, MOUSE13875, MOUSE13871, MOUSE13879, MOUSE13881, MOUSE13883, MOUSE13882, MOUSE13884, MOUSE13885, MOUSE21763, MOUSE21764
OG0000155	SCHMD13125	MOUSE33863, MOUSE33860, MOUSE33862, MOUSE21762, MOUSE21769, MOUSE21768, MOUSE21772, MOUSE21771, MOUSE21765, MOUSE21770, MOUSE21766, MOUSE21767, MOUSE21761, MOUSE33865, MOUSE33866, MOUSE33867, MOUSE33868, MOUSE33874, MOUSE33873, MOUSE33871, MOUSE33864, MOUSE33869, MOUSE33861, MOUSE33870, MOUSE21774, MOUSE21773
OG0000157	SCHMD03548, SCHMD06363	MOUSE20681, MOUSE01676
OG0000157	SCHMD01802	MOUSE49056, MOUSE49057, MOUSE49058
OG0000158	SCHMD18936	MOUSE29251, MOUSE29249, MOUSE29250, MOUSE29247, MOUSE00038, MOUSE00039, MOUSE00040, MOUSE21506, MOUSE21503, MOUSE21502, MOUSE21504
OG0000158	SCHMD15100, SCHMD15049	MOUSE46608, MOUSE46610, MOUSE46609
OG0000159	SCHMD26601, SCHMD09606	MOUSE21603
OG0000159	SCHMD14942	MOUSE00612, MOUSE00610, MOUSE00611, MOUSE34639, MOUSE34638, MOUSE25717, MOUSE27101, MOUSE27099, MOUSE16708, MOUSE16707
OG0000162	SCHMD08936, SCHMD26694	MOUSE26309, MOUSE26310, MOUSE26320, MOUSE26322, MOUSE26321, MOUSE26323, MOUSE26306, MOUSE26305
OG0000163	SCHMD23090	MOUSE14894, MOUSE14140, MOUSE14139, MOUSE14141, MOUSE06340, MOUSE14142, MOUSE06339, MOUSE06341, MOUSE14155, MOUSE14157, MOUSE14156, MOUSE14160
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	MOUSE05232, MOUSE05233, MOUSE05231, MOUSE14893, MOUSE39789, MOUSE39790, MOUSE39791
OG0000166	SCHMD08400	MOUSE46601, MOUSE46183
OG0000166	SCHMD15704, SCHMD08401	MOUSE46180, MOUSE46181
