Orthogroup	SCHMD	CAEEL
OG0000014	SCHMD25903, SCHMD23025, SCHMD25904, SCHMD07386, SCHMD27174, SCHMD27072, SCHMD26433, SCHMD26360, SCHMD08949, SCHMD06657, SCHMD08950, SCHMD10401, SCHMD15215, SCHMD08948, SCHMD27260, SCHMD22821, SCHMD18998, SCHMD27894, SCHMD21669, SCHMD28940, SCHMD25178, SCHMD18458, SCHMD17107, SCHMD17106, SCHMD04686, SCHMD16431, SCHMD18460, SCHMD25052, SCHMD18459, SCHMD25054, SCHMD25184, SCHMD28601, SCHMD23423, SCHMD23923, SCHMD18997, SCHMD16115	CAEEL18775, CAEEL20303, CAEEL13313, CAEEL13287, CAEEL04834, CAEEL20733
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031	CAEEL15587
OG0000016	SCHMD13029, SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	SCHMD16694	CAEEL18647
OG0000019	SCHMD23009	CAEEL19797
OG0000020	SCHMD01272	CAEEL07399
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	CAEEL00627
OG0000021	SCHMD14458	CAEEL08491
OG0000021	SCHMD09793	CAEEL00784
OG0000021	SCHMD07893	CAEEL15377
OG0000023	SCHMD05376	CAEEL13426
OG0000023	SCHMD14075	CAEEL20104
OG0000026	SCHMD02068, SCHMD03522	CAEEL07477
OG0000026	SCHMD00612	CAEEL09711
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076
OG0000028	SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	SCHMD15862	CAEEL20320
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	CAEEL11851
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	SCHMD20495, SCHMD12490	CAEEL03646, CAEEL03801
OG0000030	SCHMD25427	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	SCHMD16950	CAEEL02023
OG0000031	SCHMD25186, SCHMD09915	CAEEL05211, CAEEL02681
OG0000031	SCHMD17865	CAEEL07076
OG0000032	SCHMD05709, SCHMD01866	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	SCHMD11716	CAEEL20539
OG0000034	SCHMD13190, SCHMD26745	CAEEL07900
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	SCHMD04875	CAEEL01132
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	CAEEL01943
OG0000035	SCHMD19700	CAEEL04743, CAEEL01696
OG0000035	SCHMD17446	CAEEL19624
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	CAEEL18405, CAEEL11240
OG0000037	SCHMD19933	CAEEL17629, CAEEL17628
OG0000037	SCHMD19522, SCHMD00541	CAEEL03654
OG0000037	SCHMD00542, SCHMD17538	CAEEL20275
OG0000037	SCHMD03362	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	CAEEL09012, CAEEL08645
OG0000038	SCHMD04793, SCHMD13832	CAEEL19549
OG0000038	SCHMD04461, SCHMD04816, SCHMD04460	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943
OG0000039	SCHMD12270	CAEEL01485, CAEEL01773, CAEEL00466, CAEEL18993
OG0000040	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896
OG0000041	SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	CAEEL05494
OG0000043	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820	CAEEL15122
OG0000044	SCHMD03626, SCHMD00319, SCHMD06706, SCHMD06550, SCHMD21748	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000046	SCHMD07994	CAEEL08281
OG0000048	SCHMD19708, SCHMD13779	CAEEL17799
OG0000049	SCHMD02961, SCHMD14840	CAEEL02028
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	CAEEL06290, CAEEL06567, CAEEL16967, CAEEL06566, CAEEL13114, CAEEL06291, CAEEL11393, CAEEL11392, CAEEL11394, CAEEL06558, CAEEL06559, CAEEL06560, CAEEL06565, CAEEL06563, CAEEL13156, CAEEL06562, CAEEL06561, CAEEL06297, CAEEL06296, CAEEL06294, CAEEL06295, CAEEL06293, CAEEL06292, CAEEL06289, CAEEL05347, CAEEL13599, CAEEL04240, CAEEL04251, CAEEL04236, CAEEL04237, CAEEL16848, CAEEL05769, CAEEL04235, CAEEL19606, CAEEL18565
OG0000055	SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195	CAEEL14858
OG0000058	SCHMD04270	CAEEL06550
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	CAEEL09297
OG0000059	SCHMD27096	CAEEL08332
OG0000060	SCHMD28975	CAEEL20841
OG0000060	SCHMD16998	CAEEL08516
OG0000060	SCHMD17292	CAEEL08749, CAEEL08751, CAEEL08470
OG0000061	SCHMD24930	CAEEL08422
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	CAEEL02955
OG0000063	SCHMD04855	CAEEL05773
OG0000063	SCHMD09653	CAEEL11408
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	SCHMD06030, SCHMD05807, SCHMD11629, SCHMD22506	CAEEL20109
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	CAEEL06439
OG0000069	SCHMD11437	CAEEL06233
OG0000070	SCHMD06745	CAEEL02606
OG0000070	SCHMD27266, SCHMD15308	CAEEL07192
OG0000070	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858	CAEEL19861
OG0000071	SCHMD08674, SCHMD04226	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	SCHMD10090	CAEEL07368
OG0000072	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751	CAEEL09391, CAEEL08125
OG0000072	SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441	CAEEL07082
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000075	SCHMD21424	CAEEL11367
OG0000077	SCHMD17571	CAEEL01559
OG0000077	SCHMD27295	CAEEL18189
OG0000077	SCHMD10331, SCHMD20020	CAEEL18776, CAEEL19129
OG0000077	SCHMD23576	CAEEL18883
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	CAEEL06904
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	CAEEL18420
OG0000077	SCHMD15208, SCHMD02698, SCHMD27373	CAEEL20549, CAEEL20548
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	CAEEL18822, CAEEL09849
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	CAEEL10489
OG0000082	SCHMD05824, SCHMD03263, SCHMD10119	CAEEL18954, CAEEL04897
OG0000082	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	CAEEL12687
OG0000082	SCHMD03363	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	SCHMD21815, SCHMD19883, SCHMD02823, SCHMD10292, SCHMD19762	CAEEL19682, CAEEL11723, CAEEL19532, CAEEL12802, CAEEL16493, CAEEL20091, CAEEL20155, CAEEL18755
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	CAEEL10610, CAEEL18185
OG0000084	SCHMD28183, SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409	CAEEL10989
OG0000084	SCHMD21106	CAEEL20634
OG0000085	SCHMD12836	CAEEL07542
OG0000085	SCHMD12466	CAEEL03085
OG0000085	SCHMD18327	CAEEL08077
OG0000087	SCHMD25814	CAEEL16056
OG0000090	SCHMD17599, SCHMD20160, SCHMD06769	CAEEL10114
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	CAEEL10719
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	CAEEL18425
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	SCHMD07753	CAEEL11088
OG0000096	SCHMD10033	CAEEL06051, CAEEL07422
OG0000098	SCHMD20591, SCHMD11947, SCHMD19086, SCHMD11199, SCHMD08311	CAEEL01602
OG0000098	SCHMD29644, SCHMD22119	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	CAEEL07999, CAEEL08340
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	CAEEL05000, CAEEL01295
OG0000099	SCHMD14698, SCHMD05542	CAEEL19098, CAEEL14903
OG0000103	SCHMD29081, SCHMD19673	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	SCHMD08147	CAEEL01469, CAEEL18445
OG0000104	SCHMD06960, SCHMD11618	CAEEL18800
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	CAEEL00505, CAEEL20256, CAEEL19130, CAEEL20701
OG0000110	SCHMD06031	CAEEL18731
OG0000110	SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056	CAEEL15167
OG0000110	SCHMD11887	CAEEL10319, CAEEL17689
OG0000111	SCHMD18184, SCHMD22856, SCHMD10726, SCHMD13982	CAEEL12675
OG0000113	SCHMD06629, SCHMD02664	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	CAEEL18136
OG0000114	SCHMD28859	CAEEL15245, CAEEL11468
OG0000117	SCHMD02591	CAEEL06492
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	CAEEL07433
OG0000119	SCHMD02911	CAEEL08480, CAEEL08396
OG0000120	SCHMD07084	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000120	SCHMD09518	CAEEL10779, CAEEL14431
OG0000120	SCHMD11870	CAEEL10840
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849	CAEEL01544
OG0000124	SCHMD10270, SCHMD10271	CAEEL19897, CAEEL12548, CAEEL09889
OG0000124	SCHMD08774	CAEEL04963
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	CAEEL08841, CAEEL04611
OG0000126	SCHMD01813, SCHMD04253	CAEEL09101
OG0000127	SCHMD03781	CAEEL20452
OG0000127	SCHMD07478	CAEEL18545
OG0000128	SCHMD25789, SCHMD19594	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	SCHMD20816	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	SCHMD03224	CAEEL12325
OG0000129	SCHMD27382	CAEEL08188
OG0000137	SCHMD04306	CAEEL18416, CAEEL11601
OG0000137	SCHMD09558	CAEEL10559
OG0000137	SCHMD29744	CAEEL15802, CAEEL15801
OG0000140	SCHMD01677	CAEEL04513
OG0000141	SCHMD05764	CAEEL09688
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341	CAEEL15831
OG0000147	SCHMD11019	CAEEL04811
OG0000147	SCHMD11968	CAEEL18488
OG0000148	SCHMD08055	CAEEL04213
OG0000149	SCHMD05440	CAEEL08694
OG0000153	SCHMD18559	CAEEL16188
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992, SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	SCHMD03548, SCHMD06363	CAEEL00241
OG0000157	SCHMD01802	CAEEL01390
OG0000158	SCHMD18936	CAEEL20117, CAEEL08684
OG0000158	SCHMD04352	CAEEL18551, CAEEL18550, CAEEL18549
OG0000158	SCHMD15100, SCHMD15049	CAEEL06141
OG0000159	SCHMD26601, SCHMD09606	CAEEL19486
OG0000159	SCHMD14942	CAEEL02031, CAEEL05281
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	SCHMD23090	CAEEL08313
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	CAEEL20194, CAEEL08850
OG0000168	SCHMD19556	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
OG0000168	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401	CAEEL19018
OG0000169	SCHMD00386	CAEEL15798
OG0000173	SCHMD19853, SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093, SCHMD19854, SCHMD17711	CAEEL04156
OG0000174	SCHMD09838	CAEEL09479
OG0000175	SCHMD18439, SCHMD17544	CAEEL19241, CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	SCHMD11075	CAEEL13640
OG0000179	SCHMD01320	CAEEL02965, CAEEL06713
OG0000180	SCHMD20813	CAEEL06539
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	CAEEL07684
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119	CAEEL10772
OG0000183	SCHMD22220, SCHMD21103, SCHMD28756	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	SCHMD12130, SCHMD10333	CAEEL18435
OG0000186	SCHMD22114, SCHMD12081	CAEEL00795, CAEEL05654
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313	CAEEL13010
OG0000191	SCHMD17093, SCHMD17148	CAEEL14244
OG0000191	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922	CAEEL13368, CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	CAEEL00285
OG0000193	SCHMD03682, SCHMD08341	CAEEL18944
OG0000193	SCHMD22652, SCHMD22559	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985
OG0000194	SCHMD11912, SCHMD12565	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	SCHMD06771	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000195	SCHMD25501	CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481
OG0000197	SCHMD17861, SCHMD23209	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	SCHMD00317, SCHMD09035	CAEEL07587
OG0000202	SCHMD17013	CAEEL09165
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	CAEEL13029
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	CAEEL05874
OG0000208	SCHMD02180	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722
OG0000210	SCHMD24015	CAEEL19469
OG0000211	SCHMD21436	CAEEL15290
OG0000211	SCHMD10115	CAEEL02311
OG0000218	SCHMD01527, SCHMD26821	CAEEL07824, CAEEL20213
OG0000221	SCHMD10720	CAEEL10747, CAEEL06648
OG0000223	SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544	CAEEL01621, CAEEL00892
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094	CAEEL00458
OG0000225	SCHMD25261, SCHMD22794, SCHMD14161	CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	SCHMD28293	CAEEL10068, CAEEL15041
OG0000227	SCHMD25908, SCHMD05741, SCHMD05742, SCHMD06927, SCHMD26170, SCHMD05353, SCHMD25852, SCHMD04380	CAEEL19645
OG0000230	SCHMD23835, SCHMD14315	CAEEL14845, CAEEL19792
OG0000230	SCHMD27521, SCHMD14316	CAEEL13030
OG0000231	SCHMD15225, SCHMD17377	CAEEL08481
OG0000231	SCHMD24769, SCHMD25604	CAEEL01724
OG0000231	SCHMD18752, SCHMD17488	CAEEL16546
OG0000233	SCHMD05000, SCHMD19540, SCHMD06716	CAEEL03636, CAEEL19665, CAEEL19664
OG0000235	SCHMD29163	CAEEL10795, CAEEL07012
OG0000236	SCHMD00730	CAEEL19835
OG0000238	SCHMD22146, SCHMD14066	CAEEL15431
OG0000239	SCHMD03432	CAEEL14926
OG0000239	SCHMD06547	CAEEL00570
OG0000242	SCHMD01201, SCHMD06951, SCHMD14093	CAEEL09632
OG0000242	SCHMD12559	CAEEL00216
OG0000242	SCHMD20260	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000243	SCHMD12372	CAEEL13597, CAEEL13598
OG0000244	SCHMD21826, SCHMD15740, SCHMD18441, SCHMD21827	CAEEL11789, CAEEL12688
OG0000248	SCHMD25860	CAEEL17077
OG0000250	SCHMD07715, SCHMD11126	CAEEL11963
OG0000250	SCHMD00165	CAEEL07261
OG0000250	SCHMD03762, SCHMD05189	CAEEL06732
OG0000255	SCHMD14618, SCHMD25034	CAEEL05168
OG0000256	SCHMD06220	CAEEL11937, CAEEL19468
OG0000258	SCHMD19345, SCHMD00959	CAEEL19537
OG0000260	SCHMD00232, SCHMD09054, SCHMD09053, SCHMD00231	CAEEL11482
OG0000261	SCHMD07513, SCHMD19684, SCHMD09437, SCHMD06264, SCHMD17166	CAEEL20767
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	CAEEL20581
OG0000265	SCHMD18240, SCHMD09007	CAEEL10364
OG0000266	SCHMD23339	CAEEL02706
OG0000266	SCHMD11802	CAEEL02705, CAEEL19379, CAEEL09158
OG0000268	SCHMD02532, SCHMD02534	CAEEL08931
OG0000268	SCHMD25205, SCHMD21697, SCHMD06925, SCHMD06924, SCHMD06926, SCHMD10813, SCHMD14268	CAEEL09209
OG0000268	SCHMD25441	CAEEL08164
OG0000269	SCHMD02382, SCHMD21902	CAEEL10894
OG0000270	SCHMD21159, SCHMD17864	CAEEL16185, CAEEL17969, CAEEL17970
OG0000272	SCHMD13324, SCHMD08067	CAEEL11804, CAEEL19905
OG0000273	SCHMD09689	CAEEL18644
OG0000275	SCHMD24873	CAEEL11381, CAEEL10050
OG0000277	SCHMD09439	CAEEL07730, CAEEL07729
OG0000277	SCHMD27259	CAEEL07250
OG0000277	SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662	CAEEL00092, CAEEL02855
OG0000278	SCHMD04708, SCHMD14538	CAEEL07099
OG0000280	SCHMD09460	CAEEL11652
OG0000282	SCHMD16848, SCHMD05137, SCHMD15635, SCHMD25636, SCHMD25893	CAEEL11864
OG0000282	SCHMD28325	CAEEL04645
OG0000284	SCHMD23360, SCHMD08213	CAEEL18846
OG0000285	SCHMD29037	CAEEL00191
OG0000287	SCHMD20375, SCHMD22052, SCHMD09584, SCHMD21912, SCHMD24074, SCHMD15817, SCHMD20976, SCHMD00675, SCHMD16477, SCHMD24758, SCHMD25574	CAEEL19227, CAEEL19907, CAEEL20741, CAEEL18156
OG0000297	SCHMD20516, SCHMD13828, SCHMD25287, SCHMD13445, SCHMD23464, SCHMD29160, SCHMD28068, SCHMD13468, SCHMD18296, SCHMD12650, SCHMD13191, SCHMD26237, SCHMD06563, SCHMD06699, SCHMD07648, SCHMD13467, SCHMD19057	CAEEL01293, CAEEL01292, CAEEL02458, CAEEL02457, CAEEL05755, CAEEL02487, CAEEL02488
OG0000305	SCHMD22293	CAEEL19499
OG0000305	SCHMD01974, SCHMD04764, SCHMD01975	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	SCHMD02490	CAEEL11447, CAEEL11444, CAEEL11445
OG0000306	SCHMD17729	CAEEL11448
OG0000307	SCHMD17178	CAEEL02021, CAEEL19162, CAEEL00356, CAEEL00385, CAEEL16918
OG0000308	SCHMD28268, SCHMD26369, SCHMD14069, SCHMD01003, SCHMD00895	CAEEL00748
OG0000310	SCHMD12443	CAEEL02560
OG0000312	SCHMD21295, SCHMD02452	CAEEL19323
OG0000313	SCHMD20212	CAEEL12617
OG0000313	SCHMD00975, SCHMD00972	CAEEL06343
OG0000314	SCHMD02240	CAEEL05241
OG0000315	SCHMD06241, SCHMD10370, SCHMD02485, SCHMD15459	CAEEL07409
OG0000315	SCHMD17654	CAEEL07609
OG0000315	SCHMD01939, SCHMD29683	CAEEL07292
OG0000316	SCHMD10615, SCHMD19154	CAEEL01799
OG0000319	SCHMD18991	CAEEL10346
OG0000321	SCHMD04699, SCHMD05278	CAEEL19255
OG0000322	SCHMD03845, SCHMD03842	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	SCHMD20297, SCHMD05058, SCHMD04045, SCHMD21571, SCHMD14125	CAEEL08030
OG0000325	SCHMD10722, SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721, SCHMD23725, SCHMD23881, SCHMD17816	CAEEL01448, CAEEL10554
OG0000328	SCHMD15355, SCHMD24247, SCHMD15304	CAEEL20663
OG0000329	SCHMD12472, SCHMD24777, SCHMD26844, SCHMD15152	CAEEL05342
OG0000332	SCHMD26513, SCHMD25129, SCHMD25620, SCHMD25799, SCHMD18311	CAEEL10794
OG0000333	SCHMD26037, SCHMD21228	CAEEL20574
OG0000338	SCHMD23566, SCHMD22193, SCHMD20089	CAEEL02726
OG0000339	SCHMD10973	CAEEL05344
OG0000341	SCHMD01891	CAEEL02829
OG0000343	SCHMD10731, SCHMD08099	CAEEL00542
OG0000345	SCHMD15266	CAEEL13165
