Orthogroup	SCHMD	AENJA_ok
OG0000037	SCHMD00542, SCHMD17538	AENJA_13632
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983	AENJA_26313
OG0000038	SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036	AENJA_09724
OG0000038	SCHMD28404	AENJA_16130
OG0000038	SCHMD14596, SCHMD16257, SCHMD14597	AENJA_05693
OG0000038	SCHMD04461, SCHMD04816, SCHMD04460	AENJA_05701
OG0000039	SCHMD12270	AENJA_12474, AENJA_05354, AENJA_10484, AENJA_20870, AENJA_17497, AENJA_07945, AENJA_26803, AENJA_05351, AENJA_26786, AENJA_20163, AENJA_24723, AENJA_02471, AENJA_07277
OG0000040	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746	AENJA_23333
OG0000041	SCHMD08254	AENJA_08471
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	AENJA_24560
OG0000041	SCHMD22231, SCHMD13559, SCHMD17541, SCHMD21245, SCHMD24303, SCHMD14104, SCHMD15881, SCHMD26428, SCHMD20308, SCHMD01472, SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	AENJA_03404, AENJA_03405
OG0000043	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392
OG0000044	SCHMD03626, SCHMD00319, SCHMD06706	AENJA_03123
OG0000044	SCHMD06550, SCHMD21748	AENJA_25117
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	AENJA_21270, AENJA_21713
OG0000049	SCHMD07231, SCHMD18899, SCHMD19386	AENJA_17800
OG0000049	SCHMD26352	AENJA_10359
OG0000049	SCHMD16048	AENJA_26413
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	AENJA_18491, AENJA_12662
OG0000057	SCHMD08094	AENJA_15044, AENJA_21589, AENJA_13773
OG0000058	SCHMD04270	AENJA_23345
OG0000059	SCHMD05186	AENJA_09821
OG0000059	SCHMD20166	AENJA_10475
OG0000059	SCHMD27942	AENJA_10476, AENJA_10481
OG0000059	SCHMD05188, SCHMD13278	AENJA_11528
OG0000060	SCHMD17528	AENJA_19748
OG0000060	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061	AENJA_06413
OG0000060	SCHMD03062	AENJA_23597
OG0000061	SCHMD24930	AENJA_07301
OG0000061	SCHMD11039	AENJA_26614, AENJA_08766
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	AENJA_00352, AENJA_09642, AENJA_22683, AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	SCHMD04855	AENJA_20321
OG0000063	SCHMD09653	AENJA_03789
OG0000063	SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709	AENJA_04323
OG0000065	SCHMD25473, SCHMD19118	AENJA_15523
OG0000066	SCHMD06030	AENJA_12655, AENJA_09505
OG0000066	SCHMD05807	AENJA_20318
OG0000066	SCHMD01861	AENJA_04513
OG0000066	SCHMD01829	AENJA_25232, AENJA_08610
OG0000066	SCHMD17583, SCHMD06603, SCHMD09194	AENJA_22621
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000070	SCHMD06745	AENJA_20523, AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858	AENJA_17946, AENJA_17947
OG0000071	SCHMD08674, SCHMD04226	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682
OG0000072	SCHMD19677, SCHMD17046, SCHMD17002, SCHMD14858, SCHMD08261, SCHMD24480, SCHMD08262, SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751, SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441, SCHMD14329	AENJA_24050, AENJA_00746
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	AENJA_02295
OG0000073	SCHMD07917, SCHMD02585, SCHMD02588	AENJA_20986, AENJA_17540, AENJA_16473, AENJA_06601, AENJA_06603, AENJA_26408, AENJA_06597
OG0000075	SCHMD28477	AENJA_14040, AENJA_18277, AENJA_12917
OG0000075	SCHMD03704	AENJA_21406
OG0000075	SCHMD21424	AENJA_12918
OG0000077	SCHMD17571	AENJA_13107
OG0000077	SCHMD27295	AENJA_22767
OG0000077	SCHMD23576	AENJA_07475
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	AENJA_08162
OG0000077	SCHMD27373	AENJA_00875
OG0000077	SCHMD27493	AENJA_16514
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	AENJA_16186
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	AENJA_02482
OG0000079	SCHMD06941, SCHMD04736	AENJA_10507, AENJA_05095
OG0000080	SCHMD10387, SCHMD06434	AENJA_16112, AENJA_24979, AENJA_06701, AENJA_05406, AENJA_10526, AENJA_00028, AENJA_16119, AENJA_22310, AENJA_08696, AENJA_13588, AENJA_12681, AENJA_22904, AENJA_24800, AENJA_00459, AENJA_05027, AENJA_20662, AENJA_01319, AENJA_11587, AENJA_14545, AENJA_02324, AENJA_25850, AENJA_22994, AENJA_11606, AENJA_05579, AENJA_03015, AENJA_09784, AENJA_24069, AENJA_12439, AENJA_14799, AENJA_22144
OG0000082	SCHMD23210	AENJA_11460
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	AENJA_24814
OG0000084	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409	AENJA_02486
OG0000084	SCHMD28182, SCHMD25065	AENJA_23710
OG0000085	SCHMD12836	AENJA_06487
OG0000085	SCHMD12466	AENJA_24493
OG0000085	SCHMD18327	AENJA_20539
OG0000087	SCHMD09405, SCHMD09406	AENJA_23251
OG0000087	SCHMD05855	AENJA_08976
OG0000087	SCHMD25288	AENJA_20453
OG0000090	SCHMD10805, SCHMD21388	AENJA_02476
OG0000090	SCHMD17599, SCHMD20160	AENJA_00371
OG0000090	SCHMD06769	AENJA_26164
OG0000093	SCHMD04238	AENJA_09135
OG0000093	SCHMD00352	AENJA_08955
OG0000093	SCHMD02917	AENJA_04649, AENJA_22923
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	AENJA_14582
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	AENJA_26553
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173
OG0000095	SCHMD01761	AENJA_11793, AENJA_23676
OG0000096	SCHMD10033	AENJA_09240, AENJA_14053
OG0000097	SCHMD22037, SCHMD20326	AENJA_19407, AENJA_02407, AENJA_16144, AENJA_07989, AENJA_07990, AENJA_20179, AENJA_07992, AENJA_18648, AENJA_07730, AENJA_02415
OG0000098	SCHMD17663	AENJA_05303
OG0000098	SCHMD29644, SCHMD22119	AENJA_22563, AENJA_15215
OG0000098	SCHMD06392, SCHMD12932, SCHMD10502	AENJA_23539, AENJA_14153
OG0000099	SCHMD03930, SCHMD15019	AENJA_17408
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	AENJA_19631
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	AENJA_07638, AENJA_14869
OG0000099	SCHMD14698, SCHMD05542	AENJA_15326
OG0000102	SCHMD26069, SCHMD21030	AENJA_22391
OG0000103	SCHMD29081, SCHMD19673	AENJA_10812
OG0000103	SCHMD08147	AENJA_14367
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	AENJA_21591, AENJA_13743, AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000110	SCHMD11887	AENJA_09309, AENJA_19995, AENJA_08732
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000115	SCHMD28271, SCHMD15320	AENJA_00532, AENJA_13552, AENJA_13554
OG0000116	SCHMD19106	AENJA_23563, AENJA_23564
OG0000116	SCHMD19105	AENJA_17822
OG0000117	SCHMD02591	AENJA_10010
OG0000117	SCHMD11493	AENJA_08111
OG0000117	SCHMD14102	AENJA_25893
OG0000119	SCHMD02911	AENJA_18357, AENJA_20512, AENJA_08115, AENJA_08491
OG0000120	SCHMD07084	AENJA_04133
OG0000120	SCHMD11870	AENJA_09034
OG0000121	SCHMD07020	AENJA_07109, AENJA_25145
OG0000121	SCHMD20010, SCHMD10285, SCHMD10287, SCHMD21058, SCHMD10289, SCHMD12440	AENJA_10975
OG0000122	SCHMD16641, SCHMD09849	AENJA_14198
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	AENJA_13105
OG0000123	SCHMD07646	AENJA_08155
OG0000123	SCHMD22122, SCHMD14008	AENJA_26530
OG0000124	SCHMD10270, SCHMD10271	AENJA_03116, AENJA_25792, AENJA_04495, AENJA_04496
OG0000124	SCHMD08774	AENJA_09769, AENJA_03187
OG0000126	SCHMD24144	AENJA_24273
OG0000127	SCHMD03781	AENJA_20308
OG0000127	SCHMD18620	AENJA_11687
OG0000128	SCHMD25789, SCHMD19594	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744
OG0000128	SCHMD29825	AENJA_21735
OG0000129	SCHMD05405	AENJA_11469
OG0000129	SCHMD03224	AENJA_21737
OG0000129	SCHMD24436, SCHMD08405, SCHMD14968	AENJA_16458, AENJA_17470
OG0000129	SCHMD27382	AENJA_12119, AENJA_20942, AENJA_12123
OG0000130	SCHMD02824, SCHMD13205	AENJA_15966
OG0000135	SCHMD24143, SCHMD24147	AENJA_15054
OG0000136	SCHMD25568, SCHMD19897	AENJA_26094
OG0000137	SCHMD09558	AENJA_09533
OG0000137	SCHMD29744	AENJA_20614
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830
OG0000140	SCHMD02421, SCHMD05316, SCHMD01679	AENJA_16090, AENJA_05474
OG0000140	SCHMD01677	AENJA_05753
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341	AENJA_25989
OG0000142	SCHMD14394	AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249
OG0000142	SCHMD01440, SCHMD00718	AENJA_21733, AENJA_26417
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	AENJA_16857, AENJA_18146
OG0000145	SCHMD03152	AENJA_06072
OG0000147	SCHMD11968	AENJA_12275
OG0000148	SCHMD08056	AENJA_21220
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	AENJA_13409
OG0000151	SCHMD02747, SCHMD12342	AENJA_03698
OG0000153	SCHMD18559	AENJA_13294
OG0000155	SCHMD13125	AENJA_20550
OG0000157	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	AENJA_07142
OG0000158	SCHMD18936	AENJA_06739
OG0000158	SCHMD09898, SCHMD12271, SCHMD07912	AENJA_12334
OG0000159	SCHMD26601, SCHMD09606	AENJA_15908, AENJA_16647, AENJA_17890
OG0000159	SCHMD14942	AENJA_06073, AENJA_25487
OG0000162	SCHMD01637	AENJA_01578
OG0000162	SCHMD26694	AENJA_09371
OG0000163	SCHMD23090	AENJA_06699, AENJA_21072, AENJA_04184, AENJA_14266, AENJA_00250, AENJA_14265
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	AENJA_02338
OG0000166	SCHMD08400	AENJA_09907, AENJA_09910
OG0000166	SCHMD15704, SCHMD08401	AENJA_13257
OG0000167	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	AENJA_12329
OG0000169	SCHMD00386	AENJA_00158, AENJA_08952
OG0000169	SCHMD00387	AENJA_04999, AENJA_00159, AENJA_00157
OG0000173	SCHMD19854, SCHMD17711	AENJA_14259
OG0000174	SCHMD09838	AENJA_09689
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	AENJA_19122
OG0000174	SCHMD08354, SCHMD22729	AENJA_02198
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520	AENJA_10259
OG0000175	SCHMD18439, SCHMD17544	AENJA_12556, AENJA_06264, AENJA_00936, AENJA_00556, AENJA_05120, AENJA_10260
OG0000179	SCHMD11075	AENJA_05305
OG0000179	SCHMD01320	AENJA_25279
OG0000179	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468	AENJA_20696
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	AENJA_08843
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	AENJA_05116, AENJA_18867, AENJA_18892
OG0000181	SCHMD11453	AENJA_04368
OG0000182	SCHMD07603	AENJA_13561, AENJA_04237, AENJA_14411, AENJA_25436, AENJA_18200, AENJA_14646, AENJA_19566, AENJA_20760, AENJA_11285, AENJA_14094, AENJA_25433, AENJA_16384, AENJA_15115
OG0000183	SCHMD21103, SCHMD28756	AENJA_03852
OG0000183	SCHMD12130, SCHMD10333	AENJA_18616, AENJA_21091, AENJA_21093
OG0000185	SCHMD07834	AENJA_13582
OG0000186	SCHMD16812	AENJA_22491
OG0000186	SCHMD24594	AENJA_06752
OG0000191	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922	AENJA_11494, AENJA_16824
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	AENJA_20612, AENJA_06675
OG0000192	SCHMD03934	AENJA_23240
OG0000193	SCHMD22652, SCHMD22559	AENJA_10880, AENJA_10878, AENJA_10877, AENJA_08498
OG0000194	SCHMD11912, SCHMD12565	AENJA_10642, AENJA_01834
OG0000195	SCHMD06851	AENJA_16048, AENJA_12573
OG0000195	SCHMD06771	AENJA_10227, AENJA_02703
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	AENJA_03262
OG0000198	SCHMD19721, SCHMD14674, SCHMD25939	AENJA_08705
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	AENJA_04223
OG0000201	SCHMD00317, SCHMD09035	AENJA_12926
OG0000201	SCHMD10520	AENJA_00457
OG0000203	SCHMD13221	AENJA_01110, AENJA_20011
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	AENJA_01745
OG0000205	SCHMD14902, SCHMD14453	AENJA_05025
OG0000205	SCHMD18472, SCHMD00599, SCHMD27278	AENJA_01890
OG0000205	SCHMD07996	AENJA_22602
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	AENJA_24487
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	AENJA_16595
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	AENJA_21122, AENJA_13029, AENJA_06576, AENJA_19501, AENJA_13513, AENJA_18296, AENJA_07421
OG0000210	SCHMD26754	AENJA_10706
OG0000210	SCHMD24015	AENJA_04024
OG0000211	SCHMD21436	AENJA_19821
OG0000215	SCHMD15383	AENJA_06502, AENJA_01427
OG0000215	SCHMD27729, SCHMD15945	AENJA_03894, AENJA_01426
OG0000218	SCHMD01527	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732
OG0000220	SCHMD07645	AENJA_19945, AENJA_06243, AENJA_19950
OG0000221	SCHMD10720	AENJA_18945, AENJA_16769, AENJA_12084
OG0000222	SCHMD21612, SCHMD08502	AENJA_10919, AENJA_15540
OG0000223	SCHMD02890, SCHMD03920, SCHMD02891	AENJA_17914
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493	AENJA_25328, AENJA_19949
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	AENJA_04793, AENJA_18668
OG0000226	SCHMD28582	AENJA_22494
OG0000227	SCHMD04380	AENJA_15987, AENJA_15991
OG0000230	SCHMD23835, SCHMD14315	AENJA_06650
OG0000231	SCHMD23026	AENJA_15363
OG0000231	SCHMD24769, SCHMD25604	AENJA_08495
OG0000232	SCHMD14178, SCHMD02027	AENJA_22644, AENJA_08798, AENJA_08797
OG0000233	SCHMD05000	AENJA_01071
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	AENJA_04371
OG0000236	SCHMD00730	AENJA_25135
OG0000239	SCHMD18522	AENJA_09843
OG0000239	SCHMD03432	AENJA_06019
OG0000239	SCHMD06547	AENJA_09841
OG0000240	SCHMD06226, SCHMD00582	AENJA_19535
OG0000241	SCHMD13993	AENJA_22855, AENJA_24849
OG0000243	SCHMD12372	AENJA_26524
OG0000244	SCHMD15740, SCHMD18441, SCHMD21827	AENJA_02207
OG0000246	SCHMD29765	AENJA_23370
OG0000246	SCHMD02140	AENJA_10538, AENJA_10539
OG0000246	SCHMD12291, SCHMD13657, SCHMD12290	AENJA_11679
