Orthogroup	SCHMD	CAPO3
OG0000207	SCHMD08593, SCHMD23499, SCHMD28860, SCHMD21038, SCHMD27067, SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396, SCHMD21037	CAPO304105, CAPO304106, CAPO304714
OG0000211	SCHMD21436, SCHMD10115	CAPO306209
OG0000218	SCHMD01527, SCHMD26821	CAPO300559
OG0000220	SCHMD15387, SCHMD08237, SCHMD07645	CAPO306780, CAPO307695
OG0000221	SCHMD10720	CAPO305669, CAPO306000, CAPO305162, CAPO300247, CAPO308272, CAPO301991, CAPO300059
OG0000222	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502	CAPO304211
OG0000223	SCHMD02890, SCHMD03920, SCHMD02891, SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493, SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565, SCHMD02892, SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544, SCHMD25725	CAPO308126
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161, SCHMD18925, SCHMD18924	CAPO305347
OG0000226	SCHMD28293	CAPO303463
OG0000228	SCHMD07563, SCHMD07561, SCHMD07562, SCHMD11296	CAPO306208
OG0000234	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368	CAPO301359
OG0000238	SCHMD22146, SCHMD14066	CAPO305428
OG0000239	SCHMD18522, SCHMD03432, SCHMD16926, SCHMD03433, SCHMD01648, SCHMD18521, SCHMD06547	CAPO302089
OG0000240	SCHMD06226, SCHMD00582	CAPO303214
OG0000242	SCHMD20260	CAPO304847
OG0000244	SCHMD21826, SCHMD15740, SCHMD18441, SCHMD21827	CAPO301556
OG0000246	SCHMD28687, SCHMD29623, SCHMD29618, SCHMD29765, SCHMD02140, SCHMD16891, SCHMD17961, SCHMD12289, SCHMD12291, SCHMD13657, SCHMD12290	CAPO303496
OG0000248	SCHMD01134, SCHMD07579, SCHMD25860, SCHMD09553, SCHMD07301, SCHMD15578, SCHMD28870, SCHMD28143, SCHMD26766, SCHMD07305, SCHMD23142, SCHMD07304, SCHMD09549, SCHMD06759, SCHMD00071	CAPO307635, CAPO302481, CAPO302487
OG0000250	SCHMD00165	CAPO305827
OG0000255	SCHMD14618, SCHMD25034	CAPO301531
OG0000256	SCHMD06220	CAPO307884
OG0000257	SCHMD24197, SCHMD15360, SCHMD21968, SCHMD21969, SCHMD20769	CAPO300414
OG0000258	SCHMD00959	CAPO301106
OG0000260	SCHMD09053	CAPO303219
OG0000260	SCHMD00231	CAPO300399
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	CAPO306126
OG0000265	SCHMD18240, SCHMD09007	CAPO306540
OG0000271	SCHMD06707	CAPO304641
OG0000273	SCHMD09689	CAPO305109
OG0000277	SCHMD09439	CAPO300750, CAPO306681, CAPO303621
OG0000277	SCHMD27259, SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662	CAPO307814, CAPO307752
OG0000278	SCHMD04708, SCHMD14538	CAPO302023
OG0000278	SCHMD00822, SCHMD09237, SCHMD03776	CAPO305864
OG0000282	SCHMD16848, SCHMD05137, SCHMD15635, SCHMD25636, SCHMD25893, SCHMD28325	CAPO308183
OG0000285	SCHMD29037	CAPO303377
OG0000288	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061	CAPO305142
OG0000289	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163, SCHMD23289, SCHMD16353, SCHMD29502, SCHMD19194, SCHMD19219, SCHMD13163, SCHMD22750	CAPO307835
OG0000295	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695	CAPO302113, CAPO302799
OG0000299	SCHMD12746, SCHMD13170, SCHMD20344	CAPO306599
OG0000305	SCHMD04764	CAPO307183
OG0000306	SCHMD02490, SCHMD21359, SCHMD02963, SCHMD23914, SCHMD02489, SCHMD17729	CAPO308212
OG0000308	SCHMD26369	CAPO304037
OG0000310	SCHMD09298, SCHMD11775	CAPO305978
OG0000312	SCHMD10213, SCHMD21295, SCHMD02452	CAPO304557
OG0000313	SCHMD03134	CAPO307072
OG0000313	SCHMD09307, SCHMD20212, SCHMD00975, SCHMD00972, SCHMD02125	CAPO301348
OG0000314	SCHMD02240	CAPO304303
OG0000315	SCHMD06241	CAPO307611
OG0000315	SCHMD01939	CAPO308167
OG0000319	SCHMD24888, SCHMD18991, SCHMD16676, SCHMD24889, SCHMD28931, SCHMD18992, SCHMD16068, SCHMD16067, SCHMD16069	CAPO303225
OG0000322	SCHMD03845, SCHMD03842	CAPO306406
OG0000326	SCHMD05388, SCHMD24730	CAPO308358, CAPO307947
OG0000326	SCHMD29727	CAPO303322
OG0000338	SCHMD23566, SCHMD22193, SCHMD20089, SCHMD17969	CAPO304735
OG0000339	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027, SCHMD10973	CAPO305264
OG0000343	SCHMD10731, SCHMD08099	CAPO306429
OG0000352	SCHMD07814, SCHMD03216	CAPO300356
OG0000357	SCHMD01155	CAPO301487
OG0000360	SCHMD00611, SCHMD06046, SCHMD19691, SCHMD20116, SCHMD06047	CAPO300757
OG0000363	SCHMD20653	CAPO305594
OG0000364	SCHMD15142, SCHMD27939	CAPO301330, CAPO300908
OG0000367	SCHMD09947, SCHMD00568	CAPO301272
OG0000372	SCHMD09703, SCHMD26866, SCHMD11546, SCHMD21831, SCHMD11336, SCHMD21198, SCHMD11338	CAPO307553
OG0000373	SCHMD12690, SCHMD02964, SCHMD08646, SCHMD00201, SCHMD13176, SCHMD08271	CAPO301744
OG0000373	SCHMD14501, SCHMD16786	CAPO307539
OG0000385	SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491	CAPO300182, CAPO305781, CAPO305517
OG0000390	SCHMD02401, SCHMD19098	CAPO307000
OG0000392	SCHMD08120, SCHMD08121	CAPO300351
OG0000393	SCHMD10497	CAPO307627
OG0000397	SCHMD20119, SCHMD04641	CAPO304372
OG0000399	SCHMD00926, SCHMD06729, SCHMD23058, SCHMD03563, SCHMD24680, SCHMD10909, SCHMD09432, SCHMD23059	CAPO302781
OG0000402	SCHMD10342, SCHMD12760, SCHMD14530, SCHMD02881, SCHMD11412	CAPO300999
OG0000405	SCHMD26927, SCHMD22788, SCHMD20823	CAPO300636
OG0000412	SCHMD08478	CAPO306116
OG0000412	SCHMD26267, SCHMD21996, SCHMD18753, SCHMD11584	CAPO307159
OG0000413	SCHMD18816, SCHMD03327, SCHMD18461, SCHMD19663, SCHMD03328	CAPO302663
OG0000413	SCHMD18817, SCHMD28614	CAPO304678
OG0000419	SCHMD20590, SCHMD23181, SCHMD17261, SCHMD26157	CAPO304227
OG0000420	SCHMD23004	CAPO307162
OG0000422	SCHMD13923, SCHMD28499, SCHMD13922, SCHMD11782, SCHMD13921, SCHMD19755, SCHMD21866	CAPO301071
OG0000424	SCHMD27748, SCHMD06039, SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568	CAPO302770, CAPO306814
OG0000426	SCHMD02251	CAPO302714
OG0000426	SCHMD20249, SCHMD19378, SCHMD08176	CAPO306829
OG0000427	SCHMD07526, SCHMD14108	CAPO302870
OG0000431	SCHMD00614	CAPO304684
OG0000433	SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790	CAPO304838, CAPO302573
OG0000434	SCHMD11371, SCHMD07829	CAPO304471
OG0000435	SCHMD12216, SCHMD19476	CAPO308080
OG0000436	SCHMD13323, SCHMD09381, SCHMD19812, SCHMD12383, SCHMD19813	CAPO305799
OG0000437	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769	CAPO300952
OG0000442	SCHMD07580	CAPO301179
OG0000444	SCHMD00767, SCHMD00766	CAPO305423
OG0000445	SCHMD29179	CAPO301584
OG0000447	SCHMD15169, SCHMD15170, SCHMD24266	CAPO300691
OG0000450	SCHMD15839, SCHMD21713, SCHMD25409, SCHMD13515	CAPO307586, CAPO307446
OG0000454	SCHMD28986, SCHMD13266, SCHMD11564, SCHMD20156, SCHMD03653, SCHMD17914	CAPO301952
OG0000461	SCHMD03515	CAPO303645, CAPO304085, CAPO303531
OG0000461	SCHMD06358, SCHMD06359	CAPO307456
OG0000467	SCHMD03209	CAPO302815
OG0000467	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369	CAPO302214
OG0000469	SCHMD15597	CAPO306584, CAPO302277
OG0000469	SCHMD09418	CAPO302982
OG0000470	SCHMD05493, SCHMD05494, SCHMD03184, SCHMD03185	CAPO307521
OG0000475	SCHMD03319, SCHMD25802, SCHMD20688, SCHMD03320, SCHMD03318	CAPO303779
OG0000476	SCHMD04015	CAPO306104
OG0000479	SCHMD10108	CAPO303549
OG0000479	SCHMD14823, SCHMD04174	CAPO304267
OG0000480	SCHMD19204, SCHMD14582, SCHMD09535	CAPO307201
OG0000481	SCHMD12328	CAPO300053
OG0000481	SCHMD11352, SCHMD11001	CAPO304800
OG0000481	SCHMD06297	CAPO304355
OG0000484	SCHMD20174, SCHMD17933, SCHMD25775, SCHMD29525, SCHMD10182, SCHMD03948, SCHMD20175, SCHMD12364, SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110, SCHMD15292	CAPO304750
OG0000485	SCHMD16798, SCHMD13016, SCHMD17436, SCHMD21312, SCHMD21946, SCHMD16799, SCHMD17091	CAPO303224, CAPO303026
OG0000486	SCHMD19250	CAPO306048, CAPO306972
OG0000488	SCHMD01306, SCHMD17798, SCHMD16340	CAPO305871
OG0000490	SCHMD03996	CAPO304482
OG0000490	SCHMD23364	CAPO302264
OG0000491	SCHMD03171, SCHMD08983, SCHMD20738, SCHMD13341, SCHMD07340, SCHMD18133, SCHMD23188, SCHMD23436, SCHMD27960, SCHMD18920, SCHMD17666, SCHMD22815, SCHMD07927, SCHMD20806, SCHMD08846, SCHMD08847, SCHMD23642, SCHMD25563, SCHMD27546, SCHMD28266, SCHMD26950, SCHMD21486, SCHMD20472, SCHMD23045, SCHMD23074, SCHMD09539, SCHMD08981, SCHMD06713, SCHMD11915, SCHMD09317, SCHMD02859, SCHMD00109, SCHMD00103, SCHMD08015, SCHMD18354, SCHMD03551, SCHMD00998	CAPO305506
OG0000494	SCHMD12513, SCHMD23674, SCHMD27423, SCHMD04960, SCHMD24725, SCHMD26393, SCHMD25222, SCHMD18092, SCHMD26971, SCHMD24713, SCHMD21987	CAPO300277
OG0000506	SCHMD24136, SCHMD05024	CAPO304587
OG0000510	SCHMD10006	CAPO303128, CAPO305095
OG0000514	SCHMD15950, SCHMD28993, SCHMD17111	CAPO307292
OG0000519	SCHMD19355, SCHMD25526, SCHMD21661, SCHMD23283	CAPO300709
OG0000520	SCHMD05955	CAPO302094
OG0000520	SCHMD29599, SCHMD27845	CAPO304720
OG0000522	SCHMD23148, SCHMD08897	CAPO306204
OG0000528	SCHMD03822, SCHMD02315, SCHMD09612	CAPO300417
OG0000529	SCHMD24374	CAPO307357
OG0000530	SCHMD23577, SCHMD10363, SCHMD07780, SCHMD07802, SCHMD07779, SCHMD20771, SCHMD28369	CAPO306919
OG0000532	SCHMD07765	CAPO301913
OG0000538	SCHMD23313	CAPO300039
OG0000538	SCHMD17312	CAPO302001
OG0000548	SCHMD11369, SCHMD02725, SCHMD00205	CAPO307253, CAPO307370
OG0000551	SCHMD28789, SCHMD18977, SCHMD20852, SCHMD20040, SCHMD29185, SCHMD16306, SCHMD26226, SCHMD18979, SCHMD18976, SCHMD28799, SCHMD28338, SCHMD15481	CAPO305700
OG0000552	SCHMD16245, SCHMD21874, SCHMD07234, SCHMD13011, SCHMD12173, SCHMD26203, SCHMD19357, SCHMD01116, SCHMD12890	CAPO302805
OG0000553	SCHMD18290, SCHMD06981	CAPO302261
OG0000554	SCHMD06339, SCHMD06340, SCHMD01332	CAPO300205
OG0000556	SCHMD23624	CAPO305079
OG0000561	SCHMD09766	CAPO307817, CAPO304686, CAPO304296
OG0000563	SCHMD25177, SCHMD22478, SCHMD19010, SCHMD18961, SCHMD13906, SCHMD19772, SCHMD04138, SCHMD13630, SCHMD27006, SCHMD25371, SCHMD26550, SCHMD20849, SCHMD11824, SCHMD20039, SCHMD21297, SCHMD02175, SCHMD21596, SCHMD14777, SCHMD04135, SCHMD05410, SCHMD16749, SCHMD27088, SCHMD13743, SCHMD13510, SCHMD05417, SCHMD00956, SCHMD23940	CAPO305151
OG0000566	SCHMD24931, SCHMD26489	CAPO306820
OG0000567	SCHMD27076, SCHMD27355, SCHMD13533, SCHMD00241, SCHMD03989, SCHMD19236, SCHMD27026	CAPO300710, CAPO302895
OG0000572	SCHMD10816, SCHMD03242, SCHMD25603	CAPO302048
OG0000573	SCHMD13281, SCHMD17636, SCHMD00372, SCHMD01043, SCHMD15213, SCHMD24610	CAPO301573
OG0000573	SCHMD11309, SCHMD19455, SCHMD01045, SCHMD29036, SCHMD15211, SCHMD16187	CAPO300482
OG0000574	SCHMD01583, SCHMD12209, SCHMD05508, SCHMD00489	CAPO303025
OG0000578	SCHMD07755, SCHMD00300, SCHMD17617	CAPO305505
OG0000579	SCHMD26692, SCHMD29307	CAPO303635
OG0000583	SCHMD12669, SCHMD05295, SCHMD25227, SCHMD08418, SCHMD20267, SCHMD01121, SCHMD04123, SCHMD14346, SCHMD17189, SCHMD06646, SCHMD04941	CAPO302594
OG0000585	SCHMD24793, SCHMD28810, SCHMD24792, SCHMD27773, SCHMD04336, SCHMD25418	CAPO302010
OG0000586	SCHMD22847, SCHMD22071, SCHMD26810, SCHMD08470, SCHMD16050, SCHMD19532	CAPO304818
OG0000587	SCHMD03879, SCHMD05571	CAPO304868
OG0000588	SCHMD09247, SCHMD07021, SCHMD07022	CAPO300701
OG0000590	SCHMD08634	CAPO302664
OG0000590	SCHMD18326	CAPO307990
OG0000591	SCHMD10835	CAPO300885
OG0000591	SCHMD09048, SCHMD27550, SCHMD09047	CAPO301508, CAPO306921
OG0000592	SCHMD11895, SCHMD04777	CAPO302552
OG0000594	SCHMD01864, SCHMD01865	CAPO305185
OG0000597	SCHMD00271	CAPO305949
OG0000600	SCHMD24344, SCHMD16882, SCHMD16883	CAPO302133
OG0000603	SCHMD15890, SCHMD18934, SCHMD26022, SCHMD15888	CAPO300286
OG0000604	SCHMD25060, SCHMD19326, SCHMD28316, SCHMD25058, SCHMD15896, SCHMD15253, SCHMD27467, SCHMD15254, SCHMD15897	CAPO304248
OG0000609	SCHMD24245, SCHMD16443	CAPO305915
OG0000609	SCHMD17568	CAPO306415
OG0000611	SCHMD07468	CAPO305139
OG0000611	SCHMD07467, SCHMD10118	CAPO302505
OG0000612	SCHMD03892, SCHMD04363, SCHMD09119	CAPO308174
OG0000612	SCHMD12368	CAPO300901
OG0000613	SCHMD19801, SCHMD26357, SCHMD15315, SCHMD11333	CAPO306741, CAPO303985
OG0000614	SCHMD02000, SCHMD19846, SCHMD14215, SCHMD02001	CAPO306138, CAPO304207
OG0000619	SCHMD20094	CAPO303580
OG0000623	SCHMD06017, SCHMD06018	CAPO306891
OG0000623	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585	CAPO306678
OG0000624	SCHMD01951	CAPO304034, CAPO304035
OG0000627	SCHMD09127	CAPO301912
OG0000628	SCHMD21997, SCHMD24762, SCHMD25901	CAPO306878
OG0000634	SCHMD10172, SCHMD10394, SCHMD05099, SCHMD10171, SCHMD10393, SCHMD05098, SCHMD18845, SCHMD05101, SCHMD10395	CAPO305866
OG0000636	SCHMD23842, SCHMD07652, SCHMD03198	CAPO300927, CAPO308236
OG0000637	SCHMD05589, SCHMD10644, SCHMD20645, SCHMD23793, SCHMD25329, SCHMD16174, SCHMD06815, SCHMD14376, SCHMD24038	CAPO306492
OG0000639	SCHMD15823	CAPO300322
OG0000639	SCHMD12604, SCHMD12603, SCHMD12605, SCHMD10747	CAPO305269
OG0000642	SCHMD07724	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000643	SCHMD11980, SCHMD11653, SCHMD12892, SCHMD14321	CAPO301316
OG0000645	SCHMD29005, SCHMD05528	CAPO307784, CAPO304648
OG0000648	SCHMD09057	CAPO307637
OG0000648	SCHMD29274	CAPO304025
OG0000648	SCHMD18065	CAPO307568
OG0000651	SCHMD02428	CAPO301045
OG0000652	SCHMD03400, SCHMD03280, SCHMD23460, SCHMD03282, SCHMD27558, SCHMD03401, SCHMD03285, SCHMD29341, SCHMD05205, SCHMD08162	CAPO307163
OG0000653	SCHMD07619, SCHMD08845	CAPO304384
