Orthogroup	SCHMD	BRAFL
OG0000147	SCHMD11019	bflo_24794
OG0000147	SCHMD11968	bflo_01706
OG0000148	SCHMD08056	bflo_17467, bflo_17466
OG0000148	SCHMD08055	bflo_17681
OG0000149	SCHMD05440	bflo_07407
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	bflo_26440
OG0000151	SCHMD02747, SCHMD12342	bflo_16242
OG0000153	SCHMD18559	bflo_16858
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	bflo_09367
OG0000157	SCHMD06364	bflo_08074
OG0000157	SCHMD01802	bflo_13284
OG0000158	SCHMD18936	bflo_05936
OG0000158	SCHMD09898, SCHMD12271, SCHMD07912	bflo_15817
OG0000159	SCHMD26601, SCHMD09606	bflo_01737
OG0000159	SCHMD14942	bflo_03187, bflo_18341, bflo_18486, bflo_10462, bflo_08858
OG0000162	SCHMD01637	bflo_04273
OG0000162	SCHMD26694	bflo_03351
OG0000162	SCHMD05631, SCHMD22574, SCHMD09891	bflo_03352, bflo_03068
OG0000163	SCHMD23090	bflo_22675, bflo_22678, bflo_22689
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	bflo_00524
OG0000166	SCHMD08400	bflo_20238
OG0000167	SCHMD16214, SCHMD15187	bflo_00939, bflo_07169
OG0000169	SCHMD00386	bflo_04857
OG0000169	SCHMD00387	bflo_04863
OG0000171	SCHMD26790, SCHMD13950, SCHMD07239, SCHMD01258, SCHMD16118	bflo_21876
OG0000174	SCHMD09838	bflo_06008, bflo_06009
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	bflo_00753, bflo_12996, bflo_07672
OG0000175	SCHMD18439, SCHMD17544	bflo_23016, bflo_27417, bflo_07263, bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117
OG0000179	SCHMD11075	bflo_08207, bflo_09019, bflo_09021
OG0000179	SCHMD01320	bflo_26285, bflo_26298
OG0000179	SCHMD00307	bflo_13967
OG0000180	SCHMD14947	bflo_23997
OG0000180	SCHMD20813	bflo_24730
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	bflo_18642
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	bflo_08690
OG0000182	SCHMD07603	bflo_06710, bflo_04535, bflo_04482, bflo_04306, bflo_01747, bflo_11472, bflo_21935, bflo_02087, bflo_23800, bflo_11473, bflo_09048
OG0000183	SCHMD21103, SCHMD28756	bflo_07655
OG0000183	SCHMD12130, SCHMD10333	bflo_23164, bflo_10143
OG0000185	SCHMD07834	bflo_19737
OG0000186	SCHMD16812	bflo_02812
OG0000186	SCHMD07850, SCHMD22114, SCHMD12081	bflo_05784, bflo_16204
OG0000186	SCHMD11605	bflo_17090, bflo_18489, bflo_18356
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313	bflo_07429
OG0000188	SCHMD07283	bflo_22582, bflo_22586, bflo_06453
OG0000188	SCHMD04013	bflo_22344
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	bflo_25238
OG0000193	SCHMD03682, SCHMD08341	bflo_09355
OG0000194	SCHMD11912, SCHMD12565	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415
OG0000195	SCHMD06851	bflo_12247, bflo_11387, bflo_11071, bflo_22055
OG0000195	SCHMD06771	bflo_06670, bflo_06671, bflo_06263, bflo_21166
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	bflo_01547
OG0000198	SCHMD19721, SCHMD14674, SCHMD25939	bflo_04528, bflo_27455
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	bflo_15720, bflo_15718, bflo_16879
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	bflo_22807
OG0000201	SCHMD00317, SCHMD09035	bflo_21108
OG0000201	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519	bflo_20635
OG0000203	SCHMD13221	bflo_18229, bflo_01170
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	bflo_24561
OG0000204	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858	bflo_03487
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	bflo_23189
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	bflo_02483
OG0000205	SCHMD07996	bflo_18880
OG0000207	SCHMD08593, SCHMD23499, SCHMD28860, SCHMD21038, SCHMD27067	bflo_18047, bflo_16828, bflo_15604, bflo_27157, bflo_15737, bflo_21694, bflo_15609, bflo_15622
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	bflo_13202
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	bflo_20476
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	bflo_06987, bflo_26146, bflo_25770, bflo_20932, bflo_08497, bflo_26177, bflo_25940
OG0000210	SCHMD26754	bflo_12303
OG0000210	SCHMD24015	bflo_22179
OG0000211	SCHMD21436	bflo_14216
OG0000211	SCHMD10115	bflo_06787
OG0000214	SCHMD27341	bflo_09926
OG0000215	SCHMD27729, SCHMD15945	bflo_15298
OG0000218	SCHMD01527	bflo_03730, bflo_03990, bflo_03994, bflo_12836, bflo_00660, bflo_12835, bflo_20676, bflo_04003, bflo_04004, bflo_12871
OG0000220	SCHMD07645	bflo_05704
OG0000221	SCHMD10720	bflo_02108, bflo_18535, bflo_18534, bflo_24796, bflo_00282
OG0000222	SCHMD21612, SCHMD08502	bflo_14099, bflo_07131, bflo_00039, bflo_14098, bflo_15183, bflo_14097, bflo_00040, bflo_14514, bflo_24486, bflo_24255, bflo_05542
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493	bflo_26185
OG0000223	SCHMD03921, SCHMD02888	bflo_09246, bflo_10307
OG0000223	SCHMD07141	bflo_21359, bflo_21358
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	bflo_11467, bflo_12198
