Orthogroup	SCHMD	ORYLA
OG0000077	SCHMD23576	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000078	SCHMD04824, SCHMD04525	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	SCHMD06941, SCHMD04736	ORYLA13165
OG0000080	SCHMD10387, SCHMD06434	ORYLA09642, ORYLA12801
OG0000082	SCHMD03263, SCHMD10119	ORYLA02580
OG0000082	SCHMD29028	ORYLA09330
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	ORYLA03293, ORYLA05560
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892	ORYLA19108
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000085	SCHMD12836	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	SCHMD12466	ORYLA06168
OG0000085	SCHMD18327	ORYLA17935
OG0000087	SCHMD09399, SCHMD09405, SCHMD09406	ORYLA07293
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	SCHMD07753	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	SCHMD10033	ORYLA12353, ORYLA17186, ORYLA10017
OG0000098	SCHMD29644, SCHMD22119	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000102	SCHMD09396, SCHMD12410, SCHMD08585, SCHMD18142, SCHMD10076, SCHMD00250, SCHMD26069, SCHMD21030, SCHMD29532	ORYLA12106
OG0000103	SCHMD29081, SCHMD19673	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	SCHMD08147	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282, ORYLA06794, ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914
OG0000113	SCHMD06629, SCHMD02664	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000119	SCHMD02911	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823, ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654, ORYLA09477, ORYLA05169
OG0000120	SCHMD07084	ORYLA14915
OG0000121	SCHMD07020	ORYLA06688
OG0000122	SCHMD16641, SCHMD09849	ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000124	SCHMD10270, SCHMD10271	ORYLA04499, ORYLA01264, ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	SCHMD08774	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	ORYLA10750, ORYLA01228, ORYLA13510
OG0000126	SCHMD06494	ORYLA02839
OG0000126	SCHMD01813, SCHMD04253	ORYLA09118
OG0000127	SCHMD03781	ORYLA18247, ORYLA09922
OG0000128	SCHMD25789, SCHMD19594	ORYLA17289, ORYLA03587
OG0000128	SCHMD29825	ORYLA06619, ORYLA09314
OG0000129	SCHMD20816, SCHMD05405	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	SCHMD03224	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000129	SCHMD17972	ORYLA03371
OG0000130	SCHMD17609	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896, ORYLA04654, ORYLA19050, ORYLA09312, ORYLA09567, ORYLA01013, ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043
OG0000137	SCHMD04306	ORYLA20491
OG0000137	SCHMD09558	ORYLA11370, ORYLA08706
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	ORYLA03997
OG0000145	SCHMD03152	ORYLA08429
OG0000147	SCHMD11019	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	SCHMD11968	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000148	SCHMD08056	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722
OG0000149	SCHMD06205, SCHMD05440	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	ORYLA01789, ORYLA08191, ORYLA17153, ORYLA15978, ORYLA13920, ORYLA08402, ORYLA09669
OG0000151	SCHMD02747, SCHMD12342	ORYLA02467, ORYLA17249, ORYLA13261, ORYLA02929
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	ORYLA07634, ORYLA07633, ORYLA07635, ORYLA07636, ORYLA05578, ORYLA05577, ORYLA07896, ORYLA07897, ORYLA07844, ORYLA07894
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	ORYLA11669, ORYLA10177, ORYLA11879
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	ORYLA01962, ORYLA20370
OG0000155	SCHMD13125	ORYLA01931, ORYLA05131
OG0000157	SCHMD03548, SCHMD06363	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319
OG0000157	SCHMD24948	ORYLA13712
OG0000157	SCHMD15302	ORYLA15189
OG0000157	SCHMD01802	ORYLA12434
OG0000158	SCHMD18936	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104
OG0000159	SCHMD26601, SCHMD09606	ORYLA09075
OG0000159	SCHMD14942	ORYLA02062, ORYLA11501, ORYLA06048, ORYLA02590, ORYLA18122, ORYLA08188
OG0000162	SCHMD08936	ORYLA08646
OG0000163	SCHMD23090	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276, ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820, ORYLA17166, ORYLA15777
OG0000166	SCHMD15704, SCHMD08401	ORYLA16752
OG0000167	SCHMD16214, SCHMD15187	ORYLA20275, ORYLA20276
OG0000169	SCHMD00386	ORYLA18751
OG0000171	SCHMD26790, SCHMD13950	ORYLA17814, ORYLA02334, ORYLA08117, ORYLA10775, ORYLA01499, ORYLA17815
OG0000174	SCHMD09838	ORYLA19814, ORYLA10779
OG0000175	SCHMD18439, SCHMD17544	ORYLA13694, ORYLA09065, ORYLA06318
OG0000179	SCHMD11075	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117
OG0000179	SCHMD01320	ORYLA18062, ORYLA18061, ORYLA14649
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335
OG0000181	SCHMD20053, SCHMD26119	ORYLA19060, ORYLA03346
OG0000181	SCHMD11453	ORYLA18853
OG0000182	SCHMD24741	ORYLA10989, ORYLA17913, ORYLA08510
OG0000182	SCHMD07603	ORYLA19632, ORYLA17681, ORYLA14485
OG0000183	SCHMD21103, SCHMD28756	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092
OG0000183	SCHMD12130, SCHMD10333	ORYLA03426, ORYLA09404, ORYLA03815
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	ORYLA09752, ORYLA08947, ORYLA19527, ORYLA20454, ORYLA00818, ORYLA13158
OG0000194	SCHMD11912, SCHMD12565	ORYLA03335, ORYLA10209, ORYLA09317
OG0000195	SCHMD06851	ORYLA09172, ORYLA07416
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652
OG0000198	SCHMD19721, SCHMD14674, SCHMD25939	ORYLA06440
OG0000199	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974	ORYLA01152, ORYLA01153, ORYLA01154, ORYLA01155, ORYLA01148, ORYLA01150, ORYLA01149, ORYLA01151
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	ORYLA16516, ORYLA00614, ORYLA00794, ORYLA17010
OG0000201	SCHMD00317, SCHMD09035	ORYLA17554, ORYLA04556, ORYLA03543
OG0000201	SCHMD10520	ORYLA11410, ORYLA04401, ORYLA17966
OG0000203	SCHMD13221	ORYLA19611, ORYLA02186, ORYLA05651, ORYLA02226
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	ORYLA19568
OG0000204	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858	ORYLA10864
OG0000204	SCHMD00860, SCHMD11235	ORYLA10865
OG0000204	SCHMD00861	ORYLA12759
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	ORYLA10735, ORYLA11823, ORYLA04847, ORYLA00096
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	ORYLA07839, ORYLA16466, ORYLA01806
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	ORYLA08887, ORYLA07906, ORYLA16386, ORYLA08645, ORYLA09823
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	ORYLA16091, ORYLA04477, ORYLA03969, ORYLA14541
OG0000211	SCHMD21436	ORYLA04972
OG0000215	SCHMD15383	ORYLA04441, ORYLA17376
OG0000218	SCHMD01527	ORYLA15885
OG0000220	SCHMD07645	ORYLA06609, ORYLA09295
OG0000221	SCHMD10720	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468, ORYLA14776
OG0000222	SCHMD21612, SCHMD08502	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507
OG0000227	SCHMD05742, SCHMD06927	ORYLA01974
OG0000227	SCHMD05353	ORYLA07142, ORYLA14920, ORYLA14919
OG0000227	SCHMD04380	ORYLA07005, ORYLA07006, ORYLA13332
OG0000230	SCHMD23835, SCHMD14315	ORYLA10690
OG0000231	SCHMD15225, SCHMD17377	ORYLA01387, ORYLA04281, ORYLA19832, ORYLA13508, ORYLA19448, ORYLA09456
OG0000231	SCHMD24769, SCHMD25604	ORYLA08962
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	ORYLA18003
OG0000235	SCHMD29163	ORYLA01167, ORYLA04027, ORYLA10002
OG0000236	SCHMD00730	ORYLA12896, ORYLA06350
OG0000239	SCHMD18522	ORYLA16412, ORYLA07887, ORYLA08904, ORYLA06616, ORYLA09375, ORYLA08385
OG0000239	SCHMD03432	ORYLA11432, ORYLA10759
OG0000239	SCHMD06547	ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800
OG0000240	SCHMD06226, SCHMD00582	ORYLA18684
OG0000242	SCHMD20260	ORYLA20204, ORYLA11050
OG0000246	SCHMD02140	ORYLA16344
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	ORYLA17250
OG0000248	SCHMD01134, SCHMD07579, SCHMD25860	ORYLA10227
OG0000250	SCHMD07715, SCHMD11126	ORYLA14962
OG0000250	SCHMD00165	ORYLA16891
OG0000250	SCHMD03762, SCHMD05189	ORYLA11002
OG0000251	SCHMD28872	ORYLA03531
OG0000255	SCHMD14618, SCHMD25034	ORYLA04331
OG0000256	SCHMD06220	ORYLA02742, ORYLA16602, ORYLA00877
OG0000258	SCHMD19345	ORYLA19450
OG0000260	SCHMD00231	ORYLA10907, ORYLA18428, ORYLA15874, ORYLA17877, ORYLA08131, ORYLA01145
OG0000263	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150	ORYLA00024
OG0000265	SCHMD18240, SCHMD09007	ORYLA17739, ORYLA10912, ORYLA14726
OG0000266	SCHMD11802	ORYLA16539
OG0000266	SCHMD08189	ORYLA00536
OG0000266	SCHMD26661, SCHMD18048	ORYLA00565
OG0000268	SCHMD25441	ORYLA05672, ORYLA09801, ORYLA05671
OG0000270	SCHMD16423	ORYLA04109, ORYLA11496
OG0000272	SCHMD13324, SCHMD08067	ORYLA01727, ORYLA05346, ORYLA10396, ORYLA15887, ORYLA20158, ORYLA03232, ORYLA18754
OG0000273	SCHMD09689	ORYLA13171
OG0000273	SCHMD18528, SCHMD25490	ORYLA05785, ORYLA16265, ORYLA00791
OG0000275	SCHMD00604	ORYLA11109
OG0000275	SCHMD08209, SCHMD24873	ORYLA08098, ORYLA00342, ORYLA00341, ORYLA02599
OG0000276	SCHMD08876	ORYLA12948
OG0000277	SCHMD09439	ORYLA07913, ORYLA13592, ORYLA17906
OG0000278	SCHMD04708, SCHMD14538	ORYLA04766
OG0000278	SCHMD00822, SCHMD09237, SCHMD03776	ORYLA17596
OG0000280	SCHMD22604	ORYLA17698
OG0000280	SCHMD23115	ORYLA11520, ORYLA12009, ORYLA14903
OG0000281	SCHMD28123, SCHMD29220	ORYLA13690, ORYLA18802, ORYLA15942, ORYLA10808, ORYLA13337, ORYLA07002, ORYLA09322
OG0000282	SCHMD05137	ORYLA00210, ORYLA09022
OG0000282	SCHMD15635, SCHMD25636	ORYLA01496
OG0000282	SCHMD25893	ORYLA04826
OG0000284	SCHMD23360, SCHMD08213	ORYLA12966, ORYLA01651, ORYLA17103, ORYLA18256
OG0000285	SCHMD29037	ORYLA18449
