Orthogroup	SCHMD	APOSC_ok
OG0000030	SCHMD25391	APOSC_25084, APOSC_18736, APOSC_12149
OG0000031	SCHMD16950	APOSC_14687, APOSC_14535
OG0000031	SCHMD00185	APOSC_22115, APOSC_01319
OG0000031	SCHMD17865	APOSC_17680, APOSC_02579
OG0000031	SCHMD04192	APOSC_06756, APOSC_06755
OG0000032	SCHMD05709, SCHMD01866	APOSC_11250, APOSC_11249, APOSC_24933
OG0000034	SCHMD13190, SCHMD26745	APOSC_28767, APOSC_28766
OG0000034	SCHMD11160, SCHMD18247	APOSC_00389
OG0000034	SCHMD04875	APOSC_10138
OG0000034	SCHMD07081	APOSC_15909
OG0000035	SCHMD06303	APOSC_21179
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	APOSC_27035
OG0000035	SCHMD15627, SCHMD19701	APOSC_08656, APOSC_21135, APOSC_21136
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	APOSC_05772, APOSC_15090, APOSC_26588
OG0000037	SCHMD19933	APOSC_17096, APOSC_16399, APOSC_03749, APOSC_00065, APOSC_01516, APOSC_24133, APOSC_09300
OG0000037	SCHMD00542, SCHMD17538	APOSC_28740
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	APOSC_09580, APOSC_09579
OG0000037	SCHMD26619	APOSC_14337, APOSC_20507, APOSC_00307
OG0000038	SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443	APOSC_23718
OG0000038	SCHMD17582, SCHMD27730	APOSC_28699
OG0000038	SCHMD07372	APOSC_13411, APOSC_17001
OG0000038	SCHMD06914, SCHMD04983	APOSC_06556
OG0000039	SCHMD12270	APOSC_12842, APOSC_27514, APOSC_00666, APOSC_28386, APOSC_17065, APOSC_22387, APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255
OG0000040	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146	APOSC_11722
OG0000041	SCHMD16871, SCHMD04540, SCHMD27454, SCHMD18676, SCHMD26156, SCHMD24512, SCHMD26802, SCHMD13244, SCHMD23473, SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533	APOSC_19034
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	APOSC_26184
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	APOSC_00445
OG0000043	SCHMD11455	APOSC_10405, APOSC_20159, APOSC_07558
OG0000043	SCHMD00424	APOSC_12898
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	APOSC_03154
OG0000048	SCHMD19708, SCHMD13779	APOSC_04736, APOSC_11238
OG0000049	SCHMD02961, SCHMD14840	APOSC_16875
OG0000049	SCHMD26352	APOSC_21344
OG0000049	SCHMD17006	APOSC_00932
OG0000049	SCHMD22370	APOSC_13440
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789
OG0000058	SCHMD04270	APOSC_09888
OG0000058	SCHMD06371	APOSC_06035
OG0000058	SCHMD12285	APOSC_20919
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	APOSC_07162
OG0000058	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329	APOSC_22832, APOSC_21555
OG0000059	SCHMD27096	APOSC_17410
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210	APOSC_10123
OG0000060	SCHMD17528	APOSC_26756
OG0000060	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987	APOSC_09536, APOSC_09537
OG0000060	SCHMD03062	APOSC_08992
OG0000061	SCHMD24930	APOSC_14996
OG0000061	SCHMD11039	APOSC_26114, APOSC_02472
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763, APOSC_18486, APOSC_01084
OG0000063	SCHMD13250	APOSC_16969
OG0000063	SCHMD04855	APOSC_25041
OG0000063	SCHMD09653	APOSC_17949
OG0000063	SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709	APOSC_22074, APOSC_13172, APOSC_22080
OG0000065	SCHMD25473, SCHMD19118	APOSC_03762, APOSC_19098
OG0000066	SCHMD06601	APOSC_23538
OG0000066	SCHMD06030	APOSC_20821
OG0000066	SCHMD05807	APOSC_10537, APOSC_19939, APOSC_15688
OG0000066	SCHMD01861	APOSC_00077
OG0000066	SCHMD26212	APOSC_07080, APOSC_23919
OG0000066	SCHMD17583	APOSC_19084
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	APOSC_20989, APOSC_25395, APOSC_02568
OG0000069	SCHMD05798, SCHMD12262	APOSC_27459
OG0000069	SCHMD18974	APOSC_07708
OG0000071	SCHMD08674, SCHMD04226	APOSC_00250
OG0000073	SCHMD10978, SCHMD10977, SCHMD12234	APOSC_20982
OG0000075	SCHMD03704	APOSC_06620
OG0000075	SCHMD21424	APOSC_08706
OG0000077	SCHMD17571	APOSC_15032
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	APOSC_19689
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	APOSC_21239
OG0000077	SCHMD25666	APOSC_06807
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	APOSC_14696
OG0000079	SCHMD06941, SCHMD04736	APOSC_06744, APOSC_18934, APOSC_10580
OG0000080	SCHMD10387, SCHMD06434	APOSC_24368, APOSC_04715, APOSC_01450, APOSC_22940, APOSC_28029, APOSC_24503, APOSC_15378, APOSC_18689, APOSC_22834, APOSC_25525, APOSC_01210, APOSC_13316, APOSC_20361, APOSC_15858, APOSC_21235, APOSC_10809, APOSC_25615, APOSC_14922, APOSC_07639, APOSC_12622
OG0000082	SCHMD03263, SCHMD10119	APOSC_14161
OG0000082	SCHMD29028	APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	APOSC_11149
OG0000082	SCHMD03363	APOSC_04906, APOSC_05380, APOSC_05381
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892	APOSC_17996
OG0000082	SCHMD23210	APOSC_15864
OG0000082	SCHMD16400	APOSC_09850
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	APOSC_25447
OG0000084	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409	APOSC_11978, APOSC_20094
OG0000085	SCHMD12837	APOSC_26270
OG0000085	SCHMD12836	APOSC_00722
OG0000085	SCHMD12466	APOSC_00825
OG0000085	SCHMD18327	APOSC_21002
OG0000087	SCHMD25358	APOSC_11638
OG0000087	SCHMD03394	APOSC_20551
OG0000087	SCHMD23919	APOSC_26769
OG0000090	SCHMD10805, SCHMD21388	APOSC_26679
OG0000090	SCHMD15560	APOSC_16212
OG0000090	SCHMD06769	APOSC_12792, APOSC_14834
OG0000093	SCHMD04238	APOSC_06754, APOSC_15822
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	APOSC_02606, APOSC_02607
OG0000094	SCHMD21133, SCHMD07079	APOSC_14430
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	APOSC_21896, APOSC_21895
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942	APOSC_19404, APOSC_13013, APOSC_05229
OG0000096	SCHMD07753	APOSC_03162
OG0000096	SCHMD18607	APOSC_04023
OG0000096	SCHMD10033	APOSC_21738, APOSC_21519
OG0000097	SCHMD22037, SCHMD20326	APOSC_11461, APOSC_17572, APOSC_20070, APOSC_12562, APOSC_06529, APOSC_13979, APOSC_01469, APOSC_01422, APOSC_10466, APOSC_25749, APOSC_17618, APOSC_12110, APOSC_26471, APOSC_20407
OG0000098	SCHMD29644, SCHMD22119	APOSC_27629, APOSC_10815
OG0000099	SCHMD03930, SCHMD15019	APOSC_10853, APOSC_02624
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	APOSC_25391, APOSC_06951
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	APOSC_01352, APOSC_23267
OG0000101	SCHMD06502, SCHMD06505, SCHMD06506	APOSC_10387
OG0000102	SCHMD01941, SCHMD14185, SCHMD04701, SCHMD06158	APOSC_09106
OG0000103	SCHMD29081, SCHMD19673	APOSC_08194
OG0000103	SCHMD08147	APOSC_19265
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	APOSC_22868, APOSC_21078, APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000110	SCHMD11887	APOSC_15633, APOSC_20613, APOSC_13751
OG0000113	SCHMD06629, SCHMD02664	APOSC_22087, APOSC_26451
OG0000114	SCHMD19276	APOSC_23462
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000115	SCHMD28271, SCHMD15320	APOSC_26367
OG0000116	SCHMD19106	APOSC_00704
OG0000116	SCHMD19105	APOSC_02575
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	APOSC_01933
OG0000117	SCHMD14102	APOSC_08799
OG0000119	SCHMD02911	APOSC_11483, APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102, APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	SCHMD07084	APOSC_04315
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849	APOSC_11178
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	APOSC_24903
OG0000124	SCHMD10270, SCHMD10271	APOSC_29022, APOSC_26551, APOSC_24532, APOSC_05277
OG0000124	SCHMD11964, SCHMD20871, SCHMD16822	APOSC_08819
OG0000124	SCHMD08774	APOSC_03695
OG0000126	SCHMD24144	APOSC_16760
OG0000126	SCHMD06494	APOSC_16759
OG0000126	SCHMD01813, SCHMD04253	APOSC_21117
OG0000127	SCHMD03781	APOSC_09690
OG0000127	SCHMD18620	APOSC_16975
OG0000128	SCHMD25789, SCHMD19594	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785
OG0000129	SCHMD20816	APOSC_12123
OG0000129	SCHMD05405	APOSC_24173
OG0000129	SCHMD03224	APOSC_21068
OG0000130	SCHMD02824, SCHMD13205	APOSC_17960, APOSC_11450
OG0000130	SCHMD17609	APOSC_28750
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689
OG0000135	SCHMD24143, SCHMD24147	APOSC_15099, APOSC_08214, APOSC_08213
OG0000137	SCHMD09558	APOSC_01981, APOSC_01895, APOSC_21797
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	APOSC_05339
OG0000140	SCHMD02421, SCHMD05316, SCHMD01679	APOSC_21817, APOSC_06250
OG0000140	SCHMD01677	APOSC_13035
OG0000142	SCHMD14394	APOSC_24389
OG0000142	SCHMD01440, SCHMD00718	APOSC_05931
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102
OG0000147	SCHMD11019	APOSC_20902
OG0000148	SCHMD08056	APOSC_22996
OG0000148	SCHMD08055	APOSC_25505, APOSC_02226
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	APOSC_26828, APOSC_02355, APOSC_10983, APOSC_26533, APOSC_24307, APOSC_20523, APOSC_17583, APOSC_11077, APOSC_11076
OG0000151	SCHMD02747, SCHMD12342	APOSC_27430
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	APOSC_09923, APOSC_09921, APOSC_09922
OG0000157	SCHMD03548, SCHMD06363	APOSC_02266
OG0000157	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	APOSC_27261
OG0000158	SCHMD18936	APOSC_22004
OG0000158	SCHMD09898, SCHMD12271, SCHMD07912	APOSC_17391
OG0000158	SCHMD15100, SCHMD15049	APOSC_02468
OG0000159	SCHMD26601, SCHMD09606	APOSC_05622
OG0000159	SCHMD14942	APOSC_25144, APOSC_27680
OG0000162	SCHMD01637	APOSC_14431
OG0000163	SCHMD23090	APOSC_12914, APOSC_26564, APOSC_17645, APOSC_12728
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	APOSC_20618
OG0000166	SCHMD08400	APOSC_18977
OG0000166	SCHMD15704, SCHMD08401	APOSC_14630
OG0000166	SCHMD28623, SCHMD22442	APOSC_14571
OG0000167	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	APOSC_17983
OG0000168	SCHMD29139	APOSC_13167
OG0000168	SCHMD28842, SCHMD22979, SCHMD29401	APOSC_07254
OG0000169	SCHMD00386	APOSC_19852, APOSC_05319
OG0000174	SCHMD08354, SCHMD22729	APOSC_08266
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520	APOSC_11434
OG0000175	SCHMD18439, SCHMD17544	APOSC_18274, APOSC_04788, APOSC_04789, APOSC_01015, APOSC_18455, APOSC_27959, APOSC_10607, APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816
OG0000179	SCHMD11075	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864
OG0000179	SCHMD01320	APOSC_01350
OG0000179	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468	APOSC_10769, APOSC_20405, APOSC_23055
OG0000180	SCHMD20813	APOSC_05039
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	APOSC_18007, APOSC_09899, APOSC_22437
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	APOSC_21154, APOSC_23852
OG0000181	SCHMD11453	APOSC_19141
OG0000182	SCHMD24741	APOSC_10765
OG0000182	SCHMD07603	APOSC_12587, APOSC_26166, APOSC_07989
OG0000183	SCHMD21103, SCHMD28756	APOSC_14059, APOSC_14061, APOSC_14060
OG0000183	SCHMD12130, SCHMD10333	APOSC_02686, APOSC_08693, APOSC_25503
OG0000186	SCHMD16812	APOSC_16659
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313	APOSC_09256
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	APOSC_25727, APOSC_10785, APOSC_13284
OG0000194	SCHMD11912, SCHMD12565	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755
OG0000195	SCHMD06851	APOSC_18323
OG0000195	SCHMD06771	APOSC_07635, APOSC_25597
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	APOSC_01929
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	APOSC_22552
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	APOSC_29091, APOSC_29090
OG0000201	SCHMD00317, SCHMD09035	APOSC_24036
OG0000201	SCHMD10520	APOSC_29029
OG0000202	SCHMD21440, SCHMD09501, SCHMD21441	APOSC_17939
OG0000203	SCHMD13221	APOSC_26461
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	APOSC_15076
OG0000205	SCHMD14902, SCHMD14453	APOSC_28253
OG0000205	SCHMD18472, SCHMD00599, SCHMD27278	APOSC_24958
OG0000205	SCHMD07996	APOSC_17853
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	APOSC_21181, APOSC_21969, APOSC_12332
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	APOSC_28634
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	APOSC_25463, APOSC_18166, APOSC_09940, APOSC_02817, APOSC_26680, APOSC_11554, APOSC_01663
OG0000210	SCHMD26754	APOSC_12084
OG0000210	SCHMD24015	APOSC_11707
OG0000211	SCHMD21436	APOSC_15302
OG0000214	SCHMD27341	APOSC_10084
OG0000215	SCHMD27729, SCHMD15945	APOSC_22144
OG0000218	SCHMD01527	APOSC_25955, APOSC_07899
OG0000218	SCHMD26821	APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663
OG0000220	SCHMD15387, SCHMD08237	APOSC_08157, APOSC_17903
OG0000220	SCHMD07645	APOSC_13363, APOSC_13606, APOSC_11773
OG0000221	SCHMD10720	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397
OG0000222	SCHMD21612, SCHMD08502	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111
OG0000223	SCHMD02890, SCHMD03920	APOSC_25707, APOSC_25708
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493	APOSC_16511, APOSC_16512
OG0000223	SCHMD07141	APOSC_13895
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109
OG0000226	SCHMD28582	APOSC_12183, APOSC_02105, APOSC_01718
OG0000227	SCHMD05353	APOSC_12980
OG0000227	SCHMD04380	APOSC_05191, APOSC_01281, APOSC_13947
OG0000230	SCHMD23835, SCHMD14315	APOSC_01215, APOSC_01213
OG0000230	SCHMD27521, SCHMD14316	APOSC_01214
OG0000231	SCHMD15225, SCHMD17377	APOSC_23746
OG0000231	SCHMD23026	APOSC_19155, APOSC_10082, APOSC_10081, APOSC_18444, APOSC_12966
OG0000231	SCHMD24769, SCHMD25604	APOSC_06034
OG0000232	SCHMD14178, SCHMD02027	APOSC_17893
OG0000233	SCHMD01146, SCHMD07435, SCHMD22145	APOSC_03772
OG0000234	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368	APOSC_24843, APOSC_24844
OG0000236	SCHMD00730	APOSC_18403
OG0000238	SCHMD22146, SCHMD14066	APOSC_20889
OG0000239	SCHMD18522	APOSC_21234
OG0000239	SCHMD03432	APOSC_24359, APOSC_24358
OG0000239	SCHMD06547	APOSC_04749, APOSC_04748, APOSC_04747
OG0000240	SCHMD06226, SCHMD00582	APOSC_07530
OG0000241	SCHMD13993	APOSC_07674
OG0000242	SCHMD20260	APOSC_24338
OG0000243	SCHMD17682, SCHMD15912, SCHMD11668	APOSC_27135, APOSC_11085
OG0000244	SCHMD21826	APOSC_19143
OG0000244	SCHMD15740, SCHMD18441, SCHMD21827	APOSC_27515
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	APOSC_00635, APOSC_17922
OG0000250	SCHMD07715, SCHMD11126	APOSC_27451
OG0000250	SCHMD00165	APOSC_09132
OG0000250	SCHMD03762, SCHMD05189	APOSC_25705
OG0000255	SCHMD14618, SCHMD25034	APOSC_00435
OG0000256	SCHMD06220	APOSC_10246
OG0000257	SCHMD24197	APOSC_27295, APOSC_28760
OG0000257	SCHMD15360	APOSC_16995
OG0000258	SCHMD00959	APOSC_06996
OG0000260	SCHMD00231	APOSC_19872, APOSC_16650
OG0000261	SCHMD06264, SCHMD17166	APOSC_25025
OG0000263	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150	APOSC_27502, APOSC_02979, APOSC_24093, APOSC_12168, APOSC_25671, APOSC_21095, APOSC_06394, APOSC_10812, APOSC_22715, APOSC_17374
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	APOSC_09241
OG0000265	SCHMD18240, SCHMD09007	APOSC_08586
OG0000266	SCHMD08189	APOSC_17650
