Orthogroup	SCHMD	HUMAN
OG0000049	SCHMD22370	HUMAN26500
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	HUMAN22678
OG0000056	SCHMD18401, SCHMD20469	HUMAN14865
OG0000058	SCHMD04270	HUMAN17378, HUMAN03592
OG0000058	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122	HUMAN23378
OG0000060	SCHMD03062	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	SCHMD24930	HUMAN17964, HUMAN26554
OG0000061	SCHMD12952	HUMAN26139
OG0000061	SCHMD11039	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	HUMAN29104, HUMAN14474, HUMAN24841, HUMAN24843, HUMAN05951, HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195, HUMAN25285
OG0000063	SCHMD04855	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	SCHMD09653	HUMAN21099
OG0000063	SCHMD24452	HUMAN00859, HUMAN28501
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	SCHMD06030	HUMAN29798
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	HUMAN20381
OG0000069	SCHMD05798, SCHMD12262	HUMAN13360, HUMAN02573, HUMAN06204
OG0000069	SCHMD18974	HUMAN13361, HUMAN02574
OG0000070	SCHMD06745	HUMAN25671, HUMAN29634, HUMAN30393
OG0000072	SCHMD10090	HUMAN24108, HUMAN23125, HUMAN05334
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	HUMAN25174, HUMAN25175
OG0000075	SCHMD10965	HUMAN05218
OG0000075	SCHMD28477	HUMAN00445, HUMAN21048
OG0000075	SCHMD03704	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	SCHMD21424	HUMAN05783, HUMAN21047
OG0000077	SCHMD17571	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	SCHMD23576	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	SCHMD04824, SCHMD04525	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	SCHMD06941, SCHMD04736	HUMAN14208, HUMAN14194, HUMAN14192
OG0000082	SCHMD03263, SCHMD10119	HUMAN29167
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	HUMAN05645
OG0000082	SCHMD23210	HUMAN23871
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	HUMAN03696, HUMAN22975
OG0000085	SCHMD12836	HUMAN13119, HUMAN07215
OG0000085	SCHMD12466	HUMAN26172
OG0000085	SCHMD18327	HUMAN19734, HUMAN19733, HUMAN05027
OG0000087	SCHMD09405, SCHMD09406	HUMAN11956
OG0000087	SCHMD09409, SCHMD09408	HUMAN11957
OG0000087	SCHMD25358	HUMAN02557
OG0000087	SCHMD05855	HUMAN17213
OG0000087	SCHMD03393, SCHMD23919	HUMAN18010
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	SCHMD23746	HUMAN14813
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	SCHMD07753	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	SCHMD17840	HUMAN06775
OG0000096	SCHMD10033	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561
OG0000097	SCHMD22037, SCHMD20326	HUMAN01224, HUMAN01225, HUMAN01226
OG0000098	SCHMD29644, SCHMD22119	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	HUMAN05424
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000103	SCHMD29081, SCHMD19673	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	SCHMD08147	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	HUMAN01590, HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978, HUMAN27844, HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602
OG0000107	SCHMD04920	HUMAN24628
OG0000113	SCHMD06629, SCHMD02664	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000117	SCHMD02895	HUMAN14531
OG0000119	SCHMD02911	HUMAN17875, HUMAN06568, HUMAN12949, HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779, HUMAN17940, HUMAN20669
OG0000119	SCHMD07212	HUMAN06569
OG0000120	SCHMD26849	HUMAN19072
OG0000122	SCHMD00543	HUMAN17167
OG0000122	SCHMD16641, SCHMD09849	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000124	SCHMD10270, SCHMD10271	HUMAN03991, HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	SCHMD08774	HUMAN00442, HUMAN00443
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	HUMAN22360, HUMAN22375, HUMAN24176, HUMAN09168
OG0000126	SCHMD24144	HUMAN21845
OG0000126	SCHMD01813, SCHMD04253	HUMAN07493, HUMAN22359
OG0000127	SCHMD21110	HUMAN11945
OG0000127	SCHMD03781	HUMAN21549, HUMAN07766
OG0000128	SCHMD25789, SCHMD19594	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329
OG0000128	SCHMD29825	HUMAN21997
OG0000129	SCHMD20816, SCHMD05405	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	SCHMD03224	HUMAN05233, HUMAN30228
OG0000130	SCHMD17609	HUMAN26940, HUMAN21484, HUMAN03377
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000137	SCHMD04306	HUMAN23088
OG0000137	SCHMD09558	HUMAN25150, HUMAN25149
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	HUMAN26414
OG0000140	SCHMD01677	HUMAN06860, HUMAN05842, HUMAN03908
OG0000147	SCHMD11019	HUMAN18499, HUMAN00218
OG0000147	SCHMD11968	HUMAN24559, HUMAN27635
OG0000148	SCHMD08056	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000148	SCHMD08055	HUMAN06230
OG0000149	SCHMD06205, SCHMD05440	HUMAN10034, HUMAN23690
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973
OG0000151	SCHMD02747, SCHMD12342	HUMAN29073, HUMAN01218, HUMAN01219
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	HUMAN26709, HUMAN15537
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369
OG0000155	SCHMD13125	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000157	SCHMD03548, SCHMD06363	HUMAN28808, HUMAN14307
OG0000157	SCHMD01802	HUMAN11058, HUMAN11059
OG0000158	SCHMD18936	HUMAN19321, HUMAN25759, HUMAN27804
OG0000158	SCHMD15100, SCHMD15049	HUMAN03704
OG0000159	SCHMD26601, SCHMD09606	HUMAN27903
OG0000159	SCHMD14942	HUMAN25418, HUMAN29307, HUMAN04389, HUMAN23217, HUMAN11668
OG0000162	SCHMD08936, SCHMD26694	HUMAN17808, HUMAN17813, HUMAN17807
OG0000163	SCHMD23090	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483, HUMAN13485, HUMAN13486, HUMAN20190
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	HUMAN12888, HUMAN06524, HUMAN26092
OG0000166	SCHMD15704, SCHMD08401	HUMAN10732
OG0000167	SCHMD16214, SCHMD15187	HUMAN19292, HUMAN19291
OG0000167	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	HUMAN00657, HUMAN00658
OG0000168	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401	HUMAN04352
OG0000171	SCHMD26790, SCHMD13950	HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747
OG0000174	SCHMD09838	HUMAN27541, HUMAN27540, HUMAN22731
OG0000175	SCHMD18439, SCHMD17544	HUMAN22641, HUMAN22640, HUMAN27918, HUMAN27828, HUMAN27827
OG0000179	SCHMD11075	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338
OG0000179	SCHMD01320	HUMAN23712, HUMAN09621
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	HUMAN06326, HUMAN06327, HUMAN02594
OG0000181	SCHMD20053, SCHMD26119	HUMAN07664, HUMAN21747
OG0000182	SCHMD24741	HUMAN03114
OG0000182	SCHMD07603	HUMAN09225
OG0000183	SCHMD21103, SCHMD28756	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	SCHMD12130, SCHMD10333	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533
OG0000186	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081	HUMAN00084
OG0000188	SCHMD07258	HUMAN01044, HUMAN01045
OG0000188	SCHMD04013	HUMAN27536
OG0000191	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922	HUMAN28068
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	HUMAN18173, HUMAN01281, HUMAN28989, HUMAN14173
OG0000193	SCHMD01373	HUMAN05477
OG0000194	SCHMD11912, SCHMD12565	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	SCHMD06851	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624
OG0000195	SCHMD25501	HUMAN21625
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959
OG0000199	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974	HUMAN23978, HUMAN23979, HUMAN23972, HUMAN23974, HUMAN23976, HUMAN23962, HUMAN23961, HUMAN23965, HUMAN23963, HUMAN23969, HUMAN23970, HUMAN23967, HUMAN23975, HUMAN23977, HUMAN23971, HUMAN23973, HUMAN23964, HUMAN23966, HUMAN23968, HUMAN23980, HUMAN23981, HUMAN23982
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	HUMAN21772
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	HUMAN25906, HUMAN20134
OG0000201	SCHMD00317, SCHMD09035	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555
OG0000201	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519	HUMAN12208
OG0000201	SCHMD10520	HUMAN12206, HUMAN19902
OG0000202	SCHMD26575, SCHMD23738, SCHMD09500, SCHMD21440, SCHMD09501, SCHMD21441	HUMAN27583
OG0000203	SCHMD13221	HUMAN23097, HUMAN27942, HUMAN25548, HUMAN00779
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783	HUMAN18516
OG0000204	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858	HUMAN18517
OG0000204	SCHMD00861	HUMAN18515, HUMAN06257
OG0000205	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453	HUMAN08496, HUMAN02469
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	HUMAN12678, HUMAN20579, HUMAN06361
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799
OG0000207	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010
OG0000207	SCHMD21037	HUMAN21342
OG0000208	SCHMD02180	HUMAN19120
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900	HUMAN19119, HUMAN11858, HUMAN12257, HUMAN12256, HUMAN27010, HUMAN26894
OG0000210	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393	HUMAN01117
OG0000210	SCHMD24015	HUMAN22011, HUMAN22010
OG0000211	SCHMD21436	HUMAN18718
OG0000215	SCHMD15383	HUMAN23880, HUMAN18661
OG0000215	SCHMD27729, SCHMD15945	HUMAN18245
OG0000218	SCHMD01527	HUMAN21084, HUMAN05261
OG0000220	SCHMD07645	HUMAN28206
OG0000221	SCHMD10720	HUMAN18038, HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805, HUMAN21691, HUMAN00105, HUMAN00104, HUMAN18037, HUMAN20574, HUMAN06093, HUMAN06091, HUMAN06092
OG0000222	SCHMD21612, SCHMD08502	HUMAN00432, HUMAN18379, HUMAN18378, HUMAN18377
OG0000223	SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544	HUMAN03439
OG0000223	SCHMD25725	HUMAN17365
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061
OG0000227	SCHMD05742, SCHMD06927	HUMAN14351
OG0000227	SCHMD05353	HUMAN14350, HUMAN09613, HUMAN09611
OG0000227	SCHMD04380	HUMAN10994, HUMAN24420, HUMAN18815
OG0000230	SCHMD23835, SCHMD14315	HUMAN27790, HUMAN16569
OG0000231	SCHMD15225, SCHMD17377	HUMAN30467, HUMAN17388, HUMAN22380, HUMAN04081
OG0000231	SCHMD24769, SCHMD25604	HUMAN11124, HUMAN27993, HUMAN27994
OG0000235	SCHMD29163	HUMAN22334, HUMAN07552, HUMAN17686
OG0000236	SCHMD00730	HUMAN01231, HUMAN01232
OG0000239	SCHMD18522	HUMAN12749, HUMAN02988, HUMAN18073
OG0000239	SCHMD03432	HUMAN08545
OG0000239	SCHMD16926, SCHMD03433	HUMAN26079
OG0000239	SCHMD06547	HUMAN12754, HUMAN26078
OG0000240	SCHMD06226, SCHMD00582	HUMAN19892, HUMAN19897
OG0000242	SCHMD20260	HUMAN17637, HUMAN26476
OG0000246	SCHMD02140	HUMAN15952
OG0000250	SCHMD11127	HUMAN13350
OG0000250	SCHMD00165	HUMAN13349, HUMAN13351
OG0000250	SCHMD03762, SCHMD05189	HUMAN06114
OG0000251	SCHMD06065, SCHMD13275, SCHMD14691	HUMAN21880
